Candidate,Incumbent,State,Office,District,Stance,Source,URL,Note
Paul D. Pate,Yes,Iowa,Secretary of state,N/A,Fully accepted,Des Moines Register,https://www.desmoinesregister.com/story/news/politics/2022/09/17/iowa-secretary-state-candidates-paul-pate-joel-miller-debate-election-integrity-2022/10399725002/,
Jerry Moran,Yes,Kansas,Senator,N/A,Fully accepted,Kansas Reflector,https://kansasreflector.com/2020/11/24/u-s-sen-moran-trump-administation-needs-to-offer-transition-briefings-to-biden/,
Tracey Mann,Yes,Kansas,Representative,1,Fully denied,"Twitter, congressional roll call",https://archive.ph/Orvc1,
Jake LaTurner,Yes,Kansas,Representative,2,Fully denied,Congressional roll call,https://clerk.house.gov/Votes/202111?Date=01%2F07%2F2021,
Amanda L. Adkins,No,Kansas,Representative,3,Fully accepted,"KCUR-FM (Kansas City, Mo.)",https://www.kcur.org/podcast/kansas-city-today/2022-09-07/kansas-congressional-candidate-amanda-adkins,
Ron Estes,Yes,Kansas,Representative,4,Fully denied,"Congressional roll call, Supreme Court amicus brief",https://clerk.house.gov/Votes/202111?Date=01%2F07%2F2021,
Derek Schmidt,No,Kansas,Governor,N/A,Raised questions,"Supreme Court amicus brief, Kansas Reflector",https://kansasreflector.com/2022/03/02/derek-schmidt-embraces-integrity-of-kansas-elections-in-audio-clip-from-gop-forum/,
Kris Kobach,No,Kansas,Attorney general,N/A,Fully denied,Kansas Reflector,https://kansasreflector.com/2022/05/31/kris-kobach-files-as-candidate-for-kansas-attorney-general-in-three-candidate-gop-primary/,
Scott J. Schwab,Yes,Kansas,Secretary of state,N/A,Fully accepted,Kansas Reflector,https://kansasreflector.com/2020/11/09/as-other-republicans-lied-about-voter-fraud-kansas-secretary-of-state-was-a-voice-of-sanity/,
Rand Paul,Yes,Kentucky,Senator,N/A,Accepted with reservations,"ABC News, congressional roll call",https://abcnews.go.com/Politics/sen-rand-paul-continues-making-false-claims-2020/story?id=75446712,
James R. Comer,Yes,Kentucky,Representative,1,Accepted with reservations,"Twitter, congressional roll call",https://twitter.com/repjamescomer/status/1331752181494648832,
S. Brett Guthrie,Yes,Kentucky,Representative,2,Fully accepted,Congressional roll call,https://clerk.house.gov/Votes/202110?Date=01%2F06%2F2022 ,
Stuart N. Ray,No,Kentucky,Representative,3,Accepted with reservations,Email to FiveThirtyEight,,
Thomas Massie,Yes,Kentucky,Representative,4,Accepted with reservations,Louisville Courier Journal,https://www.courier-journal.com/story/news/politics/2021/01/03/thomas-massie-congress-has-no-authority-influence-election-outcome/4120557001/,
"Harold ""Hal"" Rogers",Yes,Kentucky,Representative,5,Fully denied,Congressional roll call,https://clerk.house.gov/Votes/202110?Date=01%2F06%2F2022 ,
Andy Barr,Yes,Kentucky,Representative,6,Accepted with reservations,Congressional roll call,https://archive.ph/b1O7G,
John Kennedy,Yes,Louisiana,Senator,N/A,Raised questions,"WWL-TV (New Orleans, La.)",https://www.wwltv.com/article/news/politics/sen-kennedy-says-he-refused-gop-calls-to-overturn-bidens-win-over-trump/289-48e00f9f-33ab-4e0d-bb7c-d0e1e4691152,
Steve Scalise,Yes,Louisiana,Representative,1,Fully denied,Congressional roll call,https://clerk.house.gov/Votes/202110?Date=01%2F06%2F2021,
Dan Lux,No,Louisiana,Representative,2,Raised questions,Email to FiveThirtyEight,,
Clay Higgins,Yes,Louisiana,Representative,3,Fully denied,Congressional roll call,https://clerk.house.gov/Votes/202110?Date=01%2F06%2F2021,
"""Mike"" Johnson",Yes,Louisiana,Representative,4,Fully denied,Congressional roll call,https://clerk.house.gov/Votes/202110?Date=01%2F06%2F2021,
Julia Letlow,Yes,Louisiana,Representative,5,No comment,,,
Garret Graves,Yes,Louisiana,Representative,6,Fully denied,Congressional roll call,https://clerk.house.gov/Votes/202111?Date=01%2F06%2F2021,
Edwin Thelander,No,Maine,Representative,1,Raised questions,Campaign website,https://archive.ph/2022.05.31-153102/https:/thelanderforcongress.com/issues/,
Bruce Poliquin,No,Maine,Representative,2,Avoided answering,Maine Public,https://www.mainepublic.org/politics/2022-03-09/bruce-poliquin-wont-say-that-joe-biden-legitimately-won-the-2020-election,
Paul R. LePage,No,Maine,Governor,N/A,Raised questions,New England Cable News,https://www.necn.com/news/local/lepage-makes-claims-of-voter-fraud-without-firm-evidence-in-push-for-voter-id-laws/2711971/,
Chris Chaffee,No,Maryland,Senator,N/A,Fully denied,"Facebook, Twitter",https://www.facebook.com/ChrisChaffeeforSENATE/posts/pfbid05e6mSczjRgWRnPB4tQPsQSM9F5jAvASCVb8JqT4STT74naH3o6nnh4BX2EG4JsKWl,
Andy Harris,Yes,Maryland,Representative,1,Fully denied,"Congressional roll call, The Star Democrat",https://www.stardem.com/news/national/andy-harris-still-backs-election-audits-investigations-as-other-republicans-pull-back-after-capitol-lockdowns/article_5c121a78-5177-5742-8c0d-0824854c8a6e.html,
Nicolee Ambrose,No,Maryland,Representative,2,Raised questions,Maryland Republican Party Newsletter,,
Yuripzy Morgan,No,Maryland,Representative,3,No comment,,,
Jeff Warner,No,Maryland,Representative,4,No comment,,,
Chris Palombi,No,Maryland,Representative,5,Raised questions,Facebook,https://www.facebook.com/PalombiForCongress/posts/pfbid02kMEufqwMR8AvmCHLNPwcwfnw22Dr5f3keGWg4ejNAZs7xhztH3Vh1cZbgCvwSAV1l,
Neil C. Parrott,No,Maryland,Representative,6,Fully accepted,The Washington Post,https://www.washingtonpost.com/opinions/2022/07/10/maryland-6th-district-primary-endorsement-2022/,
Scott M. Collier,No,Maryland,Representative,7,Fully denied,"Facebook, YouTube",https://www.youtube.com/watch?v=2uXUAbKW6oQ,
Gregory Thomas Coll,No,Maryland,Representative,8,No comment,,,
Dan Cox,No,Maryland,Governor,N/A,Fully denied,Facebook,https://archive.ph/kS4qU,
Michael Anthony Peroutka,No,Maryland,Attorney general,N/A,Raised questions,Campaign video,https://patriots4peroutka.com/blogs/attorney-general-info/what-would-you-do-about-election-integrity-as-attorney-general-of-maryland,
Dean James Martilli,No,Massachusetts,Representative,1,No comment,,,
Jeffrey A. Sossa-Paquette,No,Massachusetts,Representative,2,Fully accepted,Email to ABC News,,
Dean A. Tran,No,Massachusetts,Representative,3,No comment,,,
Caroline Colarusso,No,Massachusetts,Representative,5,Fully denied,Boston Herald,https://www.bostonherald.com/2020/12/08/former-gop-candidates-sue-massachusetts-seeking-to-throw-out-millions-of-mail-in-early-ballots/,
Bob May,No,Massachusetts,Representative,6,No comment,,,
Donnie Dionicio Palmer Jr.,No,Massachusetts,Representative,7,Fully denied,Twitter,https://archive.ph/wip/dIFA0,
Robert G. Burke,No,Massachusetts,Representative,8,No comment,,,
Jesse G. Brown,No,Massachusetts,Representative,9,No comment,,,
Geoff Diehl,No,Massachusetts,Governor,N/A,Fully denied,WGBH-TV (Boston),https://www.wgbh.org/news/politics/2022/08/09/what-the-republican-candidates-for-governor-said-then-and-how-its-going-now,
James R. McMahon III,No,Massachusetts,Attorney general,N/A,No comment,,,
Rayla Campbell,No,Massachusetts,Secretary of state,N/A,Avoided answering,Email to ABC News,,
Jack Bergman,Yes,Michigan,Representative,1,Fully denied,"Traverse City Record Eagle, congressional roll call",https://www.record-eagle.com/news/u-s-rep-jack-bergman-helped-schedule-antrim-lawsuit-forensic-team/article_05fa99c2-bce4-11ec-b878-fbe5ef329f7f.html,
John Moolenaar,Yes,Michigan,Representative,2,Accepted with reservations,"Manistee News Advocate, congressional roll call",https://www.manisteenews.com/news/article/Moolenaar-Norton-contend-for-Michigan-s-2nd-17320482.php,
John Gibbs,No,Michigan,Representative,3,Raised questions,CNN,https://www.cnn.com/2022/06/30/politics/fact-check-john-gibbs-michigan-mathematically-impossible/index.html,
Bill Huizenga,Yes,Michigan,Representative,4,Accepted with reservations,"Michigan Live, Supreme Court amicus brief",https://www.mlive.com/politics/2021/01/michigan-gop-congressman-dispels-election-myths-from-constituents-asking-to-oppose-bidens-win.html,
Tim Walberg,Yes,Michigan,Representative,5,Fully denied,"Walberg press, congressional roll call",https://walberg.house.gov/media/press-releases/michigan-republicans-secretary-state-benson-michigans-voter-rolls-need-be,
Whittney Williams,No,Michigan,Representative,6,No comment,,,
Tom Barrett,No,Michigan,Representative,7,Raised questions,Detroit Free Press,https://www.freep.com/story/news/politics/elections/2022/09/27/elissa-slotkin-tom-barrett-7th-congressional-district/69509887007/,Previously accepted with reservations
Paul Junge,No,Michigan,Representative,8,Fully accepted,The Detroit News,https://www.detroitnews.com/story/news/politics/2022/08/02/paul-junge-matt-seely-miller-michigan-republican-8th-district-primary-congress-kildee/10186005002/,
Lisa McClain,Yes,Michigan,Representative,9,Fully denied,"CNN, congressional roll call",https://www.cnn.com/2022/04/04/politics/fact-check-lisa-mcclain-trump-rally-bin-laden-unemployment-wars-biden,
John James,No,Michigan,Representative,10,Raised questions,"Michigan Live, Twitter",https://www.mlive.com/politics/2020/11/john-james-casts-doubt-on-michigan-election-integrity-as-state-board-certifies-result.html,
Mark Ambrose,No,Michigan,Representative,11,Fully accepted,Downtown Newsmagazine,https://www.downtownpublications.com/single-post/u-s-congress-11th-district-republican,
Steven Elliott,No,Michigan,Representative,12,No comment,,,
Martell D. Bivings,No,Michigan,Representative,13,Fully accepted,Axios,https://www.axios.com/local/detroit/2022/08/08/detroits-last-chance-black-representation,
Tudor M. Dixon,No,Michigan,Governor,N/A,Fully denied,"Detroit Free Press, PBS",https://www.freep.com/story/news/politics/elections/2022/07/31/tudor-dixon-shifts-position-stolen-election-fox-tv/10195890002/,
Matthew DePerno,No,Michigan,Attorney general,N/A,Fully denied,Michigan Live,https://www.mlive.com/public-interest/2021/07/attorney-accused-of-pushing-false-election-fraud-claims-wants-to-be-michigans-next-attorney-general.html,
Kristina Karamo,No,Michigan,Secretary of state,N/A,Fully denied,Detroit Free Press,https://www.freep.com/story/news/politics/2022/05/06/michigan-republican-secretary-state-picks-false-election-claims/9661591002/,
Brad Finstad,Yes,Minnesota,Representative,1,Fully accepted,MPR News,https://www.mprnews.org/story/2022/04/29/republicans-battle-to-fill-remainder-of-hagedorn-term,
Tyler Kistner,No,Minnesota,Representative,2,Fully accepted,Email to FiveThirtyEight,,
Tom Weiler,No,Minnesota,Representative,3,No comment,,,
May Lor Xiong,No,Minnesota,Representative,4,No comment,,,
Cicely Davis,No,Minnesota,Representative,5,No comment,,,
Tom Emmer,Yes,Minnesota,Representative,6,Accepted with reservations,"Congressional roll call, Star Tribune",https://clerk.house.gov/Votes/202111?Date=01%2F07%2F2021,
Michelle Fischbach,Yes,Minnesota,Representative,7,Fully denied,Congressional roll call,https://clerk.house.gov/Votes/202110?Date=01%2F06%2F2021,
Pete Stauber,Yes,Minnesota,Representative,8,Accepted with reservations,"Congressional roll call, Duluth News Tribune",https://clerk.house.gov/Votes/202111?Date=01%2F07%2F2021,
Scott Jensen,No,Minnesota,Governor,N/A,Avoided answering,Minnesota Reformer,https://minnesotareformer.com/2021/12/20/5-gop-gubernatorial-candidates-avoid-saying-biden-won-the-presidency/,
Jim Schultz,No,Minnesota,Attorney general,N/A,No comment,,,
Kim Crockett,No,Minnesota,Secretary of state,N/A,Fully denied,Minnesota Reformer,https://minnesotareformer.com/2022/05/25/minnesota-gop-endorses-election-denier-to-oversee-elections/,
Trent Kelly,Yes,Mississippi,Representative,1,Fully denied,"WLOX (Biloxi, Miss.), congressional roll call",https://www.wlox.com/2021/01/07/three-four-miss-congressmen-voted-challenge-presidential-election/,
Brian Flowers,No,Mississippi,Representative,2,Fully denied,"WLOX (Biloxi, Miss.)",https://www.wlox.com/2020/11/08/trump-supporters-protest-jackson-stop-steal-presidential-election/,
Michael Guest,Yes,Mississippi,Representative,3,Accepted with reservations,"WLBT (Jackson, Miss.)",https://www.wlbt.com/2021/02/04/conversation-michael-guest-talks-trump-impeachment-marjorie-taylor-greene/,
Mike Ezell,No,Mississippi,Representative,4,No comment,,,
Eric Schmitt,No,Missouri,Senator,N/A,Fully denied,"Missouri Independent, Supreme Court amicus brief",https://missouriindependent.com/2021/09/20/the-big-lie-remains-a-big-part-of-missouri-u-s-senate-race/,
Andrew Jones,No,Missouri,Representative,1,No comment,,,
Ann Wagner,Yes,Missouri,Representative,2,Fully accepted,St. Louis Post-Dispatch,https://www.stltoday.com/news/local/govt-and-politics/u-s-rep-ann-wagner-breaks-with-other-missouri-republicans-contesting-election-results/article_7d978551-bb1f-566d-8930-8bf8b964b187.html,
Blaine Luetkemeyer,Yes,Missouri,Representative,3,Fully denied,"Luetkemeyer press, congressional roll call ",https://luetkemeyer.house.gov/news/documentsingle.aspx?DocumentID=400453,
Mark Alford,No,Missouri,Representative,4,Raised questions,"Campaign website, KMIZ (Columbia, Mo.)",https://abc17news.com/news/2022/07/15/fourth-district-candidate-interviews-mark-alford/,
Jacob Turk,No,Missouri,Representative,5,Raised questions,Twitter,https://drive.google.com/file/d/1o4YSOa9vy2wS6tWEFs8bZpVgqw_7ITRE/view,
Sam Graves,Yes,Missouri,Representative,6,Fully denied,"Twitter, congressional roll call ",https://archive.ph/ChXMm,
Eric Burlison,No,Missouri,Representative,7,Raised questions,Facebook,https://drive.google.com/file/d/11ssVm7fEuT8zt_uhIKCp2TQc9fzA-6vy/view,
Jason Smith,Yes,Missouri,Representative,8,Fully denied,"Smith press, congressional roll call",https://jasonsmith.house.gov/newsroom/documentsingle.aspx?DocumentID=3254,
Ryan K. Zinke,No,Montana,Representative,1,Raised questions,Billings Gazette,https://billingsgazette.com/western-gop-hopefuls-weigh-in-on-elections/article_b7a30eb4-d288-5a43-9ada-c3675e3d73ef.html,
Matt Rosendale,Yes,Montana,Representative,2,Fully denied,"Congressional roll call, Associated Press",https://apnews.com/article/donald-trump-matt-rosendale-elections-montana-electoral-college-8e6e3fbf0a9e5121a1be357cebff89c9,
Mike Flood,Yes,Nebraska,Representative,1,No comment,,,
Don Bacon,Yes,Nebraska,Representative,2,Fully accepted,"Nebraska Public Media, congressional roll call",https://nebraskapublicmedia.org/de/news/news-articles/rep-don-bacon-on-jan-6-storming-of-capitol-what-happened-that-day-was-wrong/,
Adrian Smith,Yes,Nebraska,Representative,3,Accepted with reservations,"Omaha World-Herald, congressional roll call",https://archive.ph/JdM2k,
Jim Pillen,No,Nebraska,Governor,N/A,Fully accepted,Omaha World-Herald,https://archive.ph/6s4lW,
Mike Hilgers,No,Nebraska,Attorney general,N/A,No comment,,,
Bob Evnen,Yes,Nebraska,Secretary of state,N/A,Fully accepted,"The Grand Island Independent, The Nebraska Examiner ",https://archive.ph/CkBmm,
Adam Paul Laxalt,No,Nevada,Senator,N/A,Fully denied,Nevada Globe,https://thenevadaglobe.com/congress/in-first-debate-sam-brown-swings-at-laxalt-and-mostly-misses/,
Mark Robertson,No,Nevada,Representative,1,Accepted with reservations,Email to FiveThirtyEight,,
Mark E. Amodei,Yes,Nevada,Representative,2,Accepted with reservations,"Las Vegas Sun, congressional roll call",https://lasvegassun.com/news/2022/may/11/amodei-faces-stern-challenge-from-perennial-candid/,
April Becker,No,Nevada,Representative,3,Fully denied,Nevada Independent,https://thenevadaindependent.com/article/2020-election-fraud-conspiracy-theories-remain-central-to-many-republican-campaigns,
Sam Peters,No,Nevada,Representative,4,Fully denied,New York Times,https://www.nytimes.com/2021/06/07/us/politics/republican-election-fraud-claims.html,
Joe Lombardo,No,Nevada,Governor,N/A,Raised questions,Daily Beast,https://www.thedailybeast.com/gop-candidates-bill-mcswain-and-joe-lombardo-are-boosting-trumps-election-lie,
Sigal Chattah,No,Nevada,Attorney general,N/A,Accepted with reservations,Email to FiveThirtyEight,,Previously raised questions
Jim Marchant,No,Nevada,Secretary of state,N/A,Fully denied,Nevada Independent,https://thenevadaindependent.com/article/in-debates-secretary-of-state-candidates-cast-wildly-different-visions,
Donald C. Bolduc,No,New Hampshire,Senator,N/A,Accepted with reservations,Fox News,https://www.foxnews.com/media/new-hampshires-bolduc-backtracks-statements-2020-election-stolen-ahead-midterms,Previously fully denied election
Karoline Leavitt,No,New Hampshire,Representative,1,Fully denied,"WMUR-TV (Manchester, N.H.)",https://www.wmur.com/article/nh-primary-source-leavitt-mowers-huff-brown-respond-to-baxters-challenge-to-support-election-audit/37798054,
Robert Burns,No,New Hampshire,Representative,2,Accepted with reservations,New Hampshire Union Leader,https://sports.yahoo.com/2nd-cd-gop-candidates-spar-225400476.html,
Chris Sununu,Yes,New Hampshire,Governor,N/A,Fully accepted,Email to FiveThirtyEight,,
Claire Gustafson,No,New Jersey,Representative,1,No comment,,,
Jeff Van Drew,Yes,New Jersey,Representative,2,Accepted with reservations,NJ.com,https://www.nj.com/politics/2021/01/nj-rep-van-drew-who-sought-to-overturn-the-election-acknowledges-biden-was-duly-elected.html,
Bob Healey,No,New Jersey,Representative,3,Fully accepted,Email to FiveThirtyEight,,
Christopher H. Smith,Yes,New Jersey,Representative,4,Accepted with reservations,New Jersey Globe,https://newjerseyglobe.com/congress/chris-smith-votes-to-certify-results-of-2020-presidential-election/,
Frank T. Pallotta,No,New Jersey,Representative,5,No comment,,,
Susan M. Kiley,No,New Jersey,Representative,6,No comment,,,
Thomas H. Kean Jr.,No,New Jersey,Representative,7,No comment,,,
Marcos Arroyo,No,New Jersey,Representative,8,No comment,,,
Billy Prempeh,No,New Jersey,Representative,9,Raised questions,Twitter,https://archive.ph/3f5YN,
David H. Pinckney,No,New Jersey,Representative,10,No comment,,,
Paul DeGroot,No,New Jersey,Representative,11,Raised questions,Facebook,https://archive.ph/XWrJT,
Darius Mayfield,No,New Jersey,Representative,12,Fully denied,"Twitter, email to FiveThirtyEight",https://archive.ph/OfP03,
Michelle Garcia Holmes,No,New Mexico,Representative,1,Raised questions,Twitter,https://archive.ph/xJu6G,
Yvette Herrell,Yes,New Mexico,Representative,2,Fully denied,Congressional roll call,https://clerk.house.gov/Votes/202110?Date=01%2F06%2F2021,
Alexis Martinez Johnson,No,New Mexico,Representative,3,No comment,,,
Mark V. Ronchetti,No,New Mexico,Governor,N/A,Avoided answering,Carlsbad Current Angus,https://www.currentargus.com/story/opinion/columnists/2022/06/15/ronchetti-race-shows-trump-loyalty-is-a-smaller-factor-in-new-mexico/65361144007/,
Jeremy Michael Gay,No,New Mexico,Attorney general,N/A,No comment,,,
Audrey Trujillo,No,New Mexico,Secretary of state,N/A,Fully denied,"Facebook, Source NM",https://sourcenm.com/2022/10/04/experts-alarmed-by-gop-secretary-of-state-candidates-conspiracy-theorizing-in-nm/,
Joe Pinion,No,New York,Senator,N/A,Fully accepted,Email to FiveThirtyEight,,
Nicholas J. LaLota,No,New York,Representative,1,Raised questions,Campaign website,https://archive.ph/wip/FhFRy,
Andrew R. Garbarino,Yes,New York,Representative,2,Fully accepted,Congressional roll call,https://clerk.house.gov/Votes/202110?Date=01%2F06%2F2021,
George A.D. Santos,No,New York,Representative,3,Fully denied,Twitter,https://web.archive.org/web/20201109063947/https://twitter.com/Santos4Congress,
Anthony P. D'Esposito,No,New York,Representative,4,Fully accepted,Email to FiveThirtyEight,,
Paul King,No,New York,Representative,5,Accepted with reservations,Email to FiveThirtyEight,,
Tom Zmich,No,New York,Representative,6,Raised questions,Twitter,https://archive.ph/LP9FK,
Juan Pagán,No,New York,Representative,7,No comment,,,
Yuri Dashevsky,No,New York,Representative,8,No comment,,,
Benine Hamdan,No,New York,Representative,10,Raised questions,Twitter,https://archive.ph/wip/p7NpC,
Nicole Malliotakis,Yes,New York,Representative,11,Fully denied,Congressional roll call,https://clerk.house.gov/Votes/202110?Date=01%2F06%2F2021,
Michael Zumbluskas,No,New York,Representative,12,Accepted with reservations,Email to FiveThirtyEight,,
Tina Forte,No,New York,Representative,14,Fully denied,Snopes,https://www.snopes.com/news/2021/08/25/tina-forte-capitol-riot/,
Stylo A. Sapaskis,No,New York,Representative,15,No comment,,,
Miriam L. Flisser,No,New York,Representative,16,Avoided answering,The Scarsdale Inquirer,https://www.scarsdalenews.com/top_stories/former-scarsdale-mayor-running-for-congress-updated/article_5ab95340-1fb8-11ed-a76d-cb19eef1ac95.html,
Michael V. Lawler,No,New York,Representative,17,Fully accepted,Email to FiveThirtyEight,,
Colin J. Schmitt,No,New York,Representative,18,Avoided answering,City & State New York,https://www.cityandstateny.com/politics/2021/04/can-a-trump-republican-unseat-maloney/182977/,
Marcus Molinaro,No,New York,Representative,19,No comment,,,
Elizabeth L. Joy,No,New York,Representative,20,Fully denied,Twitter,https://archive.ph/wip/X0SUF,
Elise M. Stefanik,Yes,New York,Representative,21,Fully denied,Congressional roll call,https://clerk.house.gov/Votes/202111?Date=01%2F06%2F2021,
Brandon M. Williams,No,New York,Representative,22,Accepted with reservations,"Syracuse.com, email to FiveThirtyEight",https://www.syracuse.com/politics/2022/07/cny-race-for-congress-steve-wells-ducks-trump-talk-while-opponent-embraces-ex-prez.html,
Nick Langworthy,No,New York,Representative,23,No comment,,,
Claudia Tenney,Yes,New York,Representative,24,Raised questions,"WRVO (Oswego, N.Y.)",https://www.wrvo.org/politics-and-government/2021-02-24/tenney-on-trump-capitol-attack-certifying-presidential-election-i-wouldve-been-torn,
La'Ron D. Singletary,No,New York,Representative,25,No comment,,,
Steven L. Sams II,No,New York,Representative,26,No comment,,,
Lee M. Zeldin,No,New York,Governor,N/A,Accepted with reservations,"Politico, congressional roll call",https://www.politico.com/news/2021/03/18/lee-zeldin-biden-election-playbook-interview-476949,
Michael Henry,No,New York,Attorney general,N/A,Fully accepted,Email to FiveThirtyEight,,
Ted Budd,No,North Carolina,Senator,N/A,Accepted with reservations,Associated Press,https://apnews.com/article/joe-biden-donald-trump-senate-elections-north-carolina-elections-7110a31accb16a56f104cd5ceb3cb364,
Sandy Smith,No,North Carolina,Representative,1,Fully denied,Twitter,https://archive.ph/4JJLr,
Christine E. Villaverde,No,North Carolina,Representative,2,Raised questions,Carolina Coast Online,https://www.carolinacoastonline.com/regional/article_3efde07e-c22c-11ec-b674-cbea7f88af15.html,
Greg Murphy,Yes,North Carolina,Representative,3,Fully denied,Congressional roll call,https://clerk.house.gov/Votes/202111?Date=01%2F06%2F2021,
Courtney Geels,No,North Carolina,Representative,4,Raised questions,Twitter,https://archive.ph/CelhH,
Virginia Foxx,Yes,North Carolina,Representative,5,Fully denied,Congressional roll call,https://clerk.house.gov/Votes/202111?Date=01%2F06%2F2021,
Christian Castelli,No,North Carolina,Representative,6,No comment,,,
David Rouzer,Yes,North Carolina,Representative,7,Fully denied,Congressional roll call,https://clerk.house.gov/Votes/202110?Date=01%2F06%2F2021,
Dan Bishop,Yes,North Carolina,Representative,8,Fully denied,Congressional roll call,https://clerk.house.gov/Votes/202110?Date=01%2F06%2F2021,
Richard Hudson,Yes,North Carolina,Representative,9,Fully denied,Congressional roll call,https://clerk.house.gov/Votes/202110?Date=01%2F06%2F2021,
Patrick McHenry,Yes,North Carolina,Representative,10,Fully accepted,Congressional roll call,https://clerk.house.gov/Votes/202110?Date=01%2F06%2F2021,
Chuck Edwards,No,North Carolina,Representative,11,Avoided answering,"WLOS (Asheville, N.C.)",https://wlos.com/news/local/trump-corrupt-mail-in-voting-destroyed-our-system,
Tyler Lee,No,North Carolina,Representative,12,Raised questions,Charlotte Observer,https://www.charlotteobserver.com/news/politics-government/election/voter-guide/article260597617.html,
Bo Hines,No,North Carolina,Representative,13,Fully denied,Washington Post,https://www.washingtonpost.com/politics/house-maga-squad/2021/12/26/654f49ea-5448-11ec-8769-2f4ecdf7a2ad_story.html,
Pat Harrigan,No,North Carolina,Representative,14,Accepted with reservations,Charlotte Observer,https://www.charlotteobserver.com/news/politics-government/election/voter-guide/article260985592.html,
John Hoeven,Yes,North Dakota,Senator,N/A,Fully accepted,Congressional roll call,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1171/vote_117_1_00002.htm,
Kelly Armstrong,Yes,North Dakota,Representative,At-Large,Fully accepted,Congressional roll call,https://clerk.house.gov/Votes/202111?Date=01%2F07%2F2021,
Drew Wrigley,Yes,North Dakota,Attorney general,N/A,Avoided answering,Email to FiveThirtyEight,,
Michael Howe,No,North Dakota,Secretary of state,N/A,Accepted with reservations,InForum,https://www.inforum.com/opinion/columns/plain-talk-2,
J.D. Vance,No,Ohio,Senator,N/A,Fully denied,WBUR,https://www.wbur.org/onpoint/2022/08/17/the-ohio-primary-and-what-it-means-for-the-general-election,
Steve Chabot,Yes,Ohio,Representative,1,Fully denied,Congressional roll call,,
Brad Wenstrup,Yes,Ohio,Representative,2,Accepted with reservations,Spectrum News,https://spectrumnews1.com/oh/columbus/news/2020/12/15/which-ohio-republicans-publicly-accept-joe-biden-won,
Lee R. Stahley,No,Ohio,Representative,3,Avoided answering,Email to FiveThirtyEight,,
Jim Jordan,Yes,Ohio,Representative,4,Fully denied,"CNN, Ohio Capital Journal, congressional roll call",https://ohiocapitaljournal.com/2022/01/03/election-lies-get-standing-ovation-at-jim-jordan-qa/,
Bob Latta,Yes,Ohio,Representative,5,Accepted with reservations,"Supreme Court amicus brief, congressional roll call",https://www.supremecourt.gov/DocketPDF/22/22O155/163403/20201210153048641_Texas%20v.%20Pennsylvania%20Amicus%20Brief%20of%20106%20Representatives.pdf,
Bill Johnson,Yes,Ohio,Representative,6,Fully denied,Congressional roll call,https://clerk.house.gov/Votes/202110?Date=01%2F06%2F2022 ,
Max Miller,No,Ohio,Representative,7,Accepted with reservations,Cleveland.com,https://www.cleveland.com/news/2022/09/trump-looms-in-7th-district-congressiona/,Previously fully denied election
Warren Davidson,Yes,Ohio,Representative,8,Fully denied,"Congressional roll call, WCPO-TV (Cincinnati, Ohio)",https://www.wcpo.com/news/local-news/butler-county/journal-news-davidson-defends-electoral-vote-opposition-during-town-hall,
J.R. Majewski,No,Ohio,Representative,9,Fully denied,"Email to FiveThirtyEight, WTVG (Toledo, Ohio)",https://www.13abc.com/2021/04/01/toledo-native-who-went-viral-for-trump-inspired-lawn-challenging-rep-kaptur/,
Mike Turner,Yes,Ohio,Representative,10,Fully accepted,"Twitter, congressional roll call",https://archive.ph/mqtfM,
Eric J. Brewer,No,Ohio,Representative,11,No comment,,,
Troy Balderson,Yes,Ohio,Representative,12,Fully accepted,"Balderson press, congressional roll call",https://balderson.house.gov/news/documentsingle.aspx?DocumentID=1922,
Madison Gesiotto Gilbert,No,Ohio,Representative,13,No comment,,,
David P. Joyce,Yes,Ohio,Representative,14,Fully accepted,"Joyce press, congressional roll call",https://joyce.house.gov/posts/joyce-issues-statement-on-inexcusable-violence-at-us-capitol,
Mike Carey,Yes,Ohio,Representative,15,No comment,,,
Mike DeWine,Yes,Ohio,Governor,N/A,Accepted with reservations,"Politico, CNN",https://www.politico.com/news/2021/01/03/dewine-tapper-election-fraud-453821,
Dave Yost,Yes,Ohio,Attorney general,N/A,Raised questions,Yost press,https://www.ohioattorneygeneral.gov/Media/News-Releases/December-2020/Ohio-Attorney-General-Dave-Yost-s-Statement-on-Ami,
Frank LaRose,Yes,Ohio,Secretary of state,N/A,Accepted with reservations,"Columbus Dispatch, Cincinnati Enquirer",https://www.dispatch.com/story/news/2022/04/26/larose-accepts-trump-endorsement-amid-voter-fraud-claims-ohio/7437555001/,
Markwayne Mullin,No,Oklahoma,Senator (unexpired term),N/A,Fully denied,"The Oklahoman, congressional roll call",https://www.oklahoman.com/story/news/politics/elections/state/2022/08/03/five-things-about-tuesdays-markwayne-mullin-t-w-shannon-debate/65390279007/,
James Lankford,Yes,Oklahoma,Senator,N/A,Accepted with reservations,"McClatchyDC, congressional roll call",https://www.mcclatchydc.com/news/nation-world/national/article248530080.html,
Kevin Hern,Yes,Oklahoma,Representative,1,Fully denied,Congressional roll call,https://clerk.house.gov/Votes/202111?Date=01%2F07%2F2021,
Josh Brecheen,No,Oklahoma,Representative,2,Fully denied,Email to FiveThirtyEight,,
