ID,Pollster,Polls,Live Caller With Cellphones,Internet,NCPP/AAPOR/Roper,Polls,Simple Average Error,Races Called Correctly,Advanced Plus-Minus,Predictive Plus-Minus,538 Grade,Banned by 538,Mean-Reverted Bias
256,University of Iowa,3,yes,no,no,1,15.86667,0.6666667,5.026736,0.7354057,C+,no,-0.2132258
257,Saint Leo University,1,no,no,no,1,4.07,0,0.237868,0.7360603,C+,no,0.1312903
258,Hellenthal & Associates,5,yes,no,no,3,8.169998,0.4,3.352582,0.7362872,C+,no,0.3978788
259,Hays Research Group,7,yes,no,no,3,7.678571,0.7142857,2.625287,0.7368585,C+,no,1.083333
260,American Research Group,260,yes,no,no,76,7.580269,0.7538462,0.632772,0.7373723,C+,no,-0.1307547
261,Cromer Group,1,no,no,no,1,3.899998,1,0.4417268,0.7426364,C+,no,-0.1258065
262,Liberty Opinion Research,1,no,no,no,0,5.73,1,0.4906219,0.7442136,C+,no,
263,Strategic Services,1,no,no,no,1,5.490002,0,0.4943201,0.7443329,C+,no,0.1770968
264,Rasmussen Reports/Pulse Opinion Research,657,no,no,no,516,5.29653,0.7876712,0.3687695,0.7483866,C+,no,-1.990934
265,Rossman Group,1,no,no,no,1,4.209999,1,0.6295655,0.7486957,C+,no,0.1358065
266,MarblePort,2,no,no,no,1,5.550001,1,0.5414361,0.7513398,C+,no,-0.2006451
267,University of South Florida,1,no,no,no,1,3.850002,1,0.7547381,0.7527335,C+,no,-0.1241935
268,Basswood Research,2,no,no,no,1,10.715,1,0.6128843,0.7558053,C+,no,-0.4209678
269,Zimmerman & Associates/Marketing Intelligence,3,no,no,no,3,4.673334,1,0.6069778,0.7624525,C+,no,0.2939394
270,ResearchNow,2,no,no,no,0,9.370001,1,0.7796888,0.7662306,C+,no,
271,R.L. Repass & Partners,1,no,no,no,0,11.15,1,1.196166,0.7669731,C+,no,
272,Harvard University,1,no,no,no,1,6.899998,0,1.198296,0.7670418,C+,no,0.2225806
273,Dan Jones & Associates,34,no,no,no,30,7.885588,0.9705882,0.41151,0.7673647,C+,no,0.9113333
274,West Virginia Research Center,2,no,no,no,2,6.450001,0.5,0.9225496,0.7751594,C+,no,0.403125
275,Global Strategy Group,21,yes,no,no,21,7.070952,0.6666667,1.452393,0.7773176,C+,no,1.945686
276,Becker Institute,3,no,no,no,3,7.606665,0.6666667,0.8376979,0.7834271,C+,no,0.6915151
277,Hamilton Campaigns,8,yes,no,no,8,7.02375,0.5625,2.637648,0.788092,C+,no,1.478684
278,TeleResearch Corporation,1,no,no,no,0,8.599998,1,2.165789,0.7982513,C+,no,
279,Roanoke College,12,yes,no,yes,9,9.015833,0.75,3.579617,0.8043804,C+,no,0.2964102
280,"Normington, Petts & Associates",10,no,no,no,10,6.419999,0.6,0.618274,0.8045685,C+,no,0.668
281,Research America Inc.,2,yes,no,no,0,20.74,1,8.235606,0.8055066,C+,no,
282,Opinion Consultants,2,no,no,no,2,6.470001,1,1.44259,0.8076619,C+,no,-0.404375
283,Kimball Political Consulting,4,yes,no,no,4,8.1,0.75,4.656388,0.815146,C+,no,-0.9529412
284,CrossTarget,2,no,no,no,2,7.699997,1,1.592398,0.8170249,C+,no,-0.48125
285,Great Lakes Strategies Group,1,no,no,no,1,7.599998,0,2.755818,0.8172845,C+,no,-0.2451613
286,"Public Strategies, Inc.",6,no,no,no,0,7.883333,1,0.8238751,0.8173125,C+,no,
287,Columbus Dispatch,18,no,no,no,15,4.929444,0.9722222,0.5711799,0.8191925,C+,no,1.148889
288,Independent Market Research,2,no,no,no,2,5.73,1,1.710033,0.8243771,C+,no,0.333125
289,University of Georgia,1,no,no,no,1,9.780003,1,3.03191,0.8261907,C+,no,-0.3154839
290,Lycoming College,3,no,no,no,3,7.283331,0.6666667,1.310083,0.8263713,C+,no,0.6621212
291,Star Tribune,13,yes,no,no,11,6.32077,0.4615385,2.071645,0.8310761,C+,no,1.476341
292,Illinois Wesleyan University,3,no,no,no,3,8.166668,1,1.371075,0.8319159,C+,no,-0.7424242
293,Ron Lester and Associates,1,no,no,no,0,18.9,1,3.27501,0.8340326,C+,no,
294,JMC Enterprises,5,no,no,no,4,7.836,1,1.04711,0.8381585,C,no,-0.8964705
295,TMR Research,2,no,no,no,2,7.844999,0,2.01332,0.8433325,C,no,0.4903125
296,Ed Renwick,5,no,no,no,2,6.478001,0.8,1.109414,0.8470592,C,no,0.08125
297,A&A Research,1,no,no,no,1,10.1,0,3.735664,0.8488924,C,no,-0.3258065
298,Southern Opinion Research,1,no,no,no,1,9.399998,1,3.745023,0.8491943,C,no,0.3032258
299,Decision Forecasting,3,no,no,no,3,8.09,1,1.603736,0.8530669,C,no,-0.1287879
300,"California State University, Bakersfield",1,no,no,no,1,9.849998,0,3.872054,0.8532921,C,no,-0.317742
301,New Frontier Strategy,1,no,no,no,0,21.6,0,3.944951,0.8556436,C,no,
302,Magellan Strategies,13,no,no,no,7,7.706924,0.9230769,0.757229,0.8600925,C,no,-0.5818919
303,Cherry Communications,2,no,no,no,1,9.215001,0.75,2.533788,0.8758618,C,no,-0.1267742
304,Marketing Research Institute,1,no,no,no,1,7.400002,0,4.585329,0.8763009,C,no,-0.2387097
305,Polling Company/Global Strategy Group (Hotline Bullseye),3,no,no,no,3,4.560001,0.3333333,1.951185,0.8846532,C,no,-0.4145454
306,Glascock Group,1,no,no,no,0,12.06,0,4.845338,0.8846883,C,no,
307,Target Insyght,1,no,no,no,0,15.38,1,4.940274,0.8877508,C,no,
308,Glover Park Group,1,no,no,no,1,11.36,0,4.942946,0.887837,C,no,-0.3664516
309,Inside Michigan Politics,1,no,no,no,0,13.2,0,5.020034,0.8903237,C,no,
310,Zata3,2,no,no,no,2,10.15,1,2.801866,0.8926166,C,no,-0.246875
311,Tulsa Surveys,1,no,no,no,1,11.9,1,5.20729,0.8963642,C,no,-0.383871
312,Momentum Analysis,3,yes,no,no,3,13.67,0.3333333,6.81823,0.8982689,C,no,0.5221212
313,Ivan Moore Research,5,yes,no,no,5,9.431999,0.4,4.504037,0.9007809,C,no,1.347429
314,Arthur J. Finkelstein & Associates,1,no,no,no,1,13.67,0,5.452302,0.9042678,C,no,-0.4409677
315,GaPundit.com,2,no,no,no,2,8.254999,0.25,3.024149,0.9065093,C,no,0.5159375
316,"SMS Research & Marketing Services, Inc.",1,no,no,no,1,9.75,0,5.729865,0.9132215,C,no,-0.3145161
317,GCR & Associates,1,no,no,no,0,18.3,1,6.056962,0.923773,C,no,
318,Minnesota State University Moorhead,4,no,no,no,3,9.25,1,2.02575,0.9359707,C,no,0.5363637
319,PSI,3,no,no,no,1,12.45,0.6666667,2.518881,0.936262,C,no,-0.1070968
320,"MarketAide Services, Inc.",1,no,no,no,1,11.2,1,6.915292,0.9514611,C,no,0.3612903
321,ccAdvertising,30,yes,no,no,28,7.067333,0.8833333,1.596811,0.9634057,C,no,-2.575172
322,Bannon Communications,2,no,no,no,2,10.37,1,4.003689,0.9677306,C,no,0.648125
323,Anzalone Liszt Grove Research,11,yes,no,no,11,7.632727,0.5454546,2.843413,0.9773166,C,no,1.36
324,Anderson Group,1,no,no,no,1,10.9,0,7.780523,0.9793717,C,no,-0.3516129
325,Big Ten,10,no,no,no,10,4.799,1,1.359216,0.989804,C,no,1.12325
326,University of New Orleans,9,no,no,no,6,6.653334,0.7777778,1.473626,0.9969907,C,no,0.2897222
327,Abacus Associates,2,no,no,no,2,12.065,0.5,4.874902,1.022181,C,no,-0.0290625
328,Maine People's Resource Center,7,no,no,no,6,7.539999,0.8571429,1.861134,1.023998,C,no,0.2541667
329,Datamar,8,no,no,no,5,6.289999,0.6875,1.743874,1.031342,C,no,-0.4097143
330,Schapiro Group,2,no,no,no,0,20,1,5.036587,1.032287,C,no,
331,Critical Insights,17,yes,no,no,15,8.617059,0.8823529,2.374904,1.048872,C,no,0.298
332,Greg Smith and Associates,5,no,no,no,5,8.530001,0.6,2.576494,1.056642,C,no,1.218572
333,TargetPoint,3,no,no,no,0,13.97,0.8333333,3.905684,1.062335,C,no,
334,Jeffrey Stonecash,1,no,no,no,1,17.33,0,10.73795,1.074773,C,no,-0.5590323
335,Trafalgar Group,12,no,no,no,0,9.118333,0.9166667,1.586916,1.090547,C,no,
336,We Ask America,52,no,no,no,33,6.951539,0.8269231,0.9202591,1.095286,C,no,-0.9166667
337,Merriman River Group,21,yes,no,no,19,7.683808,0.8095238,2.281184,1.118584,C-,no,-2.371837
338,Opinion Savvy/InsiderAdvantage,105,no,no,no,29,7.794381,0.7142857,0.8523786,1.122961,C-,no,0.7289831
339,Rainmaker Media Group,1,no,no,no,1,12.72,1,12.481,1.131,C-,no,0.4103226
340,Consumer Logic,4,no,no,no,4,8.777499,0.5,3.783531,1.142768,C-,no,0.6385294
341,University of Alabama,2,no,no,no,2,12.025,1,6.971654,1.153228,C-,no,-0.7515625
342,McLaughlin & Associates,19,no,yes,no,19,5.68,0.8421053,1.461089,1.166953,C-,no,-0.4555102
343,Neighbor,1,no,no,no,1,17.09,1,13.6828,1.169768,C-,no,-0.5512903
344,Zogby Interactive/JZ Analytics,465,no,yes,no,364,5.623549,0.7827957,0.8213917,1.173429,C-,no,-0.7988071
345,Southeastern Louisiana University,8,no,no,no,5,6.627501,0.875,2.423924,1.17451,C-,no,0.0431428
346,Harris Interactive,135,no,yes,yes,135,5.485185,0.8592592,1.241745,1.176056,C-,no,-1.521576
347,Ohio University,2,no,no,no,2,8.790001,0.5,7.669087,1.196818,C-,no,0.549375
348,20/20 Insight,5,no,no,no,2,16.6,0.4,3.611532,1.204505,C-,no,0.0125
349,Indiana University-Purdue University Fort Wayne,3,yes,no,no,0,23.5,0,10.31226,1.215908,C-,no,
350,Opinion Research Associates,12,yes,no,no,12,7.93,0.7083333,3.68492,1.262222,C-,no,1.748571
351,Optimus,4,no,no,no,2,13.3175,0.5,4.963184,1.281551,C-,no,-0.833125
352,SurveyMonkey,11,no,yes,no,0,11.22182,0.9090909,2.487321,1.310745,C-,no,
353,Loyola University (New Orleans),2,no,no,no,2,12.12,1,9.550997,1.314437,C-,no,0.7575
354,Clout Research/Wenzel Strategies,9,yes,no,no,8,8.955556,0.3333333,4.722919,1.315999,C-,no,-1.733684
355,Data West Polling,3,no,no,no,3,14.56667,0.3333333,7.033769,1.346706,C-,no,1.324242
356,Baydoun Consulting,6,no,no,no,4,6.831667,0.8333333,4.000275,1.346713,C-,no,-1.029118
357,Fort Hays State University,4,yes,no,no,0,23.7975,0.5,9.269634,1.357881,C-,no,
358,Brown University,12,yes,no,no,7,11.39083,0.8333333,4.035566,1.362407,C-,no,-0.4075676
359,Nielson Brothers Polling,6,no,no,no,6,8.509999,0.8333333,4.136522,1.36942,C-,no,1.418333
360,WCIA-TV,2,no,no,no,2,18.295,1,10.73353,1.388345,C-,no,-1.143438
361,CPEC LLC,3,no,no,no,0,16.16333,1,7.698291,1.407117,D+,no,
362,Marketing Workshop,7,no,no,no,7,9.738572,0.5714286,4.001523,1.428937,D+,no,0.2970271
363,Riggs Research Services,1,no,no,no,1,33.7,0,24.00029,1.50259,D+,no,1.087097
364,Dane & Associates,2,no,no,no,2,21.2,0.5,13.06037,1.533773,D+,no,-1.325
365,Brigham Young University,4,no,no,no,4,16.52,0.75,7.166168,1.540726,D+,no,1.943529
366,Massie & Associates,2,no,no,no,2,23.9,0,14.35812,1.614882,D+,no,-1.49375
367,Valley Research,6,no,no,no,6,11.485,0.8333333,5.722838,1.633806,D+,no,0.4002777
368,Millersville University,5,no,no,no,5,14.062,0.8,7.160359,1.71148,D,no,-1.494571
369,Jayhawk Consulting,1,no,no,no,1,42.94,0,31.77465,1.753376,D,no,1.385161
370,Mitchell Research & Communications,47,no,no,no,25,8.176383,0.7021276,2.150604,1.832966,D,no,-0.1001818
371,Humphrey Institute,10,no,no,no,8,13.065,0.4,6.779624,2.344906,D-,no,0.7981579
372,TCJ Research,133,no,no,no,125,6.446767,0.5864662,3.160468,3.025044,F,yes,-4.510129
