phrase,category,d_speeches,r_speeches,total,percent_of_d_speeches,percent_of_r_speeches,chi2,pval
transparent, ,3,8,11,13.04,29.63,1.553066901,0.212683254
security, ,8,16,24,34.78,59.26,1.550187869,0.213107708
hard work, ,8,16,24,34.78,59.26,1.550187869,0.213107708
fact, ,10,19,29,43.48,70.37,1.548614582,0.213340083
TRUE, ,10,19,29,43.48,70.37,1.548614582,0.213340083
great state, ,10,19,29,43.48,70.37,1.548614582,0.213340083
wife, ,10,19,29,43.48,70.37,1.548614582,0.213340083
000 new jobs, ,6,3,9,26.09,11.11,1.547504026,0.213504293
progress ve, ,6,3,9,26.09,11.11,1.547504026,0.213504293
want make, ,6,3,9,26.09,11.11,1.547504026,0.213504293
build new,economy/fiscal issues,6,3,9,26.09,11.11,1.547504026,0.213504293
years old, ,6,3,9,26.09,11.11,1.547504026,0.213504293
health care costs,health care,6,3,9,26.09,11.11,1.547504026,0.213504293
hand hand, ,6,3,9,26.09,11.11,1.547504026,0.213504293
care costs, ,6,3,9,26.09,11.11,1.547504026,0.213504293
graduate,education,13,9,22,56.52,33.33,1.517786561,0.21795476
fair, ,13,9,22,56.52,33.33,1.517786561,0.21795476
easy, ,14,10,24,60.87,37.04,1.469672571,0.225397362
make better, ,2,6,8,8.7,22.22,1.420289855,0.2333557
general fund,economy/fiscal issues,2,6,8,8.7,22.22,1.420289855,0.2333557
000 students, ,2,6,8,8.7,22.22,1.420289855,0.2333557
ladies gentlemen, ,2,6,8,8.7,22.22,1.420289855,0.2333557
god bless, ,13,23,36,56.52,85.19,1.417248166,0.233856873
fellow, ,13,23,36,56.52,85.19,1.417248166,0.233856873
primary, ,5,11,16,21.74,40.74,1.40136876,0.23649453
interests, ,5,11,16,21.74,40.74,1.40136876,0.23649453
understand, ,5,11,16,21.74,40.74,1.40136876,0.23649453
accomplish, ,5,11,16,21.74,40.74,1.40136876,0.23649453
project, ,5,11,16,21.74,40.74,1.40136876,0.23649453
grade, ,5,11,16,21.74,40.74,1.40136876,0.23649453
graduation,education,5,11,16,21.74,40.74,1.40136876,0.23649453
rebuild, ,5,11,16,21.74,40.74,1.40136876,0.23649453
lines, ,5,11,16,21.74,40.74,1.40136876,0.23649453
drugs,mental health/substance abuse,5,11,16,21.74,40.74,1.40136876,0.23649453
drive, ,5,11,16,21.74,40.74,1.40136876,0.23649453
production, ,5,11,16,21.74,40.74,1.40136876,0.23649453
turn, ,16,12,28,69.57,44.44,1.399585921,0.236792913
needed, ,11,20,31,47.83,74.07,1.380136097,0.240077966
improve, ,11,20,31,47.83,74.07,1.380136097,0.240077966
created, ,11,20,31,47.83,74.07,1.380136097,0.240077966
welcoming, ,7,4,11,30.43,14.81,1.37739716,0.240545004
doctor,health care,7,4,11,30.43,14.81,1.37739716,0.240545004
tens, ,7,4,11,30.43,14.81,1.37739716,0.240545004
going make, ,7,4,11,30.43,14.81,1.37739716,0.240545004
strongest, ,7,4,11,30.43,14.81,1.37739716,0.240545004
congress, ,7,4,11,30.43,14.81,1.37739716,0.240545004
morning, ,7,4,11,30.43,14.81,1.37739716,0.240545004
behalf, ,7,4,11,30.43,14.81,1.37739716,0.240545004
working families,economy/fiscal issues,7,4,11,30.43,14.81,1.37739716,0.240545004
congressional, ,7,4,11,30.43,14.81,1.37739716,0.240545004
job training,economy/fiscal issues,7,4,11,30.43,14.81,1.37739716,0.240545004
including, ,17,13,30,73.91,48.15,1.374127751,0.241103943
economic impact,economy/fiscal issues,1,4,5,4.35,14.81,1.360708535,0.243414724
largest investment, ,1,4,5,4.35,14.81,1.360708535,0.243414724
budget calls,economy/fiscal issues,1,4,5,4.35,14.81,1.360708535,0.243414724
service sacrifice, ,1,4,5,4.35,14.81,1.360708535,0.243414724
year want, ,1,4,5,4.35,14.81,1.360708535,0.243414724
god continue, ,1,4,5,4.35,14.81,1.360708535,0.243414724
air force, ,1,4,5,4.35,14.81,1.360708535,0.243414724
water quality,energy/environment,1,4,5,4.35,14.81,1.360708535,0.243414724
lowest unemployment,economy/fiscal issues,1,4,5,4.35,14.81,1.360708535,0.243414724
high paying jobs,economy/fiscal issues,1,4,5,4.35,14.81,1.360708535,0.243414724
like ve, ,1,4,5,4.35,14.81,1.360708535,0.243414724
want begin, ,1,4,5,4.35,14.81,1.360708535,0.243414724
high demand jobs,economy/fiscal issues,1,4,5,4.35,14.81,1.360708535,0.243414724
health issues,health care,1,4,5,4.35,14.81,1.360708535,0.243414724
government spending,economy/fiscal issues,1,4,5,4.35,14.81,1.360708535,0.243414724
god continue bless, ,1,4,5,4.35,14.81,1.360708535,0.243414724
ve great, ,1,4,5,4.35,14.81,1.360708535,0.243414724
continue bless great, ,1,4,5,4.35,14.81,1.360708535,0.243414724
child welfare, ,1,4,5,4.35,14.81,1.360708535,0.243414724
children foster care,education,1,4,5,4.35,14.81,1.360708535,0.243414724
children foster,education,1,4,5,4.35,14.81,1.360708535,0.243414724
think agree, ,1,4,5,4.35,14.81,1.360708535,0.243414724
important issue, ,1,4,5,4.35,14.81,1.360708535,0.243414724
increase number, ,1,4,5,4.35,14.81,1.360708535,0.243414724
today like, ,1,4,5,4.35,14.81,1.360708535,0.243414724
future state, ,1,4,5,4.35,14.81,1.360708535,0.243414724
bachelor degree,education,1,4,5,4.35,14.81,1.360708535,0.243414724
step forward, ,1,4,5,4.35,14.81,1.360708535,0.243414724
state today, ,1,4,5,4.35,14.81,1.360708535,0.243414724
continue bless, ,1,4,5,4.35,14.81,1.360708535,0.243414724
join thanking, ,1,4,5,4.35,14.81,1.360708535,0.243414724
special interests, ,1,4,5,4.35,14.81,1.360708535,0.243414724
tax cuts,economy/fiscal issues,1,4,5,4.35,14.81,1.360708535,0.243414724
high paying,economy/fiscal issues,1,4,5,4.35,14.81,1.360708535,0.243414724
mental health issues,mental health/substance abuse,1,4,5,4.35,14.81,1.360708535,0.243414724
teacher pay raise,education,1,4,5,4.35,14.81,1.360708535,0.243414724
school boards,education,1,4,5,4.35,14.81,1.360708535,0.243414724
school college,education,1,4,5,4.35,14.81,1.360708535,0.243414724
department transportation, ,1,4,5,4.35,14.81,1.360708535,0.243414724
make sense, ,1,4,5,4.35,14.81,1.360708535,0.243414724
access high, ,1,4,5,4.35,14.81,1.360708535,0.243414724
private partnership, ,1,4,5,4.35,14.81,1.360708535,0.243414724
school student,education,1,4,5,4.35,14.81,1.360708535,0.243414724
help reduce, ,1,4,5,4.35,14.81,1.360708535,0.243414724
demand jobs, ,1,4,5,4.35,14.81,1.360708535,0.243414724
high school college,education,1,4,5,4.35,14.81,1.360708535,0.243414724
pleased report, ,1,4,5,4.35,14.81,1.360708535,0.243414724
non violent,crime/justice,1,4,5,4.35,14.81,1.360708535,0.243414724
day state, ,1,4,5,4.35,14.81,1.360708535,0.243414724
14 000, ,1,4,5,4.35,14.81,1.360708535,0.243414724
120 million, ,1,4,5,4.35,14.81,1.360708535,0.243414724
police officer,crime/justice,1,4,5,4.35,14.81,1.360708535,0.243414724
creating new, ,1,4,5,4.35,14.81,1.360708535,0.243414724
new investments, ,1,4,5,4.35,14.81,1.360708535,0.243414724
mr speaker members, ,1,4,5,4.35,14.81,1.360708535,0.243414724
parents teachers,education,1,4,5,4.35,14.81,1.360708535,0.243414724
tax reform,economy/fiscal issues,1,4,5,4.35,14.81,1.360708535,0.243414724
recruit retain, ,1,4,5,4.35,14.81,1.360708535,0.243414724
violent crime,crime/justice,1,4,5,4.35,14.81,1.360708535,0.243414724
public servant, ,1,4,5,4.35,14.81,1.360708535,0.243414724
development programs, ,1,4,5,4.35,14.81,1.360708535,0.243414724
public private partnership, ,1,4,5,4.35,14.81,1.360708535,0.243414724
does, ,9,17,26,39.13,62.96,1.356620835,0.24412398
consider, ,7,14,21,30.43,51.85,1.356414385,0.244159868
group, ,7,14,21,30.43,51.85,1.356414385,0.244159868
develop, ,7,14,21,30.43,51.85,1.356414385,0.244159868
significant, ,7,14,21,30.43,51.85,1.356414385,0.244159868
workers,economy/fiscal issues,18,14,32,78.26,51.85,1.353462158,0.244673768
access, ,20,16,36,86.96,59.26,1.323313652,0.249998219
health care,health care,23,19,42,100,70.37,1.298059965,0.254567898
opportunities, ,14,24,38,60.87,88.89,1.282990084,0.257343819
campaign, ,8,5,13,34.78,18.52,1.263594698,0.260971758
parent, ,8,5,13,34.78,18.52,1.263594698,0.260971758
central, ,8,5,13,34.78,18.52,1.263594698,0.260971758
delegation, ,8,5,13,34.78,18.52,1.263594698,0.260971758
turned, ,8,5,13,34.78,18.52,1.263594698,0.260971758
playing, ,8,5,13,34.78,18.52,1.263594698,0.260971758
hospitals,health care,8,5,13,34.78,18.52,1.263594698,0.260971758
saying, ,8,5,13,34.78,18.52,1.263594698,0.260971758
message, ,8,5,13,34.78,18.52,1.263594698,0.260971758
attorney, ,8,5,13,34.78,18.52,1.263594698,0.260971758
cover, ,8,5,13,34.78,18.52,1.263594698,0.260971758
good paying, ,8,5,13,34.78,18.52,1.263594698,0.260971758
mayor, ,8,5,13,34.78,18.52,1.263594698,0.260971758
miles, ,4,9,13,17.39,33.33,1.214046823,0.270532137
scholarship,education,4,9,13,17.39,33.33,1.214046823,0.270532137
identify, ,4,9,13,17.39,33.33,1.214046823,0.270532137
compete, ,4,9,13,17.39,33.33,1.214046823,0.270532137
overall, ,4,9,13,17.39,33.33,1.214046823,0.270532137
accountable, ,4,9,13,17.39,33.33,1.214046823,0.270532137
overcome, ,4,9,13,17.39,33.33,1.214046823,0.270532137
celebrate, ,4,9,13,17.39,33.33,1.214046823,0.270532137
globe, ,4,9,13,17.39,33.33,1.214046823,0.270532137
kept, ,4,9,13,17.39,33.33,1.214046823,0.270532137
multiple, ,4,9,13,17.39,33.33,1.214046823,0.270532137
commit, ,4,9,13,17.39,33.33,1.214046823,0.270532137
field, ,4,9,13,17.39,33.33,1.214046823,0.270532137
transform, ,4,9,13,17.39,33.33,1.214046823,0.270532137
god bless great, ,4,9,13,17.39,33.33,1.214046823,0.270532137
recently, ,10,18,28,43.48,66.67,1.192546584,0.274816481
mental health,mental health/substance abuse,10,18,28,43.48,66.67,1.192546584,0.274816481
center, ,10,18,28,43.48,66.67,1.192546584,0.274816481
learning,education,10,18,28,43.48,66.67,1.192546584,0.274816481
pursue, ,9,6,15,39.13,22.22,1.183574879,0.276629421
productive, ,9,6,15,39.13,22.22,1.183574879,0.276629421
years ve, ,9,6,15,39.13,22.22,1.183574879,0.276629421
division, ,9,6,15,39.13,22.22,1.183574879,0.276629421
mother, ,9,6,15,39.13,22.22,1.183574879,0.276629421
incredible, ,8,15,23,34.78,55.56,1.165091367,0.280412133
currently, ,8,15,23,34.78,55.56,1.165091367,0.280412133
counties, ,8,15,23,34.78,55.56,1.165091367,0.280412133
aside, ,6,12,18,26.09,44.44,1.162640902,0.280918513
crime,crime/justice,6,12,18,26.09,44.44,1.162640902,0.280918513
respect, ,10,7,17,43.48,25.93,1.125414417,0.28875557
tuition,education,10,7,17,43.48,25.93,1.125414417,0.28875557
health insurance,health care,10,7,17,43.48,25.93,1.125414417,0.28875557
protection, ,10,7,17,43.48,25.93,1.125414417,0.28875557
majority, ,10,7,17,43.48,25.93,1.125414417,0.28875557
lack, ,10,7,17,43.48,25.93,1.125414417,0.28875557
advantage, ,10,7,17,43.48,25.93,1.125414417,0.28875557
poverty,economy/fiscal issues,10,7,17,43.48,25.93,1.125414417,0.28875557
line, ,13,22,35,56.52,81.48,1.105360018,0.293092806
federal government, ,11,8,19,47.83,29.63,1.082210357,0.29820361
bills, ,11,8,19,47.83,29.63,1.082210357,0.29820361
responsible, ,11,8,19,47.83,29.63,1.082210357,0.29820361
2019, ,11,8,19,47.83,29.63,1.082210357,0.29820361
gives, ,11,8,19,47.83,29.63,1.082210357,0.29820361
chief, ,11,19,30,47.83,70.37,1.052066559,0.305031619
legislative, ,11,19,30,47.83,70.37,1.052066559,0.305031619
small business owners,economy/fiscal issues,4,2,6,17.39,7.41,1.031669351,0.309766908
high tech, ,4,2,6,17.39,7.41,1.031669351,0.309766908
tax dollars,economy/fiscal issues,4,2,6,17.39,7.41,1.031669351,0.309766908
opportunity zones,economy/fiscal issues,4,2,6,17.39,7.41,1.031669351,0.309766908
make ends meet,economy/fiscal issues,4,2,6,17.39,7.41,1.031669351,0.309766908
local businesses,economy/fiscal issues,4,2,6,17.39,7.41,1.031669351,0.309766908
jobs future,economy/fiscal issues,4,2,6,17.39,7.41,1.031669351,0.309766908
budget provide,economy/fiscal issues,4,2,6,17.39,7.41,1.031669351,0.309766908
world class education,education,4,2,6,17.39,7.41,1.031669351,0.309766908
families communities, ,4,2,6,17.39,7.41,1.031669351,0.309766908
community based, ,4,2,6,17.39,7.41,1.031669351,0.309766908
children state, ,4,2,6,17.39,7.41,1.031669351,0.309766908
children parents, ,4,2,6,17.39,7.41,1.031669351,0.309766908
children families, ,4,2,6,17.39,7.41,1.031669351,0.309766908
leaders state, ,4,2,6,17.39,7.41,1.031669351,0.309766908
work raise, ,4,2,6,17.39,7.41,1.031669351,0.309766908
department health, ,4,2,6,17.39,7.41,1.031669351,0.309766908
public private partnerships, ,4,2,6,17.39,7.41,1.031669351,0.309766908
distinguished members, ,4,2,6,17.39,7.41,1.031669351,0.309766908
private partnerships, ,4,2,6,17.39,7.41,1.031669351,0.309766908
good news, ,4,2,6,17.39,7.41,1.031669351,0.309766908
greenhouse gas,energy/environment,4,2,6,17.39,7.41,1.031669351,0.309766908
state new, ,4,2,6,17.39,7.41,1.031669351,0.309766908
ends meet, ,4,2,6,17.39,7.41,1.031669351,0.309766908
finish line, ,4,2,6,17.39,7.41,1.031669351,0.309766908
dedicated teachers,education,4,2,6,17.39,7.41,1.031669351,0.309766908
class education,education,4,2,6,17.39,7.41,1.031669351,0.309766908
make ends, ,4,2,6,17.39,7.41,1.031669351,0.309766908
make health, ,4,2,6,17.39,7.41,1.031669351,0.309766908
new ideas, ,4,2,6,17.39,7.41,1.031669351,0.309766908
100 new, ,4,2,6,17.39,7.41,1.031669351,0.309766908
reasons, ,3,7,10,13.04,25.93,1.030595813,0.310018769
zero, ,3,7,10,13.04,25.93,1.030595813,0.310018769
passion, ,3,7,10,13.04,25.93,1.030595813,0.310018769
agricultural, ,3,7,10,13.04,25.93,1.030595813,0.310018769
clearly, ,3,7,10,13.04,25.93,1.030595813,0.310018769
experiences, ,3,7,10,13.04,25.93,1.030595813,0.310018769
lead nation, ,3,7,10,13.04,25.93,1.030595813,0.310018769
speech, ,3,7,10,13.04,25.93,1.030595813,0.310018769
south, ,3,7,10,13.04,25.93,1.030595813,0.310018769
established, ,3,7,10,13.04,25.93,1.030595813,0.310018769
youth, ,3,7,10,13.04,25.93,1.030595813,0.310018769
biggest, ,3,7,10,13.04,25.93,1.030595813,0.310018769
wise, ,3,7,10,13.04,25.93,1.030595813,0.310018769
expected, ,3,7,10,13.04,25.93,1.030595813,0.310018769
blessed, ,3,7,10,13.04,25.93,1.030595813,0.310018769
secondary, ,3,7,10,13.04,25.93,1.030595813,0.310018769
wouldn, ,3,7,10,13.04,25.93,1.030595813,0.310018769
friendly, ,3,7,10,13.04,25.93,1.030595813,0.310018769
absolutely, ,3,7,10,13.04,25.93,1.030595813,0.310018769
roll, ,3,7,10,13.04,25.93,1.030595813,0.310018769
resulting, ,3,7,10,13.04,25.93,1.030595813,0.310018769
year year, ,3,7,10,13.04,25.93,1.030595813,0.310018769
truth, ,3,7,10,13.04,25.93,1.030595813,0.310018769
accomplished, ,3,7,10,13.04,25.93,1.030595813,0.310018769
employment,economy/fiscal issues,3,7,10,13.04,25.93,1.030595813,0.310018769
broadband, ,13,10,23,56.52,37.04,1.025064762,0.311320638
run, ,13,10,23,56.52,37.04,1.025064762,0.311320638
cabinet, ,13,10,23,56.52,37.04,1.025064762,0.311320638
asking, ,14,11,25,60.87,40.74,1.006441224,0.315756924
didn, ,14,11,25,60.87,40.74,1.006441224,0.315756924
order, ,9,16,25,39.13,59.26,1.006441224,0.315756924
fiscal,economy/fiscal issues,9,16,25,39.13,59.26,1.006441224,0.315756924
reform, ,9,16,25,39.13,59.26,1.006441224,0.315756924
roads, ,15,12,27,65.22,44.44,0.992485239,0.319135718
medical,health care,15,12,27,65.22,44.44,0.992485239,0.319135718
leave, ,16,13,29,69.57,48.15,0.982231107,0.321648602
passed, ,16,13,29,69.57,48.15,0.982231107,0.321648602
clean, ,17,14,31,73.91,51.85,0.97496234,0.323445696
area, ,7,13,20,30.43,48.15,0.974235105,0.323626222
faith, ,7,13,20,30.43,48.15,0.974235105,0.323626222
state budget,economy/fiscal issues,7,13,20,30.43,48.15,0.974235105,0.323626222
projects, ,7,13,20,30.43,48.15,0.974235105,0.323626222
chief justice, ,7,13,20,30.43,48.15,0.974235105,0.323626222
company,economy/fiscal issues,7,13,20,30.43,48.15,0.974235105,0.323626222
state nation, ,7,13,20,30.43,48.15,0.974235105,0.323626222
share, ,18,15,33,78.26,55.56,0.970136144,0.324646227
started, ,18,15,33,78.26,55.56,0.970136144,0.324646227
10, ,18,15,33,78.26,55.56,0.970136144,0.324646227
takes, ,5,10,15,21.74,37.04,0.968867418,0.324962804
soon, ,5,10,15,21.74,37.04,0.968867418,0.324962804
provided, ,5,10,15,21.74,37.04,0.968867418,0.324962804
calling, ,5,10,15,21.74,37.04,0.968867418,0.324962804
base, ,5,10,15,21.74,37.04,0.968867418,0.324962804
council, ,5,10,15,21.74,37.04,0.968867418,0.324962804
receive, ,5,10,15,21.74,37.04,0.968867418,0.324962804
river, ,5,10,15,21.74,37.04,0.968867418,0.324962804
connected, ,5,10,15,21.74,37.04,0.968867418,0.324962804
served, ,5,10,15,21.74,37.04,0.968867418,0.324962804
violent,crime/justice,5,10,15,21.74,37.04,0.968867418,0.324962804
voters, ,5,10,15,21.74,37.04,0.968867418,0.324962804
100, ,19,16,35,82.61,59.26,0.967333793,0.325346024
largest, ,12,20,32,52.17,74.07,0.930756844,0.334666337
renewable energy,energy/environment,5,3,8,21.74,11.11,0.876811594,0.349076448
new businesses,economy/fiscal issues,5,3,8,21.74,11.11,0.876811594,0.349076448
graduate high school,education,5,3,8,21.74,11.11,0.876811594,0.349076448
graduate high,education,5,3,8,21.74,11.11,0.876811594,0.349076448
property taxes,economy/fiscal issues,5,3,8,21.74,11.11,0.876811594,0.349076448
young children,education,5,3,8,21.74,11.11,0.876811594,0.349076448
business owners,economy/fiscal issues,5,3,8,21.74,11.11,0.876811594,0.349076448
recent years, ,5,3,8,21.74,11.11,0.876811594,0.349076448
moving forward, ,5,3,8,21.74,11.11,0.876811594,0.349076448
tens thousands, ,5,3,8,21.74,11.11,0.876811594,0.349076448
let remember, ,5,3,8,21.74,11.11,0.876811594,0.349076448
work thank, ,5,3,8,21.74,11.11,0.876811594,0.349076448
hundreds thousands, ,5,3,8,21.74,11.11,0.876811594,0.349076448
clean water,energy/environment,5,3,8,21.74,11.11,0.876811594,0.349076448
skills need, ,5,3,8,21.74,11.11,0.876811594,0.349076448
men, ,10,17,27,43.48,62.96,0.873203316,0.350070019
officers, ,10,17,27,43.48,62.96,0.873203316,0.350070019
cut, ,10,17,27,43.48,62.96,0.873203316,0.350070019
new opportunities, ,2,5,7,8.7,18.52,0.855992639,0.354862558
day fund, ,2,5,7,8.7,18.52,0.855992639,0.354862558
new york, ,2,5,7,8.7,18.52,0.855992639,0.354862558
opioid addiction,mental health/substance abuse,2,5,7,8.7,18.52,0.855992639,0.354862558
time state history, ,2,5,7,8.7,18.52,0.855992639,0.354862558
opportunity serve, ,2,5,7,8.7,18.52,0.855992639,0.354862558
30 million, ,2,5,7,8.7,18.52,0.855992639,0.354862558
continue work, ,2,5,7,8.7,18.52,0.855992639,0.354862558
high schools,education,2,5,7,8.7,18.52,0.855992639,0.354862558
continue make, ,2,5,7,8.7,18.52,0.855992639,0.354862558
grow economy,economy/fiscal issues,2,5,7,8.7,18.52,0.855992639,0.354862558
fully funded,economy/fiscal issues,2,5,7,8.7,18.52,0.855992639,0.354862558
rainy day fund,economy/fiscal issues,2,5,7,8.7,18.52,0.855992639,0.354862558
teacher salaries,education,2,5,7,8.7,18.52,0.855992639,0.354862558
improve lives, ,2,5,7,8.7,18.52,0.855992639,0.354862558
human services, ,2,5,7,8.7,18.52,0.855992639,0.354862558
increased, ,8,14,22,34.78,51.85,0.82242717,0.364471473
agencies, ,8,14,22,34.78,51.85,0.82242717,0.364471473
recovery, ,8,14,22,34.78,51.85,0.82242717,0.364471473
ability, ,8,14,22,34.78,51.85,0.82242717,0.364471473
innovative, ,8,14,22,34.78,51.85,0.82242717,0.364471473
current, ,8,14,22,34.78,51.85,0.82242717,0.364471473
purpose, ,8,14,22,34.78,51.85,0.82242717,0.364471473
forward, ,16,25,41,69.57,92.59,0.803149916,0.370153262
law, ,16,25,41,69.57,92.59,0.803149916,0.370153262
public health,health care,6,4,10,26.09,14.81,0.789049919,0.374387564
opened, ,6,4,10,26.09,14.81,0.789049919,0.374387564
impacted, ,6,4,10,26.09,14.81,0.789049919,0.374387564
behavioral, ,6,4,10,26.09,14.81,0.789049919,0.374387564
fresh, ,6,4,10,26.09,14.81,0.789049919,0.374387564
communities state, ,6,4,10,26.09,14.81,0.789049919,0.374387564
way life, ,6,4,10,26.09,14.81,0.789049919,0.374387564
helps, ,6,4,10,26.09,14.81,0.789049919,0.374387564
talked, ,6,4,10,26.09,14.81,0.789049919,0.374387564
degrees, ,6,4,10,26.09,14.81,0.789049919,0.374387564
homeless, ,6,4,10,26.09,14.81,0.789049919,0.374387564
rural areas, ,6,4,10,26.09,14.81,0.789049919,0.374387564
youngest, ,6,4,10,26.09,14.81,0.789049919,0.374387564
owners, ,6,4,10,26.09,14.81,0.789049919,0.374387564
executive order, ,6,4,10,26.09,14.81,0.789049919,0.374387564
just like, ,6,4,10,26.09,14.81,0.789049919,0.374387564
loss, ,6,4,10,26.09,14.81,0.789049919,0.374387564
saved, ,6,4,10,26.09,14.81,0.789049919,0.374387564
healthier,health care,6,4,10,26.09,14.81,0.789049919,0.374387564
enact, ,6,4,10,26.09,14.81,0.789049919,0.374387564
live work, ,6,4,10,26.09,14.81,0.789049919,0.374387564
behavioral health,health care,6,4,10,26.09,14.81,0.789049919,0.374387564
parties, ,6,4,10,26.09,14.81,0.789049919,0.374387564
gave, ,6,11,17,26.09,40.74,0.784408449,0.375796261
emergency, ,6,11,17,26.09,40.74,0.784408449,0.375796261
taxpayer,economy/fiscal issues,6,11,17,26.09,40.74,0.784408449,0.375796261
reforms, ,6,11,17,26.09,40.74,0.784408449,0.375796261
private sector,economy/fiscal issues,6,11,17,26.09,40.74,0.784408449,0.375796261
attention, ,6,11,17,26.09,40.74,0.784408449,0.375796261
direction, ,6,11,17,26.09,40.74,0.784408449,0.375796261
difficult, ,6,11,17,26.09,40.74,0.784408449,0.375796261
advanced, ,6,11,17,26.09,40.74,0.784408449,0.375796261
mind, ,6,11,17,26.09,40.74,0.784408449,0.375796261
time state, ,6,11,17,26.09,40.74,0.784408449,0.375796261
buildings, ,6,11,17,26.09,40.74,0.784408449,0.375796261
safer, ,6,11,17,26.09,40.74,0.784408449,0.375796261
feel, ,6,11,17,26.09,40.74,0.784408449,0.375796261
servants, ,4,8,12,17.39,29.63,0.775093935,0.378645801
towns, ,4,8,12,17.39,29.63,0.775093935,0.378645801
gratitude, ,4,8,12,17.39,29.63,0.775093935,0.378645801
authority, ,4,8,12,17.39,29.63,0.775093935,0.378645801
offenders,crime/justice,4,8,12,17.39,29.63,0.775093935,0.378645801
limited, ,4,8,12,17.39,29.63,0.775093935,0.378645801
sales, ,4,8,12,17.39,29.63,0.775093935,0.378645801
war, ,4,8,12,17.39,29.63,0.775093935,0.378645801
required, ,4,8,12,17.39,29.63,0.775093935,0.378645801
physical, ,4,8,12,17.39,29.63,0.775093935,0.378645801
19, ,4,8,12,17.39,29.63,0.775093935,0.378645801
public servants, ,4,8,12,17.39,29.63,0.775093935,0.378645801
public service, ,4,8,12,17.39,29.63,0.775093935,0.378645801
present, ,4,8,12,17.39,29.63,0.775093935,0.378645801
experienced, ,4,8,12,17.39,29.63,0.775093935,0.378645801
taxpayer dollars,economy/fiscal issues,4,8,12,17.39,29.63,0.775093935,0.378645801
efficiency, ,4,8,12,17.39,29.63,0.775093935,0.378645801
revenue,economy/fiscal issues,11,18,29,47.83,66.67,0.76011994,0.38329099
foundation, ,11,18,29,47.83,66.67,0.76011994,0.38329099
thanks, ,11,18,29,47.83,66.67,0.76011994,0.38329099
america, ,11,18,29,47.83,66.67,0.76011994,0.38329099
funds,economy/fiscal issues,11,18,29,47.83,66.67,0.76011994,0.38329099
offered, ,7,5,12,30.43,18.52,0.734836286,0.391320038
shouldn, ,7,5,12,30.43,18.52,0.734836286,0.391320038
worked hard, ,7,5,12,30.43,18.52,0.734836286,0.391320038
hundreds millions dollars,economy/fiscal issues,7,5,12,30.43,18.52,0.734836286,0.391320038
fighting, ,7,5,12,30.43,18.52,0.734836286,0.391320038
protected, ,7,5,12,30.43,18.52,0.734836286,0.391320038
friend, ,7,5,12,30.43,18.52,0.734836286,0.391320038
complete, ,7,5,12,30.43,18.52,0.734836286,0.391320038
poor, ,7,5,12,30.43,18.52,0.734836286,0.391320038
date, ,7,5,12,30.43,18.52,0.734836286,0.391320038
ends, ,7,5,12,30.43,18.52,0.734836286,0.391320038
mistake, ,7,5,12,30.43,18.52,0.734836286,0.391320038
ambitious, ,7,5,12,30.43,18.52,0.734836286,0.391320038
car, ,7,5,12,30.43,18.52,0.734836286,0.391320038
hundreds millions, ,7,5,12,30.43,18.52,0.734836286,0.391320038
green, ,7,5,12,30.43,18.52,0.734836286,0.391320038
fear, ,8,6,14,34.78,22.22,0.699792961,0.402853271
break, ,8,6,14,34.78,22.22,0.699792961,0.402853271
sent, ,8,6,14,34.78,22.22,0.699792961,0.402853271
forget, ,8,6,14,34.78,22.22,0.699792961,0.402853271
future generations, ,8,6,14,34.78,22.22,0.699792961,0.402853271
americans, ,8,6,14,34.78,22.22,0.699792961,0.402853271
carry, ,8,6,14,34.78,22.22,0.699792961,0.402853271
actually, ,8,6,14,34.78,22.22,0.699792961,0.402853271
head, ,8,6,14,34.78,22.22,0.699792961,0.402853271
capitol, ,8,6,14,34.78,22.22,0.699792961,0.402853271
director, ,8,6,14,34.78,22.22,0.699792961,0.402853271
community college,education,8,6,14,34.78,22.22,0.699792961,0.402853271
emissions,energy/environment,8,6,14,34.78,22.22,0.699792961,0.402853271
remain, ,9,15,24,39.13,55.56,0.698067633,0.40343376
50, ,9,15,24,39.13,55.56,0.698067633,0.40343376
called, ,9,15,24,39.13,55.56,0.698067633,0.40343376
provides, ,9,15,24,39.13,55.56,0.698067633,0.40343376
allow, ,9,15,24,39.13,55.56,0.698067633,0.40343376
start, ,23,21,44,100,77.78,0.696969697,0.403803797
come, ,23,21,44,100,77.78,0.696969697,0.403803797
ve, ,22,20,42,95.65,74.07,0.688444138,0.406694092
don, ,21,19,40,91.3,70.37,0.680354267,0.40946476
patients, ,9,7,16,39.13,25.93,0.676731079,0.410714643
wages,economy/fiscal issues,9,7,16,39.13,25.93,0.676731079,0.410714643
gas, ,9,7,16,39.13,25.93,0.676731079,0.410714643
skilled, ,9,7,16,39.13,25.93,0.676731079,0.410714643
making sure, ,9,7,16,39.13,25.93,0.676731079,0.410714643
numbers, ,9,7,16,39.13,25.93,0.676731079,0.410714643
begins, ,9,7,16,39.13,25.93,0.676731079,0.410714643
town, ,9,7,16,39.13,25.93,0.676731079,0.410714643
real, ,20,18,38,86.96,66.67,0.672768879,0.412087912
percent, ,19,17,36,82.61,62.96,0.665772052,0.414529557
ll, ,19,17,36,82.61,62.96,0.665772052,0.414529557
small, ,19,17,36,82.61,62.96,0.665772052,0.414529557
