Owner,Team,League,Recipient,Amount,Election Year,Party
Edward P. Roski Jr.,Los Angeles Kings,NHL,NRSC,"$35,000 ",2018,Republican
Edward P. Roski Jr.,Los Angeles Kings,NHL,TEAM RYAN,"$25,000 ",2016,Republican
Edward P. Roski Jr.,Los Angeles Kings,NHL,MCCAIN-AYOTTE JOINT VICTORY COMMITTEE,"$10,800 ",2016,Republican
Edward P. Roski Jr.,Los Angeles Kings,NHL,BOEHNER FOR SPEAKER,"$10,000 ",2016,Republican
Edward P. Roski Jr.,Los Angeles Kings,NHL,SOUTHERN CALIFORNIA FUND,"$10,000 ",2016,Democrat
Edward P. Roski Jr.,Los Angeles Kings,NHL,Republican Party of Wisconsin,"$10,000 ",2018,Republican
Edward P. Roski Jr.,Los Angeles Kings,NHL,GARDNER VICTORY COMMITTEE,"$5,600 ",2020,Republican
Edward P. Roski Jr.,Los Angeles Kings,NHL,MCSALLY SENATE VICTORY FUND 2020,"$5,600 ",2020,Republican
Edward P. Roski Jr.,Los Angeles Kings,NHL,TAYLOR FOR CONGRESS 2020,"$5,600 ",2020,Republican
Edward P. Roski Jr.,Los Angeles Kings,NHL,TEXANS FOR SENATOR JOHN CORNYN INC.,"$5,600 ",2020,Republican
Edward P. Roski Jr.,Los Angeles Kings,NHL,BOOZMAN FOR ARKANSAS,"$5,400 ",2016,Republican
Edward P. Roski Jr.,Los Angeles Kings,NHL,LIZ CHENEY FOR WYOMING,"$5,400 ",2016,Republican
Edward P. Roski Jr.,Los Angeles Kings,NHL,COMMITTEE TO RE-ELECT LORETTA SANCHEZ,"$5,400 ",2016,Democrat
Edward P. Roski Jr.,Los Angeles Kings,NHL,LOU CORREA FOR CONGRESS,"$5,400 ",2016,Democrat
Edward P. Roski Jr.,Los Angeles Kings,NHL,NORMA TORRES FOR CONGRESS,"$5,400 ",2016,Democrat
Edward P. Roski Jr.,Los Angeles Kings,NHL,SHERMAN FOR CONGRESS,"$5,400 ",2016,Democrat
Edward P. Roski Jr.,Los Angeles Kings,NHL,CRAMER FOR SENATE,"$5,400 ",2018,Republican
Edward P. Roski Jr.,Los Angeles Kings,NHL,MCSALLY FOR SENATE INC,"$5,400 ",2018,Republican
Edward P. Roski Jr.,Los Angeles Kings,NHL,MCSALLY SENATE VICTORY FUND,"$5,400 ",2018,Republican
Edward P. Roski Jr.,Los Angeles Kings,NHL,MIMI WALTERS VICTORY FUND,"$5,400 ",2018,Republican
Edward P. Roski Jr.,Los Angeles Kings,NHL,HELLER FOR SENATE,"$5,200 ",2016,Republican
Edward P. Roski Jr.,Los Angeles Kings,NHL,"LEADERSHIP MATTERS FOR AMERICA PAC, INC.","$5,000 ",2016,Republican
Edward P. Roski Jr.,Los Angeles Kings,NHL,LEADING ORANGE COUNTY PAC,"$5,000 ",2016,Democrat
Edward P. Roski Jr.,Los Angeles Kings,NHL,THE REAL ESTATE ROUNDTABLE POLITICAL ACTION COMMITTEE (REALPAC),"$5,000 ",2018,Bipartisan
Edward P. Roski Jr.,Los Angeles Kings,NHL,PERDUE VICTORY INC,"$5,000 ",2020,Republican
Edward P. Roski Jr.,Los Angeles Kings,NHL,THE REAL ESTATE ROUNDTABLE POLITICAL ACTION COMMITTEE (REALPAC),"$5,000 ",2020,Bipartisan
Edward P. Roski Jr.,Los Angeles Kings,NHL,DUNCAN D. HUNTER FOR CONGRESS,"$2,800 ",2020,Republican
Edward P. Roski Jr.,Los Angeles Kings,NHL,FRIENDS OF MATT GAETZ,"$2,800 ",2020,Republican
Edward P. Roski Jr.,Los Angeles Kings,NHL,GREG RATHS FOR CONGRESS 2020,"$2,800 ",2020,Republican
Edward P. Roski Jr.,Los Angeles Kings,NHL,TED LIEU FOR CONGRESS,"$2,700 ",2016,Democrat
Edward P. Roski Jr.,Los Angeles Kings,NHL,BAUGH FOR CONGRESS,"$2,700 ",2018,Republican
Edward P. Roski Jr.,Los Angeles Kings,NHL,LOU CORREA FOR CONGRESS,"$2,700 ",2018,Democrat
Edward P. Roski Jr.,Los Angeles Kings,NHL,TEXANS FOR HENRY CUELLAR CONGRESSIONAL CAMPAIGN,"$2,600 ",2016,Democrat
Edward P. Roski Jr.,Los Angeles Kings,NHL,LUCILLE ROYBAL-ALLARD FOR CONGRESS,"$2,500 ",2016,Democrat
Edward P. Roski Jr.,Los Angeles Kings,NHL,ROHRABACHER FOR CONGRESS,"$2,500 ",2018,Republican
Edward P. Roski Jr.,Los Angeles Kings,NHL,MARIO DIAZ-BALART FOR CONGRESS,"$1,500 ",2018,Republican
Edward P. Roski Jr.,Los Angeles Kings,NHL,BILL SHUSTER FOR CONGRESS,"$1,000 ",2016,Republican
Edward P. Roski Jr.,Los Angeles Kings,NHL,JUSTIN FAREED FOR CONGRESS,"$1,000 ",2016,Republican
Edward P. Roski Jr.,Los Angeles Kings,NHL,RON JOHNSON FOR SENATE INC,"$1,000 ",2016,Republican
Edward P. Roski Jr.,Los Angeles Kings,NHL,JUSTIN FAREED FOR CONGRESS,"$1,000 ",2018,Republican
Edward P. Roski Jr.,Los Angeles Kings,NHL,NORMA TORRES FOR CONGRESS,"$1,000 ",2018,Democrat
Edward P. Roski Jr.,Los Angeles Kings,NHL,BONAMICI FOR CONGRESS,$500 ,2018,Democrat
Fred Wilpon,New York Mets,MLB,America Leads,"$100,000 ",2016,Republican
Fred Wilpon,New York Mets,MLB,Office of the Commissioner of Major League Baseball PAC,"$6,667 ",2018,Bipartisan
Fred Wilpon,New York Mets,MLB,Office of the Commissioner of Major League Baseball PAC,"$6,667 ",2016,Bipartisan
Fred Wilpon,New York Mets,MLB,Steve Israel for Congress Committee,"$5,400 ",2016,Democrat
Fred Wilpon,New York Mets,MLB,Kohl for Congress,"$5,400 ",2018,Democrat
Fred Wilpon,New York Mets,MLB,Office of the Commissioner of Major League Baseball PAC,"$3,333 ",2020,Bipartisan
Fred Wilpon,New York Mets,MLB,Meeks Victory Fund,"$3,032 ",2020,Democrat
Fred Wilpon,New York Mets,MLB,Team Rick Scott,"$2,997 ",2020,Republican
Fred Wilpon,New York Mets,MLB,Suozzi Victory Fund,"$2,938 ",2018,Democrat
Fred Wilpon,New York Mets,MLB,Crowley Leadership Fund,"$2,772 ",2018,Democrat
Fred Wilpon,New York Mets,MLB,Chris Christie for President Inc.,"$2,700 ",2016,Republican
Fred Wilpon,New York Mets,MLB,Crowley Leadership Fund,"$1,768 ",2016,Democrat
Fred Wilpon,New York Mets,MLB,Engel for Congress,"$1,518 ",2018,Democrat
Fred Wilpon,New York Mets,MLB,Suozzi for Congress,"$1,400 ",2016,Democrat
Fred Wilpon,New York Mets,MLB,Pete King for Congress Committee,"$1,000 ",2016,Republican
Fred Wilpon,New York Mets,MLB,Charlie Crist for Congress,"$1,000 ",2018,Democrat
Fred Wilpon,New York Mets,MLB,Donovan for Congress,$280 ,2016,Republican
Gail Miller,Utah Jazz,NBA,UTAH REPUBLICAN PARTY,"$10,000 ",2016,Republican
Gail Miller,Utah Jazz,NBA,BELIEVE IN UTAH JOINT FUNDRAISING COMMITTEE,"$10,000 ",2020,Republican
Gail Miller,Utah Jazz,NBA,UTAH REPUBLICAN PARTY,"$10,000 ",2020,Republican
Gail Miller,Utah Jazz,NBA,AUTOMOTIVE FREE INTERNATIONAL TRADE PAC,"$10,000 ",2020,"Bipartisan, but mostly Republican"
Gail Miller,Utah Jazz,NBA,FRIENDS OF BEN MCADAMS,"$5,600 ",2020,Democrat
Gail Miller,Utah Jazz,NBA,"JEB 2016, INC.","$5,400 ",2016,Republican
Gail Miller,Utah Jazz,NBA,ROMNEY FOR UTAH INC,"$5,400 ",2018,Republican
Gail Miller,Utah Jazz,NBA,FRIENDS OF BEN MCADAMS,"$5,400 ",2018,Democrat
Gail Miller,Utah Jazz,NBA,AUTOMOTIVE FREE INTERNATIONAL TRADE PAC,"$5,000 ",2016,"Bipartisan, but mostly Republican"
Gail Miller,Utah Jazz,NBA,AUTOMOTIVE FREE INTERNATIONAL TRADE PAC,"$5,000 ",2018,"Bipartisan, but mostly Republican"
Gail Miller,Utah Jazz,NBA,CURTIS FOR CONGRESS,"$2,800 ",2020,Republican
Gail Miller,Utah Jazz,NBA,"FRIENDS FOR CHRIS STEWART, INC.","$2,800 ",2020,Republican
Gail Miller,Utah Jazz,NBA,CURTIS FOR CONGRESS,"$2,500 ",2018,Republican
Gail Miller,Utah Jazz,NBA,FRIENDS OF MIA LOVE,"$2,500 ",2018,Republican
Gail Miller,Utah Jazz,NBA,UTAH STATE DEMOCRATIC COMMITTEE,"$2,500 ",2018,Democrat
Gail Miller,Utah Jazz,NBA,NATIONAL AUTOMOBILE DEALERS ASSOCIATION POLITICAL ACTION COMMITTEE,"$2,500 ",2020,"Bipartisan, but mostly Republican"
Gail Miller,Utah Jazz,NBA,BLAKE MOORE FOR CONGRESS,"$1,500 ",2020,Republican
Gail Miller,Utah Jazz,NBA,FRIENDS OF MIKE LEE INC,"$1,000 ",2016,Republican
Gail Miller,Utah Jazz,NBA,"THE NATIONAL ASSOCIATION OF PROFESSIONAL BASEBALL LEAGUES, INC. PAC, (MINOR LEAGUE BASEBALL PAC)","$1,000 ",2018,Bipartisan
Gail Miller,Utah Jazz,NBA,FRIENDS OF KERRY W. GIBSON,"$1,000 ",2020,Republican
Gail Miller,Utah Jazz,NBA,"THE NATIONAL ASSOCIATION OF PROFESSIONAL BASEBALL LEAGUES, INC. PAC, (MINOR LEAGUE BASEBALL PAC)","$1,000 ",2020,Bipartisan
Gary Bettman,Commissioner,NHL,MOULTON FOR CONGRESS,"$1,000 ",2016,Democrat
Gayle Benson,"New Orleans Pelicans, New Orleans Saints","NBA, NFL","JEB 2016, INC.","$2,700 ",2016,Republican
Gene Haas,Stewart Haas Racing,NASCAR,Julia Brownley for Congress,"$5,600 ",2020,Democrat
Gene Haas,Stewart Haas Racing,NASCAR,Julia Brownley for Congress,"$5,400 ",2016,Democrat
Gene Haas,Stewart Haas Racing,NASCAR,Julia Brownley for Congress,"$5,400 ",2018,Democrat
George H. McCaskey,Chicago Bears,NFL,Gridiron-PAC,"$5,000 ",2016,Bipartisan
George H. McCaskey,Chicago Bears,NFL,Gridiron-PAC,"$5,000 ",2018,Bipartisan
George H. McCaskey,Chicago Bears,NFL,Gridiron-PAC,"$5,000 ",2020,Bipartisan
Ginny Gilder,Seattle Storm,WNBA,DEMOCRATIC PARTY OF WISCONSIN,"$7,000 ",2020,Democrat
Ginny Gilder,Seattle Storm,WNBA,MICHIGAN DEMOCRATIC STATE CENTRAL COMMITTEE,"$7,000 ",2020,Democrat
Ginny Gilder,Seattle Storm,WNBA,MINNESOTA DEMOCRATIC-FARMER-LABOR PARTY,"$7,000 ",2020,Democrat
Ginny Gilder,Seattle Storm,WNBA,OHIO DEMOCRATIC PARTY,"$7,000 ",2020,Democrat
Ginny Gilder,Seattle Storm,WNBA,WASHINGTON STATE DEMOCRATIC CENTRAL COMMITTEE,"$7,000 ",2020,Democrat
Ginny Gilder,Seattle Storm,WNBA,HILLARY FOR AMERICA,"$2,700 ",2016,Democrat
Ginny Gilder,Seattle Storm,WNBA,JON OSSOFF FOR CONGRESS,$500 ,2018,Democrat
Ginny Gilder,Seattle Storm,WNBA,CORY 2020,$250 ,2020,Democrat
Ginny Gilder,Seattle Storm,WNBA,ACTBLUE,$100 ,2018,Democrat
Glen Taylor,"Minnesota Timberwolves, Minnesota Lynx","NBA, WNBA",SAVE OUR SENATE COMMITTEE,"$13,500 ",2016,Republican
Glen Taylor,"Minnesota Timberwolves, Minnesota Lynx","NBA, WNBA",ALASKANS FOR DAN SULLIVAN,"$5,600 ",2020,Republican
Glen Taylor,"Minnesota Timberwolves, Minnesota Lynx","NBA, WNBA",COLLINS FOR SENATOR,"$5,600 ",2020,Republican
Glen Taylor,"Minnesota Timberwolves, Minnesota Lynx","NBA, WNBA",CORY GARDNER FOR SENATE,"$5,600 ",2020,Republican
Glen Taylor,"Minnesota Timberwolves, Minnesota Lynx","NBA, WNBA","JOHN JAMES FOR SENATE, INC.","$5,600 ",2020,Republican
Glen Taylor,"Minnesota Timberwolves, Minnesota Lynx","NBA, WNBA",MCSALLY FOR SENATE INC,"$5,600 ",2020,Republican
Glen Taylor,"Minnesota Timberwolves, Minnesota Lynx","NBA, WNBA",PERDUE FOR SENATE,"$5,600 ",2020,Republican
Glen Taylor,"Minnesota Timberwolves, Minnesota Lynx","NBA, WNBA",STEVE DAINES FOR MONTANA,"$5,600 ",2020,Republican
Glen Taylor,"Minnesota Timberwolves, Minnesota Lynx","NBA, WNBA",THOM TILLIS COMMITTEE,"$5,600 ",2020,Republican
Glen Taylor,"Minnesota Timberwolves, Minnesota Lynx","NBA, WNBA",ERNST VICTORY IOWA,"$2,800 ",2020,Republican
Glen Taylor,"Minnesota Timberwolves, Minnesota Lynx","NBA, WNBA",FRIENDS OF JOE HECK,"$2,700 ",2016,Republican
Glen Taylor,"Minnesota Timberwolves, Minnesota Lynx","NBA, WNBA",FRIENDS OF KELLY AYOTTE INC,"$2,700 ",2016,Republican
Glen Taylor,"Minnesota Timberwolves, Minnesota Lynx","NBA, WNBA",FRIENDS OF PAT TOOMEY,"$2,700 ",2016,Republican
Glen Taylor,"Minnesota Timberwolves, Minnesota Lynx","NBA, WNBA",JOHN KENNEDY FOR US,"$2,700 ",2016,Republican
Glen Taylor,"Minnesota Timberwolves, Minnesota Lynx","NBA, WNBA",KIRK FOR SENATE,"$2,700 ",2016,Republican
Glen Taylor,"Minnesota Timberwolves, Minnesota Lynx","NBA, WNBA",MARCO RUBIO FOR SENATE 2016,"$2,700 ",2016,Republican
Glen Taylor,"Minnesota Timberwolves, Minnesota Lynx","NBA, WNBA",PORTMAN FOR SENATE COMMITTEE,"$2,700 ",2016,Republican
Glen Taylor,"Minnesota Timberwolves, Minnesota Lynx","NBA, WNBA",RON JOHNSON FOR SENATE INC,"$2,700 ",2016,Republican
Glen Taylor,"Minnesota Timberwolves, Minnesota Lynx","NBA, WNBA",THE RICHARD BURR COMMITTEE,"$2,700 ",2016,Republican
Glen Taylor,"Minnesota Timberwolves, Minnesota Lynx","NBA, WNBA",CITIZENS FOR JOSH MANDEL INC,"$2,700 ",2018,Republican
Glen Taylor,"Minnesota Timberwolves, Minnesota Lynx","NBA, WNBA",CRAMER FOR SENATE,"$2,700 ",2018,Republican
Glen Taylor,"Minnesota Timberwolves, Minnesota Lynx","NBA, WNBA",HELLER FOR SENATE,"$2,700 ",2018,Republican
Glen Taylor,"Minnesota Timberwolves, Minnesota Lynx","NBA, WNBA",HOUSLEY FOR SENATE COMMITTEE,"$2,700 ",2018,Republican
Glen Taylor,"Minnesota Timberwolves, Minnesota Lynx","NBA, WNBA",JEFF FLAKE FOR US SENATE INC,"$2,700 ",2018,Republican
Glen Taylor,"Minnesota Timberwolves, Minnesota Lynx","NBA, WNBA",JOSH HAWLEY FOR SENATE,"$2,700 ",2018,Republican
Glen Taylor,"Minnesota Timberwolves, Minnesota Lynx","NBA, WNBA",KING FOR CONGRESS,"$2,700 ",2018,Republican
Glen Taylor,"Minnesota Timberwolves, Minnesota Lynx","NBA, WNBA",MATT ROSENDALE FOR MONTANA,"$2,700 ",2018,Republican
Glen Taylor,"Minnesota Timberwolves, Minnesota Lynx","NBA, WNBA",MCSALLY FOR SENATE INC,"$2,700 ",2018,Republican
Glen Taylor,"Minnesota Timberwolves, Minnesota Lynx","NBA, WNBA",MIKE BRAUN FOR INDIANA,"$2,700 ",2018,Republican
Glen Taylor,"Minnesota Timberwolves, Minnesota Lynx","NBA, WNBA",MORRISEY FOR SENATE INC,"$2,700 ",2018,Republican
Glen Taylor,"Minnesota Timberwolves, Minnesota Lynx","NBA, WNBA",FRIENDS OF ERIK PAULSEN,"$2,000 ",2018,Republican
Glen Taylor,"Minnesota Timberwolves, Minnesota Lynx","NBA, WNBA",FRIENDS OF HAGEDORN,"$2,000 ",2018,Republican
Greg Johnson,San Francisco Giants,MLB,Alex Mooney for Congress,"$5,600 ",2020,Republican
Greg Johnson,San Francisco Giants,MLB,Alex Mooney for Congress,"$5,400 ",2018,Republican
Greg Johnson,San Francisco Giants,MLB,Mooney Victory Fund,"$5,000 ",2018,Republican
Greg Johnson,San Francisco Giants,MLB,Marsha for Senate,"$2,000 ",2018,Republican
Greg Johnson,San Francisco Giants,MLB,Perdue for Senate,"$1,000 ",2018,Republican
Greg Johnson,San Francisco Giants,MLB,Texans for Senator John Cornyn Inc.,"$1,000 ",2018,Republican
Hal Steinbrenner,New York Yankees,MLB,Office of the Commissioner of Major League Baseball PAC,"$5,000 ",2020,Bipartisan
Harvey Alter,Chicago Sky,WNBA,KHAZEI FOR CONGRESS,$500 ,2020,Democrat
Henry and Susan Samueli,Anaheim Ducks,NHL,PROTECT THE HOUSE,"$50,000 ",2018,Republican
Henry and Susan Samueli,Anaheim Ducks,NHL,CALIFORNIA VICTORY 2018,"$35,000 ",2018,Republican
Henry and Susan Samueli,Anaheim Ducks,NHL,TAKE BACK THE HOUSE 2020,"$25,000 ",2020,Republican
Henry and Susan Samueli,Anaheim Ducks,NHL,SENATE IMPACT: MN & NV,"$16,200 ",2018,Democrat
Henry and Susan Samueli,Anaheim Ducks,NHL,HOUSLEY FOR SENATE COMMITTEE,"$10,800 ",2018,Republican
Henry and Susan Samueli,Anaheim Ducks,NHL,FUND FOR THE MAJORITY PAC,"$10,000 ",2020,Democrat
Henry and Susan Samueli,Anaheim Ducks,NHL,LORETTA SANCHEZ FOR SENATE,"$5,400 ",2016,Democrat
Henry and Susan Samueli,Anaheim Ducks,NHL,MCCONNELL FOR MAJORITY LEADER COMMITTEE,"$5,000 ",2020,Republican
Henry and Susan Samueli,Anaheim Ducks,NHL,SHAWN NELSON FOR CONGRESS,"$3,700 ",2018,Republican
Henry and Susan Samueli,Anaheim Ducks,NHL,BROADCOM INC. POLITICAL ACTION COMMITTEE (BROADCOM PAC),"$1,000 ",2018,Bipartisan
Henry and Susan Samueli,Anaheim Ducks,NHL,BROADCOM INC. POLITICAL ACTION COMMITTEE (BROADCOM PAC),"$1,000 ",2020,Bipartisan
Herbert Fritch,Nashville Predators,NHL,SMP,"$11,100 ",2020,Democrat
Herbert Fritch,Nashville Predators,NHL,RIGHT TO RISE USA,"$10,000 ",2016,Republican
Herbert Fritch,Nashville Predators,NHL,CIGNA CORPORATION POLITICAL ACTION COMMITTEE,"$9,216 ",2016,Bipartisan
Herbert Fritch,Nashville Predators,NHL,COOPER FOR CONGRESS,"$5,600 ",2020,Democrat
Herbert Fritch,Nashville Predators,NHL,HOUSLEY FOR SENATE COMMITTEE,"$5,400 ",2018,Republican
Herbert Fritch,Nashville Predators,NHL,"MARSHA BLACKBURN FOR CONGRESS, INC.","$2,000 ",2016,Republican
Herbert Fritch,Nashville Predators,NHL,"LEE, SHEILA JACKSON","$2,000 ",2016,Democrat
Herbert Fritch,Nashville Predators,NHL,BIDEN FOR PRESIDENT,"$1,000 ",2020,Democrat
Herbert Fritch,Nashville Predators,NHL,DCCC,"$1,000 ",2020,Democrat
Herbert Fritch,Nashville Predators,NHL,COOPER FOR CONGRESS,$500 ,2016,Democrat
Herbert Simon,"Indiana Pacers, Indiana Fever","NBA, WNBA",SMP,"$126,900 ",2018,Democrat
Herbert Simon,"Indiana Pacers, Indiana Fever","NBA, WNBA",HILLARY VICTORY FUND,"$50,000 ",2016,Democrat
Herbert Simon,"Indiana Pacers, Indiana Fever","NBA, WNBA",TEAM HOLCOMB,"$50,000 ",2018,Republican
Herbert Simon,"Indiana Pacers, Indiana Fever","NBA, WNBA",TEAM HOLCOMB,"$50,000 ",2020,Republican
Herbert Simon,"Indiana Pacers, Indiana Fever","NBA, WNBA",DONNELLY VICTORY FUND,"$32,700 ",2018,Democrat
Herbert Simon,"Indiana Pacers, Indiana Fever","NBA, WNBA",SENATE MAJORITY PAC,"$25,000 ",2016,Democrat
Herbert Simon,"Indiana Pacers, Indiana Fever","NBA, WNBA",INDIANA DEMOCRATIC CONGRESSIONAL VICTORY COMMITTEE,"$15,000 ",2016,Democrat
Herbert Simon,"Indiana Pacers, Indiana Fever","NBA, WNBA",INTERNATIONAL COUNCIL OF SHOPPING CENTERS INC POLITICAL ACTION COMMITTEE (ICSC PAC),"$10,000 ",2016,"Bipartisan, but mostly Republican"
Herbert Simon,"Indiana Pacers, Indiana Fever","NBA, WNBA",INTERNATIONAL COUNCIL OF SHOPPING CENTERS INC POLITICAL ACTION COMMITTEE (ICSC PAC),"$10,000 ",2018,"Bipartisan, but mostly Republican"
Herbert Simon,"Indiana Pacers, Indiana Fever","NBA, WNBA",INDIANA DEMOCRATIC CONGRESSIONAL VICTORY COMMITTEE,"$10,000 ",2020,Democrat
Herbert Simon,"Indiana Pacers, Indiana Fever","NBA, WNBA",MARCO RUBIO FOR PRESIDENT,"$5,400 ",2016,Republican
Herbert Simon,"Indiana Pacers, Indiana Fever","NBA, WNBA",BARON HILL FOR INDIANA,"$5,400 ",2016,Democrat
Herbert Simon,"Indiana Pacers, Indiana Fever","NBA, WNBA",KOHL FOR CONGRESS,"$5,400 ",2018,Democrat
Herbert Simon,"Indiana Pacers, Indiana Fever","NBA, WNBA",NEW GENERATION PAC,"$5,000 ",2016,N/A
Herbert Simon,"Indiana Pacers, Indiana Fever","NBA, WNBA",ALL AMERICA PAC,"$5,000 ",2016,Democrat
Herbert Simon,"Indiana Pacers, Indiana Fever","NBA, WNBA",INTERNATIONAL COUNCIL OF SHOPPING CENTERS INC POLITICAL ACTION COMMITTEE (ICSC PAC),"$5,000 ",2020,"Bipartisan, but mostly Republican"
Herbert Simon,"Indiana Pacers, Indiana Fever","NBA, WNBA","THE NATIONAL ASSOCIATION OF PROFESSIONAL BASEBALL LEAGUES, INC. PAC, (MINOR LEAGUE BASEBALL PAC)","$5,000 ",2020,Bipartisan
Herbert Simon,"Indiana Pacers, Indiana Fever","NBA, WNBA",ANDRE CARSON FOR CONGRESS,"$4,700 ",2018,Democrat
Herbert Simon,"Indiana Pacers, Indiana Fever","NBA, WNBA","THE NATIONAL ASSOCIATION OF PROFESSIONAL BASEBALL LEAGUES, INC. PAC, (MINOR LEAGUE BASEBALL PAC)","$4,000 ",2018,Bipartisan
Herbert Simon,"Indiana Pacers, Indiana Fever","NBA, WNBA",ANDRE CARSON FOR CONGRESS,"$3,700 ",2016,Democrat
Herbert Simon,"Indiana Pacers, Indiana Fever","NBA, WNBA",SCHOLTEN4IOWA CAMPAIGN COMMITTEE,"$3,700 ",2018,Democrat
Herbert Simon,"Indiana Pacers, Indiana Fever","NBA, WNBA",JAIME HARRISON FOR US SENATE,"$3,650 ",2020,Democrat
Herbert Simon,"Indiana Pacers, Indiana Fever","NBA, WNBA","AMY MCGRATH FOR SENATE, INC.","$2,800 ",2020,Democrat
Herbert Simon,"Indiana Pacers, Indiana Fever","NBA, WNBA",ANDRE CARSON FOR CONGRESS,"$2,800 ",2020,Democrat
Herbert Simon,"Indiana Pacers, Indiana Fever","NBA, WNBA",BIDEN FOR PRESIDENT,"$2,800 ",2020,Democrat
Herbert Simon,"Indiana Pacers, Indiana Fever","NBA, WNBA",MATT LIEBERMAN FOR SENATE,"$2,800 ",2020,Democrat
Herbert Simon,"Indiana Pacers, Indiana Fever","NBA, WNBA",CHRIS CHRISTIE FOR PRESIDENT INC,"$2,700 ",2016,Republican
Herbert Simon,"Indiana Pacers, Indiana Fever","NBA, WNBA",CRUZ FOR PRESIDENT,"$2,700 ",2016,Republican
Herbert Simon,"Indiana Pacers, Indiana Fever","NBA, WNBA",FRIENDS OF JOE HECK,"$2,700 ",2016,Republican
Herbert Simon,"Indiana Pacers, Indiana Fever","NBA, WNBA",FRIENDS OF KELLY AYOTTE INC,"$2,700 ",2016,Republican
Herbert Simon,"Indiana Pacers, Indiana Fever","NBA, WNBA",FRIENDS OF PAT TOOMEY,"$2,700 ",2016,Republican
Herbert Simon,"Indiana Pacers, Indiana Fever","NBA, WNBA","FRIENDS OF TODD YOUNG, INC.","$2,700 ",2016,Republican
Herbert Simon,"Indiana Pacers, Indiana Fever","NBA, WNBA","JEB 2016, INC.","$2,700 ",2016,Republican
Herbert Simon,"Indiana Pacers, Indiana Fever","NBA, WNBA",EVAN BAYH COMMITTEE,"$2,700 ",2016,Democrat
Herbert Simon,"Indiana Pacers, Indiana Fever","NBA, WNBA",FRIENDS OF SUSAN BROOKS,"$2,700 ",2018,Republican
Herbert Simon,"Indiana Pacers, Indiana Fever","NBA, WNBA",GREG PENCE FOR CONGRESS,"$2,700 ",2018,Republican
Herbert Simon,"Indiana Pacers, Indiana Fever","NBA, WNBA",GREG PENCE VICTORY,"$2,700 ",2018,Republican
Herbert Simon,"Indiana Pacers, Indiana Fever","NBA, WNBA",MCCARTHY VICTORY FUND,"$2,700 ",2018,Republican
Herbert Simon,"Indiana Pacers, Indiana Fever","NBA, WNBA",ANDREW JANZ FOR CONGRESS,"$2,700 ",2018,Democrat
Herbert Simon,"Indiana Pacers, Indiana Fever","NBA, WNBA",BETO FOR TEXAS,"$2,700 ",2018,Democrat
Herbert Simon,"Indiana Pacers, Indiana Fever","NBA, WNBA",BILL NELSON FOR US SENATE,"$2,700 ",2018,Democrat
Herbert Simon,"Indiana Pacers, Indiana Fever","NBA, WNBA",CASTEN FOR CONGRESS,"$2,700 ",2018,Democrat
Herbert Simon,"Indiana Pacers, Indiana Fever","NBA, WNBA",CONOR LAMB FOR CONGRESS,"$2,700 ",2018,Democrat
Herbert Simon,"Indiana Pacers, Indiana Fever","NBA, WNBA",JANET GARRETT FOR CONGRESS COMMITTEE,"$2,700 ",2018,Democrat
Herbert Simon,"Indiana Pacers, Indiana Fever","NBA, WNBA",LIZ FOR INDIANA,"$2,700 ",2018,Democrat
Herbert Simon,"Indiana Pacers, Indiana Fever","NBA, WNBA",PRICE4WNC,"$2,700 ",2018,Democrat
Herbert Simon,"Indiana Pacers, Indiana Fever","NBA, WNBA",ROSEN FOR NEVADA,"$2,700 ",2018,Democrat
Herbert Simon,"Indiana Pacers, Indiana Fever","NBA, WNBA",WALORSKI FOR CONGRESS INC,"$2,500 ",2016,Republican
Herbert Simon,"Indiana Pacers, Indiana Fever","NBA, WNBA",SHELLI YODER FOR INDIANA,"$2,000 ",2016,Democrat
Herbert Simon,"Indiana Pacers, Indiana Fever","NBA, WNBA",AMY FOR AMERICA,"$2,000 ",2020,Democrat
Herbert Simon,"Indiana Pacers, Indiana Fever","NBA, WNBA",KASICH FOR AMERICA INC,"$1,000 ",2016,Republican
Herbert Simon,"Indiana Pacers, Indiana Fever","NBA, WNBA",JOE KENNEDY FOR CONGRESS,"$1,000 ",2016,Democrat
Herbert Simon,"Indiana Pacers, Indiana Fever","NBA, WNBA",ORENTLICHER FOR CONGRESS,"$1,000 ",2016,Democrat
Herbert Simon,"Indiana Pacers, Indiana Fever","NBA, WNBA",RUSS FOR WISCONSIN,"$1,000 ",2016,Democrat
Herbert Simon,"Indiana Pacers, Indiana Fever","NBA, WNBA",BUCSHON FOR CONGRESS,"$1,000 ",2018,Republican
Herbert Simon,"Indiana Pacers, Indiana Fever","NBA, WNBA",WALORSKI FOR CONGRESS INC,"$1,000 ",2018,Republican
Herbert Simon,"Indiana Pacers, Indiana Fever","NBA, WNBA",FRIENDS FOR THORNTON,"$1,000 ",2018,Democrat
Herbert Simon,"Indiana Pacers, Indiana Fever","NBA, WNBA",TRITCH FOR CONGRESS,"$1,000 ",2018,Democrat
Herbert Simon,"Indiana Pacers, Indiana Fever","NBA, WNBA",ARBALLO FOR CONGRESS,"$1,000 ",2020,Democrat
Herbert Simon,"Indiana Pacers, Indiana Fever","NBA, WNBA",BENNET FOR AMERICA,"$1,000 ",2020,Democrat
