State,Bill,Introducing Party,Category,Status
Texas,HB 1026,R,expanded voter id requirements,Legislature adjourned without passing
Texas,HB 1822,D,limits voting options,Legislature adjourned without passing
Texas,HB 1924,R,voter roll purge,Legislature adjourned without passing
Texas,HB 2253,R,voter roll purge,Legislature adjourned without passing
Texas,HB 2263,R,limits voting options,Legislature adjourned without passing
Texas,HB 2265,R,limits voting time,Legislature adjourned without passing
Texas,HB 2486,R,expanded voter id requirements,Legislature adjourned without passing
Texas,HB 25,R,limits voting options,Legislature adjourned without passing
Texas,HB 3066,R,"voter roll purge, expanded voter id requirements",Legislature adjourned without passing
Texas,HB 3274,R,limits voting time,Legislature adjourned without passing
Texas,HB 329,R,"voter roll purge, increased voter surveillance",Legislature adjourned without passing
Texas,HB 335,R,"voter roll purge, limiting/criminalizing election official role",Legislature adjourned without passing
Texas,HB 3488,R,"limits voting options, expanded voter id requirements",Legislature adjourned without passing
Texas,HB 3828,R,voter roll purge,Legislature adjourned without passing
Texas,HB 3919,R,limits voting options,Legislature adjourned without passing
Texas,HB 61,R,limits voting options ,Legislature adjourned without passing
Texas,HB 895,R,increased voter surveillance,Legislature adjourned without passing
Texas,SB 1115,R,limits voting time,Legislature adjourned without passing
Texas,SB 1215,R,"limits voting options, increased voter surveillance, create or reinforce partisan election roles",Legislature adjourned without passing
Texas,SB 1535,R,"increased voter surveillance, limiting/criminalizing election official role, limits voting options, limits voting time",Legislature adjourned without passing
Texas,SB 1591,R,"increased voter surveillance, limiting/criminalizing election official role, limits voting options",Legislature adjourned without passing
Texas,SB 1607,R,"expanded voter id requirements, increased voter surveillance",Legislature adjourned without passing
Texas,SB 1608,R,"increased voter surveillance, limits voting time",Legislature adjourned without passing
Texas,SB 1609,R,expanded voter id requirements,Legislature adjourned without passing
Texas,SB 1610,R,"expanded voter id requirements, increased voter surveillance",Legislature adjourned without passing
Texas,SB 1613,R,"expanded voter id requirements, increased voter surveillance",Legislature adjourned without passing
Texas,SB 1664,R,increased voter surveillance,Legislature adjourned without passing
Texas,SB 1700,R,voter roll purge,Legislature adjourned without passing
Texas,SB 1731,R,limits voting options,Legislature adjourned without passing
Texas,SB 208,R,limits voting options,Legislature adjourned without passing
Texas,SB 570,R,voter roll purge,Legislature adjourned without passing
Texas,HB 1368,R,limits voting options,Legislature adjourned without passing
Texas,HB 1979,R,increased voter surveillance,Legislature adjourned without passing
Texas,HB 2293,R,limits voting time,Legislature adjourned without passing
Texas,HB 3247,R,limiting/criminalizing election official role,Legislature adjourned without passing
Texas,HB 3448,R,limits voting options,Legislature adjourned without passing
Texas,HB 4456,R,limits voting options,Legislature adjourned without passing
Texas,SB 1236,R,limits voting options,Legislature adjourned without passing
Texas,SB 1611,R,increased voter surveillance,Legislature adjourned without passing
Texas,SB 1730,R,limiting/criminalizing election official role,Legislature adjourned without passing
Texas,SB 1765,R,limiting/criminalizing election official role,Legislature adjourned without passing
Texas,HB 3 (1st special session),R,"limits voting options, limits voting time, expanded voter id, increased voter surveillance",Legislature adjourned without passing
Texas,HB 3 (2nd special session),R,"limits voting options, limits voting time, expanded voter id, increased voter surveillance",Legislature adjourned without passing
Texas,HB 21 (2nd special session),R,limits voting options,Legislature adjourned without passing
Texas,HB 27 (2nd special session),R,limiting/criminalizing election official role,Legislature adjourned without passing
Texas,HB 31 (2nd special session),R,limits voting options,Legislature adjourned without passing
Texas,HB 36 (2nd special session),R,increased voter surveillance,Legislature adjourned without passing
Texas,HB 37 (2nd special session),R,increased voter surveillance,Legislature adjourned without passing
Texas,HB 76 (2nd special session),R,limits voting time,Legislature adjourned without passing
Texas,HB 95 (2nd special session),R,increased voter surveillance,Legislature adjourned without passing
Texas,HB 100 (1st special session),R,limits voting time,Legislature adjourned without passing
Texas,HB 101 (1st special session),R,limiting/criminalizing election official role,Legislature adjourned without passing
Texas,HB 102 (1st special session),R,limiting/criminalizing election official role,Legislature adjourned without passing
Texas,HB 112 (2nd special session),R,increased voter surveillance,Legislature adjourned without passing
Texas,HB 140 (2nd special session),R,voter roll purge,Legislature adjourned without passing
Texas,HB 162 (1st special session),R,voter roll purge,Legislature adjourned without passing
Texas,HB 177 (1st special session),R,increased voter surveillance,Legislature adjourned without passing
Texas,HB 227 (1st special session),R,increased voter surveillance,Legislature adjourned without passing
Texas,HB 252 (1st special session),R,limits voting options,Legislature adjourned without passing
Texas,HB 280 (1st special session),R,limits voting options,Legislature adjourned without passing
Texas,HB 285 (1st special session),R,voter roll purge,Legislature adjourned without passing
Texas,HB 286 (1st special session),R,increased voter surveillance,Legislature adjourned without passing
Texas,HB 295 (1st special session),R,limits voting options,Legislature adjourned without passing
Texas,HB 299 (1st special session),R,limits voting options,Legislature adjourned without passing
Texas,HB 301 (1st special session),R,increased voter surveillance,Legislature adjourned without passing
Texas,SB 22 (1st special session),R,limits voting options,Legislature adjourned without passing
Texas,SB 25 (1st special session),R,"limits voting options, limiting/criminalizing election official role",Legislature adjourned without passing
Texas,SB 31 (1st special session),R,voter roll purge,Legislature adjourned without passing
Texas,SB 38 (2nd special session),R,voter roll purge,Legislature adjourned without passing
Texas,HB 1725,R,limits voting options,"Passed committee, legislature adjourned without passing"
Texas,HB 2339,R,voter roll purge,"Passed committee, legislature adjourned without passing"
Texas,HB 2478,R,expanded voter id requirements,"Passed committee, legislature adjourned without passing"
Texas,HB 3080,R,limits voting options,"Passed committee, legislature adjourned without passing"
Texas,HB 3281,R,limits voting time,"Passed committee, legislature adjourned without passing"
Texas,HB 3974,R,voter roll purge,"Passed committee, legislature adjourned without passing"
Texas,HB 4322,R,limits voting options,"Passed committee, legislature adjourned without passing"
Texas,HB 6 ,R,"limits voting options, increased voter surveillance, limiting/criminalizing election official role","Passed committee, legislature adjourned without passing"
Texas,SB 1235,R,voter roll purge,"Passed committee, legislature adjourned without passing"
Texas,SJR 51,R,limits voting options,"Passed committee, legislature adjourned without passing"
Texas,HB 611,R,limits voting options,"Passed committee, legislature adjourned without passing"
Texas,HB 2320,R,limiting/criminalizing election official role,"Passed committee, legislature adjourned without passing"
Texas,HB 2546,R,voter roll purge,"Passed committee, legislature adjourned without passing"
Texas,HB 3269,R,limits voting options,"Passed committee, legislature adjourned without passing"
Texas,HB 3297,R,increased voter surveillance,"Passed committee, legislature adjourned without passing"
Texas,HB 3303,R,limiting/criminalizing election official role,"Passed committee, legislature adjourned without passing"
Texas,HB 3970,R,increased voter surveillance,"Passed committee, legislature adjourned without passing"
Texas,HB 4044,R,voter roll purge,"Passed committee, legislature adjourned without passing"
Texas,HB 4331,R,limits voting options,"Passed committee, legislature adjourned without passing"
Texas,HB 4369,R,increased voter surveillance,"Passed committee, legislature adjourned without passing"
Texas,HB 4459,R,limiting/criminalizing election official role,"Passed committee, legislature adjourned without passing"
Texas,SJR 61,R,limiting/criminalizing election official role,"Passed committee, legislature adjourned without passing"
Texas,HB 530,Mostly R,increased voter surveillance,"Passed House, Senate adjourned without passing"
Texas,SB 155,R,voter roll purge,"Passed Senate & House, then died"
Texas,SB 7,R,"limits voting options, increased voter surveillance","Passed Senate & House, then died"
Texas,SB 1114,R,voter roll purge,"Passed Senate, died in House"
Texas,SB 1340,R,voter roll purge,"Passed Senate, died in House"
Texas,SB 1509,R,"limits voting options, expanded voter id","Passed Senate, died in House"
Texas,SB 1112,R,limiting/criminalizing election official role,"Passed Senate, House adjourned without passing"
Texas,SB 1675,R,"limits voting options, limiting/criminalizing election official role","Passed Senate, House adjourned without passing"
Texas,SB 1 (1st special session),R,"limits voting options, expanded voter id, voter roll purge","Passed Senate, House adjourned without passing"
Texas,HB 3920,R,limits voting options,Signed into law
Texas,SB 1111,R,limits voting options,Signed into law
Texas,HB 574,R,limiting/criminalizing election official role,Signed into law
Texas,SB 1113,R,voter roll purge,Signed into law
Texas,SB 1 (2nd special session),R,"limits voting options, expanded voter id",Signed into law
Texas,HB 464,D,voter roll purge,Voting restriction removed from bill
Texas,HB 330,R,"limits voting options, limiting/criminalizing election official role",Withdrawn
Utah,HB 12,R,voter roll purge,Signed into law
Utah,HB 197,R,limits voting options,Signed into law
Virginia,HB 1758,R,voter roll purge,Legislature adjourned without passing
Virginia,HB 1970,R,expanded voter id requirements,Legislature adjourned without passing
Virginia,HB 2205,R,limits voting options,Legislature adjourned without passing
Virginia,HB 2209,R,increased voter surveillance,Legislature adjourned without passing
Virginia,SB 1118,R,"voter roll purge, limits voting options",Legislature adjourned without passing
Virginia,SB 1459,R,"expanded voter id requirements, limits voting options",Legislature adjourned without passing
Virginia,HB 2028,R,limits voting options,Legislature adjourned without passing
Virginia,HB 2235,R,expanded voter id requirements,Legislature adjourned without passing
Virginia,SB 1455,R,limits voting options,Legislature adjourned without passing
Virginia,SB 1422,R,voter roll purge,"Passed Senate, House adjourned without passing"
Washington,HB 1377,R,"limits voting options, expanded voter id requirements",Legislature adjourned without passing
Washington,SB 5143,R,"limits voting options, limits voting time, voter roll purge",Legislature adjourned without passing
Washington,SB 5434,R,"limits voting options, voter roll purge",Legislature adjourned without passing
West Virginia,HB 2607,R,expanded voter id requirements,Legislature adjourned without passing
West Virginia,HB 2666,R,limits voting options,Legislature adjourned without passing
West Virginia,SB 565,R,"limits voting options, limits voting time, voter roll purge","Passed Senate, House adjourned without passing"
Wisconsin,AB 201,R,limits voting options,Passed committee
Wisconsin,AB 179,R,limits voting options,Passed committee
Wisconsin,AB 198,R,limiting/criminalizing election official role,Passed committee
Wisconsin,SB 211,R,limits voting options,Passed committee
Wisconsin,SB 214,R,"limits voting options, limits voting time",Passed committee
Wisconsin,SB 179,R,limits voting options,Passed Senate
Wisconsin,SB 180,R,"limits voting options, expanded voter id requirements",Passed Senate
Wisconsin,SB 209,R,limits voting options,Passed Senate
Wisconsin,SB 213,R,limiting/criminalizing election official role,Passed Senate
Wisconsin,AB 177,R,limits voting options,Referred to committee
Wisconsin,AB 180,R,limits voting options,Referred to committee
Wisconsin,AB 192,R,limits voting options,Referred to committee
Wisconsin,AB 306,R,"limits voting options, expanded voter id requirements",Referred to committee
Wisconsin,SB 206,R,limits voting options,Referred to committee
Wisconsin,AB 178,R,limits voting options,Referred to committee
Wisconsin,AB 194,R,limiting/criminalizing election official role,Referred to committee
Wisconsin,AB 437,R,limits voting options,Referred to committee
Wisconsin,SB 435,R,limits voting options,Referred to committee
Wisconsin,SB 203,R,"limits voting options, limits voting time",Vetoed
Wisconsin,SB 204,R,"limits voting options, expanded voter id requirements",Vetoed
Wisconsin,SB 205,R,limits voting options,Vetoed
Wisconsin,SB 212,R,limiting/criminalizing election official role,Vetoed
Wyoming,HB 178,R,limits voting time,Legislature adjourned without passing
Wyoming,HB 194,R,limits voting options,Legislature adjourned without passing
Wyoming,HB 234,R,limits voting time,Legislature adjourned without passing
Wyoming,HB 75,R,expanded voter id requirements,Signed into law
