Candidate,Gender,Race 1,Race 2,Race 3,Incumbent,Incumbent Challenger,State,Primary Date,Office,District,Primary Votes,Primary %,Primary Outcome,Runoff Votes,Runoff %,Runoff Outcome,2020 Election Stance,Trump,Trump Date,Club for Growth,Party Committee,Renew America,E-PAC,VIEW PAC,Maggie's List,Winning for Women
Nick Hess,Male,White,,,No,No,Oregon,5/17/22,Governor,N/A,"4,287",1%,Lost,N/A,N/A,N/A,Fully accepted,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Tim McCloud,Male,Black,,,No,No,Oregon,5/17/22,Governor,N/A,"4,400",1%,Lost,N/A,N/A,N/A,Fully accepted,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Kerry McQuisten,Female,White,,,No,No,Oregon,5/17/22,Governor,N/A,"28,727",8%,Lost,N/A,N/A,N/A,No comment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Brandon C. Merritt,Male,White,,,No,No,Oregon,5/17/22,Governor,N/A,"3,615",1%,Lost,N/A,N/A,N/A,Avoided answering,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Bud Pierce,Male,White,,,No,No,Oregon,5/17/22,Governor,N/A,"32,965",9%,Lost,N/A,N/A,N/A,Fully accepted,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
John G. Presco,Male,White,,,No,No,Oregon,5/17/22,Governor,N/A,174,0%,Lost,N/A,N/A,N/A,No comment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Stan Pulliam,Male,White,,,No,No,Oregon,5/17/22,Governor,N/A,"41,123",11%,Lost,N/A,N/A,N/A,Fully denied,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Amber R. Richardson,Female,White,,,No,No,Oregon,5/17/22,Governor,N/A,"1,924",1%,Lost,N/A,N/A,N/A,Fully denied,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Bill Sizemore,Male,White,,,No,No,Oregon,5/17/22,Governor,N/A,"13,261",4%,Lost,N/A,N/A,N/A,Fully denied,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Stefan G. Strek,Male,White,,,No,No,Oregon,5/17/22,Governor,N/A,171,0%,Lost,N/A,N/A,N/A,Avoided answering,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Marc Thielman,Male,White,,,No,No,Oregon,5/17/22,Governor,N/A,"30,076",8%,Lost,N/A,N/A,N/A,Fully denied,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Bob Tiernan,Male,White,,,No,No,Oregon,5/17/22,Governor,N/A,"66,089",17%,Lost,N/A,N/A,N/A,Fully accepted,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Brenda Bourn,Female,White,,,No,Yes,Idaho,5/17/22,Senator,N/A,"21,612",8%,Lost,N/A,N/A,N/A,No comment,No,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A
Mike Crapo,Male,White,,,Yes,No,Idaho,5/17/22,Senator,N/A,"177,906",67%,Won,N/A,N/A,N/A,Accepted with reservations,Yes,3/5/21,N/A,Yes,N/A,N/A,N/A,N/A,N/A
Natalie M. Fleming,Female,White,,,No,Yes,Idaho,5/17/22,Senator,N/A,"16,902",6%,Lost,N/A,N/A,N/A,Accepted with reservations,No,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A
Scott Trotter,Male,White,,,No,Yes,Idaho,5/17/22,Senator,N/A,"27,699",10%,Lost,N/A,N/A,N/A,No comment,No,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A
Ramont Turnbull,Male,White,,,No,Yes,Idaho,5/17/22,Senator,N/A,"20,883",8%,Lost,N/A,N/A,N/A,No comment,No,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A
Russ Fulcher,Male,White,,,Yes,No,Idaho,5/17/22,Representative,1,"126,528",100%,Won,N/A,N/A,N/A,Fully denied,Yes,5/14/22,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Flint L. Christensen,Male,White,,,No,Yes,Idaho,5/17/22,Representative,2,"7,113",6%,Lost,N/A,N/A,N/A,No comment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Daniel Algiers Lucas Levy,Male,White,,,No,Yes,Idaho,5/17/22,Representative,2,"2,185",2%,Lost,N/A,N/A,N/A,Fully denied,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Chris Porter,Male,Unknown,,,No,Yes,Idaho,5/17/22,Representative,2,"6,357",5%,Lost,N/A,N/A,N/A,No comment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Mike Simpson,Male,White,,,Yes,No,Idaho,5/17/22,Representative,2,"67,177",55%,Won,N/A,N/A,N/A,Accepted with reservations,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Bryan Smith,Male,White,,,No,Yes,Idaho,5/17/22,Representative,2,"40,267",33%,Lost,N/A,N/A,N/A,Fully denied,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Steven R. Bradshaw,Male,White,,,No,Yes,Idaho,5/17/22,Governor,N/A,"5,470",2%,Lost,N/A,N/A,N/A,No comment,No,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A
Ben Cannady,Male,White,,,No,Yes,Idaho,5/17/22,Governor,N/A,804,0%,Lost,N/A,N/A,N/A,No comment,No,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A
Edward R. Humphreys,Male,White,,,No,Yes,Idaho,5/17/22,Governor,N/A,"30,878",11%,Lost,N/A,N/A,N/A,Fully denied,No,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A
Ashley Jackson,Female,White,,,No,Yes,Idaho,5/17/22,Governor,N/A,"3,172",1%,Lost,N/A,N/A,N/A,No comment,No,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A
Brad Little,Male,White,,,Yes,No,Idaho,5/17/22,Governor,N/A,"148,843",53%,Won,N/A,N/A,N/A,Fully denied,No,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A
Lisa Marie,Female,White,,,No,Yes,Idaho,5/17/22,Governor,N/A,"1,120",0%,Lost,N/A,N/A,N/A,Raised questions,No,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A
Janice McGeachin,Female,White,,,No,Yes,Idaho,5/17/22,Governor,N/A,"90,857",32%,Lost,N/A,N/A,N/A,Fully denied,Yes,11/9/21,N/A,No,N/A,N/A,N/A,N/A,N/A
Cody Usabel,Male,White,,,No,Yes,Idaho,5/17/22,Governor,N/A,680,0%,Lost,N/A,N/A,N/A,Raised questions,No,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A
Marjorie K. Eastman,Female,White,,,No,No,North Carolina,5/17/22,Senator,N/A,"22,535",3%,Lost,N/A,N/A,N/A,Fully accepted,No,N/A,No,N/A,N/A,N/A,Yes,N/A,N/A
David Flaherty,Male,Unknown,,,No,No,North Carolina,5/17/22,Senator,N/A,"7,265",1%,Lost,N/A,N/A,N/A,Fully denied,No,N/A,No,N/A,N/A,N/A,No,N/A,N/A
Benjamin E. Griffiths,Male,White,,,No,No,North Carolina,5/17/22,Senator,N/A,"2,870",0%,Lost,N/A,N/A,N/A,No comment,No,N/A,No,N/A,N/A,N/A,No,N/A,N/A
Kenneth Harper Jr.,Male,Black,,,No,No,North Carolina,5/17/22,Senator,N/A,"7,129",1%,Lost,N/A,N/A,N/A,Fully denied,No,N/A,No,N/A,N/A,N/A,No,N/A,N/A
Pat McCrory,Male,White,,,No,No,North Carolina,5/17/22,Senator,N/A,"188,135",25%,Lost,N/A,N/A,N/A,Fully accepted,No,N/A,No,N/A,N/A,N/A,No,N/A,N/A
Charles Kenneth Moss,Male,Unknown,,,No,No,North Carolina,5/17/22,Senator,N/A,"2,920",0%,Lost,N/A,N/A,N/A,No comment,No,N/A,No,N/A,N/A,N/A,No,N/A,N/A
Lichia Sibhatu,Female,Black (Eritrean),,,No,No,North Carolina,5/17/22,Senator,N/A,"2,191",0%,Lost,N/A,N/A,N/A,No comment,No,N/A,No,N/A,N/A,N/A,No,N/A,N/A
Debora Tshiovo,Female,Black,,,No,No,North Carolina,5/17/22,Senator,N/A,"2,741",0%,Lost,N/A,N/A,N/A,No comment,No,N/A,No,N/A,N/A,N/A,No,N/A,N/A
Mark Walker,Male,White,,,No,No,North Carolina,5/17/22,Senator,N/A,"70,486",9%,Lost,N/A,N/A,N/A,Accepted with reservations,No,N/A,No,N/A,N/A,N/A,No,N/A,N/A
Jen Banwart,Female,White,,,No,No,North Carolina,5/17/22,Senator,N/A,"3,088",0%,Lost,N/A,N/A,N/A,Fully accepted,No,N/A,No,N/A,N/A,N/A,No,N/A,N/A
Lee A. Brian,Female,White,,,No,No,North Carolina,5/17/22,Senator,N/A,"2,232",0%,Lost,N/A,N/A,N/A,No comment,No,N/A,No,N/A,N/A,N/A,No,N/A,N/A
Leonard L. Bryant,Male,Black,,,No,No,North Carolina,5/17/22,Senator,N/A,"2,906",0%,Lost,N/A,N/A,N/A,Raised questions,No,N/A,No,N/A,N/A,N/A,No,N/A,N/A
Ted Budd,Male,White,,,No,No,North Carolina,5/17/22,Senator,N/A,"448,128",59%,Won,N/A,N/A,N/A,Accepted with reservations,Yes,6/5/21,Yes,N/A,N/A,N/A,No,N/A,N/A
Drew Bulecza,Male,White,,,No,No,North Carolina,5/17/22,Senator,N/A,"2,022",0%,Lost,N/A,N/A,N/A,Fully denied,No,N/A,No,N/A,N/A,N/A,No,N/A,N/A
Brad Murphy,Male,White,,,No,No,North Carolina,5/17/22,Representative,1,"4,128",10%,Lost,N/A,N/A,N/A,No comment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Ernest Reeves,Male,Black,,,No,No,North Carolina,5/17/22,Representative,1,523,1%,Lost,N/A,N/A,N/A,Raised questions,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Brent Roberson,Male,White,,,No,No,North Carolina,5/17/22,Representative,1,"5,992",14%,Lost,N/A,N/A,N/A,Accepted with reservations,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Sandy Roberson,Male,White,,,No,No,North Carolina,5/17/22,Representative,1,"11,603",27%,Lost,N/A,N/A,N/A,No comment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Sandy Smith,Female,White,,,No,No,North Carolina,5/17/22,Representative,1,"13,621",31%,Won,N/A,N/A,N/A,Fully denied,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Billy Strickland,Male,White,,,No,No,North Carolina,5/17/22,Representative,1,"6,050",14%,Lost,N/A,N/A,N/A,No comment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Henry Williams II,Male,Unknown,,,No,No,North Carolina,5/17/22,Representative,1,202,0%,Lost,N/A,N/A,N/A,No comment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Will Aiken,Male,White,,,No,No,North Carolina,5/17/22,Representative,1,"1,285",3%,Lost,N/A,N/A,N/A,Avoided answering,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Mahesh ""Max"" Ganorkar",Male,Asian (Indian),,,No,No,North Carolina,5/17/22,Representative,2,"9,133",26%,Lost,N/A,N/A,N/A,Raised questions,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Adina Safta,Female,White,,,No,No,North Carolina,5/17/22,Representative,2,"6,872",19%,Lost,N/A,N/A,N/A,No comment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Christine E. Villaverde,Female,White,,,No,No,North Carolina,5/17/22,Representative,2,"19,650",55%,Won,N/A,N/A,N/A,Raised questions,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Tony Cowden,Male,White,,,No,Yes,North Carolina,5/17/22,Representative,3,"9,332",14%,Lost,N/A,N/A,N/A,Raised questions,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Eric Earhart,Male,White,,,No,Yes,North Carolina,5/17/22,Representative,3,"3,274",5%,Lost,N/A,N/A,N/A,Raised questions,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Brian Michael Friend,Male,White,,,No,Yes,North Carolina,5/17/22,Representative,3,"1,698",3%,Lost,N/A,N/A,N/A,Fully denied,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Greg Murphy,Male,White,,,Yes,No,North Carolina,5/17/22,Representative,3,"50,123",76%,Won,N/A,N/A,N/A,Fully denied,Yes,4/6/22,N/A,N/A,N/A,N/A,N/A,N/A,N/A
George J. Papastrat,Male,White,,,No,Yes,North Carolina,5/17/22,Representative,3,"1,789",3%,Lost,N/A,N/A,N/A,Fully accepted,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Courtney Geels,Female,White,,,No,No,North Carolina,5/17/22,Representative,4,"19,645",65%,Won,N/A,N/A,N/A,Raised questions,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Robert Thomas,Male,White,,,No,No,North Carolina,5/17/22,Representative,4,"10,793",35%,Lost,N/A,N/A,N/A,No comment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Virginia Foxx,Female,White,,,Yes,No,North Carolina,5/17/22,Representative,5,"61,680",77%,Won,N/A,N/A,N/A,Fully denied,Yes,6/3/21,N/A,N/A,N/A,N/A,Yes,Yes,N/A
Michael Ackerman,Male,White,,,No,Yes,North Carolina,5/17/22,Representative,5,"18,868",23%,Lost,N/A,N/A,N/A,Raised questions,No,N/A,N/A,N/A,N/A,N/A,No,No,N/A
Christian Castelli,Male,White,,,No,No,North Carolina,5/17/22,Representative,6,"15,450",36%,Won,N/A,N/A,N/A,No comment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Mary Ann Contogiannis,Female,White,,,No,No,North Carolina,5/17/22,Representative,6,"5,211",12%,Lost,N/A,N/A,N/A,No comment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Lee Haywood,Male,White,,,No,No,North Carolina,5/17/22,Representative,6,"14,390",34%,Lost,N/A,N/A,N/A,No comment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Laura Pichardo,Female,Latino,,,No,No,North Carolina,5/17/22,Representative,6,"1,889",4%,Lost,N/A,N/A,N/A,No comment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"William ""Bill"" Schuch",Male,White,,,No,No,North Carolina,5/17/22,Representative,6,"1,452",3%,Lost,N/A,N/A,N/A,No comment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Gerry Austin,Male,White,,,No,No,North Carolina,5/17/22,Representative,6,"2,568",6%,Lost,N/A,N/A,N/A,Raised questions,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Marvin Boguslawski,Male,Asian (Japanese),White,,No,No,North Carolina,5/17/22,Representative,6,"1,716",4%,Lost,N/A,N/A,N/A,No comment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
David Rouzer,Male,White,,,Yes,No,North Carolina,5/17/22,Representative,7,"39,203",79%,Won,N/A,N/A,N/A,Fully denied,Yes,5/14/22,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Max Southworth-Beckwith,Male,White,,,No,Yes,North Carolina,5/17/22,Representative,7,"10,300",21%,Lost,N/A,N/A,N/A,Fully denied,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Dan Bishop,Male,White,,,Yes,No,North Carolina,5/17/22,Representative,8,1,100%,Won,N/A,N/A,N/A,Fully denied,Yes,5/14/22,Yes,N/A,No,N/A,N/A,N/A,N/A
Richard Hudson,Male,White,,,Yes,No,North Carolina,5/17/22,Representative,9,"38,117",79%,Won,N/A,N/A,N/A,Fully denied,Yes,5/14/22,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Francisco Rios,Male,Latino (Puerto Rican),,,No,Yes,North Carolina,5/17/22,Representative,9,"1,891",4%,Lost,N/A,N/A,N/A,No comment,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Mike Andriani,Male,White,,,No,Yes,North Carolina,5/17/22,Representative,9,"3,950",8%,Lost,N/A,N/A,N/A,No comment,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Jen Bucardo,Female,White,,,No,Yes,North Carolina,5/17/22,Representative,9,"4,175",9%,Lost,N/A,N/A,N/A,No comment,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Jeff Gregory,Male,White,,,No,Yes,North Carolina,5/17/22,Representative,10,"3,649",5%,Lost,N/A,N/A,N/A,No comment,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Michael Magnotta,Male,White,,,No,Yes,North Carolina,5/17/22,Representative,10,"4,703",6%,Lost,N/A,N/A,N/A,Fully denied,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Patrick McHenry,Male,White,,,Yes,No,North Carolina,5/17/22,Representative,10,"49,973",68%,Won,N/A,N/A,N/A,Fully accepted,Yes,5/14/22,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Gary Robinson,Male,White,,,No,Yes,North Carolina,5/17/22,Representative,10,"11,671",16%,Lost,N/A,N/A,N/A,No comment,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Richard Speer,Male,White,,,No,Yes,North Carolina,5/17/22,Representative,10,"3,381",5%,Lost,N/A,N/A,N/A,No comment,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Madison Cawthorn,Male,White,,,Yes,No,North Carolina,5/17/22,Representative,11,"28,112",32%,Lost,N/A,N/A,N/A,Fully denied,Yes,3/23/21,N/A,N/A,No,N/A,N/A,N/A,N/A
Chuck Edwards,Male,White,,,No,Yes,North Carolina,5/17/22,Representative,11,"29,496",33%,Won,N/A,N/A,N/A,Avoided answering,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Rod Honeycutt,Male,White,,,No,Yes,North Carolina,5/17/22,Representative,11,"5,775",7%,Lost,N/A,N/A,N/A,Fully accepted,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Wendy Marie-Limbaugh Nevarez,Female,White,,,No,Yes,North Carolina,5/17/22,Representative,11,"4,525",5%,Lost,N/A,N/A,N/A,Fully accepted,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Bruce O'Connell,Male,White,,,No,Yes,North Carolina,5/17/22,Representative,11,"6,037",7%,Lost,N/A,N/A,N/A,Accepted with reservations,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Kristie Sluder,Female,White,,,No,Yes,North Carolina,5/17/22,Representative,11,"1,304",1%,Lost,N/A,N/A,N/A,Fully denied,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Michele V. Woodhouse,Female,White,,,No,Yes,North Carolina,5/17/22,Representative,11,"4,668",5%,Lost,N/A,N/A,N/A,Fully denied,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Matthew Burril,Male,White,,,No,Yes,North Carolina,5/17/22,Representative,11,"8,341",9%,Lost,N/A,N/A,N/A,Fully denied,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Andrew Huffman,Male,White,,,No,No,North Carolina,5/17/22,Representative,12,"8,311",34%,Lost,N/A,N/A,N/A,No comment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Nalini Joseph,Female,Asian (Indian),,,No,No,North Carolina,5/17/22,Representative,12,"5,543",23%,Lost,N/A,N/A,N/A,Raised questions,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Tyler Lee,Male,White,,,No,No,North Carolina,5/17/22,Representative,12,"10,388",43%,Won,N/A,N/A,N/A,Raised questions,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Kelly Kathleen Daughtry,Female,White,,,No,No,North Carolina,5/17/22,Representative,13,"9,300",17%,Lost,N/A,N/A,N/A,No comment,No,N/A,No,N/A,N/A,N/A,Yes,N/A,Yes
Renee Ellmers,Female,White,,,No,No,North Carolina,5/17/22,Representative,13,"5,176",9%,Lost,N/A,N/A,N/A,No comment,No,N/A,No,N/A,N/A,N/A,No,N/A,No
Bo Hines,Male,White,,,No,No,North Carolina,5/17/22,Representative,13,"17,602",32%,Won,N/A,N/A,N/A,Fully denied,Yes,3/14/22,Yes,N/A,N/A,N/A,No,N/A,No
Kent Keirsey,Male,White,,,No,No,North Carolina,5/17/22,Representative,13,"6,223",11%,Lost,N/A,N/A,N/A,No comment,No,N/A,No,N/A,N/A,N/A,No,N/A,No
Jessica Morel,Female,White,,,No,No,North Carolina,5/17/22,Representative,13,738,1%,Lost,N/A,N/A,N/A,No comment,No,N/A,No,N/A,N/A,N/A,No,N/A,No
Chad Slotta,Male,White,,,No,No,North Carolina,5/17/22,Representative,13,"3,074",6%,Lost,N/A,N/A,N/A,Raised questions,No,N/A,No,N/A,N/A,N/A,No,N/A,No
Kevin Alan Wolff,Male,White,,,No,No,North Carolina,5/17/22,Representative,13,344,1%,Lost,N/A,N/A,N/A,No comment,No,N/A,No,N/A,N/A,N/A,No,N/A,No
DeVan Barbour,Male,White,,,No,No,North Carolina,5/17/22,Representative,13,"12,426",23%,Lost,N/A,N/A,N/A,No comment,No,N/A,No,N/A,N/A,N/A,No,N/A,No
Pat Harrigan,Male,White,,,No,No,North Carolina,5/17/22,Representative,14,"27,638",76%,Won,N/A,N/A,N/A,Accepted with reservations,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Jonathan Simpson,Male,White,,,No,No,North Carolina,5/17/22,Representative,14,"8,909",24%,Lost,N/A,N/A,N/A,No comment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Kathy Barnette,Female,Black,,,No,No,Pennsylvania,5/17/22,Senator,N/A,"331,903",25%,Lost,N/A,N/A,N/A,Fully denied,No,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A
Mehmet Oz,Male,Middle Eastern (Turkish),,,No,No,Pennsylvania,5/17/22,Senator,N/A,"420,168",31%,Won,N/A,N/A,N/A,Raised questions,Yes,4/9/22,No,N/A,N/A,N/A,N/A,N/A,N/A
George Bochetto,Male,White,,,No,No,Pennsylvania,5/17/22,Senator,N/A,"14,492",1%,Lost,N/A,N/A,N/A,Accepted with reservations,No,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A
Jeff Bartos,Male,White,,,No,No,Pennsylvania,5/17/22,Senator,N/A,"66,684",5%,Lost,N/A,N/A,N/A,Fully accepted,No,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A
Dave McCormick,Male,White,,,No,No,Pennsylvania,5/17/22,Senator,N/A,"419,218",31%,Lost,N/A,N/A,N/A,Avoided answering,No,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A
Sean Gale,Male,White,,,No,No,Pennsylvania,5/17/22,Senator,N/A,"20,266",2%,Lost,N/A,N/A,N/A,Fully denied,No,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A
Carla Sands,Female,White,,,No,No,Pennsylvania,5/17/22,Senator,N/A,"73,360",5%,Lost,N/A,N/A,N/A,Fully denied,No,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A
Alex Entin,Male,White,,,No,Yes,Pennsylvania,5/17/22,Representative,1,"31,772",34%,Lost,N/A,N/A,N/A,Raised questions,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Brian Fitzpatrick,Male,White,,,Yes,No,Pennsylvania,5/17/22,Representative,1,"60,502",66%,Won,N/A,N/A,N/A,Accepted with reservations,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Aaron Bashir,Male,Asian (Pakistani),,,No,No,Pennsylvania,5/17/22,Representative,2,"11,796",100%,Won,N/A,N/A,N/A,Fully denied,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Christian Nascimento,Male,White,,,No,No,Pennsylvania,5/17/22,Representative,4,"47,192",69%,Won,N/A,N/A,N/A,No comment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Daniel Burton Jr.,Male,White,,,No,No,Pennsylvania,5/17/22,Representative,4,"21,378",31%,Lost,N/A,N/A,N/A,No comment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
David Galluch,Male,White,,,No,No,Pennsylvania,5/17/22,Representative,5,"55,770",100%,Won,N/A,N/A,N/A,No comment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Regina Mauro,Female,Latino (Cuban),,,No,No,Pennsylvania,5/17/22,Representative,6,"10,565",15%,Lost,N/A,N/A,N/A,Fully denied,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Ron Vogel,Male,White,,,No,No,Pennsylvania,5/17/22,Representative,6,"15,628",22%,Lost,N/A,N/A,N/A,Avoided answering,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Steve Fanelli,Male,White,,,No,No,Pennsylvania,5/17/22,Representative,6,"21,146",30%,Lost,N/A,N/A,N/A,No comment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Guy Ciarrocchi,Male,White,,,No,No,Pennsylvania,5/17/22,Representative,6,"23,369",33%,Won,N/A,N/A,N/A,Raised questions,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Kevin Dellicker,Male,White,,,No,No,Pennsylvania,5/17/22,Representative,7,"32,713",49%,Lost,N/A,N/A,N/A,No comment,N/A,N/A,N/A,No,N/A,No,No,No,No
Lisa Scheller,Female,White,,,No,No,Pennsylvania,5/17/22,Representative,7,"34,504",51%,Won,N/A,N/A,N/A,No comment,N/A,N/A,N/A,Yes,N/A,Yes,Yes,Yes,Yes
Jim Bognet,Male,White,,,No,No,Pennsylvania,5/17/22,Representative,8,"47,097",69%,Won,N/A,N/A,N/A,Fully denied,Yes,5/3/22,N/A,Yes,N/A,N/A,N/A,N/A,N/A
Mike Marsicano,Male,White,,,No,No,Pennsylvania,5/17/22,Representative,8,"21,436",31%,Lost,N/A,N/A,N/A,No comment,No,5/3/22,N/A,No,N/A,N/A,N/A,N/A,N/A
Dan Meuser,Male,White,,,Yes,No,Pennsylvania,5/17/22,Representative,9,"102,180",100%,Won,N/A,N/A,N/A,Fully denied,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Scott Perry,Male,White,,,Yes,No,Pennsylvania,5/17/22,Representative,10,"84,646",100%,Won,N/A,N/A,N/A,Fully denied,Yes,5/10/22,N/A,N/A,No,N/A,N/A,N/A,N/A
Lloyd K. Smucker,Male,White,,,Yes,No,Pennsylvania,5/17/22,Representative,11,"96,886",100%,Won,N/A,N/A,N/A,Fully denied,Yes,5/10/22,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Mike Doyle,Male,White,,,No,No,Pennsylvania,5/17/22,Representative,12,"39,531",100%,Won,N/A,N/A,N/A,No comment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
John Joyce,Male,White,,,Yes,No,Pennsylvania,5/17/22,Representative,13,"114,160",100%,Won,N/A,N/A,N/A,Fully denied,Yes,3/18/22,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Guy Reschenthaler,Male,White,,,Yes,No,Pennsylvania,5/17/22,Representative,14,"81,243",100%,Won,N/A,N/A,N/A,Fully denied,Yes,5/10/22,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Glenn ""GT"" Thompson",Male,White,,,Yes,No,Pennsylvania,5/17/22,Representative,15,"99,270",100%,Won,N/A,N/A,N/A,Fully denied,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
