Candidate,Gender,Race 1,Race 2,Race 3,Incumbent,Incumbent Challenger,State,Primary Date,Office,District,Primary Votes,Primary %,Primary Outcome,Runoff Votes,Runoff %,Runoff Outcome,EMILY's List,Justice Dems,Indivisible,PCCC,Our Revolution,Sunrise,Sanders,AOC,Party Committee
Angela J. Dwyer,Female,Black,,,No,No,West Virginia,5/10/22,Representative,2,"16,653",43%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Barry Lee Wendell,Male,White,,,No,No,West Virginia,5/10/22,Representative,2,"22,139",57%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Patty Pansing Brooks,Female,White,,,No,No,Nebraska,5/10/22,Representative,1,"31,808",87%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Jazari Kual Zakaria,Male,Black,,,No,No,Nebraska,5/10/22,Representative,1,"4,944",13%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Alisha Shelton,Female,Black,,,No,No,Nebraska,5/10/22,Representative,2,"14,585",31%,Lost,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Tony Vargas,Male,Latino (Peruvian),,,No,No,Nebraska,5/10/22,Representative,2,"31,930",69%,Won,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
David J. Else,Male,White,,,No,No,Nebraska,5/10/22,Representative,3,"8,701",52%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Daniel M. Wik,Male,White,,,No,No,Nebraska,5/10/22,Representative,3,"7,968",48%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Carol Blood,Female,White,,,No,No,Nebraska,5/10/22,Governor,N/A,"88,859",89%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Roy A. Harris,Male,White,,,No,No,Nebraska,5/10/22,Governor,N/A,"11,267",11%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Joshua Wesley Blanton Sr.,Male,White,,,No,No,Kentucky,5/17/22,Senator,N/A,"30,980",11%,Lost,N/A,N/A,N/A,N/A,N/A,No,No,N/A,No,N/A,N/A,N/A
Charles Booker,Male,Black,,,No,No,Kentucky,5/17/22,Senator,N/A,"214,245",73%,Won,N/A,N/A,N/A,N/A,N/A,Yes,Yes,N/A,Yes,N/A,N/A,N/A
Ruth Gao,Female,White,,,No,No,Kentucky,5/17/22,Senator,N/A,"18,154",6%,Lost,N/A,N/A,N/A,N/A,N/A,No,No,N/A,No,N/A,N/A,N/A
John Merrill,Male,White,,,No,No,Kentucky,5/17/22,Senator,N/A,"28,931",10%,Lost,N/A,N/A,N/A,N/A,N/A,No,No,N/A,No,N/A,N/A,N/A
Jimmy C. Ausbrooks,Male,White,,,No,No,Kentucky,5/17/22,Representative,1,1,100%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
William Dakota Compton,Male,White,,,No,No,Kentucky,5/17/22,Representative,2,"14,465",42%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Hank Linderman,Male,White,,,No,No,Kentucky,5/17/22,Representative,2,"20,174",58%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Morgan McGarvey,Male,White,,,No,No,Kentucky,5/17/22,Representative,3,"52,157",63%,Won,N/A,N/A,N/A,N/A,N/A,N/A,No,No,N/A,N/A,N/A,N/A
Attica Scott,Female,Black,,,No,No,Kentucky,5/17/22,Representative,3,"30,183",37%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,N/A,N/A,N/A,N/A
Matthew Lehman,Male,White,,,No,No,Kentucky,5/17/22,Representative,4,1,100%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Conor Halbleib,Male,White,,,No,No,Kentucky,5/17/22,Representative,5,1,100%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Chris Preece,Male,White,,,No,No,Kentucky,5/17/22,Representative,6,"24,007",48%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Geoffrey M. ""Geoff"" Young",Male,White,,,No,No,Kentucky,5/17/22,Representative,6,"25,722",52%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
William E. Barlow III,Male,White,,,No,Yes,Oregon,5/17/22,Senator,N/A,"35,025",7%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Brent Thompson,Male,White,,,No,Yes,Oregon,5/17/22,Senator,N/A,"17,197",3%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Ron Wyden,Male,White,,,Yes,No,Oregon,5/17/22,Senator,N/A,"439,665",89%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Suzanne Bonamici,Female,White,,,Yes,No,Oregon,5/17/22,Representative,1,"80,317",88%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Scott Phillips,Male,White,,,No,Yes,Oregon,5/17/22,Representative,1,"7,832",9%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Christian Robertson,Male,White,,,No,Yes,Oregon,5/17/22,Representative,1,"2,625",3%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Adam Prine,Male,White,,,No,No,Oregon,5/17/22,Representative,2,"11,669",29%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Joe Yetter,Male,White,,,No,No,Oregon,5/17/22,Representative,2,"27,814",69%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Earl Blumenauer,Male,White,,,Yes,No,Oregon,5/17/22,Representative,3,"96,386",94%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Jonathan E. Polhemus,Male,White,,,No,Yes,Oregon,5/17/22,Representative,3,"5,392",5%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Sami Al-Abdrabbuh,Male,Middle Eastern (Saudi),,,No,No,Oregon,5/17/22,Representative,4,"6,080",7%,Lost,N/A,N/A,N/A,No,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A
Doyle E. Canning,Female,White,,,No,No,Oregon,5/17/22,Representative,4,"14,245",16%,Lost,N/A,N/A,N/A,No,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A
Val Hoyle,Female,White,,,No,No,Oregon,5/17/22,Representative,4,"56,153",64%,Won,N/A,N/A,N/A,Yes,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A
Andrew Kalloch,Male,White,,,No,No,Oregon,5/17/22,Representative,4,"4,322",5%,Lost,N/A,N/A,N/A,No,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A
Steve William Laible,Male,White,,,No,No,Oregon,5/17/22,Representative,4,292,0%,Lost,N/A,N/A,N/A,No,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A
Jake Matthews,Male,Asian (Indian),,,No,No,Oregon,5/17/22,Representative,4,607,1%,Lost,N/A,N/A,N/A,No,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A
John S. Selker,Male,White,,,No,No,Oregon,5/17/22,Representative,4,"4,738",5%,Lost,N/A,N/A,N/A,No,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A
G. Tommy Smith,Male,White,,,No,No,Oregon,5/17/22,Representative,4,"1,278",1%,Lost,N/A,N/A,N/A,No,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A
Jamie McLeod-Skinner,Female,White,,,No,Yes,Oregon,5/17/22,Representative,5,"47,148",55%,Won,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Yes,N/A,N/A,N/A,N/A
Kurt Schrader,Male,White,,,Yes,No,Oregon,5/17/22,Representative,5,"38,726",45%,Lost,N/A,N/A,N/A,N/A,N/A,No,No,No,N/A,N/A,N/A,N/A
Teresa Alonso Leon,Female,Latino (Mexican),,,No,No,Oregon,5/17/22,Representative,6,"4,626",7%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Ricky Barajas,Male,Latino (Mexican),,,No,No,Oregon,5/17/22,Representative,6,292,0%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Carrick Flynn,Male,White,,,No,No,Oregon,5/17/22,Representative,6,"13,052",18%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Greg Goodwin,Male,Unknown,,,No,No,Oregon,5/17/22,Representative,6,217,0%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Kathleen Harder,Female,White,,,No,No,Oregon,5/17/22,Representative,6,"5,510",8%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Cody Reynolds,Male,White,,,No,No,Oregon,5/17/22,Representative,6,"7,951",11%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Andrea Salinas,Female,White,,,No,No,Oregon,5/17/22,Representative,6,"26,101",37%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Loretta Smith,Female,Black,,,No,No,Oregon,5/17/22,Representative,6,"7,064",10%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Matt West,Male,White,,,No,No,Oregon,5/17/22,Representative,6,"5,658",8%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
David Beem,Male,White,,,No,No,Oregon,5/17/22,Governor,N/A,"1,308",0%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Julian Bell,Male,Unknown,,,No,No,Oregon,5/17/22,Governor,N/A,"3,926",1%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Wilson R. Bright,Male,White,,,No,No,Oregon,5/17/22,Governor,N/A,"2,316",0%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
George L. Carrillo,Male,Latino (Ecuadorian),,,No,No,Oregon,5/17/22,Governor,N/A,"9,365",2%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Michael Cross,Male,White,,,No,No,Oregon,5/17/22,Governor,N/A,"1,342",0%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Ifeanyichukwu C. Diru,Male,Black (Nigerian),,,No,No,Oregon,5/17/22,Governor,N/A,"1,780",0%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Peter W. Hall,Male,White,,,No,No,Oregon,5/17/22,Governor,N/A,982,0%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Tina Kotek,Female,White,,,No,No,Oregon,5/17/22,Governor,N/A,"275,301",56%,Won,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Keisha Lanell Merchant,Female,Black,,,No,No,Oregon,5/17/22,Governor,N/A,"1,755",0%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Tobias Read,Male,White,,,No,No,Oregon,5/17/22,Governor,N/A,"156,017",32%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Patrick E. Starnes,Male,White,,,No,No,Oregon,5/17/22,Governor,N/A,"10,524",2%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Dave W. Stauffer,Male,White,,,No,No,Oregon,5/17/22,Governor,N/A,"2,302",0%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
John Sweeney,Male,White,,,No,No,Oregon,5/17/22,Governor,N/A,"4,193",1%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Michael Trimble,Male,White,,,No,No,Oregon,5/17/22,Governor,N/A,"5,000",1%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Genevieve Wilson,Female,Black,,,No,No,Oregon,5/17/22,Governor,N/A,"1,588",0%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Ben Pursley,Male,Unknown,,,No,No,Idaho,5/17/22,Senator,N/A,"13,987",42%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
David Roth,Male,White,,,No,No,Idaho,5/17/22,Senator,N/A,"19,160",58%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Kaylee Peterson,Female,White,,,No,No,Idaho,5/17/22,Representative,1,"15,057",100%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Wendy Norman,Female,White,,,No,No,Idaho,5/17/22,Representative,2,"17,150",100%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Stephen Heidt,Male,White,,,No,No,Idaho,5/17/22,Governor,N/A,"25,088",80%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
James L. Carr Jr.,Male,Black,,,No,No,North Carolina,5/17/22,Senator,N/A,"21,903",4%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Robert Colon,Male,White,,,No,No,North Carolina,5/17/22,Senator,N/A,"6,904",1%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Alyssia Rose-Katherine Hammond,Female,Black,,,No,No,North Carolina,5/17/22,Senator,N/A,"21,005",3%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Constance ""Lov"" Johnson",Female,Black,,,No,No,North Carolina,5/17/22,Senator,N/A,"12,500",2%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Tobias LaGrone,Male,Black,,,No,No,North Carolina,5/17/22,Senator,N/A,"5,048",1%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
B.K. Maginnis,Male,White,,,No,No,North Carolina,5/17/22,Senator,N/A,"7,044",1%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Rett Newton,Male,White,,,No,No,North Carolina,5/17/22,Senator,N/A,"10,043",2%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Marcus W. Williams,Male,Black,,,No,No,North Carolina,5/17/22,Senator,N/A,"17,446",3%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Greg Antoine,Male,Black,,,No,No,North Carolina,5/17/22,Senator,N/A,"5,179",1%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Cheri Beasley,Female,Black,,,No,No,North Carolina,5/17/22,Senator,N/A,"501,766",81%,Won,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Chrelle Booker,Female,Black,,,No,No,North Carolina,5/17/22,Senator,N/A,"9,937",2%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Don Davis,Male,Black,,,No,No,North Carolina,5/17/22,Representative,1,"42,693",63%,Won,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,No,N/A,N/A,N/A
Erica D. Smith,Female,Black,,,No,No,North Carolina,5/17/22,Representative,1,"21,012",31%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,Yes,N/A,N/A,N/A
Jason Albert Spriggs,Male,Black,,,No,No,North Carolina,5/17/22,Representative,1,"2,123",3%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,No,N/A,N/A,N/A
Jullian C. Bishop Sr.,Male,Black,,,No,No,North Carolina,5/17/22,Representative,1,"1,752",3%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,No,N/A,N/A,N/A
Deborah K. Ross,Female,White,,,Yes,No,North Carolina,5/17/22,Representative,2,1,100%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Barbara D. Gaskins,Female,Black,,,No,No,North Carolina,5/17/22,Representative,3,"23,051",81%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Joe Swartz,Male,White,,,No,No,North Carolina,5/17/22,Representative,3,"5,495",19%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Crystal Cavalier,Female,Native American (Saponi),,,No,No,North Carolina,5/17/22,Representative,4,"1,116",1%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,No,No,No,N/A
Valerie P. Foushee,Female,Black,,,No,No,North Carolina,5/17/22,Representative,4,"40,806",46%,Won,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,No,No,No,N/A
Matt Grooms,Male,White,,,No,No,North Carolina,5/17/22,Representative,4,435,0%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,No,No,No,N/A
Stephen J. Valentine,Male,Black,,,No,No,North Carolina,5/17/22,Representative,4,"1,023",1%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,No,No,No,N/A
Ashley Ward,Female,White,,,No,No,North Carolina,5/17/22,Representative,4,"4,767",5%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,No,No,No,N/A
Richard L. Watkins,Male,Black,,,No,No,North Carolina,5/17/22,Representative,4,"1,155",1%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,No,No,No,N/A
Clay Aiken,Male,White,,,No,No,North Carolina,5/17/22,Representative,4,"6,529",7%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,No,No,No,N/A
Nida Allam,Female,Asian (Indian),Asian (Pakistani),,No,No,North Carolina,5/17/22,Representative,4,"32,731",37%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,Yes,Yes,Yes,N/A
Kyle Parrish,Male,White,,,No,No,North Carolina,5/17/22,Representative,5,1,100%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Kathy Manning,Female,White,,,Yes,No,North Carolina,5/17/22,Representative,6,1,100%,Won,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Charles E. Evans,Male,Black,,,No,No,North Carolina,5/17/22,Representative,7,"12,263",29%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Charles Graham,Male,White,,,No,No,North Carolina,5/17/22,Representative,7,"13,054",31%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Yushonda Midgette,Female,Black,,,No,No,North Carolina,5/17/22,Representative,7,"6,738",16%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Steve Miller,Male,White,,,No,No,North Carolina,5/17/22,Representative,7,"9,744",23%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Scott Huffman,Male,White,,,No,No,North Carolina,5/17/22,Representative,8,1,100%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Ben Clark,Male,Black,,,No,No,North Carolina,5/17/22,Representative,9,1,100%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Michael Felder,Male,White,,,No,No,North Carolina,5/17/22,Representative,10,"3,790",23%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Pam Genant,Female,White,,,No,No,North Carolina,5/17/22,Representative,10,"13,028",77%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Jay Carey,Male,White,,,No,No,North Carolina,5/17/22,Representative,11,"3,858",7%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Katie Dean,Female,White,,,No,No,North Carolina,5/17/22,Representative,11,"13,957",26%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Marco Gutierrez,Male,White,Latino,,No,No,North Carolina,5/17/22,Representative,11,"1,040",2%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Bo Hess,Male,White,,,No,No,North Carolina,5/17/22,Representative,11,"2,082",4%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Bynum M. Lunsford,Male,White,,,No,No,North Carolina,5/17/22,Representative,11,"1,002",2%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Jasmine Beach-Ferrara,Female,White,,,No,No,North Carolina,5/17/22,Representative,11,"32,478",60%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
John Sharkey,Male,Black,,,No,Yes,North Carolina,5/17/22,Representative,12,"3,460",8%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Alma S. Adams,Female,Black,,,Yes,No,North Carolina,5/17/22,Representative,12,"37,984",92%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Nathan Click,Male,Black,,,No,No,North Carolina,5/17/22,Representative,13,"3,866",9%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Denton Lee,Male,White,,,No,No,North Carolina,5/17/22,Representative,13,"3,311",7%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Wiley Nickel,Male,White,,,No,No,North Carolina,5/17/22,Representative,13,"23,155",52%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Sam Searcy,Male,White,,,No,No,North Carolina,5/17/22,Representative,13,"10,284",23%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Jamie Campbell Bowles,Female,White,,,No,No,North Carolina,5/17/22,Representative,13,"4,217",9%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Jeff Jackson,Male,White,,,No,No,North Carolina,5/17/22,Representative,14,"34,724",86%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Ram Mammadov,Male,White (Azerbaijani),,,No,No,North Carolina,5/17/22,Representative,14,"5,598",14%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Alex Khalil,Female,Middle Eastern (Palestinian),,,No,No,Pennsylvania,5/17/22,Senator,N/A,"54,460",4%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Conor Lamb,Male,White,,,No,No,Pennsylvania,5/17/22,Senator,N/A,"337,498",26%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Malcolm Kenyatta,Male,Black,,,No,No,Pennsylvania,5/17/22,Senator,N/A,"139,393",11%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
John Fetterman,Male,White,,,No,No,Pennsylvania,5/17/22,Senator,N/A,"753,557",59%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Ashley Ehasz,Female,White,,,No,No,Pennsylvania,5/17/22,Representative,1,"79,546",100%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Brendan F. Boyle,Male,White,,,Yes,No,Pennsylvania,5/17/22,Representative,2,"53,825",100%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Dwight Evans,Male,Black,,,Yes,No,Pennsylvania,5/17/22,Representative,3,"97,709",76%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Alexandra Hunt,Female,White,,,No,Yes,Pennsylvania,5/17/22,Representative,3,"25,712",20%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Michael Cogbill,Male,Black,,,No,Yes,Pennsylvania,5/17/22,Representative,3,"5,728",4%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Madeleine Dean,Female,White,,,Yes,No,Pennsylvania,5/17/22,Representative,4,"96,876",100%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Mary Gay Scanlon,Female,White,,,Yes,No,Pennsylvania,5/17/22,Representative,5,"79,816",100%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Chrissy Houlahan,Female,White,,,Yes,No,Pennsylvania,5/17/22,Representative,6,"71,950",100%,Won,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Susan Wild,Female,White,,,Yes,No,Pennsylvania,5/17/22,Representative,7,"63,817",100%,Won,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Matt Cartwright,Male,White,,,Yes,No,Pennsylvania,5/17/22,Representative,8,"68,696",100%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Amanda R. Waldman,Female,White,,,No,No,Pennsylvania,5/17/22,Representative,9,"41,622",100%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Rick Coplen,Male,White,,,No,No,Pennsylvania,5/17/22,Representative,10,"29,128",47%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Shamaine Daniels,Female,Latino (Venezuelan),,,No,No,Pennsylvania,5/17/22,Representative,10,"32,260",53%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
