Pollster,Pollster Rating ID,# of Polls,NCPP / AAPOR / Roper,Live Caller With Cellphones,Methodology,Banned by 538,Historical Advanced Plus-Minus,Predictive    Plus-Minus,538 Grade,Mean-Reverted Bias,Races Called Correctly,Misses Outside MOE,Simple Average Error,Simple Expected Error,Simple Plus-Minus,Advanced Plus-Minus,Mean-Reverted Advanced Plus Minus,Predictive Plus-Minus,# of Polls for Bias Analysis,Bias,Mean-Reverted Bias,House Effect,Average Distance from Polling Average (ADPA),Herding Penalty
Centre College,47,1,no,yes,Live,no,-1.6,0.4,B/C°,D +0.2,100%,0%,3.9,5.4,-1.3,-1.6,-0.1,0.4,1,D +3.9,D +0.2,D +2.3,,0
Richmond Times-Dispatch,288,4,no,yes,Live,no,-1.2,0.4,B/C°,D +0.2,100%,0%,3.3,4.9,-1.4,-1.2,-0.1,0.4,4,D +2.9,D +0.2,D +2.4,5,0.17
Market Solutions Group,188,4,no,yes*,Live*,no,-1.3,0.4,B/C°,R +0.0,100%,25%,4.3,6.4,-1.9,-1.3,-0.1,0.4,2,R +0.1,R +0.0,D +1.8,4.4,0.45
Research 2000,281,278,no,yes*,Live*,yes,-0.1,0.4,F,D +1.4,88%,22%,5.5,5.8,-0.1,-0.1,-0.1,0.4,246,D +1.6,D +1.4,D +1.2,4.7,0.23
Frank N. Magid Associates Inc.,105,4,no,yes*,Live*,no,-1.7,0.4,B/C°,D +0.3,100%,25%,4.6,5.7,-0.9,-1.7,-0.1,0.4,4,D +4.6,D +0.3,R +0.9,4,0.76
Mellman Group,205,21,no,yes,Live,no,-0.3,0.4,B/C°,D +1.7,79%,14%,4.9,5.4,-0.3,-0.3,-0.1,0.4,21,D +4.0,D +1.7,D +5.4,3.4,0.54
Midwest Survey and Research,209,3,no,yes*,Live*,no,-1.3,0.4,B/C°,R +0.1,100%,33%,7.3,5.9,1.6,-1.3,-0.1,0.4,3,R +1.0,R +0.1,,,0
Merrill Poll,206,2,no,yes,Live,no,-0.4,0.4,B/C°,,100%,50%,8.7,8.8,0.1,-0.4,0,0.4,0,,,,,0
Lincoln Institute,170,2,no,yes*,Live*,no,-2.5,0.4,B/C°,R +0.1,75%,0%,4.1,5.1,-0.8,-2.5,-0.1,0.4,2,R +4.1,R +0.1,D +2.5,,0
Southern Media & Opinion Research,310,7,no,yes,Live,no,0.1,0.4,B/C°,D +0.7,100%,14%,5.6,5.3,0.5,0.1,0,0.4,7,D +3.2,D +0.7,D +2.3,,0
Neighborhood Research and Media,227,1,no,yes,Live,no,-2.9,0.4,B/C°,R +0.1,100%,0%,3.4,6.5,-2.9,-2.9,-0.1,0.4,1,R +3.4,R +0.1,R +7.2,8.4,0
QEV Analytics,266,1,no,yes,Live,no,-2.8,0.4,B/C°,,0%,0%,7.3,6.5,1,-2.8,-0.1,0.4,0,,,,,0
Florida International University/Univision,98,1,no,yes,Live,no,-5.9,0.4,B/C°,D +0.0,100%,0%,1.8,6.3,-4.3,-5.9,-0.2,0.4,1,D +1.8,D +0.0,R +13.0,,0
New Mexico State University,230,1,no,yes*,Live*,no,-3.2,0.4,B/C°,,0%,0%,6.8,10.6,-3.7,-3.2,-0.1,0.4,0,,,,,0
Winston Group,385,1,no,yes*,Live*,no,-2.8,0.4,B/C°,D +0.2,100%,0%,6.3,6.7,-0.2,-2.8,-0.1,0.4,1,D +6.3,D +0.2,R +8.0,,0
Insights West,151,9,no,no,Online,no,-3.6,0.4,B/C°,R +0.1,94%,0%,2.5,5.7,-3.1,-3.6,-1.1,0.4,8,R +0.4,R +0.1,R +0.9,3.4,1.14
Louis Harris & Associates,173,2,no,yes*,Live*,no,-4.9,0.4,B/C°,D +0.0,100%,0%,0.9,5.1,-4,-4.9,-0.1,0.4,2,D +0.9,D +0.0,D +5.4,5.5,0
Wirthlin Worldwide,387,4,no,yes*,Live*,no,-1.1,0.4,B/C°,R +0.2,75%,25%,4.6,6.1,-1.3,-1.1,-0.1,0.4,4,R +3.9,R +0.2,R +4.9,4.9,0.32
Manhattanville College,181,3,no,yes*,Live*,no,-1.1,0.4,B/C°,R +0.2,100%,33%,6.5,6.6,0.1,-1.1,0,0.4,2,R +8.2,R +0.2,D +0.3,7.2,0
Baruch College,22,2,no,yes,Live,no,-0.2,0.4,B/C°,,100%,0%,5.7,8.4,-2.6,-0.2,0,0.4,0,,,,9.2,0
Knowledge Networks,164,3,yes,no,Online,no,-0.6,0.4,B/C°,R +0.3,100%,33%,4.1,4.5,-0.2,-0.6,0,0.4,3,R +4.1,R +0.3,R +0.3,3.2,0.08
Aspen Media & Market Research,17,1,no,yes*,Live*,no,-2.3,0.4,B/C°,R +0.1,100%,0%,3.5,5.7,-2.1,-2.3,-0.1,0.4,1,R +3.5,R +0.1,,,0
Jim Meader (KELOLAND-TV),159,4,no,yes*,Live*,no,-0.3,0.4,B/C°,D +0.3,100%,25%,4.6,5.5,-0.8,-0.3,0,0.4,4,D +4.6,D +0.3,D +4.4,,0
Canisius College,43,1,no,yes*,Live*,no,-5.7,0.4,B/C°,,100%,0%,0.1,8.3,-8,-5.7,-0.1,0.4,0,,,,,0
University of Tennessee,362,1,no,yes*,Live*,no,-5.4,0.4,B/C°,R +0.1,100%,0%,2.7,5.1,-2.2,-5.4,-0.1,0.4,1,R +2.7,R +0.1,R +5.4,,0
Central Surveys Inc.,46,1,no,yes*,Live*,no,-3.5,0.4,B/C°,D +0.0,0%,0%,1.7,5.7,-3.8,-3.5,-0.1,0.4,1,D +1.7,D +0.0,D +2.3,,0
Wood Communications Group,388,1,no,yes*,Live*,no,-4.3,0.4,B/C°,D +0.0,100%,0%,0.8,6.4,-5.4,-4.3,-0.1,0.4,1,D +0.8,D +0.0,D +3.0,2,3.28
RMS Research,273,1,no,yes*,Live*,no,-5.8,0.4,B/C°,R +0.0,100%,0%,0.9,6.7,-5.6,-5.8,-0.1,0.4,1,R +0.9,R +0.0,,,0
Market Strategies International,189,1,no,yes*,Live*,no,-5.2,0.4,B/C°,R +0.0,100%,0%,1.1,6.3,-5.1,-5.2,-0.1,0.4,1,R +1.1,R +0.0,R +4.6,3.6,1.27
Cooper & Secrest,60,1,no,yes*,Live*,no,-3,0.4,B/C°,R +0.0,0%,0%,2.6,5.8,-3,-3,-0.1,0.4,1,R +2.6,R +0.0,,,0
Red Sea Communications,278,1,no,yes*,Live*,no,-2.7,0.4,B/C°,R +0.1,100%,0%,4.4,7.1,-2.5,-2.7,0,0.4,1,R +4.4,R +0.1,,,0
Garin-Hart-Yang Research Group,113,23,no,partial,Online/Live,no,-0.5,0.4,B/C°,D +1.5,85%,35%,5.7,5.8,0.1,-0.5,-0.2,0.4,23,D +3.5,D +1.5,D +4.9,4.8,0.11
Bendixen & Amandi International,29,2,no,yes,Live,no,0,0.4,B/C°,D +0.1,100%,0%,3,4.9,-1.7,0,0,0.4,2,D +1.6,D +0.1,D +3.0,,0
Dynamic Marketing Inc.,83,1,no,yes*,Live*,no,-4.5,0.4,B/C°,D +0.0,100%,0%,3,6.2,-3,-4.5,-0.1,0.4,1,D +3.0,D +0.0,R +7.5,,0
Vox Populi Polling,529,1,no,yes*,Live*,no,-3.1,0.4,B/C°,,100%,0%,3.5,8.3,-4.6,-3.1,0,0.4,0,,,,6.7,0
Diversified Research Inc,80,1,no,yes*,Live*,no,-2,0.4,B/C°,R +0.1,100%,0%,5,7,-1.8,-2,0,0.4,1,R +5.0,R +0.1,,,0
Thirty-Ninth Street Strategies,460,1,no,yes,Live,no,-2.8,0.4,B/C°,R +0.1,0%,0%,2,6.8,-4.5,-2.8,-0.1,0.4,1,R +2.0,R +0.1,R +2.4,3,2.58
YouGov,391,395,no,no,Online,no,-0.1,0.4,B-,D +0.4,89%,30%,5,5.1,0,-0.1,-0.1,0.4,347,D +0.4,D +0.4,D +0.3,4.6,0
Lauer Lalley Victoria Inc.,168,1,no,yes*,Live*,no,-3.9,0.4,B/C°,R +0.0,100%,0%,1.7,6.6,-4.7,-3.9,0,0.4,1,R +1.7,R +0.0,D +4.0,,0
Dartmouth College,72,2,no,yes,Live,no,-0.6,0.4,B/C°,,100%,50%,9,8.4,0.8,-0.6,0,0.4,0,,,,,0
Franklin & Marshall College,106,21,yes,partial,Online/Live,no,0.9,0.4,B/C°,D +0.4,86%,29%,6.5,6.5,0.2,0.9,0.4,0.4,18,D +0.9,D +0.4,D +2.0,5.5,0.15
Voter/Consumer Research,371,6,no,yes,Live,no,-0.9,0.4,B/C°,D +0.0,100%,50%,5.5,5.7,0,-0.9,-0.1,0.4,6,D +0.3,D +0.0,R +3.9,2.5,1.19
University of Georgia,350,2,no,yes,Live,no,-0.7,0.4,B/C°,R +0.4,50%,50%,5.7,5.2,0.7,-0.7,-0.1,0.4,2,R +4.1,R +0.4,D +0.7,1.3,0.9
Ohio State University,236,1,no,yes*,Live*,no,-1.1,0.4,B/C°,R +0.1,100%,0%,3.7,5.1,-1.3,-1.1,0,0.4,1,R +3.7,R +0.1,R +7.3,,0
Associated Industries of Florida,18,2,no,yes,Live,no,0.3,0.4,B/C°,D +0.3,50%,0%,3.4,4.5,-0.9,0.3,0,0.4,2,D +3.4,D +0.3,D +1.0,,0
Global Strategy Group/National Research (Philadelphia Inquirer),119,4,no,yes,Live,no,-1.6,0.4,B/C°,R +0.3,100%,25%,3,5.3,-2.1,-1.6,-0.2,0.4,4,R +2.7,R +0.3,D +0.1,2.3,1.93
Market Trends Pacific,190,1,no,yes*,Live*,no,-0.4,0.4,B/C°,D +0.1,50%,0%,4.6,5.6,-0.8,-0.4,0,0.4,1,D +4.6,D +0.1,D +2.5,,0
Basswood Research,24,2,no,yes,Live,no,0.3,0.4,B/C°,R +0.2,100%,100%,10.7,7.5,3.4,0.3,0,0.4,1,R +13.1,R +0.2,,,0
NRECA Market Research,223,1,no,yes*,Live*,no,-0.6,0.4,B/C°,D +0.1,100%,0%,6.3,5.6,0.9,-0.6,0,0.4,1,D +6.3,D +0.1,,,0
Tel Opinion Research,334,12,no,yes,Live,no,0.2,0.4,B/C°,R +0.0,96%,17%,4.7,5.8,-0.9,0.2,0,0.4,10,R +0.1,R +0.0,D +0.1,4.4,0.24
Wick Communications,381,1,no,yes*,Live*,no,-1.2,0.4,B/C°,D +0.1,100%,0%,2.8,6.3,-3.2,-1.2,0,0.4,1,D +2.8,D +0.1,D +4.0,5,1.19
Belden Russonello,28,2,no,yes,Live,no,0.2,0.4,B/C°,D +0.1,100%,50%,4.7,5.2,-0.3,0.2,0,0.4,2,D +3.3,D +0.1,D +5.7,7,0
University of North Carolina,359,1,no,yes*,Live*,no,-3,0.4,B/C°,D +0.0,100%,0%,1.6,5.5,-3.7,-3,-0.1,0.4,1,D +1.6,D +0.0,R +1.3,1,2.97
Analytical Group,11,1,no,yes*,Live*,no,-0.8,0.4,B/C°,D +0.1,100%,0%,4,5.4,-1.2,-0.8,0,0.4,1,D +4.0,D +0.1,D +3.0,3.7,0.86
ASA Marketing Group,5,1,no,yes*,Live*,no,0.3,0.4,B/C°,D +0.1,100%,0%,5.5,4.5,1.2,0.3,0,0.4,1,D +5.5,D +0.1,,,0
Schoen Consulting,301,1,no,yes,Live,no,-0.6,0.4,B/C°,R +0.1,100%,0%,2.3,4.5,-2.1,-0.6,0,0.4,1,R +2.3,R +0.1,R +1.8,1.8,0.99
Braun Research,33,6,no,yes,Live,no,0.3,0.4,B/C°,D +1.3,100%,50%,6.6,5.2,1.6,0.3,0.1,0.4,6,D +6.6,D +1.3,D +2.8,2.5,0.17
Virginia Commonwealth University,370,5,no,yes,Live,no,0.4,0.4,B/C°,R +0.2,100%,20%,4.9,5.2,-0.1,0.4,0,0.4,5,R +1.9,R +0.2,R +1.7,5.7,0
Benenson Strategy Group,30,9,no,yes,Live,no,0.5,0.4,B/C°,D +0.6,50%,11%,6.2,6.2,0.2,0.5,0.1,0.4,9,D +2.8,D +0.6,D +7.6,9.9,0
Becker Institute,26,3,no,yes*,Live*,no,0.5,0.5,B/C°,D +0.4,67%,67%,7.6,6.4,1.4,0.5,0,0.5,3,D +7.6,D +0.4,D +0.8,11.5,0
Meeting Street Research,204,1,no,yes,Live,no,-0.9,0.5,B/C°,D +0.1,100%,0%,2.7,5.1,-2.2,-0.9,0,0.5,1,D +2.7,D +0.1,,3,1.39
Gordon S. Black Corp.,123,2,no,yes*,Live*,no,0.5,0.5,B/C°,R +0.2,100%,50%,6.3,4.5,2,0.5,0,0.5,2,R +6.3,R +0.2,R +1.3,6,0
Cromer Group,65,1,no,yes*,Live*,no,0.5,0.5,B/C°,R +0.1,100%,0%,3.9,5.4,-1.3,0.5,0,0.5,1,R +3.9,R +0.1,R +3.8,,0
Strategic Services,319,1,no,yes*,Live*,no,0.6,0.5,B/C°,D +0.1,0%,0%,5.5,5.6,0.1,0.6,0,0.5,1,D +5.5,D +0.1,D +2.0,,0
Vox Populi Polling,372,19,no,no,IVR/Online,no,-0.9,0.5,B/C°,D +0.3,74%,16%,4.3,5.4,-0.9,-0.9,-0.4,0.5,19,D +0.6,D +0.3,R +1.4,4.8,0.14
New England College,228,15,no,no,IVR,no,-1.2,0.5,B/C°,R +0.7,77%,0%,3,5,-1.8,-1.2,-0.4,0.5,15,R +1.9,R +0.7,R +3.3,5.7,0
DHM Research,76,14,no,partial,Online/Live,no,-1.1,0.5,B/C°,R +0.1,86%,7%,4.1,5.9,-1.6,-1.1,-0.3,0.5,12,R +0.3,R +0.1,D +0.3,4.5,0.53
University of Nevada Las Vegas,356,1,no,yes,Live,no,0.8,0.5,B/C°,,100%,100%,9,8.3,0.9,0.8,0,0.5,0,,,,,0
Victoria Research & Consulting,369,1,no,yes,Live,no,1.2,0.5,B/C°,D +0.2,50%,0%,8.1,6.5,1.7,1.2,0,0.5,1,D +8.1,D +0.2,,,0
Rhode Island College,285,5,no,yes*,Live*,no,-0.1,0.5,B/C°,R +0.1,100%,20%,6.1,6.1,0.2,-0.1,0,0.5,4,R +1.5,R +0.1,R +0.8,3.9,0.68
GfK Group,115,21,yes,no,Online,no,0.1,0.5,B/C°,D +0.2,88%,19%,3.9,5,-0.9,0.1,0,0.5,21,D +0.6,D +0.2,D +1.2,4.2,0.44
Public Strategies Inc.,264,6,no,yes*,Live*,no,0.6,0.5,B/C°,,100%,33%,7.9,8.4,-0.4,0.6,0.1,0.5,0,,,,7.6,0
Clarus Research Group,53,3,no,yes,Live,no,0.7,0.5,B/C°,D +0.6,100%,33%,6.8,5.1,1.8,0.7,0.1,0.5,3,D +6.8,D +0.6,D +2.2,,0
West Virginia Research Center,378,2,no,yes*,Live*,no,0.9,0.5,B/C°,D +0.2,50%,50%,6.5,5.4,1.2,0.9,0,0.5,2,D +6.5,D +0.2,D +2.8,4,0.4
FM3 Research,91,7,no,yes,Live,no,0.7,0.5,B/C°,D +0.6,79%,29%,5.9,5.9,0.1,0.7,0.1,0.5,7,D +5.5,D +0.6,D +6.9,8.3,0
Zimmerman & Associates/Marketing Intelligence,394,3,no,yes*,Live*,no,0.3,0.5,B/C°,D +0.2,100%,0%,4.7,5.7,-0.8,0.3,0,0.5,3,D +3.2,D +0.2,D +0.6,2.2,0.57
Kiley & Company,162,3,no,yes,Live,no,0.8,0.5,B/C°,D +0.5,100%,67%,6.7,5.7,1.1,0.8,0.1,0.5,3,D +5.5,D +0.5,D +9.4,8.7,0
Rice University,286,2,no,yes*,Live*,no,0.1,0.5,B/C°,D +0.2,100%,0%,5.9,5.2,0.9,0.1,0,0.5,2,D +5.9,D +0.2,D +0.6,2.3,1.32
DFM Research,69,10,no,yes,Live,no,0.1,0.5,B/C°,D +1.7,75%,40%,6.4,5.9,0.7,0.1,0,0.5,10,D +5.4,D +1.7,D +3.9,3,0.43
Val Smith,367,1,no,yes,Live,no,1.9,0.5,B/C°,R +0.2,100%,0%,8.5,6.5,2.2,1.9,0,0.5,1,R +8.5,R +0.2,R +15.0,,0
Polling Company/Global Strategy Group (Hotline Bullseye),255,3,no,yes*,Live*,no,1.3,0.5,B/C°,R +0.2,33%,33%,4.6,3.7,1,1.3,0.1,0.5,3,R +4.6,R +0.2,R +3.1,3.4,0.09
Independent Market Research,148,2,no,yes*,Live*,no,1.8,0.5,B/C°,D +0.1,100%,50%,5.7,5.2,0.7,1.8,0,0.5,2,D +5.3,D +0.1,D +4.9,5.5,0.23
Old Dominion University,238,1,no,yes,Live,no,-1,0.5,B/C°,D +0.2,100%,0%,4.5,5.3,-0.7,-1,0,0.5,1,D +4.5,D +0.2,R +0.8,0,2.78
Overtime Politics,247,12,no,yes,Live,yes,0.6,0.5,F,,67%,42%,9.8,8.6,1.4,0.6,0.2,0.5,0,,,,6.8,0
Harvard University,135,1,no,yes*,Live*,no,0.6,0.5,B/C°,D +0.1,0%,0%,6.9,6.3,0.8,0.6,0,0.5,1,D +6.9,D +0.1,D +1.5,2,2.69
Hill Research Consultants,140,4,no,yes,Live,no,-0.5,0.5,B/C°,R +0.2,50%,25%,5.4,5.6,0,-0.5,0,0.5,4,R +3.2,R +0.2,R +1.0,2.2,1.91
A&A Research,2,1,no,yes*,Live*,no,3.7,0.5,B/C°,R +0.2,0%,100%,10.1,6.4,3.9,3.7,0.1,0.5,1,R +10.1,R +0.2,,,0
Decision Forecasting,77,3,no,yes*,Live*,no,1.6,0.5,B/C°,R +0.1,100%,67%,8.1,4.7,3.6,1.6,0.1,0.5,3,R +1.4,R +0.1,D +0.5,4.3,0.14
TMR Research,328,2,no,yes*,Live*,no,2.7,0.5,B/C°,D +0.2,0%,50%,7.8,5.1,2.9,2.7,0.1,0.5,2,D +7.8,D +0.2,D +6.7,,0
"California State University, Bakersfield",41,1,no,yes*,Live*,no,4.4,0.5,B/C°,R +0.1,0%,100%,9.9,5.9,4.1,4.4,0.1,0.5,1,R +9.9,R +0.1,R +14.0,,0
Illinois Wesleyan University,147,3,no,yes*,Live*,no,1.5,0.5,B/C°,R +0.4,100%,33%,8.2,6,2.3,1.5,0.1,0.5,3,R +8.2,R +0.4,R +5.9,5,0.25
West Chester University,377,7,no,yes*,Live*,no,0,0.5,B/C°,D +0.1,100%,29%,5.2,5.4,-0.1,0,0,0.5,7,D +1.0,D +0.1,D +2.3,3.7,0.96
Southern Opinion Research,311,2,no,yes*,Live*,no,2.3,0.5,B/C°,D +0.0,100%,50%,8.5,6.1,2.6,2.3,0.1,0.5,2,D +0.9,D +0.0,D +4.5,4,0.56
Tulsa Surveys,341,1,no,yes*,Live*,no,5.5,0.5,B/C°,R +0.2,100%,100%,11.9,4.5,7.5,5.5,0.1,0.5,1,R +11.9,R +0.2,,,0
HighGround Inc.,416,2,no,yes,Live,no,-0.8,0.5,B/C°,R +0.4,50%,0%,4.4,6.5,-1.9,-0.8,-0.1,0.5,2,R +4.4,R +0.4,R +3.0,2.6,1.94
Marketing Research Institute,192,1,no,yes*,Live*,no,4.6,0.5,B/C°,R +0.1,0%,100%,7.4,5.1,2.5,4.6,0.1,0.5,1,R +7.4,R +0.1,R +7.3,,0
Riley Research Associates,290,7,no,partial,Online/Live,no,-2.3,0.5,B/C°,R +0.1,100%,0%,2.7,5.6,-2.8,-2.3,-0.3,0.5,7,R +0.6,R +0.1,R +1.4,,0
Feldman Group,93,1,no,yes,Live,no,4,0.5,B/C°,D +0.2,0%,100%,10.8,6,5,4,0.1,0.5,1,D +10.8,D +0.2,,,0
Franklin Pierce University,107,21,no,yes,Live,no,0.6,0.5,B/C°,D +0.7,83%,43%,6.6,6.5,0.4,0.6,0.2,0.5,12,D +4.5,D +0.7,D +5.1,5.8,0.09
University of Denver,348,2,no,yes,Live,no,-0.3,0.5,B/C°,R +0.1,100%,0%,3.4,5.3,-1.7,-0.3,0,0.5,2,R +1.0,R +0.1,R +0.4,2.4,1.63
Big Ten,31,10,no,yes*,Live*,no,0.9,0.5,B/C°,D +1.0,100%,20%,4.8,5.1,-0.2,0.9,0.2,0.5,10,D +4.5,D +1.0,D +5.5,5.7,0
Ipsos,154,66,yes,no,Online,no,0.3,0.5,B-,D +0.2,71%,23%,4.5,4.8,-0.1,0.3,0.2,0.5,60,D +0.3,D +0.2,D +0.8,3.5,0.16
CallFire,42,4,no,yes,Live,no,0.4,0.5,B/C°,R +0.5,75%,0%,3.9,4.6,-0.4,0.4,0,0.5,4,R +3.9,R +0.5,R +0.4,2.5,0.82
Arthur J. Finkelstein & Associates,16,1,no,yes*,Live*,no,5.8,0.5,B/C°,R +0.2,0%,100%,13.7,7.2,6.7,5.8,0.1,0.5,1,R +13.7,R +0.2,,,0
JMC Analytics/Bold Blue Campaigns,503,5,no,yes,Live,no,0.9,0.5,B/C°,R +1.2,80%,20%,6.7,5.8,1.1,0.9,0.2,0.5,5,R +5.5,R +1.2,R +6.8,26,0
"Normington, Petts & Associates",232,10,no,yes,Live,no,0.8,0.5,B/C°,D +0.6,60%,40%,6.4,6.2,0.4,0.8,0.2,0.5,10,D +2.7,D +0.6,D +4.5,3,0.12
NPR,222,3,no,yes,Live,no,0.9,0.5,B/C°,D +0.1,17%,33%,5,4.7,0.5,0.9,0.1,0.5,3,D +1.0,D +0.1,D +1.0,2,0.63
PSI,248,3,no,yes*,Live*,no,1.9,0.5,B/C°,R +0.0,67%,67%,12.5,7.8,4.9,1.9,0.1,0.5,1,R +3.3,R +0.0,R +4.0,2,0.76
MarketAide Services Inc.,191,1,no,yes*,Live*,no,6.1,0.5,B/C°,D +0.2,100%,100%,11.2,6.6,4.8,6.1,0.1,0.5,1,D +11.2,D +0.2,D +9.5,,0
Opinion Savvy/InsiderAdvantage,243,118,yes,no,IVR/Online,no,0.4,0.6,B-,D +1.2,70%,42%,7.4,7,0.5,0.4,0.3,0.6,42,D +1.8,D +1.2,D +0.5,5.8,0
Talmey-Drake Research & Strategy Inc.,329,9,no,yes,Live,no,1.3,0.6,B/C°,R +0.2,50%,44%,7.7,5.9,2,1.3,0.2,0.6,9,R +1.8,R +0.2,D +2.7,6.7,0
Ron Lester and Associates,293,1,no,yes*,Live*,no,3.3,0.6,B/C°,,100%,100%,18.9,7.8,11.3,3.3,0.1,0.6,0,,,,1.8,1.34
Wilson Research Strategies,384,10,no,yes,Live,no,1,0.6,B/C°,R +0.1,65%,40%,6.9,6.1,1,1,0.2,0.6,9,R +0.5,R +0.1,R +2.8,5.4,0.06
Forman Center,100,2,no,yes*,Live*,no,4.9,0.6,B/C°,D +0.3,100%,50%,11.1,5.9,5.3,4.9,0.1,0.6,2,D +11.1,D +0.3,D +17.1,21,0
Minnesota State University Moorhead,211,4,no,yes*,Live*,no,2,0.6,B/C°,D +0.3,100%,75%,9.3,5.6,3.8,2,0.1,0.6,3,D +5.9,D +0.3,,,0
JMC Analytics,156,10,no,partial,IVR/Live,no,-0.3,0.6,B/C°,R +1.2,85%,20%,5.7,5.3,0.6,-0.3,-0.1,0.6,8,R +4.9,R +1.2,R +1.3,4.9,0.11
Blumenthal Research Daily,447,1,no,yes,Live,yes,-0.4,0.6,F,R +0.2,100%,0%,4.3,5.5,-1.1,-0.4,0,0.6,1,R +4.3,R +0.2,R +5.3,1,3.17
Opinion Consultants,241,2,no,yes*,Live*,no,1.4,0.6,B/C°,R +0.3,100%,50%,6.5,5.1,1.5,1.4,0.1,0.6,2,R +6.5,R +0.3,R +5.4,2.2,1.79
Bannon Communications,21,2,no,yes*,Live*,no,3.9,0.6,B/C°,D +0.4,100%,50%,10.4,6.4,4.1,3.9,0.1,0.6,2,D +10.4,D +0.4,D +8.3,21,0
Tulchin Research,340,3,no,partial,Online/Live,no,-2.5,0.6,B/C°,R +0.1,67%,0%,3.8,5.5,-1.6,-2.5,-0.3,0.6,3,R +0.8,R +0.1,D +5.4,2.9,0.55
McCulloch Research & Polling,201,4,no,yes*,Live*,no,2.1,0.6,B/C°,R +0.4,75%,50%,7,4.6,2.7,2.1,0.2,0.6,4,R +5.5,R +0.4,R +3.7,5.1,0
Howey Politics/DePauw University,142,7,no,yes,Live,no,1.2,0.6,B/C°,D +0.1,57%,29%,6.8,5.7,1.3,1.2,0.2,0.6,6,D +0.6,D +0.1,D +1.3,6.1,0
Hoffman Research Group,141,2,no,yes,Live,no,-0.2,0.6,B/C°,R +0.5,100%,0%,5.2,5.1,0.3,-0.2,0,0.6,2,R +5.2,R +0.5,R +1.3,2.1,2.19
Glover Park Group,120,1,no,yes,Live,no,4.4,0.6,B/C°,R +0.4,0%,100%,11.4,6.7,4.8,4.4,0.2,0.6,1,R +11.4,R +0.4,R +8.0,,0
Anderson Group,12,1,no,yes*,Live*,no,7.9,0.6,B/C°,R +0.2,0%,100%,10.9,4.4,6.7,7.9,0.1,0.6,1,R +10.9,R +0.2,R +5.0,5,0
Glengariff Group Inc.,117,9,no,yes,Live,no,0.8,0.6,B/C°,D +0.3,78%,33%,5.1,5.8,-0.4,0.8,0.2,0.6,8,D +1.3,D +0.3,D +3.0,4.8,0.22
Wiese Research Associates Inc.,382,6,no,yes,Live,no,1.3,0.6,B/C°,D +1.0,100%,50%,8.2,6.5,1.8,1.3,0.2,0.6,6,D +5.9,D +1.0,D +4.1,,0
SMS Research & Marketing Services Inc.,296,1,no,yes*,Live*,no,4.6,0.6,B/C°,R +0.2,0%,100%,9.8,5.1,4.8,4.6,0.1,0.6,1,R +9.8,R +0.2,R +0.3,0.3,3.23
Baselice & Associates,23,2,no,yes,Live,no,4.4,0.6,B/C°,R +0.1,100%,50%,10,5.9,4.3,4.4,0.2,0.6,2,R +3.0,R +0.1,,4,0.23
Clarity Campaign Labs,52,11,no,partial,IVR/Live,no,-0.5,0.6,B/C°,D +1.2,50%,18%,3.7,4.4,-0.5,-0.5,-0.2,0.6,11,D +3.7,D +1.2,D +0.8,2.7,0.39
Lauer Johnson Research,167,1,no,yes,Live,no,7.2,0.6,B/C°,D +0.3,0%,100%,13.8,6.4,7.6,7.2,0.2,0.6,1,D +13.8,D +0.3,D +17.0,,0
Neighbor,226,1,no,yes*,Live*,no,12.5,0.6,B/C°,R +0.2,100%,100%,17.1,6.4,10.9,12.5,0.2,0.6,1,R +17.1,R +0.2,R +14.0,13,0
SocialSphere,307,2,no,yes,Live,no,2.5,0.6,B/C°,R +0.5,100%,0%,6.1,5.6,0.7,2.5,0.2,0.6,2,R +6.1,R +0.5,R +6.4,6.8,0
Florida Poll,99,6,no,yes,Live,no,1.3,0.6,B/C°,D +0.4,67%,0%,4.6,5,-0.2,1.3,0.1,0.6,6,D +3.3,D +0.4,D +1.6,3.6,0.62
Gonzales Research & Marketing Strategies Inc.,121,9,no,yes,Live,no,1.1,0.6,B/C°,R +0.4,78%,33%,6.4,6.1,0.5,1.1,0.2,0.6,8,R +2.1,R +0.4,R +1.4,3,0.23
Cherry Communications,49,3,no,yes,Live,no,2,0.6,B/C°,R +0.5,50%,33%,8.8,6.8,2.2,2,0.2,0.6,2,R +5.9,R +0.5,R +5.4,12,0
Lycoming College,176,3,no,yes*,Live*,no,1.7,0.6,B/C°,D +0.6,67%,33%,7.3,6.2,1.3,1.7,0.1,0.6,3,D +7.3,D +0.6,D +6.3,5,1.11
OpinionWorks,244,6,no,yes,Live,no,1.5,0.6,B/C°,R +0.5,92%,50%,7.3,5.1,2.4,1.5,0.3,0.6,6,R +3.0,R +0.5,D +3.7,9.5,0
Data West Polling,74,2,no,yes*,Live*,no,6,0.6,B/C°,D +0.4,50%,100%,13.1,6.8,6.5,6,0.2,0.6,2,D +13.1,D +0.4,D +7.5,,0
PSB Research,250,18,yes,no,Online,no,0.8,0.6,B/C°,D +2.4,67%,39%,7.6,6.4,1.4,0.8,0.3,0.6,18,D +6.7,D +2.4,D +0.4,1,0.15
Douglas Fulmer & Associates,82,2,no,partial,IVR/Live,no,-2.7,0.6,B/C°,,100%,50%,5.1,8,-2.8,-2.7,-0.2,0.6,0,,,,9.1,0
