current_name,states,original_name,current_agency,action,date,year,pres_or_congress,acres_affected
Bering Land Bridge National Preserve,Alaska,Bering Land Bridge National Monument,NPS,Established,12/1/78,1978,J. Carter,"2,590,000"
Bering Land Bridge National Preserve,Alaska,Bering Land Bridge National Monument,NPS,Redesignated National Preserve,12/2/80,1980,96th Congress,
Cape Krusenstern National Monument,Alaska,,NPS,Established,12/1/78,1978,J. Carter,"560,000"
Denali National Park,Alaska,Denali National Park and Preserve,NPS,Established,12/1/78,1978,J. Carter,"3,890,000"
Denali National Park,Alaska,Denali National Park and Preserve,NPS,Redesignated NP,12/2/80,1980,96th Congress,
Gates of the Arctic National Park and Preserve,Alaska,Gates of the Arctic National Monument,NPS,Established,12/1/78,1978,J. Carter,"8,220,000"
Gates of the Arctic National Park and Preserve,Alaska,Gates of the Arctic National Monument,NPS,Redesignated NP&P,12/2/80,1980,96th Congress,
Kenai Fjords National Park,Alaska,Kenai Fjords National Monument,NPS,Established,12/1/78,1978,J. Carter,"570,000"
Kenai Fjords National Park,Alaska,Kenai Fjords National Monument,NPS,Redesignated NP,12/2/80,1980,96th Congress,
Kobuk Valley National Park,Alaska,Kobuk Valley National Monument,NPS,Established,12/1/78,1978,J. Carter,"1,710,000"
Kobuk Valley National Park,Alaska,Kobuk Valley National Monument,NPS,Redesignated NP,12/2/80,1980,96th Congress,
Lake Clark National Park and Preserve,Alaska,Lake Clark National Monument,NPS,Established,12/1/78,1978,J. Carter,"2,500,000"
Lake Clark National Park and Preserve,Alaska,Lake Clark National Monument,NPS,Redesignated National Park & Preserve,12/2/80,1980,96th Congress,
Part of Tongass National Forest,Alaska,Misty Fjords National Monument,USFS,Established,12/1/78,1978,J. Carter,"2,285,000"
Part of Tongass National Forest,Alaska,Misty Fjords National Monument,USFS,Redesignated within Tongass National Forest,12/2/80,1980,,
Noatak National Preserve,Alaska,Noatak National Monument,NPS,Established,12/1/78,1978,J. Carter,"5,880,000"
Noatak National Preserve,Alaska,Noatak National Monument,NPS,Redesignated Preserve,12/2/80,1980,96th Congress,
Wrangall-St. Elias National Park and Preserve,Alaska,Wrangall-St. Elias National Monument,NPS,Established,12/1/78,1978,J. Carter,"10,950,000"
Wrangall-St. Elias National Park and Preserve,Alaska,Wrangall-St. Elias National Monument,NPS,Redesignated NP&P,12/2/80,1980,96th Congress,
Yukon-Charley Rivers National Preserve,Alaska,Yukon-Charley Rivers National Monument,NPS,Established,12/1/78,1978,J. Carter,"1,720,000"
Yukon-Charley Rivers National Preserve,Alaska,Yukon-Charley Rivers National Monument,NPS,Redesignated Preserve,12/2/80,1980,96th Congress,
Yukon Flats National Wildlife Refuge,Alaska,Yukon Flats National Monument,FWS,Established,12/1/78,1978,J. Carter,"10,600,000"
Yukon Flats National Wildlife Refuge,Alaska,Yukon Flats National Monument,FWS,Redesignated National Wildlife Refuge,12/2/80,1980,96th Congress,
Grand Staircase-Escalante National Monument,Utah,,BLM,Established,9/18/96,1996,W. Clinton,"1,700,000"
Agua Fria National Monument,Arizona,,BLM,Established,1/11/00,2000,W. Clinton,"71,100"
California Coastal National Monument,California,,BLM,Established (BLM),1/11/00,2000,W. Clinton,883
California Coastal National Monument,California,,BLM,Enlarged,3/11/14,2014,B. H. Obama,"1,665"
California Coastal National Monument,California,,BLM,Enlarged,1/12/17,2017,B. H. Obama,"6,230"
Grand Canyon-Parashant National Monument,Arizona,,BLM,Established,1/11/00,2000,W. Clinton,"1,014,000"
Part of Sequoia National Forest,California,Giant Sequoia National Monument,USFS,Established,4/15/00,2000,W. Clinton,"327,769"
Canyon of the Ancients National Monument,Colorado,,BLM,Established,6/9/00,2000,W. Clinton,"164,000"
Cascade-Siskiyou National Monument,Oregon,,BLM,Established (BLM),6/9/00,2000,W. Clinton,"52,000"
Cascade-Siskiyou National Monument,Oregon,,BLM,Enlarged,1/12/17,2017,B. H. Obama,"48,000"
Hanford Reach National Monument,Washington,,FWS,Established,6/9/00,2000,W. Clinton,"195,000"
Ironwood Forest National Monument,Arizona,,BLM,Established,6/9/00,2000,W. Clinton,"128,917"
President Lincoln and Soldier's Home National Monument,"Washington, DC",,NPS,Established,7/7/00,2000,W. Clinton,2.3
Vermillion Cliffs National Monument,Arizona,,BLM,Established,11/9/00,2000,W. Clinton,"293,000"
Carrizo Plain National Monument,California,,BLM,Established,1/17/01,2001,W. Clinton,"204,107"
Kasha-Katuwe Tent Rocks National Monument,New Mexico,,BLM,Established,1/17/01,2001,W. Clinton,"4,148"
Minidoka National Historic Site,Idaho,Minidoka Internment National Monument,NPS,Established,1/17/01,2001,W. Clinton,72.75
Minidoka National Historic Site,Idaho,Minidoka Internment National Monument,NPS,Redesignated NHS,5/8/08,2008,G.W. Bush,
Pompeys Pillar National Monument,Montana,,BLM,Established,1/17/01,2001,W. Clinton,51
Sonoran Desert National Monument,Arizona,,BLM,Established,1/17/01,2001,W. Clinton,"486,149"
Upper Missouri River Breaks National Monument,Montana,,BLM,Established,1/17/01,2001,W. Clinton,"377,346"
Virgin Islands Coral Reef National Monument,Virgin Islands,,NPS,Established,1/17/01,2001,W. Clinton,"12,708"
Governors Island National Monument,New York,,NPS,Established,1/19/01,2001,W. Clinton,20
Governors Island National Monument,New York,,NPS,Reaffirmed,1/31/03,2003,G. W. Bush,22
African Burial Ground National Monument,New York,,NPS,Established,2/27/06,2006,G. W. Bush,0.345
Papahānaumokuākea Marine National Monument,Hawaii,Northwestern Hawaiian Islands National Monument,"FWS, NOAA",Established (FWS and NOAA),6/15/06,2006,G. W. Bush,"140,000 sq. miles"
Papahānaumokuākea Marine National Monument,Hawaii,Northwestern Hawaiian Islands National Monument,"FWS, NOAA",Redesignated Papahānaumokuākea MNM,2/28/07,2007,G.W. Bush,
Papahānaumokuākea Marine National Monument,Hawaii,Northwestern Hawaiian Islands National Monument,"FWS, NOAA",Enlarged,8/26/16,2016,B.H. Obama,"442,781 sq. miles"
World War II Valor in the Pacific National Monument,Hawaii,,"NPS, FWS",Established,12/5/08,2008,G. W. Bush,"6,310 sq. miles"
Rose Atoll National Monument,American Samoa,,NOAA,Established,1/6/09,2009,G. W. Bush,"13,451 sq. miles"
Pacific Remote Islands National Monument,Hawaii,,"FWS, NOAA",Established,1/6/09,2009,G. W. Bush,"86,888 sq. miles"
Pacific Remote Islands National Monument,Hawaii,,"FWS, NOAA",Enlarged,9/25/14,2014,B. H. Obama,"408,301 sq. miles"
Mariana's Trench National Monument,"Northern Mariana Islands, Guam",,NOAA,Established,1/6/09,2009,G. W. Bush,"95,216 sq. miles"
Fort Monroe National Monument,Virginia,,NPS,Established,11/1/11,2011,B. H. Obama,325.21
Fort Ord National Monument,California,,BLM,Established,4/20/12,2012,B. H. Obama,"14,651"
Chimney Rock National Monument,Colorado,,USFS,Established,9/21/12,2012,B. H. Obama,"4,726"
Cesar E. Chavez National Monument,California,,NPS,Established,10/8/12,2012,B. H. Obama,10.5
San Juan Islands National Monument,Washington,,BLM,Established,3/25/13,2013,B. H. Obama,970
Rio Grande del Norte National Monument,New Mexico,,BLM,Established,3/25/13,2013,B. H. Obama,"242,555"
Harriet Tubman Underground Railroad National Historical Park,Maryland,,"NPS, FWS",Established (NPS and FWS),3/25/13,2013,B. H. Obama,"11,750"
Harriet Tubman Underground Railroad National Historical Park,Maryland,,"NPS, FWS",Partially redesignated NHP (NPS),12/19/14,2014,113th Congress,480
First State National Historical Park,Delaware,,NPS,Established,3/25/13,2013,B. H. Obama,"1,108"
First State National Historical Park,Delaware,,NPS,Redesignated NHP,12/19/14,2014,113th Congress,
Charles Young Buffalo Soldiers Monument,Ohio,,NPS,Established,3/25/13,2013,B. H. Obama,59.65
Organ Mountains-Desert Peaks National Monument,New Mexico,,BLM,Established,5/21/14,2014,B. H. Obama,"496,330"
San Gabriel Mountains National Monument,California,,USFS,Established,10/10/14,2014,B. H. Obama,"346,177"
Honouliuli National Monument,Hawaii,,NPS,Established,2/14/15,2015,B. H. Obama,123
Pullman National Monument,Illinois,,NPS,Established,2/19/15,2015,B. H. Obama,0.2397
Browns Canyon National Monument,New Mexico,,"BLM, USFS",Established,2/19/15,2015,B. H. Obama,"21,586"
Berryessa Snow Mountain National Monument,California,,USFS,Established,7/10/15,2015,B. H. Obama,"330,780"
Waco Mammoth National Monument,Texas,,NPS,Established,7/10/15,2015,B. H. Obama,7.11
Basin and Range National Monument,Nevada,,BLM,Established,7/10/15,2015,B. H. Obama,"704,000"
Mojave Trails National Monument,California,,BLM,Established,2/12/16,2016,B. H. Obama,"1,600,000"
Sand to Snow National Monument,California,,USFS,Established,2/12/16,2016,B. H. Obama,"154,000"
Castle Mountains National Monument,California,,NPS,Established,2/12/16,2016,B. H. Obama,"20,920"
Belmont-Paul Women's Equality National Monument,"Washington, DC",,NPS,Established,4/12/16,2016,B. H. Obama,0.34
Stonewall National Monument,New York,,NPS,Established,6/24/16,2016,B. H. Obama,0.12
Katahdin Woods and Waters National Monument,Maine,,NPS,Established,8/24/16,2016,B. H. Obama,"87,563"
Northeast Canyons and Seamounts Marine National Monument,Massachusetts,,"NOAA, FWS",Established,9/15/16,2016,B.H. Obama,"4,913 square miles"
Bears Ears National Monument,Utah,,"BLM, USFS",Established,12/28/16,2016,B. H. Obama,"1,350,000"
Gold Butte National Monument,Nevada,,BLM,Established,12/28/16,2016,B. H. Obama,"300,000"
Birmingham Civil Rights National Monument,Alabama,,NPS,Established,1/12/17,2017,B. H. Obama,0.88
Freedom Riders National Monument,Alabama,,NPS,Established,1/12/17,2017,B. H. Obama,5.96
Reconstruction Era National Monument,South Carolina,,NPS,Established,1/12/17,2017,B. H. Obama,15.56
