Performer,Show,Show Start,Show End,Status?,CharEnd,Years Since,#LEAD,#SUPPORT,#Shows,Score,Score/Y,lead_notes,support_notes,show_notes
Kyle Chandler,Friday Night Lights,2006,2011,END,2011,4,1,6,1,3.5,0.875,"Super 8, 2011","Argo, 2012; Zero Dark Thirty, 2012; Broken City, 2013; The Spectacular Now, 2013; Morning, 2013; The Wolf of Wall Street, 2013","Bloodline, Season 1"
Zach Gilford,Friday Night Lights,2006,2011,END,2011,4,3,3,1,4.75,1.1875,"Answers to Nothing, 2011; In our Nature, 2013; Crazy Kind of Love, 2013","The Last Stand, 2013; Devil's Due, 2014; The Purge: Anarchy, 2014","Off The Map, Season 1"
Derek Phillips,Friday Night Lights,2006,2011,END,2011,4,0,1,1,1.25,0.3125,,"42, 2013","The Event, Season 1"
Stacey Oristano,Friday Night Lights,2006,2011,END,2011,4,0,0,1,1,0.25,,,"Bunheads, Season 1"
Douglas Smith,Big Love,2006,2011,End,2011,4,2,3,0,2.75,0.6875,"Percy Jackson: Sea of Monsters, 2013; Treading Water, 2015","Antiviral, 2013; Stage Fright, 2014; Ouija, 2014",
Grace Zabriskie,Big Love,2006,2011,End,2011,4,0,2,0,0.5,0.125,,"Wring Cops, 2013; The Judge, 2014",
Keegan Holst,Big Love,2006,2011,End,2011,4,0,0,0,0,0,,,
Garrett Gray,Big Love,2006,2011,End,2011,4,0,0,0,0,0,,,
Amanda Seyfried,Big Love,2006,2011,End,2011,4,8,3,0,8.75,2.1875,"Red Riding Hood, 2011; In Time, 2011; Gine, 2012; Les Miserables, 2012; The Big Wedding, 2013; Epic, 2013; Lovelace, 2013; A Million Ways To Die In The West, 2014","The End of Love, 2013; Veronica Mars, 2014; While We're Young, 2015",
Mary Kay Place,Big Love,2006,2011,End,2011,4,0,4,0,1,0.25,,"Smashed, 2012; Leonie, 2013; Bad Milo, 2013; Miss Meadows, 2014",
Daveigh Chase,Big Love,2006,2011,End,2011,4,0,0,0,0,0,,,
Bruce Dern,Big Love,2006,2011,End,2011,4,1,5,0,2.25,0.5625,"Nebraska, 2013","Inside Out, 2011; The Hole 3D, 2012; Django Unchained, 2012; Kokuriko-zaka Kara, 2013; Cut Bank, 2015",
Brad Leland,Friday Night Lights,2006,2011,END,2011,4,0,0,0,0,0,,,
Taylor Kitsch,Friday Night Lights,2006,2011,END,2011,4,5,1,0,5.25,1.3125,"The Bang Bang Club, 2011; John Carter, 2012; Battleship, 2012; Savages, 2012; The Grand Seduction, 2014","Lone Survivor, 2014",
Blue Deckert,Friday Night Lights,2006,2011,END,2011,4,0,0,0,0,0,,,
Timothy F. Crowley,Friday Night Lights,2006,2011,END,2011,4,0,0,0,0,0,,,
Siobhan Finneran,Downton Abbey,2010,PRESENT,LEFT,2012,3,0,0,8,8,2.666666667,,,"The Syndicate, Season 2; Happy Valley, Season 1; Benidorm, Season 1-6"
Jennifer Morrison,House,2004,2012,END,2012,3,2,1,5,7.25,2.416666667,"Knife Fight, 2013; Some Girl(s), 2013","Warrior, 2011","How I Met Your Mother, Season 6; Once Upon A Time, Season 1-4"
Robert Sean Leonard,House,2004,2012,END,2012,3,0,0,3,3,1,,,"Falling Skies, Season 3"
Jesse Spencer,House,2004,2012,END,2012,3,1,0,3,4,1.333333333,"The Girl is in Trouble, 2015",,"Chicago Fire, Season 1-3"
Omar Epps,House,2004,2012,END,2012,3,0,0,2,2,0.666666667,,,"Resurrection, Season 1-2"
Eric Dane,Grey's Anatomy,2005,PRESENT,LEFT,2012,3,0,0,1,1,0.333333333,,,"The Last Ship, Season 1"
David Harewood,Homeland,2011,PRESENT,LEFT,2012,3,0,0,1,1,0.333333333,,,"Selfie, Season 1"
Hugh Laurie,House,2004,2012,END,2012,3,2,0,0,2,0.666666667,"The Oranges, 2012; Mr. Pip, 2014",,
Bobbin Bergstrom,House,2004,2012,END,2012,3,0,0,0,0,0,,,
Peter Jacobson,House,2004,2012,END,2012,3,0,1,0,0.25,0.083333333,,"White House Down, 2013",
Glenn Close,Damages,2007,2012,END,2012,3,0,3,0,0.75,0.25,,"Guardians of the Galaxy, 2014; Low Down, 2014; 5 to 7, 2015",
Rose Byrne,Damages,2007,2012,END,2012,3,5,3,0,5.75,1.916666667,"I Give It A Year, 2013; Insidious Chapter 2, 2013; Neighbors, 2014; This is where I leave You, 2014; Adult Beginners, 2015","The Place Beyone the Pines, 2013; The Internship, 2013; Annie, 2014",
Zachary Booth,Damages,2007,2012,END,2012,3,1,3,0,1.75,0.583333333,"Keep the lights on, 2012","Dark Horse, 2012; Allegiance, 2012; Last Weekend, 2014",
Christina Robinson,Dexter,2006,2013,END,2012,3,0,0,0,0,0,,,
Dan Stevens,Downton Abbey,2010,PRESENT,LEFT,2012,3,3,4,0,4,1.333333333,"Summer in February, 2014; The Guest, 2014; Night at the Museum: Secret of the Tomb, 2014","Vamps, 2012; The Fifth Estate, 2013; A Walk Among the Tombstones, 2014; The Cobbler, 2015",
Bob Odenkirk,Breaking Bad,2008,2013,END,2013,2,1,3,3,4.75,2.375,"Dealin with Idiots, 2013","The Spectacular Now, 2013; Ass Backwards, 2013; Nebraska, 2013","Fargo, Season 1; The Birthday Boys, Season 1; Better Call Saul, Season 1"
Michelle Fairley,Game of Thrones,2011,PRESENT,LEFT,2013,2,0,2,3,3.5,1.75,,"Ironclad: Battle for Blood, 2014; Jack et la mecanique du coeur, 2014","Suits, Season 3; 24: Live Another Day, Season 1; Resurrection, Season 2"
David Zayas,Dexter,2006,2013,END,2013,2,0,2,2,2.5,1.25,,"Annie, 2014; Ride, 2015","Saint George, Season 1; Gotham, Season 1"
Dean Norris,Breaking Bad,2008,2013,END,2013,2,1,2,2,3.5,1.75,"Small Time, 2014","The Counselor, 2013; Men, Women and Children, 2014","Under The Dome, Season 1-2"
Betsy Brandt,Breaking Bad,2008,2013,END,2013,2,0,0,2,2,1,,,"The Michael J. Fox Show, Season 1; Masters of Sex, Season 2;"
Morena Baccarin,Homeland,2011,PRESENT,LEFT,2013,2,1,0,2,3,1.5,"Back in the Day, 2014",,"The Red Tent, Season 1; Gotham, Season 1"
Diego Klattenhoff,Homeland,2011,PRESENT,LEFT,2013,2,1,0,2,3,1.5,"Pacific Rim, 2013",,"The Blacklist, Season 1-2"
Marg Helgenberger,CSI: Crime Scene Investigations,2000,PRESENT,LEFT,2013,2,0,0,1,1,0.5,,,"Intelligence, Season 1"
James Remar,Dexter,2006,2013,END,2013,2,1,2,1,2.5,1.25,"Persecuted, 2014","Horns, 2014; Lap Dance, 2014","State of Affairs, Season 1;"
Anna Gunn,Breaking Bad,2008,2013,END,2013,2,0,0,1,1,0.5,,,"Gracepoint, Season 1"
Aaron Paul,Breaking Bad,2008,2013,END,2013,2,4,1,1,5.25,2.625,"Need for Speed, 2014; Decoding Annie Parker, 2014; Hellion, 2014; A Long Way Down, 2914",Exodus: Gods and Kings,"Bojack Horseman, Season 1"
Jack Huston,Boardwalk Empire,2010,2014,END,2013,2,1,3,1,2.75,1.375,"Two Jacks, 2013","Kill your darlings, 2013; American Hustle, 2013; The Longest Ride, 2015","The Great Fire, Season 1"
Michael C. Hall,Dexter,2006,2013,END,2013,2,1,0,0,1,0.5,"Cold in July, 2014","Kill Your Darlings, 2013",
Jennifer Carpenter,Dexter,2006,2013,END,2013,2,0,1,0,0.25,0.125,,"The Devil's Hand, 2014",
C.S. Lee,Dexter,2006,2013,END,2013,2,0,0,0,0,0,,,
Lauren Vélez,Dexter,2006,2013,END,2013,2,0,0,0,0,0,,,
Desmond Harrington,Dexter,2006,2013,END,2013,2,0,0,0,0,0,,,
Bryan Cranston,Breaking Bad,2008,2013,END,2013,2,2,1,0,2.25,1.125,"Cold Comes the Night, 2014; Trumbo, 2015","Godzilla, 2014",
RJ Mitte,Breaking Bad,2008,2013,END,2013,2,0,0,0,0,0,,,
Steven Michael Quezada,Breaking Bad,2008,2013,END,2013,2,0,0,0,0,0,,,
Michael Stuhlbarg,Boardwalk Empire,2010,2014,END,2013,2,0,2,0,0.5,0.25,,"Blue Jasmine, 2013; Cut Bank, 2015",
Anthony Laciura,Boardwalk Empire,2010,2014,END,2013,2,0,0,0,0,0,,,
Brady Noon,Boardwalk Empire,2010,2014,END,2013,2,0,0,0,0,0,,,
Connor Noon,Boardwalk Empire,2010,2014,END,2013,2,0,0,0,0,0,,,
Lucy Gallina,Boardwalk Empire,2010,2014,END,2013,2,0,0,0,0,0,,,
Josie Gallina,Boardwalk Empire,2010,2014,END,2013,2,0,0,0,0,0,,,
Declan McTigue,Boardwalk Empire,2010,2014,END,2013,2,0,0,0,0,0,,,
Rory McTigue,Boardwalk Empire,2010,2014,END,2013,2,0,0,0,0,0,,,
Jackson Pace,Homeland,2011,PRESENT,LEFT,2013,2,0,0,0,0,0,,,
Morgan Saylor,Homeland,2011,PRESENT,LEFT,2013,2,0,2,0,0.5,0.25,,"Jamie Marks is Dead, 2014; McFarland, USA, 2015",
Deborah Ann Woll,True Blood,2008,2014,END,2014,1,0,0,1,1,1,,,"Daredevil, Season 1"
Shea Whigham,Boardwalk Empire,2010,2014,END,2014,1,0,3,1,1.75,1.75,,"Non-Stop, 2014; Radio Free Albemuth, 2014; The Life and Mind of Mark DeFriest, 2015","Agent Carter, Season 1"
Paul Sparks,Boardwalk Empire,2010,2014,END,2014,1,0,1,1,1.25,1.25,,"Trust Me, 2014","House of Cards, Season 3"
Rory McCann,Game of Thrones,2011,PRESENT,LEFT,2014,1,0,0,1,1,1,,,"Banished, Season 1"
Tory Kittles,True Detective -10,2014,2014,END,2014,1,0,0,1,1,1,,,"Intruders, Season 1"
J.D. Evermore,True Detective -29,2014,2014,END,2014,1,0,0,1,1,1,,,"Rectify, Season 2"
Paul Guilfoyle,CSI: Crime Scene Investigations,2000,PRESENT,LEFT,2014,1,0,0,0,0,0,,,
Anna Paquin,True Blood,2008,2014,END,2014,1,0,1,0,0.25,0.25,,X-Men: Days of Future Past,
Stephen Moyer,True Blood,2008,2014,END,2014,1,0,1,0,0.25,0.25,,"Devil's Knot, 2014",
Sam Trammell,True Blood,2008,2014,END,2014,1,1,1,0,1.25,1.25,"The Privileged, 2014","The Fault in our Stars, 2014",
Ryan Kwanten,True Blood,2008,2014,END,2014,1,4,0,0,4,4,"Knights of Badassdom, 2014; The Right Kind of Wrong, 2014; Reach Me, 2014; Kidnapping Mr. Heineken, 2015",,
Rutina Wesley,True Blood,2008,2014,END,2014,1,0,2,0,0.5,0.5,,"13 Sins, 2014; Last Weekend, 2014",
Chris Bauer,True Blood,2008,2014,END,2014,1,0,0,0,0,0,,,
Nelsan Ellis,True Blood,2008,2014,END,2014,1,0,1,0,0.25,0.25,,"Get on Up, 2014",
Carrie Preston,True Blood,2008,2014,END,2014,1,0,2,0,0.5,0.5,,"Beneath the Harvest Sky, 2014; 5 Flights up, 2015",
Alexander Skarsgård,True Blood,2008,2014,END,2014,1,0,0,0,0,0,,,
Kristin Bauer van Straten,True Blood,2008,2014,END,2014,1,0,0,0,0,0,,,
Todd Lowe,True Blood,2008,2014,END,2014,1,0,1,0,0.25,0.25,,"50 to 1, 2014",
Jim Parrack,True Blood,2008,2014,END,2014,1,0,2,0,0.5,0.5,,"A Night in Old Mexico, 2014; Child of God, 2014",
Lauren Bowles,True Blood,2008,2014,END,2014,1,0,0,0,0,0,,,
Joe Manganiello,True Blood,2008,2014,END,2014,1,1,0,0,1,1,"Sabotage, 2014",,
Steve Buscemi,Boardwalk Empire,2010,2014,END,2014,1,0,1,0,0.25,0.25,,"The Cobbler, 2014",
Stephen Graham,Boardwalk Empire,2010,2014,END,2014,1,0,1,0,0.25,0.25,,"Hyena, 2015",
Vincent Piazza,Boardwalk Empire,2010,2014,END,2014,1,1,1,0,1.25,1.25,"Jersey Boys, 2014","3 Nights In The Desert, 2015",
Kelly Macdonald,Boardwalk Empire,2010,2014,END,2014,1,0,0,0,0,0,,,
Michael Shannon,Boardwalk Empire,2010,2014,END,2014,1,1,0,0,1,1,"Young Ones, 2014",,
Michael Kenneth Williams,Boardwalk Empire,2010,2014,END,2014,1,0,4,0,1,1,,"Robocop, 2014; Kill the messenger, 2014; The Gambler, 2014; Inherent Vice, 2014",
Gretchen Mol,Boardwalk Empire,2010,2014,END,2014,1,0,2,0,0.5,0.5,,"Laggies, 2014; True Story, 2015",
Anatol Yusef,Boardwalk Empire,2010,2014,END,2014,1,0,0,0,0,0,,,
Jack Gleeson,Game of Thrones,2011,PRESENT,LEFT,2014,1,0,0,0,0,0,,,
Michael Gill,House of Cards,2013,PRESENT,LEFT,2014,1,0,0,0,0,0,,,
Matthew McConaughey,True Detective,2014,PRESENT,LEFT,2014,1,1,0,0,1,1,"Interstellar, 2014",,
Woody Harrelson,True Detective,2014,PRESENT,LEFT,2014,1,0,2,0,0.5,0.5,,"The Hunger Games: Mockingjay - Part 1, 2014; The Hunger Games: Mockingjay - Part 2, 2015",
Michelle Monaghan,True Detective,2014,PRESENT,LEFT,2014,1,4,0,0,4,4,"Better Living through Chemistry, 2014; Fort Bliss, 2014; The Best of Men, 2014; Playing it Cool, 2015",,
Michael Potts,True Detective,2014,PRESENT,LEFT,2014,1,0,0,0,0,0,,,
Dana Gourrier,True Detective,2014,PRESENT,LEFT,2014,1,0,0,0,0,0,,,
Michael Irby,True Detective,2014,PRESENT,LEFT,2014,1,0,0,0,0,0,,,
Joe Chrest,True Detective,2014,PRESENT,LEFT,2014,1,0,1,0,0.25,0.25,,"Black or White, 2015",
Dane Rhodes,True Detective,2014,PRESENT,LEFT,2014,1,0,1,0,0.25,0.25,,"When the Game Stands Tall, 2014",
Michael Hyatt,True Detective,2014,PRESENT,LEFT,2014,1,0,1,0,0.25,0.25,,"Nightcrawler, 2014",
Tony Molina Jr.,True Detective,2014,PRESENT,LEFT,2014,1,0,0,0,0,0,,,
Meghan Wolfe,True Detective,2014,PRESENT,LEFT,2014,1,0,0,0,0,0,,,
Kevin Dunn,True Detective,2014,PRESENT,LEFT,2014,1,0,1,2,2.25,2.25,,"Draft Day, 2014","Veep, Season 3-4"
Charles Dance,Game of Thrones,2011,PRESENT,LEFT,2015,0,0,2,1,1.5,#DIV/0!,,"Woman in Gold, 2015; Child 44, 2015","Deadline Gallipoli, Season 1"
Patrick Dempsey,Grey's Anatomy,2005,PRESENT,LEFT,2015,0,0,0,0,0,#DIV/0!,,,
Ian McElhinney,Game of Thrones,2011,PRESENT,LEFT,2015,0,0,0,0,0,#DIV/0!,,,
