RespondentID,Do you typically check a daily weather report?,How do you typically check the weather?,A specific website or app (please provide the answer),"If you had a smartwatch (like the soon to be released Apple Watch), how likely or unlikely would you be to check the weather on that device?",Age,What is your gender?,How much total combined money did all members of your HOUSEHOLD earn last year?,US Region
3878487715,Yes,Newspaper,-,Somewhat likely,60+,Female,Prefer not to answer,Pacific
3878487142,No,Internet search,-,Very unlikely,60+,Female,"$100,000 to $124,999",West North Central
3878483534,No,Internet search,-,Somewhat likely,60+,Male,Prefer not to answer,Pacific
3878479362,Yes,The Weather Channel,-,Very likely,30 - 44,Female,"$50,000 to $74,999",Pacific
3878466821,Yes,A specific website or app (please provide the answer),weather.com,Very likely,60+,Female,Prefer not to answer,Pacific
3878465693,Yes,The default weather app on your phone,-,Very likely,30 - 44,Female,Prefer not to answer,Mountain
3878464503,Yes,Newspaper,-,Very unlikely,60+,Female,"$150,000 to $174,999",Pacific
3878462883,No,Local TV News,-,Somewhat likely,30 - 44,Male,Prefer not to answer,Pacific
3878450038,Yes,Local TV News,-,Very unlikely,60+,Male,Prefer not to answer,West South Central
3878449625,No,Local TV News,-,Very unlikely,30 - 44,Female,"$10,000 to $24,999",Pacific
3878445660,Yes,Local TV News,-,Very likely,45 - 59,Male,"$25,000 to $49,999",Pacific
3878443579,Yes,Internet search,-,Somewhat likely,45 - 59,Male,"$100,000 to $124,999",Pacific
3878436241,No,Internet search,-,Somewhat unlikely,60+,Female,"$125,000 to $149,999",Pacific
3878436018,Yes,Internet search,-,Very likely,18 - 29,Male,"$25,000 to $49,999",Pacific
3878432043,Yes,The default weather app on your phone,-,Somewhat likely,30 - 44,Female,"$10,000 to $24,999",South Atlantic
3878431247,Yes,The Weather Channel,-,Very likely,60+,Female,"$25,000 to $49,999",Pacific
3878426886,Yes,The Weather Channel,-,Somewhat unlikely,30 - 44,Female,"$100,000 to $124,999",West South Central
3878426515,Yes,Local TV News,-,Very unlikely,60+,Male,"$50,000 to $74,999",New England
3878425988,No,Internet search,-,Somewhat unlikely,60+,Female,Prefer not to answer,Pacific
3878424879,Yes,Local TV News,-,Very unlikely,60+,Male,"$10,000 to $24,999",Mountain
3878417014,Yes,Internet search,-,Very likely,60+,Female,"$75,000 to $99,999",East North Central
3878413474,Yes,Internet search,-,Very likely,30 - 44,Female,Prefer not to answer,South Atlantic
3878409427,No,The default weather app on your phone,-,Very likely,30 - 44,Female,"$25,000 to $49,999",South Atlantic
3878405540,No,Internet search,-,Somewhat unlikely,60+,Male,"$50,000 to $74,999",South Atlantic
3878404884,Yes,The Weather Channel,-,Very likely,60+,Male,"$10,000 to $24,999",Middle Atlantic
3878404363,No,The default weather app on your phone,-,Very likely,60+,Female,"$175,000 to $199,999",South Atlantic
3878404022,Yes,The default weather app on your phone,-,Very likely,30 - 44,Female,"$150,000 to $174,999",Middle Atlantic
3878401700,Yes,Local TV News,-,Somewhat likely,60+,Female,"$25,000 to $49,999",West North Central
3878398785,Yes,The default weather app on your phone,-,Somewhat likely,30 - 44,Female,"$100,000 to $124,999",South Atlantic
3878396691,Yes,Local TV News,-,Very unlikely,30 - 44,Male,"$75,000 to $99,999",West North Central
3878392986,No,Newspaper,-,Very likely,60+,Female,"$10,000 to $24,999",Middle Atlantic
3878388646,Yes,A specific website or app (please provide the answer),weatherunderground,Very likely,60+,Female,"$10,000 to $24,999",Pacific
3878386420,No,The Weather Channel,-,Very unlikely,18 - 29,Male,"$0 to $9,999",Pacific
3878381396,Yes,A specific website or app (please provide the answer),wunderground.com,Very unlikely,60+,Male,"$50,000 to $74,999",Pacific
3878370379,Yes,The default weather app on your phone,-,Somewhat likely,18 - 29,Male,"$125,000 to $149,999",South Atlantic
3878365414,Yes,Local TV News,-,Very unlikely,60+,Male,"$50,000 to $74,999",West South Central
3878359420,No,Internet search,-,Somewhat unlikely,45 - 59,Male,"$50,000 to $74,999",South Atlantic
3878352834,Yes,The default weather app on your phone,-,Very unlikely,45 - 59,Male,"$75,000 to $99,999",Pacific
3878349775,Yes,Local TV News,-,Very unlikely,60+,Male,"$75,000 to $99,999",Pacific
3878349239,Yes,The Weather Channel,-,Very likely,60+,Male,Prefer not to answer,South Atlantic
3878348366,No,Radio weather,-,Very unlikely,60+,Female,Prefer not to answer,Middle Atlantic
3878348238,Yes,Internet search,-,Very likely,45 - 59,Male,"$100,000 to $124,999",South Atlantic
3878345997,Yes,The default weather app on your phone,-,Very likely,60+,Male,"$100,000 to $124,999",South Atlantic
3878345589,Yes,The default weather app on your phone,-,Very likely,60+,Male,"$50,000 to $74,999",Middle Atlantic
3878340200,No,Local TV News,-,Very likely,45 - 59,Male,"$100,000 to $124,999",East North Central
3878340018,Yes,A specific website or app (please provide the answer),Weather channel app,Very likely,30 - 44,Female,"$75,000 to $99,999",Middle Atlantic
3878339582,No,The Weather Channel,-,Somewhat unlikely,60+,Male,"$125,000 to $149,999",Mountain
3878339411,Yes,A specific website or app (please provide the answer),weather.com,Very likely,60+,Female,"$100,000 to $124,999",Pacific
3878337550,Yes,A specific website or app (please provide the answer),intellicast,Very unlikely,60+,Male,"$100,000 to $124,999",East North Central
3878336326,No,Internet search,-,Very likely,30 - 44,Female,Prefer not to answer,Pacific
3878335390,No,The default weather app on your phone,-,Somewhat likely,60+,Female,Prefer not to answer,Pacific
3878332804,Yes,The default weather app on your phone,-,Somewhat likely,30 - 44,Female,"$25,000 to $49,999",East North Central
3878331425,Yes,A specific website or app (please provide the answer),Weather Risk,Somewhat likely,45 - 59,Male,"$50,000 to $74,999",South Atlantic
3878324728,No,Internet search,-,Very unlikely,18 - 29,Male,"$175,000 to $199,999",West South Central
3878324500,Yes,Internet search,-,Somewhat likely,60+,Female,Prefer not to answer,Middle Atlantic
3878319761,Yes,A specific website or app (please provide the answer),local newspaper online  Weather Bug  NOAH,Somewhat likely,60+,Female,"$150,000 to $174,999",South Atlantic
3878319271,Yes,Internet search,-,Somewhat likely,60+,Female,"$25,000 to $49,999",East North Central
3878317738,Yes,Local TV News,-,Very unlikely,60+,Male,"$50,000 to $74,999",Pacific
3878317474,No,The Weather Channel,-,Somewhat likely,60+,Male,"$100,000 to $124,999",Pacific
3878317326,Yes,Local TV News,-,Very unlikely,30 - 44,Female,"$50,000 to $74,999",West South Central
3878316445,No,The Weather Channel,-,Very unlikely,60+,Female,Prefer not to answer,Mountain
3878315845,Yes,Local TV News,-,Very likely,45 - 59,Female,"$50,000 to $74,999",Mountain
3878315601,Yes,A specific website or app (please provide the answer),AccuWeather or Weather Underground,Very likely,45 - 59,Female,Prefer not to answer,New England
3878313074,Yes,Radio weather,-,Somewhat unlikely,60+,Female,Prefer not to answer,South Atlantic
3878312380,Yes,The default weather app on your phone,-,Somewhat likely,60+,Male,"$10,000 to $24,999",East South Central
3878311826,No,Internet search,-,Very unlikely,60+,Male,"$25,000 to $49,999",-
3878311562,Yes,The default weather app on your phone,-,Very likely,30 - 44,Female,"$25,000 to $49,999",South Atlantic
3878310702,Yes,Radio weather,-,Somewhat likely,60+,Female,"$50,000 to $74,999",South Atlantic
3878310569,No,Newspaper,-,Very unlikely,60+,Female,"$200,000 and up",Pacific
3878309530,Yes,A specific website or app (please provide the answer),Weather Underground,Very likely,45 - 59,Male,"$25,000 to $49,999",South Atlantic
3878302658,No,Radio weather,-,Very likely,60+,Female,"$25,000 to $49,999",Pacific
3878296951,No,The Weather Channel,-,Somewhat likely,60+,Female,"$75,000 to $99,999",South Atlantic
3878296336,Yes,Local TV News,-,Somewhat unlikely,60+,Female,"$100,000 to $124,999",Middle Atlantic
3878295740,Yes,The default weather app on your phone,-,Very likely,60+,Female,"$50,000 to $74,999",East North Central
3878293399,Yes,The Weather Channel,-,Somewhat likely,30 - 44,Female,"$200,000 and up",East North Central
3878293163,Yes,The Weather Channel,-,Very unlikely,60+,Male,"$50,000 to $74,999",South Atlantic
3878291970,Yes,Local TV News,-,Somewhat likely,45 - 59,Female,Prefer not to answer,Mountain
3878286381,Yes,Newspaper,-,Somewhat unlikely,60+,Female,"$125,000 to $149,999",New England
3878284921,Yes,Local TV News,-,Very likely,30 - 44,Female,"$200,000 and up",New England
3878284808,Yes,Internet search,-,Very unlikely,45 - 59,Male,Prefer not to answer,Pacific
3878280708,Yes,Radio weather,-,Somewhat likely,60+,Female,"$25,000 to $49,999",East South Central
3878278676,Yes,The Weather Channel,-,Very likely,60+,Female,"$200,000 and up",South Atlantic
3878278488,Yes,Local TV News,-,Somewhat likely,60+,Male,"$200,000 and up",Middle Atlantic
3878278271,Yes,Internet search,-,Very unlikely,45 - 59,Male,Prefer not to answer,East South Central
3878277161,Yes,A specific website or app (please provide the answer),weather.com,Very likely,60+,Male,"$200,000 and up",New England
3878275261,Yes,Radio weather,-,Somewhat unlikely,45 - 59,Female,"$75,000 to $99,999",Middle Atlantic
3878274622,Yes,Internet search,-,Somewhat unlikely,45 - 59,Female,"$75,000 to $99,999",East South Central
3878270558,Yes,Local TV News,-,Somewhat unlikely,60+,Female,"$25,000 to $49,999",West South Central
3878270404,No,The default weather app on your phone,-,Very unlikely,30 - 44,Female,"$100,000 to $124,999",East North Central
3878269619,Yes,Newsletter,-,Somewhat likely,45 - 59,Female,"$175,000 to $199,999",South Atlantic
3878269540,Yes,The default weather app on your phone,-,Very unlikely,30 - 44,Female,Prefer not to answer,South Atlantic
3878268976,Yes,The Weather Channel,-,Very likely,30 - 44,Female,"$50,000 to $74,999",East North Central
3878267217,Yes,Local TV News,-,Very likely,45 - 59,Female,"$25,000 to $49,999",West South Central
3878263834,Yes,Internet search,-,Very likely,60+,Male,"$200,000 and up",Pacific
3878263694,Yes,The default weather app on your phone,-,Very unlikely,60+,Female,Prefer not to answer,East North Central
3878262512,Yes,A specific website or app (please provide the answer),"Weatherbug, Storm",Very likely,45 - 59,Male,"$75,000 to $99,999",East South Central
3878261302,No,A specific website or app (please provide the answer),look/feel the weather outside,Very unlikely,45 - 59,Female,"$150,000 to $174,999",East North Central
3878259660,Yes,The Weather Channel,-,Very likely,45 - 59,Female,"$50,000 to $74,999",Mountain
3878256328,Yes,Local TV News,-,Very likely,45 - 59,Female,"$0 to $9,999",East South Central
3878255469,Yes,A specific website or app (please provide the answer),accuweather,Somewhat likely,30 - 44,Female,"$25,000 to $49,999",East North Central
3878255097,No,The default weather app on your phone,-,Somewhat unlikely,45 - 59,Female,"$100,000 to $124,999",West North Central
3878253341,Yes,The default weather app on your phone,-,Somewhat likely,30 - 44,Female,"$50,000 to $74,999",Mountain
3878252826,Yes,A specific website or app (please provide the answer),apple-provided site,Somewhat likely,60+,Female,"$100,000 to $124,999",Pacific
3878251387,Yes,The Weather Channel,-,Very likely,30 - 44,Female,"$10,000 to $24,999",East South Central
3878251359,No,Local TV News,-,Very likely,45 - 59,Female,"$0 to $9,999",Pacific
3878249188,Yes,Local TV News,-,Very likely,30 - 44,Female,"$25,000 to $49,999",Pacific
3878248250,Yes,The default weather app on your phone,-,Very likely,30 - 44,Female,"$100,000 to $124,999",East North Central
3878247540,Yes,The default weather app on your phone,-,Very unlikely,30 - 44,Female,"$50,000 to $74,999",East North Central
3878244194,Yes,Local TV News,-,Very likely,45 - 59,Male,"$100,000 to $124,999",South Atlantic
3878243755,Yes,The default weather app on your phone,-,Very likely,30 - 44,Female,"$50,000 to $74,999",Middle Atlantic
3878242397,Yes,The default weather app on your phone,-,Very unlikely,60+,Female,"$25,000 to $49,999",West North Central
3878239927,Yes,Radio weather,-,Somewhat likely,60+,Male,"$50,000 to $74,999",Pacific
3878238124,No,Local TV News,-,Very likely,60+,Male,"$50,000 to $74,999",Mountain
3878228000,Yes,Internet search,-,Very likely,45 - 59,Female,"$25,000 to $49,999",East North Central
3878227923,Yes,The Weather Channel,-,Very likely,45 - 59,Male,"$100,000 to $124,999",South Atlantic
3878226107,Yes,Local TV News,-,Somewhat likely,45 - 59,Female,"$25,000 to $49,999",Pacific
3878225639,Yes,Local TV News,-,Very unlikely,60+,Female,"$150,000 to $174,999",East North Central
3878225361,Yes,Local TV News,-,Very likely,45 - 59,Female,"$100,000 to $124,999",East North Central
3878224262,Yes,The default weather app on your phone,-,Very unlikely,45 - 59,Female,Prefer not to answer,East North Central
3878223377,No,A specific website or app (please provide the answer),Weather channel app on my phone and ipad,Somewhat likely,45 - 59,Female,"$150,000 to $174,999",Pacific
3878219443,Yes,Local TV News,-,Very likely,60+,Female,"$125,000 to $149,999",Middle Atlantic
3878215557,Yes,Local TV News,-,Somewhat likely,45 - 59,Female,"$75,000 to $99,999",East North Central
3878215555,Yes,Local TV News,-,Very likely,45 - 59,Female,"$100,000 to $124,999",South Atlantic
3878209275,Yes,The Weather Channel,-,Very likely,45 - 59,Male,"$10,000 to $24,999",East North Central
3878209013,Yes,Internet search,-,Very likely,45 - 59,Male,"$50,000 to $74,999",Mountain
3878208724,No,Local TV News,-,Very unlikely,45 - 59,Female,"$50,000 to $74,999",South Atlantic
3878205297,Yes,Newspaper,-,Very likely,45 - 59,Female,"$75,000 to $99,999",South Atlantic
3878204973,Yes,Radio weather,-,Somewhat likely,30 - 44,Female,"$50,000 to $74,999",West South Central
3878204241,Yes,Local TV News,-,Very unlikely,30 - 44,Female,"$25,000 to $49,999",East North Central
3878201710,Yes,A specific website or app (please provide the answer),Numerous local weather apps,Very unlikely,60+,Female,"$10,000 to $24,999",Middle Atlantic
3878198621,Yes,Newspaper,-,Very unlikely,45 - 59,Female,"$25,000 to $49,999",Mountain
3878197524,Yes,Local TV News,-,Very likely,45 - 59,Female,"$25,000 to $49,999",West South Central
3878196162,No,Local TV News,-,Very unlikely,30 - 44,Female,"$25,000 to $49,999",West North Central
3878194430,Yes,A specific website or app (please provide the answer),The Weather Channel app on my phone,Somewhat likely,45 - 59,Female,"$100,000 to $124,999",West South Central
3878193774,Yes,The default weather app on your phone,-,Somewhat likely,30 - 44,Male,"$100,000 to $124,999",West North Central
3878193623,Yes,Local TV News,-,Very likely,45 - 59,Male,"$10,000 to $24,999",West South Central
3878192054,Yes,A specific website or app (please provide the answer),Accuweather,Somewhat likely,60+,Male,"$25,000 to $49,999",East North Central
3878190686,Yes,The default weather app on your phone,-,Very likely,45 - 59,Female,"$25,000 to $49,999",South Atlantic
3878190060,Yes,The default weather app on your phone,-,Somewhat likely,45 - 59,Female,"$100,000 to $124,999",New England
3878189246,Yes,A specific website or app (please provide the answer),Storm Team 4,Somewhat likely,60+,Male,"$200,000 and up",Middle Atlantic
3878187831,Yes,Local TV News,-,Very likely,60+,Female,-,West South Central
3878187206,No,The default weather app on your phone,-,Somewhat likely,45 - 59,Female,Prefer not to answer,New England
3878177832,Yes,The default weather app on your phone,-,Very likely,30 - 44,Male,"$50,000 to $74,999",West North Central
3878176797,Yes,-,-,-,-,-,-,-
3878176285,Yes,-,-,-,-,-,-,-
3878175971,Yes,The default weather app on your phone,-,Very likely,60+,Male,"$75,000 to $99,999",South Atlantic
3878171501,Yes,The Weather Channel,-,Very unlikely,30 - 44,Female,Prefer not to answer,Middle Atlantic
3878168802,Yes,Local TV News,-,Very likely,45 - 59,Female,"$75,000 to $99,999",Middle Atlantic
3878166803,Yes,Local TV News,-,Somewhat unlikely,45 - 59,Female,"$100,000 to $124,999",Middle Atlantic
3878166171,Yes,A specific website or app (please provide the answer),KCRA online,Very unlikely,45 - 59,Female,Prefer not to answer,Pacific
3878162896,Yes,A specific website or app (please provide the answer),yahoo weather,Very unlikely,30 - 44,Female,"$25,000 to $49,999",Pacific
3878162631,Yes,A specific website or app (please provide the answer),Accuweather,Very likely,30 - 44,Female,"$25,000 to $49,999",South Atlantic
3878162069,No,Internet search,-,Somewhat likely,18 - 29,Male,"$75,000 to $99,999",Pacific
3878160615,Yes,A specific website or app (please provide the answer),weatherbug on my phone,Somewhat likely,45 - 59,Female,"$200,000 and up",West North Central
3878160534,Yes,The Weather Channel,-,Very likely,45 - 59,Female,"$50,000 to $74,999",Middle Atlantic
3878159600,No,Local TV News,-,Very likely,60+,Female,"$10,000 to $24,999",West South Central
3878159123,Yes,The default weather app on your phone,-,Somewhat unlikely,30 - 44,Female,"$10,000 to $24,999",West South Central
3878158418,Yes,The default weather app on your phone,-,Very likely,45 - 59,Male,"$25,000 to $49,999",Pacific
3878156563,Yes,A specific website or app (please provide the answer),the weather channel app on my phone,Very likely,30 - 44,Female,"$10,000 to $24,999",Pacific
3878151947,No,A specific website or app (please provide the answer),Weather Channel.com,Very likely,60+,Male,Prefer not to answer,Mountain
3878147244,Yes,Internet search,-,Very likely,60+,Male,"$10,000 to $24,999",West North Central
3878146840,Yes,Internet search,-,Somewhat likely,18 - 29,Male,"$10,000 to $24,999",West South Central
3878144950,Yes,Internet search,-,Very unlikely,30 - 44,Female,Prefer not to answer,East South Central
3878139391,Yes,Newspaper,-,Somewhat unlikely,60+,Female,"$75,000 to $99,999",East North Central
3878137364,Yes,A specific website or app (please provide the answer),Accuweather,Somewhat likely,45 - 59,Male,"$200,000 and up",-
3878136673,Yes,A specific website or app (please provide the answer),Weather Channel app on phone,Somewhat likely,45 - 59,Male,"$150,000 to $174,999",Pacific
3878129801,Yes,Internet search,-,Very likely,45 - 59,Female,"$25,000 to $49,999",West South Central
3878123775,No,Internet search,-,Somewhat likely,60+,Female,"$25,000 to $49,999",Pacific
3878120046,Yes,The default weather app on your phone,-,Somewhat likely,30 - 44,Female,"$100,000 to $124,999",Pacific
3878118150,Yes,A specific website or app (please provide the answer), Weather underground ,Very likely,45 - 59,Male,"$200,000 and up",South Atlantic
3878117988,Yes,The Weather Channel,-,Very likely,45 - 59,Male,"$100,000 to $124,999",East North Central
3878115959,Yes,The Weather Channel,-,Somewhat unlikely,45 - 59,Female,"$200,000 and up",East North Central
3878114690,Yes,A specific website or app (please provide the answer),yahoo weather,Very likely,60+,Female,Prefer not to answer,Mountain
3878112779,Yes,The Weather Channel,-,Somewhat likely,60+,Male,"$150,000 to $174,999",South Atlantic
3878112712,Yes,A specific website or app (please provide the answer),IPhone,Very likely,45 - 59,Female,"$25,000 to $49,999",East North Central
3878111554,Yes,Local TV News,-,Very unlikely,60+,Male,"$200,000 and up",Pacific
3878109491,Yes,The default weather app on your phone,-,Very unlikely,18 - 29,Female,"$75,000 to $99,999",East North Central
3878108075,Yes,A specific website or app (please provide the answer),intellicast,Very likely,30 - 44,Male,"$100,000 to $124,999",South Atlantic
3878104623,Yes,The default weather app on your phone,-,Very likely,45 - 59,Female,"$25,000 to $49,999",Mountain
3878102392,No,Local TV News,-,Somewhat likely,45 - 59,Female,"$125,000 to $149,999",Pacific
3878099445,Yes,Local TV News,-,Somewhat likely,18 - 29,Female,"$10,000 to $24,999",West North Central
3878099081,No,The Weather Channel,-,Somewhat likely,18 - 29,Male,"$10,000 to $24,999",West North Central
3878098952,Yes,The Weather Channel,-,Very likely,18 - 29,Female,Prefer not to answer,East North Central
3878098258,Yes,A specific website or app (please provide the answer),Weather Channel app android,Very unlikely,45 - 59,Male,"$100,000 to $124,999",West South Central
3878096992,Yes,A specific website or app (please provide the answer),NOAA app,Somewhat likely,60+,Male,"$125,000 to $149,999",Middle Atlantic
3878096868,Yes,A specific website or app (please provide the answer),Via my iPhone builtin app,Very likely,60+,Male,"$25,000 to $49,999",Mountain
3878095559,Yes,The Weather Channel,-,Very unlikely,18 - 29,Female,"$25,000 to $49,999",Middle Atlantic
3878094553,No,Internet search,-,Very unlikely,18 - 29,Male,Prefer not to answer,-
3878093169,Yes,The Weather Channel,-,Somewhat unlikely,60+,Male,"$10,000 to $24,999",East South Central
3878093010,Yes,Internet search,-,Somewhat unlikely,45 - 59,Male,"$75,000 to $99,999",South Atlantic
3878089067,Yes,The default weather app on your phone,-,Somewhat likely,18 - 29,Female,"$10,000 to $24,999",Mountain
3878088243,Yes,The default weather app on your phone,-,Very unlikely,18 - 29,Female,"$10,000 to $24,999",East North Central
3878086902,Yes,The default weather app on your phone,-,Very likely,45 - 59,Male,"$75,000 to $99,999",Pacific
3878086392,No,Internet search,-,Somewhat likely,18 - 29,Female,Prefer not to answer,Pacific
3878085372,Yes,A specific website or app (please provide the answer),weatherforyou.com,Very unlikely,60+,Female,"$50,000 to $74,999",Mountain
3878084501,Yes,Local TV News,-,Somewhat likely,30 - 44,Female,"$10,000 to $24,999",Middle Atlantic
3878078991,Yes,Internet search,-,Very unlikely,30 - 44,Female,"$200,000 and up",Pacific
3878074226,Yes,Internet search,-,Somewhat likely,60+,Female,Prefer not to answer,South Atlantic
3878064767,Yes,Local TV News,-,Very unlikely,60+,Male,"$25,000 to $49,999",Pacific
3878064239,Yes,The Weather Channel,-,Very unlikely,60+,Female,"$125,000 to $149,999",New England
3878061795,Yes,Internet search,-,Very unlikely,60+,Male,"$25,000 to $49,999",Mountain
3878059916,Yes,The Weather Channel,-,Somewhat likely,45 - 59,Male,"$150,000 to $174,999",East North Central
3878059307,Yes,The default weather app on your phone,-,Very likely,60+,Female,"$100,000 to $124,999",East North Central
3878054163,Yes,The default weather app on your phone,-,Somewhat likely,60+,Female,"$200,000 and up",South Atlantic
3878053524,Yes,A specific website or app (please provide the answer),Weather Underground through HD Widgets,Somewhat likely,18 - 29,Female,"$75,000 to $99,999",East North Central
3878052764,Yes,A specific website or app (please provide the answer),Weather Bug,Very unlikely,45 - 59,Male,"$150,000 to $174,999",Pacific
3878052086,Yes,The default weather app on your phone,-,Very likely,30 - 44,Female,"$100,000 to $124,999",Pacific
3878048164,Yes,The Weather Channel,-,Somewhat likely,45 - 59,Female,"$50,000 to $74,999",Pacific
3878044812,Yes,Internet search,-,Very likely,18 - 29,Female,"$75,000 to $99,999",West North Central
3878044317,No,The default weather app on your phone,-,Very likely,45 - 59,Female,"$75,000 to $99,999",East North Central
3878043927,Yes,The Weather Channel,-,Very likely,45 - 59,Female,Prefer not to answer,Middle Atlantic
3878043272,No,The default weather app on your phone,-,Somewhat likely,18 - 29,Female,"$25,000 to $49,999",Mountain
3878042695,Yes,The default weather app on your phone,-,Very likely,18 - 29,Female,"$150,000 to $174,999",Middle Atlantic
3878041562,Yes,The Weather Channel,-,Very likely,45 - 59,Female,"$25,000 to $49,999",West South Central
3878040881,Yes,Newspaper,-,Very unlikely,45 - 59,Female,"$75,000 to $99,999",Middle Atlantic
3878040492,Yes,Local TV News,-,Somewhat likely,30 - 44,Female,Prefer not to answer,Pacific
3878040326,Yes,Local TV News,-,Somewhat likely,30 - 44,Female,"$50,000 to $74,999",East North Central
3878038987,Yes,The Weather Channel,-,Very likely,45 - 59,Female,"$75,000 to $99,999",Mountain
3878037165,Yes,A specific website or app (please provide the answer),weather app,Very likely,30 - 44,Female,Prefer not to answer,West North Central
3878035259,Yes,Local TV News,-,Very likely,60+,Male,"$100,000 to $124,999",Pacific
3878035151,Yes,A specific website or app (please provide the answer),AccuWeather,Somewhat likely,30 - 44,Female,"$200,000 and up",East North Central
3878035092,Yes,Local TV News,-,Very likely,30 - 44,Female,"$25,000 to $49,999",South Atlantic
3878034412,Yes,Local TV News,-,Very unlikely,60+,Female,"$10,000 to $24,999",West North Central
3878033239,Yes,The default weather app on your phone,-,Very likely,18 - 29,Female,"$75,000 to $99,999",East North Central
3878032634,Yes,Internet search,-,Somewhat likely,18 - 29,Female,"$10,000 to $24,999",Mountain
3878032607,Yes,The default weather app on your phone,-,Very likely,60+,Female,"$75,000 to $99,999",Pacific
3878032087,Yes,Local TV News,-,Very likely,45 - 59,Female,"$75,000 to $99,999",Middle Atlantic
3878031030,Yes,A specific website or app (please provide the answer),iPhone app,Somewhat likely,30 - 44,Female,"$75,000 to $99,999",East North Central
3878023139,No,Local TV News,-,Very likely,18 - 29,Female,"$0 to $9,999",South Atlantic
3878020495,No,A specific website or app (please provide the answer),National Weather Service site,Very unlikely,45 - 59,Female,"$150,000 to $174,999",Middle Atlantic
3878020282,Yes,Newspaper,-,Very likely,60+,Female,"$100,000 to $124,999",New England
3878019960,Yes,Internet search,-,Very unlikely,30 - 44,Female,"$100,000 to $124,999",East North Central
3878019423,Yes,Local TV News,-,Very likely,60+,Female,"$200,000 and up",South Atlantic
3878018322,Yes,Newspaper,-,Somewhat likely,60+,Male,Prefer not to answer,East North Central
3878018310,Yes,The Weather Channel,-,Very likely,60+,Male,"$125,000 to $149,999",New England
3878016803,Yes,A specific website or app (please provide the answer),accuweather,Very likely,60+,Female,Prefer not to answer,Pacific
3878014756,Yes,Local TV News,-,Somewhat likely,45 - 59,Female,Prefer not to answer,East North Central
3878013956,Yes,A specific website or app (please provide the answer),Accuweather,Very likely,18 - 29,Female,Prefer not to answer,South Atlantic
3878012449,Yes,Local TV News,-,Somewhat likely,45 - 59,Male,"$50,000 to $74,999",Pacific
3878010983,Yes,Newspaper,-,Somewhat likely,45 - 59,Female,Prefer not to answer,Pacific
3878010950,Yes,Internet search,-,Somewhat unlikely,60+,Male,"$25,000 to $49,999",Pacific
3878010904,Yes,Local TV News,-,Very unlikely,60+,Female,Prefer not to answer,West South Central
3878010376,Yes,The default weather app on your phone,-,Very unlikely,30 - 44,Female,"$100,000 to $124,999",East North Central
3878009694,Yes,The Weather Channel,-,Very likely,60+,Male,"$25,000 to $49,999",Pacific
3878009691,Yes,Internet search,-,Very unlikely,30 - 44,Female,"$25,000 to $49,999",Pacific
3878009582,Yes,A specific website or app (please provide the answer),Weather channel,Very unlikely,45 - 59,Male,Prefer not to answer,Pacific
3878009488,Yes,Internet search,-,Very unlikely,60+,Female,"$0 to $9,999",Pacific
3878008863,Yes,Newspaper,-,Somewhat likely,60+,Male,Prefer not to answer,Mountain
3878007018,Yes,The default weather app on your phone,-,Very likely,60+,Male,"$200,000 and up",South Atlantic
3878005790,Yes,Internet search,-,Very likely,18 - 29,Female,"$10,000 to $24,999",Mountain
3878001706,Yes,The default weather app on your phone,-,Very likely,18 - 29,Female,"$100,000 to $124,999",East North Central
3877999985,No,Internet search,-,Very unlikely,45 - 59,Female,"$100,000 to $124,999",Pacific
3877998847,Yes,A specific website or app (please provide the answer),intellicast,Somewhat likely,60+,Male,Prefer not to answer,South Atlantic
3877998797,Yes,The Weather Channel,-,Very likely,18 - 29,Female,"$10,000 to $24,999",West South Central
3877997607,Yes,The Weather Channel,-,Very likely,18 - 29,Female,Prefer not to answer,East North Central
3877996677,No,Local TV News,-,Very unlikely,60+,Male,"$50,000 to $74,999",West South Central
3877995949,Yes,The Weather Channel,-,Somewhat unlikely,45 - 59,Female,"$75,000 to $99,999",Pacific
3877995873,Yes,The Weather Channel,-,Very likely,45 - 59,Male,"$50,000 to $74,999",East North Central
3877994295,No,The Weather Channel,-,Somewhat likely,18 - 29,Female,Prefer not to answer,South Atlantic
3877993115,No,Local TV News,-,Very unlikely,18 - 29,Female,"$10,000 to $24,999",South Atlantic
3877992847,Yes,The default weather app on your phone,-,Somewhat likely,45 - 59,Male,Prefer not to answer,Pacific
3877992331,Yes,The Weather Channel,-,Very unlikely,60+,Female,Prefer not to answer,West North Central
3877991281,Yes,The default weather app on your phone,-,Very likely,45 - 59,Female,"$25,000 to $49,999",West South Central
3877990551,Yes,Local TV News,-,Very likely,60+,Female,Prefer not to answer,New England
3877989849,Yes,The Weather Channel,-,Very likely,60+,Male,"$125,000 to $149,999",Mountain
3877989016,Yes,A specific website or app (please provide the answer),Weatherbug,Very unlikely,60+,Male,"$50,000 to $74,999",West South Central
3877986851,Yes,The default weather app on your phone,-,Very likely,45 - 59,Female,"$125,000 to $149,999",East North Central
3877984798,No,The default weather app on your phone,-,Very unlikely,18 - 29,Female,"$10,000 to $24,999",South Atlantic
3877983130,Yes,The default weather app on your phone,-,Somewhat likely,18 - 29,Female,"$25,000 to $49,999",West South Central
3877983122,Yes,The Weather Channel,-,Very likely,45 - 59,Male,"$175,000 to $199,999",West South Central
