Block,ForwardAsset,ForwardQuantity,BackwardAsset,BackwardQuantity
444164,ZEROWINGPEPE,4,XCP,4
444164,GODEMPEPE,3,XCP,6
444164,WANTEDPEPE,5,XCP,5
444169,SHITCOINCARD,1,XCP,1
444169,TRUMPRARE,1,XCP,3
444177,WANTEDPEPE,5,XCP,5
444210,PEPEMOON,1,XCP,0.3234
444214,PPLNMDNTNY,1,XCP,0.5
444214,HARRYPEPES,1,XCP,2.2
444217,PEPETACO,2,XCP,1
444217,PEPEZOMBIE,1,XCP,0.89
444221,GLDPEPE,4,XCP,1.2
444269,XCP,0.8,PEPERACCOON,1
444278,SLVPEPE,25,XCP,1
444278,PEPEGOLDRUSH,20,XCP,1
444278,PEPEGANDHI,2,XCP,1
444278,MTPEPEMORE,2,XCP,1
444278,PEPETRAIN,20,XCP,1
444278,PEPEZCASH,2000,XCP,1
444278,PEPETODAMOON,1,XCP,0.45
444298,PEPETRAIN,3,XCP,0.15
444298,RAREPEPEPRTY,10,XCP,4.9
444298,TESTNETPEPE,9999,XCP,0.09999
444298,SPESSMUHPEPE,3,XCP,0.03
444298,PEPESTRANGE,10,XCP,1
444298,SLVPEPE,5,XCP,0.2
444298,PARTYPEPE,7,XCP,0.35
444298,PEPEPARADO,100,XCP,0.001
444298,BITGIRLPEPE,4,XCP,1
444298,TESTNETPEPE,1000,XCP,0.01
444298,PEPEGOLDRUSH,2,XCP,0.1
444304,XCP,1,VOLDEPEPE,1
444322,PPLNMDNTNY,1,XCP,0.49999999
444325,PEPERARE,1,XCP,25
444327,MTPEPEMORE,8,XCP,4
444327,GLDPEPE,6,XCP,1.8
444327,GLDPEPE,40,XCP,8
444327,PEPA,1,XCP,1.6
444327,PEPEMARAUDER,1,XCP,1.92
444327,PEPEGREEN,15,XCP,6
444327,DANKPEPE,1,XCP,1
444327,BITCOINPEPE,10,XCP,20
444327,VOLDEPEPE,1,XCP,1.5
444327,STEALPEPE,3,XCP,1.4985
444327,TIMEPEPE,5,XCP,7.5
444327,STEALPEPE,7,XCP,3.1108
444328,PEPEPSI,2,XCP,3.72
444335,TRUMPEPE,2,XCP,6.30454
444337,FUNPEPE,1,XCP,1
444337,PEPELAND,10,XCP,12.5
444337,XMASANTAPEPE,1,XCP,2
444337,GLDPEPE,4,XCP,1.6
444339,PEPA,1,XCP,2
444339,PEPEKACHU,1,XCP,2.35
444339,PARTYPEPE,10,XCP,0.5
444339,CULTOFPEPE,8066,XCP,0.96792
444339,BEETLEPEPE,2,XCP,2
444339,PEPEARTISTE,1,XCP,0.5
444339,RETROPEPE,1,XCP,0.759899
444339,WEAREALLPEPE,1,XCP,1
444339,XOBLORTPEPE,1,XCP,2
444339,PEPETHEFIRST,1,XCP,2
444339,PEPEJAPAN,1,XCP,1
444339,RETROPEPE,1,XCP,0.7599
444339,SHREMPEPE,5,XCP,0.5
444339,PEPENORRIS,1,XCP,0.75
444344,PEPEANON,5,XCP,1
444354,XCP,0.335,GAINSPEPE,1
444354,XCP,0.97,GAINSPEPE,2
444354,RAREPEPENEWS,10,XCP,0.039
444374,GOSPELPEPE,2,XCP,0.5
444389,GOSPELPEPE,2,XCP,0.9
444395,GOSPELPEPE,8,XCP,4
444434,XCP,1,MTPEPEMORE,2
444434,PEPEARTISTE,1,XCP,0.5
444443,DANKPEPE,1,XCP,1
444443,BITCOINPEPE,5,XCP,12.5
444443,XMASANTAPEPE,1,XCP,3
444444,HELOPEPE,1,XCP,2
444444,GLDPEPE,16,XCP,6.4
444459,MURICAPEPE,1,XCP,1
444459,PPKING,2,XCP,0.59
444459,PEPOCALYPSE,2,XCP,1
444471,PEPEREPUBLIC,10000,XCP,0.0007
444481,PEPEREPUBLIC,1000000,PEPECASH,899.99999928
444487,XCP,0.375,DAPPERPEPE,3
444489,PEPEREPUBLIC,100000000,XCP,7
444489,PEPEREPUBLIC,1500000,XCP,0.105
444490,PEPETHESOG,1,XCP,5
444501,XCP,0.1,PEPEJOINTSPH,100
444501,XCP,0.1,PEPEDUCREUX,10
444501,XCP,0.2,GLDPEPE,5
444501,XCP,0.075,SLVPEPE,15
444501,XCP,0.18,PHEONIXPEPE,9
444501,XCP,0.05,PEPEANON,1
444501,XCP,0.016,PEPESHROOMS,2
444509,PEPEREPUBLIC,2285714,XCP,0.15999998
444537,PEPEREPUBLIC,14285715,XCP,1.00000005
444541,GLDPEPE,5,XCP,0.2
444551,XCP,1.2,PEPEHOUSE,2
444560,PEPEREPUBLIC,100000,PEPECASH,89.99999993
444566,ZOMBIEPEPES,500000,XCP,0.1
444577,XCP,1,HARRYPEPES,1
444601,PEPETRATION,5,XCP,5
444602,XCP,0.66,PEPETRON,3
444631,BITCOINPEPE,5,XCP,12.5
444633,STEALPEPE,1,XCP,0.44444444
444637,XCP,3,PEPETHESOG,1
444639,STEALPEPE,1,XCP,0.4995
444639,STEALPEPE,3,XCP,1.33333332
444654,PEPEOFTHEUSA,1,XCP,0.35
444655,PEPEHOUSE,1,XCP,0.6
444669,THEPEPE,49,XCP,0.01862
444669,SNAPCHATPEPE,2000,XCP,1
444669,MURICAPEPE,1,XCP,1
444669,SNOWDENPEPE,5,XCP,1
444669,PEPEJOHNS,5,XCP,0.39
444669,PEPOCALYPSE,1,XCP,0.5
444669,CULTOFPEPE,8500,XCP,1.02
444669,PEPEKMONGO,5,XCP,0.155
444669,PEPETRON,2,XCP,0.66
444670,BOYSCLUBPEPE,1,XCP,2
444674,TRUMPEPE,1,XCP,3.21022
444674,THEPEPE,1,XCP,0.00039
444677,SHITCOINCARD,1,XCP,0.9
444677,LUCKYPEPE,5,XCP,0.6
444677,PEPEONECOIN,205,XCP,1.0045
444677,PEPEPARTY,6,XCP,0.54
444677,PEPENATION,10,XCP,1
444687,TESTNETPEPE,500,XCP,0.005
444701,XCP,2.425,HERNIAPEPE,5
444709,BERNIEPEPE,2,XCP,1.2
444713,PPKING,2,XCP,0.59
444718,XCP,0.01,DANKPEPE,1
444718,XCP,0.085,BLOCKPEPE,1
444719,XCP,0.057,PEPENATION,3
444719,XCP,1.6,GOXPEPE,1
444719,XCP,0.05,RAREPEPEDAO,1
444745,BITCOINPEPE,10,XCP,25
444790,BITCOINPEPE,10,XCP,29
444808,PONZIPEPE,5,XCP,0.5
444808,NOFAPPEPE,4,XCP,0.8
444808,PEPEGREEN,2,XCP,0.8
444809,PEPERUS,1,XCP,0.45
444831,SCORPEPE,2,XCP,0.59
444831,SHREMPEPE,5,XCP,0.5
444831,PEPEPARADO,50000,XCP,0.5
444831,TESTNETPEPE,50000,XCP,0.5
444831,PEPETRADERS,3,XCP,0.261
444831,CLASSICPEPE,4,XCP,0.6
444844,BITCOINPEPE,1,XCP,2.75
444861,GUARDSPEPE,100000,XCP,0.025
444861,ZOMBIEPEPES,100000,XCP,0.02
444861,PEPEPARADO,1000,XCP,0.01
444869,HAIRPEPE,1,XCP,0.12
444890,BITCOINPEPE,1,XCP,2.75
444890,XCP,0.275,WPPEPE,1
444892,XCP,1,BLKSWANPEPE,10
444904,LOVEISPEPE,2,XCP,1
444916,XCP,1,KEKET,1
444916,BONDPEPE,1,XCP,1.5
444916,XCP,1.37,PEPEMANE,2
444917,QUEGUAYPEPE,10,XCP,0.499999
444917,SPESSMUHPEPE,50,XCP,0.5
444917,SUCHSHARE,10,XCP,0.5
444918,XCP,0.8,HARRYPEPES,1
444920,PEPEREPUBLIC,1000000,XCP,0.07
444921,SANTAPEPE,3,XCP,1.8
444926,PEPERRR,3,XCP,9
444927,SNOWDENPEPE,5,XCP,0.5
444927,PEPETRON,4,XCP,1.1
444927,LOVEISPEPE,1,XCP,0.5
444927,PEPECITY,3,XCP,1.2
444929,MASTEROFPEPE,1,XCP,10
444930,HAIRPEPE,1,XCP,0.12
444930,SCARFACEPEPE,2,XCP,0.5
444930,TOREROPEPE,119,XCP,0.499681
444930,PEPESHROOMS,5,XCP,0.5
444930,GURUPEPE,5,XCP,0.5
444930,FSMPEPE,5,XCP,0.4999995
444930,PARTYPEPE,10,XCP,0.5
444930,KEISERPEPE,5,XCP,0.5
444930,PEPEANON,1,XCP,0.05
444930,GUMMYPEPE,500,XCP,0.5
444932,PEPECITY,2,XCP,0.8
444933,BLKSWANPEPE,5,XCP,0.5
444933,BULLYPEPE,3,XCP,0.49998
444933,WPPEPE,2,XCP,0.888
444933,PREPEDATOR,3,XCP,0.555
444933,QUEPASAPEPE,25,XCP,0.5
444935,XCP,0.05,BIGGIEPEPE,1
444936,WILDPEPE,2,XCP,0.2
444937,PEPEME,2,XCP,0.52
444944,PEPEFREEZE,4,XCP,1
444950,PEPELYN,1,XCP,2
444950,PEPOCALYPSE,1,PEPECASH,6700
444953,MANDELPEPE,1,XCP,0.5
444953,PEPEBUCKS,2,XCP,1.5
444953,SEVENBITPEPE,2,XCP,0.47
444953,PEPEME,3,XCP,0.78
444954,PEPEOFTHEUSA,2,XCP,0.7
444954,SEVENBITPEPE,3,XCP,0.705
444954,WILDPEPE,5,XCP,0.5
444954,PEPEME,2,XCP,0.52
444954,GUARDSPEPE,900000,XCP,0.225
444954,SARUTOBIPEPE,3,XCP,1.2
444954,PEPEDUCREUX,3,XCP,0.6
444954,PPKING,2,XCP,0.599
444954,PINHEADPEPE,2,XCP,0.6
444954,BLKSWANPEPE,15,XCP,1.5
444954,PEPECITY,2,XCP,0.8
444954,FRIENDSPEPE,3,XCP,0.9
444954,MAOISMPEPE,2,XCP,0.5
444961,PRINCESSPEPE,1,XCP,1.5
444961,MARINEPEINE,2,XCP,2
444964,BITGIRLPEPE,1,XCP,0.25
444964,CICACOINPEPE,1,XCP,0.9
444965,DUMBLEPEPE,1,XCP,1
444965,BLKSWANPEPE,5,XCP,0.5
444965,PEPECITY,1,XCP,0.4
444965,PEPEBUCKS,1,XCP,0.75
444977,GAINSPEPE,1,XCP,0.36
444978,PEPEBUCKS,1,XCP,0.75
444978,LEOPEPESCAM,2,XCP,0.5
444978,BREATHEDPEPE,2,XCP,0.8
444978,CICACOINPEPE,1,XCP,0.9
444978,EGGPLANTPEPE,10,XCP,1
444978,HEISENPEPE,3,XCP,0.66
444978,PEPEZ,10,XCP,1
444979,XCP,2,PROOFOFPEPE,1
444979,PROOFOFPEPE,1,XCP,7
444979,BLKSWANPEPE,10,XCP,1
444980,DUMBLEPEPE,1,XCP,1
444981,RAREPEPEPUMP,1,XCP,0.05
444983,CICACOINPEPE,1,XCP,0.9
444988,BOSSHOGPEPE,2,XCP,0.6
444988,RUBBERPEPE,1,XCP,0.3995
444988,SNOTPEPE,2,XCP,0.58
444990,XMASANTAPEPE,1,XCP,2
444990,BERNIEPEPE,2,XCP,1
444990,CNTRFLDPEPE,2,XCP,0.78
444990,CHONGPEPE,1,XCP,1.5
444992,PEPEBONGSPHP,2,XCP,0.8
444992,JACKPOTPEPE,2,XCP,0.7
444992,ZOMBIEPEPES,3000000,XCP,0.6
444992,DABPEPE,1,XCP,0.2495
444992,RGBPEPE,2,XCP,0.7
444994,PROOFOFPEPE,2,XCP,14
444997,XCP,0.6435,PEPEKMONGO,99
445048,XCP,0.6,RUBEUSPEPE,1
445061,XCP,0.275,CUBEPEPE,1
445062,XCP,0.005,SLVPEPE,1
445067,VOLDEPEPE,1,XCP,2.5
445067,DUMBLEPEPE,1,XCP,1.25
445112,PROOFOFPEPE,1,XCP,8
445140,LITTLEBOPEPE,2,XCP,0.66
445140,REYPEPE,2,XCP,1.6
445140,TOPCUCK,75,XCP,0.51
445140,PEPETANGCLAN,2,XCP,0.66
445140,BIGVERNPEPE,1,XCP,0.33
445140,PEPEKEN,1,XCP,0.4
445140,MAPEPENEMR,2,XCP,0.6
445140,GADSDENPEPE,1,XCP,0.45
445140,WHISKEYPEPE,1,XCP,0.5
445140,CALLHOTPEPE,1,XCP,0.42
445142,TESTNETPEPE,1,XCP,1.0E-5
445142,GIVEKUDOS,1,XCP,0.0036
445142,PEPEREPUBLIC,1000000,XCP,0.07
445143,PARTYPEPE,1,XCP,0.05
445144,TOPCUCK,1,XCP,0.0068
445144,PEPEONECOIN,1,XCP,0.001
445144,GUMMYPEPE,1,XCP,0.001
445144,SOGGYPEPE,1,XCP,0.01
445144,RPEPELIGHTER,1,XCP,4.9E-5
445144,TOREROPEPE,1,XCP,0.004195
445144,PEPETRAIN,1,XCP,0.05
445144,SPESSMUHPEPE,1,XCP,0.01
445145,STANDINGPEPE,1,XCP,0.07
445145,RAREPEPEPUMP,1,XCP,0.05
445145,ZOMBIEPEPES,100000,XCP,0.02
445145,SUCHSHARE,1,XCP,0.05
445145,PEPEPARADO,1,XCP,1.0E-5
445145,PEPETRADERS,1,XCP,0.09
445145,QUEPASAPEPE,1,XCP,0.02
445145,QUEGUAYPEPE,1,XCP,0.04995
445154,PEPEBUCKS,1,XCP,0.75
445154,BITCOINPEPE,5,XCP,14.5
445156,PEPEONECOIN,10,XCP,0.01
445156,STEALPEPE,2,XCP,0.999
445156,PEPERUS,1,XCP,0.45
445156,KIDPEPE,10,XCP,0.01
445160,BLKSWANPEPE,2,XCP,0.2
445160,PEPEDANCE,2,XCP,4
445167,XCP,0.555,PEPECITY,3
445185,XCP,0.35,PEPERICH,1
445207,BITCOINPEPE,3,XCP,8.7
445211,PEPEHOUSE,5,XCP,3
445211,SIXTYSIXPEPE,1,XCP,1.87
445212,XCP,1,CHONGPEPE,1
445212,XCP,1,CHEECHPEPE,1
445213,ROLLINGPEPE,1,XCP,1.5
445213,BLKSWANPEPE,8,XCP,0.8
445214,SNAPCHATPEPE,24,XCP,0.012
445220,PROOFOFPEPE,2,XCP,16
445240,PEPEBUCKS,1,XCP,0.75
445251,PEPEREPUBLIC,10000000,XCP,0.7
445259,PROOFOFPEPE,1,XCP,8.5
445259,PROOFOFPEPE,1,XCP,8.5
445267,PROOFOFPEPE,1,XCP,8.5
445277,FATPEPE,1,XCP,0.4
445277,MAOPEPE,1,XCP,0.5714
445277,ECCEPEPE,2,XCP,1.12
445277,MYRIADMPEPE,1,XCP,0.5
445277,GOSPELPEPE,1,XCP,0.5
445277,PEPERFUME,1,XCP,0.5
445277,TIMEPEPE,1,XCP,1.5
445277,PEPENACCI,1,XCP,0.5
445277,ZOOKOPEPE,2,XCP,1.1
445278,XCP,2,PEPECITY,10
445279,TLCPEPE,4,XCP,1
445280,TLCPEPE,5,XCP,1.25
445281,DATPEPE,10,XCP,1
445281,HYIPPEPE,2,XCP,0.4
445281,TLCPEPE,1,XCP,0.25
445306,MAOPEPE,5,XCP,2.857
445316,XCP,0.25,NAPKINPEPE,1
445323,EGGPLANTPEPE,2,XCP,0.2
445366,PEPETSHIRT,1,XCP,16
445367,SKIINGPEPE,2,XCP,5
445371,XCP,0.2,PPLNMDNTNY,1
445371,XCP,2.25,SKIINGPEPE,3
445373,HARRYPEPES,1,XCP,1.25
445379,MAOZEPEPE,1,XCP,5
445381,TUXPEPE,1,XCP,33
445392,WINSTONPEPE,20,XCP,2
445393,RAREPEPEPUMP,2,XCP,0.1
445395,STANDINGPEPE,2,XCP,0.14
445397,PEPETRON,3,XCP,0.825
445397,SNOWDENPEPE,2,XCP,0.2
445406,GIVEKUDOS,1,XCP,0.0036
445406,PEPEGREEN,1,XCP,0.38
445411,PEPELYN,1,XCP,2
445411,PEPEBUCKS,5,XCP,3.75
445411,PEPEBRICK,2,XCP,5
445418,WINSTONPEPE,3,XCP,0.3
445418,PREPEDATOR,3,XCP,0.555
445432,WINSTONPEPE,1,XCP,0.1
445432,WINSTONPEPE,5,XCP,0.5
445453,FRYPEPE,1,XCP,0.5
445503,WINSTONPEPE,20,XCP,2
445512,WINSTONPEPE,10,XCP,1
445512,BITCOINPEPE,4,XCP,11.2
445513,PROOFOFPEPE,1,XCP,9
445515,PROOFOFPEPE,1,XCP,9
445525,DUMBLEPEPE,1,XCP,1.4
445548,TAJPEPE,2,XCP,6
445548,PROOFOFPEPE,1,XCP,10
445565,CICACOINPEPE,1,XCP,0.9
445576,PRINCESSPEPE,1,XCP,1.4
445581,PEPEBRICK,1,XCP,2.5
445581,TAJPEPE,1,XCP,3
445590,BTCPEPE,1,XCP,3
445590,BANKRUPTPEPE,1,XCP,1.337
445599,THEPEPE,100,XCP,0.039
445600,RAREPEPEPRTY,5,XCP,2.5
445605,BTCPEPE,1,XCP,3
445630,BTCPEPE,3,XCP,9
445640,BTCPEPE,1,XCP,3
445662,PEPEREPUBLIC,10000000,XCP,2.5
445662,PEPERRR,2,XCP,6
445671,BANKRUPTPEPE,1,XCP,1.337
445672,PEPEBUCKS,1,XCP,0.75
445676,WINSTONPEPE,1,XCP,0.1
445677,ICQPEPE,1,PEPECASH,5000
445682,ICQPEPE,1,PEPECASH,5000
445689,PEPEREPUBLIC,32821142,XCP,8.2052855
445689,PEPEBRICK,2,XCP,5
445691,RUBEUSPEPE,1,XCP,1.5
445691,RUBEUSPEPE,1,XCP,1.2
445707,HILLARYPEPE,2,XCP,0.5
445740,EGGPLANTPEPE,20,XCP,2
445762,PARTYPEPE,1,XCP,0.05
445762,CULTOFPEPE,1,XCP,0.00012
445762,PEPETACO,3,XCP,5.25
445769,PEPEZCASH,1,XCP,0.025
445772,INNOCOINBOT,1,XCP,2
445773,STRIPERPEPE,1,XCP,0.44
445775,TOPCUCK,50,XCP,0.34
445809,WINSTONPEPE,2,XCP,0.2
445834,XCP,1.25,PEPEOFTHEUSA,10
445852,HYPNOPEPE,1,XCP,0.53
445852,XCP,0.51,XOBLORTPEPE,1
445877,XCP,1.425,WANTEDPEPE,5
445877,XCP,3.27,BTCPEPE,3
445882,BRIGHTONPEPE,5,XCP,5
445882,BANKRUPTPEPE,1,XCP,1
445888,PEPEBEEFTAXI,1,XCP,5
445906,BRIGHTONPEPE,1,XCP,1
445916,XCP,1,TAJPEPE,2
445918,XCP,1.5,TAJPEPE,3
445947,STILLPEPE,2,XCP,1
445947,WEAREALLPEPE,1,XCP,1
445953,BAPEPE,1,XCP,5
445959,BRIGHTONPEPE,5,XCP,5
445959,PEPEBRICK,1,XCP,2.5
445963,PEPEBRICK,4,XCP,10
445970,PEPETANGCLAN,1,XCP,0.33
445970,BERNIEPEPE,1,XCP,0.5
445970,ZOMBIEPEPES,100000,XCP,0.02
445974,PEPEGANDHI,1,XCP,0.5
445975,TAJPEPE,1,XCP,3
445981,CLASSICPEPE,6,XCP,0.9
445985,MATADORPEPE,0.5,XCP,0.5
445988,XCP,0.1,THEANCAPEPE,5
445988,XCP,0.1,THEANCAPEPE,5
445990,MAPEPENEMR,5,XCP,1.5
445990,PEPECITY,2,XCP,0.8
445990,RAREPEPEPRTY,2,XCP,1
445990,BITGIRLPEPE,10,XCP,2.5
445990,CICACOINPEPE,10,XCP,8
445990,DUMBLEPEPE,1,XCP,1.5
445990,WINSTONPEPE,10,XCP,1
446008,SUCHSHARE,10,XCP,0.5
446008,PEPEDUCREUX,1,XCP,0.2
446008,XCP,11,PEPEBRICK,4
446008,XCP,2,PTSDPEPE,1
446027,ICQPEPE,1,PEPECASH,5000
446053,XCP,1.8,LIKEPEPEBRO,3
446053,LOVEISPEPE,1,XCP,0.5
446053,VOLDEPEPE,1,XCP,2
446053,CUBEPEPE,1,XCP,1.77
446061,XCP,2.1,LIKEPEPEBRO,3
446063,PARTYPEPE,10,XCP,0.5
446069,SPESSMUHPEPE,18,XCP,0.18
446075,XCP,5,TAJPEPE,5
446079,XCP,0.0325,PEPEKMONGO,5
446095,PEPEALIEN,1,XCP,3.6
446095,LIKEPEPEBRO,1,XCP,1
446137,PEPEREPUBLIC,100000,XCP,0.025
446162,PEPEREPUBLIC,10000,XCP,0.0025
446214,BACHELORPEPE,1,XCP,20
446214,MAOISMPEPE,2,XCP,3
446214,BEETLEPEPE,2,XCP,2.26
446214,XCP,0.6,BIGGIEPEPE,1
446214,THOTHPEPE,2,XCP,2
446214,UFOPEPE,3,XCP,3
446216,RAREPEPEPUMP,40,XCP,2
446216,PEPEFETT,1,XCP,1.5
446216,BEETLEPEPE,1,XCP,1.13
446216,HANPEPE,1,XCP,2
446216,PRINCESSPEPE,1,XCP,1.4
446216,CHYNAPEPE,1,XCP,5
446216,UPINSMKPEPE,2,XCP,1.4
446231,LIKEPEPEBRO,5,PEPECASH,35000
446235,TAJPEPE,1,XCP,3.5
446235,WEAREALLPEPE,1,XCP,1
446235,RELAXPEPE,1,XCP,0.95
446249,GUMMYPEPE,1,XCP,0.001
446249,SOGGYPEPE,1,XCP,0.01
446251,PEPEME,1,XCP,0.26
446271,THEPEPE,1,XCP,0.00039
446271,PEPEONECOIN,1,XCP,0.00099
446274,XCP,10,HORRORPEPE,1
446278,XCP,1.25,UNCLEPEPE,5
446296,HYPNOPEPE,2,XCP,5
446322,TOMANDPEPE,100,PEPECASH,50000
446325,TOMANDPEPE,2,PEPECASH,1000
446326,XCP,0.4,TOMANDPEPE,4
446328,TOMANDPEPE,1,PEPECASH,500
446331,PEPESTRANGE,3,XCP,0.3
446331,XCP,1.3,PEPEINSHADES,2
446333,XCP,0.6,TOMANDPEPE,6
446335,TOMANDPEPE,5,PEPECASH,2500
446336,BLKSWANPEPE,1,PEPECASH,500
446337,SUCHSHARE,3,XCP,0.15
446337,GUARDSPEPE,25000,XCP,0.0125
446337,PARTYPEPE,5,XCP,0.25
446354,BLKSWANPEPE,5,PEPECASH,2500
446363,XCP,0.4,PEPOCALYPSE,1
446372,TOMANDPEPE,10,XCP,1
446372,PEPEINSHADES,3,XCP,3
446375,XCP,0.9,EYETESTPEPE,9
446379,EYETESTPEPE,1,XCP,0.1
446380,SOGGYPEPE,50,XCP,0.5
446380,GUMMYPEPE,500,XCP,0.5
446381,THEPEPE,698,XCP,0.27222
446388,RPEPELIGHTER,45,XCP,0.00225
446399,RAREPEPENEWS,1,XCP,0.00299999
446400,TAJPEPE,2,XCP,7
446406,PEPEONECOIN,25,XCP,0.122825
446406,RAREPEPENEWS,100,XCP,0.299999
446407,GUARDSPEPE,1000000,XCP,0.5
446407,GUARDSPEPE,1000000,XCP,0.5
446407,RPEPELIGHTER,50,XCP,0.0035
446408,RAREPEPENEWS,88,XCP,0.26399912
446429,EYETESTPEPE,2,XCP,0.4
446429,TOMANDPEPE,4,XCP,0.4
446429,XCP,0.27,PEPEJOSE,1
446448,XCP,1,EINSTEINPEPE,1
446455,EYETESTPEPE,1,XCP,0.2
446455,XCP,0.5,SKIINGPEPE,1
446455,EYETESTPEPE,3,XCP,0.6
446455,TOMANDPEPE,3,XCP,0.3
446492,XCP,2,TSUPEPE,2
446492,XCP,1,MORPHEUSPEPE,2
446494,LUCKYPEPE,5,XCP,0.6
446494,PEPEJOINTSPH,1,XCP,0.7
446494,GURUPEPE,5,XCP,0.5
446494,KEISERPEPE,5,XCP,0.5
446494,STILLPEPE,1,XCP,0.5
446494,PEPENATION,5,XCP,0.5
446495,PEPEBRICK,1,XCP,3
446495,FIREASSPEPE,1,XCP,1
446495,PEPERARE,1,XCP,25
446495,XCP,0.1,PEPEINSHADES,1
446503,EYETESTPEPE,1,XCP,0.2
446504,XCP,0.275,WPPEPE,1
446505,EYETESTPEPE,2,PEPECASH,8000
446507,MORPHEUSPEPE,2,XCP,1
446507,BANANAPEPE,50,XCP,0.35
446507,PEPECASH,16004,INNOCOINBOT,4
446507,PEPECASH,4001,INNOCOINBOT,1
446511,PEPEBRICK,1,XCP,3
446513,PEPERFUME,1,PEPECASH,3600
446513,PEPEADDICT,1,PEPECASH,3300
446513,PEPEADDICT,1,PEPECASH,3300
446514,PEPOCALYPSE,2,XCP,1
446514,PEPERFUME,1,PEPECASH,3600
446514,PEPETREZOR,1,XCP,0.24
446529,HYPNOPEPE,1,XCP,2.5
446529,DRATHPEPE,1,XCP,3
446529,PEPEINSHADES,1,XCP,1
446529,WOLONGPEPE,1,XCP,3
446529,WINSTONPEPE,3,XCP,0.3
446530,RUBEUSPEPE,1,XCP,2
446530,PEPEMANE,1,XCP,2.5
446530,PEPEBURN,1,XCP,3
446530,PEPECHE,1,XCP,1.7
446530,PEPELEWINSKY,1,XCP,0.6
446530,GRNDMSTRPEPE,1,XCP,2
446553,PEPECASH,8000,INNOCOINBOT,2
446553,PEPECASH,4000,INNOCOINBOT,1
446559,XCP,2.45,BIGGIEPEPE,49
446559,XCP,0.076,PEPENATION,4
446559,XCP,0.06,BIGGIEPEPE,1
446560,TOMANDPEPE,3,XCP,0.3
446560,XCP,0.25,PEPEBONGSPHP,25
446582,PEPELEPEW,1,XCP,3
446594,RELAXPEPE,1,XCP,0.95
446630,PEPETHESOG,1,XCP,3.6
446654,BTCPEPE,1,XCP,3
446664,XCP,1.7819991,SHITCOINCARD,9
446666,XCP,0.275,WPPEPE,1
446679,EYETESTPEPE,3,XCP,0.6
446687,PEPEDOTCOM,4,XCP,4
446688,RAREPEPEPUMP,20,XCP,1
446693,PEPEDOTCOM,1,XCP,1
446701,XCP,1.155,SLIMERPEPE,3
446701,XCP,2,SKIINGPEPE,1
446706,LORDKEK,0.0001,XCP,0.06
446706,CHERPEPEFOIL,1,XCP,12
446707,DUMBLEPEPE,1,XCP,2
446707,LOVEISPEPE,4,XCP,2
446709,LIKEPEPEBRO,2,XCP,2
446709,TOMANDPEPE,10,XCP,1
446710,XCP,1.05,PEPEHUNGRY,3
446710,PARTYPEPE,2,XCP,0.1
446716,PEPEJOHNS,1,XCP,0.075
446716,PEPEMOON,1,XCP,0.53
446729,XCP,1.875,HERNIAPEPE,3
446778,PEPECASH,2500,SITHLORDPEPE,1
446786,PEPEBRICK,1,XCP,3
446787,SITHLORDPEPE,1,PEPECASH,2500
446788,PEPEDOTCOM,1,XCP,1
446788,THOTHPEPE,1,XCP,1
446793,SITHLORDPEPE,1,PEPECASH,2500
446793,SITHLORDPEPE,1,PEPECASH,2500
446796,TRUMPRARE,1,XCP,4
446800,SITHLORDPEPE,1,PEPECASH,2800
446844,GUARDSPEPE,1000000,XCP,0.5
446868,LIKEPEPEBRO,1,XCP,1
446871,EYETESTPEPE,2,PEPECASH,8000
446893,BOMINABLPEPE,1,XCP,3
446897,PEPEREPUBLIC,1,PEPECASH,0.01
446907,GUARDSPEPE,1,XCP,5.0E-7
446942,PARTYPEPE,20,XCP,1
446988,PEPENUKES,5,PEPECASH,10000
446989,PEPENUKES,2,XCP,1
446993,UFOPEPE,4,PEPECASH,12000
446993,UFOPEPE,2,PEPECASH,8000
446995,PEPENUKES,2,PEPECASH,4000
446995,PEPENUKES,3,PEPECASH,6000
446995,UFOPEPE,2,PEPECASH,8000
446995,UFOPEPE,1,PEPECASH,4000
447000,QUEPASAPEPE,49,XCP,0.98
447000,SUCHSHARE,23,XCP,1.15
447000,PARTYPEPE,50,XCP,2.5
447000,TOPCUCK,487,XCP,3.3116
447000,QUEGUAYPEPE,19,XCP,0.94905
447000,QUEPASAPEPE,25,XCP,0.5
447001,SPESSMUHPEPE,28,XCP,0.28
447001,SOGGYPEPE,38,XCP,0.38
447001,KEISERPEPE,10,XCP,1
447001,BIGVERNPEPE,3,XCP,0.78
447001,GURUPEPE,8,XCP,0.64
447001,EGGPLANTPEPE,10,XCP,0.5
447003,PEPENUKES,4,PEPECASH,8000
447003,PEPENUKES,1,PEPECASH,2000
447056,PEPENUKES,3,PEPECASH,6000
447059,XCP,5,TAJPEPE,5
447070,PEPENUKES,1,PEPECASH,2000
447070,BANKRUPTPEPE,1,PEPECASH,2000
447073,WNPEPEPEPEPE,4,XCP,0.4
447073,PEPENUKES,1,PEPECASH,2000
447073,ZOMBIEPEPES,1500,XCP,0.0003
447073,BLAINEPEPE,1,XCP,3
447078,XCP,3,BLAINEPEPE,3
447086,WNPEPEPEPEPE,20,XCP,2
447086,BLAINEPEPE,2,XCP,6
447086,XCP,0.1,RUBBERPEPE,2
447110,RAREPEPEPUMP,11,PEPECASH,2750
