stcd,state,cd,pvi_22,urbanindex,rural,exurban,suburban,urban,grouping
WI-02,WI,2,36.35733,10.60495,34.96468,23.09645,41.93887,0.00000,Suburban-Exurban
TX-06,TX,6,-24.66973,10.59703,40.22713,19.35776,21.23684,19.17826,Suburban-Exurban
WA-08,WA,8,2.08532,10.57876,28.85361,31.38413,39.76226,0.00000,Suburban-Exurban
WA-06,WA,6,11.54259,10.57689,33.88203,30.70854,27.42864,7.98078,Suburban-Exurban
CA-13,CA,13,7.44692,10.56639,32.31787,43.56562,21.41940,2.69710,Suburban-Exurban
PA-08,PA,8,-8.13140,10.55984,33.71861,37.88087,28.40052,0.00000,Suburban-Exurban
TX-11,TX,11,-41.40219,10.55360,28.22545,31.30752,40.46703,0.00000,Suburban-Exurban
MI-07,MI,7,-3.49482,10.55250,31.32566,40.28398,28.39036,0.00000,Suburban-Exurban
MI-04,MI,4,-8.71946,10.54956,32.88976,47.29119,19.81905,0.00000,Suburban-Exurban
IA-03,IA,3,-2.26229,10.54495,31.87871,26.66024,41.46105,0.00000,Suburban-Exurban
NJ-02,NJ,2,-10.86179,10.52803,26.05463,69.39364,4.55173,0.00000,Suburban-Exurban
AL-06,AL,6,-35.89212,10.51947,34.14793,41.52259,24.32948,0.00000,Suburban-Exurban
OH-14,OH,14,-18.53494,10.51510,32.07101,56.16222,11.76676,0.00000,Suburban-Exurban
FL-01,FL,1,-38.02011,10.48931,25.03483,57.03154,17.93363,0.00000,Rural-Exurban
MN-06,MN,6,-22.86022,10.45171,36.06747,43.15516,20.77737,0.00000,Rural-Exurban
WA-05,WA,5,-14.88255,10.43452,33.46150,21.35962,45.17887,0.00000,Rural-Exurban
AR-03,AR,3,-28.59175,10.41405,29.72575,58.80079,11.47346,0.00000,Rural-Exurban
CT-02,CT,2,2.93946,10.38751,33.05526,64.01267,2.93206,0.00000,Rural-Exurban
NV-02,NV,2,-13.43888,10.38652,34.61077,24.84039,38.61405,1.93479,Rural-Exurban
GA-09,GA,9,-46.10884,10.38211,42.75313,28.39017,28.85670,0.00000,Rural-Exurban
KY-04,KY,4,-33.70426,10.35224,40.90197,25.06108,29.21097,4.82598,Rural-Exurban
FL-06,FL,6,-27.79408,10.34874,30.34991,58.37744,11.27265,0.00000,Rural-Exurban
GA-14,GA,14,-45.16978,10.32933,37.32220,52.61029,10.06751,0.00000,Rural-Exurban
IN-02,IN,2,-26.10619,10.29184,41.39600,33.29637,25.30763,0.00000,Rural-Exurban
AL-05,AL,5,-32.05332,10.27975,36.19403,52.22675,11.57922,0.00000,Rural-Exurban
AR-02,AR,2,-16.89382,10.27967,34.63506,42.58866,22.77629,0.00000,Rural-Exurban
FL-18,FL,18,-29.30031,10.27548,36.40156,50.57949,13.01894,0.00000,Rural-Exurban
SC-06,SC,6,24.61394,10.26945,40.14595,15.74773,44.10632,0.00000,Rural-Exurban
TN-03,TN,3,-37.67168,10.26313,40.03429,43.00856,16.95715,0.00000,Rural-Exurban
AL-07,AL,7,28.73371,10.25422,34.41465,26.16775,39.41760,0.00000,Rural-Exurban
TN-07,TN,7,-20.81268,10.24005,41.96623,32.64141,25.39236,0.00000,Rural-Exurban
CA-02,CA,2,44.65415,10.21213,36.54945,39.49624,23.95431,0.00000,Rural-Exurban
NC-09,NC,9,-10.55922,10.20829,43.17571,38.60764,18.21665,0.00000,Rural-Exurban
LA-03,LA,3,-42.78137,10.18615,43.77271,42.89844,13.32885,0.00000,Rural-Exurban
IN-03,IN,3,-34.17802,10.18394,53.22442,19.72305,27.05252,0.00000,Rural-Exurban
NC-08,NC,8,-37.58659,10.18313,37.04849,57.56207,5.38945,0.00000,Rural-Exurban
CO-04,CO,4,-25.32454,10.18295,33.56944,34.49961,31.93096,0.00000,Rural-Exurban
NC-10,NC,10,-42.30799,10.17915,37.25780,62.74220,0.00000,0.00000,Rural-Exurban
OK-04,OK,4,-35.34708,10.17789,43.39116,24.94652,31.66232,0.00000,Rural-Exurban
OR-04,OR,4,8.94003,10.15422,40.72873,27.23221,32.03906,0.00000,Rural-Exurban
TX-10,TX,10,-24.11493,10.15221,43.39102,22.44281,30.39347,3.77270,Rural-Exurban
MO-03,MO,3,-32.50603,10.14706,44.09265,24.53147,31.37588,0.00000,Rural-Exurban
OH-06,OH,6,-31.06197,10.12129,45.99026,36.79673,17.21300,0.00000,Rural-Exurban
MD-01,MD,1,-25.05645,10.11806,45.37822,41.15412,13.46767,0.00000,Rural-Exurban
GA-10,GA,10,-31.15691,10.11493,38.54568,53.14254,8.31178,0.00000,Rural-Exurban
AL-01,AL,1,-31.69049,10.10553,43.51636,31.96774,24.51590,0.00000,Rural-Exurban
PA-16,PA,16,-24.44533,10.09883,49.75768,32.17566,18.06667,0.00000,Rural-Exurban
TN-06,TN,6,-35.16308,10.09657,46.23077,29.13176,24.63746,0.00000,Rural-Exurban
HI-02,HI,2,31.68571,10.08184,45.62774,39.12206,15.25020,0.00000,Rural-Exurban
SC-05,SC,5,-25.79119,10.07118,51.21289,36.22249,12.56462,0.00000,Rural-Exurban
WA-04,WA,4,-22.76235,10.07076,41.43656,25.02003,33.54341,0.00000,Rural-Exurban
WI-08,WI,8,-19.90084,10.06483,45.97181,21.31066,32.71753,0.00000,Rural-Exurban
MO-07,MO,7,-47.12746,10.06060,48.02934,27.16369,24.80697,0.00000,Rural-Exurban
GA-03,GA,3,-37.72754,10.05251,42.43663,52.91459,4.64878,0.00000,Rural-Exurban
VA-06,VA,6,-28.83809,10.05085,46.45404,39.51471,14.03125,0.00000,Rural-Exurban
MI-09,MI,9,-33.46982,10.04531,44.44423,41.80020,13.75557,0.00000,Rural-Exurban
NC-05,NC,5,-23.78282,10.03604,48.73088,31.41363,19.85549,0.00000,Rural-Exurban
TX-17,TX,17,-27.51883,10.03186,41.28232,26.76181,31.39707,0.55881,Rural-Exurban
TX-27,TX,27,-28.27670,10.02864,53.15712,15.07014,31.77273,0.00000,Rural-Exurban
NY-19,NY,19,-0.96829,10.01977,52.92939,31.63634,15.43427,0.00000,Rural-Exurban
NC-07,NC,7,-15.34249,10.01653,51.61819,30.75820,17.62361,0.00000,Rural-Exurban
ID-01,ID,1,-45.48372,10.01293,36.88654,33.96757,29.14590,0.00000,Rural-Exurban
ID-02,ID,2,-26.65375,9.99565,38.97792,33.52536,27.49672,0.00000,Rural-Exurban
NM-02,NM,2,3.89166,9.98027,40.90847,26.90929,32.18223,0.00000,Rural-Exurban
TX-19,TX,19,-53.78309,9.97486,45.63207,19.85274,34.51519,0.00000,Rural-Exurban
TX-13,TX,13,-45.57836,9.96255,44.64982,25.35789,29.99229,0.00000,Rural-Exurban
TX-23,TX,23,-13.27563,9.96234,37.95400,33.40885,24.43554,4.20161,Rural-Exurban
IN-04,IN,4,-33.35949,9.95885,54.09359,26.41320,19.49320,0.00000,Rural-Exurban
PA-14,PA,14,-35.10447,9.93512,48.08706,51.12125,0.79169,0.00000,Rural-Exurban
GA-02,GA,2,4.30329,9.92455,46.20226,39.59503,14.20271,0.00000,Rural-Exurban
OH-05,OH,5,-29.85191,9.90051,54.10883,32.48203,13.40914,0.00000,Rural-Exurban
ME-01,ME,1,16.00842,9.89315,55.73184,31.68180,12.58636,0.00000,Rural-Exurban
GA-01,GA,1,-19.51344,9.88095,45.63212,40.38261,13.98527,0.00000,Rural-Exurban
TN-01,TN,1,-60.56508,9.87160,51.67205,48.32795,0.00000,0.00000,Rural-Exurban
FL-03,FL,3,-18.15677,9.85896,50.54020,30.09094,19.36886,0.00000,Rural-Exurban
OH-04,OH,4,-40.22501,9.84778,55.09428,35.03082,9.87491,0.00000,Rural-Exurban
CA-01,CA,1,-24.24475,9.84611,47.37227,34.65937,17.96836,0.00000,Rural-Exurban
WI-06,WI,6,-20.00207,9.83501,48.47100,47.99045,3.53855,0.00000,Rural-Exurban
SC-07,SC,7,-25.92283,9.82861,51.99392,48.00608,0.00000,0.00000,Rural-Exurban
KS-02,KS,2,-20.93543,9.77136,51.64715,29.07822,19.27463,0.00000,Rural-Exurban
OH-12,OH,12,-34.24474,9.76928,55.11066,37.56752,7.32182,0.00000,Rural-Exurban
FL-02,FL,2,-16.50094,9.76267,50.44441,28.91830,20.63728,0.00000,Rural-Exurban
IN-09,IN,9,-30.12602,9.74306,59.09528,24.91768,15.98705,0.00000,Rural-Exurban
IA-02,IA,2,-5.46982,9.73029,49.28528,36.09879,14.61592,0.00000,Rural-Exurban
SC-03,SC,3,-44.20020,9.72732,55.12001,44.87999,0.00000,0.00000,Rural-Exurban
NC-11,NC,11,-14.20679,9.70481,61.48701,37.56448,0.94851,0.00000,Rural-Exurban
MS-04,MS,4,-41.91808,9.69525,52.99014,47.00986,0.00000,0.00000,Rural-Exurban
MI-05,MI,5,-27.44979,9.67438,62.58009,34.50203,2.91788,0.00000,Rural-Exurban
TN-04,TN,4,-45.70095,9.67047,59.87009,25.57834,14.55157,0.00000,Rural-Exurban
GA-12,GA,12,-16.87371,9.65989,53.83876,25.19250,20.96874,0.00000,Rural-Exurban
IA-01,IA,1,-3.95236,9.65413,57.13731,25.93545,16.92725,0.00000,Rural-Exurban
NH-02,NH,2,2.23649,9.63994,58.60688,24.69190,16.70122,0.00000,Rural-Exurban
TX-01,TX,1,-50.45289,9.61616,60.79297,34.38718,4.81984,0.00000,Rural-Exurban
PA-09,PA,9,-40.83283,9.61451,64.15233,35.84767,0.00000,0.00000,Rural-Exurban
WV-02,WV,2,-34.19466,9.60292,55.44590,44.55410,0.00000,0.00000,Rural-Exurban
IL-16,IL,16,-25.92162,9.59515,58.59526,33.99825,7.40649,0.00000,Rural-Exurban
NY-24,NY,24,-21.62165,9.59475,69.56588,26.40395,4.03017,0.00000,Rural-Exurban
IN-08,IN,8,-35.82952,9.56708,61.75383,24.02308,14.22309,0.00000,Rural-Exurban
KY-02,KY,2,-37.64016,9.56108,54.50660,44.87018,0.62321,0.00000,Rural-Exurban
TN-08,TN,8,-43.44488,9.55329,65.33160,19.54136,15.12704,0.00000,Rural-Exurban
AL-02,AL,2,-33.49102,9.51913,55.31375,33.65327,11.03297,0.00000,Rural-Exurban
OK-03,OK,3,-46.84734,9.51656,56.23083,18.67933,25.08984,0.00000,Rural-Exurban
PA-13,PA,13,-48.96200,9.46451,67.63364,32.36636,0.00000,0.00000,Mostly Rural
AL-03,AL,3,-39.02155,9.46407,66.56686,31.33338,2.09976,0.00000,Mostly Rural
LA-04,LA,4,-33.82044,9.45829,64.11533,21.58685,14.29782,0.00000,Mostly Rural
NC-01,NC,1,5.35181,9.45644,64.08820,35.02106,0.89074,0.00000,Mostly Rural
MN-01,MN,1,-13.94515,9.43220,58.24699,34.57215,7.18085,0.00000,Mostly Rural
OH-02,OH,2,-48.46931,9.35387,65.82849,28.86208,5.30943,0.00000,Mostly Rural
NC-03,NC,3,-28.28829,9.34073,74.30941,25.69059,0.00000,0.00000,Mostly Rural
VA-05,VA,5,-14.89345,9.33159,62.50635,34.28762,3.20603,0.00000,Mostly Rural
GA-08,GA,8,-34.57001,9.29515,65.04534,30.85000,4.10466,0.00000,Mostly Rural
NY-23,NY,23,-22.84512,9.27141,67.47594,30.09238,2.43168,0.00000,Mostly Rural
ND-01,ND,1,-37.07663,9.26211,49.56295,34.28547,16.15158,0.00000,Mostly Rural
MO-06,MO,6,-42.24459,9.23278,68.79281,22.97618,8.23101,0.00000,Mostly Rural
MS-01,MS,1,-34.86018,9.21649,66.60939,26.49985,6.89076,0.00000,Mostly Rural
IA-04,IA,4,-27.32952,9.20412,67.22376,27.55524,5.22099,0.00000,Mostly Rural
MS-03,MS,3,-28.07774,9.18269,62.97779,34.93039,2.09182,0.00000,Mostly Rural
AL-04,AL,4,-64.82555,9.14366,78.90842,21.09159,0.00000,0.00000,Mostly Rural
MO-04,MO,4,-44.84983,9.13833,70.72124,25.44939,3.82937,0.00000,Mostly Rural
CO-03,CO,3,-14.36597,9.12253,62.46446,27.89888,9.63666,0.00000,Mostly Rural
VA-09,VA,9,-47.12709,9.07969,77.97042,20.58028,1.44930,0.00000,Mostly Rural
WV-01,WV,1,-34.78497,9.06467,70.74393,29.25607,0.00000,0.00000,Mostly Rural
VT-01,VT,1,27.77288,9.05338,80.59113,19.05868,0.35019,0.00000,Mostly Rural
LA-05,LA,5,-34.12508,9.05237,70.60798,29.39202,0.00000,0.00000,Mostly Rural
NM-03,NM,3,4.76926,9.01836,61.53287,38.46713,0.00000,0.00000,Mostly Rural
WI-03,WI,3,-8.37047,9.00014,68.87968,31.12032,0.00000,0.00000,Mostly Rural
MO-08,MO,8,-55.92106,8.99901,73.98421,22.05351,3.96227,0.00000,Mostly Rural
MS-02,MS,2,23.15942,8.97501,73.61157,20.50468,5.88375,0.00000,Mostly Rural
KS-01,KS,1,-34.46669,8.97284,62.88969,37.11031,0.00000,0.00000,Mostly Rural
SD-01,SD,1,-32.01005,8.96980,64.91479,15.13093,19.95428,0.00000,Mostly Rural
MT-01,MT,1,-10.00102,8.95109,55.83858,44.16142,0.00000,0.00000,Mostly Rural
PA-15,PA,15,-40.12877,8.93615,82.60450,17.39550,0.00000,0.00000,Mostly Rural
IL-12,IL,12,-46.39938,8.90855,86.23391,13.76609,0.00000,0.00000,Mostly Rural
OR-02,OR,2,-27.72927,8.90369,64.07372,26.47317,9.45312,0.00000,Mostly Rural
IL-15,IL,15,-42.41402,8.88089,80.12449,19.87551,0.00000,0.00000,Mostly Rural
KY-01,KY,1,-43.41456,8.87433,77.79499,22.20501,0.00000,0.00000,Mostly Rural
AR-01,AR,1,-43.34235,8.83946,75.15618,24.84382,0.00000,0.00000,Mostly Rural
MI-02,MI,2,-31.02876,8.82769,88.30834,11.69166,0.00000,0.00000,Mostly Rural
AZ-02,AZ,2,-15.03854,8.78438,63.41683,36.58317,0.00000,0.00000,Mostly Rural
NY-21,NY,21,-16.46575,8.77082,79.52221,20.13797,0.33982,0.00000,Mostly Rural
KY-05,KY,5,-59.79639,8.76626,90.04121,9.95880,0.00000,0.00000,Mostly Rural
AR-04,AR,4,-38.85732,8.73533,76.34599,23.65401,0.00000,0.00000,Mostly Rural
AK-01,AK,1,-14.61795,8.73440,54.00129,17.80532,28.19339,0.00000,Mostly Rural
MN-08,MN,8,-14.93902,8.71450,80.45851,19.54149,0.00000,0.00000,Mostly Rural
OK-02,OK,2,-54.93084,8.61550,84.02240,15.97760,0.00000,0.00000,Mostly Rural
MT-02,MT,2,-29.70092,8.61416,58.60123,38.69850,2.70026,0.00000,Mostly Rural
ME-02,ME,2,-10.30612,8.55475,83.88136,16.11864,0.00000,0.00000,Mostly Rural
WY-01,WY,1,-49.87336,8.52656,69.09393,30.90607,0.00000,0.00000,Mostly Rural
WI-07,WI,7,-23.90953,8.42007,82.10666,17.89334,0.00000,0.00000,Mostly Rural
MI-01,MI,1,-23.76232,8.35040,93.53532,6.46468,0.00000,0.00000,Mostly Rural
NE-03,NE,3,-56.57166,8.26581,78.46326,21.08780,0.44895,0.00000,Mostly Rural
MN-07,MN,7,-36.62912,8.14396,92.16631,2.86388,4.96981,0.00000,Mostly Rural
