Member,Party,District,Congress,Resignation Date,Reason,Source,Category
A. Willis Robertson,D,VA-SEN,89th,12/30/1966,Lost reelection bid; resigned to let successor start early,Indianapolis Star,G
Robert Griffin,R,MI-09,89th,5/10/1966,Appointed U.S. senator,U.S. Congress,C
Oren Harris,D,AR-04,89th,2/2/1966,Appointed federal judge,U.S. Congress,C
John Lindsay,R,NY-17,89th,12/31/1965,Elected New York City mayor,U.S. Congress,C
Harry Byrd Sr.,D,VA-SEN,89th,11/10/1965,Health reasons,Washington Post,E
James Roosevelt,D,CA-26,89th,9/30/1965,Appointed to Johnson administration,U.S. Congress,C
Albert Watson,D,SC-02,89th,2/1/1965,Dem Party ostracized him; resigned to seek seat as Republican,U.S. Congress,F
Pierre Salinger,D,CA-SEN,88th,12/31/1964,Lost reelection; resigned early to take film job & give successor seniority,Palm Springs Desert Sun,D & G
Hubert Humphrey,D,MN-SEN,88th,12/29/1964,Elected vice president,UPI,C
Edward Finnegan,D,IL-09,88th,12/6/1964,Appointed Cook County judge,U.S. Congress,C
Joseph Montoya,D,NM-AL,88th,11/3/1964,Elected U.S. senator,U.S. Congress,C
Ross Bass,D,TN-06,88th,11/3/1964,Elected U.S. senator,U.S. Congress,C
Robert Hemphill,D,SC-05,88th,5/1/1964,Appointed federal judge,U.S. Congress,C
John Shelley,D,CA-05,88th,1/7/1964,Elected San Francisco mayor,U.S. Congress,C
Homer Thornberry,D,TX-10,88th,12/20/1963,Appointed federal judge,U.S. Congress,C
Robert Cook,D,OH-11,87th,12/13/1962,Lost reelection bid & left early; unclear why,U.S. Congress,G
Frank Smith,D,MS-03,87th,11/14/1962,Appointed to Tennessee Valley Authority,U.S. House of Representatives,D
Hugh Addonizio,D,NJ-11,87th,6/30/1962,Elected Newark mayor,U.S. House of Representatives,C
Lester Holtzman,D,NY-06,87th,12/31/1961,Elected New York Supreme Court justice,Jewish Virtual Library,C
Frank Ikard,D,TX-13,87th,12/15/1961,Took a job with American Petroleum Institute,Corsicana Daily Sun,D
Paul Kilday,D,TX-20,87th,9/24/1961,Appointed federal judge,Arlington National Cemetery,C
Thaddeus Machrowicz,D,MI-01,87th,9/18/1961,Appointed federal judge,U.S. Congress,C
Stewart Udall,D,AZ-02,87th,1/18/1961,Appointed to Kennedy administration,U.S. Congress,C
Lyndon Johnson,D,TX-SEN,87th,1/3/1961,Elected vice president,U.S. Congress,C
Albert Bosch,R,NY-05,86th,12/31/1960,Elected Queens County judge,U.S. Congress,C
John F. Kennedy,D,MA-SEN,86th,12/22/1960,Elected president,U.S. Congress,C
Quentin Burdick,D,ND-AL,86th,8/8/1960,Elected U.S. senator,U.S. Congress,C
Isidore Dollinger,D,NY-23,86th,12/31/1959,Elected Bronx district attorney,New York Times,C
Henry Latham,R,NY-04,85th,12/31/1958,Elected New York Supreme Court justice,U.S. Congress,C
Richard Wigglesworth,R,MA-13,85th,11/13/1958,Appointed to Eisenhower administration,U.S. Congress,C
Earl Chudoff,D,PA-04,85th,1/5/1958,Elected Pennsylvania judge,U.S. Congress,C
Sterling Cole,R,NY-37,85th,12/1/1957,Took a job with International Atomic Energy Agency,U.S. Congress,D
Samuel K. McConnell,R,PA-13,85th,9/1/1957,Took a job with United Cerebral Palsy Associations,U.S. Congress,D
Price Daniel,D,TX-SEN,85th,1/14/1957,Elected Texas governor,U.S. Congress,C
Arthur Klein,D,NY-19,84th,12/31/1956,Elected New York Supreme Court justice,U.S. Congress,C
Irwin Davidson,D,NY-20,84th,12/31/1956,Elected New York judge,U.S. Congress,C
Strom Thurmond,D,SC-SEN,84th,4/4/1956,Fulfilled a campaign pledge to resign & have a competitive primary,New York Times,F
Sidney Fine,D,NY-22,84th,1/2/1956,Elected New York Supreme Court justice,U.S. Congress,C
Hazel Abel,R,NE-SEN,83rd,12/31/1954,Elected as caretaker; resigned to let successor start early,"""Oxford Handbook of Southern Politics""",G
Carl Curtis,R,NE-01,83rd,12/31/1954,Appointed U.S. senator,U.S. Congress,C
Jacob Javits,R,NY-21,83rd,12/31/1954,Elected New York attorney general,U.S. Congress,C
Charles Daniel,D,SC-SEN,83rd,12/23/1954,Appointment was expiring; resigned to let successor start early,Smart Politics,G
George Bender,R,OH-23,83rd,12/15/1954,Elected U.S. senator,U.S. Congress,C
Roman Hruska,R,NE-02,83rd,11/8/1954,Elected U.S. senator,U.S. Congress,C
Norris Cotton,R,NH-02,83rd,11/7/1954,Elected U.S. senator,U.S. Congress,C
Robert Secrest,D,OH-15,83rd,9/26/1954,Appointed to Eisenhower administration,Washington Post,C
Louis Heller,D,NY-08,83rd,7/21/1954,Appointed New York judge,U.S. Congress,C
Clifford Case,R,NJ-06,83rd,8/16/1953,Took a job with Ford Foundation's Fund for the Republic,New York Times,D
Norris Poulson,R,CA-24,83rd,7/11/1953,Elected Los Angeles mayor,New York Times,C
Thomas Stanley,D,VA-05,83rd,2/3/1953,To focus on his run for governor,U.S. Congress,C
Richard Nixon,R,CA-SEN,82nd,1/1/1953,Elected vice president,U.S. Congress,C
Owen Brewster,R,ME-SEN,82nd,12/31/1952,Lost reelection bid & left early; unclear why,U.S. Congress,G
Leonard Hall,R,NY-02,82nd,12/31/1952,Elected Nassau County surrogate,U.S. Congress,C
Charles Potter,R,MI-11,82nd,11/4/1952,Elected U.S. senator,U.S. Congress,C
Foster Furcolo,D,MA-02,82nd,9/30/1952,Appointed Massachusetts treasurer,New York Times,C
Tom Pickett,D,TX-07,82nd,6/30/1952,Took a job with National Coal Association,U.S. Congress,D
T. Vincent Quinn,D,NY-05,82nd,12/30/1951,Elected Queens district attorney,U.S. Congress,C
Edward Breen,D,OH-03,82nd,10/1/1951,Ill health,U.S. Congress,E
Harry Towe,R,NJ-09,82nd,9/7/1951,Appointed New Jersey deputy attorney general,New York Times,C
Ed Gossett,D,TX-13,82nd,7/31/1951,Took a job with Southwestern Bell Telephone Company,Denton Record-Chronicle,D
Thomas Underwood,D,KY-06,82nd,3/17/1951,Appointed U.S. senator,U.S. Congress,C
Frank Barrett,R,WY-AL,81st,12/31/1950,Elected Wyoming governor,U.S. Congress,C
Sheridan Downey,D,CA-SEN,81st,11/30/1950,Ill health,U.S. Congress,E
Richard Nixon,R,CA-12,81st,11/30/1950,Appointed U.S. senator,U.S. Congress,C
Eugene Worley,D,TX-18,81st,4/3/1950,Appointed federal judge,U.S. Congress,C
J. Parnell Thomas,R,NJ-07,81st,1/2/1950,Convicted of fraud,New York Observer,B
Raymond Baldwin,R,CT-SEN,81st,12/16/1949,Appointed Connecticut Supreme Court justice,New York Times,C
J. Howard McGrath,D,RI-SEN,81st,8/23/1949,Appointed to Truman administration,U.S. Congress,C
Robert Wagner,D,NY-SEN,81st,6/28/1949,Health reasons,Encyclopedia Britannica,E
Alben Barkley,D,KY-SEN,81st,1/19/1949,Elected vice president,U.S. Congress,C
Karl Mundt,R,SD-01,80th,12/30/1948,Appointed U.S. senator,U.S. Congress,C
Vera Bushfield,R,SD-SEN,80th,12/26/1948,Appointment was expiring; resigned to let successor start early,U.S. House of Representatives,G
Noble Johnson,R,IN-06,80th,7/1/1948,Appointed federal judge,U.S. Congress,C
J. Lindsay Almond,D,VA-06,80th,4/17/1948,Elected Virginia attorney general,U.S. Congress,C
Earle Clements,D,KY-02,80th,1/6/1948,Elected Kentucky governor,U.S. Congress,C
Benjamin Rabin,D,NY-24,80th,12/31/1947,Elected New York Supreme Court justice,U.S. Congress,C
Evan Howell,R,IL-21,80th,10/5/1947,Appointed federal judge,U.S. Congress,C
Leo Rayfiel,D,NY-14,80th,9/13/1947,Appointed federal judge,U.S. Congress,C
Robert Jones,R,OH-04,80th,9/2/1947,Appointed to Truman administration,U.S. Congress,C
Ewing Thomason,D,TX-16,80th,7/31/1947,Appointed federal judge,U.S. Congress,C
Thomas D'Alesandro,D,MD-03,80th,5/16/1947,Elected Baltimore mayor,U.S. Congress,C
Hugh Mitchell,D,WA-SEN,79th,12/25/1946,Lost reelection bid; resigned to let successor start early,History Link,G
John Sparkman,D,AL-08,79th,11/5/1946,Elected U.S. senator,U.S. Congress,C
Henry Dworshak,R,ID-02,79th,11/5/1946,Elected U.S. senator,U.S. Congress,C
A. Willis Robertson,D,VA-07,79th,11/5/1946,Elected U.S. senator,U.S. Congress,C
Warren Austin,R,VT-SEN,79th,8/2/1946,Appointed to Truman administration,U.S. Congress,C
John Murphy,D,PA-10,79th,7/17/1946,Appointed federal judge,U.S. Congress,C
Luther Johnson,D,TX-06,79th,7/17/1946,Appointed federal judge,U.S. Congress,C
Thomas Burch,D,VA-05,79th,5/31/1946,Appointed U.S. senator,U.S. Congress,C
Samuel Weiss,D,PA-33,79th,1/7/1946,Elected Pennsylvania judge,U.S. Congress,C
Robert Ramspeck,D,GA-05,79th,12/31/1945,Took a job with Air Transport Association,U.S. Congress,D
Clifton Woodrum,D,VA-06,79th,12/31/1945,Took a job with American Plant Food Council,U.S. Congress,D
Samuel Dickstein,D,NY-19,79th,12/30/1945,Elected New York Supreme Court justice,American Jewish Archives,C
Happy Chandler,D,KY-SEN,79th,11/1/1945,Took a job with Major League Baseball,U.S. Congress,D
Harold Burton,R,OH-SEN,79th,9/30/1945,Appointed to U.S. Supreme Court,U.S. Congress,C
Lane Powers,R,NJ-04,79th,8/30/1945,Appointed to New Jersey Public Utilities Commission,U.S. Congress,C
Clinton Anderson,D,NM-AL,79th,6/30/1945,Appointed to Truman administration,U.S. Congress,C
Dave Satterfield Jr.,D,VA-03,79th,2/15/1945,Took a job with Life Insurance Association of America,U.S. Congress,D
Harry Truman,D,MO-SEN,79th,1/17/1945,Elected vice president,U.S. Congress,C
Mon Wallgren,D,WA-SEN,79th,1/9/1945,Elected Washington governor,U.S. Congress,C
William Troutman,R,PA-AL,78th,1/2/1945,"Unclear, but sounds like he was elected to PA State Senate",U.S. Congress,C
Warren Magnuson,D,WA-01,78th,12/13/1944,Appointed U.S. senator,U.S. Congress,C
John Fogarty,D,RI-02,78th,12/7/1944,Joined the Navy,U.S. Congress,H
Al Gore Sr.,D,TN-04,78th,12/4/1944,Joined the Army,U.S. Congress,H
Lex Green,D,FL-AL,78th,11/25/1944,Joined the Navy,U.S. Congress,H
Homer Bone,D,WA-SEN,78th,11/13/1944,Appointed federal judge,U.S. Congress,C
Bob Sikes,D,FL-03,78th,10/19/1944,Joined the Army,National Military Fish & Wildlife Association,H
Winder Harris,D,VA-02,78th,9/15/1944,Took a job with Shipbuilders' Council of America,Smart Politics,D
Will Rogers Jr.,D,CA-16,78th,5/23/1944,Joined the Army,U.S. Congress,H
Jimmy Domengeaux,D,LA-03,78th,4/15/1944,Joined the Army,New York Times,H
Henry Cabot Lodge Jr.,R,MA-SEN,78th,2/3/1944,Joined the Army,U.S. Congress,H
Joseph Gavagan,D,NY-21,78th,12/30/1943,Elected New York Supreme Court justice,U.S. Congress,C
James McGranery,D,PA-02,78th,11/17/1943,Appointed to Roosevelt administration,U.S. Congress,C
James Van Zandt,R,PA-23,78th,9/24/1943,Joined the Navy,U.S. Congress,H
Jack Nichols,D,OK-02,78th,7/3/1943,Took a job with Transcontinental & Western Air,U.S. Congress,D
Anton Maciejewski,D,IL-06,77th,12/8/1942,Retired & left early; unclear why,U.S. Congress,G
James Scrugham,D,NV-AL,77th,12/7/1942,Elected U.S. senator,U.S. Congress,C
Harry Beam,D,IL-04,77th,12/6/1942,Elected Illinois judge,U.S. Congress,C
Charles Faddis,D,PA-25,77th,12/4/1942,Joined the Army,U.S. Congress,H
William Cole Jr.,D,MD-02,77th,10/26/1942,Appointed federal judge,U.S. Congress,C
Vincent Harrington,D,IA-09,77th,9/5/1942,Joined the Army,U.S. Congress,H
A.D. Baumhart Jr.,R,OH-13,77th,9/2/1942,Joined the Navy,U.S. Congress,H
Arthur Healey,D,MA-08,77th,8/3/1942,Appointed federal judge,U.S. Congress,C
Robert Secrest,D,OH-15,77th,8/3/1942,Joined the Navy,U.S. Congress,H
Charles Leavy,D,WA-05,77th,8/1/1942,Appointed federal judge,U.S. Congress,C
Joseph McArdle,D,PA-33,77th,1/5/1942,Elected to Pittsburgh City Council,U.S. Congress,C
Harold Flannery,D,PA-12,77th,1/3/1942,Elected Pennsylvania judge,U.S. Congress,C
Joseph Smith,D,CT-05,77th,11/4/1941,Appointed federal judge,U.S. Congress,C
Wall Doxey,D,MS-02,77th,9/29/1941,Elected U.S. senator,U.S. Congress,C
James Byrnes,D,SC-SEN,77th,7/8/1941,Appointed to U.S. Supreme Court,U.S. Congress,C
John Miller,D,AR-SEN,77th,3/31/1941,Appointed federal judge,U.S. Congress,C
Colgate Darden ,D,VA-02,77th,3/1/1941,To focus on his run for governor,U.S. Congress,C
Walter Bankhead,D,AL-07,77th,2/1/1941,Retured to his law practice (was always meant as a caretaker),Encyclopedia of Alabama,D
Matthew Neely,D,WV-SEN,77th,1/12/1941,Elected West Virginia governor,U.S. Congress,C
Thomas Hennings,D,MO-11,76th,12/31/1940,Elected St. Louis circuit attorney,U.S. Congress,C
Mon Wallgren,D,WA-02,76th,12/19/1940,Appointed U.S. senator,U.S. Congress,C
Lewis Schwellenbach,D,WA-SEN,76th,12/16/1940,Appointed federal judge,U.S. Congress,C
Paul Maloney,D,LA-02,76th,12/15/1940,Became collector of internal revenue for New Orleans district,U.S. Congress,C
Marvin Jones,D,TX-18,76th,11/20/1940,Appointed federal judge,U.S. Congress,C
Lindsay Warren,D,NC-01,76th,10/31/1940,Appointed comptroller general,U.S. Congress,C
Clift Chandler,D,TN-09,76th,1/2/1940,Elected Memphis mayor,U.S. Congress,C
Alan Goldsborough,D,MD-01,76th,4/5/1939,Appointed federal judge,U.S. Congress,C
Edward Eicher,D,IA-01,75th,12/2/1938,Appointed to Roosevelt administration,U.S. Congress,C
James Mead,D,NY-42,75th,12/2/1938,Elected U.S. senator,U.S. Congress,C
William McAdoo,D,CA-SEN,75th,11/8/1938,Took a job with American Steamship Lines,Knoxville Focus,D
Arthur Jenks,R,NH-01,75th,6/9/1938,His election was successfully contested & overturned,U.S. House of Representatives,I
Fred Vinson,D,KY-08,75th,5/12/1938,Appointed federal judge,U.S. Congress,C
Frederick Steiwer,R,OR-SEN,75th,1/31/1938,Returned to his law practice,New York Times,D
Harry Moore,D,NJ-SEN,75th,1/18/1938,Elected New Jersey governor,U.S. Congress,C
Lister Hill,D,AL-02,75th,1/11/1938,Appointed U.S. senator,U.S. Congress,C
Dixie Bibb Graves,D,AL-SEN,75th,1/10/1938,Appointment was expiring; resigned to let successor start early,Encyclopedia of Alabama,G
Henry Ellenbogen,D,PA-33,75th,1/3/1938,Elected Pennsylvania judge,U.S. Congress,C
John Miller,D,AR-02,75th,11/14/1937,Elected U.S. senator,U.S. Congress,C
John Higgins,D,MA-11,75th,9/30/1937,Appointed Massachusetts judge,U.S. Congress,C
Charles Millard,R,NY-25,75th,9/29/1937,Elected Westchester County surrogate,U.S. Congress,C
Hugo Black,D,AL-SEN,75th,8/19/1937,Appointed to U.S. Supreme Court,U.S. Congress,C
Frank Kloeb,D,OH-04,75th,8/19/1937,Appointed federal judge,U.S. Congress,C
Prentiss Brown,D,MI-11,74th,11/18/1936,Appointed U.S. senator,U.S. Congress,C
Guy Gillette,D,IA-09,74th,11/3/1936,Elected U.S. senator,U.S. Congress,C
Samuel Hill,D,WA-05,74th,6/25/1936,Appointed federal judge,U.S. Congress,C
Mell Underwood,D,OH-11,74th,4/10/1936,Appointed federal judge,U.S. Congress,C
William Brunner,D,NY-02,74th,9/27/1935,Elected Queens County sheriff,U.S. Congress,C
William Arnold,D,IL-23,74th,9/16/1935,Appointed federal judge,U.S. Congress,C
Michael Igoe,D,IL-AL,74th,6/2/1935,Appointed to Roosevelt administration,U.S. Congress,C
John McDuffie,D,AL-01,74th,3/2/1935,Appointed federal judge,U.S. Congress,C
Francis Condon,D,RI-01,74th,1/10/1935,Appointed Rhode Island judge,U.S. Congress,C
James Beck,R,PA-02,73rd,9/30/1934,"Frustrated with Congress, could fight the New Deal better in court",Indiana Gazette,F
W.A. Ayres,D,KS-05,73rd,8/22/1934,Appointed to Roosevelt administration,U.S. Congress,C
Frank Oliver,D,NY-23,73rd,6/18/1934,Appointed New York City magistrate,U.S. Congress,C
Ernest Gibson,R,VT-AL,73rd,10/19/1933,Appointed U.S. senator,U.S. Congress,C
Earl Major,D,IL-21,73rd,10/6/1933,Appointed federal judge,U.S. Congress,C
Sam Bratton,D,NM-SEN,73rd,6/24/1933,Appointed federal judge,U.S. Congress,C
Heartsill Ragon,D,AR-05,73rd,6/16/1933,Appointed federal judge,U.S. Congress,C
Lewis Douglas,D,AZ-AL,72nd,3/4/1933,Appointed to Roosevelt administration,U.S. Congress,C
Cordell Hull,D,TN-SEN,72nd,3/3/1933,Appointed to Roosevelt administration,U.S. Congress,C
John Nance Garner,D,TX-15,72nd,3/3/1933,Elected vice president,U.S. Congress,C
Claude Swanson,D,VA-SEN,72nd,3/3/1933,Appointed to Roosevelt administration,U.S. Congress,C
Harry Hawes,D,MO-SEN,72nd,2/3/1933,Retired; resigned early to give successor seniority,St. Louis Post-Dispatch,G
John Tilson,R,CT-03,72nd,12/3/1932,"Went back to ""private life"" to make money",Associated Press,D
Charles Crisp,D,GA-03,72nd,10/7/1932,Appointed to U.S. Tariff Commission,U.S. Congress,C
Frederick Dallinger,R,MA-08,72nd,10/1/1932,Appointed federal judge,U.S. Congress,C
George Welsh,R,PA-06,72nd,5/31/1932,Appointed federal judge,U.S. Congress,C
Peter Granata,R,IL-08,72nd,4/5/1932,His election was successfully contested & overturned,U.S. Congress,I
Russell Leech,R,PA-20,72nd,1/29/1932,Appointed federal judge,U.S. Congress,C
David Kincheloe,D,KY-02,71st,10/5/1930,Appointed federal judge,U.S. Congress,C
Jeremiah O'Connell,D,RI-03,71st,5/9/1930,Appointed Rhode Island judge,U.S. Congress,C
Augustus McCloskey,D,TX-14,71st,2/10/1930,His election was successfully contested & overturned,U.S. Congress,I
John Robsion,R,KY-11,71st,1/10/1930,Appointed U.S. senator,U.S. Congress,C
Fred Sackett,R,KY-SEN,71st,1/9/1930,Appointed to Hoover administration,U.S. Congress,C
John Carew,D,NY-18,71st,12/28/1929,Appointed New York Supreme Court justice,U.S. Congress,C
Walter Edge,R,NJ-SEN,71st,11/21/1929,Appointed to Hoover administration,U.S. Congress,C
Thomas Williams,R,IL-24,71st,11/11/1929,Appointed federal judge,U.S. Congress,C
Walter Newton,R,MN-05,71st,6/30/1929,Appointed to Hoover administration,U.S. Congress,C
Charles Curtis,R,KS-SEN,70th,3/3/1929,Elected vice president,U.S. Congress,C
Clarence MacGregor,R,NY-41,70th,12/31/1928,Elected New York Supreme Court justice,U.S. Congress,C
Theodore Burton,R,OH-22,70th,12/15/1928,Elected U.S. senator,U.S. Congress,C
Coleman du Pont,R,DE-SEN,70th,12/9/1928,Ill health,"""The Polluters""",E
William Bowling,D,AL-05,70th,8/16/1928,Appointed Alabama judge,U.S. Congress,C
Nicholas Sinnott,R,OR-02,70th,5/31/1928,Appointed federal judge,U.S. Congress,C
William Green,R,IA-09,70th,3/31/1928,Appointed federal judge,U.S. Congress,C
James Hazlett,R,PA-01,70th,10/20/1927,"Hard to find, but probably elected Philadelphia recorder of deeds?",Scranton Republican,C
Harry Hawes,D,MO-11,69th,10/15/1926,To focus on his run for Senate,U.S. Congress,C
Smith Brookhart,R,IA-SEN,69th,4/12/1926,His election was successfully contested & overturned,U.S. Congress,I
John Langley,R,KY-10,69th,1/11/1926,Convicted of violating Prohibition laws,Lexington Herald-Leader,B
George Young,R,ND-02,68th,9/2/1924,Appointed federal judge,U.S. Congress,C
William Graham,R,IL-14,68th,6/7/1924,Appointed federal judge,U.S. Congress,C
William Fields,D,KY-09,68th,12/11/1923,Elected Kentucky governor,U.S. Congress,C
Porter Dale,R,VT-02,68th,8/11/1923,To focus on his run for Senate,U.S. Congress,C
Stanley Webster,R,WA-05,68th,5/8/1923,Appointed federal judge,Spokane Spokesman-Review,C
Horace Towner,R,IA-08,68th,4/1/1923,Appointed Puerto Rico governor,U.S. Congress,C
William Vare,R,PA-01,67th,1/2/1923,Elected to PA State Senate,Reading Times,C
Thomas Harrison,D,VA-07,67th,12/15/1922,His election was successfully contested & overturned,U.S. Congress,I
Frank Millspaugh,R,MO-01,67th,12/5/1922,Appointed state finance commissioner,Jefferson City Post-Tribune,C
Truman Newberry,R,MI-SEN,67th,11/18/1922,Faced a vigorous election challenge due to his unethical campaign,U.S. Senate,B
Joseph Walsh,R,MA-16,67th,8/2/1922,Appointed Massachusetts judge,U.S. Congress,C
Frank Reavis,R,NE-01,67th,6/3/1922,Appointed to Harding administration,U.S. Congress,C
Alanson Houghton,R,NY-37,67th,2/28/1922,Appointed to Harding administration,U.S. Congress,C
William Kenyon,R,IA-SEN,67th,2/24/1922,Appointed federal judge,University of Iowa,C
John Peters,R,ME-03,67th,1/2/1922,Appointed federal judge,Maine: An Encyclopedia,C
Josiah Wolcott,D,DE-SEN,67th,7/2/1921,Appointed Delaware chancellor,U.S. Congress,C
Willfred Lufkin,R,MA-06,67th,6/30/1921,Appointed collector of customs at Port of Boston,U.S. Congress,C
James Good,R,IA-05,67th,6/15/1921,Took a job with a Chicago law firm,New York Times,D
Albert Fall,R,NM-SEN,67th,3/4/1921,Appointed to Harding administration,U.S. Congress,C
Patrick McLane,D,PA-10,66th,2/25/1921,His election was successfully contested & overturned,U.S. Congress,I
John Nugent,D,ID-SEN,66th,1/14/1921,Appointed to Wilson administration,Spokane Spokesman-Review,C
Warren Harding,R,OH-SEN,66th,1/13/1921,Elected president,U.S. Congress,C
Alvan Fuller,R,MA-09,66th,1/5/1921,Elected Massachusetts lieutenant governor,U.S. Congress,C
John MacCrate,R,NY-03,66th,12/30/1920,Elected New York Supreme Court justice,U.S. Congress,C
Thomas Heflin,D,AL-05,66th,11/1/1920,To focus on his run for Senate,U.S. Congress,C
Edmund Platt,R,NY-26,66th,6/7/1920,Appointed to Federal Reserve,U.S. Congress,C
Edward Saunders,D,VA-05,66th,2/29/1920,Elected Virginia judge,U.S. Congress,C
Hampton Moore,R,PA-03,66th,1/4/1920,Elected Philadelphia mayor,U.S. Congress,C
Reuben Haskell,R,NY-10,66th,12/31/1919,Elected Kings County judge,U.S. Congress,C
Fiorello La Guardia,R,NY-14,66th,12/31/1919,Elected New York City Board of Aldermen president,U.S. Congress,C
Joshua Alexander,D,MO-03,66th,12/15/1919,Appointed to Wilson administration,U.S. Congress,C
Edwin Webb,D,NC-09,66th,11/10/1919,Appointed federal judge,U.S. Congress,C
John F. Fitzgerald,D,MA-10,66th,10/23/1919,His election was successfully contested & overturned,U.S. Congress,I
Frank Lever,D,SC-07,66th,8/1/1919,Appointed to Federal Farm Loan Board,U.S. Congress,C
James Wilson,D,TX-12,65th,3/3/1919,Appointed federal judge,U.S. Congress,C
Charles Carlin,D,VA-08,65th,3/3/1919,Returned to his law practice,Washington Post,D
Zebulon Weaver,D,NC-10,65th,3/1/1919,His election was successfully contested & overturned,U.S. Congress,I
Harry Dale,D,NY-04,65th,1/6/1919,Appointed New York judge,U.S. Congress,C
John R.K. Scott,R,PA-AL,65th,1/5/1919,"Unclear, but sounds like he was elected to PA State House",Pennsylvania House of Representatives,C
Frederick Mulkey,R,OR-SEN,65th,12/17/1918,Resigned early to give successor seniority (was always meant as a caretaker),Oregon Blue Book,G
Carter Glass,D,VA-06,65th,12/16/1918,Appointed to Wilson administration,U.S. Congress,C
Irvine Lenroot,R,WI-11,65th,4/17/1918,Elected U.S. senator,U.S. Congress,C
Murray Hulbert,D,NY-21,65th,1/1/1918,Appointed director of Port of New York City,U.S. Congress,C
John J. Fitzgerald,D,NY-07,65th,12/31/1917,Resumed practicing law,U.S. Congress,D
Daniel Griffin,D,NY-08,65th,12/31/1917,Elected Kings County sheriff,U.S. Congress,C
Henry Bruckner,D,NY-22,65th,12/31/1917,Elected Bronx borough president,U.S. Congress,C
William Adamson,D,GA-04,65th,12/18/1917,Appointed federal judge,U.S. Congress,C
Mark Bacon,R,MI-02,65th,12/13/1917,His election was successfully contested & overturned,U.S. Congress,I
Augustus Gardner,R,MA-06,65th,5/15/1917,Joined the Army,U.S. Congress,H
Orrin Bleakley,R,PA-28,65th,4/3/1917,Convicted of spending too much money on his campaign,PoliticsPA,B
James Hay,D,VA-07,64th,10/1/1916,Appointed federal judge,New York Times,C
William Stephens,R,CA-10,64th,7/22/1916,Appointed California lieutenant governor,U.S. Congress,C
Joseph Johnson,D,SC-04,64th,4/19/1915,Appointed federal judge,Find a Grave,C
Eugene Kinkead,D,NJ-08,63rd,2/4/1915,"Elected Hudson County sheriff, right to vote in House challenged",Christian Science Monitor,C
Timothy Ansberry,D,OH-05,63rd,1/9/1915,Appointed Ohio judge,U.S. Congress,C
Frank Willis,R,OH-08,63rd,1/9/1915,Elected Ohio governor,U.S. Congress,C
Winfield Hammond,D,MN-02,63rd,1/6/1915,Elected Minnesota governor,U.S. Congress,C
Denis O'Leary,D,NY-02,63rd,12/31/1914,Elected Queens district attorney,New York Times,C
Thomas Hardwick,D,GA-10,63rd,11/2/1914,To focus on his run for Senate,U.S. Congress,C
Walter McCoy,D,NJ-09,63rd,10/3/1914,Appointed federal judge,U.S. Congress,C
Harry Covington,D,MD-01,63rd,9/30/1914,Appointed federal judge,U.S. Congress,C
William Murray,D,MA-10,63rd,9/28/1914,Appointed postmaster of Boston,U.S. Congress,C
Andrew Peters,D,MA-11,63rd,8/15/1914,Appointed to Wilson administration,U.S. Congress,C
William Sharp,D,OH-14,63rd,7/23/1914,Appointed to Wilson administration,U.S. Congress,C
James McDermott,D,IL-04,63rd,7/21/1914,"Implicated in lobbying scandal, resigned to avoid expulsion ",Sacramento Union,B
L.C. Dyer,R,MO-12,63rd,6/19/1914,His election was successfully contested & overturned,U.S. Congress,I
Henry Clayton,D,AL-03,63rd,5/25/1914,Appointed federal judge,U.S. Congress,C
James Michael Curley,D,MA-12,63rd,2/4/1914,Elected Boston mayor,U.S. Congress,C
Francis Harrison,D,NY-20,63rd,9/1/1913,Appointed Philippines governor,U.S. Congress,C
John W. Davis,D,WV-01,63rd,8/29/1913,Appointed to Wilson administration,U.S. Congress,C
Olin Young,R,MI-12,63rd,5/16/1913,Turned out votes were miscounted & he didn't win election,Congressional Record,I
Albert Burleson,D,TX-10,63rd,3/6/1913,Appointed to Wilson administration,U.S. Congress,C
John Weeks,R,MA-12,62nd,3/4/1913,Elected U.S. senator,U.S. Congress,C
Morris Sheppard,D,TX-01,62nd,2/3/1913,Elected U.S. senator,U.S. Congress,C
Joe T. Robinson,D,AR-06,62nd,1/14/1913,Elected Arkansas governor,U.S. Congress,C
James Cox,D,OH-03,62nd,1/12/1913,Elected Ohio governor,U.S. Congress,C
L.B. Hanna,R,ND-AL,62nd,1/7/1913,Elected North Dakota governor,U.S. Congress,C
Joseph Bailey,D,TX-SEN,62nd,1/3/1913,Retired; left early in disgust at election of progressive Wilson,"""Joe Bailey, the Last Democrat"" (p. 316)",F & G
Bill Sulzer,D,NY-10,62nd,12/31/1912,Elected New York governor,U.S. Congress,C
Charles Bowman,R,PA-11,62nd,12/12/1912,His election was successfully contested & overturned,U.S. Congress,I
William Hughes,D,NJ-06,62nd,9/27/1912,Appointed New Jersey judge,U.S. Congress,C
Theron Catlin,R,MO-11,62nd,8/12/1912,His election was successfully contested & overturned,U.S. Congress,I
William Lorimer,R,IL-SEN,62nd,7/13/1912,Election declared invalid,U.S. Senate,I
Joseph Terrell,D,GA-SEN,62nd,7/14/1911,Had a stroke,University of Georgia,E
Walter Smith,R,IA-09,62nd,3/15/1911,Appointed federal judge,U.S. Congress,C
Asle Gronna,R,ND-AL,61st,2/2/1911,Elected U.S. senator,U.S. Congress,C
