Song Clean,ARTIST CLEAN,Release Year,COMBINED,First?,Year?,PlayCount,F*G
I Want You to Want Me,Cheap Trick,1977,I Want You to Want Me by Cheap Trick,1,1,110,110
She's Tight,Cheap Trick,,She's Tight by Cheap Trick,1,0,1,0
Surrender,Cheap Trick,1978,Surrender by Cheap Trick,1,1,57,57
Take Out The Gunman,Chevelle,2014,Take Out The Gunman by Chevelle,1,1,4,4
25 Or 6 To 4,Chicago,1970,25 Or 6 To 4 by Chicago,1,1,14,14
Beginnings,Chicago,,Beginnings by Chicago,1,0,1,0
Feeling Stronger Every,Chicago,1973,Feeling Stronger Every by Chicago,1,1,2,2
I'm a Man,Chicago,,I'm a Man by Chicago,1,0,1,0
JUST YOU AND ME,Chicago,,JUST YOU AND ME by Chicago,1,0,1,0
Make Me Smile,Chicago,1970,Make Me Smile by Chicago,1,1,1,1
Questions 67 and 68,Chicago,1969,Questions 67 and 68 by Chicago,1,1,1,1
Saturday In the Park,Chicago,1972,Saturday In the Park by Chicago,1,1,2,2
South California Purples,Chicago,,South California Purples by Chicago,1,0,1,0
JOHNNY B. GOODE,Chuck Berry,1958,JOHNNY B. GOODE by Chuck Berry,1,1,2,2
Coming Home,Cinderella,1988,Coming Home by Cinderella,1,1,1,1
Don't Know What You Got,Cinderella,1988,Don't Know What You Got by Cinderella,1,1,3,3
Gypsy Road,Cinderella,1988,Gypsy Road by Cinderella,1,1,1,1
Nobody's Fool,Cinderella,1986,Nobody's Fool by Cinderella,1,1,9,9
Somebody Save Me,Cinderella,1986,Somebody Save Me by Cinderella,1,1,1,1
Better Off Without You,Clarks,,Better Off Without You by Clarks,1,0,2,0
Born Too Late,Clarks,,Born Too Late by Clarks,1,0,2,0
Cigarette,Clarks,,Cigarette by Clarks,1,0,4,0
Hey You,Clarks,,Hey You by Clarks,1,0,1,0
Maybe,Clarks,,Maybe by Clarks,1,0,2,0
Penny On The Floor,Clarks,,Penny On The Floor by Clarks,1,0,1,0
The River,Clarks,,The River by Clarks,1,0,5,0
December,Collective Soul,,December by Collective Soul,1,0,8,0
Shine,Collective Soul,1993,Shine by Collective Soul,1,1,20,20
The World I Know,Collective Soul,1995,The World I Know by Collective Soul,1,1,1,1
Hot Rod Lincoln,Commander Cody,1971,Hot Rod Lincoln by Commander Cody,1,1,2,2
Monkey Bars,Coney Hatch,,Monkey Bars by Coney Hatch,1,0,1,0
Mr. Jones,Counting Crows,1993,Mr. Jones by Counting Crows,1,1,2,2
Low,Cracker,1993,Low by Cracker,1,1,2,2
Badge,Cream,1969,Badge by Cream,1,1,13,13
Born Under A Bad Sign,Cream,,Born Under A Bad Sign by Cream,1,0,9,0
Crossroads,Cream,1968,Crossroads by Cream,1,1,22,22
I'm So Glad,Cream,1966,I'm So Glad by Cream,1,1,1,1
Sunshine of Your Love,Cream,1967,Sunshine of Your Love by Cream,1,1,11,11
Tales Of Brave Ulysses,Cream,1967,Tales Of Brave Ulysses by Cream,1,1,1,1
White Room,Cream,1968,White Room by Cream,1,1,68,68
Higher,Creed,1999,Higher by Creed,1,1,4,4
My Sacrifice,Creed,,My Sacrifice by Creed,1,0,2,0
With Arms Wide Open,Creed,1999,With Arms Wide Open by Creed,1,1,1,1
Bad Moon Rising,Creedence Clearwater Revival,1969,Bad Moon Rising by Creedence Clearwater Revival,1,1,32,32
Born On the Bayou,Creedence Clearwater Revival,1969,Born On the Bayou by Creedence Clearwater Revival,1,1,25,25
Commotion,Creedence Clearwater Revival,,Commotion by Creedence Clearwater Revival,1,0,1,0
Down On the Corner,Creedence Clearwater Revival,1969,Down On the Corner by Creedence Clearwater Revival,1,1,30,30
Fortunate Son,Creedence Clearwater Revival,1970,Fortunate Son by Creedence Clearwater Revival,1,1,33,33
Green River,Creedence Clearwater Revival,1969,Green River by Creedence Clearwater Revival,1,1,3,3
Have You Ever Seen the Rain?,Creedence Clearwater Revival,1971,Have You Ever Seen the Rain? by Creedence Clearwater Revival,1,1,57,57
I Heard It Through the Grapevine,Creedence Clearwater Revival,,I Heard It Through the Grapevine by Creedence Clearwater Revival,1,0,8,0
Lodi,Creedence Clearwater Revival,1969,Lodi by Creedence Clearwater Revival,1,1,5,5
Lookin' Out My Back Door,Creedence Clearwater Revival,1970,Lookin' Out My Back Door by Creedence Clearwater Revival,1,1,20,20
Proud Mary,Creedence Clearwater Revival,1969,Proud Mary by Creedence Clearwater Revival,1,1,48,48
Run Through the Jungle,Creedence Clearwater Revival,1970,Run Through the Jungle by Creedence Clearwater Revival,1,1,14,14
Suzie Q,Creedence Clearwater Revival,1968,Suzie Q by Creedence Clearwater Revival,1,1,8,8
Sweet Hitch Hiker,Creedence Clearwater Revival,1971,Sweet Hitch Hiker by Creedence Clearwater Revival,1,1,1,1
The Midnight Special,Creedence Clearwater Revival,,The Midnight Special by Creedence Clearwater Revival,1,0,1,0
Travelin' Band,Creedence Clearwater Revival,1970,Travelin' Band by Creedence Clearwater Revival,1,1,12,12
Up Around the Bend,Creedence Clearwater Revival,1970,Up Around the Bend by Creedence Clearwater Revival,1,1,10,10
Who'll Stop the Rain,Creedence Clearwater Revival,1970,Who'll Stop the Rain by Creedence Clearwater Revival,1,1,24,24
Fire Woman,"Crosby, Stills & Nash",,"Fire Woman by Crosby, Stills & Nash",1,0,1,0
Helplessly Hoping,"Crosby, Stills & Nash",1969,"Helplessly Hoping by Crosby, Stills & Nash",1,1,1,1
Long Time Gone,"Crosby, Stills & Nash",1969,"Long Time Gone by Crosby, Stills & Nash",1,1,1,1
Southern Cross,"Crosby, Stills & Nash",1982,"Southern Cross by Crosby, Stills & Nash",1,1,9,9
Suite: Judy Blue Eyes,"Crosby, Stills & Nash",1969,"Suite: Judy Blue Eyes by Crosby, Stills & Nash",1,1,10,10
Carry On,"Crosby, Stills, Nash & Young",1970,"Carry On by Crosby, Stills, Nash & Young",1,1,6,6
Ohio,"Crosby, Stills, Nash & Young",1970,"Ohio by Crosby, Stills, Nash & Young",1,1,6,6
Woodstock,"Crosby, Stills, Nash & Young",1970,"Woodstock by Crosby, Stills, Nash & Young",1,1,37,37
(I Just) Died in Your Arms,Cutting Crew,1986,(I Just) Died in Your Arms by Cutting Crew,1,1,3,3
High Enough,Damn Yankees,1990,High Enough by Damn Yankees,1,1,1,1
I HEAR YOU KNOCKING,Dave Edmunds,1970,I HEAR YOU KNOCKING by Dave Edmunds,1,1,1,1
Headkeeper,Dave Mason,,Headkeeper by Dave Mason,1,0,1,0
Only You Know And I Know,Dave Mason,,Only You Know And I Know by Dave Mason,1,0,1,0
We Just Disagree,Dave Mason,1977,We Just Disagree by Dave Mason,1,1,1,1
Welcome To The Boomtown,David & David,1986,Welcome To The Boomtown by David & David,1,1,1,1
Changes,David Bowie,1971,Changes by David Bowie,1,1,33,33
China Girl,David Bowie,1983,China Girl by David Bowie,1,1,5,5
Diamond Dogs,David Bowie,1974,Diamond Dogs by David Bowie,1,1,1,1
Fame,David Bowie,1975,Fame by David Bowie,1,1,59,59
Fashion,David Bowie,1980,Fashion by David Bowie,1,1,17,17
Friday on My Mind,David Bowie,,Friday on My Mind by David Bowie,1,0,1,0
Golden Years,David Bowie,1975,Golden Years by David Bowie,1,1,10,10
Heroes,David Bowie,1977,Heroes by David Bowie,1,1,3,3
Jean Genie,David Bowie,,Jean Genie by David Bowie,1,0,5,0
Let's Dance,David Bowie,1983,Let's Dance by David Bowie,1,1,20,20
Modern Love,David Bowie,1983,Modern Love by David Bowie,1,1,10,10
Panic in Detroit,David Bowie,,Panic in Detroit by David Bowie,1,0,1,0
Rebel Rebel,David Bowie,1974,Rebel Rebel by David Bowie,1,1,43,43
Space Oddity,David Bowie,1969,Space Oddity by David Bowie,1,1,47,47
Starman,David Bowie,1972,Starman by David Bowie,1,1,1,1
Stay,David Bowie,,Stay by David Bowie,1,0,1,0
Suffragette City,David Bowie,1972,Suffragette City by David Bowie,1,1,18,18
Young Americans,David Bowie,1975,Young Americans by David Bowie,1,1,26,26
Ziggy Stardust,David Bowie,1972,Ziggy Stardust by David Bowie,1,1,7,7
Rock On,David Essex,1974,Rock On by David Essex,1,1,33,33
There's No Way Out Of Here,David Essex,,There's No Way Out Of Here by David Essex,1,0,1,0
There's No Way Out Of Here,David Gilmour,,There's No Way Out Of Here by David Gilmour,1,0,3,0
Frenchette,David Johansen,,Frenchette by David Johansen,1,0,1,0
California Girls,David Lee Roth,,California Girls by David Lee Roth,1,0,2,0
Just A Gigolo / I Ain't Got Nobody,David Lee Roth,1985,Just A Gigolo / I Ain't Got Nobody by David Lee Roth,1,1,8,8
Yankee Rose,David Lee Roth,1986,Yankee Rose by David Lee Roth,1,1,8,8
Burn,Deep Purple,1974,Burn by Deep Purple,1,1,1,1
Child In Time,Deep Purple,1970,Child In Time by Deep Purple,1,1,1,1
Highway Star,Deep Purple,1972,Highway Star by Deep Purple,1,1,22,22
Hush,Deep Purple,1968,Hush by Deep Purple,1,1,14,14
Kentucky Woman,Deep Purple,1968,Kentucky Woman by Deep Purple,1,1,2,2
Knocking At Your Backdoo,Deep Purple,1984,Knocking At Your Backdoo by Deep Purple,1,1,1,1
Lazy,Deep Purple,1972,Lazy by Deep Purple,1,1,1,1
Perfect Strangers,Deep Purple,,Perfect Strangers by Deep Purple,1,0,2,0
Smoke On The Water,Deep Purple,1972,Smoke On The Water by Deep Purple,1,1,43,43
Space Truckin',Deep Purple,,Space Truckin' by Deep Purple,1,0,22,0
Woman From Tokyo,Deep Purple,,Woman From Tokyo by Deep Purple,1,0,42,0
Animal,Def Leppard,1987,Animal by Def Leppard,1,1,35,35
Armageddon It,Def Leppard,1987,Armageddon It by Def Leppard,1,1,23,23
Bringin' On The Heartbreak,Def Leppard,,Bringin' On The Heartbreak by Def Leppard,1,0,35,0
Foolin',Def Leppard,,Foolin' by Def Leppard,1,0,71,0
Hysteria,Def Leppard,1987,Hysteria by Def Leppard,1,1,24,24
Love Bites,Def Leppard,1987,Love Bites by Def Leppard,1,1,25,25
On Through The Night,Def Leppard,,On Through The Night by Def Leppard,1,0,1,0
Photograph,Def Leppard,1983,Photograph by Def Leppard,1,1,88,88
Pour Some Sugar On Me,Def Leppard,1987,Pour Some Sugar On Me by Def Leppard,1,1,70,70
Rock of Ages,Def Leppard,1983,Rock of Ages by Def Leppard,1,1,65,65
Rock Rock,Def Leppard,,Rock Rock by Def Leppard,1,0,1,0
Rocket,Def Leppard,1987,Rocket by Def Leppard,1,1,15,15
Too Late for Love,Def Leppard,,Too Late for Love by Def Leppard,1,0,27,0
Enjoy the Silence,Depeche Mode,1990,Enjoy the Silence by Depeche Mode,1,1,2,2
Bell Bottom Blues,Derek & The Dominos,1970,Bell Bottom Blues by Derek & The Dominos,1,1,4,4
Have You Ever Loved a Woman,Derek & The Dominos,,Have You Ever Loved a Woman by Derek & The Dominos,1,0,1,0
Layla,Derek & The Dominos,1970,Layla by Derek & The Dominos,1,1,99,99
Recognition,Detective,,Recognition by Detective,1,0,1,0
ANGELOS,Dick Siegel,,ANGELOS by Dick Siegel,1,0,1,0
Holy Diver,Dio,,Holy Diver by Dio,1,0,7,0
Rainbow In the Dark,Dio,,Rainbow In the Dark by Dio,1,0,22,0
The Last In Line,Dio,,The Last In Line by Dio,1,0,18,0
Brothers In Arms,Dire Straits,1985,Brothers In Arms by Dire Straits,1,1,14,14
Down To The Waterline,Dire Straits,1978,Down To The Waterline by Dire Straits,1,1,12,12
Expresso Love,Dire Straits,1980,Expresso Love by Dire Straits,1,1,10,10
Industrial Disease,Dire Straits,1982,Industrial Disease by Dire Straits,1,1,21,21
Lady Writer,Dire Straits,1979,Lady Writer by Dire Straits,1,1,2,2
Money for Nothing,Dire Straits,1985,Money for Nothing by Dire Straits,1,1,56,56
Romeo And Juliet,Dire Straits,1980,Romeo And Juliet by Dire Straits,1,1,8,8
So Far Away,Dire Straits,1985,So Far Away by Dire Straits,1,1,25,25
Solid Rock,Dire Straits,,Solid Rock by Dire Straits,1,0,4,0
Sultans of Swing,Dire Straits,1978,Sultans of Swing by Dire Straits,1,1,79,79
Walk of Life,Dire Straits,1985,Walk of Life by Dire Straits,1,1,15,15
Counting Blue Cars,Dishwalla,1995,Counting Blue Cars by Dishwalla,1,1,3,3
Drift Away,Dobie Gray,1973,Drift Away by Dobie Gray,1,1,22,22
Alone Again,Dokken,,Alone Again by Dokken,1,0,1,0
In My Dreams,Dokken,,In My Dreams by Dokken,1,0,4,0
Into The Fire,Dokken,,Into The Fire by Dokken,1,0,1,0
Heavy Metal,Don Felder,1981,Heavy Metal by Don Felder,1,1,12,12
All She Wants to Do Is Dance,Don Henley,1985,All She Wants to Do Is Dance by Don Henley,1,1,10,10
Dirty Laundry,Don Henley,1982,Dirty Laundry by Don Henley,1,1,37,37
Sunset Grill,Don Henley,1985,Sunset Grill by Don Henley,1,1,6,6
The Boys Of Summer,Don Henley,1985,The Boys Of Summer by Don Henley,1,1,73,73
The Heart of the Matter,Don Henley,1989,The Heart of the Matter by Don Henley,1,1,11,11
The Last Worthless Evening,Don Henley,,The Last Worthless Evening by Don Henley,1,0,1,0
American Pie,Don McLean,1971,American Pie by Don McLean,1,1,21,21
Ah! Leah!,Donnie Iris,1980,Ah! Leah! by Donnie Iris,1,1,13,13
Love Is Like A Rock,Donnie Iris,1981,Love Is Like A Rock by Donnie Iris,1,1,1,1
Season of the Witch,Donovan,1966,Season of the Witch by Donovan,1,1,1,1
Sunshine Superman,Donovan,1966,Sunshine Superman by Donovan,1,1,1,1
COVER OF THE ROLLING STONE,Dr. Hook & the Medicine Show,,COVER OF THE ROLLING STONE by Dr. Hook & the Medicine Show,1,0,2,0
Right Place Wrong Time,Dr. John,1973,Right Place Wrong Time by Dr. John,1,1,2,2
"Anything, Anything",Dramarama,,"Anything, Anything by Dramarama",1,0,2,0
"Hey, Hey (What Can I Do?)",Led Zeppelin,1970,"Hey, Hey (What Can I Do?) by Led Zeppelin",1,1,0,0
Rio,Duran Duran,1982,Rio by Duran Duran,1,1,1,1
Already Gone,Eagles,1974,Already Gone by Eagles,1,1,71,71
Desperado,Eagles,1973,Desperado by Eagles,1,1,5,5
Heartache Tonight,Eagles,1979,Heartache Tonight by Eagles,1,1,30,30
Hotel California,Eagles,1976,Hotel California by Eagles,1,1,109,109
I Can't Tell You Why,Eagles,1979,I Can't Tell You Why by Eagles,1,1,2,2
In The City,Eagles,1979,In The City by Eagles,1,1,44,44
Life in the Fast Lane,Eagles,1976,Life in the Fast Lane by Eagles,1,1,86,86
Lyin' Eyes,Eagles,1975,Lyin' Eyes by Eagles,1,1,27,27
New Kid In Town,Eagles,1976,New Kid In Town by Eagles,1,1,2,2
One of These Nights,Eagles,1975,One of These Nights by Eagles,1,1,48,48
Peaceful Easy Feeling,Eagles,1972,Peaceful Easy Feeling by Eagles,1,1,16,16
Seven Bridges Road,Eagles,1980,Seven Bridges Road by Eagles,1,1,14,14
Take It Easy,Eagles,1972,Take It Easy by Eagles,1,1,75,75
Take It to the Limit,Eagles,1975,Take It to the Limit by Eagles,1,1,39,39
Tequila Sunrise,Eagles,1973,Tequila Sunrise by Eagles,1,1,4,4
The Best of My Love,Eagles,1974,The Best of My Love by Eagles,1,1,4,4
The Long Run,Eagles,1979,The Long Run by Eagles,1,1,50,50
Those Shoes,Eagles,1979,Those Shoes by Eagles,1,1,14,14
Victim of Love,Eagles,1976,Victim of Love by Eagles,1,1,5,5
Witchy Woman,Eagles,1972,Witchy Woman by Eagles,1,1,14,14
Baby Hold On,Eddie Money,1977,Baby Hold On by Eddie Money,1,1,26,26
Gimme Some Water,Eddie Money,,Gimme Some Water by Eddie Money,1,0,8,0
Shakin',Eddie Money,,Shakin' by Eddie Money,1,0,56,0
Take Me Home Tonight,Eddie Money,1986,Take Me Home Tonight by Eddie Money,1,1,35,35
Think I'm In Love,Eddie Money,,Think I'm In Love by Eddie Money,1,0,22,0
Two Tickets To Paradise,Eddie Money,,Two Tickets To Paradise by Eddie Money,1,0,59,0
Frankenstein,Edgar Winter Group,,Frankenstein by Edgar Winter Group,1,0,58,0
Free Ride,Edgar Winter Group,1973,Free Ride by Edgar Winter Group,1,1,26,26
WAR,Edwin Starr,1970,WAR by Edwin Starr,1,1,2,2
CAN'T GET IT OUT OF MY HEAD,Electric Light Orchestra,1974,CAN'T GET IT OUT OF MY HEAD by Electric Light Orchestra,1,1,1,1
Do Ya,Electric Light Orchestra,,Do Ya by Electric Light Orchestra,1,0,27,0
Don't Bring Me Down,Electric Light Orchestra,1979,Don't Bring Me Down by Electric Light Orchestra,1,1,85,85
Evil Woman,Electric Light Orchestra,1975,Evil Woman by Electric Light Orchestra,1,1,42,42
Fire On High,Electric Light Orchestra,1975,Fire On High by Electric Light Orchestra,1,1,18,18
Livin' Thing,Electric Light Orchestra,1976,Livin' Thing by Electric Light Orchestra,1,1,12,12
Roll Over Beethoven,Electric Light Orchestra,,Roll Over Beethoven by Electric Light Orchestra,1,0,3,0
Strange Magic,Electric Light Orchestra,1985,Strange Magic by Electric Light Orchestra,1,1,5,5
Sweet Talkin' Woman,Electric Light Orchestra,1978,Sweet Talkin' Woman by Electric Light Orchestra,1,1,3,3
Telephone Line,Electric Light Orchestra,,Telephone Line by Electric Light Orchestra,1,0,1,0
Turn To Stone,Electric Light Orchestra,1978,Turn To Stone by Electric Light Orchestra,1,1,5,5
All The Girls Love Alice,Elton John,1973,All The Girls Love Alice by Elton John,1,1,1,1
Bennie And The Jets,Elton John,1973,Bennie And The Jets by Elton John,1,1,62,62
Candle in the Wind,Elton John,1973,Candle in the Wind by Elton John,1,1,14,14
Captain Fantastic,Elton John,1975,Captain Fantastic by Elton John,1,1,1,1
Crocodile Rock,Elton John,1972,Crocodile Rock by Elton John,1,1,7,7
DANIEL,Elton John,1973,DANIEL by Elton John,1,1,4,4
Don't Let The Sun Go Down On Me,Elton John,1974,Don't Let The Sun Go Down On Me by Elton John,1,1,1,1
Funeral for a Friend (Love Lies Bleeding),Elton John,1973,Funeral for a Friend (Love Lies Bleeding) by Elton John,1,1,5,5
Goodbye Yellow Brick Road,Elton John,1973,Goodbye Yellow Brick Road by Elton John,1,1,27,27
Harmony,Elton John,1973,Harmony by Elton John,1,1,1,1
Honky Cat,Elton John,1972,Honky Cat by Elton John,1,1,2,2
Levon,Elton John,1071,Levon by Elton John,1,1,8,8
Madman Across The Water,Elton John,1971,Madman Across The Water by Elton John,1,1,1,1
Rocket Man,Elton John,1972,Rocket Man by Elton John,1,1,68,68
Saturday Night's Alright for Fighting,Elton John,1973,Saturday Night's Alright for Fighting by Elton John,1,1,34,34
Someone Saved My Life Tonight,Elton John,1975,Someone Saved My Life Tonight by Elton John,1,1,4,4
Take Me to the Pilot,Elton John,,Take Me to the Pilot by Elton John,1,0,1,0
Teacher I Need You,Elton John,,Teacher I Need You by Elton John,1,0,1,0
THE BITCH IS BACK,Elton John,1974,THE BITCH IS BACK by Elton John,1,1,1,1
Tiny Dancer,Elton John,1971,Tiny Dancer by Elton John,1,1,51,51
Where To Now St. Peter,Elton John,1970,Where To Now St. Peter by Elton John,1,1,1,1
Your Song,Elton John,1970,Your Song by Elton John,1,1,17,17
Fooled around and Fell in Love,Elvin Bishop,1975,Fooled around and Fell in Love by Elvin Bishop,1,1,1,1
Alison,Elvis Costello,1977,Alison by Elvis Costello,1,1,13,13
Pump It Up,Elvis Costello,1978,Pump It Up by Elvis Costello,1,1,3,3
Veronica,Elvis Costello,1989,Veronica by Elvis Costello,1,1,8,8
From the Beginning,"Emerson, Lake & Palmer",1972,"From the Beginning by Emerson, Lake & Palmer",1,1,1,1
Hoedown,"Emerson, Lake & Palmer",,"Hoedown by Emerson, Lake & Palmer",1,0,1,0
Karn Evil 9,"Emerson, Lake & Palmer",1973,"Karn Evil 9 by Emerson, Lake & Palmer",1,1,11,11
Lucky Man,"Emerson, Lake & Palmer",1970,"Lucky Man by Emerson, Lake & Palmer",1,1,8,8
Still You Turn Me On,"Emerson, Lake & Palmer",1973,"Still You Turn Me On by Emerson, Lake & Palmer",1,1,1,1
After Midnight,Eric Clapton,1970,After Midnight by Eric Clapton,1,1,16,16
Bad Love,Eric Clapton,1989,Bad Love by Eric Clapton,1,1,14,14
Call Me the Breeze,Eric Clapton,,Call Me the Breeze by Eric Clapton,1,0,3,0
Cocaine,Eric Clapton,1977,Cocaine by Eric Clapton,1,1,84,84
"Don't Think Twice, It's Alright",Eric Clapton,,"Don't Think Twice, It's Alright by Eric Clapton",1,0,1,0
Forever Man,Eric Clapton,1985,Forever Man by Eric Clapton,1,1,9,9
I Can't Stand It,Eric Clapton,1981,I Can't Stand It by Eric Clapton,1,1,9,9
I Shot The Sheriff,Eric Clapton,1974,I Shot The Sheriff by Eric Clapton,1,1,39,39
I've Got a Rock 'N' Roll Heart,Eric Clapton,,I've Got a Rock 'N' Roll Heart by Eric Clapton,1,0,3,0
It's In The Way That You Use It,Eric Clapton,1986,It's In The Way That You Use It by Eric Clapton,1,1,10,10
Knockin' On Heaven's Door,Eric Clapton,,Knockin' On Heaven's Door by Eric Clapton,1,0,16,0
Lay Down Sally,Eric Clapton,1977,Lay Down Sally by Eric Clapton,1,1,10,10
Layla,Eric Clapton,,Layla by Eric Clapton,1,0,0,0
Let It Grow,Eric Clapton,1974,Let It Grow by Eric Clapton,1,1,4,4
Let It Rain,Eric Clapton,1970,Let It Rain by Eric Clapton,1,1,24,24
Pretending,Eric Clapton,1989,Pretending by Eric Clapton,1,1,6,6
She's Waiting,Eric Clapton,1985,She's Waiting by Eric Clapton,1,1,3,3
Tears In Heaven,Eric Clapton,,Tears In Heaven by Eric Clapton,1,0,1,0
The Core,Eric Clapton,1977,The Core by Eric Clapton,1,1,1,1
Willie and the Hand Jive,Eric Clapton,,Willie and the Hand Jive by Eric Clapton,1,0,1,0
Wonderful Tonight,Eric Clapton,1977,Wonderful Tonight by Eric Clapton,1,1,15,15
Cliffs Of Dover,Eric Johnson,1990,Cliffs Of Dover by Eric Johnson,1,1,2,2
The Final Countdown,Europe,1986,The Final Countdown by Europe,1,1,5,5
Sweet Dreams (Are Made of This),Eurythmics,1982,Sweet Dreams (Are Made of This) by Eurythmics,1,1,2,2
Inside Out,Eve 6,,Inside Out by Eve 6,1,0,1,0
Santa Monica,Everclear,1996,Santa Monica by Everclear,1,1,2,2
The Boys Are Back In Town,Everclear,,The Boys Are Back In Town by Everclear,1,0,1,0
What It's Like,Everlast,1999,What It's Like by Everlast,1,1,4,4
More Than Words,Extreme,1991,More Than Words by Extreme,1,1,1,1
Mutha (Don't Wanna Go To School Today),Extreme,,Mutha (Don't Wanna Go To School Today) by Extreme,1,0,1,0
Ooh La La,Faces,1973,Ooh La La by Faces,1,1,1,1
Stay With Me,Faces,1971,Stay With Me by Faces,1,1,19,19
Epic,Faith No More,1989,Epic by Faith No More,1,1,3,3
House Of Pain,Faster Pussycat,1990,House Of Pain by Faster Pussycat,1,1,1,1
All The Kings Horses,Firm,,All The Kings Horses by Firm,1,0,1,0
Signs,Five Man Electrical Band,1970,Signs by Five Man Electrical Band,1,1,10,10
Blue Letter,Fleetwood Mac,,Blue Letter by Fleetwood Mac,1,0,1,0
Don't Stop,Fleetwood Mac,1977,Don't Stop by Fleetwood Mac,1,1,50,50
Dreams,Fleetwood Mac,1977,Dreams by Fleetwood Mac,1,1,53,53
Go Your Own Way,Fleetwood Mac,1977,Go Your Own Way by Fleetwood Mac,1,1,77,77
Gold Dust Woman,Fleetwood Mac,1977,Gold Dust Woman by Fleetwood Mac,1,1,37,37
Gypsy,Fleetwood Mac,1982,Gypsy by Fleetwood Mac,1,1,67,67
Hold Me,Fleetwood Mac,1982,Hold Me by Fleetwood Mac,1,1,1,1
Hypnotized,Fleetwood Mac,1973,Hypnotized by Fleetwood Mac,1,1,2,2
I Don't Want To Know,Fleetwood Mac,1977,I Don't Want To Know by Fleetwood Mac,1,1,3,3
I'm So Afraid,Fleetwood Mac,,I'm So Afraid by Fleetwood Mac,1,0,1,0
Landslide,Fleetwood Mac,1975,Landslide by Fleetwood Mac,1,1,29,29
Little Lies,Fleetwood Mac,1987,Little Lies by Fleetwood Mac,1,1,1,1
Monday Morning,Fleetwood Mac,1975,Monday Morning by Fleetwood Mac,1,1,30,30
Never Going Back Again,Fleetwood Mac,1977,Never Going Back Again by Fleetwood Mac,1,1,1,1
Oh Well,Fleetwood Mac,1969,Oh Well by Fleetwood Mac,1,1,10,10
Rhiannon,Fleetwood Mac,1975,Rhiannon by Fleetwood Mac,1,1,48,48
Sara,Fleetwood Mac,1980,Sara by Fleetwood Mac,1,1,1,1
Say You Love Me,Fleetwood Mac,,Say You Love Me by Fleetwood Mac,1,0,9,0
Second Hand News,Fleetwood Mac,1977,Second Hand News by Fleetwood Mac,1,1,4,4
Sentimental Lady,Fleetwood Mac,,Sentimental Lady by Fleetwood Mac,1,0,1,0
The Chain,Fleetwood Mac,1977,The Chain by Fleetwood Mac,1,1,65,65
Tusk,Fleetwood Mac,1979,Tusk by Fleetwood Mac,1,1,6,6
World Turning,Fleetwood Mac,,World Turning by Fleetwood Mac,1,0,6,0
You Make Loving Fun,Fleetwood Mac,1977,You Make Loving Fun by Fleetwood Mac,1,1,31,31
Hocus Pocus,Focus,1971,Hocus Pocus by Focus,1,1,6,6
Dreamer,Foghat,,Dreamer by Foghat,1,0,2,0
Fool For The City,Foghat,1975,Fool For The City by Foghat,1,1,26,26
I Just Want To Make Love To You,Foghat,,I Just Want To Make Love To You by Foghat,1,0,25,0
Slow Ride,Foghat,1975,Slow Ride by Foghat,1,1,77,77
All My Life,Foo Fighters,2002,All My Life by Foo Fighters,1,1,2,2
Baker Street,Foo Fighters,,Baker Street by Foo Fighters,1,0,1,0
Best of You,Foo Fighters,2005,Best of You by Foo Fighters,1,1,1,1
Everlong,Foo Fighters,1997,Everlong by Foo Fighters,1,1,6,6
Learn To Fly,Foo Fighters,1999,Learn To Fly by Foo Fighters,1,1,10,10
Monkey Wrench,Foo Fighters,1997,Monkey Wrench by Foo Fighters,1,1,3,3
My Hero,Foo Fighters,1997,My Hero by Foo Fighters,1,1,7,7
The Pretender,Foo Fighters,2007,The Pretender by Foo Fighters,1,1,1,1
These Days,Foo Fighters,2011,These Days by Foo Fighters,1,1,2,2
Times Like These,Foo Fighters,2002,Times Like These by Foo Fighters,1,1,1,1
"Blue Morning, Blue Day",Foreigner,,"Blue Morning, Blue Day by Foreigner",1,0,52,0
Cold As Ice,Foreigner,1977,Cold As Ice by Foreigner,1,1,102,102
Dirty White Boy,Foreigner,1979,Dirty White Boy by Foreigner,1,1,17,17
Double Vision,Foreigner,1978,Double Vision by Foreigner,1,1,83,83
Feels Like the First Time,Foreigner,1977,Feels Like the First Time by Foreigner,1,1,75,75
Head Games,Foreigner,,Head Games by Foreigner,1,0,43,0
Hot Blooded,Foreigner,1978,Hot Blooded by Foreigner,1,1,82,82
I Want to Know What Love Is,Foreigner,1984,I Want to Know What Love Is by Foreigner,1,1,4,4
Juke Box Hero,Foreigner,1981,Juke Box Hero by Foreigner,1,1,75,75
"Long, Long Way From Home",Foreigner,,"Long, Long Way From Home by Foreigner",1,0,34,0
Love Has Taken Its Toll,Foreigner,,Love Has Taken Its Toll by Foreigner,1,0,1,0
Starrider,Foreigner,,Starrider by Foreigner,1,0,1,0
That Was Yesterday,Foreigner,1984,That Was Yesterday by Foreigner,1,1,4,4
Urgent,Foreigner,1981,Urgent by Foreigner,1,1,61,61
Waiting for a Girl Like You,Foreigner,1981,Waiting for a Girl Like You by Foreigner,1,1,5,5
Women,Foreigner,,Women by Foreigner,1,0,1,0
Joe's Garage,Frank Zappa,1979,Joe's Garage by Frank Zappa,1,1,1,1
Peaches En Regalia,Frank Zappa,,Peaches En Regalia by Frank Zappa,1,0,1,0
