RespondentID,"Generally speaking, how would you rate your level of knowledgeÊof cuisines from different parts of the world?","How much, if at all, are you interested in cuisines from different parts of the world?",Please rate how much you like the traditional cuisine of Algeria:,Please rate how much you like the traditional cuisine of Argentina.,Please rate how much you like the traditional cuisine ofÊAustralia.,Please rate how much you like the traditional cuisine of Belgium.,Please rate how much you like the traditional cuisine of Bosnia and Herzegovina.,Please rate how much you like the traditional cuisine of Brazil.,Please rate how much you like the traditional cuisine of Cameroon.,Please rate how much you like the traditional cuisine of Chile.,Please rate how much you like the traditional cuisine of Colombia.,Please rate how much you like the traditional cuisine of Costa Rica.,Please rate how much you like the traditional cuisine of Croatia.,Please rate how much you like the traditional cuisine of Ecuador.,Please rate how much you like the traditional cuisine of England.,Please rate how much you like the traditional cuisine of France.,Please rate how much you like the traditional cuisine of Germany.,Please rate how much you like the traditional cuisine of Ghana.,Please rate how much you like the traditional cuisine of Greece.,Please rate how much you like the traditional cuisine of Honduras.,Please rate how much you like the traditional cuisine of Iran.,Please rate how much you like the traditional cuisine of Italy.,Please rate how much you like the traditional cuisine of Ivory Coast.,Please rate how much you like the traditional cuisine of Japan.,Please rate how much you like the traditional cuisine of Mexico.,Please rate how much you like the traditional cuisine of the Netherlands.,Please rate how much you like the traditional cuisine of Nigeria.,Please rate how much you like the traditional cuisine of Portugal.,Please rate how much you like the traditional cuisine of Russia.,Please rate how much you like the traditional cuisine of South Korea.,Please rate how much you like the traditional cuisine of Spain.,Please rate how much you like the traditional cuisine of Switzerland.,Please rate how much you like the traditional cuisine of United States.,Please rate how much you like the traditional cuisine of Uruguay.,Please rate how much you like the traditional cuisine of China.,Please rate how much you like the traditional cuisine of India.,Please rate how much you like the traditional cuisine of Thailand.,Please rate how much you like the traditional cuisine of Turkey.,Please rate how much you like the traditional cuisine of Cuba.,Please rate how much you like the traditional cuisine of Ethiopia.,Please rate how much you like the traditional cuisine of Vietnam.,Please rate how much you like the traditional cuisine of Ireland.,Gender,Age,Household Income,Education,Location (Census Region)
3308515754,Intermediate,A lot,N/A,N/A,3,N/A,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,4,5,4,N/A,4,N/A,N/A,5,N/A,4,4,4,N/A,N/A,3,4,3,N/A,4,N/A,5,5,4,4,N/A,4,3,4,Female,> 60,"$50,000 - $99,999",Bachelor degree,South Atlantic
3308515696,Novice,Not muchÊ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,4,3,N/A,N/A,N/A,N/A,5,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,4,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,3,Female,45-60,"$25,000 - $49,999",Bachelor degree,Middle Atlantic
3308514652,Novice,Some,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3308514506,Novice,Some,N/A,N/A,4,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4,N/A,N/A,4,N/A,4,5,N/A,N/A,N/A,N/A,N/A,4,N/A,5,N/A,4,4,4,N/A,4,4,N/A,N/A,Female,45-60,,Some college or Associate degree,Middle Atlantic
3308513723,Novice,Not muchÊ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,N/A,N/A,N/A,N/A,4,3,N/A,N/A,3,N/A,N/A,5,N/A,3,4,N/A,N/A,N/A,N/A,N/A,3,N/A,5,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,3,Female,30-44,"$25,000 - $49,999",Bachelor degree,South Atlantic
3308513693,Intermediate,Some,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,5,5,N/A,5,N/A,4,5,N/A,4,5,N/A,N/A,N/A,N/A,3,3,4,3,N/A,3,4,3,N/A,2,4,3,N/A,Female,30-44,"$150,000+",Graduate degree,Pacific
3308513616,Intermediate,Not muchÊ,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,3,N/A,N/A,N/A,N/A,N/A,3,N/A,3,3,N/A,N/A,N/A,N/A,N/A,3,N/A,5,N/A,3,3,N/A,N/A,N/A,N/A,N/A,3,Male,45-60,"$0 - $24,999",Bachelor degree,East North Central
3308511506,Intermediate,Some,N/A,3,3,4,N/A,N/A,N/A,3,N/A,N/A,N/A,N/A,4,3,4,N/A,4,N/A,N/A,4,N/A,4,4,N/A,N/A,N/A,N/A,N/A,3,4,5,N/A,3,3,4,3,N/A,N/A,N/A,4,Female,45-60,"$100,000 - $149,999",Bachelor degree,East North Central
3308511162,Intermediate,A lot,3,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,3,N/A,N/A,N/A,N/A,4,N/A,2,4,N/A,3,N/A,N/A,N/A,4,N/A,3,N/A,5,4,4,4,N/A,3,5,N/A,Male,18-29,"$50,000 - $99,999",Graduate degree,East North Central
3308510652,Intermediate,Some,N/A,3,N/A,N/A,N/A,4,N/A,N/A,N/A,N/A,N/A,3,4,4,1,N/A,4,3,N/A,4,4,2,3,4,3,4,4,3,4,3,3,3,4,N/A,3,N/A,3,3,4,4,Male,45-60,"$0 - $24,999",Some college or Associate degree,Mountain
3308509796,Novice,Some,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,N/A,N/A,N/A,3,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,5,Female,> 60,"$50,000 - $99,999",High school degree,South Atlantic
3308508238,Intermediate,Some,N/A,3,2,N/A,3,N/A,5,3,3,N/A,2,N/A,1,4,2,N/A,4,N/A,N/A,3,N/A,3,3,3,N/A,4,2,3,4,3,3,N/A,3,4,5,5,4,4,5,2,Female,45-60,,Graduate degree,East North Central
3308507779,Expert,A lot,5,1,2,2,2,5,1,1,5,3,5,2,2,2,3,2,1,2,1,3,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,N/A,2,1,N/A,N/A,N/A,N/A,1,N/A,Female,18-29,,High school degree,West South Central
3308506192,Intermediate,Some,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Male,18-29,"$50,000 - $99,999",High school degree,West North Central
3308506179,Intermediate,A lot,N/A,5,2,4,3,5,N/A,4,N/A,N/A,N/A,N/A,2,5,2,N/A,5,N/A,4,5,N/A,5,5,N/A,N/A,N/A,2,N/A,5,N/A,4,N/A,5,5,5,5,5,N/A,5,3,Female,30-44,"$0 - $24,999",Bachelor degree,Mountain
3308505476,Intermediate,A lot,,,,,,,,,,,,,,,,,,,,,N/A,5,4,N/A,N/A,N/A,N/A,N/A,2,N/A,4,N/A,5,4,4,N/A,3,N/A,2,4,,,,,
3308505262,Intermediate,Some,N/A,3,3,4,N/A,3,N/A,N/A,3,3,N/A,N/A,4,4,4,N/A,3,3,N/A,4,N/A,3,5,N/A,1,3,N/A,N/A,3,N/A,5,N/A,4,3,3,N/A,4,N/A,3,5,Male,30-44,"$100,000 - $149,999",Some college or Associate degree,East North Central
3308504722,Novice,Some,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,N/A,2,N/A,4,N/A,N/A,3,N/A,2,5,N/A,N/A,N/A,2,2,N/A,N/A,4,N/A,3,2,3,N/A,N/A,N/A,3,N/A,Male,30-44,"$25,000 - $49,999",Bachelor degree,West North Central
3308503470,Novice,Not muchÊ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4,N/A,N/A,N/A,N/A,3,2,N/A,N/A,3,N/A,N/A,3,N/A,3,5,N/A,N/A,N/A,N/A,4,N/A,3,4,N/A,4,3,3,N/A,N/A,N/A,N/A,4,Male,18-29,"$50,000 - $99,999",Less than high school degree,Mountain
3308502458,Intermediate,Some,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,4,2,N/A,3,N/A,N/A,4,N/A,3,4,N/A,N/A,N/A,N/A,2,4,N/A,5,N/A,5,2,3,N/A,3,N/A,2,3,Female,> 60,"$50,000 - $99,999",Graduate degree,East North Central
3308502264,Intermediate,Some,N/A,N/A,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,4,4,N/A,2,N/A,N/A,4,N/A,4,4,4,N/A,N/A,3,N/A,3,N/A,4,N/A,4,2,3,N/A,N/A,N/A,N/A,4,Male,45-60,"$25,000 - $49,999",Some college or Associate degree,East North Central
3308501552,Intermediate,Some,2,N/A,3,4,N/A,3,2,3,2,3,N/A,2,2,5,2,N/A,3,3,3,4,N/A,2,3,3,3,3,3,2,4,4,4,3,2,4,2,3,4,3,2,2,Female,45-60,"$50,000 - $99,999",Graduate degree,West South Central
3308501248,Novice,Not muchÊ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,N/A,3,N/A,3,N/A,N/A,3,N/A,2,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Male,45-60,"$50,000 - $99,999",Graduate degree,West North Central
3308501229,Intermediate,Some,N/A,3,N/A,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A,4,3,4,2,N/A,4,N/A,4,5,N/A,2,5,N/A,N/A,N/A,N/A,3,5,N/A,3,N/A,5,5,5,4,3,N/A,5,3,Female,45-60,,Graduate degree,Middle Atlantic
3308501154,Novice,A lot,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,4,4,N/A,4,N/A,5,4,N/A,4,4,N/A,N/A,N/A,N/A,3,N/A,N/A,3,N/A,5,5,5,N/A,N/A,4,4,5,Male,18-29,,Bachelor degree,West South Central
3308500976,Intermediate,Some,N/A,3,3,3,N/A,3,N/A,N/A,N/A,3,N/A,N/A,2,3,3,1,4,N/A,N/A,5,N/A,4,5,3,N/A,3,2,3,4,3,4,3,4,5,5,3,3,3,4,2,Male,30-44,"$50,000 - $99,999",Graduate degree,Middle Atlantic
3308500092,Intermediate,Some,N/A,3,N/A,N/A,N/A,3,N/A,N/A,N/A,3,N/A,N/A,N/A,4,3,N/A,5,N/A,N/A,4,N/A,1,5,N/A,N/A,3,1,2,4,3,3,N/A,5,1,N/A,2,N/A,N/A,2,3,Female,45-60,"$50,000 - $99,999",Bachelor degree,Middle Atlantic
3308500016,Intermediate,Some,,,,,,,,,,,,,,,,,,,,,2,2,3,N/A,N/A,N/A,2,N/A,3,3,2,N/A,4,3,3,2,3,N/A,2,3,,,,,
3308499920,Intermediate,Not muchÊ,N/A,3,3,N/A,N/A,3,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A,3,N/A,5,3,N/A,5,N/A,3,4,N/A,N/A,N/A,N/A,N/A,3,N/A,4,N/A,3,4,N/A,4,4,N/A,3,N/A,Male,30-44,"$0 - $24,999",Less than high school degree,South Atlantic
3308499516,Intermediate,Some,N/A,N/A,1,4,N/A,N/A,N/A,4,N/A,N/A,N/A,N/A,1,N/A,1,N/A,3,N/A,5,5,N/A,N/A,5,N/A,N/A,N/A,2,2,4,N/A,5,N/A,3,5,4,N/A,4,N/A,1,N/A,Male,30-44,"$0 - $24,999",Graduate degree,Pacific
3308499253,Intermediate,A lot,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4,N/A,N/A,4,N/A,5,N/A,5,N/A,N/A,4,N/A,5,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,5,4,N/A,5,N/A,N/A,4,Female,45-60,"$100,000 - $149,999",Graduate degree,Pacific
3308499214,Intermediate,Not muchÊ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4,3,3,N/A,3,N/A,N/A,3,N/A,3,3,N/A,N/A,N/A,N/A,N/A,3,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Male,> 60,"$50,000 - $99,999",High school degree,Pacific
3308499030,Novice,Not muchÊ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,5,4,N/A,5,N/A,N/A,5,N/A,3,3,N/A,N/A,N/A,N/A,N/A,N/A,3,5,N/A,3,4,3,3,N/A,N/A,3,4,Female,> 60,,Some college or Associate degree,South Atlantic
3308498447,Intermediate,A lot,N/A,4,N/A,N/A,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,4,5,4,N/A,4,N/A,N/A,5,N/A,3,3,3,N/A,3,4,3,4,3,4,N/A,4,3,4,N/A,3,N/A,4,3,Female,> 60,,Graduate degree,New England
3308498332,Intermediate,A lot,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,3,3,N/A,3,N/A,N/A,4,N/A,4,3,N/A,N/A,N/A,4,4,N/A,N/A,3,N/A,4,4,4,N/A,N/A,N/A,N/A,4,Female,30-44,"$50,000 - $99,999",Some college or Associate degree,East North Central
3308498269,Novice,Some,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,N/A,N/A,N/A,N/A,3,N/A,3,N/A,4,N/A,N/A,4,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A,4,N/A,4,N/A,3,3,N/A,N/A,3,N/A,3,3,Female,30-44,,Some college or Associate degree,South Atlantic
3308497972,Novice,Not muchÊ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Female,45-60,"$50,000 - $99,999",Bachelor degree,Middle Atlantic
3308497814,Intermediate,Not muchÊ,N/A,3,4,4,N/A,3,N/A,N/A,3,3,N/A,3,2,4,5,N/A,3,N/A,N/A,3,N/A,4,4,3,N/A,N/A,N/A,4,3,4,4,N/A,4,2,4,N/A,N/A,N/A,3,3,Male,> 60,"$50,000 - $99,999",Bachelor degree,South Atlantic
3308497594,Novice,Not muchÊ,N/A,2,N/A,N/A,3,2,N/A,2,N/A,N/A,3,2,2,2,3,N/A,4,N/A,N/A,5,N/A,5,5,N/A,N/A,N/A,3,2,N/A,N/A,5,N/A,4,1,2,N/A,2,N/A,2,3,Female,30-44,"$50,000 - $99,999",Bachelor degree,Pacific
3308497447,Intermediate,A lot,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,3,4,N/A,N/A,2,5,4,N/A,4,4,4,5,N/A,4,5,N/A,N/A,4,3,3,4,N/A,4,N/A,4,5,4,3,4,3,4,3,Female,30-44,"$100,000 - $149,999",Graduate degree,Middle Atlantic
3308496290,Advanced,A lot,N/A,3,3,4,N/A,4,4,4,4,3,N/A,4,2,2,2,4,5,3,4,3,N/A,5,5,3,N/A,4,4,3,4,4,4,N/A,2,4,4,4,4,5,5,2,Female,30-44,"$150,000+",Graduate degree,West South Central
3308496212,Novice,Not at allÊ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3308495050,Intermediate,Some,3,4,2,4,N/A,4,4,3,3,N/A,2,N/A,1,3,3,3,2,3,N/A,5,N/A,4,4,3,N/A,4,2,2,4,3,2,N/A,4,4,4,2,3,3,3,3,Male,45-60,"$150,000+",Graduate degree,Pacific
3308494928,Intermediate,Some,N/A,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4,4,4,N/A,4,N/A,N/A,4,N/A,4,4,N/A,N/A,3,N/A,N/A,3,N/A,5,N/A,3,3,2,3,3,N/A,N/A,3,Female,45-60,"$100,000 - $149,999",Some college or Associate degree,South Atlantic
3308494748,Novice,A lot,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,5,N/A,N/A,5,N/A,4,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,N/A,3,3,N/A,N/A,N/A,N/A,N/A,N/A,Male,18-29,"$0 - $24,999",Some college or Associate degree,Pacific
3308494386,Novice,Some,N/A,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,4,N/A,5,4,N/A,N/A,N/A,N/A,5,N/A,N/A,4,N/A,5,N/A,4,N/A,N/A,N/A,5,N/A,Male,18-29,"$25,000 - $49,999",High school degree,Pacific
3308493905,Novice,Some,,,,,,,,,,,,,,,,,,,,,N/A,5,3,4,3,N/A,4,4,N/A,5,5,N/A,5,5,4,N/A,N/A,N/A,3,N/A,,,,,
3308493867,Novice,Some,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,N/A,4,N/A,N/A,5,N/A,5,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,4,Male,30-44,,Some college or Associate degree,New England
3308493784,Intermediate,Some,N/A,N/A,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,4,4,N/A,4,N/A,N/A,5,N/A,4,5,N/A,N/A,4,4,N/A,4,N/A,5,N/A,3,1,1,N/A,N/A,3,2,3,Female,30-44,"$50,000 - $99,999",Graduate degree,East North Central
3308492209,Novice,Not at allÊ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,N/A,3,N/A,N/A,N/A,2,N/A,N/A,3,Female,45-60,"$50,000 - $99,999",High school degree,East North Central
3308491821,Intermediate,A lot,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4,N/A,4,N/A,N/A,4,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Female,18-29,"$25,000 - $49,999",High school degree,East North Central
3308491463,Intermediate,Some,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,4,3,N/A,3,N/A,N/A,3,N/A,4,3,N/A,N/A,N/A,3,3,3,N/A,3,N/A,5,4,4,N/A,3,3,3,3,Male,45-60,"$100,000 - $149,999",Some college or Associate degree,West North Central
3308490816,Intermediate,A lot,N/A,N/A,N/A,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,3,5,5,N/A,4,N/A,4,5,N/A,4,5,N/A,N/A,N/A,2,N/A,4,N/A,3,N/A,4,5,5,N/A,3,N/A,N/A,3,Female,18-29,,High school degree,West South Central
3308489755,Novice,Some,N/A,N/A,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A,4,N/A,3,4,N/A,N/A,5,N/A,N/A,4,N/A,N/A,4,5,N/A,N/A,4,N/A,5,N/A,4,N/A,N/A,N/A,N/A,4,N/A,N/A,N/A,4,Male,> 60,"$100,000 - $149,999",Bachelor degree,Pacific
3308489545,Intermediate,Some,N/A,3,3,4,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,4,5,4,N/A,5,N/A,N/A,5,N/A,4,4,4,N/A,4,N/A,5,4,3,4,N/A,5,3,4,4,N/A,N/A,4,4,Female,> 60,"$150,000+",Graduate degree,South Atlantic
3308488398,Novice,Some,N/A,4,N/A,3,N/A,4,N/A,4,3,N/A,N/A,N/A,2,5,2,N/A,5,3,3,3,N/A,5,3,3,N/A,4,3,3,4,3,3,N/A,3,3,4,4,4,3,3,3,Female,30-44,,Graduate degree,Middle Atlantic
3308487720,Intermediate,A lot,N/A,3,4,3,N/A,4,N/A,N/A,3,4,N/A,3,3,5,3,3,4,N/A,3,4,4,5,4,4,3,4,5,4,3,4,4,N/A,4,4,5,4,3,N/A,4,3,Female,45-60,,Graduate degree,Middle Atlantic
3308487702,Novice,Not muchÊ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,N/A,2,N/A,2,N/A,N/A,5,N/A,3,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4,N/A,3,N/A,4,N/A,N/A,N/A,N/A,3,Female,45-60,"$50,000 - $99,999",Graduate degree,Middle Atlantic
3308487223,Novice,Not muchÊ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,N/A,4,N/A,3,N/A,N/A,4,N/A,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4,N/A,3,2,N/A,N/A,N/A,3,N/A,N/A,Female,18-29,"$0 - $24,999",Some college or Associate degree,Middle Atlantic
3308485509,Intermediate,A lot,N/A,N/A,N/A,4,N/A,N/A,N/A,4,N/A,N/A,N/A,N/A,3,5,4,N/A,5,N/A,4,4,N/A,4,4,N/A,N/A,4,3,2,5,N/A,5,N/A,5,5,4,4,4,3,4,4,Female,45-60,"$150,000+",Bachelor degree,South Atlantic
3308485325,Intermediate,Some,N/A,N/A,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,3,3,N/A,3,N/A,N/A,4,N/A,N/A,3,3,N/A,N/A,3,N/A,N/A,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,Female,> 60,,Bachelor degree,Mountain
3308485079,Advanced,Not at allÊ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Female,> 60,"$25,000 - $49,999",Graduate degree,South Atlantic
3308485047,Intermediate,Not muchÊ,2,3,2,4,N/A,2,2,3,2,3,N/A,N/A,3,4,4,N/A,4,2,N/A,4,N/A,3,4,N/A,N/A,N/A,N/A,N/A,3,N/A,3,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Male,18-29,"$25,000 - $49,999",High school degree,West South Central
3308484063,Novice,Some,N/A,N/A,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,4,3,N/A,4,N/A,N/A,5,N/A,3,5,N/A,N/A,N/A,N/A,N/A,4,4,5,N/A,4,3,4,N/A,3,N/A,N/A,3,Female,30-44,,Bachelor degree,West South Central
3308483613,Intermediate,A lot,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,3,N/A,N/A,N/A,N/A,N/A,N/A,3,N/A,4,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,N/A,4,N/A,4,N/A,N/A,N/A,4,N/A,Female,45-60,"$25,000 - $49,999",Bachelor degree,Pacific
3308482933,Novice,Not at allÊ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3308482858,Intermediate,A lot,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,4,3,N/A,4,N/A,N/A,5,N/A,5,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,N/A,4,3,4,N/A,N/A,N/A,N/A,N/A,Female,> 60,,Bachelor degree,South Atlantic
3308482775,Intermediate,Some,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,3,4,N/A,3,N/A,N/A,3,N/A,3,3,N/A,N/A,N/A,3,3,3,N/A,2,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,3,Male,30-44,"$50,000 - $99,999",Some college or Associate degree,South Atlantic
3308482432,Intermediate,Some,N/A,3,N/A,4,N/A,4,N/A,3,N/A,4,N/A,N/A,2,5,3,N/A,4,N/A,N/A,5,N/A,3,4,3,N/A,N/A,N/A,N/A,3,3,5,N/A,4,3,4,N/A,3,2,4,3,Female,45-60,"$50,000 - $99,999",Some college or Associate degree,Pacific
3308482382,Novice,Not muchÊ,,,,,,,,,,,,,,,,,,,,,N/A,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,
3308481648,Intermediate,Some,N/A,N/A,4,2,N/A,N/A,N/A,4,3,3,N/A,N/A,N/A,4,2,N/A,5,3,N/A,4,N/A,4,4,N/A,N/A,3,N/A,3,2,N/A,3,N/A,5,3,4,N/A,2,N/A,2,N/A,Female,30-44,"$25,000 - $49,999",High school degree,South Atlantic
3308480348,Intermediate,Some,N/A,N/A,3,N/A,N/A,3,N/A,N/A,3,N/A,N/A,N/A,4,3,3,N/A,3,N/A,N/A,5,4,4,3,N/A,N/A,3,3,4,4,3,4,N/A,4,3,3,N/A,3,N/A,3,4,Male,> 60,"$0 - $24,999",Graduate degree,West North Central
3308480339,Intermediate,Some,2,4,3,4,2,4,3,3,N/A,3,2,3,2,4,4,2,3,2,N/A,4,N/A,3,4,5,N/A,4,2,2,4,4,4,N/A,3,2,4,2,3,3,2,3,Female,45-60,"$150,000+",Graduate degree,Pacific
3308477919,Intermediate,A lot,N/A,5,4,4,N/A,4,N/A,3,4,3,N/A,N/A,3,5,3,N/A,5,3,N/A,5,N/A,4,5,3,N/A,4,2,3,5,4,5,N/A,4,3,4,N/A,5,N/A,2,5,Male,45-60,"$25,000 - $49,999",Bachelor degree,West North Central
3308477899,Intermediate,Some,N/A,N/A,3,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,3,4,N/A,4,N/A,N/A,4,N/A,4,4,N/A,N/A,3,N/A,2,3,3,3,N/A,1,5,1,N/A,N/A,N/A,2,N/A,Male,30-44,"$25,000 - $49,999",Bachelor degree,Mountain
3308477084,Intermediate,Some,N/A,N/A,3,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,3,N/A,3,N/A,3,N/A,N/A,4,N/A,3,3,N/A,N/A,N/A,3,N/A,N/A,N/A,3,N/A,4,3,4,N/A,3,N/A,3,3,Male,30-44,,Some college or Associate degree,Pacific
3308476176,Advanced,A lot,3,4,4,3,3,3,N/A,4,4,4,4,3,4,4,3,N/A,4,3,N/A,4,N/A,3,4,3,N/A,4,N/A,N/A,4,3,4,N/A,3,3,3,4,N/A,N/A,4,4,Male,> 60,"$100,000 - $149,999",Some college or Associate degree,Pacific
3308475877,Intermediate,A lot,N/A,N/A,N/A,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,2,5,3,N/A,4,N/A,N/A,5,N/A,4,4,3,N/A,N/A,N/A,4,4,N/A,4,N/A,3,2,4,N/A,4,N/A,4,3,Female,> 60,"$50,000 - $99,999",Some college or Associate degree,Mountain
3308475863,Novice,Some,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,N/A,3,N/A,4,N/A,1,4,N/A,5,4,N/A,N/A,N/A,N/A,N/A,3,4,5,N/A,4,2,N/A,N/A,N/A,N/A,N/A,N/A,Male,> 60,,Some college or Associate degree,South Atlantic
3308475386,Novice,Not muchÊ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,3,N/A,N/A,N/A,N/A,3,N/A,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,2,N/A,N/A,3,1,N/A,N/A,Male,> 60,"$25,000 - $49,999",Bachelor degree,West South Central
