name,year,team,league,goose_eggs,broken_eggs,mehs,league_average_gpct,ppf,replacement_gpct,gwar,key_retro
Jack Cullen,1962,NYA,AL,0,0,0,0.7556253,95,0.7206253,,cullj101
Camilo Pascual,1962,MIN,AL,0,0,0,0.7444253,103,0.7094253,,pascc102
Bob Miller,1962,NYN,NL,2,1,2,0.7360786,105,0.7010786,-0.0536826,millb106
Bob Hendley,1962,MLN,NL,0,1,1,0.7486786,96,0.7136786,-0.3711129,hendb101
Dave Hillman,1962,CIN,NL,0,0,0,0.7402787,102,0.7052786,,hilld102
Paul Brown,1962,PHI,NL,3,0,0,0.7458786,98,0.7108786,0.4510294,browp101
Freddie Burdette,1962,CHN,NL,0,0,1,0.7360786,105,0.7010786,,burdf101
Bob Gibson,1962,SLN,NL,5,0,0,0.7304786,109,0.6954786,0.7917556,gibsb101
Tony Balsamo,1962,CHN,NL,0,1,1,0.7360786,105,0.7010786,-0.3645609,balst101
Pete Richert,1962,LAN,NL,4,2,1,0.7556787,91,0.7206786,-0.1685173,richp102
Don Drysdale,1962,LAN,NL,1,1,0,0.7556787,91,0.7206786,-0.2295058,drysd101
Hank Fischer,1962,MLN,NL,9,2,3,0.7486786,96,0.7136786,0.5977584,fisch101
Larry Foss,1962,NYN,NL,0,0,0,0.7360786,105,0.7010786,,fossl101
Jim Owens,1962,PHI,NL,0,0,0,0.7458786,98,0.7108786,,owenj101
Roger Craig,1962,NYN,NL,10,1,2,0.7360786,105,0.7010786,1.189831,crair101
Denny Lemaster,1962,MLN,NL,0,0,0,0.7486786,96,0.7136786,,lemad102
Jack Baldschun,1962,PHI,NL,37,8,5,0.7458786,98,0.7108786,2.605441,baldj101
Diomedes Olivo,1962,PIT,NL,21,7,7,0.7430786,100,0.7080786,0.6103752,olivd101
Jack Hamilton,1962,PHI,NL,7,0,0,0.7458786,98,0.7108786,1.052402,hamij101
Dallas Green,1962,PHI,NL,6,2,1,0.7458786,98,0.7108786,0.162745,greed101
Chris Short,1962,PHI,NL,13,5,0,0.7458786,98,0.7108786,0.1061761,shorc102
Bill Smith,1962,PHI,NL,0,2,1,0.7458786,98,0.7108786,-0.7393138,smitb112
Bob Shaw,1962,MLN,NL,3,0,0,0.7486786,96,0.7136786,0.4466614,shawb103
Earl Francis,1962,PIT,NL,4,1,0,0.7430786,100,0.7080786,0.2389956,frane101
Al McBean,1962,PIT,NL,0,0,1,0.7430786,100,0.7080786,,mcbea101
Bob Moorhead,1962,NYN,NL,3,2,0,0.7360786,105,0.7010786,-0.2628043,moorb102
Art Mahaffey,1962,PHI,NL,0,1,1,0.7458786,98,0.7108786,-0.3696569,mahaa102
Dave Hillman,1962,NYN,NL,0,0,1,0.7360786,105,0.7010786,,hilld102
Don Prince,1962,CHN,NL,0,0,0,0.7360786,105,0.7010786,,prind101
Frank Sullivan,1962,PHI,NL,0,2,0,0.7458786,98,0.7108786,-0.7393138,sullf101
Ken Mackenzie,1962,NYN,NL,14,4,1,0.7360786,105,0.7010786,0.7179045,mackk101
Phil Ortega,1962,LAN,NL,0,0,0,0.7556787,91,0.7206786,,ortep101
Mike McCormick,1962,SFN,NL,0,0,3,0.7486786,96,0.7136786,,mccom103
Ron Piche,1962,MLN,NL,1,0,1,0.7486786,96,0.7136786,0.1488871,pichr101
Tom Sturdivant,1962,PIT,NL,7,4,1,0.7430786,100,0.7080786,-0.4102098,sturt101
Jim O'Toole,1962,CIN,NL,0,0,1,0.7402787,102,0.7052786,,otooj101
Herb Moford,1962,NYN,NL,1,1,0,0.7360786,105,0.7010786,-0.2091217,mofoh101
Stan Williams,1962,LAN,NL,1,0,2,0.7556787,91,0.7206786,0.1452471,wills102
Ron Perranoski,1962,LAN,NL,30,8,9,0.7556787,91,0.7206786,1.359391,perrr101
Stu Miller,1962,SFN,NL,33,11,7,0.7486786,96,0.7136786,0.8310336,mills101
Lindy McDaniel,1962,SLN,NL,28,12,5,0.7304786,109,0.6954786,0.0940445,mcdal101
Jack Smith,1962,LAN,NL,0,0,1,0.7556787,91,0.7206786,,smitj109
Ted Wills,1962,CIN,NL,6,2,0,0.7402787,102,0.7052786,0.1860409,willt102
Ray Washburn,1962,SLN,NL,0,2,0,0.7304786,109,0.6954786,-0.7232978,washr101
Claude Raymond,1962,MLN,NL,17,5,3,0.7486786,96,0.7136786,0.6755166,raymc101
Gaylord Perry,1962,SFN,NL,1,0,0,0.7486786,96,0.7136786,0.1488871,perrg101
Roy Face,1962,PIT,NL,41,10,9,0.7430786,100,0.7080786,2.541755,facer101
Sammy Ellis,1962,CIN,NL,0,0,0,0.7402787,102,0.7052786,,ellis101
Tony Cloninger,1962,MLN,NL,2,0,0,0.7486786,96,0.7136786,0.2977743,clont101
Ernie Broglio,1962,SLN,NL,0,1,0,0.7304786,109,0.6954786,-0.3616489,broge101
Bob Friend,1962,PIT,NL,1,0,0,0.7430786,100,0.7080786,0.1517991,frieb102
Jim Constable,1962,MLN,NL,1,0,0,0.7486786,96,0.7136786,0.1488871,consj101
Howie Nunn,1962,CIN,NL,0,0,0,0.7402787,102,0.7052786,,nunnh101
Don Ferrarese,1962,PHI,NL,0,0,0,0.7458786,98,0.7108786,,ferrd102
Bob Priddy,1962,PIT,NL,0,0,0,0.7430786,100,0.7080786,,pridb101
Jack Lamabe,1962,PIT,NL,5,2,3,0.7430786,100,0.7080786,0.0225939,lamaj101
Al Lary,1962,CHN,NL,0,0,0,0.7360786,105,0.7010786,,larya101
Vern Law,1962,PIT,NL,0,0,0,0.7430786,100,0.7080786,,law-v101
Cal McLish,1962,PHI,NL,0,1,0,0.7458786,98,0.7108786,-0.3696569,mclic101
Tom Butters,1962,PIT,NL,0,0,0,0.7430786,100,0.7080786,,buttt101
Bill Henry,1962,CIN,NL,22,6,6,0.7402787,102,0.7052786,1.171143,henrb101
Tommie Sisk,1962,PIT,NL,0,0,0,0.7430786,100,0.7080786,,siskt101
Bob Veale,1962,PIT,NL,1,0,0,0.7430786,100,0.7080786,0.1517991,vealb101
Don Cardwell,1962,CHN,NL,9,1,2,0.7360786,105,0.7010786,1.034391,cardd101
Billy Pierce,1962,SFN,NL,1,0,3,0.7486786,96,0.7136786,0.1488871,pierb101
Paul Toth,1962,SLN,NL,0,0,0,0.7304786,109,0.6954786,,tothp101
Jim Brosnan,1962,CIN,NL,19,10,11,0.7402787,102,0.7052786,-0.7556019,brosj101
Bob Duliba,1962,SLN,NL,1,1,2,0.7304786,109,0.6954786,-0.2032978,dulib101
Jim Duffalo,1962,SFN,NL,0,1,0,0.7486786,96,0.7136786,-0.3711129,duffj102
Jay Hook,1962,NYN,NL,2,0,0,0.7360786,105,0.7010786,0.3108783,hookj101
Don Larsen,1962,SFN,NL,10,6,6,0.7486786,96,0.7136786,-0.737806,larsd102
Vinegar Bend Mizell,1962,PIT,NL,0,0,0,0.7430786,100,0.7080786,,mizew101
Dave Sisler,1962,CIN,NL,7,4,5,0.7402787,102,0.7052786,-0.3941939,sisld102
John Boozer,1962,PHI,NL,1,0,0,0.7458786,98,0.7108786,0.1503431,boozj101
Bob Garibaldi,1962,SFN,NL,1,0,1,0.7486786,96,0.7136786,0.1488871,garib101
Jack Curtis,1962,MLN,NL,11,2,0,0.7486786,96,0.7136786,0.8955327,curtj102
Bobby Bolin,1962,SFN,NL,11,2,6,0.7486786,96,0.7136786,0.8955327,bolib101
John Tsitouris,1962,CIN,NL,0,0,0,0.7402787,102,0.7052786,,tsitj101
Curt Simmons,1962,SLN,NL,1,3,0,0.7304786,109,0.6954786,-0.9265955,simmc101
Dave Gerard,1962,CHN,NL,12,5,3,0.7360786,105,0.7010786,0.0424654,gerad101
Don Ferrarese,1962,SLN,NL,3,4,1,0.7304786,109,0.6954786,-0.9715422,ferrd102
Jack Warner,1962,CHN,NL,0,0,1,0.7360786,105,0.7010786,,warnj104
Ed Keegan,1962,PHI,NL,0,0,0,0.7458786,98,0.7108786,,keege101
Bobby Shantz,1962,SLN,NL,12,4,4,0.7304786,109,0.6954786,0.4536179,shanb102
Barney Schultz,1962,CHN,NL,16,5,4,0.7360786,105,0.7010786,0.6642219,schub101
Jim Brewer,1962,CHN,NL,1,1,1,0.7360786,105,0.7010786,-0.2091217,brewj102
Dick LeMay,1962,SFN,NL,2,1,1,0.7486786,96,0.7136786,-0.0733386,lemad103
Ray Daviault,1962,NYN,NL,7,7,1,0.7360786,105,0.7010786,-1.463852,davir101
Joe Moeller,1962,LAN,NL,1,1,0,0.7556787,91,0.7206786,-0.2295058,moelj101
Bob Miller,1962,NYN,NL,1,2,0,0.7360786,105,0.7010786,-0.5736826,millb102
Morrie Steevens,1962,CHN,NL,0,0,1,0.7360786,105,0.7010786,,steem101
Jack Curtis,1962,CHN,NL,0,0,0,0.7360786,105,0.7010786,,curtj102
Craig Anderson,1962,NYN,NL,18,9,4,0.7360786,105,0.7010786,-0.4831432,andec101
Bobby Locke,1962,SLN,NL,0,0,0,0.7304786,109,0.6954786,,lockb101
Larry Jackson,1962,SLN,NL,1,0,0,0.7304786,109,0.6954786,0.1583511,jackl102
Bob Anderson,1962,CHN,NL,21,10,5,0.7360786,105,0.7010786,-0.3813868,andeb102
Willard Hunter,1962,NYN,NL,4,1,2,0.7360786,105,0.7010786,0.2571957,huntw102
Ed Bauta,1962,SLN,NL,12,0,1,0.7304786,109,0.6954786,1.900213,baute101
Sandy Koufax,1962,LAN,NL,0,0,0,0.7556787,91,0.7206786,,koufs101
Paul Toth,1962,CHN,NL,0,0,0,0.7360786,105,0.7010786,,tothp101
Juan Marichal,1962,SFN,NL,2,0,0,0.7486786,96,0.7136786,0.2977743,marij101
Galen Cisco,1962,NYN,NL,0,1,0,0.7360786,105,0.7010786,-0.3645609,ciscg101
Jack Sanford,1962,SFN,NL,0,0,1,0.7486786,96,0.7136786,,sanfj101
Bobby Locke,1962,PHI,NL,1,1,0,0.7458786,98,0.7108786,-0.2193138,lockb101
Joey Jay,1962,CIN,NL,2,0,0,0.7402787,102,0.7052786,0.3065102,jay-j101
Joe Gibbon,1962,PIT,NL,2,1,1,0.7430786,100,0.7080786,-0.0646026,gibbj102
Bob Miller,1962,CIN,NL,0,0,0,0.7402787,102,0.7052786,,millb102
Moe Drabowsky,1962,CIN,NL,9,1,0,0.7402787,102,0.7052786,1.012551,drabm101
Bob Buhl,1962,CHN,NL,1,0,1,0.7360786,105,0.7010786,0.1554391,buhlb101
Clem Labine,1962,NYN,NL,0,0,0,0.7360786,105,0.7010786,,labic101
Ray Sadecki,1962,SLN,NL,2,0,1,0.7304786,109,0.6954786,0.3167022,sader101
Dick Ellsworth,1962,CHN,NL,2,0,0,0.7360786,105,0.7010786,0.3108783,ellsd101
Vinegar Bend Mizell,1962,NYN,NL,2,2,1,0.7360786,105,0.7010786,-0.4182435,mizew101
Cal Koonce,1962,CHN,NL,1,1,1,0.7360786,105,0.7010786,-0.2091217,koonc101
Glen Hobbie,1962,CHN,NL,5,1,2,0.7360786,105,0.7010786,0.4126347,hobbg101
Larry Sherry,1962,LAN,NL,35,7,5,0.7556787,91,0.7206786,2.460378,sherl101
Don Nottebart,1962,MLN,NL,4,4,2,0.7486786,96,0.7136786,-0.888903,nottd101
Don Elston,1962,CHN,NL,22,10,9,0.7360786,105,0.7010786,-0.2259478,elstd101
Joe Nuxhall,1962,CIN,NL,0,0,0,0.7402787,102,0.7052786,,nuxhj101
Al Jackson,1962,NYN,NL,0,0,0,0.7360786,105,0.7010786,,jacka101
Carl Willey,1962,MLN,NL,1,2,0,0.7486786,96,0.7136786,-0.5933386,willc104
Johnny Klippstein,1962,CIN,NL,16,5,1,0.7402787,102,0.7052786,0.6183575,klipj101
John Anderson,1962,SLN,NL,1,0,0,0.7304786,109,0.6954786,0.1583511,andej102
Ed Roebuck,1962,LAN,NL,19,2,4,0.7556787,91,0.7206786,2.01019,roebe101
Willard Hunter,1962,LAN,NL,0,0,0,0.7556787,91,0.7206786,,huntw102
Lew Burdette,1962,MLN,NL,3,2,2,0.7486786,96,0.7136786,-0.2955643,burdl101
Billy O'Dell,1962,SFN,NL,1,0,2,0.7486786,96,0.7136786,0.1488871,odelb101
Dennis Bennett,1962,PHI,NL,7,0,1,0.7458786,98,0.7108786,1.052402,bennd101
Don McMahon,1962,MLN,NL,0,1,0,0.7486786,96,0.7136786,-0.3711129,mcmad102
Jim Maloney,1962,CIN,NL,1,1,0,0.7402787,102,0.7052786,-0.2134898,maloj102
Cecil Butler,1962,MLN,NL,2,0,0,0.7486786,96,0.7136786,0.2977743,butlc102
Harvey Haddix,1962,PIT,NL,4,1,0,0.7430786,100,0.7080786,0.2389956,haddh101
Sherman Jones,1962,NYN,NL,1,1,0,0.7360786,105,0.7010786,-0.2091217,jones102
Pedro Ramos,1963,CLE,AL,4,1,0,0.7791361,100,0.7441361,0.1452462,ramop101
Bennie Daniels,1963,WS2,AL,3,1,0,0.7749361,103,0.7399361,0.0209329,danib102
Steve Ridzik,1963,WS2,AL,7,0,1,0.7749361,103,0.7399361,0.9466326,ridzs101
Fred Gladding,1963,DET,AL,10,1,0,0.7749361,103,0.7399361,0.9675656,gladf102
Bob Bruce,1963,HOU,AL,0,0,0,0.7847361,96,0.7497361,,brucb101
Bill Pleis,1963,MIN,AL,4,3,3,0.7777361,101,0.7427361,-0.6235593,pleib101
Don McMahon,1963,HOU,AL,7,3,2,0.7847361,96,0.7497361,-0.2586276,mcmad102
Turk Farrell,1963,HOU,AL,5,1,1,0.7847361,96,0.7497361,0.2608234,farrt101
John Buzhardt,1963,CHA,AL,0,0,0,0.7847361,96,0.7497361,,buzhj101
Ike Delock,1963,BAL,AL,0,0,0,0.7861362,95,0.7511361,,deloi101
Steve Hamilton,1963,WS2,AL,0,1,0,0.7749361,103,0.7399361,-0.3847668,hamis101
Mike McCormick,1963,BAL,AL,0,0,0,0.7861362,95,0.7511361,,mccom103
Buster Narum,1963,BAL,AL,0,0,0,0.7861362,95,0.7511361,,narub101
Bill Landis,1963,KC1,AL,0,0,0,0.7679361,108,0.7329361,,landb101
George Brunet,1963,BAL,AL,1,2,0,0.7861362,95,0.7511361,-0.6517723,brung101
Dave McNally,1963,BAL,AL,2,0,3,0.7861362,95,0.7511361,0.2588184,mcnad102
Jim Golden,1963,HOU,AL,0,0,0,0.7847361,96,0.7497361,,goldj102
Wilbur Wood,1963,BOS,AL,0,0,0,0.7735361,104,0.7385361,,woodw103
Eli Grba,1963,LAA,AL,4,1,1,0.7875361,94,0.7525361,0.1234061,grbae101
Jim Umbricht,1963,HOU,AL,7,1,2,0.7847361,96,0.7497361,0.521098,umbrj101
Milt Pappas,1963,BAL,AL,0,0,1,0.7861362,95,0.7511361,,pappm101
Ron Kline,1963,WS2,AL,34,11,5,0.7749361,103,0.7399361,0.3654953,klinr102
Norm Bass,1963,KC1,AL,0,0,0,0.7679361,108,0.7329361,,bassn101
Jim Perry,1963,CLE,AL,0,0,0,0.7791361,100,0.7441361,,perrj102
Bob Baird,1963,WS2,AL,0,0,0,0.7749361,103,0.7399361,,bairb101
Tom Sturdivant,1963,KC1,AL,7,1,0,0.7679361,108,0.7329361,0.5909859,sturt101
Ken Johnson,1963,HOU,AL,2,1,1,0.7847361,96,0.7497361,-0.1295882,johnk102
Dick Egan,1963,DET,AL,1,2,0,0.7749361,103,0.7399361,-0.6343004,egand101
Steve Barber,1963,BAL,AL,0,1,0,0.7861362,95,0.7511361,-0.3905908,barbs102
Jim Hannan,1963,WS2,AL,1,3,1,0.7749361,103,0.7399361,-1.019067,hannj102
Jose Santiago,1963,KC1,AL,1,0,0,0.7679361,108,0.7329361,0.1388732,santj101
Sam McDowell,1963,CLE,AL,0,0,0,0.7791361,100,0.7441361,,mcdos101
John Miller,1963,BAL,AL,0,0,0,0.7861362,95,0.7511361,,millj103
Bill Faul,1963,DET,AL,1,1,0,0.7749361,103,0.7399361,-0.2495336,faulb101
Gerry Arrigo,1963,MIN,AL,4,1,0,0.7777361,101,0.7427361,0.1488862,arrig101
Hal Reniff,1963,NYA,AL,29,6,4,0.7833361,97,0.7483361,1.460284,renih101
Stan Williams,1963,NYA,AL,9,2,1,0.7833361,97,0.7483361,0.3995176,wills102
Mike Joyce,1963,CHA,AL,0,0,1,0.7847361,96,0.7497361,,joycm101
Tommy John,1963,CLE,AL,0,0,1,0.7791361,100,0.7441361,,johnt001
Ron Nischwitz,1963,CLE,AL,1,3,0,0.7791361,100,0.7441361,-1.027803,niscr101
Frank Baumann,1963,CHA,AL,4,4,0,0.7847361,96,0.7497361,-1.038902,baumf102
Hal Woodeshick,1963,HOU,AL,52,11,9,0.7847361,96,0.7497361,2.478647,woodh101
Dave Thies,1963,KC1,AL,0,0,0,0.7679361,108,0.7329361,,thied101
Dave Wickersham,1963,KC1,AL,4,0,0,0.7679361,108,0.7329361,0.5554929,wickd101
Wes Stock,1963,BAL,AL,7,0,2,0.7861362,95,0.7511361,0.9058645,stocw101
Fred Talbot,1963,CHA,AL,0,0,0,0.7847361,96,0.7497361,,talbf101
Claude Osteen,1963,WS2,AL,3,0,2,0.7749361,103,0.7399361,0.4056997,ostec103
Mike Fornieles,1963,MIN,AL,1,1,0,0.7777361,101,0.7427361,-0.2524455,fornm101
Moe Drabowsky,1963,KC1,AL,0,0,2,0.7679361,108,0.7329361,,drabm101
Ed Hobaugh,1963,WS2,AL,0,0,0,0.7749361,103,0.7399361,,hobae101
Chet Nichols,1963,BOS,AL,0,1,0,0.7735361,104,0.7385361,-0.3840388,nichc102
Frank Sullivan,1963,MIN,AL,0,1,0,0.7777361,101,0.7427361,-0.3862228,sullf101
Art Quirk,1963,WS2,AL,0,0,0,0.7749361,103,0.7399361,,quira101
Joe Shipley,1963,CHA,AL,0,0,0,0.7847361,96,0.7497361,,shipj101
Don Mossi,1963,DET,AL,13,0,0,0.7749361,103,0.7399361,1.758032,mossd101
Jim Bouton,1963,NYA,AL,10,2,1,0.7833361,97,0.7483361,0.5303828,boutj101
Danny Coombs,1963,HOU,AL,0,0,0,0.7847361,96,0.7497361,,coomd101
Hank Aguirre,1963,DET,AL,2,3,0,0.7749361,103,0.7399361,-0.8838339,aguih101
Mudcat Grant,1963,CLE,AL,1,0,1,0.7791361,100,0.7441361,0.1330492,granj101
Ron Moeller,1963,LAA,AL,0,0,2,0.7875361,94,0.7525361,,moelr101
Tom Sturdivant,1963,DET,AL,2,2,1,0.7749361,103,0.7399361,-0.4990671,sturt101
Conrad Cardinal,1963,HOU,AL,0,0,0,0.7847361,96,0.7497361,,cardc101
Ralph Terry,1963,NYA,AL,1,1,1,0.7833361,97,0.7483361,-0.2582695,terrr101
Jerry Walker,1963,CLE,AL,13,4,2,0.7791361,100,0.7441361,0.181837,walkj104
Stu Miller,1963,BAL,AL,45,8,9,0.7861362,95,0.7511361,2.698688,mills101
Diego Segui,1963,KC1,AL,0,0,0,0.7679361,108,0.7329361,,segud101
Ted Bowsfield,1963,KC1,AL,17,1,4,0.7679361,108,0.7329361,1.979718,bowst101
Mike Fornieles,1963,BOS,AL,0,0,0,0.7735361,104,0.7385361,,fornm101
Gary Bell,1963,CLE,AL,23,3,5,0.7791361,100,0.7441361,1.89928,bellg102
Ed Roebuck,1963,WS2,AL,8,4,2,0.7749361,103,0.7399361,-0.4572012,roebe101
Arnold Earley,1963,BOS,AL,15,5,2,0.7735361,104,0.7385361,0.1192244,earla101
Paul Foytack,1963,DET,AL,1,2,0,0.7749361,103,0.7399361,-0.6343004,foytp101
Bob Anderson,1963,DET,AL,3,0,0,0.7749361,103,0.7399361,0.4056997,andeb102
Dan Osinski,1963,LAA,AL,15,5,1,0.7875361,94,0.7525361,-0.0263756,osind101
Hoyt Wilhelm,1963,CHA,AL,53,16,5,0.7847361,96,0.7497361,0.6594696,wilhh101
Chuck Estrada,1963,BAL,AL,0,0,0,0.7861362,95,0.7511361,,estrc101
Jim Perry,1963,MIN,AL,2,0,2,0.7777361,101,0.7427361,0.2675545,perrj102
Mickey Lolich,1963,DET,AL,1,1,0,0.7749361,103,0.7399361,-0.2495336,lolim101
Jack Lamabe,1963,BOS,AL,14,7,4,0.7735361,104,0.7385361,-0.7848142,lamaj101
Jack Kralick,1963,CLE,AL,0,0,0,0.7791361,100,0.7441361,,kralj101
Dick Hall,1963,BAL,AL,24,5,4,0.7861362,95,0.7511361,1.152868,halld101
Marshall Bridges,1963,NYA,AL,3,0,1,0.7833361,97,0.7483361,0.3925957,bridm101
Ray Moore,1963,MIN,AL,4,3,0,0.7777361,101,0.7427361,-0.6235593,moorr101
Don Williams,1963,MIN,AL,0,0,0,0.7777361,101,0.7427361,,willd110
Tom Metcalf,1963,NYA,AL,0,0,0,0.7833361,97,0.7483361,,metct101
Bob Duliba,1963,LAA,AL,4,1,2,0.7875361,94,0.7525361,0.1234061,dulib101
Mel Nelson,1963,LAA,AL,7,2,5,0.7875361,94,0.7525361,0.118131,nelsm101
Bruce Howard,1963,CHA,AL,4,1,0,0.7847361,96,0.7497361,0.1306863,howab101
Jim Roland,1963,MIN,AL,1,1,0,0.7777361,101,0.7427361,-0.2524455,rolaj101
George Brunet,1963,HOU,AL,1,1,1,0.7847361,96,0.7497361,-0.2597255,brung101
Alan Koch,1963,DET,AL,2,1,0,0.7749361,103,0.7399361,-0.1143003,kocha101
Early Wynn,1963,CLE,AL,5,1,0,0.7791361,100,0.7441361,0.2782953,wynne101
Hal Kolstad,1963,BOS,AL,0,1,0,0.7735361,104,0.7385361,-0.3840388,kolsh101
Carl Bouldin,1963,WS2,AL,4,0,0,0.7749361,103,0.7399361,0.5409329,boulc101
Jim Duckworth,1963,WS2,AL,2,2,1,0.7749361,103,0.7399361,-0.4990671,duckj101
Phil Regan,1963,DET,AL,4,1,0,0.7749361,103,0.7399361,0.1561661,regap101
Barry Latman,1963,CLE,AL,1,2,1,0.7791361,100,0.7441361,-0.6408523,latmb101
Jim Dickson,1963,HOU,AL,2,1,1,0.7847361,96,0.7497361,-0.1295882,dickj101
Dan Pfister,1963,KC1,AL,0,0,0,0.7679361,108,0.7329361,,pfisd101
Dick Drott,1963,HOU,AL,3,1,0,0.7847361,96,0.7497361,0.000549,drotd101
Russ Kemmerer,1963,HOU,AL,2,0,0,0.7847361,96,0.7497361,0.2602745,kemmr101
Julio Navarro,1963,LAA,AL,24,8,2,0.7875361,94,0.7525361,-0.042201,navaj101
Fred Lasher,1963,MIN,AL,0,1,0,0.7777361,101,0.7427361,-0.3862228,lashf101
Aurelio Monteagudo,1963,KC1,AL,0,0,0,0.7679361,108,0.7329361,,monta103
Art Fowler,1963,LAA,AL,22,4,7,0.7875361,94,0.7525361,1.265712,fowla101
Jack Curtis,1963,CLE,AL,0,1,0,0.7791361,100,0.7441361,-0.3869508,curtj102
Jim Bunning,1963,DET,AL,1,0,1,0.7749361,103,0.7399361,0.1352332,bunnj101
John Wyatt,1963,KC1,AL,38,8,11,0.7679361,108,0.7329361,2.228168,wyatj102
Jim Bronstad,1963,WS2,AL,4,4,0,0.7749361,103,0.7399361,-0.9981343,bronj101
Dick Radatz,1963,BOS,AL,73,11,4,0.7735361,104,0.7385361,5.700743,radad101
Gary Dotter,1963,MIN,AL,0,0,0,0.7777361,101,0.7427361,,dottg101
Chris Zachary,1963,HOU,AL,0,0,0,0.7847361,96,0.7497361,,zachc101
Bob Dustal,1963,DET,AL,0,1,0,0.7749361,103,0.7399361,-0.3847668,dustb101
Jim Brosnan,1963,CHA,AL,31,10,3,0.7847361,96,0.7497361,0.1356269,brosj101
Gordon Seyfried,1963,CLE,AL,0,0,0,0.7791361,100,0.7441361,,seyfg101
Bill Monbouquette,1963,BOS,AL,2,1,0,0.7735361,104,0.7385361,-0.1121163,monbb101
Bob Turley,1963,BOS,AL,0,0,0,0.7735361,104,0.7385361,,turlb101
Bud Daley,1963,NYA,AL,0,0,0,0.7833361,97,0.7483361,,daleb102
Tom Cheney,1963,WS2,AL,0,0,0,0.7749361,103,0.7399361,,chent101
Jim Coates,1963,WS2,AL,14,4,2,0.7749361,103,0.7399361,0.3541981,coatj101
Eddie Fisher,1963,CHA,AL,5,3,0,0.7847361,96,0.7497361,-0.5189021,fishe102
Earl Wilson,1963,BOS,AL,0,0,0,0.7735361,104,0.7385361,,wilse102
Bill Stafford,1963,NYA,AL,5,2,1,0.7833361,97,0.7483361,-0.1239433,stafb101
Al Downing,1963,NYA,AL,0,0,0,0.7833361,97,0.7483361,,downa101
Ed Rakow,1963,KC1,AL,1,1,0,0.7679361,108,0.7329361,-0.2422535,rakoe101
Whitey Ford,1963,NYA,AL,0,0,0,0.7833361,97,0.7483361,,fordw101
Aubrey Gatewood,1963,LAA,AL,3,0,0,0.7875361,94,0.7525361,0.3860437,gatea101
Hal Brown,1963,HOU,AL,2,0,1,0.7847361,96,0.7497361,0.2602745,browh101
Tom Morgan,1963,LAA,AL,4,1,1,0.7875361,94,0.7525361,0.1234061,morgt101
Bob Turley,1963,LAA,AL,1,2,1,0.7875361,94,0.7525361,-0.6539564,turlb101
Pete Burnside,1963,WS2,AL,0,0,0,0.7749361,103,0.7399361,,burnp102
Taylor Phillips,1963,CHA,AL,1,0,0,0.7847361,96,0.7497361,0.1301372,philt101
Steve Hamilton,1963,NYA,AL,8,0,2,0.7833361,97,0.7483361,1.046922,hamis101
Garry Roggenburk,1963,MIN,AL,6,1,7,0.7777361,101,0.7427361,0.4164406,roggg101
Mike Lee,1963,LAA,AL,0,0,0,0.7875361,94,0.7525361,,lee-m102
Larry Foster,1963,DET,AL,0,0,0,0.7749361,103,0.7399361,,fostl102
Don Rudolph,1963,WS2,AL,2,3,0,0.7749361,103,0.7399361,-0.8838339,rudod103
Dave DeBusschere,1963,CHA,AL,1,0,0,0.7847361,96,0.7497361,0.1301372,debud101
Frank Lary,1963,DET,AL,0,0,0,0.7749361,103,0.7399361,,laryf101
Pete Lovrich,1963,KC1,AL,1,0,0,0.7679361,108,0.7329361,0.1388732,lovrp101
Dean Chance,1963,LAA,AL,5,0,1,0.7875361,94,0.7525361,0.6434061,chand102
Luis Arroyo,1963,NYA,AL,1,1,1,0.7833361,97,0.7483361,-0.2582695,arrol101
Fred Newman,1963,LAA,AL,0,0,0,0.7875361,94,0.7525361,,newmf101
Dale Willis,1963,KC1,AL,2,3,0,0.7679361,108,0.7329361,-0.8656338,willd111
Willie Smith,1963,DET,AL,3,1,0,0.7749361,103,0.7399361,0.0209329,smitw102
Ted Abernathy,1963,CLE,AL,20,6,0,0.7791361,100,0.7441361,0.3392802,abert101
Dom Zanni,1963,CHA,AL,0,1,0,0.7847361,96,0.7497361,-0.3898627,zannd101
Gary Peters,1963,CHA,AL,2,3,0,0.7847361,96,0.7497361,-0.9093138,peteg101
Bob Allen,1963,CLE,AL,8,2,2,0.7791361,100,0.7441361,0.2904924,alleb101
Bill Fischer,1963,KC1,AL,23,7,4,0.7679361,108,0.7329361,0.5261968,fiscb101
Don Lee,1963,LAA,AL,3,1,0,0.7875361,94,0.7525361,-0.0052751,lee-d102
Ron Moeller,1963,WS2,AL,0,0,0,0.7749361,103,0.7399361,,moelr101
Dwight Siebler,1963,MIN,AL,0,0,1,0.7777361,101,0.7427361,,siebd101
Bill Dailey,1963,MIN,AL,36,5,8,0.7777361,101,0.7427361,2.884866,dailb101
Orlando Pena,1963,KC1,AL,2,1,0,0.7679361,108,0.7329361,-0.1033803,penao101
Jack Spring,1963,LAA,AL,9,1,7,0.7875361,94,0.7525361,0.7668121,sprij102
Herman Starrette,1963,BAL,AL,1,1,0,0.7861362,95,0.7511361,-0.2611816,starh101
Jim Kaat,1963,MIN,AL,2,0,1,0.7777361,101,0.7427361,0.2675545,kaatj101
Paul Foytack,1963,LAA,AL,7,1,2,0.7875361,94,0.7525361,0.5094497,foytp101
