ID	Pollster	Calls Cellphones	NCPP/AAPOR/Roper	Polls	Simple Average Error	Simple Plus-Minus	Advanced Plus-Minus	Predictive Plus-Minus	538 Grade	Banned by 538	Mean-Reverted Bias
292	University of Illinois at Chicago			1	14.09	8.338639	5.509	0.9041848	C-		-0.454516129
293	Arthur J. Finkelstein & Associates			1	13.67	7.010751	5.680003	0.909701	C-		-0.440967742
294	MarketAide Services, Inc.			1	11.2	4.948533	5.933177	0.917868	C-		0.361290323
295	Merriman River Group	yes		17	7.35331	2.3041	2.029601	0.9228412	C-		-1.77379
296	Tulsa Surveys			1	11.9	6.470038	6.099852	0.9232445	C-		-0.383870968
297	Dixie Strategies			1	14.5	7.859843	6.193504	0.9262655	C-		
298	Bannon Communications			2	10.3713	4.098165	3.598557	0.9405578	C-		0.64820625
299	GCR & Associates			1	18.3	9.939995	6.703821	0.9427274	C-		
300	Anderson Group			1	10.9	6.506397	6.785184	0.945352	C-		-0.351612903
301	PSI			3	12.45	5.05696	2.877558	0.9670731	C-		-0.107096774
302	Big Ten			10	4.80055	0.3963642	1.301232	0.9738263	C-		1.12341
303	Critical Insights	yes		17	8.61912	2.862293	2.203317	0.9856746	C-		0.298178667
304	Abacus Associates			2	12.0625	6.066127	4.697484	1.009241	C-		-0.02890525
305	Hamilton Campaigns			7	6.38203	0.9491873	1.801346	1.011085	C-		1.207411081
306	Southeastern Louisiana University			8	6.62794	1.490532	1.695619	1.019623	C-		0.043242857
307	Consumer Logic			4	8.7775	3.220596	2.875539	1.034203	C-		0.638529412
308	Schapiro Group			2	20	11.80795	5.097269	1.034227	C-		
309	Minnesota State University Moorhead			4	9.25	3.545824	3.080935	1.058367	D+		0.536363636
310	Greg Smith and Associates			5	8.52867	2.978578	2.677283	1.069347	D+		1.218381429
311	Jeffrey Stonecash			1	17.3275	12.30451	10.71166	1.072012	D+		-0.558951613
312	Rainmaker Media Group			1	12.7206	8.084713	11.08654	1.084105	D+		0.410341935
313	Datamar			8	6.291	1.01545	2.008827	1.085562	D+		-0.410398571
314	Harris Interactive, online		yes	126	5.4677	1.944731	1.201007	1.128461	D+		-1.724810769
315	Neighbor			1	17.09	11.73512	12.71842	1.136747	D+		-0.551290323
316	University of Alabama			2	12.025	7.05631	7.084352	1.15842	D+		-0.7515625
317	Brown University			8	9.81125	2.783175	2.441768	1.176707	D+		-0.518857143
318	Ohio University			2	8.7927	4.138304	7.382927	1.177081	D+		0.54954375
319	JMC Enterprises of Louisiana			1	22.9	17.20041	14.72176	1.20137	D+		-0.738709677
320	20/20 Insight			5	16.6	9.802733	3.642903	1.207293	D+		0.012506
321	Loyola University (New Orleans)			2	12.1218	7.257471	8.25833	1.231794	D+		0.7576125
322	Baydoun Consulting			6	6.83285	2.00028	3.449093	1.253203	D		-1.029530588
323	WCIA-TV			2	18.295	11.94438	8.795616	1.265374	D		-1.1434375
324	Marketing Workshop			7	9.73857	4.687338	3.147917	1.265842	D		0.297027027
325	Momentum Analysis			3	13.6657	7.74179	6.767613	1.320715	D		0.521979091
326	Data West Polling			3	14.5667	8.667041	6.845376	1.327784	D		1.324245455
327	InsiderAdvantage			89	8.12004	1.446195	1.167844	1.343688	D		0.282310455
328	Wenzel Strategies	Sometimes		8	8.2237	3.867036	4.629449	1.42187	D		-1.73328
329	Nielson Brothers Polling			6	8.50772	3.943515	4.614092	1.447369	D		1.418625
330	Riggs Research Services			1	33.7	28.40538	24.83868	1.527722	D		1.087096774
331	Valley Research			6	11.4838	6.96825	5.139575	1.53495	D		0.400483333
332	Dane & Associates			2	21.2041	16.61738	13.15154	1.537619	D		-1.32525625
333	Millersville University			5	14.062	8.877637	6.069618	1.553966	D-		-1.494571429
334	Massie & Associates			2	23.9	17.5788	15.05752	1.656743	D-		-1.49375
335	Humphrey Institute		yes	10	13.0664	7.424629	6.714734	1.897668	D-		0.798111579
336	Zogby Interactive/JZ Analytics			86	6.51235	1.883996	2.738137	2.502591	F		-1.44392087
337	TCJ Research			133	6.44887	2.097317	3.000317	2.894006	F	yes	-4.509717742
