pollno	race	year	location	type_simple	type_detail	pollster	partisan	polldate	samplesize	cand1_name	cand1_pct	cand2_name	cand2_pct	cand3_pct	margin_poll	electiondate	cand1_actual	cand2_actual	margin_actual	error	bias	rightcall	comment
5381592	2004_Pres-D_NH	2004	NH	Pres-P	Pres-D	RKM Research and Communications, Inc.		1/23/2004	524	Kerry	35	Dean	23	14	12	1/27/2004	38.4	26.3	12.1	0.1		1	
5381593	2004_Pres-D_NH	2004	NH	Pres-P	Pres-D	Suffolk University		1/23/2004	401	Kerry	29	Dean	20	14	9	1/27/2004	38.4	26.3	12.1	3.1		1	
5381594	2004_Pres-D_NH	2004	NH	Pres-P	Pres-D	SurveyUSA		1/23/2004	481	Kerry	30	Dean	25	13	5	1/27/2004	38.4	26.3	12.1	7.1		1	
5381595	2004_Pres-D_NH	2004	NH	Pres-P	Pres-D	Zogby Analytics, telephone		1/23/2004	684	Kerry	30	Dean	23	13	7	1/27/2004	38.4	26.3	12.1	5.1		1	
5381596	2004_Pres-D_NH	2004	NH	Pres-P	Pres-D	Marist College		1/24/2004	807	Kerry	37	Dean	24	11	13	1/27/2004	38.4	26.3	12.1	0.9		1	
5381597	2004_Pres-D_NH	2004	NH	Pres-P	Pres-D	SurveyUSA		1/24/2004	481	Kerry	28	Dean	24	15	4	1/27/2004	38.4	26.3	12.1	8.1		1	
5381598	2004_Pres-D_NH	2004	NH	Pres-P	Pres-D	University of New Hampshire		1/24/2004	459	Kerry	36	Dean	25	13	11	1/27/2004	38.4	26.3	12.1	1.1		1	
5381599	2004_Pres-D_NH	2004	NH	Pres-P	Pres-D	American Research Group		1/25/2004	719	Kerry	35	Dean	25	15	10	1/27/2004	38.4	26.3	12.1	2.1		1	
5381600	2004_Pres-D_NH	2004	NH	Pres-P	Pres-D	Gallup		1/25/2004	970	Kerry	36	Dean	25	13	11	1/27/2004	38.4	26.3	12.1	1.1		1	
5381601	2004_Pres-D_NH	2004	NH	Pres-P	Pres-D	KRC/Communications Research		1/25/2004	400	Kerry	37	Dean	17	12	20	1/27/2004	38.4	26.3	12.1	7.9		1	
5381602	2004_Pres-D_NH	2004	NH	Pres-P	Pres-D	Suffolk University		1/25/2004	401	Kerry	38	Dean	17	10	21	1/27/2004	38.4	26.3	12.1	8.9		1	
5381603	2004_Pres-D_NH	2004	NH	Pres-P	Pres-D	SurveyUSA		1/25/2004	481	Kerry	33	Dean	28	14	5	1/27/2004	38.4	26.3	12.1	7.1		1	
5381604	2004_Pres-D_SC	2004	SC	Pres-P	Pres-D	SurveyUSA		1/25/2004	629	Edwards	32	Kerry	13	17	19	2/3/2004	45.1	29.8	15.3	3.7		1	
5381605	2004_Pres-D_NH	2004	NH	Pres-P	Pres-D	KRC/Communications Research		1/26/2004	400	Kerry	38	Dean	22	13	16	1/27/2004	38.4	26.3	12.1	3.9		1	
5381606	2004_Pres-D_NH	2004	NH	Pres-P	Pres-D	Marist College		1/26/2004	391	Kerry	36	Dean	27	11	9	1/27/2004	38.4	26.3	12.1	3.1		1	
5381607	2004_Pres-D_NH	2004	NH	Pres-P	Pres-D	Suffolk University		1/26/2004	401	Kerry	37	Dean	19	8	18	1/27/2004	38.4	26.3	12.1	5.9		1	
5381608	2004_Pres-D_NH	2004	NH	Pres-P	Pres-D	Zogby Analytics, telephone		1/26/2004	684	Kerry	37	Dean	24	12	13	1/27/2004	38.4	26.3	12.1	0.9		1	
5381609	2004_Pres-D_MO	2004	MO	Pres-P	Pres-D	SurveyUSA		1/27/2004	891	Kerry	41	Edwards	17	16	24	2/3/2004	50.6	24.6	26	2		1	
5381610	2004_Pres-D_AZ	2004	AZ	Pres-P	Pres-D	InsiderAdvantage		1/28/2004	300	Kerry	23	Clark	18	13	5	2/3/2004	42.6	26.5	16.1	11.1		1	
5381611	2004_Pres-D_ND	2004	ND	Pres-P	Pres-D	Minnesota State University Moorhead		1/28/2004	640	Kerry	31	Clark	15	6	16	2/3/2004	50.8	23.7	27.1	11.1		1	
5381612	2004_Pres-D_OK	2004	OK	Pres-P	Pres-D	Wilson Research Strategies		1/28/2004	300	Clark	18	Edwards	13	20	5	2/3/2004	29.9	29.5	0.4	4.6		0	
5381613	2004_Pres-D_VA	2004	VA	Pres-P	Pres-D	SurveyUSA		1/28/2004	716	Kerry	32	Edwards	17	17	15	2/10/2004	51.5	26.6	24.9	9.9		1	
5381614	2004_Pres-D_WA	2004	WA	Pres-P	Pres-D	Elway Research		1/28/2004	205	Kerry	40	Dean	13	11	27	2/7/2004	48.3	30	18.3	8.7		1	
5381615	2004_Pres-D_AZ	2004	AZ	Pres-P	Pres-D	Los Angeles Times		1/29/2004	451	Kerry	29	Clark	22	13	7	2/3/2004	42.6	26.5	16.1	9.1		1	
5381616	2004_Pres-D_AZ	2004	AZ	Pres-P	Pres-D	Market Solutions Group		1/29/2004	601	Kerry	27	Clark	18	13	9	2/3/2004	42.6	26.5	16.1	7.1		1	aka Arizona Republic
5381617	2004_Pres-D_AZ	2004	AZ	Pres-P	Pres-D	Zogby Analytics, telephone		1/29/2004	600	Kerry	36	Clark	20	12	16	2/3/2004	42.6	26.5	16.1	0.1		1	
5381618	2004_Pres-D_DE	2004	DE	Pres-P	Pres-D	American Research Group		1/29/2004	600	Kerry	27	Lieberman	16	14	11	2/3/2004	50.4	11.1	39.3	28.3		1	
5381619	2004_Pres-D_MO	2004	MO	Pres-P	Pres-D	American Research Group		1/29/2004	600	Kerry	46	Edwards	15	7	31	2/3/2004	50.6	24.6	26	5		1	
5381620	2004_Pres-D_MO	2004	MO	Pres-P	Pres-D	Los Angeles Times		1/29/2004	545	Kerry	37	Edwards	11	7	26	2/3/2004	50.6	24.6	26	0		1	
5381621	2004_Pres-D_MO	2004	MO	Pres-P	Pres-D	Research 2000		1/29/2004	500	Kerry	44	Edwards	14	9	30	2/3/2004	50.6	24.6	26	4		1	
5381622	2004_Pres-D_NM	2004	NM	Pres-P	Pres-D	Research & Polling, Inc.		1/29/2004	500	Kerry	31	Clark	14	15	17	2/3/2004	42.6	20.4	22.2	5.2		1	
5381623	2004_Pres-D_OK	2004	OK	Pres-P	Pres-D	Zogby Analytics, telephone		1/29/2004	600	Clark	25	Edwards	16	22	9	2/3/2004	29.9	29.5	0.4	8.6		1	
5381624	2004_Pres-D_SC	2004	SC	Pres-P	Pres-D	CBS News/New York Times		1/29/2004	545	Edwards	28	Kerry	21	13	7	2/3/2004	45.1	29.8	15.3	8.3		1	
5381625	2004_Pres-D_SC	2004	SC	Pres-P	Pres-D	Los Angeles Times		1/29/2004	448	Edwards	32	Kerry	20	8	12	2/3/2004	45.1	29.8	15.3	3.3		1	
5381626	2004_Pres-D_SC	2004	SC	Pres-P	Pres-D	Zogby Analytics, telephone		1/29/2004	600	Edwards	26	Kerry	22	9	4	2/3/2004	45.1	29.8	15.3	11.3		1	
5381627	2004_Pres-D_TN	2004	TN	Pres-P	Pres-D	Mason-Dixon Polling & Research, Inc.		1/29/2004	313	Kerry	31	Edwards	13	22	18	2/10/2004	41	26.5	14.5	3.5		1	
5381628	2004_Pres-D_DE	2004	DE	Pres-P	Pres-D	SurveyUSA		1/30/2004	434	Kerry	42	Lieberman	10	12	32	2/3/2004	50.4	11.1	39.3	7.3		1	
5381629	2004_Pres-D_MO	2004	MO	Pres-P	Pres-D	Zogby Analytics, telephone		1/30/2004	600	Kerry	46	Edwards	13	8	33	2/3/2004	50.6	24.6	26	7		1	
5381630	2004_Pres-D_SC	2004	SC	Pres-P	Pres-D	American Research Group		1/30/2004	600	Edwards	30	Kerry	23	13	7	2/3/2004	45.1	29.8	15.3	8.3		1	
5381631	2004_Pres-D_AZ	2004	AZ	Pres-P	Pres-D	American Research Group		1/31/2004	600	Kerry	32	Clark	21	11	11	2/3/2004	42.6	26.5	16.1	5.1		1	
5381632	2004_Pres-D_AZ	2004	AZ	Pres-P	Pres-D	Market Solutions Group		1/31/2004	601	Kerry	32	Clark	19	12	13	2/3/2004	42.6	26.5	16.1	3.1		1	aka Arizona Republic
5381633	2004_Pres-D_AZ	2004	AZ	Pres-P	Pres-D	SurveyUSA		1/31/2004	400	Kerry	34	Clark	28	18	6	2/3/2004	42.6	26.5	16.1	10.1		1	
5381634	2004_Pres-D_MO	2004	MO	Pres-P	Pres-D	SurveyUSA		1/31/2004	891	Kerry	44	Edwards	20	15	24	2/3/2004	50.6	24.6	26	2		1	
5381635	2004_Pres-D_OK	2004	OK	Pres-P	Pres-D	American Research Group		1/31/2004	600	Clark	25	Edwards	18	23	7	2/3/2004	29.9	29.5	0.4	6.6		1	
5381636	2004_Pres-D_OK	2004	OK	Pres-P	Pres-D	InsiderAdvantage		1/31/2004	800	Clark	23	Edwards	14	23	9	2/3/2004	29.9	29.5	0.4	8.6		0.5	
5381637	2004_Pres-D_OK	2004	OK	Pres-P	Pres-D	SurveyUSA		1/31/2004	350	Clark	31	Edwards	23	25	8	2/3/2004	29.9	29.5	0.4	7.6		1	
5381638	2004_Pres-D_SC	2004	SC	Pres-P	Pres-D	InsiderAdvantage		1/31/2004	500	Edwards	28	Kerry	24	8	4	2/3/2004	45.1	29.8	15.3	11.3		1	
5381639	2004_Pres-D_SC	2004	SC	Pres-P	Pres-D	SurveyUSA		1/31/2004	629	Edwards	34	Kerry	17	16	17	2/3/2004	45.1	29.8	15.3	1.7		1	
5381640	2004_Pres-D_WI	2004	WI	Pres-P	Pres-D	University of Wisconsin (Badger Poll)		1/31/2004	400	Kerry	35	Edwards	9	11	26	2/17/2004	39.6	34.3	5.3	20.7		1	
5381641	2004_Pres-D_AZ	2004	AZ	Pres-P	Pres-D	Zogby Analytics, telephone		2/1/2004	600	Kerry	41	Clark	27	15	14	2/3/2004	42.6	26.5	16.1	2.1		1	
5381642	2004_Pres-D_MO	2004	MO	Pres-P	Pres-D	Zogby Analytics, telephone		2/1/2004	600	Kerry	56	Edwards	17	9	39	2/3/2004	50.6	24.6	26	13		1	
5381643	2004_Pres-D_OK	2004	OK	Pres-P	Pres-D	American Research Group		2/1/2004	600	Clark	28	Edwards	21	25	7	2/3/2004	29.9	29.5	0.4	6.6		1	
5381644	2004_Pres-D_OK	2004	OK	Pres-P	Pres-D	SurveyUSA		2/1/2004	350	Clark	29	Edwards	27	26	2	2/3/2004	29.9	29.5	0.4	1.6		1	
5381645	2004_Pres-D_OK	2004	OK	Pres-P	Pres-D	Zogby Analytics, telephone		2/1/2004	600	Clark	31	Edwards	26	29	5	2/3/2004	29.9	29.5	0.4	4.6		1	
5381646	2004_Pres-D_SC	2004	SC	Pres-P	Pres-D	American Research Group		2/1/2004	600	Edwards	31	Kerry	24	11	7	2/3/2004	45.1	29.8	15.3	8.3		1	
5381647	2004_Pres-D_SC	2004	SC	Pres-P	Pres-D	CBS News/New York Times		2/1/2004	433	Edwards	28	Kerry	24	13	4	2/3/2004	45.1	29.8	15.3	11.3		1	
5381648	2004_Pres-D_SC	2004	SC	Pres-P	Pres-D	Zogby Analytics, telephone		2/1/2004	600	Edwards	32	Kerry	29	8	3	2/3/2004	45.1	29.8	15.3	12.3		1	
5381649	2004_Pres-D_TN	2004	TN	Pres-P	Pres-D	SurveyUSA		2/1/2004	523	Kerry	31	Edwards	26	20	5	2/10/2004	41	26.5	14.5	9.5		1	
5381650	2004_Pres-D_MI	2004	MI	Pres-P	Pres-D	Mitchell Research & Communications		2/4/2004	450	Kerry	52	Dean	9	8	43	2/7/2004	51.8	16.5	35.3	7.7		1	
5381651	2004_Pres-D_MI	2004	MI	Pres-P	Pres-D	Zogby Analytics, telephone		2/4/2004	601	Kerry	47	Dean	10	8	37	2/7/2004	51.8	16.5	35.3	1.7		1	
5381652	2004_Pres-D_MI	2004	MI	Pres-P	Pres-D	EPIC-MRA		2/5/2004	409	Kerry	62	Dean	13	11	49	2/7/2004	51.8	16.5	35.3	13.7		1	
5381653	2004_Pres-D_TN	2004	TN	Pres-P	Pres-D	American Research Group		2/5/2004	600	Kerry	32	Edwards	21	20	11	2/10/2004	41	26.5	14.5	3.5		1	
5381654	2004_Pres-D_VA	2004	VA	Pres-P	Pres-D	American Research Group		2/5/2004	600	Kerry	35	Edwards	22	17	13	2/10/2004	51.5	26.6	24.9	11.9		1	
5381655	2004_Pres-D_VA	2004	VA	Pres-P	Pres-D	Mason-Dixon Polling & Research, Inc.		2/5/2004	625	Kerry	34	Edwards	25	14	9	2/10/2004	51.5	26.6	24.9	15.9		1	
5381656	2004_Pres-D_WI	2004	WI	Pres-P	Pres-D	American Research Group		2/5/2004	600	Kerry	41	Edwards	10	9	31	2/17/2004	39.6	34.3	5.3	25.7		1	
5381657	2004_Pres-D_WI	2004	WI	Pres-P	Pres-D	Market Shares Corp.		2/6/2004	666	Kerry	45	Edwards	9	13	36	2/17/2004	39.6	34.3	5.3	30.7		1	
5381658	2004_Pres-D_VA	2004	VA	Pres-P	Pres-D	SurveyUSA		2/7/2004	716	Kerry	43	Edwards	22	12	21	2/10/2004	51.5	26.6	24.9	3.9		1	
5381659	2004_Pres-D_TN	2004	TN	Pres-P	Pres-D	InsiderAdvantage		2/8/2004	449	Kerry	53	Edwards	21	18	32	2/10/2004	41	26.5	14.5	17.5		1	
5381660	2004_Pres-D_TN	2004	TN	Pres-P	Pres-D	SurveyUSA		2/8/2004	523	Kerry	35	Edwards	25	24	10	2/10/2004	41	26.5	14.5	4.5		1	
5381661	2004_Pres-D_TN	2004	TN	Pres-P	Pres-D	Zogby Analytics, telephone		2/8/2004	600	Kerry	45	Edwards	21	19	24	2/10/2004	41	26.5	14.5	9.5		1	
5381662	2004_Pres-D_VA	2004	VA	Pres-P	Pres-D	Zogby Analytics, telephone		2/8/2004	500	Kerry	47	Edwards	24	11	23	2/10/2004	51.5	26.6	24.9	1.9		1	
5381663	2004_Pres-D_CA	2004	CA	Pres-P	Pres-D	Public Policy Institute of California		2/12/2004	500	Kerry	56	Edwards	10	4	46	3/2/2004	64.4	19.8	44.6	1.4		1	
5381664	2004_Pres-D_WI	2004	WI	Pres-P	Pres-D	American Research Group		2/12/2004	600	Kerry	53	Edwards	16	11	37	2/17/2004	39.6	34.3	5.3	31.7		1	
5381665	2004_House-GS_KY-6	2004	KY-6	House-G	House-GS	SurveyUSA		2/14/2004	517	Democrat	53	Republican	45		8	2/17/2004	55	43	12	4	-4	1	
5381666	2004_Pres-D_CT	2004	CT	Pres-P	Pres-D	SurveyUSA		2/14/2004	371	Kerry	67	Edwards	12		55	3/2/2004	58.34	23.72	34.62	20.38		1	
5381667	2004_Pres-D_GA	2004	GA	Pres-P	Pres-D	SurveyUSA		2/14/2004	302	Kerry	50	Edwards	19	12	31	3/2/2004	46.8	41.4	5.4	25.6		1	
5381668	2004_Pres-D_WI	2004	WI	Pres-P	Pres-D	Zogby Analytics, telephone		2/14/2004	600	Kerry	47	Edwards	20	23	27	2/17/2004	39.6	34.3	5.3	21.7		1	
5381669	2004_Pres-D_CA	2004	CA	Pres-P	Pres-D	SurveyUSA		2/15/2004	573	Kerry	59	Edwards	14		45	3/2/2004	64.4	19.8	44.6	0.4		1	
5381670	2004_Pres-D_NY	2004	NY	Pres-P	Pres-D	Marist College		2/18/2004	397	Kerry	66	Edwards	14	7	52	3/2/2004	61.2	20.1	41.1	10.9		1	
5381671	2004_Pres-D_NY	2004	NY	Pres-P	Pres-D	Canisius College		2/19/2004	401	Kerry	57	Edwards	16	11	41	3/2/2004	61.2	20.1	41.1	0.1		1	
5381672	2004_Pres-D_CA	2004	CA	Pres-P	Pres-D	Field Research Corporation (Field Poll)		2/20/2004	497	Kerry	60	Edwards	19	3	41	3/2/2004	64.4	19.8	44.6	3.6		1	
5381673	2004_Pres-D_CA	2004	CA	Pres-P	Pres-D	Los Angeles Times		2/20/2004	560	Kerry	56	Edwards	24	4	32	3/2/2004	64.4	19.8	44.6	12.6		1	
5381674	2004_Pres-D_NY	2004	NY	Pres-P	Pres-D	Quinnipiac University		2/21/2004	504	Kerry	60	Edwards	21	9	39	3/2/2004	61.2	20.1	41.1	2.1		1	
5381675	2004_Pres-D_NY	2004	NY	Pres-P	Pres-D	SurveyUSA		2/21/2004	451	Kerry	58	Edwards	22	9	36	3/2/2004	61.2	20.1	41.1	5.1		1	
5381676	2004_Pres-D_CA	2004	CA	Pres-P	Pres-D	SurveyUSA		2/22/2004	573	Kerry	60	Edwards	25		35	3/2/2004	64.4	19.8	44.6	9.6		1	
5381677	2004_Pres-D_OH	2004	OH	Pres-P	Pres-D	SurveyUSA		2/22/2004	508	Kerry	53	Edwards	30	10	23	3/2/2004	51.8	34	17.8	5.2		1	
5381678	2004_Pres-D_NY	2004	NY	Pres-P	Pres-D	American Research Group		2/23/2004	600	Kerry	54	Edwards	21	8	33	3/2/2004	61.2	20.1	41.1	8.1		1	
5381679	2004_Pres-D_OH	2004	OH	Pres-P	Pres-D	American Research Group		2/23/2004	600	Kerry	47	Edwards	26	11	21	3/2/2004	51.8	34	17.8	3.2		1	
5381680	2004_Pres-D_OH	2004	OH	Pres-P	Pres-D	Columbus Dispatch		2/23/2004	3793	Kerry	59	Edwards	28	5	31	3/2/2004	51.8	34	17.8	13.2		1	
5381681	2004_Pres-D_GA	2004	GA	Pres-P	Pres-D	American Research Group		2/24/2004	600	Kerry	45	Edwards	37	4	8	3/2/2004	46.8	41.4	5.4	2.6		1	
5381682	2004_Pres-D_GA	2004	GA	Pres-P	Pres-D	Zogby Analytics, telephone		2/24/2004	395	Kerry	39	Edwards	23	9	16	3/2/2004	46.8	41.4	5.4	10.6		1	
5381683	2004_Pres-D_MD	2004	MD	Pres-P	Pres-D	American Research Group		2/24/2004	600	Kerry	42	Edwards	35	2	7	3/2/2004	59.6	25.5	34.1	27.1		1	
5381684	2004_Pres-D_MD	2004	MD	Pres-P	Pres-D	Mason-Dixon Polling & Research, Inc.		2/24/2004	625	Kerry	62	Edwards	20	3	42	3/2/2004	59.6	25.5	34.1	7.9		1	
5381685	2004_Pres-D_OH	2004	OH	Pres-P	Pres-D	Marshall Marketing & Communications		2/24/2004	412	Kerry	48	Edwards	29	2	19	3/2/2004	51.8	34	17.8	1.2		1	
5381686	2004_Pres-D_RI	2004	RI	Pres-P	Pres-D	SurveyUSA		2/24/2004	354	Kerry	66	Edwards	23		43	3/2/2004	71.22	18.55	52.67	9.67		1	
5381687	2004_Pres-D_MD	2004	MD	Pres-P	Pres-D	SurveyUSA		2/25/2004	430	Kerry	54	Edwards	29	7	25	3/2/2004	59.6	25.5	34.1	9.1		1	
5381688	2004_Pres-D_NY	2004	NY	Pres-P	Pres-D	Marist College		2/25/2004	417	Kerry	64	Edwards	22	5	42	3/2/2004	61.2	20.1	41.1	0.9		1	
5381689	2004_Pres-D_GA	2004	GA	Pres-P	Pres-D	Zogby Analytics, telephone		2/26/2004	602	Kerry	41	Edwards	26	5	15	3/2/2004	46.8	41.4	5.4	9.6		1	
5381690	2004_Pres-D_CT	2004	CT	Pres-P	Pres-D	SurveyUSA		2/27/2004	371	Kerry	64	Edwards	22		42	3/2/2004	58.34	23.72	34.62	7.38		1	
5381691	2004_Pres-D_NY	2004	NY	Pres-P	Pres-D	Quinnipiac University		2/27/2004	504	Kerry	63	Edwards	21	5	42	3/2/2004	61.2	20.1	41.1	0.9		1	
5381692	2004_Pres-D_OH	2004	OH	Pres-P	Pres-D	InsiderAdvantage		2/27/2004	300	Kerry	53	Edwards	20	6	33	3/2/2004	51.8	34	17.8	15.2		1	
5381693	2004_Pres-D_CA	2004	CA	Pres-P	Pres-D	SurveyUSA		2/28/2004	573	Kerry	61	Edwards	24		37	3/2/2004	64.4	19.8	44.6	7.6		1	
5381694	2004_Pres-D_GA	2004	GA	Pres-P	Pres-D	American Research Group		2/28/2004	600	Kerry	48	Edwards	38	4	10	3/2/2004	46.8	41.4	5.4	4.6		1	
5381695	2004_Pres-D_GA	2004	GA	Pres-P	Pres-D	InsiderAdvantage		2/28/2004	500	Kerry	46	Edwards	25	3	21	3/2/2004	46.8	41.4	5.4	15.6		1	
5381696	2004_Pres-D_GA	2004	GA	Pres-P	Pres-D	SurveyUSA		2/28/2004	302	Kerry	46	Edwards	36	9	10	3/2/2004	46.8	41.4	5.4	4.6		1	
5381697	2004_Pres-D_MD	2004	MD	Pres-P	Pres-D	American Research Group		2/28/2004	600	Kerry	46	Edwards	34	3	12	3/2/2004	59.6	25.5	34.1	22.1		1	
5381698	2004_Pres-D_NY	2004	NY	Pres-P	Pres-D	SurveyUSA		2/28/2004	451	Kerry	61	Edwards	20	9	41	3/2/2004	61.2	20.1	41.1	0.1		1	
5381699	2004_Pres-D_OH	2004	OH	Pres-P	Pres-D	SurveyUSA		2/28/2004	508	Kerry	53	Edwards	32	9	21	3/2/2004	51.8	34	17.8	3.2		1	
5381700	2004_Pres-D_GA	2004	GA	Pres-P	Pres-D	SurveyUSA		2/29/2004	302	Kerry	46	Edwards	42	8	4	3/2/2004	46.8	41.4	5.4	1.4		1	
5381701	2004_Pres-D_GA	2004	GA	Pres-P	Pres-D	Zogby Analytics, telephone		2/29/2004	602	Kerry	51	Edwards	37	5	14	3/2/2004	46.8	41.4	5.4	8.6		1	
5381702	2004_Pres-D_NY	2004	NY	Pres-P	Pres-D	Marist College		2/29/2004	397	Kerry	69	Edwards	15	5	54	3/2/2004	61.2	20.1	41.1	12.9		1	
5381703	2004_House-GS_SD-1	2004	SD-1	House-G	House-GS	Mason-Dixon Polling & Research, Inc.		5/11/2004	625	Democrat	49	Republican	40		9	6/1/2004	50.57	49.43	1.14	7.86	7.86	1	
5381704	2004_House-GS_SD-1	2004	SD-1	House-G	House-GS	Zogby Analytics, telephone		5/20/2004	503	Democrat	52	Republican	41		11	6/1/2004	50.57	49.43	1.14	9.86	9.86	1	
5381705	2004_House-G_AR-2	2004	AR-2	House-G	House-G	SurveyUSA		10/12/2004	583	Democrat	57	Republican	35		22	11/2/2004	58.16928458	41.82926873	16.34001584	5.659984159	5.659984159	1	
5381706	2004_House-G_CO-3	2004	CO-3	House-G	House-G	SurveyUSA		10/12/2004	630	Democrat	44	Republican	49		-5	11/2/2004	50.55228786	46.55948045	3.992807414	8.992807414	-8.992807414	0	
5381707	2004_House-G_KS-4	2004	KS-4	House-G	House-G	SurveyUSA		10/12/2004	661	Democrat	31	Republican	61		-30	11/2/2004	31.07420346	66.10961572	-35.03541225	5.035412252	5.035412252	1	
5381708	2004_House-G_TX-17	2004	TX-17	House-G	House-G	Bennett Petts & Blumenthal	D	10/12/2004	450	Democrat	50	Republican	40		10	11/2/2004	51.19919264	47.41570922	3.78348342	6.21651658	6.21651658	1	
5381709	2004_Pres-G_MI	2004	MI	Pres-G	Pres-G	Research 2000		10/12/2004	600	Democrat	48	Republican	43	2	5	11/2/2004	51.23	47.81	3.42	1.58	1.58	1	
5381710	2004_Pres-G_SD	2004	SD	Pres-G	Pres-G	Rasmussen Reports/Pulse Opinion Research		10/12/2004	500	Democrat	42	Republican	52		-10	11/2/2004	38.44	59.91	-21.47	11.47	11.47	1	
5381711	2004_Pres-G_US	2004	US	Pres-G	Pres-G	IBD/TIPP		10/12/2004	1284	Democrat	44	Republican	47	2	-3	11/2/2004	48.27	50.73	-2.46	0.54	-0.54	1	
5381712	2004_Pres-G_US	2004	US	Pres-G	Pres-G	Zogby Analytics, telephone		10/12/2004	1200	Democrat	45	Republican	46	1	-1	11/2/2004	48.27	50.73	-2.46	1.46	1.46	1	
5381713	2004_Sen-G_SD	2004	SD	Sen-G	Sen-G	Rasmussen Reports/Pulse Opinion Research		10/12/2004	500	Democrat	49	Republican	49		0	11/2/2004	49.42	50.58	-1.16	1.16	1.16	0.5	
5381714	2004_Gov-G_NH	2004	NH	Gov-G	Gov-G	Research 2000		10/13/2004	600	Democrat	44	Republican	48		-4	11/2/2004	51	48.9	2.1	6.1	-6.1	0	
5381715	2004_Gov-G_WV	2004	WV	Gov-G	Gov-G	Global Strategy Group	D	10/13/2004	600	Democrat	57	Republican	24		33	11/2/2004	63.5	34	29.5	3.5	3.5	1	
5381716	2004_House-G_NH-1	2004	NH-1	House-G	House-G	Research 2000		10/13/2004	300	Democrat	37	Republican	53		-16	11/2/2004	36.5603701	63.34376508	-26.78339498	10.78339498	10.78339498	1	
5381717	2004_House-G_NH-1	2004	NH-1	House-G	House-G	Research 2000		10/13/2004	300	Democrat	36	Republican	52		-16	11/2/2004	36.5603701	63.34376508	-26.78339498	10.78339498	10.78339498	1	
5381718	2004_House-G_US	2004	US	House-G	House-G	George Washington University (Battleground)		10/13/2004	1000	Democrat	44	Republican	40		4	11/2/2004	46.55247698	49.31615427	-2.763677291	6.763677291	6.763677291	0	
5381719	2004_Pres-G_AL	2004	AL	Pres-G	Pres-G	Capital Survey Research Center		10/13/2004	546	Democrat	32	Republican	56	1	-24	11/2/2004	36.84	62.46	-25.62	1.62	1.62	1	
5381720	2004_Pres-G_AR	2004	AR	Pres-G	Pres-G	University of Arkansas		10/13/2004	618	Democrat	44	Republican	53	2	-9	11/2/2004	44.55	54.31	-9.76	0.76	0.76	1	
5381721	2004_Pres-G_FL	2004	FL	Pres-G	Pres-G	Strategic Vision, LLC		10/13/2004	801	Democrat	45	Republican	49		-4	11/2/2004	47.09	52.1	-5.01	1.01	1.01	1	
5381722	2004_Pres-G_FL	2004	FL	Pres-G	Pres-G	University of North Florida		10/13/2004	641	Democrat	45	Republican	44	2	1	11/2/2004	47.09	52.1	-5.01	6.01	6.01	0	
5381723	2004_Pres-G_GA	2004	GA	Pres-G	Pres-G	Strategic Vision, LLC		10/13/2004	801	Democrat	37	Republican	58	2	-21	11/2/2004	41.37	57.97	-16.6	4.4	-4.4	1	
5381724	2004_Pres-G_LA	2004	LA	Pres-G	Pres-G	Southern Media & Opinion Research		10/13/2004	600	Democrat	32	Republican	50		-18	11/2/2004	42.22	56.72	-14.5	3.5	-3.5	1	
5381725	2004_Pres-G_MI	2004	MI	Pres-G	Pres-G	Strategic Vision, LLC		10/13/2004	801	Democrat	48	Republican	40	1	8	11/2/2004	51.23	47.81	3.42	4.58	4.58	1	
5381726	2004_Pres-G_MN	2004	MN	Pres-G	Pres-G	Strategic Vision, LLC		10/13/2004	801	Democrat	47	Republican	45		2	11/2/2004	51.09	47.61	3.48	1.48	-1.48	1	
5381727	2004_Pres-G_NH	2004	NH	Pres-G	Pres-G	Research 2000		10/13/2004	600	Democrat	49	Republican	45	2	4	11/2/2004	50.24	48.87	1.37	2.63	2.63	1	
5381728	2004_Pres-G_OR	2004	OR	Pres-G	Pres-G	Research 2000		10/13/2004	600	Democrat	50	Republican	44		6	11/2/2004	51.35	47.19	4.16	1.84	1.84	1	
5381729	2004_Pres-G_US	2004	US	Pres-G	Pres-G	George Washington University (Battleground)		10/13/2004	1000	Democrat	46	Republican	49		-3	11/2/2004	48.27	50.73	-2.46	0.54	-0.54	1	
5381730	2004_Pres-G_WA	2004	WA	Pres-G	Pres-G	Rasmussen Reports/Pulse Opinion Research		10/13/2004	400	Democrat	52	Republican	44		8	11/2/2004	52.82	45.64	7.18	0.82	0.82	1	
5381731	2004_Pres-G_WV	2004	WV	Pres-G	Pres-G	Global Strategy Group	D	10/13/2004	600	Democrat	45	Republican	47	2	-2	11/2/2004	43.2	56.06	-12.86	10.86	10.86	1	
5381732	2004_Sen-G_FL	2004	FL	Sen-G	Sen-G	Strategic Vision, LLC		10/13/2004	801	Democrat	47	Republican	47		0	11/2/2004	48.32	49.43	-1.11	1.11	1.11	0.5	
5381733	2004_Sen-G_FL	2004	FL	Sen-G	Sen-G	University of North Florida		10/13/2004	641	Democrat	38	Republican	35		3	11/2/2004	48.32	49.43	-1.11	4.11	4.11	0	
