person,dept,eow,cause
Police Captain James Edward Meehan,"Franklin Police Department, PA","EOW: Monday, November 25, 1907",Cause of Death: Gunfire
Policeman Patrick H. Lyons,"Los Angeles Police Department, CA","EOW: Saturday, November 30, 1907",Cause of Death: Gunfire
Special Officer Miguel Cantu,"San Antonio Police Department, TX","EOW: Saturday, November 30, 1907",Cause of Death: Gunfire
Police Officer James A. Manier,"Atlanta Police Department, GA","EOW: Friday, December 6, 1907",Cause of Death: Gunfire
Town Marshal William J. Brinson,"Midville Police Department, GA","EOW: Sunday, December 8, 1907",Cause of Death: Gunfire
Special Agent Joseph M. Smith,"Chicago, Burlington and Quincy Railroad Police Department, RR","EOW: Tuesday, December 10, 1907",Cause of Death: Struck by train
Officer Charles Hoard,"Hopkinsville Police Department, KY","EOW: Thursday, December 12, 1907",Cause of Death: Gunfire
Patrolman Simon R. Cannon,"Louisville Police Department, KY","EOW: Friday, December 13, 1907",Cause of Death: Gunfire
Town Marshal Albert Clutterbuck,"Florence Police Department, KY","EOW: Saturday, December 14, 1907",Cause of Death: Gunfire
Patrolman Charles S. Ford,"Salt Lake City Police Department, UT","EOW: Saturday, December 14, 1907",Cause of Death: Gunfire
Deputy Collector John Walter Hendrix,"United States Department of the Treasury - Office of Internal Revenue, US","EOW: Friday, December 20, 1907",Cause of Death: Gunfire
Constable Preston Van Buren Swanguen,"Riverside County Sheriff's Department, CA","EOW: Tuesday, December 24, 1907",Cause of Death: Gunfire
Special Deputy Lee Eldridge,"Sullivan County Sheriff's Department, TN","EOW: Wednesday, December 25, 1907",Cause of Death: Gunfire
Constable Samuel B. Teas,"Caldwell County Constable's Office - Precinct 1, TX","EOW: Sunday, December 29, 1907",Cause of Death: Gunfire (Accidental)
"Police Officer William  ""Bill"" Hudson","Ocala Police Department, FL","EOW: Wednesday, January 1, 1908",Cause of Death: Gunfire
Patrolman Mike Wrenn,"Knoxville Police Department, TN","EOW: Wednesday, January 1, 1908",Cause of Death: Gunfire
Patrolman O. L. Jarnigan,"Knoxville Police Department, TN","EOW: Wednesday, January 1, 1908",Cause of Death: Gunfire
Detective William R. Mooney,"Chicago Police Department, IL","EOW: Thursday, January 2, 1908",Cause of Death: Gunfire
Patrolman Michael D. Callahan,"Chicago Police Department, IL","EOW: Friday, January 3, 1908",Cause of Death: Gunfire
Police Officer James J. Fenton,"Oakland Police Department, CA","EOW: Saturday, January 4, 1908",Cause of Death: Gunfire
Policeman Scott H. Shelley,"Philadelphia Police Department, PA","EOW: Sunday, January 5, 1908",Cause of Death: Struck by vehicle
Patrolman John Leslie McDonald,"Steubenville Police Department, OH","EOW: Wednesday, January 8, 1908",Cause of Death: Gunfire
Deputy Sheriff Charles Edwards,"Gila County Sheriff's Office, AZ","EOW: Friday, January 10, 1908",Cause of Death: Gunfire
Patrolman Robert J. Fitzgerald,"New York City Police Department, NY","EOW: Saturday, January 11, 1908",Cause of Death: Struck by streetcar
Patrolman Patrick J. Kelliher,"Quincy Police Department, MA","EOW: Sunday, January 12, 1908",Cause of Death: Assault
Policeman Albert Holindrake,"Park City Police Department, UT","EOW: Sunday, January 12, 1908",Cause of Death: Gunfire (Accidental)
Patrolman John T. Lynch,"Boston Police Department, MA","EOW: Thursday, January 16, 1908",Cause of Death: Gunfire
Police Officer William Alvah Clyde,"Sumter Police Department, SC","EOW: Tuesday, January 21, 1908",Cause of Death: Gunfire
City Marshal John Thompson Hamilton,"Hope Police Department, AR","EOW: Wednesday, January 22, 1908",Cause of Death: Gunfire
Patrolman John Loughman,"New York City Police Department, NY","EOW: Monday, January 27, 1908",Cause of Death: Gunfire
Constable Dave Pierce,"Anderson County Constable's Office - Precinct 4, TX","EOW: Thursday, January 30, 1908",Cause of Death: Gunfire
Deputy Sheriff David S. Cox,"Hughes County Sheriff's Office, OK","EOW: Friday, January 31, 1908",Cause of Death: Gunfire
Private Homer White,"Texas Rangers, TX","EOW: Tuesday, February 4, 1908",Cause of Death: Gunfire
Patrolman Patrick Rodgers,"Swissvale Borough Police Department, PA","EOW: Saturday, February 8, 1908",Cause of Death: Struck by train
Patrolman Constantine Andreola,"Shreveport Police Department, LA","EOW: Thursday, February 13, 1908",Cause of Death: Struck by streetcar
Detective Samuel S. Drummy,"Omaha Police Department, NE","EOW: Saturday, February 15, 1908",Cause of Death: Gunfire
Special Policeman J. H. Crawford,"Southern Railroad Police Department, RR","EOW: Sunday, February 16, 1908",Cause of Death: Gunfire
Chief of Police James H. Benton,"Fayetteville Police Department, NC","EOW: Saturday, February 22, 1908",Cause of Death: Gunfire
Patrolman Lewis Keller,"South Bend Police Department, IN","EOW: Tuesday, February 25, 1908",Cause of Death: Gunfire
Guard Supra C. Woodroof,"Virginia Department of Corrections, VA","EOW: Saturday, February 29, 1908",Cause of Death: Fall
City Marshal J. W. Newsome,"Floral City Marshal's Office, FL","EOW: Tuesday, March 3, 1908",Cause of Death: Gunfire
Night Watchman James Delmar Ellis,"Brighton Police Department, CO","EOW: Friday, March 6, 1908",Cause of Death: Gunfire
Deputy Warden John Robinson,"Montana Department of Corrections - State Prison, MT","EOW: Sunday, March 8, 1908",Cause of Death: Stabbed
Sheriff Syl G. Ford,"Kay County Sheriff's Office, OK","EOW: Monday, March 9, 1908",Cause of Death: Struck by train
Police Officer Willis A. Smith,"Birmingham Police Department, AL","EOW: Tuesday, March 10, 1908",Cause of Death: Gunfire
Police Officer L. F. Harvey,"Muskogee Police Department, OK","EOW: Tuesday, March 10, 1908",Cause of Death: Gunfire
Chief of Police Daniel E. Doncaster,"Wilkinsburg Borough Police Department, PA","EOW: Saturday, March 14, 1908",Cause of Death: Accidental
Inspector Charles E. Jones,"United States Department of the Treasury - Customs Service, US","EOW: Thursday, March 19, 1908",Cause of Death: Gunfire (Accidental)
Inspector Charles R. Logan,"United States Department of the Treasury - Customs Service, US","EOW: Thursday, March 19, 1908",Cause of Death: Gunfire (Accidental)
"Sheriff Enos L. ""Bud"" McCracken","Barber County Sheriff's Office, KS","EOW: Saturday, March 21, 1908",Cause of Death: Gunfire
Sheriff James T. Webb,"Yellowstone County Sheriff's Office, MT","EOW: Tuesday, March 24, 1908",Cause of Death: Gunfire
Patrolman Pat Sweeney,"Tiffin Police Department, OH","EOW: Monday, March 30, 1908",Cause of Death: Gunfire
Chief of Detectives William E. Dwyer,"Terre Haute Police Department, IN","EOW: Thursday, April 2, 1908",Cause of Death: Gunfire
Deputy Sheriff James Morefield,"Scott County Sheriff's Office, VA","EOW: Sunday, April 5, 1908",Cause of Death: Gunfire
Deputy Sheriff Antonio T. Shelby,"Las Animas County Sheriff's Office, CO","EOW: Tuesday, April 7, 1908",Cause of Death: Gunfire
Policeman Charles Miller,"Salem Police Department, OH","EOW: Wednesday, April 8, 1908",Cause of Death: Gunfire
Policeman Thomas A. Gordon,"Philadelphia Police Department, PA","EOW: Thursday, April 9, 1908",Cause of Death: Gunfire (Accidental)
Patrolman August Lind,"Danville Police Department, IL","EOW: Friday, April 10, 1908",Cause of Death: Gunfire
Deputy Marshal Harry E. Miller,"Kent Police Department, WA","EOW: Friday, April 10, 1908",Cause of Death: Gunfire
Police Officer Will Garr,"Caney Police Department, KS","EOW: Tuesday, April 14, 1908",Cause of Death: Gunfire
Night Marshal Pleasant Eugene Holt,"Villa Rica Police Department, GA","EOW: Saturday, April 18, 1908",Cause of Death: Gunfire
City Marshal James Ryan,"Warrensburg Police Department, MO","EOW: Sunday, April 19, 1908",Cause of Death: Gunfire
Officer James E. Basham,"Warrensburg Police Department, MO","EOW: Monday, April 20, 1908",Cause of Death: Gunfire
Lieutenant Arthur Briggs,"Duluth Police Department, MN","EOW: Tuesday, April 28, 1908",Cause of Death: Heart attack
Policeman William H. Beck,"Denver Police Department, CO","EOW: Saturday, May 2, 1908",Cause of Death: Gunfire
Sergeant James Patrick Boyle,"Toledo Police Department, OH","EOW: Sunday, May 3, 1908",Cause of Death: Gunfire
Patrolman Eugene L. White,"Meridian Police Department, MS","EOW: Thursday, May 21, 1908",Cause of Death: Gunfire
Mounted Patrolman Charles G. Peterson,"Cincinnati Police Department, OH","EOW: Saturday, May 23, 1908",Cause of Death: Gunfire
Sheriff Alfred Henry Bath,"Albany County Sheriff's Office, WY","EOW: Friday, May 29, 1908",Cause of Death: Gunfire
Officer William H. Heins,"San Francisco Police Department, CA","EOW: Thursday, June 4, 1908",Cause of Death: Gunfire
Railroad Policeman J. George Schriner,"Washington, Baltimore & Annapolis Electric Railway Police Department, RR","EOW: Friday, June 5, 1908",Cause of Death: Train accident
Sheriff George Washington Garrison,"Oklahoma County Sheriff's Office, OK","EOW: Friday, June 5, 1908",Cause of Death: Gunfire
Deputy Constable F. M. Woods,"Eufaula Police Department, OK","EOW: Monday, June 8, 1908",Cause of Death: Gunfire
Guard James Walter Johnson,"Bibb County Sheriff's Office, GA","EOW: Tuesday, June 16, 1908",Cause of Death: Gunfire (Accidental)
Patrolman Frank Duncan,"Latonia Police Department, KY","EOW: Friday, June 19, 1908",Cause of Death: Gunfire
Special Officer William Wetherspoon Gemmell,"Pawtucket Police Department, RI","EOW: Monday, June 22, 1908",Cause of Death: Gunfire
Detective Daniel F. McCrea,"Buffalo, Rochester and Pittsburgh Railroad Police, RR","EOW: Wednesday, June 24, 1908",Cause of Death: Gunfire
Policeman William F. Campbell,"Bristol Police Department, VA","EOW: Thursday, July 2, 1908",Cause of Death: Gunfire
Chief of Police Martin A. Fine,"LaFollette Police Department, TN","EOW: Saturday, July 4, 1908",Cause of Death: Fire
Policeman George T. Smith,"Suffolk Police Department, VA","EOW: Saturday, July 4, 1908",Cause of Death: Gunfire
Patrolman Charles W. Lind,"Cincinnati Police Department, OH","EOW: Sunday, July 5, 1908",Cause of Death: Struck by streetcar
Town Marshal Thomas Nicholson,"Gowrie Police Department, IA","EOW: Saturday, July 11, 1908",Cause of Death: Gunfire
Customs Inspector Ziba H. Nickerson,"United States Department of the Treasury - Customs Service, US","EOW: Thursday, July 16, 1908",Cause of Death: Explosion
Customs Inspector Charles F. Atwood,"United States Department of the Treasury - Customs Service, US","EOW: Thursday, July 16, 1908",Cause of Death: Explosion
Deputy Sheriff Robert Gardner,"Jefferson County Sheriff's Office, AL","EOW: Friday, July 17, 1908",Cause of Death: Gunfire
Special Deputy Sheriff Escapulo Domingez,"Coconino County Sheriff's Department, AZ","EOW: Friday, July 17, 1908",Cause of Death: Gunfire
Guard James Elliot,"Texas Department of Criminal Justice, TX","EOW: Friday, July 17, 1908",Cause of Death: Assault
City Marshal Carl Right Grooms,"Greenfield Police Department, TN","EOW: Sunday, July 19, 1908",Cause of Death: Gunfire
Deputy Jailer Henry Ross McCain,"Wharton County Sheriff's Department, TX","EOW: Sunday, July 19, 1908",Cause of Death: Stabbed
Patrolman Michael McCormick,"Niagara Falls Police Department, NY","EOW: Thursday, July 23, 1908",Cause of Death: Gunfire
Marshal John S. Wright,"Colville Police Department, WA","EOW: Thursday, July 23, 1908",Cause of Death: Gunfire
Constable Thomas D. Conger,"Ellis County Constable's Office - Precinct 4, TX","EOW: Friday, July 24, 1908",Cause of Death: Gunfire
Deputy Sheriff Frank A. Hayden,"Windsor County Sheriff's Office, VT","EOW: Sunday, July 26, 1908",Cause of Death: Assault
Police Officer W. T. Phillips,"Little Rock Police Department, AR","EOW: Sunday, August 2, 1908",Cause of Death: Gunfire
Town Marshal Lafayette C. Copas,"Rocky Hill Station Police Department, KY","EOW: Saturday, August 8, 1908",Cause of Death: Gunfire
Patrolman Francis McDermott,"Methuen Police Department, MA","EOW: Saturday, August 8, 1908",Cause of Death: Gunfire
Patrolman Charles H. Emerson,"Methuen Police Department, MA","EOW: Saturday, August 8, 1908",Cause of Death: Gunfire
Deputized Civilian Dock McDavid,"Bastrop County Constable's Office - Precinct 8, TX","EOW: Saturday, August 8, 1908",Cause of Death: Gunfire (Accidental)
Patrolman William S. Winningder,"Portsmouth Police Department, VA","EOW: Tuesday, August 11, 1908",Cause of Death: Gunfire
Police Officer Zeno Fults,"St. Louis Metropolitan Police Department, MO","EOW: Wednesday, August 12, 1908",Cause of Death: Gunfire
Railroad Detective Charles L. Stewart,"Atchison, Topeka and Santa Fe Railroad Police Department, RR","EOW: Thursday, August 13, 1908",Cause of Death: Gunfire
Patrolman John Carroll,"New Orleans Police Department, LA","EOW: Friday, August 14, 1908",Cause of Death: Stabbed
Policeman William P. Stephens,"Denver Police Department, CO","EOW: Tuesday, August 25, 1908",Cause of Death: Gunfire
Deputy Sheriff William J. Rogers,"Harrison County Sheriff's Office, TX","EOW: Wednesday, August 26, 1908",Cause of Death: Train accident
Sheriff William E. Haynes,"Lowndes County Sheriff's Office, AL","EOW: Saturday, September 5, 1908",Cause of Death: Gunfire
City Marshal Bentley MacFarland Burnett,"Haleyville Police Department, AL","EOW: Saturday, September 5, 1908",Cause of Death: Gunfire
Railroad Detective William B. Stanton,"Pennsylvania Railroad Police Department, RR","EOW: Saturday, September 5, 1908",Cause of Death: Gunfire
Town Marshal John D. Owens,"Wildwood Police Department, FL","EOW: Sunday, September 6, 1908",Cause of Death: Gunfire
Chief of Detectives Patrick Gill,"East St. Louis Police Department, IL","EOW: Sunday, September 6, 1908",Cause of Death: Gunfire
Captain Walter H. Auble,"Los Angeles Police Department, CA","EOW: Wednesday, September 9, 1908",Cause of Death: Gunfire
Constable Edward Adolphus George,"St. Petersburg Police Department, FL","EOW: Wednesday, September 16, 1908",Cause of Death: Gunfire
Policeman Henry Williams,"Paris Police Department, KY","EOW: Friday, September 18, 1908",Cause of Death: Stabbed
Warden L. Pressley Reeves,"South Carolina Department of Natural Resources, SC","EOW: Tuesday, September 22, 1908",Cause of Death: Gunfire
Chief of Police James Erville Vaughan,"Carver Police Department, MA","EOW: Wednesday, September 23, 1908",Cause of Death: Stabbed
Postal Inspector Charles Fitzgerald,"United States Postal Inspection Service, US","EOW: Wednesday, September 23, 1908",Cause of Death: Gunfire
Officer Samuel Smyth Young,"Portland Police Bureau, OR","EOW: Wednesday, September 23, 1908",Cause of Death: Gunfire
Deputy Marshal Ben Porch,"Barnesville Police Department, GA","EOW: Thursday, September 24, 1908",Cause of Death: Gunfire
Reserve Officer Daniel J. Donovan,"Springfield Police Department, MA","EOW: Tuesday, September 29, 1908",Cause of Death: Gunfire (Accidental)
Patrolman Nicholas Nester,"Jersey City Police Department, NJ","EOW: Wednesday, October 7, 1908",Cause of Death: Fire
Sheriff William Henry Smith,"Greene County Sheriff's Department, TN","EOW: Friday, October 9, 1908",Cause of Death: Gunfire (Accidental)
Patrolman Fred P. Widmann,"Waterloo Police Department, IA","EOW: Sunday, October 11, 1908",Cause of Death: Gunfire
Deputy Game Warden Charles B. Peyton,"Montana Department of Fish, Wildlife and Parks, MT","EOW: Sunday, October 18, 1908",Cause of Death: Gunfire
Patrolman James Farrell,"Pittsburgh Police Department, PA","EOW: Friday, October 23, 1908",Cause of Death: Gunfire (Accidental)
Police Officer Edward Dellmore,"St. Louis Metropolitan Police Department, MO","EOW: Sunday, October 25, 1908",Cause of Death: Assault
Marshal Charles A. Ralston,"Weeping Water Police Departmnet, NE","EOW: Sunday, November 1, 1908",Cause of Death: Gunfire
Chief of Police Alvin G. Miller,"Fairbanks Police Department, AK","EOW: Monday, November 2, 1908",Cause of Death: Gunfire
Constable D. B. Cook,"Ardmore Police Department, OK","EOW: Tuesday, November 3, 1908",Cause of Death: Gunfire
Police Officer John W. Little,"Birmingham Police Department, AL","EOW: Saturday, November 7, 1908",Cause of Death: Gunfire
Deputy Sheriff William Larkin Stiles,"Humboldt County Sheriff's Office, NV","EOW: Sunday, November 8, 1908",Cause of Death: Gunfire
Officer William E. Yetton,"Metropolitan Police Department, DC","EOW: Monday, November 9, 1908",Cause of Death: Animal related
Night Patrolman Albert B. Smith,"Cripple Creek Police Department, CO","EOW: Tuesday, November 10, 1908",Cause of Death: Gunfire
Superintendent Joseph W. Martin,"New Jersey Department of Corrections, NJ","EOW: Friday, November 13, 1908",Cause of Death: Fall
Deputy Game Warden Julius A. Salmonson,"Michigan Department of Natural Resources, MI","EOW: Sunday, November 15, 1908",Cause of Death: Drowned
Deputy Game Warden Martin Salmonson,"Michigan Department of Natural Resources, MI","EOW: Sunday, November 15, 1908",Cause of Death: Drowned
Deputy Sheriff Joseph C. Hazeltine,"Muskegon County Sheriff's Office, MI","EOW: Sunday, November 15, 1908",Cause of Death: Drowned
Patrolman Charles A. Berberich,"New York City Police Department, NY","EOW: Sunday, November 15, 1908",Cause of Death: Electrocuted
Assistant Chief Henry Klaber,"Okmulgee Police Department, OK","EOW: Sunday, November 15, 1908",Cause of Death: Gunfire
Sheriff William Edgar Robinson,"Okmulgee County Sheriff's Office, OK","EOW: Sunday, November 15, 1908",Cause of Death: Gunfire
Special Officer Felix Chapman,"Okmulgee Police Department, OK","EOW: Sunday, November 15, 1908",Cause of Death: Gunfire
"Special Deputy Sheriff Richard ""Dick"" Burrus","Lake County Sheriff's Office, TN","EOW: Monday, November 23, 1908",Cause of Death: Gunfire
Deputy Sheriff John R. Tabner,"Hughes County Sheriff's Office, OK","EOW: Wednesday, November 25, 1908",Cause of Death: Gunfire
Chief Deputy Seymore Legrande Clark,"Weber County Sheriff's Department, UT","EOW: Friday, November 27, 1908",Cause of Death: Gunfire
Chief of Police William J. Biggy,"San Francisco Police Department, CA","EOW: Monday, November 30, 1908",Cause of Death: Drowned
Sheriff Jackson Stanland,"Brunswick County Sheriff's Office, NC","EOW: Monday, November 30, 1908",Cause of Death: Gunfire
Deputy Sheriff George Lasonro Bryant,"Alachua County Sheriff's Office, FL","EOW: Thursday, December 3, 1908",Cause of Death: Gunfire
Police Officer Joseph D. James,"Alexandria Police Department, LA","EOW: Friday, December 4, 1908",Cause of Death: Gunfire
Special Deputy Sheriff Wiley Litteral,"Lawrence County Sheriff's Office, KY","EOW: Saturday, December 5, 1908",Cause of Death: Gunfire
Patrolman Michael P. Mullane,"Kansas City Police Department, MO","EOW: Tuesday, December 8, 1908",Cause of Death: Gunfire
Patrolman Albert O. Dolbow,"Kansas City Police Department, MO","EOW: Tuesday, December 8, 1908",Cause of Death: Gunfire
Chief of Police John Bigbee,"Cranston Police Department, RI","EOW: Friday, December 11, 1908",Cause of Death: Fire
Patrolman Benjamin Franklin Fox,"Mexico Police Department, MO","EOW: Wednesday, December 16, 1908",Cause of Death: Duty related illness
Police Officer Otto H. Flieth,"Milwaukee Police Department, WI","EOW: Thursday, December 17, 1908",Cause of Death: Struck by streetcar
Deputy Marshal Elmer Magruder,"Higbee Police Department, MO","EOW: Friday, December 18, 1908",Cause of Death: Gunfire
Policeman Edward Mooney,"Philadelphia Police Department, PA","EOW: Saturday, December 19, 1908",Cause of Death: Struck by vehicle
Chief of Police Walter R. McClintock,"Wytheville Police Department, VA","EOW: Saturday, December 19, 1908",Cause of Death: Gunfire
Deputized Civilian John Brooks,"Knox County Sheriff's Office, KY","EOW: Tuesday, December 22, 1908",Cause of Death: Gunfire
Deputy Sheriff Robert B. Smith,"Knox County Sheriff's Office, KY","EOW: Wednesday, December 23, 1908",Cause of Death: Gunfire
Patrolman Harry E. Campbell,"Columbus Division of Police, OH","EOW: Thursday, December 24, 1908",Cause of Death: Gunfire
Deputy Sheriff Charles Nicholas Mitchell,"Mayes County Sheriff's Office, OK","EOW: Thursday, December 24, 1908",Cause of Death: Gunfire
"Constable John C. McBride, Jr.","Williamson County Constable's Office - Precinct 8, TX","EOW: Thursday, December 24, 1908",Cause of Death: Gunfire
Deputy U.S. Marshal John C. Mullins,"United States Department of Justice - United States Marshals Service, US","EOW: Friday, December 25, 1908",Cause of Death: Gunfire
Corporal Juan Roig-Loyola,"Puerto Rico Police Department, PR","EOW: Friday, December 25, 1908",Cause of Death: Gunfire
Deputy Jailer Logan Young,"Jessamine County Sheriff's Department, KY","EOW: Sunday, December 27, 1908",Cause of Death: Gunfire
Policeman Alberto Souffront,"Puerto Rico Police Department, PR","EOW: Friday, January 1, 1909",Cause of Death: Unidentified
Deputy Sheriff Floyd Lusk,"Wyoming County Sheriff's Department, WV","EOW: Saturday, January 2, 1909",Cause of Death: Gunfire
Deputy Constable Charles A. De Moranville,"Los Angeles County Constable's Office, CA","EOW: Monday, January 4, 1909",Cause of Death: Gunfire
"Private N. P. ""Doc"" Thomas","Texas Rangers, TX","EOW: Tuesday, January 5, 1909",Cause of Death: Gunfire
Deputy Sheriff Benjamin F. Milligan,"Cimarron County Sheriff's Office, OK","EOW: Thursday, January 7, 1909",Cause of Death: Gunfire
Sergeant Antone J. F. Nolting,"San Francisco Police Department, CA","EOW: Friday, January 8, 1909",Cause of Death: Gunfire
Patrolman William Mateer,"Metropolitan Police Department, MA","EOW: Sunday, January 10, 1909",Cause of Death: Drowned
Deputy Sheriff James I. G. Hamons,"Clinton County Sheriff's Department, KY","EOW: Thursday, January 14, 1909",Cause of Death: Gunfire
Officer Lafayette A. Smith,"Omaha Police Department, NE","EOW: Thursday, January 14, 1909",Cause of Death: Gunfire
"City Marshal E. M. ""Zeke"" Putnam","Allen Police Department, OK","EOW: Saturday, January 16, 1909",Cause of Death: Gunfire
Night Marshal Zachary T. Shipley,"Flora Police Department, IL","EOW: Sunday, January 17, 1909",Cause of Death: Gunfire
Deputy Sheriff Philip Fatch,"Mobile County Sheriff's Office, AL","EOW: Thursday, January 21, 1909",Cause of Death: Gunfire
"Policeman Alexander  ""Alex"" Brighton","Trinidad Police Department, CO","EOW: Friday, January 22, 1909",Cause of Death: Gunfire
Deputy Sheriff J. W. Lacaze,"Rapides Parish Sheriff's Office, LA","EOW: Sunday, January 24, 1909",Cause of Death: Gunfire
Patrolman McDuffie Hampton Stone,"Laurens Police Department, SC","EOW: Thursday, January 28, 1909",Cause of Death: Gunfire
Chief of Police Emmett Goodwin,"Chickasha Police Department, OK","EOW: Monday, February 1, 1909",Cause of Death: Gunfire
Railroad Policeman Alexander S. Smith,"Northern Pacific Railroad Police Department, RR","EOW: Thursday, February 4, 1909",Cause of Death: Gunfire
Deputy Constable William Robert Draper,"Lamar County Constable's Office - Precinct 1, TX","EOW: Friday, February 5, 1909",Cause of Death: Gunfire
Sergeant Mark A. Prynn,"Pennsylvania State Police, PA","EOW: Tuesday, February 9, 1909",Cause of Death: Gunfire (Accidental)
Policeman William A. Monroe,"Salisbury Police Department, NC","EOW: Saturday, February 13, 1909",Cause of Death: Gunfire
Chief of Police W. H. Forrest,"Cordele Police Department, GA","EOW: Tuesday, February 16, 1909",Cause of Death: Gunfire
Policeman Robert Simons,"Philadelphia Police Department, PA","EOW: Wednesday, February 17, 1909",Cause of Death: Struck by train
Deputy Keeper Edward McManus,"New Jersey Department of Corrections, NJ","EOW: Thursday, February 18, 1909",Cause of Death: Assault
Patrolman John E. Creedon,"Utica Police Department, NY","EOW: Thursday, February 18, 1909",Cause of Death: Gunfire
Policeman Edward Lowry,"South Omaha Police Department, NE","EOW: Friday, February 19, 1909",Cause of Death: Gunfire
Detective Sergeant John B. Goldhammer,"New York City Police Department, NY","EOW: Friday, February 19, 1909",Cause of Death: Gunfire
Captain Timothy Hassett,"Olean Police Department, NY","EOW: Sunday, February 21, 1909",Cause of Death: Gunfire
Private John Garscia,"Pennsylvania State Police, PA","EOW: Sunday, February 21, 1909",Cause of Death: Gunfire (Accidental)
Patrolman Thomas Smith,"New York City Police Department, NY","EOW: Saturday, February 27, 1909",Cause of Death: Accidental
"Deputy U.S. Marshal John Dees ""Buck"" Crews","United States Department of Justice - United States Marshals Service, US","EOW: Thursday, March 4, 1909",Cause of Death: Gunfire (Accidental)
Police Officer Thomas H. Worthington,"Baltimore City Police Department, MD","EOW: Thursday, March 4, 1909",Cause of Death: Electrocuted
Captain William H. Mathews,"Metropolitan Police Department, DC","EOW: Friday, March 5, 1909",Cause of Death: Gunfire
Deputy U.S. Marshal Christopher Duffie Corbin,"United States Department of Justice - United States Marshals Service, US","EOW: Monday, March 8, 1909",Cause of Death: Gunfire
Deputy U.S. Marshal William Benjamin Franklin Corbin,"United States Department of Justice - United States Marshals Service, US","EOW: Monday, March 8, 1909",Cause of Death: Gunfire
"Lieutenant Giuseppe ""Joseph"" Petrosino","New York City Police Department, NY","EOW: Friday, March 12, 1909",Cause of Death: Gunfire
Sheriff Willie M. Langston,"Leon County Sheriff's Office, FL","EOW: Friday, March 19, 1909",Cause of Death: Gunfire
Night Watchman Thomas Edward Drawbond,"Norfolk and Western Railroad Police Department, RR","EOW: Friday, March 19, 1909",Cause of Death: Gunfire
Officer Frederick Barner,"Pueblo Police Department, CO","EOW: Sunday, March 21, 1909",Cause of Death: Gunfire
City Marshal Edward Baum,"Checotah Police Department, OK","EOW: Saturday, March 27, 1909",Cause of Death: Gunfire
Deputy Sheriff Herman Odom,"McIntosh County Sheriff's Office, OK","EOW: Saturday, March 27, 1909",Cause of Death: Gunfire
Police Officer J. D. Carter,"Pensacola Police Department, FL","EOW: Sunday, April 4, 1909",Cause of Death: Stabbed
Constable Jesse Simon Long,"Bug Hill Township Constable's Office, NC","EOW: Monday, April 5, 1909",Cause of Death: Gunfire
Deputy Sheriff Green Pryor William Cude,"Grady County Sheriff's Office, OK","EOW: Monday, April 19, 1909",Cause of Death: Gunfire
Correction Officer John L. Wylie,"Texas Department of Criminal Justice, TX","EOW: Thursday, April 22, 1909",Cause of Death: Gunfire (Accidental)
Deputy Sheriff Lewis Markham Huffman,"Harrison County Sheriff's Office, TX","EOW: Monday, April 26, 1909",Cause of Death: Gunfire
Chief of Police Claude Hensley,"Clendenin Police Department, WV","EOW: Tuesday, April 27, 1909",Cause of Death: Stabbed
"Special Deputy Marshal Alonzo Walter ""Lon"" Holden","United States Department of Justice - United States Marshals Service, US","EOW: Friday, May 7, 1909",Cause of Death: Gunfire (Accidental)
"Deputy Sheriff Sheldon S. ""Shelley"" Nicks","Pasco County Sheriff's Office, FL","EOW: Saturday, May 8, 1909",Cause of Death: Gunfire
Patrolman Artemus L. Fish,"New York City Police Department, NY","EOW: Tuesday, May 18, 1909",Cause of Death: Animal related
Patrolman H. C. Conner,"Jefferson County Police Department, KY","EOW: Saturday, May 22, 1909",Cause of Death: Gunfire
Special Agent Charles W. Williams,"Louisville and Nashville Railroad Police Department, RR","EOW: Monday, May 24, 1909",Cause of Death: Struck by train
Police Officer John Slade,"Pasadena Police Department, CA","EOW: Tuesday, June 1, 1909",Cause of Death: Struck by train
Deputy Sheriff Charles Escalanti,"United States Department of Justice - United States Marshals Service, US","EOW: Sunday, June 6, 1909",Cause of Death: Stabbed
Officer Samuel F. Irish,"Indianapolis Police Department, IN","EOW: Monday, June 7, 1909",Cause of Death: Heat exhaustion
Detective Sergeant William J. Russell,"Chicago Police Department, IL","EOW: Saturday, June 12, 1909",Cause of Death: Gunfire
Village Marshal Patrick Crowley,"Hodgkins Police Department, IL","EOW: Sunday, June 13, 1909",Cause of Death: Gunfire
Deputy Sheriff Thomas Newt Pearson,"McIntosh County Sheriff's Office, OK","EOW: Sunday, June 13, 1909",Cause of Death: Gunfire
Constable Thomas Sharp Lynch,"Mendocino County Constable's Office - Ukiah Judicial District, CA","EOW: Monday, June 14, 1909",Cause of Death: Gunfire
Chief of Detectives Frank B. Stiggers,"Kentucky and Indiana Bridge and Railroad Police Department, KY","EOW: Thursday, June 17, 1909",Cause of Death: Gunfire
Deputy Constable George Johnson Kirk,"Braggs Police Department, OK","EOW: Friday, June 18, 1909",Cause of Death: Gunfire
Town Constable Albert E. Miller,"Oxford Police Department, MA","EOW: Sunday, June 20, 1909",Cause of Death: Gunfire
Deputy Constable Albert Turner,"Latimer County Constable's Office, OK","EOW: Friday, June 25, 1909",Cause of Death: Gunfire
"Policeman William E. Orrison, Jr.","Brunswick Police Department, MD","EOW: Tuesday, June 29, 1909",Cause of Death: Assault
