id,candidate,song,artist,sentiment,theme,album_release_date,line,url
163,Donald Trump,I Wish You Would,Chino XL,neutral,The Apprentice,2005,Music's my apprentice Donald Trump couldn't fire me,http://genius.com/Sway-i-wish-you-would-lyrics
164,Donald Trump,Money Talks,Double X Posse,positive,money,1995,A bank account so fat that Donald Trump would wanna be me,http://genius.com/Double-x-double-xx-posse-money-talks-lyrics
165,Donald Trump,I'm Ballin' Man,Drama,positive,money,2000,More realer than Rockafeller more cheese than Donald Trump,http://genius.com/Dr-ama-im-ballin-lyrics
166,Donald Trump,Shut Up Bitch,Lil Kim,positive,hotel,2005,"I'm in the Trump International, 30 floors up (so high)",http://genius.com/Lil-kim-shut-up-bitch-lyrics
167,Donald Trump,Trump Change,E-40,positive,money,1998,"Trump change, I'm talkin Donald Trump change",http://genius.com/E-40-trump-change-lyrics
168,Donald Trump,Heavy Metal Kings,Jedi Mind Tricks,neutral,The Apprentice,2006,"I'm like Trump in the Apprentice, only fire at night",http://genius.com/Jedi-mind-tricks-heavy-metal-kings-lyrics
169,Donald Trump,The N,Nas,neutral,personal,2006,The Apprentice but not Trump,http://genius.com/Nas-the-n-lyrics
170,Donald Trump,Buy U Some 2,Erick Sermon,positive,money,2006,"No need to talk about the reeiches, I mean Trump punk",http://genius.com/Too-short-buy-u-some-2-lyrics
171,Donald Trump,Favorite Drug,Styles P,positive,hotel,2006,"Got a blunt blaze it up, we can get a room in the Trump",http://genius.com/Styles-p-favorite-drug-lyrics
172,Donald Trump,Mo Cars Mo Hoes,Fabolous,positive,money,2008,"They know I'm hood rich, Donald Trump of the pumpers",http://genius.com/Fabolous-mo-cars-mo-hoes-lyrics
173,Donald Trump,So What,Far East Movement,positive,money,2010,Hundred dollar bills stacked higher than the Trump,http://genius.com/Far-east-movement-so-what-lyrics
174,Donald Trump,LIE-Z,Fat Boys,positive,money,1989,"Boy, I got money like Donald Trump!",http://genius.com/Fat-boys-lie-z-lyrics
175,Donald Trump,Jealousy,Fat Joe,positive,money,2006,We fuckin with Donald Trump now,http://genius.com/Fat-joe-jealousy-lyrics
176,Donald Trump,Kick it Like That,Styles P,positive,hotel,2006,"I'm at the double-oh suites of Trump, for at least a month",http://genius.com/Styles-p-kick-it-like-that-lyrics
177,Donald Trump,Playas Only,The Game,neutral,hotel,2006,Bet she ain't never seen the penthouse at The Trump,http://genius.com/The-game-playas-only-lyrics
178,Donald Trump,The Morning News,Chamillionaire,neutral,N/A,2007,Rosie O'Donnell and Donald Trump stay arguin' about nonsense,http://genius.com/Chamillionaire-the-morning-news-lyrics
179,Donald Trump,Blow Ya Mind Remix,Jadakiss,positive,hotel,2007,"Pump haze, blow sour, top floor of the Trump Towers",http://genius.com/Styles-p-blow-ya-mind-remix-lyrics
180,Donald Trump,Invisible Man,Joe Budden,positive,hotel,2007,"One's national, Trump International, rational",http://genius.com/Joe-budden-invisible-man-lyrics
181,Donald Trump,My Drink n My 2 Step (Remix),Kanye West,neutral,The Apprentice,2007,"We fired motherfuckers, Donald Trump n----",http://genius.com/Cassidy-my-drink-n-my-2-step-remix-lyrics
182,Donald Trump,Midgets and Giants,Sage Francis,neutral,The Apprentice,2007,"Fuck an apprentice, I've got more firepower than Donald Trump",http://genius.com/Sage-francis-midgets-and-giants-lyrics
183,Donald Trump,We Made Our Own,Future,positive,money,2013,"I'm John Gotti paid, now I'm going Donald Trump",http://genius.com/Future-we-made-our-own-lyrics
184,Donald Trump,Suicide,Fabolous,positive,hotel,2008,"It's Loso, a.k.a the 1 Trump Plaza suite creeper",http://genius.com/Fabolous-suicide-lyrics
185,Donald Trump,Mo Cars Mo Hoes,Freck Billionaire,positive,hotel,2008,"Trump Tower, you ain't got the same room as me",http://genius.com/Fabolous-mo-cars-mo-hoes-lyrics
186,Donald Trump,Love Don't Cost a Thing (Neptunes Remix),Ghostface Killah,positive,money,2012,"Big lobster dishes wit Trump, this how come I feel for you",http://genius.com/Jennifer-lopez-love-dont-cost-a-thing-neptunes-remix-lyrics
187,Donald Trump,Truth,God,positive,money,2014,"Tryna add a couple more zeroes, Donald Trump is my hero",http://genius.com/God-truth-lyrics
188,Donald Trump,Song for the Ville,J.Cole,neutral,money,2010,"Bill Gates, Donald Trump, motherfucker let me in",http://genius.com/J-cole-song-for-the-ville-lyrics
189,Donald Trump,Don't Trip,Petey Pablo,neutral,N/A,2009,I done been with Donald Trump and you help bitches,http://genius.com/Petey-pablo-dont-trip-lyrics
190,Donald Trump,Loose,Spank Rock,positive,hotel,2008,"Ain't that what you want, a Hilton ain't a Trump",http://genius.com/Spank-rock-loose-lyrics
191,Donald Trump,How We Rock,Termanology,neutral,money,2008,I copped enough coke and guns to open Trump,http://genius.com/Termanology-how-we-rock-lyrics
192,Donald Trump,Pimp Slap,Tyler the Creator,neutral,personal,2008,With my Donald Trump hair piece you're an apprentice,http://genius.com/Left-brain-pimp-slap-lyrics
193,Donald Trump,I Gotta Say What Up!!!,Ice Cube,positive,money,1990,Cause he makin' more than Donald Trump,http://genius.com/Ice-cube-i-gotta-say-what-up-lyrics
194,Donald Trump,Three Strikes You In,Ice Cube,positive,money,1998,I'm just tryin' to get rich like Trump,http://genius.com/Ice-cube-three-strikes-you-in-lyrics
195,Donald Trump,Folklore,Dumbtron,negative,political,2009,Alarming heat at the heels of a punk politician / Trump tall tales with a bump full of bomb fission,http://genius.com/Mr-lif-folklore-lyrics
196,Donald Trump,Put Ya in Da Game,Fat Joe,positive,hotel,2009,"I took her out of the 'jects, the top floor of the Trump",http://genius.com/Fat-joe-put-ya-in-da-game-lyrics
197,Donald Trump,Daze,Ja-Bar,positive,money,2010,"The Donald Trump money, a pow way is stuntin' and problems keep on comin'",http://genius.com/Ja-bar-daze-lyrics
198,Donald Trump,I'm Ballin,Rick Ross,neutral,money,2009,Proceeds 'till we perceive the stunt like Donald Trump,http://genius.com/J-money-im-ballin-lyrics
199,Donald Trump,So Appalled,Kanye West,neutral,money,2010,"Balding, Donald Trump taking dollars from y'all",http://genius.com/Kanye-west-so-appalled-lyrics
200,Donald Trump,Independent,KXNG Crooked,positive,hotel,2010,"We fuck a couple hoes, am I sweet at the Trump?",http://genius.com/Crooked-i-independent-lyrics
201,Donald Trump,Blue Flame Remix,Lil B,neutral,The Apprentice,2010,"Call me Donald Trump how I fire losers / How Donald Trump fire workers, I fire rugers",http://genius.com/Lil-b-blue-flame-remix-lyrics
202,Donald Trump,Success,Jay Z,positive,hotel,2007,I got watches I ain't seen in months / Apartment at the Trump; I only slept in once,http://genius.com/Jay-z-success-lyrics
203,Donald Trump,Zoom Zooms and Wam Wam,Jay-O-Felony,positive,personal,1995,"I wanna be like Donald Trump, not Willie Lump-Lump",http://genius.com/Jay-o-felony-zoom-zooms-and-wam-wam-lyrics
204,Donald Trump,Street 2 Street,Jay-O-Felony,positive,money,1997,Smokin the hump with dreams of livin lavish like Donald Trump,http://genius.com/Jay-o-felony-street-2-street-lyrics
205,Donald Trump,Still Get It in Ohio,Machine Gun Kelly,neutral,N/A,2010,And they call me Donald Trump Mr. O-H-I-O took your misses / And now you just Mr. I-hate-my-ho (lame),http://genius.com/Machine-gun-kelly-still-get-it-in-ohio-lyrics
206,Donald Trump,Thug Motivation 101,Jeezy,positive,N/A,2005,I'm Donald Trump in a white tee and white 1's (chea),http://genius.com/Jeezy-thug-motivation-101-lyrics
207,Donald Trump,Trump,Jeezy,positive,money,2011,Richest n---- in my hood; call me Donald Trump,http://genius.com/Jeezy-trump-lyrics
208,Donald Trump,Vagina,"Royce Da 5'9""",positive,hotel,2010,I'm in the Trump Tower shower washin' ink off me,http://genius.com/Royce-da-59-vagina-lyrics
209,Donald Trump,If You Love Me,Sheek Louch,positive,hotel,2010,"Burgundy gauze, Trump building one of these floors",http://genius.com/Dj-absolut-if-you-love-me-lyrics
210,Donald Trump,Salute,The Diplomats,neutral,hotel,2010,"She was wearin pumps, headed to the Trump",http://genius.com/The-diplomats-salute-lyrics
211,Donald Trump,I Don't Play With Guns,Alley Boy,neutral,N/A,2011,"Add up our word: all the nonbelievers in white chalk / Trump n----, talk shit",http://genius.com/Juicy-j-i-dont-play-with-guns-lyrics
212,Donald Trump,Shootin,Juicy J,neutral,The Apprentice,2013,And fire them shots just like I'm Donald Trump,http://genius.com/Juicy-j-shootin-lyrics
213,Donald Trump,Tell Me What You're Lookin' For,Kane & Abel,positive,money,1998,"Kane and Abel in this bitch, gettin' rich as Trump",http://genius.com/Kane-tell-me-what-youre-lookin-for-lyrics
214,Donald Trump,Tim Westwood Freestyle,Kanye West,positive,money,2004,"Uh, more like Donald Trump, with the way I get it crunk",http://genius.com/Kanye-west-tim-westwood-freestyle-lyrics
215,Donald Trump,Webster's Laboratory,Chris Webby,neutral,The Apprentice,2011,So authentic Donald Trump is my apprentice,http://genius.com/Chris-webby-websters-laboratory-lyrics
216,Donald Trump,P.A.,Mac Miller,negative,personal,2011,Donald Trump with better hair,http://genius.com/Freeway-pa-lyrics
217,Donald Trump,Is It Love,Kendrick Lamar,positive,money,2009,"Give me fame and fortune, me and Trump on golf courses",http://genius.com/Kendrick-lamar-is-it-love-lyrics
218,Donald Trump,Another One,Rock,neutral,N/A,2011,"I own them, fuck a Donald Trump, I'm 'Donald Dump' I got realty",http://genius.com/Random-axe-another-one-lyrics
219,Donald Trump,Reputations on the Line,Kevin Gates,positive,money,2011,"Money right, my feelings ice, I'm Donald Trump when it's precise",http://genius.com/Kevin-gates-reputations-on-the-line-lyrics
220,Donald Trump,Best Days of Lives,Donnis,neutral,N/A,2011,"I'm a Mac bitch, I stay on my Donald Trump shit",http://genius.com/Xv-best-days-of-lives-lyrics
221,Donald Trump,Paid,Kid Rock,positive,money,1996,I'll still be in the house getting paid like Trump,http://genius.com/Kid-rock-paid-lyrics
222,Donald Trump,Lights,Frank Ocean,neutral,money,2011,Donald Trump said buy an apartment wit her,http://genius.com/Frank-ocean-lights-lyrics
223,Donald Trump,Tower Heist,Nas,positive,hotel,2011,"This a tower heist, even Donald Trump can get it",http://genius.com/Nas-tower-heist-lyrics
224,Donald Trump,Once Upon a Time,King Sun,positive,money,1994,Today I'm livin large as if my last name was Trump,http://genius.com/King-sun-once-upon-a-time-lyrics
225,Donald Trump,On the Real,Nas,positive,hotel,2011,"Up in the Trump Plaza, Suite 3010",http://genius.com/Nas-on-the-real-lyrics
226,Donald Trump,Thug Chronicles,Kool G. Rap,positive,money,2002,Collect Trump papers with pumps and gauges,http://genius.com/Kool-g-rap-thug-chronicles-lyrics
227,Donald Trump,K.O.T.T.O.N.M.O.U.T.H.,Kottonmouth Kings,neutral,The Apprentice,2008,I'm like the Donald Trump of drinking and homie your fired,http://genius.com/Kottonmouth-kings-kottonmouth-lyrics
228,Donald Trump,Your World & My World,Raekwon,positive,hotel,2011,"Wild fight, customized dice, get nice in the Trump Tower",http://genius.com/Raekwon-your-world-and-my-world-lyrics
229,Donald Trump,You Know What,Tinie Tempah,neutral,The Apprentice,2011,"Donald Trump profit, take an apprenticeship",http://genius.com/Tinie-tempah-you-know-what-lyrics
230,Donald Trump,Elimination Chamber,Action Bronson,positive,hotel,2012,"Backflip in a jacuzzi, forty floors inside the Trump",http://genius.com/Domo-genesis-and-alchemist-elimination-chamber-lyrics
231,Donald Trump,Help Me,Deuce,neutral,money,2012,Motherfucker I ain't got no love for some fake ass wannabe Donald Trump!,http://genius.com/Deuce-help-me-lyrics
232,Donald Trump,Flex 36,Lil B,positive,N/A,2013,"Stephen Curry Basedgod, Donald Trump Basedgod",http://genius.com/Lil-b-flex-36-lyrics
233,Donald Trump,Jet Life (Remix),Jeezy,positive,hotel,2012,Trump Towers I'm sky high,http://genius.com/Curren-y-jet-life-remix-lyrics
234,Donald Trump,What's Up Wit Dat,Lil Wayne,positive,money,2000,Next time you see me I'll have money like Donald Trump,http://genius.com/Juvenile-whats-up-wit-dat-lyrics
235,Donald Trump,Get Down,Lil Wayne,positive,money,2004,I gotta hold up my estate like Donald Trump,http://genius.com/Lil-wayne-get-down-lyrics
236,Donald Trump,Ice Cream,Lil Wayne,positive,money,2009,"I was in the trenches, now I'm in the Trump",http://genius.com/Lil-wayne-ice-cream-lyrics
237,Donald Trump,Racks,Lil Wayne,positive,money,2011,Get money like Donald Trump,http://genius.com/Lil-wayne-racks-on-racks-lyrics
238,Donald Trump,Ball,Lil Wayne,neutral,The Apprentice,2012,I'ma fire my blunt like Donald Trump,http://genius.com/Ti-ball-lyrics
239,Donald Trump,Lil Snupe Meek Mill Freestyle Part 2,Lil' Snupe,positive,money,2013,And show her how I get it like I'm Donald Trump,http://genius.com/Lil-snupe-lil-snupe-meek-mill-freestyle-part-2-lyrics
240,Donald Trump,Comin' for Ya Head,Raekwon,positive,hotel,2012,"We chilling in the Trump Towers, onions and soul",http://genius.com/Wu-block-comin-for-ya-head-lyrics
241,Donald Trump,Blame the Label (Ghida Fakhry),The Narcicyst,neutral,personal,2012,We're brushing up over here (hair) like Donald Trump,http://genius.com/The-narcicyst-blame-the-label-ghida-fakhry-lyrics
242,Donald Trump,Perfume,Aasim,positive,hotel,2013,"Four Seasons or the Trump, come have a sleep over",http://genius.com/Aasim-perfume-lyrics
243,Donald Trump,Hip Hop Quotables,Ludacris,positive,money,2003,"I buy cars with straight cash, have meetings with Donald Trump",http://genius.com/Ludacris-hip-hop-quotables-lyrics
244,Donald Trump,Raiders Cap,Demigodz,negative,personal,2013,Blow your wig to the side like hair on Donald Trump,http://genius.com/Demigodz-raiders-cap-lyrics
245,Donald Trump,Donald Trump,Mac Miller,positive,money,2011,"Take over the world when I'm on my Donald Trump shit / Look at all this money, ain't that some shit",http://genius.com/Mac-miller-donald-trump-lyrics
246,Donald Trump,Thoughts From a Balcony,Mac Miller,positive,money,2012,"My khaki's filled with cheese, my homie Sap is on the beat like it was ""Donald Trump,"" a fucking hit but I just call it luck",http://genius.com/Mac-miller-thoughts-from-a-balcony-lyrics
247,Donald Trump,Dis Ain't What You Want (Remix),French Montana,negative,N/A,2013,"You can hate, don't frown, my n---- / With Donald Trump in the trunk, my n----",http://genius.com/Lil-durk-dis-aint-what-you-want-remix-lyrics
248,Donald Trump,Don't Drop That,Futuristic,neutral,The Apprentice,2013,Not even Donald Trump would fire Zach,http://genius.com/Futuristic-dont-drop-that-lyrics
249,Donald Trump,211,Master P,positive,money,1994,Put more cash in my pockets than Donald Trump,http://genius.com/Master-p-211-lyrics
250,Donald Trump,Morphine,Gorilla Warfare Tactics,positive,hotel,2013,Like IÂêm Trump and yelling out on the tower top of the Taj,http://genius.com/Gorilla-warfare-tactics-morphine-lyrics
251,Donald Trump,Off the Corner,Meek Mill,positive,money,2014,Going Donald Trump numbers on the corner,http://genius.com/Meek-mill-off-the-corner-lyrics
252,Donald Trump,Since Day 1,Migos,positive,money,2013,"I got the white man money, call me Donald Trump",http://genius.com/Migos-since-day-1-lyrics
253,Donald Trump,Giv No Fuks,Migos,positive,N/A,2014,"Wake up in the morning, up like Donald Trump",http://genius.com/Jeremih-giv-no-fuks-lyrics
254,Donald Trump,"Dag, Philly Too",Homeboy Sandman,neutral,N/A,2013,"Before a Trump, the billionaire punks was the pattern",http://genius.com/Homeboy-sandman-dag-philly-too-lyrics
255,Donald Trump,Neighborhood Scientists,Migos,positive,money,2015,Living life like Donald Trump,http://genius.com/Migos-neighborhood-scientists-lyrics
256,Donald Trump,Bars,Migos,positive,money,2016,Billionaire looking my way Iâ€™m on pace / Feeling like Donald Trump back in the day,http://genius.com/Migos-bars-lyrics
257,Donald Trump,Minority Report,KXNG Crooked,positive,hotel,2013,"IÂêm in the Trump and the National out in Sunny Isles, Miami",http://genius.com/Crooked-i-minority-report-lyrics
258,Donald Trump,Red Dot Music,Loaded Lux,neutral,money,2013,I'm gon' rob this chump / On a party on Fifth Ave like he Donald Trump,http://genius.com/Mac-miller-red-dot-music-lyrics
259,Donald Trump,Break My Wrist,PeeWee Longway,neutral,The Apprentice,2013,"I'm Donald Trump, you think I won't fire my bitch",http://genius.com/Peewee-longway-break-my-wrist-lyrics
260,Donald Trump,Money Is My Bitch,Nas,positive,personal,1999,The best couple they seen since Trump and Marla Maple,http://genius.com/Nas-money-is-my-bitch-lyrics
261,Donald Trump,Karate Chop (Freestyle),Shaquille O'Neal,neutral,money,2013,"You ain't got enough, better get a loan from Mr. Bill Gates / And Donald Trump, and Carlos Slim",http://genius.com/Shaquille-oneal-karate-chop-freestyle-lyrics
262,Donald Trump,The People's Douche,Spose,neutral,money,2013,Donald Trump just asked me for spare change,http://genius.com/Spose-the-peoples-douche-lyrics
263,Donald Trump,Make the World Go Round,Nas,positive,hotel,2008,Get the whole Trump Tower top floor for the hood,http://genius.com/Nas-make-the-world-go-round-lyrics
264,Donald Trump,I Shoulda Tried Harder,Wax,neutral,N/A,2013,But Donald Trump I ain't talking to you,http://genius.com/Wax-i-shoulda-tried-harder-lyrics
265,Donald Trump,Break My Wrist,Young Thug,neutral,The Apprentice,2013,I'm Donald Trump I just fire my bitch,http://genius.com/Peewee-longway-break-my-wrist-lyrics
266,Donald Trump,Loco-Motive,Nas,positive,money,2012,"Like Trump being up down up, play with cash",http://genius.com/Nas-loco-motive-lyrics
267,Donald Trump,Loaded,Young Thug,neutral,N/A,2013,(Uh!) Plottin' on Donald Trump (woo! woo!),http://genius.com/Young-thug-loaded-lyrics
268,Donald Trump,Country Grammar (Hot Shit),Nelly,positive,money,2000,"Bill Gates, Donald Trump, let me in now",http://genius.com/Nelly-country-grammar-hot-shit-lyrics
269,Donald Trump,Its Sad Boy,Yung Gleesh,neutral,hotel,2013,Pushed a button to the Trump Towers,http://genius.com/Yung-gleesh-its-sad-boy-lyrics
270,Donald Trump,I Wanna Be With You,Nicki Minaj,positive,hotel,2013,"At the Trump, and you bitches at the Radisson",http://genius.com/Dj-khaled-i-wanna-be-with-you-lyrics
271,Donald Trump,Party Ain't A Party,2 Chainz,positive,hotel,2014,Exit the club to the Trump,http://genius.com/Jamie-foxx-party-aint-a-party-lyrics
272,Donald Trump,Last Year,Borgore,neutral,power,2014,"Fuck the Trump, I want my own tower",http://genius.com/Borgore-last-year-lyrics
273,Donald Trump,InHeiritance,King Mez,negative,N/A,2014,Trump for the china white and they mental like dynamite,http://genius.com/King-mez-inheiritance-lyrics
274,Donald Trump,What We Doing,Fat Trel,positive,hotel,2014,Where we at? (Trump Tower),http://genius.com/Fat-trel-what-we-doing-lyrics
275,Donald Trump,Sirens,Hoodie Allen,positive,hotel,2014,Last night at the Trump Tower taking drunk showers,http://genius.com/Hoodie-allen-sirens-lyrics
276,Donald Trump,Tru Master,Pete Rock,positive,money,1998,In hot pursuit of Donald Trump rap loot,http://genius.com/Pete-rock-tru-master-lyrics
277,Donald Trump,Hollow Da Don vs. Joe Budden,Joe Budden,neutral,The Apprentice,2014,"Senseless, Apprentice I thought Da Don knew Trump (Donald Trump)",http://genius.com/Total-slaughter-hollow-da-don-vs-joe-budden-lyrics
278,Donald Trump,Get It (DT),Pharrell,positive,money,2011,I'm talking Donald Trump level,http://genius.com/Big-sean-get-it-dt-lyrics
279,Donald Trump,Bizarre,Mouf,neutral,The Apprentice,2014,"Here trump shit, Donald Trump shit",http://genius.com/Jaygo-bizarre-lyrics
280,Donald Trump,The Dangerous Three,R.A. The Rugged Man,positive,power,2013,"I'm the Don: Corleone, Cornelius, Trump, King",http://genius.com/Ra-the-rugged-man-the-dangerous-three-lyrics
281,Donald Trump,Up Like Trump,Rae Sremmurd,positive,personal,2015,Up like Donald Trump,http://genius.com/Rae-sremmurd-up-like-trump-lyrics
282,Donald Trump,Incarcerated Scarfaces,Raekwon,positive,money,1995,"Rae's a heavy generator, but yo, guess who's the black Trump? / You rolling like Trump, you get your meat lumped",http://genius.com/Raekwon-incarcerated-scarfaces-lyrics
283,Donald Trump,Flawless Remix,Nicki Minaj,positive,hotel,2014,"I told him meet me at the Trump, Ivanka",http://genius.com/Beyonce-flawless-remix-lyrics
284,Donald Trump,Dart School,Raekwon,neutral,N/A,2011,"We was cooling in the Trump section, throwing bubbly",http://genius.com/Raekwon-dart-school-lyrics
285,Donald Trump,New York Minute (Remix),Nicki Minaj,positive,hotel,2010,I remember how it felt when the twin towers fell I was in the Trump Towers looking for some shower gel,http://genius.com/French-montana-new-york-minute-remix-lyrics
286,Donald Trump,Google That,Raekwon,positive,money,2012,"Black Trump, n----, with fat pockets",http://genius.com/Nore-google-that-lyrics
287,Donald Trump,Hazelton Trump,OB O'Brien,positive,hotel,2014,"Uh, I know this girl, I call her Hazelton Trump",http://genius.com/Ob-obrien-hazelton-trump-lyrics
288,Donald Trump,Da Funk,Redman,positive,personal,1992,I'm well known like Donald Trump,http://genius.com/Redman-da-funk-lyrics
289,Donald Trump,Sacrifices,Rich Homie Quan,positive,money,2013,"Ask Donald Trump, I want his figures",http://genius.com/Rich-homie-quan-sacrifices-lyrics
290,Donald Trump,10 2 10 (Remix),Rick Ross,positive,hotel,2014,"I got a place at the Trump, just to pray for advice",http://genius.com/Big-sean-10-2-10-remix-lyrics
291,Donald Trump,This Is the Life,Rick Ross,positive,hotel,2008,"I'm in Trump Towers, amongst earners",http://genius.com/Rick-ross-this-is-the-life-lyrics
292,Donald Trump,I Mean It (Remix),Rick Ross,neutral,money,2014,I'm at the poker table like I'm Donald Trump,http://genius.com/G-eazy-i-mean-it-remix-lyrics
293,Donald Trump,Pirates,Rick Ross,positive,money,2012,"Resurrection of the real, time to get the richer than Trump",http://genius.com/Rick-ross-pirates-lyrics
294,Donald Trump,Sixteen,Rick Ross,positive,hotel,2012,Trump Tower and I started with a 10 speed,http://genius.com/Rick-ross-sixteen-lyrics
295,Donald Trump,Think Like a Man,Rick Ross,positive,hotel,2012,"Penthouse, at the Trump, sit on Collins Ave",http://genius.com/Jennifer-hudson-think-like-a-man-lyrics
296,Donald Trump,Maybe You Love Me,RiFF RAFF,positive,hotel,2014,Trump towers with Donald (Donald) I can't drive a Honda (uh uh),http://genius.com/Riff-raff-maybe-you-love-me-lyrics
297,Donald Trump,Keith Sweat (Jodeci Freestyle),Young Tero,neutral,The Apprentice,2014,"Cause I got goons that keep the fire, no Donald Trump",http://genius.com/Young-tero-keith-sweat-jodeci-freestyle-lyrics
298,Donald Trump,PNT,Apollo Brown & Ras Kass,neutral,political,2015,"He Kenyan, Trump wanted his certificate of birth",http://genius.com/Apollo-brown-and-ras-kass-pnt-lyrics
299,Donald Trump,She Wanna Fuck,Rick Ross,positive,money,2015,"Bel Air bottles like a boss, penthouse at the Trump",http://genius.com/Rick-ross-she-wanna-fuck-lyrics
300,Donald Trump,Dope Spot,Cam'ron,neutral,political,2015,"Arrogant rich n----, we might vote for Trump",http://genius.com/Camron-berner-dope-spot-lyrics
301,Donald Trump,Florida State,RiFF RAFF,positive,money,2015,"I could switch lanes, Donald Trump private planes",http://genius.com/Riff-raff-florida-state-lyrics
302,Donald Trump,Have a Nice Day,Ab-Stract,negative,political,2015,Don't look like change will happen soon / Donald Trump is all that they talk about,http://genius.com/Ab-stract-have-a-nice-day-lyrics
303,Donald Trump,Flavas Back,Chino Tovar,negative,political,2015,Stop deportation we just chasing dreams / Donald Trump - King of Slavery,http://genius.com/The-sindicate-flavas-back-lyrics
304,Donald Trump,Making Some Moves,DAJ,negative,N/A,2015,"Young n----s get it, fuck Donald Trump",http://genius.com/Daj-making-some-moves-lyrics
305,Donald Trump,10 Times,Freddie Gibbs,positive,hotel,2015,"Smokin at the Trump Tower, bout to call a ho",http://genius.com/Freddie-gibbs-10-times-lyrics
306,Donald Trump,Sway in The Morning Freestyle,Eminem,negative,political,2015,I'm fucked worse than Donald Trump on Lexapro in Mexico across from a Texaco in McDonald's drunk,http://genius.com/Eminem-sway-in-the-morning-freestyle-lyrics
307,Donald Trump,Straight Drop,Gucci Mane,neutral,N/A,2015,"Hugo Boss, [?], I just Donald Trump you",http://genius.com/Gucci-mane-straight-drop-lyrics
308,Donald Trump,So Tight,Hugh Lee,neutral,sexual,2015,She getting down and she stick it out for that money shot / Trump cake,http://genius.com/Hugh-lee-so-tight-lyrics
309,Donald Trump,Spraying My Pen,Saukrates,positive,money,2013,"Ain't no apprentice, I'm Donald Trump / Get money, get money, I don't succumb",http://genius.com/K-os-spraying-my-pen-lyrics
310,Donald Trump,Money and the Power,Scarface,positive,money,1991,"n---- rollin hard, stackin paper like Trump",http://genius.com/Scarface-money-and-the-power-lyrics
311,Donald Trump,Way It Go,SD,positive,political,2015,Presidential shit; the hood Donald Trump,http://genius.com/Sd-way-it-go-lyrics
312,Donald Trump,Black Friday,Kendrick Lamar,negative,political,2015,"Play with him, bitch you better off voting for Donald Trump",http://genius.com/Kendrick-lamar-black-friday-lyrics
313,Donald Trump,One Name,Sheek Louch,positive,money,2005,"Big trips, Louis bags, welcome to the ice (bling) / Rock big enough to make Trump look twice",http://genius.com/Sheek-louch-one-name-lyrics
314,Donald Trump,Men of Respect,Sheek Louch,neutral,N/A,2007,"I'm getting sex from 9th and up, that's living it up / Not Donald Trump but what, buying pies for the class",http://genius.com/Kasino-men-of-respect-lyrics
315,Donald Trump,Ransom,Rich White Ladies,negative,N/A,2015,Tie Donald Trump to a stump take a bump with him and a drag,http://genius.com/Rich-white-ladies-ransom-lyrics
316,Donald Trump,Spend Some Cheese,Shyne,positive,money,2000,"Like Don Trump, Black Ted Turner, totin burners",http://genius.com/Shyne-spend-some-cheese-lyrics
317,Donald Trump,Bad Boyz,Shyne,positive,hotel,2000,What type of n---- stay in the Trump for weeks? (Bad Boyz),http://genius.com/Shyne-bad-boyz-lyrics
318,Donald Trump,Bonnie & Shyne,Shyne,neutral,hotel,2000,"Did it all, Four Seasons to the Trump",http://genius.com/Shyne-bonnie-and-shyne-lyrics
319,Donald Trump,Free Enterprise,Rick Ross,negative,political,2015,Assassinate Trump like I'm Zimmerman,http://genius.com/Rick-ross-free-enterprise-lyrics
320,Donald Trump,El Chapo,The Game,negative,personal,2015,Come through and knock Donald Trump out his toupee,http://genius.com/The-game-el-chapo-lyrics
321,Donald Trump,"Blase (Jeezy, Juicy J & Diddy Remix)",Ty Dolla $ign,negative,political,2015,I donÂêt fuck with Donald Trump he donÂêt like us,http://genius.com/Ty-dolla-sign-blase-jeezy-juicy-j-and-diddy-remix-lyrics
322,Donald Trump,Coke & Wet,Spank Rock,positive,money,2006,"That's Wall Street, Donald Trump, bass grilla stack",http://genius.com/Spank-rock-coke-and-wet-lyrics
323,Donald Trump,R.I.C.O. (Remix),Waka Flocka Flame,negative,political,2015,"And fuck Donald Trump, man / I'm sending you straight to Mexico to live in, motherfucker",http://genius.com/Waka-flocka-flame-rico-remix-lyrics
324,Donald Trump,Loco,Young Buck,negative,political,2015,And I'm fuck wat Donald Trump talk bout I like change when I met Rosetta,http://genius.com/Young-buck-loco-lyrics
325,Donald Trump,Big Tyme,Stretch,positive,money,2001,"I'm beyond that, livin' like Trump",http://genius.com/E-money-bags-big-time-lyrics
326,Donald Trump,Pussy,Strings,positive,money,2002,I'm sitting on some make em holla pussy / Bill Gates Donald Trump million dollar pussy,http://genius.com/Strings-pussy-lyrics
327,Donald Trump,Computers (Freestyle),Migos,neutral,hotel,2015,Smoking power at the Trump tower,http://genius.com/Migos-computers-freestyle-lyrics
328,Donald Trump,Trap Problems,Migos,neutral,The Apprentice,2015,"Feeling like Donald Trump, bitch you is fired",http://genius.com/Migos-trap-problems-lyrics
329,Donald Trump,Zion,Omen,neutral,N/A,2015,"No Donald Trump, Bill Gates or Bruce Wayne / The only thing I had to my name was a few dreams",http://genius.com/Omen-zion-lyrics
330,Donald Trump,MONEY LIKE MY OG,Swagg Porter & Star,positive,hotel,2012,"Now its 1st class Flights, Penthouse at the Trump for the Night",http://genius.com/Swagg-porter-and-star-money-like-my-og-lyrics
