NAME,pop_total_estimate_18to22,cvap_estimate_18to22,2023 cvap_turnout,Change in % turnout from 2019,2021 cvap_turnout,2019 cvap_turnout,2017 cvap_turnout,2015 cvap_turnout,2013 cvap_turnout,2011 cvap_turnout,Biden margin 2020,POPPCT_URB_20,age_median_estimate_18to22,white_pct_18to22,black_pct_18to22,hisp_lat_pct_18to22,asian_pct_18to22,nh_pi_pct_18to22,ai_an_pct_18to22,lessHS_25over_pct_18to22,HSgrad_25over_pct_18to22,somecollege_25over_pct_18to22,bachhigher_25over_pct_18to22
"Fairfax County, Virginia",1145354,757945,43.24%,-5.28%,58.44%,48.51%,51.86%,26.86%,42.54%,30.04%,41.87%,98.46%,38.6,48.55%,9.65%,16.53%,20.14%,0.05%,0.11%,6.50%,12.16%,17.24%,64.10%
"Bristol city, Virginia",17036,13604,10.99%,-7.99%,37.93%,18.98%,32.11%,5.75%,30.21%,19.36%,-38.87%,98.98%,43.7,86.61%,6.26%,2.61%,0.29%,0.01%,0.00%,13.78%,30.60%,32.81%,22.81%
"Covington city, Virginia",5722,4413,36.73%,3.06%,40.68%,33.67%,29.81%,24.12%,28.50%,39.76%,-23.67%,99.36%,41.9,80.30%,13.18%,2.38%,1.12%,0.00%,0.00%,11.38%,48.03%,29.19%,11.40%
"Harrisonburg city, Virginia",51784,38382,19.61%,-4.62%,29.61%,24.24%,26.35%,10.42%,20.68%,9.87%,31.79%,99.38%,25.4,63.78%,6.97%,20.78%,3.14%,0.00%,0.03%,16.39%,25.74%,22.68%,35.19%
"Newport News city, Virginia",185118,136209,30.18%,-1.34%,40.01%,31.52%,35.37%,19.92%,32.01%,21.05%,32.91%,99.63%,34.1,40.84%,40.56%,9.88%,3.41%,0.09%,0.15%,8.28%,29.55%,33.49%,28.68%
"Hampton city, Virginia",137217,105783,30.41%,-1.81%,42.82%,32.21%,38.66%,13.33%,35.47%,18.55%,42.17%,99.68%,36.5,36.37%,48.03%,6.58%,2.09%,0.07%,0.22%,7.25%,29.23%,35.85%,27.67%
"Williamsburg city, Virginia",15486,13295,39.33%,6.15%,37.06%,33.19%,43.68%,24.63%,35.85%,22.28%,41.07%,99.88%,24.6,67.73%,15.16%,7.68%,6.75%,0.00%,0.00%,6.72%,16.17%,26.50%,50.61%
"Martinsville city, Virginia",13539,9868,21.76%,0.40%,40.14%,21.36%,38.09%,22.80%,35.03%,27.78%,26.63%,99.92%,39.9,42.65%,44.28%,6.99%,0.79%,0.07%,0.58%,13.52%,31.43%,34.75%,20.30%
"Hopewell city, Virginia",23046,16830,27.38%,-2.52%,37.75%,29.90%,34.39%,17.55%,34.48%,19.54%,14.68%,99.97%,35.7,42.52%,41.86%,8.86%,0.95%,0.00%,0.02%,13.13%,42.12%,33.65%,11.10%
"Roanoke city, Virginia",99213,73226,29.55%,7.22%,40.00%,22.32%,33.70%,25.61%,30.19%,22.32%,25.77%,99.99%,38.1,57.01%,28.72%,6.89%,3.22%,0.10%,0.08%,10.88%,34.44%,26.27%,28.41%
"Colonial Heights city, Virginia",18158,13537,32.73%,-10.15%,49.73%,42.88%,39.40%,20.86%,38.93%,13.21%,-33.18%,100.00%,38.4,69.05%,16.57%,7.25%,3.61%,0.00%,0.22%,8.53%,30.98%,32.40%,28.08%
"Charlottesville city, Virginia",46289,36573,33.90%,-6.88%,47.67%,40.78%,46.09%,16.81%,34.90%,21.29%,72.72%,100.00%,32.4,65.26%,16.98%,5.84%,6.99%,0.00%,0.15%,8.02%,15.71%,17.33%,58.94%
"Winchester city, Virginia",28103,19780,28.93%,-3.10%,43.11%,32.04%,34.53%,19.79%,29.96%,14.80%,11.47%,100.00%,36.6,63.89%,9.77%,18.70%,2.10%,0.00%,0.21%,13.00%,27.78%,26.96%,32.26%
"Portsmouth city, Virginia",97384,73838,29.45%,-2.66%,40.77%,32.11%,40.40%,11.39%,36.63%,17.24%,40.81%,100.00%,35.6,36.42%,50.98%,5.01%,1.37%,0.03%,0.29%,10.48%,32.00%,36.27%,21.25%
"Norfolk city, Virginia",236973,181157,23.90%,-1.54%,33.30%,25.44%,28.56%,12.66%,24.64%,11.02%,45.61%,100.00%,32.2,42.24%,40.06%,8.73%,3.76%,0.15%,0.25%,10.75%,24.40%,32.69%,32.17%
"Lexington city, Virginia",7346,6590,22.70%,-1.08%,31.61%,23.78%,26.99%,17.25%,23.73%,19.98%,32.04%,100.00%,22.7,81.04%,5.17%,5.08%,3.14%,0.00%,0.25%,3.80%,22.75%,13.22%,60.23%
"Arlington County, Virginia",235845,170212,38.65%,-0.39%,56.13%,39.04%,52.50%,25.56%,41.66%,23.52%,63.52%,100.00%,35.3,59.53%,9.05%,15.58%,10.27%,0.07%,0.17%,4.69%,7.30%,11.25%,76.76%
"Richmond city, Virginia",227171,178942,37.85%,0.24%,45.01%,37.61%,41.67%,21.21%,34.23%,15.59%,67.99%,100.00%,34.5,41.83%,43.74%,7.62%,2.19%,0.05%,0.12%,11.24%,20.58%,24.06%,44.12%
"Manassas city, Virginia",42620,25327,38.38%,2.96%,44.70%,35.42%,39.03%,31.94%,34.60%,24.68%,24.16%,100.00%,35.1,37.79%,13.03%,38.78%,5.95%,0.03%,0.11%,14.17%,28.95%,22.34%,34.54%
"Manassas Park city, Virginia",17123,10496,31.37%,3.90%,34.39%,27.48%,35.35%,19.39%,24.49%,15.56%,33.07%,100.00%,35.8,30.06%,12.39%,41.90%,11.04%,0.00%,0.00%,19.88%,31.60%,23.50%,25.02%
"Fredericksburg city, Virginia",28258,20772,40.86%,4.20%,43.78%,36.66%,34.21%,16.01%,28.99%,23.45%,34.83%,100.00%,30.9,56.92%,20.66%,11.71%,3.78%,0.00%,0.18%,7.46%,21.51%,27.56%,43.48%
"Alexandria city, Virginia",157594,111023,37.37%,5.65%,52.79%,31.73%,50.74%,32.49%,40.17%,22.22%,62.66%,100.00%,37.4,51.12%,20.86%,16.56%,6.29%,0.02%,0.14%,6.31%,10.48%,17.21%,66.00%
"Salem city, Virginia",25372,20077,34.67%,6.83%,47.72%,27.84%,40.43%,23.49%,35.63%,23.06%,-19.42%,100.00%,40.8,83.51%,7.80%,3.77%,1.77%,0.12%,0.11%,6.08%,27.06%,34.34%,32.52%
"Falls Church city, Virginia",14576,10421,50.50%,7.60%,67.60%,42.90%,63.25%,37.44%,51.90%,29.78%,64.13%,100.00%,38.8,68.97%,4.59%,11.25%,8.77%,0.00%,0.00%,2.59%,7.13%,11.41%,78.87%
"Fairfax city, Virginia",24242,15821,47.21%,7.96%,64.29%,39.25%,54.27%,30.96%,47.33%,27.87%,38.32%,100.00%,37.5,53.30%,5.87%,18.14%,17.45%,0.00%,0.12%,7.77%,14.13%,18.05%,60.05%
"Bedford city, Virginia",NA,NA,NA,NA,NA,NA,NA,NA,NA,27.08%,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
