NAME,2023 votes,2019 votes,2015 votes,2011 votes,pop_total_estimate_18to22,cvap_estimate_18to22,cvap_estimate_13to17,cvap_estimate_08to12,2023 cvap_turnout,Change in % turnout from 2019,2019 cvap_turnout,2015 cvap_turnout,2011 cvap_turnout,Biden margin 2020,POPPCT_URB_20,age_median_estimate_18to22,white_pct_18to22,black_pct_18to22,hisp_lat_pct_18to22,asian_pct_18to22,nh_pi_pct_18to22,ai_an_pct_18to22,lessHS_25over_pct_18to22,HSgrad_25over_pct_18to22,somecollege_25over_pct_18to22,bachhigher_25over_pct_18to22
"Henry County, Kentucky",5170,5547,4077,4046,15731,11879,11890,11430,43.52%,-3.17%,46.70%,34.29%,35.40%,-45.64%,0.00%,41.4,90.30%,2.38%,3.69%,0.53%,0.00%,0.01%,15.84%,42.06%,27.36%,14.75%
"Fayette County, Kentucky",103545,114152,70934,61593,321276,236826,230650,217030,43.72%,-4.48%,48.20%,30.75%,28.38%,20.76%,97.07%,35.2,69.65%,14.61%,7.42%,4.10%,0.01%,0.05%,7.85%,18.76%,26.85%,46.55%
"Mercer County, Kentucky",7679,8506,5878,5451,22662,17373,16315,16165,44.20%,-4.76%,48.96%,36.03%,33.72%,-46.64%,43.24%,43.1,90.31%,3.49%,3.30%,0.19%,0.01%,0.05%,9.88%,35.18%,33.28%,21.66%
"Jefferson County, Kentucky",256773,280582,193207,161902,779232,576834,565100,543690,44.51%,-4.13%,48.64%,34.19%,29.78%,20.10%,98.37%,38.5,65.12%,21.73%,6.29%,2.97%,0.04%,0.05%,8.70%,25.75%,29.43%,36.11%
"Washington County, Kentucky",4119,4261,3172,2904,12025,9202,8995,8890,44.76%,-1.54%,46.31%,35.26%,32.67%,-45.59%,0.00%,42.3,87.80%,5.49%,0.53%,0.52%,0.00%,0.00%,11.87%,42.41%,25.94%,19.79%
"Scott County, Kentucky",19377,20216,12147,10028,57286,42464,37660,33720,45.63%,-1.98%,47.61%,32.25%,29.74%,-24.85%,67.70%,36.1,86.10%,4.85%,4.52%,0.98%,0.00%,0.05%,5.72%,29.25%,33.14%,31.89%
"Marshall County, Kentucky",11543,12681,11281,8290,31706,25219,24630,24725,45.77%,-4.51%,50.28%,45.80%,33.53%,-52.41%,14.82%,44.6,96.04%,0.62%,1.81%,0.23%,0.01%,0.27%,7.71%,35.04%,34.84%,22.41%
"Monroe County, Kentucky",4048,3444,2457,2965,11331,8621,8055,8285,46.96%,7.01%,39.95%,30.50%,35.79%,-74.50%,0.00%,41.2,93.17%,2.60%,3.21%,0.21%,0.00%,0.05%,18.43%,42.36%,23.24%,15.98%
"Shelby County, Kentucky",16701,16859,11648,10326,48105,35529,32805,29925,47.01%,-0.44%,47.45%,35.51%,34.51%,-29.63%,48.24%,40.6,79.45%,4.96%,9.61%,1.12%,0.00%,0.12%,11.45%,30.11%,28.22%,30.21%
"Carlisle County, Kentucky",1797,1906,1490,1407,4782,3664,3790,3910,49.04%,-2.97%,52.02%,39.31%,35.98%,-64.29%,0.00%,42.9,92.30%,1.21%,2.47%,0.54%,0.15%,0.25%,13.07%,44.75%,28.85%,13.34%
"Spencer County, Kentucky",7429,7562,5068,4073,19549,14964,13735,12625,49.65%,-0.89%,50.53%,36.90%,32.26%,-54.29%,0.00%,42.9,93.42%,1.74%,2.63%,0.44%,0.00%,0.08%,7.44%,39.21%,31.28%,22.07%
"Franklin County, Kentucky",19701,21167,17095,16854,51475,39324,38360,37700,50.10%,-3.73%,53.83%,44.56%,44.71%,-0.95%,73.41%,40,81.10%,8.72%,3.87%,1.71%,0.22%,0.03%,8.07%,29.63%,30.73%,31.56%
"Anderson County, Kentucky",9290,9703,6775,6119,23839,18187,16455,15990,51.08%,-2.27%,53.35%,41.17%,38.27%,-47.63%,56.78%,41.9,92.73%,3.05%,2.16%,0.12%,0.06%,0.00%,8.89%,35.08%,30.69%,25.34%
"Oldham County, Kentucky",26130,26301,18051,14212,67997,50053,47125,42905,52.20%,-0.34%,52.55%,38.30%,33.12%,-21.46%,74.84%,39.5,87.26%,3.85%,4.08%,1.65%,0.01%,0.07%,5.76%,19.68%,29.20%,45.35%
"Woodford County, Kentucky",10825,11835,8032,7151,26886,20073,19005,17705,53.93%,-5.03%,58.96%,42.26%,40.39%,-12.04%,62.76%,42.5,85.95%,3.72%,6.67%,0.38%,0.00%,0.05%,8.79%,26.21%,24.34%,40.66%
