Candidate,State,District,Office Type,Race Type,Race Primary Election Date,Primary Status,Primary Runoff Status,General Status,Gender,Partisan Lean,Primary %,Won Primary,Race,Veteran?,LGBTQ?,Elected Official?,Self-Funder?,STEM?,Obama Alum?
Jim Walz,IL,U.S. House Illinois District 14,Representative,Regular,3/20/18,Lost,None,None,Male,-7.96,10,No,White,No,No,No,No,No,No
John Hosta,IL,U.S. House Illinois District 14,Representative,Regular,3/20/18,Lost,None,None,Male,-7.96,5,No,White,No,No,No,No,No,No
Lauren Underwood,IL,U.S. House Illinois District 14,Representative,Regular,3/20/18,Advanced,None,On the Ballot,Female,-7.96,57.299999,Yes,Nonwhite,No,No,No,No,Yes,Yes
Matt Brolley,IL,U.S. House Illinois District 14,Representative,Regular,3/20/18,Lost,None,None,Male,-7.96,13.4,No,White,No,No,Yes,No,Yes,No
Victor Swanson,IL,U.S. House Illinois District 14,Representative,Regular,3/20/18,Lost,None,None,Male,-7.96,7,No,White,Yes,No,No,No,No,No
Carl Spoerer,IL,U.S. House Illinois District 15,Representative,Regular,3/20/18,Lost,None,None,Male,-44.630001,37.900002,No,White,No,No,No,No,Yes,No
Kevin Gaither,IL,U.S. House Illinois District 15,Representative,Regular,3/20/18,Advanced,None,On the Ballot,Male,-44.630001,62.099998,Yes,White,No,No,No,No,No,No
Amy Murri Briel,IL,U.S. House Illinois District 16,Representative,Regular,3/20/18,Lost,None,None,Female,-17.360001,19.5,No,White,No,No,No,No,No,No
Beth Vercolio-Osmund,IL,U.S. House Illinois District 16,Representative,Regular,3/20/18,Lost,None,None,Female,-17.360001,13,No,White,No,No,No,No,No,No
Neill Mohammad,IL,U.S. House Illinois District 16,Representative,Regular,3/20/18,Lost,None,None,Male,-17.360001,27.200001,No,Nonwhite,No,No,No,No,No,No
Sara Dady,IL,U.S. House Illinois District 16,Representative,Regular,3/20/18,Advanced,None,On the Ballot,Female,-17.360001,40.299999,Yes,White,No,No,No,No,No,No
Brian Deters,IL,U.S. House Illinois District 18,Representative,Regular,3/20/18,Lost,None,None,Male,-28.83,39.5,No,White,No,No,No,No,No,No
Darrel Miller,IL,U.S. House Illinois District 18,Representative,Regular,3/20/18,Lost,None,None,Male,-28.83,18.799999,No,White,No,No,No,No,No,No
Junius Rodriguez,IL,U.S. House Illinois District 18,Representative,Regular,3/20/18,Advanced,None,On the Ballot,Male,-28.83,41.700001,Yes,White,No,No,No,No,No,No
Jesus Garcia,IL,U.S. House Illinois District 4,Representative,Regular,3/20/18,Advanced,None,On the Ballot,Male,65.089996,66.199997,Yes,Nonwhite,No,No,Yes,No,No,No
Richard Gonzalez,IL,U.S. House Illinois District 4,Representative,Regular,3/20/18,Lost,None,None,Male,65.089996,11.9,No,Nonwhite,No,No,No,No,No,No
Sol Flores,IL,U.S. House Illinois District 4,Representative,Regular,3/20/18,Lost,None,None,Female,65.089996,21.9,No,Nonwhite,No,No,No,No,No,No
Amanda Howland,IL,U.S. House Illinois District 6,Representative,Regular,3/20/18,Lost,None,None,Female,0.67000002,12.7,No,White,No,No,No,No,No,No
Becky Anderson Wilkins,IL,U.S. House Illinois District 6,Representative,Regular,3/20/18,Lost,None,None,Female,0.67000002,6,No,White,No,No,No,No,No,No
Carole Cheney,IL,U.S. House Illinois District 6,Representative,Regular,3/20/18,Lost,None,None,Female,0.67000002,17.4,No,White,No,No,No,No,No,No
Jennifer Zordani,IL,U.S. House Illinois District 6,Representative,Regular,3/20/18,Lost,None,None,Female,0.67000002,4.0999999,No,White,No,No,No,No,No,No
Kelly Mazeski,IL,U.S. House Illinois District 6,Representative,Regular,3/20/18,Lost,None,None,Female,0.67000002,26.799999,No,White,No,No,No,No,Yes,No
Ryan Huffman,IL,U.S. House Illinois District 6,Representative,Regular,3/20/18,Lost,None,None,Male,0.67000002,3.5,No,White,No,No,No,No,Yes,No
Sean Casten,IL,U.S. House Illinois District 6,Representative,Regular,3/20/18,Advanced,None,On the Ballot,Male,0.67000002,29.5,Yes,White,No,No,No,Yes,Yes,No
Douglas Carpenter,IN,U.S. House Indiana District 2,Representative,Regular,5/8/18,Lost,None,None,Male,-23.43,5.3000002,No,White,No,No,No,No,Yes,No
John Petroff,IN,U.S. House Indiana District 2,Representative,Regular,5/8/18,Lost,None,None,Male,-23.43,1.5,No,White,No,No,No,No,No,No
Mel Hall,IN,U.S. House Indiana District 2,Representative,Regular,5/8/18,Advanced,None,On the Ballot,Male,-23.43,41.700001,Yes,White,No,No,No,Yes,Yes,No
Pat Hackett,IN,U.S. House Indiana District 2,Representative,Regular,5/8/18,Lost,None,None,Male,-23.43,28.200001,No,White,No,Yes,No,No,No,No
Roland Leech,IN,U.S. House Indiana District 2,Representative,Regular,5/8/18,Lost,None,None,Male,-23.43,1.2,No,White,Yes,No,No,No,No,No
Yatish Joshi,IN,U.S. House Indiana District 2,Representative,Regular,5/8/18,Lost,None,None,Male,-23.43,22.1,No,Nonwhite,No,No,No,Yes,Yes,No
Courtney Tritch,IN,U.S. House Indiana District 3,Representative,Regular,5/8/18,Advanced,None,On the Ballot,Female,-35.48,79.099998,Yes,White,No,No,No,No,No,No
John Roberson,IN,U.S. House Indiana District 3,Representative,Regular,5/8/18,Lost,None,None,Male,-35.48,10.2,No,Nonwhite,Yes,No,No,No,No,No
Tommy Schrader,IN,U.S. House Indiana District 3,Representative,Regular,5/8/18,Lost,None,None,Male,-35.48,10.7,No,White,No,No,No,No,No,No
Darin Patrick Griesey,IN,U.S. House Indiana District 4,Representative,Regular,5/8/18,Lost,None,None,Male,-34.110001,6.6999998,No,White,No,No,No,No,No,No
Joe Mackey,IN,U.S. House Indiana District 4,Representative,Regular,5/8/18,Lost,None,None,Male,-34.110001,16.1,No,White,No,No,No,No,No,No
Roger Day,IN,U.S. House Indiana District 4,Representative,Regular,5/8/18,Lost,None,None,Male,-34.110001,12.4,No,White,No,No,No,No,No,No
Roland Ellis,IN,U.S. House Indiana District 4,Representative,Regular,5/8/18,Lost,None,None,Male,-34.110001,9.1999998,No,White,,,,No,,No
Tobi Beck,IN,U.S. House Indiana District 4,Representative,Regular,5/8/18,Advanced,None,On the Ballot,Female,-34.110001,34.599998,Yes,White,Yes,No,No,No,No,No
Veronikka Ziol,IN,U.S. House Indiana District 4,Representative,Regular,5/8/18,Lost,None,None,Female,-34.110001,21.1,No,White,No,Yes,No,No,No,No
Dee Thornton,IN,U.S. House Indiana District 5,Representative,Regular,5/8/18,Advanced,None,On the Ballot,Female,-15.58,53,Yes,Nonwhite,No,No,No,No,No,No
Dion Douglas,IN,U.S. House Indiana District 5,Representative,Regular,5/8/18,Lost,None,None,Male,-15.58,10.3,No,White,No,No,No,No,No,No
Eshel Faraggi,IN,U.S. House Indiana District 5,Representative,Regular,5/8/18,Lost,None,None,Male,-15.58,7.5999999,No,Nonwhite,No,No,No,No,Yes,No
Kyle Brenden Moore,IN,U.S. House Indiana District 5,Representative,Regular,5/8/18,Lost,None,None,Male,-15.58,23.700001,No,Nonwhite,No,No,No,No,Yes,No
Sean Dugdale,IN,U.S. House Indiana District 5,Representative,Regular,5/8/18,Lost,None,None,Male,-15.58,5.5,No,White,No,No,No,No,No,No
George Thomas Holland,IN,U.S. House Indiana District 6,Representative,Regular,5/8/18,Lost,None,None,Male,-38.529999,11.1,No,White,Yes,No,No,No,Yes,No
Jeannine Lee Lake,IN,U.S. House Indiana District 6,Representative,Regular,5/8/18,Advanced,None,On the Ballot,Female,-38.529999,38.299999,Yes,Nonwhite,No,No,No,No,No,No
Jim Pruett,IN,U.S. House Indiana District 6,Representative,Regular,5/8/18,Lost,None,None,Male,-38.529999,25.799999,No,White,No,No,No,No,No,No
Joshua Williamson,IN,U.S. House Indiana District 6,Representative,Regular,5/8/18,Lost,None,None,Male,-38.529999,7.3000002,No,White,No,No,No,No,Yes,No
K. Lave,IN,U.S. House Indiana District 6,Representative,Regular,5/8/18,Lost,None,None,Male,-38.529999,1.9,No,White,No,No,No,No,No,No
Lane Siekman,IN,U.S. House Indiana District 6,Representative,Regular,5/8/18,Lost,None,None,Male,-38.529999,15.6,No,White,No,No,No,No,No,No
William Tanoos,IN,U.S. House Indiana District 8,Representative,Regular,5/8/18,Advanced,None,On the Ballot,Male,-32.509998,100,Yes,White,No,No,No,No,No,No
Daniel Canon,IN,U.S. House Indiana District 9,Representative,Regular,5/8/18,Lost,None,None,Male,-26.83,30.700001,No,White,No,No,No,No,No,No
Liz Watson,IN,U.S. House Indiana District 9,Representative,Regular,5/8/18,Advanced,None,On the Ballot,Female,-26.83,66.400002,Yes,White,No,No,No,No,No,No
Rob Chatlos,IN,U.S. House Indiana District 9,Representative,Regular,5/8/18,Lost,None,None,Male,-26.83,2.9000001,No,White,No,No,No,No,No,No
Arden Andersen,KS,Governor of Kansas,Governor,Regular,8/7/18,Lost,None,None,Male,-23.41,7.9000001,No,White,Yes,No,No,No,Yes,No
Carl Brewer,KS,Governor of Kansas,Governor,Regular,8/7/18,Lost,None,None,Male,-23.41,20.6,No,Nonwhite,Yes,No,Yes,No,No,No
Jack Bergeson,KS,Governor of Kansas,Governor,Regular,8/7/18,Lost,None,None,Male,-23.41,2.5999999,No,White,No,No,No,No,No,No
Joshua Svaty,KS,Governor of Kansas,Governor,Regular,8/7/18,Lost,None,None,Male,-23.41,17.799999,No,White,No,No,No,No,No,No
Laura Kelly,KS,Governor of Kansas,Governor,Regular,8/7/18,Advanced,None,On the Ballot,Female,-23.41,51.400002,Yes,White,No,No,Yes,No,No,No
Alan LaPolice,KS,U.S. House Kansas District 1,Representative,Regular,8/7/18,Advanced,None,On the Ballot,Male,-46.91,100,Yes,White,Yes,No,No,No,No,No
Paul Davis,KS,U.S. House Kansas District 2,Representative,Regular,8/7/18,Advanced,None,On the Ballot,Male,-19.73,100,Yes,White,No,No,Yes,No,No,No
Brent Welder,KS,U.S. House Kansas District 3,Representative,Regular,8/7/18,Lost,None,None,Male,-4.0100002,33.900002,No,White,No,No,No,No,No,Yes
Jay Sidie,KS,U.S. House Kansas District 3,Representative,Regular,8/7/18,Lost,None,None,Male,-4.0100002,2.9000001,No,White,No,No,No,No,No,No
Mike McCamon,KS,U.S. House Kansas District 3,Representative,Regular,8/7/18,Lost,None,None,Male,-4.0100002,6.9000001,No,White,No,No,No,No,Yes,No
Sharice Davids,KS,U.S. House Kansas District 3,Representative,Regular,8/7/18,Advanced,None,On the Ballot,Female,-4.0100002,37.299999,Yes,Nonwhite,No,Yes,No,No,No,No
Sylvia Williams,KS,U.S. House Kansas District 3,Representative,Regular,8/7/18,Lost,None,None,Female,-4.0100002,4.6999998,No,White,No,No,No,No,No,No
Tom Niermann,KS,U.S. House Kansas District 3,Representative,Regular,8/7/18,Lost,None,None,Male,-4.0100002,14.3,No,White,No,No,No,No,No,No
James Thompson,KS,U.S. House Kansas District 4,Representative,Regular,8/7/18,Advanced,None,On the Ballot,Male,-29.309999,65.300003,Yes,White,Yes,No,No,No,No,No
Laura Lombard,KS,U.S. House Kansas District 4,Representative,Regular,8/7/18,Lost,None,None,Female,-29.309999,34.700001,No,White,No,No,No,No,No,No
Alonzo Pennington,KY,U.S. House Kentucky District 1,Representative,Regular,5/22/18,Lost,None,None,Male,-47.48,25.4,No,White,No,No,No,No,No,No
Paul Walker,KY,U.S. House Kentucky District 1,Representative,Regular,5/22/18,Advanced,None,On the Ballot,Male,-47.48,74.599998,Yes,White,No,No,No,No,No,No
Brian Pedigo,KY,U.S. House Kentucky District 2,Representative,Regular,5/22/18,Lost,None,None,Male,-39.509998,28.68,No,White,No,No,No,No,No,No
Grant Short,KY,U.S. House Kentucky District 2,Representative,Regular,5/22/18,Lost,None,None,Male,-39.509998,19.59,No,White,No,No,No,No,No,No
Hank Linderman,KY,U.S. House Kentucky District 2,Representative,Regular,5/22/18,Advanced,None,On the Ballot,Male,-39.509998,30.02,Yes,White,No,No,No,No,No,No
Rane Eir Olivia Sessions,KY,U.S. House Kentucky District 2,Representative,Regular,5/22/18,Lost,None,None,Female,-39.509998,21.719999,No,White,Yes,No,No,No,No,No
Christina Lord,KY,U.S. House Kentucky District 4,Representative,Regular,5/22/18,Lost,None,None,Female,-36.610001,21.709999,No,White,No,No,No,No,No,No
Patti Piatt,KY,U.S. House Kentucky District 4,Representative,Regular,5/22/18,Lost,None,None,Female,-36.610001,37.529999,No,White,No,No,No,No,No,No
Seth Hall,KY,U.S. House Kentucky District 4,Representative,Regular,5/22/18,Advanced,None,On the Ballot,Male,-36.610001,40.77,Yes,White,No,No,No,No,No,No
Kenneth Stepp,KY,U.S. House Kentucky District 5,Representative,Regular,5/22/18,Advanced,None,On the Ballot,Male,-62.060001,58.689999,Yes,White,Yes,No,No,No,No,No
Scott Sykes,KY,U.S. House Kentucky District 5,Representative,Regular,5/22/18,Lost,None,None,Male,-62.060001,41.310001,No,White,No,No,Yes,No,No,No
Amy McGrath,KY,U.S. House Kentucky District 6,Representative,Regular,5/22/18,Advanced,None,On the Ballot,Female,-17.41,48.66,Yes,White,Yes,No,No,No,No,No
Daniel Kemph,KY,U.S. House Kentucky District 6,Representative,Regular,5/22/18,Lost,None,None,Male,-17.41,1.23,No,White,No,No,No,No,No,No
Geoff Young,KY,U.S. House Kentucky District 6,Representative,Regular,5/22/18,Lost,None,None,Male,-17.41,1.5700001,No,White,No,No,No,No,No,No
Jim Gray,KY,U.S. House Kentucky District 6,Representative,Regular,5/22/18,Lost,None,None,Male,-17.41,40.509998,No,White,No,Yes,Yes,No,No,No
Reggie Thomas,KY,U.S. House Kentucky District 6,Representative,Regular,5/22/18,Lost,None,None,Male,-17.41,7.1999998,No,Nonwhite,No,No,Yes,No,No,No
Theodore Green,KY,U.S. House Kentucky District 6,Representative,Regular,5/22/18,Lost,None,None,Male,-17.41,0.82999998,No,White,No,No,No,No,No,No
Alec Ross,MD,Governor of Maryland,Governor,Regular,6/26/18,Lost,None,None,Male,23.799999,2.3,No,White,No,No,No,No,Yes,Yes
Ben Jealous,MD,Governor of Maryland,Governor,Regular,6/26/18,Advanced,None,On the Ballot,Male,23.799999,39.599998,Yes,Nonwhite,No,No,No,No,No,No
James Jones,MD,Governor of Maryland,Governor,Regular,6/26/18,Lost,None,None,Male,23.799999,1.5,No,Nonwhite,No,No,No,No,No,No
Jim Shea (Maryland),MD,Governor of Maryland,Governor,Regular,6/26/18,Lost,None,None,Male,23.799999,8.3000002,No,White,No,No,No,Yes,No,No
Krishanti Vignarajah,MD,Governor of Maryland,Governor,Regular,6/26/18,Lost,None,None,Female,23.799999,8.1999998,No,Nonwhite,No,No,No,No,No,Yes
Ralph Jaffe,MD,Governor of Maryland,Governor,Regular,6/26/18,Lost,None,None,Male,23.799999,1.6,No,White,No,No,No,No,No,No
Richard Madaleno,MD,Governor of Maryland,Governor,Regular,6/26/18,Lost,None,None,Male,23.799999,5.8000002,No,White,No,Yes,Yes,No,No,No
Rushern Baker III,MD,Governor of Maryland,Governor,Regular,6/26/18,Lost,None,None,Male,23.799999,29.4,No,Nonwhite,No,No,Yes,No,No,No
Allison Galbraith,MD,U.S. House Maryland District 1,Representative,Regular,6/26/18,Lost,None,None,Female,-29.66,28,No,White,No,No,No,No,No,No
Erik Lane,MD,U.S. House Maryland District 1,Representative,Regular,6/26/18,Lost,None,None,Male,-29.66,2.2,No,White,No,No,No,No,Yes,No
Jesse Colvin,MD,U.S. House Maryland District 1,Representative,Regular,6/26/18,Advanced,None,On the Ballot,Male,-29.66,38,Yes,White,Yes,No,No,No,No,No
Michael Brown,MD,U.S. House Maryland District 1,Representative,Regular,6/26/18,Lost,None,None,Male,-29.66,15,No,,,,,No,,
Michael Pullen,MD,U.S. House Maryland District 1,Representative,Regular,6/26/18,Lost,None,None,Male,-29.66,12.9,No,White,No,No,No,No,No,No
Steve Worton,MD,U.S. House Maryland District 1,Representative,Regular,6/26/18,Lost,None,None,Male,-29.66,3.9000001,No,White,No,No,No,No,No,No
Andrew Duck,MD,U.S. House Maryland District 6,Representative,Regular,6/26/18,Lost,None,None,Male,11.89,4.9000001,No,White,Yes,No,No,No,No,No
Aruna Miller,MD,U.S. House Maryland District 6,Representative,Regular,6/26/18,Lost,None,None,Female,11.89,30.700001,No,Nonwhite,No,No,Yes,No,Yes,No
Chris Graves,MD,U.S. House Maryland District 6,Representative,Regular,6/26/18,Lost,None,None,Male,11.89,1.6,No,White,No,No,No,No,No,No
Christopher Hearsey,MD,U.S. House Maryland District 6,Representative,Regular,6/26/18,Lost,None,None,Male,11.89,0.89999998,No,White,No,No,No,No,Yes,No
David Trone,MD,U.S. House Maryland District 6,Representative,Regular,6/26/18,Advanced,None,On the Ballot,Male,11.89,40.299999,Yes,White,No,No,No,Yes,No,No
George English,MD,U.S. House Maryland District 6,Representative,Regular,6/26/18,Lost,None,None,Male,11.89,1.1,No,White,No,No,No,No,No,No
Nadia Hashimi,MD,U.S. House Maryland District 6,Representative,Regular,6/26/18,Lost,None,None,Female,11.89,10.4,No,Nonwhite,No,No,No,No,Yes,No
Roger Manno,MD,U.S. House Maryland District 6,Representative,Regular,6/26/18,Lost,None,None,Male,11.89,10.3,No,White,No,No,Yes,No,No,No
Adam Cote,ME,Governor of Maine,Governor,Regular,6/12/18,Lost,None,None,Male,3.51,28.129999,No,White,Yes,No,No,No,No,No
Betsy Sweet,ME,Governor of Maine,Governor,Regular,6/12/18,Lost,None,None,Female,3.51,16.459999,No,White,No,Yes,No,No,No,No
Diane Russell,ME,Governor of Maine,Governor,Regular,6/12/18,Lost,None,None,Female,3.51,2.1600001,No,White,No,No,Yes,No,No,No
Donna Dion,ME,Governor of Maine,Governor,Regular,6/12/18,Lost,None,None,Female,3.51,1.27,No,White,No,No,No,No,No,No
Janet T. Mills,ME,Governor of Maine,Governor,Regular,6/12/18,Advanced,None,On the Ballot,Female,3.51,33.09,Yes,White,No,No,Yes,No,No,No
Mark Dion,ME,Governor of Maine,Governor,Regular,6/12/18,Lost,None,None,Male,3.51,4.1199999,No,White,No,No,Yes,No,No,No
Mark Eves,ME,Governor of Maine,Governor,Regular,6/12/18,Lost,None,None,Male,3.51,14.18,No,White,No,No,Yes,No,No,No
Craig Olson,ME,U.S. House Maine District 2,Representative,Regular,6/12/18,Lost,None,None,Male,-8.1300001,8.8299999,No,,No,No,No,No,No,No
Jared Golden,ME,U.S. House Maine District 2,Representative,Regular,6/12/18,Advanced,None,On the Ballot,Male,-8.1300001,46.419998,Yes,,Yes,No,Yes,No,No,No
Lucas St. Clair,ME,U.S. House Maine District 2,Representative,Regular,6/12/18,Lost,None,None,Male,-8.1300001,39.240002,No,,No,No,No,No,No,No
Zak Ringelstein,ME,U.S. Senate Maine,Senator,Regular,6/12/18,Advanced,None,On the Ballot,Male,3.51,100,Yes,,No,No,No,No,No,No
Abdul El-Sayed,MI,Governor of Michigan,Governor,Regular,8/7/18,Lost,None,None,Male,-0.33000001,30.5,No,Nonwhite,No,No,No,No,Yes,No
Gretchen Whitmer,MI,Governor of Michigan,Governor,Regular,8/7/18,Advanced,None,On the Ballot,Female,-0.33000001,51.799999,Yes,White,No,No,Yes,No,No,No
Shri Thanedar,MI,Governor of Michigan,Governor,Regular,8/7/18,Lost,None,None,Male,-0.33000001,17.700001,No,Nonwhite,No,No,No,Yes,Yes,No
Frank Accavitti Jr.,MI,U.S. House Michigan District 10,Representative,Regular,8/7/18,Lost,None,None,Male,-29.58,32,No,White,No,No,Yes,No,No,No
Kimberly Bizon,MI,U.S. House Michigan District 10,Representative,Regular,8/7/18,Advanced,None,On the Ballot,Female,-29.58,41.099998,Yes,White,No,No,No,No,No,No
Michael McCarthy (Michigan),MI,U.S. House Michigan District 10,Representative,Regular,8/7/18,Lost,None,None,Male,-29.58,26.9,No,,,,,No,,No
Fayrouz Saad,MI,U.S. House Michigan District 11,Representative,Regular,8/7/18,Lost,None,None,Female,-7.1799998,19.5,No,Nonwhite,No,No,No,No,No,Yes
Haley Stevens,MI,U.S. House Michigan District 11,Representative,Regular,8/7/18,Advanced,None,On the Ballot,Female,-7.1799998,27,Yes,White,No,No,No,No,No,Yes
Nancy Skinner,MI,U.S. House Michigan District 11,Representative,Regular,8/7/18,Lost,None,None,Female,-7.1799998,10.4,No,White,No,No,No,No,No,No
Suneel Gupta,MI,U.S. House Michigan District 11,Representative,Regular,8/7/18,Lost,None,None,Male,-7.1799998,21.299999,No,Nonwhite,No,No,No,No,Yes,No
Tim Greimel,MI,U.S. House Michigan District 11,Representative,Regular,8/7/18,Lost,None,None,Male,-7.1799998,21.799999,No,White,No,No,Yes,No,No,No
Bill Wild,MI,U.S. House Michigan District 13,Representative,Regular,8/7/18,Lost,None,None,Male,60.720001,14,No,White,No,No,Yes,No,No,No
Bill Wild,MI,U.S. House Michigan District 13,Representative,Special,8/7/18,Lost,None,None,Male,60.720001,15.2,No,White,No,No,Yes,No,No,No
Brenda Jones,MI,U.S. House Michigan District 13,Representative,Special,8/7/18,Advanced,None,On the Ballot,Female,60.720001,37.700001,Yes,Nonwhite,No,No,Yes,No,No,No
Brenda Jones,MI,U.S. House Michigan District 13,Representative,Regular,8/7/18,Lost,None,None,Female,60.720001,29.200001,No,Nonwhite,No,No,Yes,No,No,No
Coleman Young II,MI,U.S. House Michigan District 13,Representative,Regular,8/7/18,Lost,None,None,Male,60.720001,12,No,Nonwhite,No,No,Yes,No,No,No
Ian Conyers,MI,U.S. House Michigan District 13,Representative,Regular,8/7/18,Lost,None,None,Male,60.720001,6.3000002,No,Nonwhite,No,No,Yes,No,No,No
Ian Conyers,MI,U.S. House Michigan District 13,Representative,Special,8/7/18,Lost,None,None,Male,60.720001,11.2,No,Nonwhite,No,No,Yes,No,No,No
Rashida Tlaib,MI,U.S. House Michigan District 13,Representative,Regular,8/7/18,Advanced,None,On the Ballot,Female,60.720001,33.200001,Yes,Nonwhite,No,No,Yes,No,No,Yes
Rashida Tlaib,MI,U.S. House Michigan District 13,Representative,Special,8/7/18,Lost,None,None,Female,60.720001,35.900002,No,Nonwhite,No,No,Yes,No,No,Yes
Shanelle Jackson,MI,U.S. House Michigan District 13,Representative,Regular,8/7/18,Lost,None,None,Female,60.720001,5.3000002,No,Nonwhite,No,No,Yes,No,No,No
Rob Davidson,MI,U.S. House Michigan District 2,Representative,Regular,8/7/18,Advanced,None,On the Ballot,Male,-18.959999,100,Yes,White,No,No,No,No,Yes,No
Cathy Albro,MI,U.S. House Michigan District 3,Representative,Regular,8/7/18,Advanced,None,On the Ballot,Female,-11.41,68.199997,Yes,White,No,No,No,No,No,No
Fred Wooden,MI,U.S. House Michigan District 3,Representative,Regular,8/7/18,Lost,None,None,Male,-11.41,31.799999,No,White,No,No,No,No,No,No
Jerry Hilliard,MI,U.S. House Michigan District 4,Representative,Regular,8/7/18,Advanced,None,On the Ballot,Male,-23.129999,66.400002,Yes,White,No,No,No,No,No,No
Zigmond Kozicki,MI,U.S. House Michigan District 4,Representative,Regular,8/7/18,Lost,None,None,Male,-23.129999,33.599998,No,White,No,No,No,No,No,No
David Benac,MI,U.S. House Michigan District 6,Representative,Regular,8/7/18,Lost,None,None,Male,-9.1800003,21.700001,No,White,No,No,No,No,No,No
George Franklin,MI,U.S. House Michigan District 6,Representative,Regular,8/7/18,Lost,None,None,Male,-9.1800003,28.1,No,White,No,No,No,No,No,No
Matt Longjohn,MI,U.S. House Michigan District 6,Representative,Regular,8/7/18,Advanced,None,On the Ballot,Male,-9.1800003,37.299999,Yes,White,No,No,No,No,Yes,No
Rich Eichholz,MI,U.S. House Michigan District 6,Representative,Regular,8/7/18,Lost,None,None,Male,-9.1800003,13,No,White,No,No,No,No,Yes,No
Gretchen Driskell,MI,U.S. House Michigan District 7,Representative,Regular,8/7/18,Advanced,None,On the Ballot,Female,-16.059999,85.199997,Yes,White,No,No,Yes,No,No,No
Steven Friday,MI,U.S. House Michigan District 7,Representative,Regular,8/7/18,Lost,None,None,Male,-16.059999,14.8,No,White,Yes,No,No,No,No,No
Chris Smith,MI,U.S. House Michigan District 8,Representative,Regular,8/7/18,Lost,None,None,Male,-8.3299999,29.1,No,White,No,No,No,No,No,No
Elissa Slotkin,MI,U.S. House Michigan District 8,Representative,Regular,8/7/18,Advanced,None,On the Ballot,Female,-8.3299999,70.900002,Yes,White,No,No,No,No,No,Yes
Andy Levin,MI,U.S. House Michigan District 9,Representative,Regular,8/7/18,Advanced,None,On the Ballot,Male,7.1399999,52.5,Yes,White,No,No,No,No,No,No
Ellen Lipton,MI,U.S. House Michigan District 9,Representative,Regular,8/7/18,Lost,None,None,Female,7.1399999,42.400002,No,White,No,No,Yes,No,Yes,No
Martin Brook,MI,U.S. House Michigan District 9,Representative,Regular,8/7/18,Lost,None,None,Male,7.1399999,5.0999999,No,White,No,No,No,No,No,No
Bill Haas,MO,U.S. House Missouri District 2,Representative,Regular,8/7/18,Lost,None,None,Male,-14.18,19.5,No,White,No,No,Yes,No,No,No
Cort VanOstran,MO,U.S. House Missouri District 2,Representative,Regular,8/7/18,Advanced,None,On the Ballot,Male,-14.18,41.700001,Yes,White,No,No,No,No,No,No
John Messmer,MO,U.S. House Missouri District 2,Representative,Regular,8/7/18,Lost,None,None,Male,-14.18,9.6999998,No,White,No,No,No,No,No,No
Mark Osmack,MO,U.S. House Missouri District 2,Representative,Regular,8/7/18,Lost,None,None,Male,-14.18,25.200001,No,White,Yes,No,No,No,No,No
Robert Hazel,MO,U.S. House Missouri District 2,Representative,Regular,8/7/18,Lost,None,None,Male,-14.18,4,No,White,No,No,No,No,No,No
Katy Geppert,MO,U.S. House Missouri District 3,Representative,Regular,8/7/18,Advanced,None,On the Ballot,Female,-38.259998,100,Yes,White,No,No,No,No,Yes,No
Hallie Thompson,MO,U.S. House Missouri District 4,Representative,Regular,8/7/18,Lost,None,None,Female,-35.73,48.099998,No,White,No,No,No,No,Yes,No
Renee Hoagenson,MO,U.S. House Missouri District 4,Representative,Regular,8/7/18,Advanced,None,On the Ballot,Female,-35.73,51.900002,Yes,White,No,No,No,No,No,No
Ed Andres,MO,U.S. House Missouri District 6,Representative,Regular,8/7/18,Lost,None,None,Male,-31.610001,27.700001,No,,,,,No,,No
Henry Martin,MO,U.S. House Missouri District 6,Representative,Regular,8/7/18,Advanced,None,On the Ballot,Male,-31.610001,41.5,Yes,Nonwhite,Yes,No,No,No,No,No
Winston Apple,MO,U.S. House Missouri District 6,Representative,Regular,8/7/18,Lost,None,None,Male,-31.610001,30.799999,No,White,No,No,No,No,No,No
Jamie Schoolcraft,MO,U.S. House Missouri District 7,Representative,Regular,8/7/18,Advanced,None,On the Ballot,Male,-46.130001,40.599998,Yes,White,Yes,No,Yes,No,Yes,No
John Farmer de la Torre,MO,U.S. House Missouri District 7,Representative,Regular,8/7/18,Lost,None,None,Male,-46.130001,21.700001,No,Nonwhite,No,No,No,No,No,No
Kenneth Hatfield,MO,U.S. House Missouri District 7,Representative,Regular,8/7/18,Lost,None,None,Male,-46.130001,22.299999,No,,,,,No,,No
Vincent Jennings,MO,U.S. House Missouri District 7,Representative,Regular,8/7/18,Lost,None,None,Male,-46.130001,15.4,No,,,,,No,,No
Kathy Ellis,MO,U.S. House Missouri District 8,Representative,Regular,8/7/18,Advanced,None,On the Ballot,Female,-51.810001,100,Yes,White,No,No,No,No,No,No
Randy Wadkins,MS,U.S. House Mississippi District 1,Representative,Regular,6/5/18,Advanced,None,On the Ballot,Male,-33.509998,100,Yes,,No,No,No,No,Yes,No
Michael Aycox,MS,U.S. House Mississippi District 3,Representative,Regular,6/5/18,Lost,None,None,Male,-26.129999,30.66,No,,Yes,Yes,No,No,No,No
Michael Evans,MS,U.S. House Mississippi District 3,Representative,Regular,6/5/18,Advanced,None,On the Ballot,Male,-26.129999,69.339996,Yes,,No,No,Yes,No,No,No
