"","FirstName","Surname","Adjustment","cleanName","Estimate","finalEstimate"
"362","Mark","Lee",-33.6,"mark lee",2728.57834837446,1811.77602332064
"363","William","Martinez",-80.2,"william martinez",8680.87824004095,1718.81389152811
"364","William","Garcia",-82.3,"william garcia",9614.05323322809,1701.68742228137
"365","Mark","Martin",-38.5,"mark martin",2560.24003329926,1574.54762047905
"366","James","Rodriguez",-87.4,"james rodriguez",12332.9862143827,1553.95626301222
"367","Mark","Martinez",-63,"mark martinez",4128.05625350786,1527.38081379791
"368","Mark","Garcia",-67,"mark garcia",4571.81306701491,1508.69831211492
"369","Susan","Jackson",-31.9,"susan jackson",2169.62785392574,1477.51656852343
"370","Thomas","Garcia",-77.8,"thomas garcia",6322.6482069264,1403.62790193766
"371","Thomas","Martinez",-75.6,"thomas martinez",5708.94896329926,1392.98354704502
"372","Barbara","Garcia",-66.9,"barbara garcia",4119.58033565177,1363.58109110074
"373","Barbara","Rodriguez",-67.9,"barbara rodriguez",3870.82853517126,1242.53595978997
"374","Mark","Rodriguez",-71.3,"mark rodriguez",4295.75418741538,1232.88145178821
"375","Barbara","Martinez",-67.5,"barbara martinez",3719.71887676479,1208.90863494856
"376","Susan","Garcia",-68.2,"susan garcia",3778.36822516189,1201.52109560148
"377","Susan","Martinez",-68,"susan martinez",3411.6260554194,1091.72033773421
"378","Susan","Rodriguez",-71.7,"susan rodriguez",3550.21976771988,1004.71219426473
"379","Maria","Smith",-78.8,"maria smith",4622.86096243896,980.046524037061
"380","Thomas","Rodriguez",-84.2,"thomas rodriguez",5940.86899712031,938.657301545009
"381","Charles","Garcia",-83.7,"charles garcia",5497.55564811427,896.101570642626
"382","Maria","Johnson",-78.3,"maria johnson",3667.46091861299,795.83901933902
"383","Charles","Martinez",-84.5,"charles martinez",4963.94289082851,769.411148078419
"384","Thomas","Thomas",-81.1,"thomas thomas",3829.32039325066,723.741554324375
"385","Maria","Williams",-79.4,"maria williams",3080.11308480736,634.503295470315
"386","Maria","Martin",-52.1,"maria martin",1315.11154430733,629.938429723211
"387","Charles","Rodriguez",-88.5,"charles rodriguez",5165.59783826763,594.043751400778
"388","Maria","Brown",-78.5,"maria brown",2729.90008771626,586.928518858995
"389","Maria","Jones",-79.4,"maria jones",2702.5373288368,556.72268974038
"390","Maria","Miller",-77.6,"maria miller",2156.19848249148,482.988460078091
"391","Maria","Davis",-79.7,"maria davis",2109.00289959359,428.1275886175
"392","Maria","Thomas",-75.6,"maria thomas",1422.30604830751,347.042675787031
"393","Maria","Wilson",-77.4,"maria wilson",1532.16741829744,346.26983653522
"394","Maria","Anderson",-77.3,"maria anderson",1475.93756591993,335.037827463824
"395","Maria","Lee",-77.5,"maria lee",1401.58142940609,315.355821616371
"396","Maria","Thompson",-76.4,"maria thompson",1256.34750444036,296.498011047925
"397","Maria","Moore",-79.3,"maria moore",1366.49164274079,282.863770047344
"398","Maria","White",-77.7,"maria white",1253.00750361674,279.420673306532
"399","Maria","Taylor",-80.3,"maria taylor",1412.19697038792,278.20280316642
"400","Maria","Jackson",-80.9,"maria jackson",1348.50120220451,257.563729621062
