Castle 1,Castle 2,Castle 3,Castle 4,Castle 5,Castle 6,Castle 7,Castle 8,Castle 9,Castle 10
0,0,0,0,0,12,20,20,24,24
8,8,11,13,16,21,23,0,0,0
14,0,0,0,0,0,0,28,28,30
0,0,0,0,0,19,19,19,20,23
30,30,30,30,40,40,40,50,50,50
10,0,0,0,0,0,0,30,30,30
1,1,2,3,4,16,17,18,19,20
0,0,12,0,0,22,0,0,34,32
0,0,12,1,2,23,3,3,33,23
3,0,6,8,15,22,4,3,31,8
10,0,0,0,0,0,0,30,30,30
0,1,3,11,2,22,2,29,2,28
0,1,3,11,2,2,29,28,2,22
6,6,1,1,1,1,21,21,21,21
1,2,12,8,9,13,14,9,18,14
1,6,6,6,11,21,16,1,1,31
4,1,1,1,1,1,1,20,30,40
1,1,1,2,5,5,10,10,30,35
1,2,4,5,10,13,14,16,17,18
5,14,13,12,11,10,14,8,7,6
0,1,2,19,5,22,5,5,7,34
0,1,11,2,2,23,3,3,33,22
0,5,0,1,1,0,0,31,31,31
2,3,6,9,11,14,15,0,20,20
7,0,0,0,0,0,0,28,31,34
2,3,5,7,7,14,18,18,2,24
0,0,0,0,23,24,1,25,26,1
0,0,0,0,25,25,25,0,0,25
0,0,0,0,13,17,21,23,26,0
2,0,4,6,7,9,15,17,19,21
0,0,0,9,19,0,0,20,22,30
6,0,0,0,0,0,0,26,32,36
3,5,4,6,6,1,30,33,6,6
0,0,0,0,0,15,17,20,23,25
0,0,12,13,15,25,0,0,0,35
1,1,7,1,13,18,21,36,1,1
0,7,9,17,3,3,4,3,22,32
0,1,12,2,2,23,3,2,33,22
0,0,0,13,0,0,21,23,25,28
4,8,12,16,20,0,0,0,20,20
22,0,0,0,0,0,0,24,26,28
2,3,5,8,10,13,14,15,14,15
1,3,5,7,8,10,12,14,20,20
0,0,0,0,0,0,25,25,25,25
0,0,0,0,20,20,20,20,0,20
5,10,12,15,16,20,22,0,0,0
5,10,10,0,0,0,0,25,25,25
0,0,2,2,1,20,26,26,20,4
2,2,2,2,2,2,17,23,23,25
0,0,0,14,17,20,23,26,0,0
4,5,8,10,13,2,26,30,3,3
0,0,10,2,3,22,3,3,32,25
0,5,0,10,10,5,0,18,26,26
2,2,2,7,5,15,13,19,18,17
0,0,0,0,0,18,19,19,21,23
0,3,4,5,18,5,27,2,29,7
0,0,0,0,0,0,23,24,26,27
0,0,0,0,0,20,20,20,20,20
7,0,0,0,0,0,0,30,31,32
1,3,5,8,9,13,16,16,19,0
0,0,0,10,12,19,22,0,0,37
0,0,1,2,6,20,22,1,24,24
1,1,1,1,1,1,23,23,24,24
0,0,5,10,10,15,15,15,15,15
7,0,0,0,0,0,0,31,31,31
4,6,8,9,10,10,11,12,14,16
1,1,5,2,2,0,15,18,31,25
0,0,7,0,14,0,17,21,21,20
2,2,2,2,2,13,2,25,25,25
1,1,1,1,11,14,16,19,19,17
0,1,2,10,12,3,1,0,35,36
10,0,0,0,0,0,0,28,29,33
2,4,6,10,12,14,16,16,12,8
2,2,9,9,4,15,15,0,22,22
0,0,0,0,23,23,26,0,0,28
11,0,0,0,0,0,0,26,31,32
0,0,0,15,0,0,25,30,30,0
0,5,6,5,11,28,0,45,0,0
0,0,8,11,13,23,3,3,6,33
0,0,0,0,0,20,20,20,20,20
0,0,9,0,0,0,0,30,31,30
4,4,0,0,0,0,0,32,30,30
0,2,2,11,4,15,2,17,4,24
1,17,1,18,1,19,1,20,1,21
3,4,6,8,10,17,24,28,0,0
1,2,3,1,2,2,2,28,29,30
0,10,0,0,0,0,0,30,30,30
4,4,4,4,13,21,4,21,20,5
0,0,11,1,1,22,1,2,31,31
3,5,6,9,11,13,15,19,19,0
2,1,2,3,3,15,16,22,34,2
0,0,5,17,24,0,26,0,28,0
4,7,9,11,13,16,11,3,15,11
11,12,13,14,15,16,19,0,0,0
0,0,0,15,18,0,0,0,33,34
1,1,1,1,1,19,5,21,26,24
0,0,0,0,0,0,0,100,0,0
3,4,5,6,0,13,14,18,19,18
4,3,7,10,15,2,16,4,4,35
5,6,7,8,9,11,12,13,14,15
0,0,0,11,13,0,0,0,39,37
1,1,1,15,15,15,20,1,30,1
3,4,5,8,10,0,14,19,19,18
0,0,0,1,9,18,18,18,18,18
0,0,0,0,0,16,20,20,20,24
3,5,7,13,0,20,23,0,0,29
0,0,0,0,0,15,20,20,20,25
2,2,12,9,2,20,27,20,2,2
1,0,2,5,12,17,25,5,1,32
8,0,0,0,0,0,0,27,30,35
1,3,0,4,3,17,23,0,23,26
2,4,6,8,8,10,12,16,16,18
4,4,6,10,10,1,1,1,33,30
1,2,2,8,10,10,14,18,18,17
4,9,13,19,4,5,6,7,33,0
0,0,11,1,2,23,3,3,33,24
6,9,10,11,14,12,11,10,9,8
0,0,0,17,21,0,0,0,32,30
2,3,3,8,13,6,26,31,4,4
1,16,1,1,1,3,20,2200,27,28
1,10,10,1,1,2,19,3,27,26
3,3,5,6,8,12,14,16,17,16
0,0,0,0,18,19,20,21,0,22
2,3,5,7,9,11,13,15,17,18
1,3,5,7,9,11,13,15,17,19
1,2,4,6,7,12,14,15,17,22
4,7,10,13,16,19,22,3,3,3
4,5,5,5,7,9,16,15,18,16
0,5,6,0,0,22,26,0,0,41
2,3,5,10,12,16,19,21,11,1
3,4,6,8,12,13,14,17,13,11
9,0,0,0,0,0,0,30,31,30
2,2,4,7,9,17,11,22,15,11
3,0,1,1,9,10,17,1,25,33
0,0,4,0,0,0,19,19,19,19
0,0,0,0,25,25,25,0,0,25
5,0,0,0,0,0,0,31,32,42
0,0,4,4,6,6,10,20,30,30
0,0,0,9,14,0,19,10,22,26
10,10,10,10,10,14,16,20,0,0
1,7,10,10,15,15,20,20,1,1
4,5,7,11,13,22,22,3,6,7
0,3,4,12,3,21,4,26,5,22
2,2,8,14,17,2,22,6,21,6
0,5,7,12,12,22,3,26,6,7
2,4,4,4,6,20,20,20,20,0
2,2,3,6,8,13,17,20,17,12
0,2,8,10,2,22,18,26,6,6
2,2,8,9,11,10,11,8,23,16
7,0,0,0,0,0,0,31,31,31
0,4,1,10,1,18,1,30,2,33
1,1,1,10,10,17,3,23,27,7
0,1,1,1,1,1,19,25,26,25
0,0,10,0,19,21,24,26,0,0
0,1,1,3,18,20,5,26,26,0
10,10,11,14,16,0,0,0,19,20
4,5,4,6,12,22,21,3,18,5
1,2,3,6,9,12,14,18,18,17
3,5,8,10,13,1,26,30,2,2
0,2,2,2,4,4,17,20,23,26 30
4,5,6,1,1,1,1,24,27,30
0,0,0,3,11,14,17,20,18,17
0,2,4,8,9,12,15,19,19,12
7,0,0,0,0,0,0,31,31,31
4,0,0,0,0,0,0,32,32,32
3,0,0,0,0,0,0,32,32,33
0,0,0,0,22,25,25,0,0,28
0,0,11,0,0,21,0,0,34,34
0,0,5,7,7,10,11,20,20,20
0,0,12,1,1,22,3,3,33,25
0,0,10,16,0,20,25,29,0,0
0.1,0.1,10.1,15.1,0,20.2,25.1,29.3,0,0
0,0,6,0,0,22,22,25,25,0
1,2,8,10,15,22,5,4,9,24
5,0,0,0,0,0,0,25,30,40
2,4,6,9,11,14,16,19,19,0
0,0,0,0,0,28,0,36,36,0
0,0,11,0,0,7,7,7,34,34
0,0,0,0,17,22,0,29,33,0
0,7,11,16,0,0,0,0,35,31
3,3,5,5,0,20,20,21,0,23
0,0,2,14,18,2,3,3,32,36
0,7,0,0,0,0,18,0,25,52
4,0,0,0,0,0,0,28,32,36
0,0,2,8,2,15,3,28,7,35
2,3,6,6,6,6,6,6,33,26
2,3,4,7,9,13,13,17,17,15
10,0,0,0,0,0,0,30,30,30
2,2,2,5,5,2,2,20,30,30
5,7,10,13,14,15,3,3,3,27
0,10,0,0,0,0,0,25,30,35
0,2,3,5,0,10,10,10,30,30
5,6,8,10,13,16,18,22,1,1
0,0,2,2,17,18,27,3,4,27
4,3,8,12,13,25,6,5,13,11
0,0,0,0,20,22,25,0,0,33
2,4,5,7,9,11,13,15,16,18
3,3,3,6,10,14,13,20,13,15
4,4,4,4,10,17,18,3,18,18
0,0,1,0,2,20,22,28,24,3
1,1,2,3,5,7,10,15,23,33
1,1,1,1,6,14,16,21,21,18
0,2,2,2,2,1,22,22,22,25
1,2,4,7,10,14,16,20,18,8
0,4,0,8,10,13,14,18,17,16
0,5,6,13,12,22,2,27,7,6
2,2,2,13,16,19,21,2,2,21
5,6,7,9,15,27,31,0,0,0
10,10,10,10,10,20,30,0,0,0
0,1,1,1,20,21,21,2,2,31
9,11,12,13,14,15,20,2,2,2
1,2,3,6,8,13,14,18,18,17
1,1,1,1,1,23,23,24,24,1
1,1,1,1,1,23,23,24,24,1
2,1,3,21,5,12,5,26,11,14
0,1,11,2,2,23,3,3,34,21
0,0,0,14,17,0,0,0,33,36
0,0,0,0,0,20,20,20,20,20
1,3,4,8,10,1,1,17,25,30
5,0,0,0,0,0,0,18,26,51
5,7,10,11,0,0,0,25,22,20
0,2,11,3,4,23,5,6,37,9
4,4,5,1,11,14,0,20,17,24
0,0,10,1,1,23,3,3,34,25
2,0,18,17,19,3,16,8,4,13
7,8,11,14,0,0,0,30,0,30
0,0,12,1,1,23,0,4,34,25
34,33,0,1,21,0,0,11,0,0
1,2,3,4,13,16,17,16,15,13
0,0,11,1,2,23,4,2,34,23
0,1,11,2,2,1,22,32,5,24
4,5,7,9,12,24,26,2,5,6
0,5,7,9,12,14,16,0,19,18
1,2,5,9,9,14,15,14,15,14
0,0,0,0,0,18,20,22,20,18
2,2,18,4,2,19,3,4,20,26
8,9,12,14,16,18,20,1,1,1
0,0,0,0,0,100,0,0,0,0
0,1,11,2,2,23,3,2,33,23
4,0,0,0,0,0,0,32,32,32
0,1,12,2,2,23,3,1,34,22
6,4,9,16,10,12,14,8,10,11
5,0,0,0,18,24,25,0,28,0
2,4,5,7,9,11,13,15,16,18
0,0,0,0,10,20,20,20,20,10
1,1,1,2,2,10,10,21,26,26
10,10,10,10,10,10,15,15,10,0
0,1,1,15,18,1,3,2,35,24
5,5,9,11,0,0,20,0,20,20
0,0,0,5,15,17,20,21,22,0
1,3,5,7,9,11,13,15,17,19
10,0,0,0,0,0,0,30,30,30
3,5,6,8,11,14,15,0,19,19
6,0,0,4,0,10,0,31,31,18
1,1,1,1,14,17,26,3,34,2
1,1,1,8,10,13,14,15,15,23
4,4,4,8,15,15,15,20,15,0
0,1,11,1,1,22,3,3,34,24
2,3,4,9,19,19,1,1,21,21
0,7,9,17,24,2,8,8,0,25
2,5,8,1,10,2,17,3,26,26
0,0,0,0,14,15,0,23,24,25
0,0,0,0,15,20,0,28,37,0
8,0,0,0,0,0,0,27,31,34
0,0,0,8,12,0,17,20,21,22
0,5,7,8,8,0,0,21,24,27
0,0,0,0,14,15,0,33,38,0
0,6,6,6,12,17,17,22,2,12
10,10,12,14,16,18,20,0,0,0
6,1,1,1,1,1,1,30,30,28
2,4,4,5,10,15,20,0,20,20
2,1,2,2,2,17,19,1,27,26
3,4,6,8,10,12,15,17,14,12
2,2,4,6,6,14,16,0,24,26
8,8,8,14,17,20,25,0,0,0
4,4,6,8,8,15,15,6,18,16
3,4,7,4,4,16,6,10,22,24
0,0,0,10,15,25,0,25,25,0
0,0,13,2,1,23,1,0,35,25
0,0,0,8,11,0,15,19,22,25
3,5,6,12,1,3,2,30,6,32
0,0,12,12,0,24,0,0,28,24
5,7,9,11,15,21,25,2,2,3
0,2,3,7,14,16,17,18,3,20
2,2,2,2,2,2,0,29,30,29
0,0,0,0,0,0,18,15,22,46
4,0,0,0,0,0,0,32,32,32
3,4,7,10,13,2,27,31,1,2
3,3,6,2,2,19,9,22,13,21
0,2,2,3,16,0,19,22,5,31
1,0,0,0,6,0,10,21,29,33
5,0,0,0,0,0,0,28,32,35
5,1,1,1,1,1,1,30,30,30
2,8,2,13,18,2,2,23,28,2
0,0,1,2,12,22,3,22,33,5
2,3,3,5,10,13,14,26,13,11
7,0,0,0,0,0,0,25,28,40
1,0,0,18,20,0,0,1,34,26
0,7,0,0,1,0,28,1,35,28
2,2,3,2,14,21,21,0,4,31
0,2,3,4,3,22,17,26,18,5
0,8,0,0,0,1,28,1,33,29
0,0,12,1,1,23,3,3,33,24
0,7,1,2,2,1,26,1,34,26
4,6,9,15,6,6,4,31,7,12
4,5,7,12,16,22,21,3,3,7
1,2,10,11,10,22,6,15,15,8
0,0,0,0,0,0,28,0,31,41
0,0,8,13,13,22,3,3,6,32
0,5,8,11,13,0,20,31,5,7
0,0,2,17,23,2,1,19,35,1
1,2,8,2,3,2,26,23,5,28
0,0,11,1,1,23,4,3,33,24
3,7,10,13,16,19,0,0,0,32
0,0,13,0,1,3,26,28,2,27
0,1,11,2,2,23,3,3,33,22
2,5,8,14,2,2,2,31,2,32
3,3,5,6,11,13,24,3,29,3
0,5,7,12,12,21,1,31,4,7
0,0,0,5,15,8,4,13,30,25
6,4,6,9,14,14,1,33,7,6
