metro_area,holc_grade,white_pop,black_pop,hisp_pop,asian_pop,other_pop,total_pop,pct_white,pct_black,pct_hisp,pct_asian,pct_other,lq_white,lq_black,lq_hisp,lq_asian,lq_other,surr_area_white_pop,surr_area_black_pop,surr_area_hisp_pop,surr_area_asian_pop,surr_area_other_pop,surr_area_pct_white,surr_area_pct_black,surr_area_pct_hisp,surr_area_pct_asian,surr_area_pct_other
"Davenport-Moline-Rock Island, IA-IL",C,"21021","3986","3474","507","2320","31309",67.14,12.73,11.1,1.62,7.41,1,0.96,1,0.67,1.2,"90227","17868","15019","3255","8348",66.97,13.26,11.15,2.42,6.2
"Davenport-Moline-Rock Island, IA-IL",D,"3956","1295","763","63","480","6558",60.32,19.75,11.64,0.97,7.32,0.9,1.49,1.04,0.4,1.18,"90227","17868","15019","3255","8348",66.97,13.26,11.15,2.42,6.2
"Dayton-Kettering, OH",A,"15825","3675","774","440","1182","21897",72.27,16.78,3.54,2.01,5.4,1.25,0.57,0.73,1.25,0.91,"154813","79341","12951","4282","15767",57.95,29.7,4.85,1.6,5.9
"Dayton-Kettering, OH",B,"18875","15952","2153","681","2578","40238",46.91,39.64,5.35,1.69,6.41,0.81,1.33,1.1,1.06,1.09,"154813","79341","12951","4282","15767",57.95,29.7,4.85,1.6,5.9
"Dayton-Kettering, OH",C,"31008","13124","3598","620","3286","51635",60.05,25.42,6.97,1.2,6.36,1.04,0.86,1.44,0.75,1.08,"154813","79341","12951","4282","15767",57.95,29.7,4.85,1.6,5.9
"Dayton-Kettering, OH",D,"8883","10786","1072","179","1347","22269",39.89,48.44,4.81,0.81,6.05,0.69,1.63,0.99,0.5,1.03,"154813","79341","12951","4282","15767",57.95,29.7,4.85,1.6,5.9
"Decatur, IL",A,"2114","309","87","17","151","2678",78.94,11.56,3.23,0.62,5.64,1.32,0.39,1.12,0.69,0.86,"30318","15115","1465","458","3335",59.81,29.82,2.89,0.9,6.58
"Decatur, IL",B,"4144","3364","219","37","611","8375",49.48,40.17,2.62,0.45,7.29,0.83,1.35,0.91,0.49,1.11,"30318","15115","1465","458","3335",59.81,29.82,2.89,0.9,6.58
"Decatur, IL",C,"6298","6624","491","70","1146","14630",43.05,45.28,3.36,0.48,7.83,0.72,1.52,1.16,0.53,1.19,"30318","15115","1465","458","3335",59.81,29.82,2.89,0.9,6.58
"Decatur, IL",D,"2030","2250","153","22","434","4888",41.52,46.04,3.13,0.44,8.87,0.69,1.54,1.08,0.49,1.35,"30318","15115","1465","458","3335",59.81,29.82,2.89,0.9,6.58
"Denver-Aurora-Lakewood, CO",A,"10605","270","962","294","730","12860",82.46,2.1,7.48,2.29,5.67,1.43,0.32,0.28,0.66,1.04,"460045","52036","212657","27752","43259",57.81,6.54,26.72,3.49,5.44
"Denver-Aurora-Lakewood, CO",B,"29789","1400","3831","893","2130","38043",78.3,3.68,10.07,2.35,5.6,1.35,0.56,0.38,0.67,1.03,"460045","52036","212657","27752","43259",57.81,6.54,26.72,3.49,5.44
"Denver-Aurora-Lakewood, CO",C,"114180","6878","24668","4492","9134","159351",71.65,4.32,15.48,2.82,5.73,1.24,0.66,0.58,0.81,1.05,"460045","52036","212657","27752","43259",57.81,6.54,26.72,3.49,5.44
"Denver-Aurora-Lakewood, CO",D,"42365","6691","32194","2750","4547","88548",47.84,7.56,36.36,3.11,5.14,0.83,1.16,1.36,0.89,0.94,"460045","52036","212657","27752","43259",57.81,6.54,26.72,3.49,5.44
"Des Moines-West Des Moines, IA",A,"24197","1940","1902","929","1588","30556",79.19,6.35,6.22,3.04,5.2,1.25,0.6,0.43,0.48,1.01,"160431","26698","36779","16060","13027",63.41,10.55,14.54,6.35,5.15
"Des Moines-West Des Moines, IA",B,"17859","3533","4797","1786","1564","29540",60.46,11.96,16.24,6.05,5.29,0.95,1.13,1.12,0.95,1.03,"160431","26698","36779","16060","13027",63.41,10.55,14.54,6.35,5.15
"Des Moines-West Des Moines, IA",C,"38390","8870","11152","5120","3443","66976",57.32,13.24,16.65,7.64,5.14,0.9,1.26,1.15,1.2,1,"160431","26698","36779","16060","13027",63.41,10.55,14.54,6.35,5.15
"Des Moines-West Des Moines, IA",D,"18942","5498","7883","2929","1945","37197",50.92,14.78,21.19,7.87,5.23,0.8,1.4,1.46,1.24,1.02,"160431","26698","36779","16060","13027",63.41,10.55,14.54,6.35,5.15
"Detroit-Warren-Dearborn, MI",A,"33745","37381","2040","900","2935","77002",43.82,48.55,2.65,1.17,3.81,0.77,1.79,0.49,0.2,0.81,"1954385","929170","184988","198693","162391",56.99,27.09,5.39,5.79,4.73
"Detroit-Warren-Dearborn, MI",B,"67214","105556","6561","1444","7328","188103",35.73,56.12,3.49,0.77,3.9,0.63,2.07,0.65,0.13,0.82,"1954385","929170","184988","198693","162391",56.99,27.09,5.39,5.79,4.73
"Detroit-Warren-Dearborn, MI",C,"278844","235388","45758","13811","30258","604058",46.16,38.97,7.58,2.29,5.01,0.81,1.44,1.4,0.39,1.06,"1954385","929170","184988","198693","162391",56.99,27.09,5.39,5.79,4.73
"Detroit-Warren-Dearborn, MI",D,"88546","116045","37980","11152","13607","267328",33.12,43.41,14.21,4.17,5.09,0.58,1.6,2.63,0.72,1.07,"1954385","929170","184988","198693","162391",56.99,27.09,5.39,5.79,4.73
"Dubuque, IA",A,"2980","165","98","15","155","3413",87.31,4.85,2.86,0.45,4.54,1.04,0.77,0.77,0.45,0.88,"47918","3587","2117","564","2934",83.89,6.28,3.71,0.99,5.14
"Dubuque, IA",B,"15072","2179","1007","182","1303","19743",76.34,11.04,5.1,0.92,6.6,0.91,1.76,1.38,0.93,1.29,"47918","3587","2117","564","2934",83.89,6.28,3.71,0.99,5.14
"Dubuque, IA",C,"5953","267","203","54","314","6792",87.65,3.93,2.99,0.8,4.63,1.04,0.63,0.81,0.81,0.9,"47918","3587","2117","564","2934",83.89,6.28,3.71,0.99,5.14
"Dubuque, IA",D,"2880","375","173","20","217","3664",78.61,10.23,4.71,0.53,5.91,0.94,1.63,1.27,0.54,1.15,"47918","3587","2117","564","2934",83.89,6.28,3.71,0.99,5.14
"Duluth, MN-WI",A,"7176","102","157","164","517","8117",88.41,1.26,1.93,2.02,6.37,1.03,0.46,0.89,1.5,0.81,"117643","3727","2974","1847","10723",85.92,2.72,2.17,1.35,7.83
"Duluth, MN-WI",B,"14291","468","393","231","1383","16767",85.23,2.79,2.35,1.38,8.25,0.99,1.03,1.08,1.02,1.05,"117643","3727","2974","1847","10723",85.92,2.72,2.17,1.35,7.83
"Duluth, MN-WI",C,"17676","1197","741","381","2234","22228",79.52,5.39,3.33,1.71,10.05,0.93,1.98,1.54,1.27,1.28,"117643","3727","2974","1847","10723",85.92,2.72,2.17,1.35,7.83
"Duluth, MN-WI",D,"5730","191","168","78","631","6798",84.29,2.81,2.48,1.15,9.28,0.98,1.03,1.14,0.85,1.19,"117643","3727","2974","1847","10723",85.92,2.72,2.17,1.35,7.83
"Durham-Chapel Hill, NC",A,"2448","187","341","88","200","3263",75.02,5.73,10.44,2.69,6.13,2.29,0.14,0.55,0.72,1.43,"24970","30644","14564","2852","3263",32.73,40.17,19.09,3.74,4.28
"Durham-Chapel Hill, NC",B,"1354","362","223","44","137","2121",63.87,17.09,10.5,2.08,6.47,1.95,0.43,0.55,0.56,1.51,"24970","30644","14564","2852","3263",32.73,40.17,19.09,3.74,4.28
"Durham-Chapel Hill, NC",C,"8233","6025","3967","861","937","20023",41.12,30.09,19.81,4.3,4.68,1.26,0.75,1.04,1.15,1.09,"24970","30644","14564","2852","3263",32.73,40.17,19.09,3.74,4.28
"Durham-Chapel Hill, NC",D,"2335","6477","2546","305","522","12185",19.16,53.16,20.9,2.5,4.29,0.59,1.32,1.09,0.67,1,"24970","30644","14564","2852","3263",32.73,40.17,19.09,3.74,4.28
"El Paso, TX",A,"1123","51","3910","47","93","5224",21.49,0.98,74.85,0.9,1.78,1.79,0.33,0.92,0.57,0.79,"13930","3463","94407","1826","2638",11.98,2.98,81.2,1.57,2.27
"El Paso, TX",B,"1618","290","22147","90","253","24399",6.63,1.19,90.77,0.37,1.04,0.55,0.4,1.12,0.23,0.46,"13930","3463","94407","1826","2638",11.98,2.98,81.2,1.57,2.27
"El Paso, TX",C,"936","271","11827","140","215","13389",6.99,2.03,88.33,1.05,1.61,0.58,0.68,1.09,0.67,0.71,"13930","3463","94407","1826","2638",11.98,2.98,81.2,1.57,2.27
"El Paso, TX",D,"602","193","14977","38","140","15950",3.77,1.21,93.9,0.24,0.88,0.31,0.41,1.16,0.15,0.39,"13930","3463","94407","1826","2638",11.98,2.98,81.2,1.57,2.27
"Elmira, NY",A,"277","31","21","2","20","351",78.83,8.77,6.09,0.7,5.6,1.02,0.92,1.34,0.8,0.74,"34907","4288","2046","396","3386",77.53,9.52,4.54,0.88,7.52
"Elmira, NY",B,"7613","849","433","102","662","9659",78.82,8.79,4.48,1.06,6.86,1.02,0.92,0.99,1.2,0.91,"34907","4288","2046","396","3386",77.53,9.52,4.54,0.88,7.52
"Elmira, NY",C,"15224","1702","854","150","1701","19631",77.55,8.67,4.35,0.76,8.67,1,0.91,0.96,0.87,1.15,"34907","4288","2046","396","3386",77.53,9.52,4.54,0.88,7.52
"Elmira, NY",D,"3554","507","186","19","387","4653",76.38,10.9,4,0.4,8.31,0.99,1.14,0.88,0.46,1.11,"34907","4288","2046","396","3386",77.53,9.52,4.54,0.88,7.52
"Erie, PA",A,"4305","102","96","87","156","4746",90.71,2.14,2.02,1.84,3.29,1.22,0.2,0.33,0.55,0.6,"125324","18053","10179","5656","9243",74.4,10.72,6.04,3.36,5.49
"Erie, PA",B,"33288","3697","2536","882","2703","43106",77.22,8.58,5.88,2.05,6.27,1.04,0.8,0.97,0.61,1.14,"125324","18053","10179","5656","9243",74.4,10.72,6.04,3.36,5.49
"Erie, PA",C,"27409","7863","3721","1370","2908","43271",63.34,18.17,8.6,3.17,6.72,0.85,1.7,1.42,0.94,1.22,"125324","18053","10179","5656","9243",74.4,10.72,6.04,3.36,5.49
"Erie, PA",D,"5358","3113","1432","681","909","11492",46.62,27.09,12.46,5.92,7.91,0.63,2.53,2.06,1.76,1.44,"125324","18053","10179","5656","9243",74.4,10.72,6.04,3.36,5.49
"Evansville, IN-KY",A,"4098","232","145","57","292","4824",84.95,4.82,3,1.18,6.06,1.16,0.33,0.72,1.7,0.86,"63444","12579","3581","595","6068",73.54,14.58,4.15,0.69,7.03
"Evansville, IN-KY",B,"1764","1135","159","11","257","3325",53.04,34.13,4.78,0.33,7.72,0.72,2.34,1.15,0.47,1.1,"63444","12579","3581","595","6068",73.54,14.58,4.15,0.69,7.03
"Evansville, IN-KY",C,"31500","5833","1939","238","3127","42639",73.88,13.68,4.55,0.56,7.33,1,0.94,1.1,0.81,1.04,"63444","12579","3581","595","6068",73.54,14.58,4.15,0.69,7.03
"Evansville, IN-KY",D,"6788","2838","496","49","1066","11238",60.41,25.26,4.42,0.43,9.49,0.82,1.73,1.06,0.63,1.35,"63444","12579","3581","595","6068",73.54,14.58,4.15,0.69,7.03
"Flint, MI",A,"593","140","36","21","64","854",69.43,16.34,4.25,2.48,7.51,1.21,0.53,0.94,2.46,1.22,"135599","73705","10653","2396","14619",57.22,31.1,4.5,1.01,6.17
"Flint, MI",B,"3975","8756","618","105","935","14389",27.62,60.85,4.3,0.73,6.5,0.48,1.96,0.96,0.72,1.05,"135599","73705","10653","2396","14619",57.22,31.1,4.5,1.01,6.17
"Flint, MI",C,"11045","14044","1614","138","2125","28966",38.13,48.48,5.57,0.48,7.34,0.67,1.56,1.24,0.47,1.19,"135599","73705","10653","2396","14619",57.22,31.1,4.5,1.01,6.17
"Flint, MI",D,"18679","9305","1847","133","2527","32492",57.49,28.64,5.68,0.41,7.78,1,0.92,1.26,0.41,1.26,"135599","73705","10653","2396","14619",57.22,31.1,4.5,1.01,6.17
"Fort Wayne, IN",A,"1681","64","119","41","125","2029",82.83,3.14,5.86,2.01,6.17,1.67,0.14,0.39,0.27,0.98,"67467","29812","20315","10066","8530",49.54,21.89,14.92,7.39,6.26
"Fort Wayne, IN",B,"10029","1239","1770","443","1166","14647",68.47,8.46,12.08,3.02,7.96,1.38,0.39,0.81,0.41,1.27,"67467","29812","20315","10066","8530",49.54,21.89,14.92,7.39,6.26
"Fort Wayne, IN",C,"23448","11063","9750","1364","3325","48950",47.9,22.6,19.92,2.79,6.79,0.97,1.03,1.34,0.38,1.08,"67467","29812","20315","10066","8530",49.54,21.89,14.92,7.39,6.26
"Fort Wayne, IN",D,"742","1210","661","49","195","2856",25.96,42.35,23.13,1.72,6.84,0.52,1.93,1.55,0.23,1.09,"67467","29812","20315","10066","8530",49.54,21.89,14.92,7.39,6.26
"Fresno, CA",A,"615","25","370","25","86","1121",54.83,2.26,33.02,2.19,7.7,4.11,0.3,0.5,0.21,2.2,"28916","16120","141886","22082","7576",13.35,7.44,65.51,10.2,3.5
"Fresno, CA",B,"2846","284","6835","517","410","10892",26.13,2.61,62.76,4.74,3.77,1.96,0.35,0.96,0.47,1.08,"28916","16120","141886","22082","7576",13.35,7.44,65.51,10.2,3.5
"Fresno, CA",C,"6214","3942","42059","4467","1980","58662",10.59,6.72,71.7,7.61,3.38,0.79,0.9,1.09,0.75,0.96,"28916","16120","141886","22082","7576",13.35,7.44,65.51,10.2,3.5
"Fresno, CA",D,"883","1877","10951","1707","397","15814",5.58,11.87,69.25,10.79,2.51,0.42,1.59,1.06,1.06,0.72,"28916","16120","141886","22082","7576",13.35,7.44,65.51,10.2,3.5
"Grand Rapids-Kentwood, MI",A,"6670","271","362","159","420","7882",84.63,3.43,4.59,2.02,5.33,1.35,0.26,0.29,0.65,1.01,"242564","50746","60780","12041","20352",62.76,13.13,15.73,3.12,5.27
"Grand Rapids-Kentwood, MI",B,"23288","5436","5505","522","1942","36694",63.47,14.81,15,1.42,5.29,1.01,1.13,0.95,0.46,1.01,"242564","50746","60780","12041","20352",62.76,13.13,15.73,3.12,5.27
"Grand Rapids-Kentwood, MI",C,"74531","18549","25847","3183","7190","129299",57.64,14.35,19.99,2.46,5.56,0.92,1.09,1.27,0.79,1.06,"242564","50746","60780","12041","20352",62.76,13.13,15.73,3.12,5.27
"Grand Rapids-Kentwood, MI",D,"8448","5246","6196","190","1399","21480",39.33,24.43,28.85,0.88,6.51,0.63,1.86,1.83,0.28,1.24,"242564","50746","60780","12041","20352",62.76,13.13,15.73,3.12,5.27
"Greensboro-High Point, NC",A,"4964","209","229","70","223","5695",87.16,3.67,4.02,1.23,3.91,2.17,0.09,0.4,0.3,0.85,"55145","56133","13906","5664","6306",40.21,40.93,10.14,4.13,4.6
"Greensboro-High Point, NC",B,"4632","991","356","161","329","6468",71.6,15.31,5.51,2.48,5.09,1.78,0.37,0.54,0.6,1.11,"55145","56133","13906","5664","6306",40.21,40.93,10.14,4.13,4.6
"Greensboro-High Point, NC",C,"7758","12864","2995","1166","1318","26101",29.72,49.28,11.48,4.47,5.05,0.74,1.2,1.13,1.08,1.1,"55145","56133","13906","5664","6306",40.21,40.93,10.14,4.13,4.6
"Greensboro-High Point, NC",D,"882","10834","985","178","476","13355",6.6,81.12,7.38,1.33,3.57,0.16,1.98,0.73,0.32,0.78,"55145","56133","13906","5664","6306",40.21,40.93,10.14,4.13,4.6
"Harrisburg-Carlisle, PA",A,"2191","728","393","66","227","3605",60.8,20.19,10.89,1.82,6.29,1.17,0.89,0.8,0.29,1.16,"96843","41916","25404","11512","10059",52.14,22.57,13.68,6.2,5.42
"Harrisburg-Carlisle, PA",B,"13967","13841","7966","1489","2404","39667",35.21,34.89,20.08,3.75,6.06,0.68,1.55,1.47,0.61,1.12,"96843","41916","25404","11512","10059",52.14,22.57,13.68,6.2,5.42
"Harrisburg-Carlisle, PA",C,"2458","4185","3303","201","638","10785",22.79,38.8,30.63,1.87,5.92,0.44,1.72,2.24,0.3,1.09,"96843","41916","25404","11512","10059",52.14,22.57,13.68,6.2,5.42
"Harrisburg-Carlisle, PA",D,"8247","5777","3604","470","1315","19413",42.48,29.76,18.56,2.42,6.77,0.81,1.32,1.36,0.39,1.25,"96843","41916","25404","11512","10059",52.14,22.57,13.68,6.2,5.42
"Hartford-East Hartford-Middletown, CT",A,"21765","2204","3010","2006","1487","30472",71.43,7.23,9.88,6.58,4.88,1.54,0.4,0.39,1.09,1.18,"232550","90555","127634","30178","20843",46.35,18.05,25.44,6.01,4.15
"Hartford-East Hartford-Middletown, CT",B,"20103","14231","15961","1387","2217","53900",37.3,26.4,29.61,2.57,4.11,0.8,1.46,1.16,0.43,0.99,"232550","90555","127634","30178","20843",46.35,18.05,25.44,6.01,4.15
"Hartford-East Hartford-Middletown, CT",C,"22480","35157","58399","4120","5621","125778",17.87,27.95,46.43,3.28,4.47,0.39,1.55,1.83,0.54,1.08,"232550","90555","127634","30178","20843",46.35,18.05,25.44,6.01,4.15
"Hartford-East Hartford-Middletown, CT",D,"1661","4324","8407","486","461","15338",10.83,28.19,54.81,3.17,3,0.23,1.56,2.15,0.53,0.72,"232550","90555","127634","30178","20843",46.35,18.05,25.44,6.01,4.15
"Houston-The Woodlands-Sugar Land, TX",A,"16589","6910","6881","2778","1653","34811",47.66,19.85,19.77,7.98,4.75,1.61,1.05,0.47,1.37,1.48,"894064","572756","1275375","176052","97010",29.65,19,42.3,5.84,3.22
"Houston-The Woodlands-Sugar Land, TX",B,"25188","5107","27135","2931","2451","62811",40.1,8.13,43.2,4.67,3.9,1.35,0.43,1.02,0.8,1.21,"894064","572756","1275375","176052","97010",29.65,19,42.3,5.84,3.22
"Houston-The Woodlands-Sugar Land, TX",C,"16996","9825","62096","2045","2164","93125",18.25,10.55,66.68,2.2,2.32,0.62,0.56,1.58,0.38,0.72,"894064","572756","1275375","176052","97010",29.65,19,42.3,5.84,3.22
"Houston-The Woodlands-Sugar Land, TX",D,"8108","14680","10239","1748","1324","36100",22.46,40.67,28.36,4.84,3.67,0.76,2.14,0.67,0.83,1.14,"894064","572756","1275375","176052","97010",29.65,19,42.3,5.84,3.22
"Huntington-Ashland, WV-KY-OH",A,"7221","608","201","160","504","8694",83.06,6.99,2.31,1.84,5.8,0.98,1.09,1.25,1.48,1.05,"62135","4666","1351","904","4019",85.03,6.39,1.85,1.24,5.5
"Huntington-Ashland, WV-KY-OH",B,"6286","719","186","142","442","7775",80.85,9.24,2.4,1.83,5.68,0.95,1.45,1.3,1.48,1.03,"62135","4666","1351","904","4019",85.03,6.39,1.85,1.24,5.5
"Huntington-Ashland, WV-KY-OH",C,"20220","2068","463","284","1592","24627",82.11,8.4,1.88,1.15,6.46,0.97,1.32,1.02,0.93,1.18,"62135","4666","1351","904","4019",85.03,6.39,1.85,1.24,5.5
"Huntington-Ashland, WV-KY-OH",D,"384","357","15","5","81","842",45.64,42.4,1.77,0.63,9.57,0.54,6.64,0.96,0.51,1.74,"62135","4666","1351","904","4019",85.03,6.39,1.85,1.24,5.5
"Indianapolis-Carmel-Anderson, IN",A,"21440","1939","923","442","1097","25841",82.97,7.51,3.57,1.71,4.24,1.69,0.26,0.26,0.45,0.85,"440510","255828","123995","34160","44865",48.98,28.45,13.79,3.8,4.99
"Indianapolis-Carmel-Anderson, IN",B,"31069","7302","4537","1567","2629","47103",65.96,15.5,9.63,3.33,5.58,1.35,0.54,0.7,0.88,1.12,"440510","255828","123995","34160","44865",48.98,28.45,13.79,3.8,4.99
"Indianapolis-Carmel-Anderson, IN",C,"107449","83952","33853","5151","12410","242816",44.25,34.57,13.94,2.12,5.11,0.9,1.22,1.01,0.56,1.02,"440510","255828","123995","34160","44865",48.98,28.45,13.79,3.8,4.99
"Indianapolis-Carmel-Anderson, IN",D,"54827","29069","17932","1998","5864","109690",49.98,26.5,16.35,1.82,5.35,1.02,0.93,1.19,0.48,1.07,"440510","255828","123995","34160","44865",48.98,28.45,13.79,3.8,4.99
"Jackson, MI",A,"1589","131","137","25","129","2011",79.02,6.52,6.79,1.24,6.42,1.08,0.48,1.31,0.96,0.91,"49295","9140","3512","873","4742",72.96,13.53,5.2,1.29,7.02
"Jackson, MI",B,"8422","2276","747","169","1045","12659",66.53,17.98,5.9,1.34,8.26,0.91,1.33,1.14,1.04,1.18,"49295","9140","3512","873","4742",72.96,13.53,5.2,1.29,7.02
"Jackson, MI",C,"15605","3220","1297","156","1754","22033",70.83,14.62,5.89,0.71,7.96,0.97,1.08,1.13,0.55,1.13,"49295","9140","3512","873","4742",72.96,13.53,5.2,1.29,7.02
"Jackson, MI",D,"2939","926","396","35","437","4732",62.11,19.56,8.36,0.74,9.23,0.85,1.45,1.61,0.57,1.31,"49295","9140","3512","873","4742",72.96,13.53,5.2,1.29,7.02
"Jackson, MS",A,"3549","1641","154","104","185","5632",63.01,29.14,2.73,1.84,3.28,3.45,0.38,1.29,2.55,1.26,"8715","36422","1008","345","1248",18.26,76.3,2.11,0.72,2.61
"Jackson, MS",B,"1432","5983","174","56","200","7845",18.26,76.27,2.21,0.71,2.55,1,1,1.05,0.99,0.98,"8715","36422","1008","345","1248",18.26,76.3,2.11,0.72,2.61
"Jackson, MS",C,"432","3411","99","14","136","4092",10.55,83.36,2.43,0.35,3.32,0.58,1.09,1.15,0.49,1.27,"8715","36422","1008","345","1248",18.26,76.3,2.11,0.72,2.61
"Jackson, MS",D,"647","6206","208","24","182","7267",8.9,85.4,2.87,0.33,2.51,0.49,1.12,1.36,0.45,0.96,"8715","36422","1008","345","1248",18.26,76.3,2.11,0.72,2.61
"Jacksonville, FL",A,"6067","109","393","164","246","6979",86.93,1.55,5.64,2.35,3.52,2.35,0.03,0.64,1.01,0.73,"82335","105268","19507","5186","10698",36.92,47.21,8.75,2.33,4.8
"Jacksonville, FL",B,"13253","3868","1312","380","1120","19931",66.49,19.41,6.58,1.91,5.62,1.8,0.41,0.75,0.82,1.17,"82335","105268","19507","5186","10698",36.92,47.21,8.75,2.33,4.8
"Jacksonville, FL",C,"11377","9020","1802","463","1392","24054",47.3,37.5,7.49,1.93,5.79,1.28,0.79,0.86,0.83,1.21,"82335","105268","19507","5186","10698",36.92,47.21,8.75,2.33,4.8
"Jacksonville, FL",D,"5169","28894","1784","248","1790","37885",13.64,76.27,4.71,0.65,4.73,0.37,1.62,0.54,0.28,0.98,"82335","105268","19507","5186","10698",36.92,47.21,8.75,2.33,4.8
"Kalamazoo-Portage, MI",A,"1046","52","76","17","70","1261",82.95,4.12,6.05,1.32,5.55,1.38,0.19,0.7,0.61,0.73,"55406","19960","7943","2010","7018",60,21.62,8.6,2.18,7.6
"Kalamazoo-Portage, MI",B,"5336","787","552","109","554","7338",72.72,10.72,7.52,1.48,7.56,1.21,0.5,0.87,0.68,0.99,"55406","19960","7943","2010","7018",60,21.62,8.6,2.18,7.6
"Kalamazoo-Portage, MI",C,"14637","7823","3288","358","2380","28486",51.38,27.46,11.54,1.26,8.36,0.86,1.27,1.34,0.58,1.1,"55406","19960","7943","2010","7018",60,21.62,8.6,2.18,7.6
"Kalamazoo-Portage, MI",D,"545","618","151","7","130","1451",37.54,42.58,10.43,0.51,8.94,0.63,1.97,1.21,0.23,1.18,"55406","19960","7943","2010","7018",60,21.62,8.6,2.18,7.6
"Kansas City, MO-KS",A,"11945","232","537","215","539","13469",88.69,1.72,3.99,1.59,4.01,1.71,0.08,0.23,0.57,0.65,"363293","151921","122305","19426","42786",51.92,21.71,17.48,2.78,6.11
"Kansas City, MO-KS",B,"22007","5066","2790","740","1768","32371",67.98,15.65,8.62,2.29,5.46,1.31,0.72,0.49,0.82,0.89,"363293","151921","122305","19426","42786",51.92,21.71,17.48,2.78,6.11
"Kansas City, MO-KS",C,"49734","30796","26443","3353","6891","117217",42.43,26.27,22.56,2.86,5.88,0.82,1.21,1.29,1.03,0.96,"363293","151921","122305","19426","42786",51.92,21.71,17.48,2.78,6.11
"Kansas City, MO-KS",D,"41926","42276","44246","4623","7939","141011",29.73,29.98,31.38,3.28,5.63,0.57,1.38,1.8,1.18,0.92,"363293","151921","122305","19426","42786",51.92,21.71,17.48,2.78,6.11
"Knoxville, TN",A,"4028","144","179","127","196","4673",86.19,3.08,3.82,2.71,4.19,1.28,0.18,0.49,1.48,0.71,"112094","28172","12965","3047","9750",67.52,16.97,7.81,1.84,5.87
"Knoxville, TN",B,"7328","1342","713","305","495","10182",71.96,13.18,7,3,4.86,1.07,0.78,0.9,1.63,0.83,"112094","28172","12965","3047","9750",67.52,16.97,7.81,1.84,5.87
"Knoxville, TN",C,"21298","6880","2579","694","1879","33330",63.9,20.64,7.74,2.08,5.64,0.95,1.22,0.99,1.13,0.96,"112094","28172","12965","3047","9750",67.52,16.97,7.81,1.84,5.87
"Knoxville, TN",D,"11269","6170","3083","327","1481","22331",50.46,27.63,13.81,1.47,6.63,0.75,1.63,1.77,0.8,1.13,"112094","28172","12965","3047","9750",67.52,16.97,7.81,1.84,5.87
"Lancaster, PA",A,"5357","406","1030","304","342","7439",72.01,5.46,13.85,4.09,4.59,1.6,0.49,0.39,0.99,1.08,"34959","8743","27527","3226","3315",44.95,11.24,35.4,4.15,4.26
"Lancaster, PA",B,"10807","3147","9640","904","1158","25657",42.12,12.27,37.57,3.52,4.51,0.94,1.09,1.06,0.85,1.06,"34959","8743","27527","3226","3315",44.95,11.24,35.4,4.15,4.26
"Lancaster, PA",C,"158","19","128","30","16","351",45,5.34,36.57,8.57,4.52,1,0.47,1.03,2.07,1.06,"34959","8743","27527","3226","3315",44.95,11.24,35.4,4.15,4.26
"Lancaster, PA",D,"183","351","1072","35","48","1689",10.81,20.78,63.51,2.06,2.83,0.24,1.85,1.79,0.5,0.66,"34959","8743","27527","3226","3315",44.95,11.24,35.4,4.15,4.26
"Lansing-East Lansing, MI",A,"4044","535","328","239","306","5452",74.18,9.81,6.02,4.38,5.61,1.27,0.55,0.56,0.73,0.82,"120427","36705","21964","12272","14133",58.6,17.86,10.69,5.97,6.88
"Lansing-East Lansing, MI",B,"18205","3734","2533","1356","1828","27655",65.83,13.5,9.16,4.9,6.61,1.12,0.76,0.86,0.82,0.96,"120427","36705","21964","12272","14133",58.6,17.86,10.69,5.97,6.88
"Lansing-East Lansing, MI",C,"36812","14721","10209","2361","5664","69767",52.76,21.1,14.63,3.38,8.12,0.9,1.18,1.37,0.57,1.18,"120427","36705","21964","12272","14133",58.6,17.86,10.69,5.97,6.88
"Lansing-East Lansing, MI",D,"1647","763","594","92","286","3381",48.72,22.57,17.55,2.71,8.44,0.83,1.26,1.64,0.45,1.23,"120427","36705","21964","12272","14133",58.6,17.86,10.69,5.97,6.88
"Lexington-Fayette, KY",A,"3749","43","115","63","139","4108",91.25,1.04,2.79,1.54,3.39,1.36,0.07,0.29,0.46,0.69,"51446","11761","7342","2576","3787",66.89,15.29,9.55,3.35,4.92
"Lexington-Fayette, KY",B,"6312","399","412","273","349","7746",81.49,5.16,5.32,3.52,4.51,1.22,0.34,0.56,1.05,0.92,"51446","11761","7342","2576","3787",66.89,15.29,9.55,3.35,4.92
"Lexington-Fayette, KY",C,"11709","2855","1397","535","965","17460",67.06,16.35,8,3.06,5.52,1,1.07,0.84,0.91,1.12,"51446","11761","7342","2576","3787",66.89,15.29,9.55,3.35,4.92
"Lexington-Fayette, KY",D,"4157","3279","879","116","546","8977",46.31,36.53,9.79,1.3,6.08,0.69,2.39,1.03,0.39,1.23,"51446","11761","7342","2576","3787",66.89,15.29,9.55,3.35,4.92
"Lima, OH",A,"1272","168","63","13","130","1646",77.25,10.23,3.85,0.79,7.89,1.19,0.45,0.97,0.92,1.04,"32359","11403","1977","427","3794",64.77,22.82,3.96,0.85,7.59
