season,player,possessions,DRAYMOND
2018,David Stockton,33.21687,-1.971419
2015,David Wear,15.07187,-5.121158
2014,David West,6117.569,1.475023
2015,David West,3763.549,-0.684037
2016,David West,3199.85,0.9271451
2017,David West,2194.265,3.333722
2018,David West,2395.661,3.34797
2017,Davis Bertans,1917.172,0.936015
2018,Davis Bertans,2429.171,2.170558
2019,Davis Bertans,3653.054,0.1238585
2018,Davon Reed,524.1821,-0.7809126
2019,Davon Reed,108.1881,2.357371
2018,De'Aaron Fox,4166.385,-0.4733806
2019,De'Aaron Fox,5626.129,-0.1688833
2019,De'Anthony Melton,2111.705,-0.4076378
2014,DeAndre Jordan,6707.39,1.179703
2015,DeAndre Jordan,6635.813,0.429695
2016,DeAndre Jordan,5694.529,1.730651
2017,DeAndre Jordan,5723.38,1.019464
2018,DeAndre Jordan,5011.115,0.5483887
2019,DeAndre Jordan,4299.975,0.8333448
2014,DeAndre Liggins,2.5,-2.553921
2017,DeAndre Liggins,1595.374,-1.288971
2018,DeAndre Liggins,1535.966,-2.919715
2017,DeAndre' Bembry,760.55,1.26038
2018,DeAndre' Bembry,970.5719,-1.866463
2019,DeAndre' Bembry,4310.555,-0.9974544
2014,DeJuan Blair,2687.006,-1.179994
2015,DeJuan Blair,376.2375,-1.272965
2016,DeJuan Blair,480.8263,-0.1904931
2014,DeMar DeRozan,6336.263,-0.4495337
2015,DeMar DeRozan,4429.898,-1.585678
2016,DeMar DeRozan,6949.281,-1.227738
2017,DeMar DeRozan,6003.848,-0.4660327
2018,DeMar DeRozan,6360.891,-0.5948776
2019,DeMar DeRozan,6022.795,-0.9552971
2014,DeMarcus Cousins,4601.266,0.9211934
2015,DeMarcus Cousins,4102.746,1.376596
2016,DeMarcus Cousins,4810.184,0.8305931
2017,DeMarcus Cousins,4955.364,0.7531767
2018,DeMarcus Cousins,3666.879,0.6246805
2019,DeMarcus Cousins,1939.043,2.178251
2014,DeMarre Carroll,5187.071,0.33329
2015,DeMarre Carroll,5526.549,-0.2228986
2016,DeMarre Carroll,2706.68,0.5620099
2017,DeMarre Carroll,4080.245,1.859354
2018,DeMarre Carroll,4576.637,0.0320733
2019,DeMarre Carroll,3941.786,-0.5368994
2019,DeVaughn Akoon-Purcell,50.30667,-8.117371
2019,Deandre Ayton,4644.787,0.6161702
2017,Dejounte Murray,1009.222,1.601718
2018,Dejounte Murray,3758.679,-0.3437103
2016,Delon Wright,546.0819,0.9005281
2017,Delon Wright,1070.718,1.280338
2018,Delon Wright,3380.278,1.128701
2019,Delon Wright,3611.263,0.4292844
2017,Demetrius Jackson,35.97271,-5.816931
2018,Demetrius Jackson,168.555,-2.795194
2019,Demetrius Jackson,88.47312,3.440001
2019,Deng Adel,391.6375,-0.7953883
2014,Dennis Schroder,1309.086,0.1985045
2015,Dennis Schroder,3597.875,-1.159495
2016,Dennis Schroder,3732.502,0.6185456
2017,Dennis Schroder,5579.665,0.4729238
2018,Dennis Schroder,4317.478,-1.560584
2019,Dennis Schroder,5384.671,-0.4165751
2018,Dennis Smith Jr.,4223.928,-0.842388
2019,Dennis Smith Jr.,3200.071,1.153498
2017,Denzel Valentine,2048.167,1.19131
2018,Denzel Valentine,4378.55,-1.20557
2019,Deonte Burton,536.0675,1.354452
2014,Derek Fisher,3510.513,-1.847831
2014,Deron Williams,4818.598,-0.0766072
2015,Deron Williams,4555.593,-1.241185
2016,Deron Williams,4313.703,0.237858
2017,Deron Williams,3831.73,-0.0969344
2014,Derrick Favors,4268.564,0.9377236
2015,Derrick Favors,4376.175,2.397554
2016,Derrick Favors,3853.217,1.347303
2017,Derrick Favors,2784.305,0.7772635
2018,Derrick Favors,5004.995,1.678385
2019,Derrick Favors,4036.296,3.741363
2017,Derrick Jones Jr.,1169.593,0.2260017
2018,Derrick Jones Jr.,502.1827,1.204689
2019,Derrick Jones Jr.,2388.872,3.101297
2014,Derrick Rose,617.7238,2.383804
2015,Derrick Rose,3952.129,1.114133
2016,Derrick Rose,4301.034,-0.2740748
2017,Derrick Rose,4253.786,0.9500251
2018,Derrick Rose,1149.049,-1.259936
2019,Derrick Rose,3019.77,0.2653291
2018,Derrick Walton Jr.,300.0638,0.2333302
2018,Derrick White,339.2885,6.031082
2019,Derrick White,3964.303,1.741554
2014,Derrick Williams,3712.177,-1.087826
2015,Derrick Williams,3026.035,-1.26338
2016,Derrick Williams,2898.7,-0.0326958
2017,Derrick Williams,1707.017,-0.9022046
2018,Derrick Williams,23.22563,3.019094
2016,Devin Booker,4398.693,-1.398903
2017,Devin Booker,5818.881,-0.3215141
2018,Devin Booker,4055.209,-0.686275
2019,Devin Booker,4792.275,-0.9290657
2014,Devin Harris,2019.222,0.106442
2015,Devin Harris,3654.982,0.9723078
2016,Devin Harris,2933.504,-1.646086
2017,Devin Harris,2199.59,0.0622165
2018,Devin Harris,2819.556,-0.634656
2019,Devin Harris,2266.95,-0.8483535
2018,Devin Robinson,28.03938,-2.414071
2019,Devin Robinson,201.5188,2.94336
2019,Devonte' Graham,1434.247,-2.117808
2015,Devyn Marble,452.14,-2.194273
2016,Devyn Marble,531.0444,-2.085239
2014,Dewayne Dedmon,787.355,0.2284727
2015,Dewayne Dedmon,1704.964,1.758317
2016,Dewayne Dedmon,1454.209,0.9422243
2017,Dewayne Dedmon,2884.622,2.741755
2018,Dewayne Dedmon,3234.024,0.5730131
2019,Dewayne Dedmon,3515.665,0.7564588
2014,Dexter Pittman,5.6125,12.20534
2017,Deyonta Davis,509.1206,3.236287
2018,Deyonta Davis,1987.765,-0.7312679
2019,Deyonta Davis,266.5079,1.858426
2017,Diamond Stone,50.96,-5.218743
2014,Diante Garrett,2056.263,0.0366786
2018,Dillon Brooks,4732.313,-1.21721
2019,Dillon Brooks,677.1875,0.9486058
2014,Dion Waiters,4099.539,0.0941377
2015,Dion Waiters,4508.005,-0.0098718
2016,Dion Waiters,5457.22,1.030256
2017,Dion Waiters,2806.636,2.098846
2018,Dion Waiters,1860.863,-0.7879786
2019,Dion Waiters,2334.085,-0.3793888
2014,Dionte Christmas,412.7475,-2.794927
2014,Dirk Nowitzki,5862.369,0.1611758
2015,Dirk Nowitzki,5084.947,-0.8734295
2016,Dirk Nowitzki,5167.278,-0.0040171
2017,Dirk Nowitzki,2926.913,-0.3142648
2018,Dirk Nowitzki,3963.479,-0.2353613
2019,Dirk Nowitzki,1690.7,-2.227592
2017,Domantas Sabonis,3384.424,0.4933529
2018,Domantas Sabonis,4037.399,0.6226928
2019,Domantas Sabonis,4021.284,0.2174945
2014,Donald Sloan,818.6875,-4.382384
2015,Donald Sloan,2193.936,0.1613014
2016,Donald Sloan,2681.306,-1.966967
2014,Donatas Motiejunas,2013.083,0.1913826
2015,Donatas Motiejunas,4135.11,0.4201906
2016,Donatas Motiejunas,1355.647,1.882164
2017,Donatas Motiejunas,1027.156,0.2211297
2019,Donatas Motiejunas,64.94104,-2.152285
2018,Donovan Mitchell,6247.993,1.105508
2019,Donovan Mitchell,5922.935,-1.076381
2019,Donte DiVincenzo,926.8906,2.02375
2019,Donte Grantham,4.935,7.323026
2014,Dorell Wright,2215,1.115238
2015,Dorell Wright,1222.973,-0.3641844
2016,Dorell Wright,39.1875,16.26515
2017,Dorian Finney-Smith,3242.95,-0.2890401
2018,Dorian Finney-Smith,917.28,-0.740273
2019,Dorian Finney-Smith,4199.516,1.308235
2014,Doron Lamb,1376.39,-2.175347
2015,Doug McDermott,672.3042,-2.724335
2016,Doug McDermott,3860.8,-1.308229
2017,Doug McDermott,3210.038,-1.513831
2018,Doug McDermott,3684.481,0.675782
2019,Doug McDermott,2906.158,-0.4505801
2017,Dragan Bender,1207.792,-0.1515181
2018,Dragan Bender,4441.022,0.4343097
2019,Dragan Bender,1790.011,1.135147
2014,Draymond Green,4228.02,3.124506
2015,Draymond Green,6816.821,3.871379
2016,Draymond Green,7806.985,4.236329
2017,Draymond Green,6563.57,3.415201
2018,Draymond Green,6605.786,2.249488
2019,Draymond Green,6260.347,1.76104
2019,Drew Eubanks,239.1363,0.6037934
2014,Drew Gooden,1044.222,0.0097799
2015,Drew Gooden,2082.655,0.4134627
2016,Drew Gooden,653.1448,-3.020959
2015,Drew Gordon,159.5873,-2.205508
2016,Duje Dukan,51.5,2.023249
2019,Duncan Robinson,344.6406,-1.777515
2019,Dusty Hannahs,57.18375,-0.8284373
2018,Dwayne Bacon,1520.027,0.5235469
2019,Dwayne Bacon,1589.156,-0.996984
2014,Dwight Buycks,288.4413,1.213139
2015,Dwight Buycks,243.54,-2.485085
2018,Dwight Buycks,874.9942,0.3378911
2014,Dwight Howard,5290.268,0.7143331
2015,Dwight Howard,3720.063,0.3850373
2016,Dwight Howard,5074.712,-0.4385332
2017,Dwight Howard,4865.827,0.6328764
2018,Dwight Howard,5142.539,-0.1855192
2019,Dwight Howard,494.9792,-0.2561851
2015,Dwight Powell,507.4244,-0.4873954
2016,Dwight Powell,2201.467,1.421471
2017,Dwight Powell,2664.056,-0.9563792
2018,Dwight Powell,3445.365,0.8911924
2019,Dwight Powell,3524.479,1.104531
2014,Dwyane Wade,4789.79,-0.2968494
2015,Dwyane Wade,3821.276,0.5707772
2016,Dwyane Wade,5424.176,-0.0480582
2017,Dwyane Wade,4055.835,-1.139391
2018,Dwyane Wade,3530.534,1.354825
2019,Dwyane Wade,4005.625,0.3414967
2019,Dzanan Musa,122.8019,-3.962018
2014,E'Twaun Moore,3050.905,0.3901682
2015,E'Twaun Moore,1050.437,0.4968447
2016,E'Twaun Moore,2591.781,0.79847
2017,E'Twaun Moore,3806.075,-0.9052665
2018,E'Twaun Moore,6183.94,-0.8450288
2019,E'Twaun Moore,3186.902,-1.435305
2015,Earl Barron,295.3248,-2.874414
2014,Earl Clark,1547.645,-0.738893
2015,Earl Clark,224.3619,2.153815
2014,Earl Watson,367.6138,-1.416663
2014,Ed Davis,1919.507,1.465893
2015,Ed Davis,3688.05,-0.1884799
2016,Ed Davis,3885.632,1.232165
2017,Ed Davis,1637.997,-1.067687
2018,Ed Davis,3140.459,0.4917071
2019,Ed Davis,3156.759,0.2265715
2018,Edmond Sumner,4.615417,-45.07268
2019,Edmond Sumner,471.7563,2.170078
2016,Edy Tavares,157.756,0.2869794
2017,Edy Tavares,52.33333,4.373218
2014,Ekpe Udoh,1568.972,0.0357478
2015,Ekpe Udoh,293.7833,-0.3312094
2018,Ekpe Udoh,1744.627,2.166296
2019,Ekpe Udoh,726.185,0.5126981
2015,Elfrid Payton,4989.927,-2.054931
2016,Elfrid Payton,4398.591,-0.9435432
2017,Elfrid Payton,4995.855,0.3554821
2018,Elfrid Payton,3852.302,-1.121584
2019,Elfrid Payton,2777.604,0.2341776
2014,Elias Harris,24.64229,-25.02556
2019,Elie Okobo,2040.141,-0.8536325
2015,Elijah Millsap,1822.783,2.04138
2016,Elijah Millsap,356.9567,2.855453
2017,Elijah Millsap,45.23813,1.183686
2014,Elliot Williams,2477.667,-2.19161
2015,Elliot Williams,238.4973,-5.823565
2016,Elliot Williams,87.73125,1.578761
2014,Elton Brand,3046.677,-0.3210552
2015,Elton Brand,990.085,0.1594249
2016,Elton Brand,483.6563,0.2917957
2019,Emanuel Terry,51.84062,-9.575531
2018,Emeka Okafor,790.579,1.689047
2016,Emmanuel Mudiay,4261.803,-0.2389016
2017,Emmanuel Mudiay,2974.862,-2.574564
2018,Emmanuel Mudiay,2654.186,-1.878268
2019,Emmanuel Mudiay,3417.888,0.4769807
2014,Enes Kanter,4164.2,-0.6286753
2015,Enes Kanter,4239.928,-0.9097347
2016,Enes Kanter,4182.125,0.5422949
2017,Enes Kanter,3269.807,0.8937797
2018,Enes Kanter,3766.75,-0.8234624
2019,Enes Kanter,4397.283,0.0059687
2014,Eric Bledsoe,2895.425,1.325166
2015,Eric Bledsoe,5739.417,0.6673717
2016,Eric Bledsoe,2238.02,1.674064
2017,Eric Bledsoe,4629.893,-1.953662
2018,Eric Bledsoe,5232.737,0.0168045
2019,Eric Bledsoe,5899.579,1.226985
2014,Eric Gordon,4081.859,-2.194518
2015,Eric Gordon,4179.403,-0.7346233
2016,Eric Gordon,3053.637,-0.8223231
2017,Eric Gordon,5697.024,0.4395047
2018,Eric Gordon,5664.932,0.4217282
2019,Eric Gordon,5347.29,0.4548846
2014,Eric Maynor,667.11,-4.831151
2015,Eric Moreland,6.255,-15.47586
2016,Eric Moreland,105.92,2.557618
2018,Eric Moreland,1635.324,1.258604
2019,Eric Moreland,157.6569,-3.567883
2015,Erick Green,846.7354,-2.51127
2016,Erick Green,83.69229,-2.361076
2018,Erik McCree,19.145,-7.532821
2014,Erik Murphy,130.1871,-0.2391772
2014,Ersan Ilyasova,2913.508,-2.22365
2015,Ersan Ilyasova,2926.731,-0.4823955
2016,Ersan Ilyasova,3855.711,-1.626567
2017,Ersan Ilyasova,4734.403,0.5107494
2018,Ersan Ilyasova,4135.396,0.84003
2019,Ersan Ilyasova,3315.226,-0.2015826
2014,Evan Fournier,3207.026,-1.121752
2015,Evan Fournier,3303.314,-1.208671
2016,Evan Fournier,5200.427,-1.337651
2017,Evan Fournier,4572.719,0.1753554
2018,Evan Fournier,3897.119,-1.311648
2019,Evan Fournier,5641.95,-0.5612842
2014,Evan Turner,5407.482,-2.006326
2015,Evan Turner,4865.804,0.2650354
2016,Evan Turner,5247.926,2.002473
2017,Evan Turner,3708.491,0.8483839
2018,Evan Turner,4392.839,0.9081523
2019,Evan Turner,3895.919,2.228784
2015,Festus Ezeli,1450.457,1.402255
2016,Festus Ezeli,2090.732,1.77364
2014,Francisco Garcia,2310.414,0.2839057
2015,Francisco Garcia,402.7083,1.944378
2019,Frank Jackson,2627.815,-2.104755
2016,Frank Kaminsky,3869.124,-0.1465731
2017,Frank Kaminsky,4004.886,-0.1855199
2018,Frank Kaminsky,3806.096,-1.417517
2019,Frank Kaminsky,1598.083,-1.512557
2018,Frank Mason,1952.01,-1.055369
2019,Frank Mason,981.9219,0.2843952
2018,Frank Ntilikina,3538.884,1.805818
2019,Frank Ntilikina,1931.923,0.0074749
2017,Fred VanVleet,675.3519,-0.2955561
2018,Fred VanVleet,3347.008,0.4149565
2019,Fred VanVleet,4882.097,0.0783559
2015,Furkan Aldemir,1096.537,-0.7432363
2018,Furkan Korkmaz,180.8692,-8.236812
2019,Furkan Korkmaz,1583.878,-1.743318
2014,Gal Mekel,619.6483,-3.20045
2015,Gal Mekel,85.54312,8.193834
2014,Garrett Temple,1333.012,0.505925
2015,Garrett Temple,1562.715,-1.419018
2016,Garrett Temple,4095.068,-0.0915158
2017,Garrett Temple,3500.64,0.31161
2018,Garrett Temple,3269.365,-0.1669664
2019,Garrett Temple,4385.689,-0.3142453
2019,Gary Clark,1360.031,-1.187135
2015,Gary Harris,1522.033,-0.4397254
2016,Gary Harris,4983.182,-1.178804
2017,Gary Harris,3737.374,-2.711727
2018,Gary Harris,4745.76,-0.4399064
2019,Gary Harris,4427.221,1.41911
2014,Gary Neal,2413.045,-1.475522
2015,Gary Neal,2407.855,-1.320986
2016,Gary Neal,1699.071,-2.722443
2017,Gary Neal,37.8,-6.198439
2017,Gary Payton II,201.5269,-2.282037
2018,Gary Payton II,463.275,-3.453566
2019,Gary Payton II,40.21,1.92121
2019,Gary Trent Jr.,242.9744,-2.603705
2014,George Hill,5998.104,1.187758
2015,George Hill,2490.183,2.159357
2016,George Hill,5596.35,0.7709718
2017,George Hill,3545.638,-0.1757682
2018,George Hill,4750.551,-0.4481376
2019,George Hill,3631.847,0.6850559
2019,George King,12.20375,-30.66314
2017,Georges Niang,197.0631,-0.43628
2018,Georges Niang,74.24,-2.0887
2019,Georges Niang,1255.986,-0.087482
2017,Georgios Papagiannis,727.4542,0.2835588
2018,Georgios Papagiannis,256.8904,-5.565267
2014,Gerald Green,4785.238,1.085949
2015,Gerald Green,2997.136,-1.181538
2016,Gerald Green,3323.435,1.283183
2017,Gerald Green,1484.88,-0.3189329
2018,Gerald Green,2514.793,-0.2401637
2019,Gerald Green,3323.961,-1.431377
2014,Gerald Henderson,5010.89,0.9700491
2015,Gerald Henderson,4556.209,0.4954305
2016,Gerald Henderson,3417.139,0.0531934
2017,Gerald Henderson,3515.286,-0.6121926
2014,Gerald Wallace,2832.59,-1.044868
2015,Gerald Wallace,592.4325,-2.519561
2018,Gian Clavell,136.28,2.267096
2014,Giannis Antetokounmpo,3748.946,1.259669
2015,Giannis Antetokounmpo,5451.552,0.19944
2016,Giannis Antetokounmpo,5648.353,0.4024293
2017,Giannis Antetokounmpo,6129.485,1.707337
2018,Giannis Antetokounmpo,6193.734,1.455025
2019,Giannis Antetokounmpo,6338.544,2.128734
2014,Gigi Datome,487.9496,-3.917734
2015,Gigi Datome,455.9683,1.006836
2014,Glen Davis,3635.523,0.4890426
2015,Glen Davis,2179.063,0.3568999
2014,Glen Rice,224.2675,3.53185
2015,Glen Rice,84.78167,-7.918305
2015,Glenn Robinson III,551.4825,-2.985369
2016,Glenn Robinson III,1065.854,0.4215799
2017,Glenn Robinson III,3045.484,0.3454132
2018,Glenn Robinson III,713.3121,-0.5962274
2019,Glenn Robinson III,1353.682,-0.7955878
2014,Goran Dragic,5418.264,-0.5887415
2015,Goran Dragic,5375.005,-0.2586107
2016,Goran Dragic,5671.121,1.73303
2017,Goran Dragic,4992.282,0.1769683
2018,Goran Dragic,5199.684,1.066044
2019,Goran Dragic,2133.54,0.1117582
2014,Gordon Hayward,5451.25,-0.1547439
2015,Gordon Hayward,5041.832,-0.8736283
2016,Gordon Hayward,5618.447,-0.8648626
2017,Gordon Hayward,5684.583,0.1286823
2018,Gordon Hayward,10.47604,-11.75368
2019,Gordon Hayward,4581.758,0.7388157
2014,Gorgui Dieng,1688.318,0.2049756
2015,Gorgui Dieng,4416.61,-1.259798
2016,Gorgui Dieng,4514,-1.004433
2017,Gorgui Dieng,5309.316,-0.6243432
2018,Gorgui Dieng,2943.629,-0.9577656
2019,Gorgui Dieng,2246.506,-0.5938165
2015,Grant Jerrett,110.6294,-1.078431
2019,Grayson Allen,941.2358,-1.174261
2014,Greg Monroe,5430.438,-0.6706363
2015,Greg Monroe,4224.137,-0.1173422
2016,Greg Monroe,4644.391,-0.3191171
2017,Greg Monroe,3946.417,-1.165345
2018,Greg Monroe,2405.561,-1.003453
2019,Greg Monroe,1255.985,0.28112
2014,Greg Oden,435.6175,2.453392
2014,Greg Smith,209.875,0.778456
2015,Greg Smith,754.9815,-0.8800573
2016,Greg Smith,396.64,-0.9014956
2014,Greg Stiemsma,1964.489,-0.8638434
2015,Greg Stiemsma,138.8858,1.705599
2014,Greivis Vasquez,3822.853,0.6261868
2015,Greivis Vasquez,4152.284,-1.033715
2016,Greivis Vasquez,910.1292,-2.522186
2017,Greivis Vasquez,85.95438,3.510204
2018,Guerschon Yabusele,600.919,-3.60828
2019,Guerschon Yabusele,575.0279,2.592342
2014,Gustavo Ayon,868.01,0.6507909
2014,Hamady Ndiaye,152.9796,-3.682693
2019,Hamidou Diallo,1152.378,-0.6936448
2014,Harrison Barnes,4889.058,-0.6148525
2015,Harrison Barnes,6272.954,0.2146684
2016,Harrison Barnes,5859.583,-0.357202
2017,Harrison Barnes,5499.136,-0.6350559
2018,Harrison Barnes,5344.276,0.0704298
2019,Harrison Barnes,5415.456,-0.424637
2019,Harry Giles III,1840.046,-0.0660882
2014,Hasheem Thabeet,418.3598,-0.4039978
2015,Hassan Whiteside,2229.993,1.395357
2016,Hassan Whiteside,4753.091,2.316257
2017,Hassan Whiteside,5044.324,1.344177
2018,Hassan Whiteside,2990.955,1.220021
2019,Hassan Whiteside,3489.593,2.885669
2019,Haywood Highsmith,87.975,-1.686199
2014,Hedo Turkoglu,887.3933,1.957825
2015,Hedo Turkoglu,1557.288,0.0438825
2017,Henry Ellenson,298.9958,-0.8566247
2018,Henry Ellenson,692.1338,-1.887109
2019,Henry Ellenson,548.7712,-5.147795
2014,Henry Sims,1791.389,0.8815315
2015,Henry Sims,2882.231,-0.8285687
2016,Henry Sims,549.7795,-5.97653
2015,Henry Walker,1252.86,0.3570428
2014,Hilton Armstrong,247.0748,-2.835776
2014,Hollis Thompson,3670.176,-1.666134
2015,Hollis Thompson,3669.66,1.31194
2016,Hollis Thompson,4521.605,-0.426832
2017,Hollis Thompson,1552.596,0.2496292
2014,Ian Clark,348.3,-4.002994
2015,Ian Clark,396.1054,0.4806618
2016,Ian Clark,1543.631,-2.007247
2017,Ian Clark,2867.646,-0.5014653
2018,Ian Clark,3538.071,1.618428
2019,Ian Clark,2164.925,-1.949461
2014,Ian Mahinmi,2961.022,2.436329
2015,Ian Mahinmi,2290.329,0.6019261
2016,Ian Mahinmi,4101.729,-0.1545455
2017,Ian Mahinmi,1290.746,0.735033
2018,Ian Mahinmi,2487.74,1.520338
2019,Ian Mahinmi,1052.025,-0.1491878
2018,Ike Anigbogu,64.95625,-5.899507
2019,Ike Anigbogu,13.65875,-16.64853
2014,Iman Shumpert,3768.675,-1.049491
2015,Iman Shumpert,4356.369,0.5326667
2016,Iman Shumpert,3352.806,-1.210228
2017,Iman Shumpert,4543.801,1.476666
2018,Iman Shumpert,587.5925,-2.751817
2019,Iman Shumpert,3454.531,-0.8315145
2019,Isaac Bonga,269.95,-2.64219
2019,Isaac Humphries,128.5083,-1.745554
2019,Isaiah Briscoe,1172.968,2.151348
2014,Isaiah Canaan,546.4725,1.134939
2015,Isaiah Canaan,1927.653,-0.3101012
2016,Isaiah Canaan,4097.472,-1.149597
2017,Isaiah Canaan,1390.07,0.2609946
2018,Isaiah Canaan,866.6395,0.7217466
2019,Isaiah Canaan,1320.346,-0.2412191
2019,Isaiah Hartenstein,484.1627,2.030051
2018,Isaiah Hicks,503.6,-1.673875
2019,Isaiah Hicks,65.81333,-2.928121
2017,Isaiah Taylor,135.3438,0.0146766
2018,Isaiah Taylor,2502.972,0.2623522
2014,Isaiah Thomas,5051.223,0.3031118
2015,Isaiah Thomas,3838.811,0.2907295
2016,Isaiah Thomas,6053.875,-0.139408
2017,Isaiah Thomas,6345.129,-0.6145684
2018,Isaiah Thomas,1868.733,1.064594
2019,Isaiah Thomas,407.5139,2.552925
2017,Isaiah Whitehead,3516.362,0.6402557
2018,Isaiah Whitehead,388.2375,3.728576
2014,Ish Smith,2071.521,0.133162
2015,Ish Smith,1731.595,-0.7066251
2016,Ish Smith,4666.518,-1.047499
2017,Ish Smith,3990.644,0.232897
2018,Ish Smith,4222.625,1.212259
2019,Ish Smith,2763.467,0.3866644
2018,Ivan Rabb,1074.355,-1.493716
2019,Ivan Rabb,1494.723,-3.483912
2017,Ivica Zubac,1316.582,0.600045
2018,Ivica Zubac,880.3896,1.783685
2019,Ivica Zubac,2365.076,2.427843
2014,J.J. Barea,3008.501,-1.606442
2015,J.J. Barea,3116.764,-0.1708004
2016,J.J. Barea,3620.142,-1.209661
2017,J.J. Barea,1552.922,0.235564
2018,J.J. Barea,3307.857,-2.495627
2019,J.J. Barea,1623.85,-1.652874
2019,J.P. Macura,37.87104,5.283751
2014,JJ Hickson,3865.171,-0.0029957
2015,JJ Hickson,2894.902,-0.3786871
2016,JJ Hickson,922.8388,2.8587
2016,JJ O'Brien,13.8825,-5.588161
2014,JJ Redick,2754.296,-0.0197083
2015,JJ Redick,6010.815,0.5760469
2016,JJ Redick,4641.93,2.340318
2017,JJ Redick,4905.741,-1.13225
2018,JJ Redick,5344.327,-0.5717143
2019,JJ Redick,6067.598,-0.4425428
2014,JR Smith,4655.886,-1.498809
2015,JR Smith,5198.067,0.2907408
2016,JR Smith,6089.829,-0.6256329
2017,JR Smith,3426.913,-0.1770582
2018,JR Smith,6046.364,-0.9578618
2019,JR Smith,474.2938,-2.110548
2015,JaKarr Sampson,2409.501,-0.1561327
2016,JaKarr Sampson,2439.588,-0.0335393
2018,JaKarr Sampson,691.0817,3.309721
2019,JaKarr Sampson,261.4612,0.1308646
2015,JaMychal Green,361.3744,2.676952
2016,JaMychal Green,3124.875,-0.0881813
2017,JaMychal Green,4356.9,0.6677538
2018,JaMychal Green,3085.285,0.3677275
2019,JaMychal Green,3244.371,-0.6598669
2014,JaVale McGee,168.451,-4.321269
2015,JaVale McGee,550.9244,-2.852143
2016,JaVale McGee,784.3821,-1.606021
2017,JaVale McGee,1961.848,1.83035
2018,JaVale McGee,1649.229,1.696719
2019,JaVale McGee,3690.125,2.166092
2018,Jabari Bird,244.4948,-0.6312819
2015,Jabari Brown,1138.722,-0.0209801
2015,Jabari Parker,1502.137,-2.655235
2016,Jabari Parker,4831.05,-2.361523
2017,Jabari Parker,3522.24,-0.8782799
2018,Jabari Parker,1911.777,0.3958077
2019,Jabari Parker,3712.89,-0.4037949
2015,Jack Cooley,192.1794,1.8046
2018,Jack Cooley,171.4625,1.339795
2019,Jacob Evans,475.345,-1.278711
2018,Jacob Pullen,15.2875,5.982418
2018,Jacob Wiley,72.435,7.39867
2014,Jae Crowder,2761.532,0.4516922
2015,Jae Crowder,3600.903,-0.20396
2016,Jae Crowder,5270.521,-0.066167
2017,Jae Crowder,5991.802,1.151343
2018,Jae Crowder,5055.072,-0.8401006
2019,Jae Crowder,4939.843,0.3361804
2016,Jahlil Okafor,3250.943,0.220366
2017,Jahlil Okafor,2344.073,0.000468
2018,Jahlil Okafor,722.2323,0.2133853
2019,Jahlil Okafor,2039.274,1.51559
2017,Jake Layman,558.0614,-0.7376548
2018,Jake Layman,353.5333,-1.843167
2019,Jake Layman,2861.078,-0.2457758
2017,Jakob Poeltl,1320.966,-0.2515738
2018,Jakob Poeltl,3446.007,2.762853
2019,Jakob Poeltl,3061.316,0.6423814
2019,Jalen Brunson,3346.072,-0.9378428
2018,Jalen Jones,370.2056,-8.053737
2019,Jalen Jones,455.2404,-4.733487
2014,Jamaal Franklin,329.7527,0.9715132
2015,Jamaal Franklin,32.06125,-7.306242
2014,Jamaal Tinsley,211.1083,-4.070596
2014,Jamal Crawford,4939.748,-0.384346
2015,Jamal Crawford,4263.782,-1.313496
2016,Jamal Crawford,4802.829,-1.038547
2017,Jamal Crawford,4852.012,-0.9528797
2018,Jamal Crawford,3663.878,-2.363417
2019,Jamal Crawford,2646.792,-2.403343
2017,Jamal Murray,3735.637,0.8011956
2018,Jamal Murray,5264.662,-2.211512
2019,Jamal Murray,6100.31,-0.526793
2018,Jameel Warney,52.79062,-6.74779
2014,Jameer Nelson,4331.217,-1.363098
2015,Jameer Nelson,2841.479,-0.8297147
2016,Jameer Nelson,2075.669,-0.9755682
2017,Jameer Nelson,4263.825,-1.066668
2018,Jameer Nelson,2134.145,-0.1793349
2018,Jamel Artis,569.5088,-1.726494
2014,James Anderson,4905.663,-1.184293
2016,James Anderson,1565.471,1.555346
2015,James Ennis III,2052.297,-1.775288
2016,James Ennis III,667.0802,-1.05566
2017,James Ennis III,3277.418,0.4617595
2018,James Ennis III,3272.596,1.197944
2019,James Ennis III,3105.211,-2.681576
2014,James Harden,6185.213,1.179942
2015,James Harden,7463.215,0.7566089
2016,James Harden,6857.724,-0.9555091
2017,James Harden,7067.839,0.418732
2018,James Harden,6500.302,0.3474295
2019,James Harden,6753.953,1.395982
2014,James Johnson,1939.286,1.205895
2015,James Johnson,2754.735,0.655341
2016,James Johnson,2023.314,0.8137307
2017,James Johnson,4285.109,2.816329
2018,James Johnson,4323.785,0.1025739
2019,James Johnson,2419.422,2.190668
2014,James Jones,682.9696,-4.691254
2015,James Jones,1962.493,-3.145252
2016,James Jones,1050.787,-1.092059
2017,James Jones,843.5075,-1.877013
2015,James Michael McAdoo,315.6919,0.5898628
2016,James Michael McAdoo,646.4358,-1.425396
2017,James Michael McAdoo,1084.13,1.914396
2018,James Michael McAdoo,39.10875,9.659239
2014,James Nunnally,338.0931,1.803979
2019,James Nunnally,221.0771,-4.838217
2014,James Southerland,60.71625,12.06013
