title,site,country,year_release,box_office,director,number_of_subjects,subject,type_of_subject,race_known,subject_race,person_of_color,subject_sex,lead_actor_actress
Dillinger,http://www.imdb.com/title/tt0037644/,US,1945,$4M,Max Nosseck,1,John Dillinger,Criminal,Known,White,0,Male,Lawrence Tierney
Dillinger,http://www.imdb.com/title/tt0069976/,US,1973,-,John Milius,1,John Dillinger,Criminal,Unknown,,0,Male,Warren Oates
Disraeli,http://www.imdb.com/title/tt0019823/,US,1929,-,Alfred E. Green,1,Benjamin Disraeli,World leader,Known,White,0,Male,George Arliss
Domino,http://www.imdb.com/title/tt0421054/,US/UK,2005,$10.1M,Tony Scott,1,Domino Harvey,Other,Known,White,0,Female,Keira Knightley
Donnie Brasco,http://www.imdb.com/title/tt0119008/,US,1997,$42M,Mike Newell,1,Joe Pistone (alias Donnie Brasco),Government,Known,White,0,Male,Johnny Depp
Downtown 81,http://www.imdb.com/title/tt0208993/,US,1981,$100K,Edo Bertoglio,1,Jean-Michel Basquiat,Artist,Known,Multi racial,1,Male,Jean Michel Basquiat
Dr. Ehrlich's Magic Bullet,http://www.imdb.com/title/tt0032413/,US,1940,-,William Dieterle,1,Paul Ehrlich,Medicine,Known,White,0,Male,Edward G. Robinson
Dragon: The Bruce Lee Story,http://www.imdb.com/title/tt0106770/,US,1993,$35.1M,Rob Cohen,1,Bruce Lee,Athlete,Known,Asian American,1,Male,Jason Scott Lee
Dreamchild,http://www.imdb.com/title/tt0089052/,UK,1985,-,Gavin Millar,1,Alice Liddell Hargreaves,Other,Unknown,,0,Female,Coral Browne
Ed Gein,http://www.imdb.com/title/tt0230169/,US/UK,2000,$5.71K,Chuck Parello,1,Ed Gein,Criminal,Unknown,,0,Male,Steve Railsback
Ed Wood,http://www.imdb.com/title/tt0109707/,US,1994,$5.89M,Tim Burton,1,Edward D. Wood,Other,Unknown,,0,Male,Johnny Depp
"Edison, the Man",http://www.imdb.com/title/tt0032432/,US,1940,-,Clarence Brown,1,Thomas Edison,Academic,Known,White,0,Male,Spencer Tracy
Eichmann,http://www.imdb.com/title/tt0901481/,UK,2007,-,Robert Young,1,Adolf Eichmann,Military,Known,White,0,Male,Thomas Kretschmann
El cantante,http://www.imdb.com/title/tt0458522/,US,2006,$7.56M,Leon Ichaso,1,HÃ©ctor Lavoe,Musician,Known,Hispanic (Latin American),1,Male,Marc Anthony
El Cid,http://www.imdb.com/title/tt0054847/,US,1961,$26.6M,Anthony Mann,1,Rodrigo Diaz,Historical,Known,Hispanic (White),0,Male,Charlton Heston
Elizabeth,http://www.imdb.com/title/tt0127536/,US/UK,1998,$30M,Shekhar Kapur,1,Elizabeth I of England ,Historical,Known,White,0,Female,Cate Blanchett
Elizabeth: The Golden Age,http://www.imdb.com/title/tt0414055/,US/UK,2007,$16.3M,Shekhar Kapur,1,Elizabeth I of England ,Historical,Known,White,0,Female,Cate Blanchett
Erin Brockovich,http://www.imdb.com/title/tt0195685/,US,2000,$126M,Steven Soderbergh,1,Erin Brockovich,Activist,Unknown,,0,Female,Julia Roberts
Escape from Alcatraz,http://www.imdb.com/title/tt0079116/,US,1979,$36.5M,Don Siegel,3,Clarence Anglin,Criminal,Unknown,,0,Male,Jack Thibeau
Escape from Alcatraz,http://www.imdb.com/title/tt0079116/,US,1979,$36.5M,Don Siegel,3,Frank Morris,Criminal,Unknown,,0,Male,Clint Eastwood
Escape from Alcatraz,http://www.imdb.com/title/tt0079116/,US,1979,$36.5M,Don Siegel,3,John Anglin,Criminal,Unknown,,0,Male,Fred Ward
Evel Knievel,http://www.imdb.com/title/tt0067069/,US,1971,-,Marvin J. Chomsky,1,Evel Knievel,Athlete,Known,White,0,Male,George Hamilton
Everyman's War,http://www.imdb.com/title/tt1209319/,US,2009,-,Thad T. Smith,1,Don Smith,Military,Unknown,,0,Male,Cole Carson
Evita,http://www.imdb.com/title/tt0116250/,US,1996,$50M,Alan Parker,1,"Eva ""Evita"" Duarte de Peron",Actress / activist,Known,Hispanic (Latin American),0,Female,Madonna
Exodus: Gods and Kings,http://www.imdb.com/title/tt1528100/,UK,2014,$65M,Ridley Scott,1,Moses,Historical,Known,Middle Eastern (White),0,Male,Christian Bale
Factory Girl,http://www.imdb.com/title/tt0432402/,US,2006,$1.65M,George Hickenlooper,1,Edie Sedgwick,Actress,Known,White,0,Female,Sienna Miller
Fair Game,http://www.imdb.com/title/tt0977855/,US,2010,$9.53M,Doug Liman,1,Valerie Plame,Government,Known,White,0,Female,Naomi Watts
Fat Man and Little Boy,http://www.imdb.com/title/tt0097336/,US,1989,$3.56M,Roland JoffÃƒÂ©,2,Leslie Groves,Military,Known,White,0,Male,Paul Newman
Fat Man and Little Boy,http://www.imdb.com/title/tt0097336/,US,1989,$3.56M,Roland JoffÃƒÂ©,2,Robert Oppenheimer,Academic,Known,White,0,Male,Dwight Schultz
Fear Strikes Out,http://www.imdb.com/title/tt0050383/,US,1957,-,Robert Mulligan,1,Jimmy Piersall,Athlete,Unknown,,0,Male,Anthony Perkins
Fellini's Casanova,http://www.imdb.com/title/tt0074291/,US,1976,-,Federico Fellini,1,Giacomo Casanova,Historical,Known,White,0,Male,Donald Sutherland
Find Me Guilty,http://www.imdb.com/title/tt0419749/,US,2006,$1.17M,Sidney Lumet,1,Jackie DiNorscio ,Criminal,Known,White,0,Male,Vin Diesel
Finding Graceland,http://www.imdb.com/title/tt0120026/,US,1998,-,David Winkler,1,Elvis Presley,Musician,Known,White,0,Male,Harvey Keitel
Finding Neverland,http://www.imdb.com/title/tt0308644/,US/UK,2004,$51.7M,Marc Forster,1,J.M. Barrie,Author,Known,White,0,Male,Johnny Depp
Fire in the Sky,http://www.imdb.com/title/tt0106912/,US,1993,$20.1M,Robert Lieberman,1,Travis Walton,Other,Unknown,,0,Male,D.B. Sweeney
Flash of Genius,http://www.imdb.com/title/tt1054588/,US/Canada,2008,$4.23M,Marc Abraham,1,Robert Kearns,Other,Unknown,,0,Male,Greg Kinnear
Foxcatcher,http://www.imdb.com/title/tt1100089/,US,2014,$12.1M,Bennett Miller,1,Mark Schultz ,Athlete,Known,White,0,Male,Channing Tatum
Frances,http://www.imdb.com/title/tt0083967/,US,1982,$5M,Graeme Clifford,1,Frances Farmer,Actress,Known,White,0,Female,Jessica Lange
Francis of Assisi,http://www.imdb.com/title/tt0054892/,US,1961,-,Michael Curtiz,1,Francis Bernardone,Historical,Known,White,0,Male,Bradford Dillman
Frank & Jesse,http://www.imdb.com/title/tt0109835/,US,1995,-,Robert Boris,2,Frank James,Criminal,Known,White,0,Male,Bill Paxton
Frank & Jesse,http://www.imdb.com/title/tt0109835/,US,1995,-,Robert Boris,2,Jesse James,Criminal,Known,White,0,Male,Rob Lowe
Frankie & Alice,http://www.imdb.com/title/tt1221208/,Canada,2010,$693K,Geoffrey Sax,1,Frankie Murdoch,Other,Known,African American,1,Female,Halle Berry
Freedom Writers,http://www.imdb.com/title/tt0463998/,US,2007,$36.6M,Richard LaGravenese,1,Erin Gruwell,Other,Known,White,0,Female,Hilary Swank
Freud,http://www.imdb.com/title/tt0055998/,US,1962,-,John Huston,1,Sigmund Freud,Academic,Known,White,0,Male,Montgomery Clift
Frida,http://www.imdb.com/title/tt0120679/,US/Canada,2002,$25.8M,Julie Taymor,1,Frida Kahlo,Artist,Known,Hispanic (Latin American),1,Female,Salma Hayek
Fruitvale Station,http://www.imdb.com/title/tt2334649/,US,2013,$16.1M,Ryan Coogler,1,Oscar Grant III,Other,Known,African American,1,Male,Michael B. Jordan
Funny Girl,http://www.imdb.com/title/tt0062994/,US,1968,$223K,William Wyler,1,Fanny Brice,Actress,Known,White,0,Female,Barbra Streisand
Fur: An Imaginary Portrait of Diane Arbus,http://www.imdb.com/title/tt0422295/,US,2006,$221K,Steven Shainberg,1,Diane Arbus,Other,Known,White,0,Female,Nicole Kidman
Gandhi,http://www.imdb.com/title/tt0083987/,UK,1982,-,Richard Attenborough,1,Mahatma Gandhi,Activist,Known,Indian,1,Male,Ben Kingsley
Gentleman Jim,http://www.imdb.com/title/tt0034778/,US,1942,-,Raoul Walsh,1,James J Corbett,Athlete,Known,White,0,Male,Errol Flynn
Geronimo,http://www.imdb.com/title/tt0056016/,US,1962,-,Arnold Laven,1,Geronimo,Military,Known,Native American,1,Male,Chuck Connors
Get on Up,http://www.imdb.com/title/tt2473602/,US/UK,2014,$30.5M,Tate Taylor,1,James Brown,Singer,Known,African American,1,Male,Chadwick Boseman
Get Rich or Die Tryin',http://www.imdb.com/title/tt0430308/,US/Canada,2005,$31M,Jim Sheridan,1,Curtis '50 Cent' Jackson,Singer,Known,African American,1,Male,50 Cent
Girl with a Pearl Earring,http://www.imdb.com/title/tt0335119/,UK,2003,$11.6M,Peter Webber,1,Johannes Vermeer,Artist,Known,White,0,Male,Colin Firth
"Girl, Interrupted",http://www.imdb.com/title/tt0172493/,US,1999,$28.9M,James Mangold,1,Susanna Kaysen,Author,Unknown,,0,Female,Winona Ryder
Glory Road,http://www.imdb.com/title/tt0385726/,US,2006,$42.6M,James Gartner,1,Don Haskins,Athlete,Unknown,,0,Male,"With: Josh Lucas, Derek Luke, Austin Nichols"
Gods and Monsters,http://www.imdb.com/title/tt0120684/,US/UK,1998,$6.39M,Bill Condon,1,James Whale,Other,Known,White,0,Male,Ian McKellen
Goltzius and the Pelican Company,http://www.imdb.com/title/tt1851006/,UK,2012,-,Peter Greenaway,1,Hendrik Goltzius,Artist,Known,White,0,Male,Ramsey Nasr
"Good Morning, Vietnam",http://www.imdb.com/title/tt0093105/,US,1987,$124M,Barry Levinson,1,Adrian Cronauer ,Media,Unknown,,0,Male,Robin Williams
Good Vibrations,http://www.imdb.com/title/tt1920945/,UK,2012,-,"Lisa Barros D'Sa, Glenn Leyburn",1,Terri Hooley,Musician,Unknown,,0,Male,Richard Dormer
Goodfellas,http://www.imdb.com/title/tt0099685/,US,1990,$46.8M,Martin Scorsese,1,Henry Hill,Criminal,Known,White,0,Male,Ray Liotta
Gorillas in the Mist,http://www.imdb.com/title/tt0095243/,US,1988,$24.7M,Michael Apted,1,Dian Fossey,Academic,Unknown,,0,Female,Sigourney Weaver
Goya's Ghosts,http://www.imdb.com/title/tt0455957/,US,2006,$1M,Milos Forman,1,Francisco Goya,Artist,Known,Hispanic (White),0,Male,Stellan SkarsgÃ¥rd
Grace of Monaco,http://www.imdb.com/title/tt2095649/,US,2014,-,Olivier Dahan,1,Grace Kelly,Actress,Known,White,0,Male,Nicole Kidman
Gracie,http://www.imdb.com/title/tt0441007/,US,2007,$2.96M,Davis Guggenheim,1,Elisabeth Shue,Athlete,Known,White,0,Female,Carly Schroeder
Greased Lightning,http://www.imdb.com/title/tt0076106/,US,1977,-,Michael Schultz,1,Wendell Scott,Athlete,Known,African American,1,Male,Richard Pryor
Great Balls of Fire!,http://www.imdb.com/title/tt0097457/,US,1989,$13.7M,Jim McBride,1,Jerry Lee Lewis,Musician,Unknown,,0,Male,Dennis Quaid
Grey Owl,http://www.imdb.com/title/tt0128239/,Canada/UK,1999,$315K,Richard Attenborough,1,Grey Owl (Archibald Belaney),Other,Known,Multi racial,1,Male,Pierce Brosnan
Gypsy,http://www.imdb.com/title/tt0056048/,US,1962,-,Mervyn LeRoy,2,Gypsy Rose Lee,Artist,Known,White,0,Female,Natalie Wood
Gypsy,http://www.imdb.com/title/tt0056048/,US,1962,-,Mervyn LeRoy,2,Rose Thompson Hovick,Other,Known,White,0,Female,Rosalind Russell
Hans Christian Andersen,http://www.imdb.com/title/tt0044685/,US,1952,-,Charles Vidor,1,Hans Christian Andersen,Author,Known,White,0,Male,Danny Kaye
Harlow,http://www.imdb.com/title/tt0059252/,US,1965,-,Gordon Douglas,1,Jean Harlow,Actress,Known,White,0,Female,Carroll Baker
Heart Like a Wheel,http://www.imdb.com/title/tt0085656/,US,1983,-,Jonathan Kaplan,1,Shirley Muldowney,Athlete,Known,White,0,Female,Bonnie Bedelia
Heaven & Earth,http://www.imdb.com/title/tt0107096/,US,1993,$5.86M,Oliver Stone,1,Le Ly Hayslip,Other,Known,Asian American,1,Female,Hiep Thi Le
Hell to Eternity,http://www.imdb.com/title/tt0053901/,US,1960,-,Phil Karlson,1,Guy Gabaldon,Military,Known,Hispanic (Latino),1,Male,Jeffrey Hunter
Henry & June,http://www.imdb.com/title/tt0099762/,US,1990,$11.6M,Philip Kaufman,3,Henry Miller,Author,Known,White,0,Male,Fred Ward
Henry & June,http://www.imdb.com/title/tt0099762/,US,1990,$11.6M,Philip Kaufman,3,AnaÃ¯s Nin,Author,Known,White,0,Female,Maria de Medeiros
Henry & June,http://www.imdb.com/title/tt0099762/,US,1990,$11.6M,Philip Kaufman,3,June Miller,Other,Known,White,0,Female,Uma Thurman
Henry V,http://www.imdb.com/title/tt0036910/,UK,1944,-,Laurence Olivier,1,Henry V of England,Historical,Known,White,0,Male,Laurence Olivier
Henry V,http://www.imdb.com/title/tt0097499/,UK,1989,$10.2M,Kenneth Branagh,1,Henry V of England,Historical,Known,White,0,Male,Kenneth Branagh
High Roller: The Stu Ungar Story,http://www.imdb.com/title/tt0338467/,US,2003,-,A.W. Vidmer,1,Stu Ungar,Other,Known,White,0,Male,Michael Imperioli
Hilary and Jackie,http://www.imdb.com/title/tt0150915/,UK,1998,$4.87M,Anand Tucker,2,Jacqueline du PrÃ©,Musician,Known,White,0,Female,Emily Watson
Hilary and Jackie,http://www.imdb.com/title/tt0150915/,UK,1998,$4.87M,Anand Tucker,2,Hilary du PrÃ©-Finzi,Musician,Known,White,0,Female,Rachel Griffiths
His Majesty O'Keefe,http://www.imdb.com/title/tt0045876/,US,1954,-,Byron Haskin,1,David Dion O'Keefe,Other,Known,White,0,Male,Burt Lancaster
Hitchcock,http://www.imdb.com/title/tt0975645/,US/UK,2012,$6M,Sacha Gervasi,2,Alfred Hitchcock,Other,Known,White,0,Male,Anthony Hopkins
Hitchcock,http://www.imdb.com/title/tt0975645/,US/UK,2012,$6M,Sacha Gervasi,2,Alma Reville,Other,Known,White,0,Female,Helen Mirren
Hitler: A Film from Germany,http://www.imdb.com/title/tt0076147/,UK,1977,-,Hans-JÃ_rgen Syberberg,1,Adolf Hitler,Military,Known,White,0,Male,Heinz Schubert
Hitler: The Last Ten Days,http://www.imdb.com/title/tt0070184/,UK,1973,-,Ennio De Concini,1,Adolf Hitler,Military,Known,White,0,Male,Alec Guinness
Hoffa,http://www.imdb.com/title/tt0104427/,US,1992,$24.3M,Danny DeVito,1,Jimmy Hoffa,Activist,Known,White,0,Male,Jack Nicholson
Hollywoodland,http://www.imdb.com/title/tt0427969/,US,2006,$14.4M,Allen Coulter,1,George Reeves,Actor,Unknown,,0,Male,Ben Affleck
Houdini,http://www.imdb.com/title/tt0045886/,US,1953,-,George Marshall,1,Harry Houdini,Other,Known,White,0,Male,Tony Curtis
Howl,http://www.imdb.com/title/tt1049402/,US,2010,$617K,"Rob Epstein, Jeffrey Friedman",1,Allen Ginsberg,Author,Known,White,0,Male,James Franco
Hunger,http://www.imdb.com/title/tt0986233/,UK,2008,$154K,Steve McQueen,1,Bobby Sands,Activist,Known,White,0,Male,Michael Fassbender
Hyde Park on Hudson,http://www.imdb.com/title/tt1477855/,UK,2012,$6.37M,Roger Michell,2,Franklin Delano Roosevelt,World leader,Known,White,0,Male,Bill Murray
Hyde Park on Hudson,http://www.imdb.com/title/tt1477855/,UK,2012,$6.37M,Roger Michell,2,Margaret Suckley,Other,Unknown,,0,Female,Laura Linney
I Am a Sex Addict,http://www.imdb.com/title/tt0428649/,US,2005,$113K,Caveh Zahedi,1,Caveh Zahedi,Actor,Known,Middle Eastern,1,Male, Caveh Zahedi
I Love You Phillip Morris,http://www.imdb.com/title/tt1045772/,US,2009,$2.04M,"Glenn Ficarra, John Requa",1,Steven Russell,Criminal,Unknown,,0,Male,Jim Carrey
I Shot Andy Warhol,http://www.imdb.com/title/tt0116594/,US/UK,1996,$1.81M,Mary Harron,1,Valerie Solanas,Activist,Known,Hispanic (White),0,Female,Lil Taylor
I Want to Live!,http://www.imdb.com/title/tt0051758/,US,1958,-,Robert Wise,1,Barbara Graham,Criminal,Unknown,,0,Female,Susan Hayward
I'll Cry Tomorrow,http://www.imdb.com/title/tt0048191/,US,1955,-,Daniel Mann,1,Lillian Roth,Actress,Known,White,0,Female,Susan Hayward
I'll See You in My Dreams,http://www.imdb.com/title/tt0043669/,US,1951,-,Michael Curtiz,1,Gus Kahn,Musician,Known,White,0,Male,Danny Thomas
I'm Not There.,http://www.imdb.com/title/tt0368794/,US/Canada,2007,$4M,Todd Haynes,1,Bob Dylan,Musician,Known,White,0,Male,-
If You Could See What I Hear,http://www.imdb.com/title/tt0084117/,Canada,1982,-,Eric Till,1,Tom Sullivan,Singer,Known,White,0,Male,Marc Singer
Immortal Beloved,http://www.imdb.com/title/tt0110116/,US/UK,1994,$14.4M,Bernard Rose,1,Ludwig van Beethoven,Musician,Known,White,0,Male,Gary Oldman
Impromptu,http://www.imdb.com/title/tt0102103/,UK,1991,$4.08M,James Lapine,2,FrÃ©dÃ©ric FranÃ§ois Chopin,Musician,Known,White,0,Male,Hugh Grant
Impromptu,http://www.imdb.com/title/tt0102103/,UK,1991,$4.08M,James Lapine,2,George Sand / Aurore,Other,Known,White,0,Female,Judy Davis
In Love and War,http://www.imdb.com/title/tt0116621/,US,1996,$14.5M,Richard Attenborough,2,Ernest Hemingway,Media,Known,White,0,Male,Chris O'Donnell
In Love and War,http://www.imdb.com/title/tt0116621/,US,1996,$14.5M,Richard Attenborough,2,Agnes von Kurowsky,Other,Known,White,0,Female,Sandra Bullock
In the Name of the Father,http://www.imdb.com/title/tt0107207/,US/UK,1993,$25M,Jim Sheridan,1,Gerry Conlon,Other,Known,White,0,Male,Daniel Day-Lewis
Infamous,http://www.imdb.com/title/tt0420609/,US,2006,$1.15M,Douglas McGrath,1,Truman Capote,Other,Unknown,,0,Male,Toby Jones
Infinity,http://www.imdb.com/title/tt0116635/,US,1996,$146K,Matthew Broderick,1,Richard Feynman,Academic,Unknown,,0,Male,Matthew Broderick
Interrupted Melody,http://www.imdb.com/title/tt0048210/,US,1955,-,Curtis Bernhardt,1,Marjorie Lawrence,Singer,Known,White,0,Female,Eleanor Parker
Into the Wild,http://www.imdb.com/title/tt0758758/,US,2007,$18.4M,Sean Penn,1,Christopher McCandless,Athlete,Unknown,,0,Male,Emile Hirsch
Invictus,http://www.imdb.com/title/tt1057500/,US,2009,$37.5M,Clint Eastwood,2,Nelson Mandela,World leader,Known,African,1,Male,Morgan Freeman
Invictus,http://www.imdb.com/title/tt1057500/,US,2009,$37.5M,Clint Eastwood,2,FranÃ§ois Pienaar,Athlete,Known,White,0,Male,Matt Damon
Invincible,http://www.imdb.com/title/tt0445990/,US,2006,$57.8M,Ericson Core,1,Vince Papale,Athlete,Unknown,,0,Male,Mark Wahlberg
Iris,http://www.imdb.com/title/tt0280778/,US/UK,2001,$1.2M,Richard Eyre,1,Iris Murdoch,Author,Known,White,0,Female,Judi Dench and Kate Winslet
Isadora,http://www.imdb.com/title/tt0063141/,UK,1968,-,Karel Reisz,1,Isadora Duncan,Artist,Unknown,,0,Female,Vanessa Redgrave
Isn't She Great,http://www.imdb.com/title/tt0141399/,US/UK,2000,$2.95M,Andrew Bergman,1,Jacqueline Susann,Author,Known,White,0,Female,Bette Midler
iSteve,http://www.imdb.com/title/tt2782834/,US,2013,-,Ryan Perez,1,Steve Jobs,Other,Known,Multi racial,1,Male,Justin Long
J. Edgar,http://www.imdb.com/title/tt1616195/,US,2011,$37.3M,Clint Eastwood,1,J. Edgar Hoover,Government,Known,White,0,Male,Leonardo DiCaprio
Jamesy Boy,http://www.imdb.com/title/tt1673734/,US,2014,-,Trevor White,1,James Burns,Criminal,Unknown,,0,Male,Spencer Lofranco
Jappeloup,http://www.imdb.com/title/tt2018079/,Canada,2013,-,Christian Duguay,1," Pierre Durand, Jr.",Athlete,Known,White,0,Male,Guillaume Canet
Jean Charles,http://www.imdb.com/title/tt0989007/,UK,2009,-,Henrique Goldman,1,Jean Charles de Menezes,Other,Known,White,0,Male,Selton Mello
Jefferson in Paris,http://www.imdb.com/title/tt0113463/,US,1995,$2.47M,James Ivory,1,Thomas Jefferson,Historical,Known,White,0,Male,Nick Nolte
Jersey Boys,http://www.imdb.com/title/tt1742044/,US,2014,$47M,Clint Eastwood,4,Bob Gaudio,Musician,Known,White,0,Male,Erich Bergen
Jersey Boys,http://www.imdb.com/title/tt1742044/,US,2014,$47M,Clint Eastwood,4,Frankie Valli,Musician,Known,White,0,Male,John Lloyd Young
Jersey Boys,http://www.imdb.com/title/tt1742044/,US,2014,$47M,Clint Eastwood,4,Nick Massi,Musician,Known,White,0,Male,Michael Lomenda
Jersey Boys,http://www.imdb.com/title/tt1742044/,US,2014,$47M,Clint Eastwood,4,Tommy DeVito,Musician,Known,White,0,Male,Vincent Piazza
Jesse James,http://www.imdb.com/title/tt0031507/,US,1939,-,Henry King,1,Jesse James,Criminal,Known,White,0,Male,Tyrone Power
Jim Thorpe -- All-American,http://www.imdb.com/title/tt0043687/,US,1951,-,Michael Curtiz,1,Jim Thorpe,Athlete,Known,Native American,1,Male,Burt Lancaster
Jimi: All Is by My Side,http://www.imdb.com/title/tt2402085/,US/UK,2013,$323K,John Ridley,1,Jimi Hendrix,Musician,Known,Multi racial,1,Male,AndrÃ© Benjamin
Jinnah,http://www.imdb.com/title/tt0183306/,UK,1998,-,Jamil Dehlavi,1,Mohammad Ali Jinnah,Other,Known,Middle Eastern,1,Male,Christopher Lee
"Jo Jo Dancer, Your Life Is Calling",http://www.imdb.com/title/tt0091295/,US,1986,$18M,Richard Pryor,1,Richard Pryor,Comedian,Known,African American,1,Male,Richard Pryor
Joan of Arc,http://www.imdb.com/title/tt0040491/,US,1948,-,Victor Fleming,1,Joan of Arc ,Historical,Known,White,0,Female,Ingrid Bergman
Jobs,http://www.imdb.com/title/tt2357129/,US,2013,$16.1M,Joshua Michael Stern,1,Steve Jobs,Other,Known,Multi racial,1,Male,Ashton Kutcher
John Paul Jones,http://www.imdb.com/title/tt0052946/,US,1959,-,John Farrow,1,John Paul Jones,Military,Known,White,0,Male,Robert Stack
Juarez,http://www.imdb.com/title/tt0031516/,US,1939,-,William Dieterle,1,Benito Juarez,World leader,Known,Hispanic (Latin American),1,Male,Paul Muni
Julie & Julia,http://www.imdb.com/title/tt1135503/,US,2009,$94.1M,Nora Ephron,2,Julia Child,Other,Unknown,,0,Female,Meryl Streep
Julie & Julia,http://www.imdb.com/title/tt1135503/,US,2009,$94.1M,Nora Ephron,2,Julia Powell,Other,Unknown,,0,Female,Amy Adams
Kid Cannabis,http://www.imdb.com/title/tt0780548/,US,2014,$5.57K,John Stockwell,1,Nate Norman,Criminal,Unknown,,0,Male,Jonathan Daniel Brown
Kill the Irishman,http://www.imdb.com/title/tt1416801/,US,2011,$1.19M,Jonathan Hensleigh,1,Danny Greene,Criminal,Known,White,0,Male,Ray Stevenson
Kill the Messenger,http://www.imdb.com/title/tt1216491/,US,2014,$2.45M,Michael Cuesta,1,Gary Webb,Media,Unknown,,0,Male,Jeremy Renner
Kill Your Darlings,http://www.imdb.com/title/tt1311071/,US,2013,$1.03M,John Krokidas,1,Allen Ginsberg ,Author,Known,White,0,Male,Daniel Radcliffe
Killer: A Journal of Murder,http://www.imdb.com/title/tt0113542/,US,1995,$65.7K,Tim Metcalfe,1,Carl Panzram,Criminal,Known,White,0,Male,James Woods
King David,http://www.imdb.com/title/tt0089420/,US,1985,-,Bruce Beresford,1,David,Historical,Known,Middle Eastern (White),0,Male,Richard Gere
King of Kings,http://www.imdb.com/title/tt0055047/,US,1961,-,Nicholas Ray,1,Jesus,Historical,Known,Middle Eastern (White),0,Male,Jeffrey Hunter
Kinsey,http://www.imdb.com/title/tt0362269/,US,2004,$10.2M,Bill Condon,1,Alfred Kinsey,Academic,Known,White,0,Male,Liam Neeson
Klimt,http://www.imdb.com/title/tt0417871/,UK,2006,-,Raoul Ruiz,1,Gustav Klimt,Artist,Known,White,0,Male,John Malkovich
Knute Rockne All American,http://www.imdb.com/title/tt0032676/,US,1940,-,Lloyd Bacon,1,Knute Rockne,Athlete,Known,White,0,Male,Pat O'Brien
Korczak,http://www.imdb.com/title/tt0099949/,UK,1990,-,Andrzej Wajda,1,Janusz Korczak,Other,Known,White,0,Male,Wojciech Pszoniak
Kundun,http://www.imdb.com/title/tt0119485/,US,1997,$5.53M,Martin Scorsese,1,Dalai Lama ,Activist,Known,Asian,1,Male,Tenzin Thuthob Tsarong
La Bamba,http://www.imdb.com/title/tt0093378/,US,1987,$54.2M,Luis Valdez,1,Ritchie Valens,Musician,Known,Hispanic (Latino),1,Male,Lou Diamond Phillips
La Vie en Rose,http://www.imdb.com/title/tt0450188/,Canada/UK,2007,$10.3M,Olivier Dahan,1,Ã‰dith Piaf.,Singer,Known,White,0,Female,Marion Cotillard
Lady Jane,http://www.imdb.com/title/tt0091374/,UK,1986,$278K,Trevor Nunn,1,Lady Jane Grey,Historical,Unknown,,0,Female,Helena Bonham Carter
Lady Sings the Blues,http://www.imdb.com/title/tt0068828/,US,1972,$9.6M,Sidney J. Furie,1,Billie Holiday,Musician,Known,African American,1,Female,Diana Ross
Last Days,http://www.imdb.com/title/tt0403217/,US,2005,$455K,Gus Van Sant,1,Kurt Cobain,Musician,Known,White,0,Male,Michael Pitt
Lawrence of Arabia,http://www.imdb.com/title/tt0056172/,UK,1962,$342K,David Lean,1,Thomas Edward Lawrence,Military,Known,White,0,Male,Peter O'Toole
Lee Daniels' The Butler,http://www.imdb.com/title/tt1327773/,US,2013,$117M,Lee Daniels,1,Cecil Gaines,Other,Known,African American,1,Male,Forest Whitaker
Lenny,http://www.imdb.com/title/tt0071746/,US,1974,-,Bob Fosse,1,Lenny Bruce,Comedian,Known,White,0,Male,Dustin Hoffman
Lincoln,http://www.imdb.com/title/tt0443272/,US,2012,$182M,Steven Spielberg,1,Abraham Lincoln,World leader,Known,White,0,Male,Daniel Day-Lewis
Lion of the Desert,http://www.imdb.com/title/tt0081059/,US,1981,-,Moustapha Akkad,1,Omar Mukhtar,Activist,Known,Middle Eastern,1,Male,Anthony Quinn
Lisztomania,http://www.imdb.com/title/tt0073298/,UK,1975,-,Ken Russell,1,Franz Liszt,Musician,Known,White,0,Male,Roger Daltrey
Little Ashes,http://www.imdb.com/title/tt1104083/,UK,2008,$480K,Paul Morrison,1,Salvador DalÃ_,Artist,Known,Multi racial,1,Male,Robert Pattinson
Lone Survivor,http://www.imdb.com/title/tt1091191/,US,2013,$125M,Peter Berg,1,Marcus Luttrell,Military,Unknown,,0,Male,Mark Wahlberg
Lords of Dogtown,http://www.imdb.com/title/tt0355702/,US,2005,$11M,Catherine Hardwicke,3,Jay Adams,Athlete,Unknown,,0,Male,Emile Hirsch
Lords of Dogtown,http://www.imdb.com/title/tt0355702/,US,2005,$11M,Catherine Hardwicke,3,Tony Alva,Athlete,Known,Hispanic (Latino),1,Male,Victor Rasuk
Lords of Dogtown,http://www.imdb.com/title/tt0355702/,US,2005,$11M,Catherine Hardwicke,3,Stacy Peralta,Athlete,Unknown,,0,Male,John Robinson
Louis Cyr,http://www.imdb.com/title/tt1657513/,Canada,2013,-,Daniel Roby,1,Louis Cyr,Athlete,Known,White,0,Male,Antoine Bertrand
Love & Mercy,http://www.imdb.com/title/tt0903657/,US,2014,$9.26M,Bill Pohlad,1,Brian Wilson,Musician,Known,White,0,Male,John Cusack
Love Is a Many-Splendored Thing,http://www.imdb.com/title/tt0048316/,US,1955,-,Henry King,1,Han Suyin,Other,Known,Eurasian,1,Female,Jennifer Jones
