pollster,pollster_rating_id,aapor_roper,inactive,numeric_grade,rank,POLLSCORE,wtd_avg_transparency,number_polls_pollster_total,percent_partisan_work,error_ppm,bias_ppm,number_polls_pollster_time_weighted
"Island Analytics & Marketing, LLC",736,FALSE,FALSE,0.9,260,0.5,1.1,1,0,1,-0.1,1
EMC Research,130,FALSE,FALSE,0.9,261,0.6,2.7,17,0.9,0.4,0.9,2.8
Tulchin Research,340,FALSE,FALSE,0.9,262,0.3,0.8,8,0.9,0,0.6,4.6
Beacon Research,545,FALSE,FALSE,0.9,263,0.4,2.3,4,0.5,0.3,0.6,3.9
Tomahawk Strategies,737,FALSE,FALSE,0.9,264,0.5,0.7,1,0,0.6,0.3,1
Zia Poll,393,FALSE,FALSE,0.9,265,0.4,1.5,8,0,0.1,0.6,4.6
Fort Hays State University Docking Institute of Public Affairs,101,FALSE,FALSE,0.9,266,1,3,6,0,1.3,0.8,3
Citizen Data,616,FALSE,FALSE,0.9,267,0.5,2.8,11,0,0.7,0.3,11.2
Hendrix College,138,FALSE,FALSE,0.9,268,0.6,2.9,21,0,0.6,0.6,12.1
Jayhawk Consulting Services,157,FALSE,FALSE,0.9,269,1.5,2.7,3,1,1.3,1.6,2.1
African American Research Collaborative,733,FALSE,FALSE,0.8,270,0.8,2.1,3,1,0.7,0.8,4
Hill Research Consultants,140,FALSE,FALSE,0.8,271,0.7,1.9,8,0.2,0.9,0.5,2.9
Clearview Research,405,FALSE,FALSE,0.8,272,0.6,0.7,2,0.5,0.5,0.8,2.2
Clout Research,55,FALSE,FALSE,0.7,273,0.9,2.4,20,0.3,0.7,1.1,8
FM3 Research,91,FALSE,FALSE,0.7,274,0.6,1.3,20,1,0.2,1,6.3
"Normington, Petts & Associates",232,FALSE,FALSE,0.7,275,0.6,0.7,28,1,0.3,0.9,6.4
Ascend Action,726,FALSE,FALSE,0.7,276,1.7,2.8,12,0,1.7,1.7,17
Repass,268,FALSE,FALSE,0.7,277,1.7,2.6,10,0,1.5,2,8.5
The Political Matrix/The Listener Group,677,FALSE,FALSE,0.7,278,0.7,1.8,12,0,1.3,0.2,13.1
Trafalgar Group,338,FALSE,FALSE,0.7,279,0.6,1.1,131,1,-0.5,1.6,140.3
Moore Information Group,217,FALSE,FALSE,0.6,280,0.7,0.8,27,0.9,0.8,0.6,14
University of Wyoming Survey & Analysis Center,667,FALSE,FALSE,0.6,281,1.2,1,7,0,1.1,1.4,6.6
McLaughlin & Associates,203,FALSE,FALSE,0.5,282,1.6,1.1,47,0.9,1.4,1.9,17
A&A Research,2,FALSE,TRUE,NA,,0,3.4,3,0,0.1,0,0.1
Abacus Associates,6,FALSE,TRUE,NA,,0.2,3.5,3,0.8,0.1,0.4,0.4
Adrian Gray Consulting,662,FALSE,TRUE,NA,,0.2,4.2,1,1,0,0.4,0.3
Alabama State University,8,FALSE,TRUE,NA,,0,3.9,2,0,0,-0.1,0.6
Analytical Group,11,FALSE,TRUE,NA,,0,3.5,1,0,0.1,-0.1,0
APC Research,4,FALSE,TRUE,NA,,0.1,3.2,2,0,0.2,0,0.8
Arthur J. Finkelstein & Associates,16,FALSE,TRUE,NA,,0.4,3.4,2,1,0.2,0.5,0.2
Aspen Media & Market Research,17,FALSE,TRUE,NA,,0,3.5,3,0,0.1,0,0.3
AYTM,635,FALSE,TRUE,NA,,0,2.1,4,0,0.1,-0.2,3.6
Bainbridge Media Group,656,FALSE,TRUE,NA,,0.3,2.8,1,1,0.2,0.5,0.1
Bannon Communications Research,21,FALSE,TRUE,NA,,0.3,4.2,2,1,0.1,0.4,0.1
Baruch College Survey Research,22,FALSE,TRUE,NA,,0,4.2,2,0,0,0,1.1
Baydoun Consulting,25,FALSE,TRUE,NA,,0.4,3.1,7,0,0.5,0.3,1.8
Becker Institute,26,FALSE,TRUE,NA,,0,3.6,10,0,0.1,-0.1,0.7
Behavior Research Center (Rocky Mountain Poll),27,FALSE,TRUE,NA,,0.1,3.5,12,0,0.2,0,1.5
Belden Russonello,28,TRUE,TRUE,NA,,-0.4,6.5,3,0,-0.2,-0.6,0.2
Bendixen & Amandi International/Tarrance Group,801,FALSE,TRUE,NA,,0,2.5,2,0,0.1,-0.1,1.1
Big Ten,31,FALSE,TRUE,NA,,0.2,3.4,10,0,0.2,0.2,1.4
BIGresearch,19,FALSE,TRUE,NA,,0,4.2,1,0,0.1,0,0.1
Bluegrass Community and Technical College,632,FALSE,TRUE,NA,,0.2,2.8,2,0,0.3,0.1,2.2
Blum & Weprin Associates,32,FALSE,TRUE,NA,,-0.1,3.5,20,0,0,-0.1,1
Brandwatch Qriously,610,FALSE,TRUE,NA,,0.4,10,5,0,0.6,0.1,5.1
Brown University A. Alfred Taubman Center for American Politics and Policy,35,FALSE,TRUE,NA,,0.2,3.6,13,0,0.5,-0.1,2.2
BWD Global,527,FALSE,TRUE,NA,,0.1,2.8,2,0,0.2,0,0.9
"California State University, Bakersfield",41,FALSE,TRUE,NA,,0,3.5,1,0,0.1,0,0
"California State University, Sacramento",807,FALSE,TRUE,NA,,0,4.2,2,0,0,0.1,1.1
CallFire,42,FALSE,TRUE,NA,,0.2,3.1,5,0.2,0.1,0.2,1.3
Canisius College,43,FALSE,TRUE,NA,,0,3.5,1,0,0.1,-0.1,0.1
Capital Survey Research Center,44,FALSE,TRUE,NA,,0,3.4,14,0,0.1,-0.1,2.2
Carroll Strategies,450,FALSE,TRUE,NA,,0.4,2.1,5,0,0.6,0.3,3.4
CBS News,810,TRUE,TRUE,NA,,-0.6,7.3,31,0,-0.4,-0.8,5.3
CBS News/The New York Times,36,TRUE,TRUE,NA,,-0.4,7,47,0,-0.3,-0.6,4.9
ccAdvertising,396,FALSE,TRUE,NA,,0.4,3.3,62,0,0.3,0.5,13.4
Central Surveys Inc.,46,FALSE,TRUE,NA,,0,3.5,1,0,0.1,-0.1,0.1
Centre College,47,FALSE,TRUE,NA,,0,4.6,1,0,0.1,-0.1,0.4
CJ&N,63,FALSE,TRUE,NA,,0,3.3,3,0,0,0,0.5
Clarus Research Group,53,FALSE,TRUE,NA,,0,3.5,2,0,0.1,0,0.5
Clemson University,54,FALSE,TRUE,NA,,-0.2,2.4,7,0,-0.5,0,2.5
Colby College,593,FALSE,TRUE,NA,,0.1,10,5,0,0.2,0.1,5.1
Columbus Dispatch,57,FALSE,TRUE,NA,,-0.1,4,22,0,0,-0.2,3.5
Cometrends,631,FALSE,TRUE,NA,,0.1,4.9,1,0,0.3,0,0.7
Constituent Dynamics/RT Strategies,58,FALSE,TRUE,NA,,0,3.1,6,0,0.1,-0.1,0.8
Consumer Logic,59,FALSE,TRUE,NA,,0,3.5,4,0,0.1,0,0.2
Cooper & Secrest,60,FALSE,TRUE,NA,,0.3,3.3,4,1,0.1,0.4,0.5
CPEC,38,FALSE,TRUE,NA,,0.1,2.1,2,0,0.3,0,1.1
Craciun Research Group,61,FALSE,TRUE,NA,,0.3,3.4,4,0,0.3,0.3,0.6
Cromer Group,65,FALSE,TRUE,NA,,0.2,3.5,1,1,0.1,0.4,0.1
CrossTarget,66,FALSE,TRUE,NA,,0.1,3.5,2,0,0.1,0.1,0.4
Dane & Associates,71,FALSE,TRUE,NA,,0.2,3.2,4,0,0.3,0.1,0.8
Dartmouth College Nelson A. Rockefeller Center for Public Policy and the Social Sciences,72,FALSE,TRUE,NA,,0,3.5,3,0,0.1,0,0.1
Data West Polling,74,FALSE,TRUE,NA,,0,3.2,2,0,0.1,0,0.1
Datamar Analytics,75,FALSE,TRUE,NA,,0,3.3,8,0,0.1,-0.1,1.1
Decision Analyst,765,FALSE,TRUE,NA,,0.1,3.5,1,0,0.2,0,0.1
Decision Forecasting,77,FALSE,TRUE,NA,,0,3.7,3,0,0.1,0,0.1
DeSales University Kamran Afshar Data Analytics Center,474,FALSE,TRUE,NA,,0.3,1.3,3,0,0.3,0.2,2.7
Detroit Free Press,663,FALSE,TRUE,NA,,0,4.2,1,0,0.1,0,0
Diamond State Consulting Group,78,FALSE,TRUE,NA,,0.2,3.5,1,1,0,0.4,0.3
Diversified Research Inc,80,FALSE,TRUE,NA,,0.2,3.5,1,1,0.1,0.4,0
Dixie Strategies,81,FALSE,TRUE,NA,,0.5,1.8,11,0,0.5,0.5,6.7
DKC Analytics,592,FALSE,TRUE,NA,,0,1.1,1,0,0,-0.1,0.7
"Drake Research & Strategy, Inc.",329,FALSE,TRUE,NA,,0,3.5,8,0,0.1,0,0.4
Dynamics Marketing,83,FALSE,TRUE,NA,,0,3.5,1,0,0.1,-0.1,0
Dynata,283,FALSE,TRUE,NA,,0,2.8,2,0,0.1,-0.1,1.1
East Tennessee State University Applied Social Research Laboratory,456,FALSE,TRUE,NA,,0.2,8.6,2,0,0.3,0.1,1.6
Ed Renwick/Loyola University New Orleans,85,FALSE,TRUE,NA,,0.1,3.3,4,0,0.2,0.1,0.4
Elucd,549,FALSE,TRUE,NA,,0.4,0.7,4,0,0.6,0.2,3.6
Escalent,189,FALSE,TRUE,NA,,0.2,3.5,1,1,0.1,0.4,0
Ethridge & Associates LLC,89,FALSE,TRUE,NA,,0,3.5,6,0,0.1,-0.1,0.3
"Fabrizio, Lee & Associates/McLaughlin & Associates",814,FALSE,TRUE,NA,,0.3,4,2,1,0.1,0.4,0.2
Feldman Group,93,FALSE,TRUE,NA,,0.2,3.7,7,1,0,0.4,1.4
Field Research Corp. (Field Poll),94,FALSE,TRUE,NA,,-0.2,3.9,24,0,-0.2,-0.3,3.2
Financial Dynamics,95,FALSE,TRUE,NA,,0,3.5,1,0,0.1,-0.1,0.1
Florida International University/Univision,98,FALSE,TRUE,NA,,0,3.5,1,0,0.1,-0.1,0.1
Forman Center,100,FALSE,TRUE,NA,,0,3.5,2,0,0.1,0,0.1
Forward Strategies,102,FALSE,TRUE,NA,,0,4.2,2,0,0,-0.1,0.4
Frank N. Magid Associates Inc.,105,FALSE,TRUE,NA,,0,3.4,7,0,0.1,-0.1,0.4
Franklin Pierce University Marlin Fitzwater Center for Communication,107,FALSE,TRUE,NA,,0,3.5,20,0,0.1,-0.1,1.2
FTI Consulting,812,TRUE,TRUE,NA,,-0.5,6.6,33,0,-0.3,-0.7,5
Gannett New Jersey,760,FALSE,TRUE,NA,,0,3.1,8,0,0.1,-0.1,0.3
GaPundit.com,111,FALSE,TRUE,NA,,0.1,2.8,2,0,0.2,0,0.8
Garin-Hart-Yang/Global Strategy Group,412,FALSE,TRUE,NA,,0.2,3.5,1,1,0,0.4,0.2
Gazette Communications,640,FALSE,TRUE,NA,,0,3.5,2,0,0.1,0,0.1
GfK Group,115,TRUE,TRUE,NA,,-0.4,7.3,21,0,-0.1,-0.7,4.3
Glascock Group,116,FALSE,TRUE,NA,,0.2,3.5,1,0,0.3,0.1,0.3
Global Strategy Group/Lester & Associates,806,FALSE,TRUE,NA,,0.2,2.3,2,1,0,0.4,0.9
Global Strategy Group/National Research (Philadelphia Inquirer),119,FALSE,TRUE,NA,,0,3.7,6,0,0.1,-0.1,1.6
Glover Park Group,120,FALSE,TRUE,NA,,0.1,4.2,1,0,0.2,0,0.2
Go Right Strategies,477,FALSE,TRUE,NA,,0.4,0.7,1,1,0.3,0.6,0.5
GOP Calls,654,FALSE,TRUE,NA,,0.4,3.2,2,1,0.3,0.6,0.4
Gordon S. Black Corp.,123,TRUE,TRUE,NA,,-0.4,7.6,2,0,-0.2,-0.6,0.1
GQR Research/Public Opinion Strategies,222,TRUE,TRUE,NA,,-0.4,5.8,1,0,-0.2,-0.6,0
Great Lakes Strategies Group,125,FALSE,TRUE,NA,,0.3,2.8,1,1,0.1,0.4,0.1
Greenberg Quinlan Rosner/American Viewpoint,127,TRUE,TRUE,NA,,-0.3,6.7,8,0,-0.2,-0.5,2.8
Greg Smith & Associates,128,FALSE,TRUE,NA,,0.1,3.2,5,0,0.2,0.1,0.5
Grove Insight,129,FALSE,TRUE,NA,,-0.2,3.4,39,1,-0.6,0.2,8.8
Harper Polling,132,FALSE,TRUE,NA,,-0.3,2.7,17,0.2,-0.4,-0.2,9.8
Harper Polling/Clarity Campaign Labs,513,FALSE,TRUE,NA,,0.1,2.1,1,0,0.1,0,0.7
Harvard University,135,TRUE,TRUE,NA,,-0.4,7.2,1,0,-0.2,-0.6,0
Hellenthal & Associates,137,FALSE,TRUE,NA,,0.2,3.6,5,0.1,0.1,0.3,1.3
Howey Politics/DePauw University,142,FALSE,TRUE,NA,,0,3.3,7,0,0.1,-0.1,1.4
icitizen,438,FALSE,TRUE,NA,,0.1,4.9,1,0,0.2,0.1,0.4
Illinois Public Opinion,479,FALSE,TRUE,NA,,-0.1,0,1,0,0,-0.1,0.4
Illinois Wesleyan University Department of Political Science,147,FALSE,TRUE,NA,,0.1,3.5,3,0,0.1,0,0.1
IMGE Insights,145,FALSE,TRUE,NA,,0.1,2.1,2,0,0.2,0.1,1.6
Independent Market Research,148,FALSE,TRUE,NA,,0,3.5,2,0,0.1,0,0.1
Indiana State University Department of Multidisciplinary Studies,658,FALSE,TRUE,NA,,0,2.8,1,0,0.1,-0.1,0.1
Indiana University Public Opinion Laboratory,149,TRUE,TRUE,NA,,-0.4,6.5,3,0,-0.2,-0.6,0.2
Indiana University-Purdue University Fort Wayne Mike Downs Center for Indiana Politics,150,FALSE,TRUE,NA,,0.3,3.5,3,0,0.6,-0.1,1.5
Iona University Political Science Department,152,FALSE,TRUE,NA,,0,3.9,2,0,0.1,-0.1,0.4
IVR Polls,146,FALSE,TRUE,NA,,0,2.9,4,0,0,-0.1,0.5
Jeffrey Stonecash,158,FALSE,TRUE,NA,,0.3,3.5,1,1,0.1,0.5,0.1
Jim Meader (KELOLAND-TV),159,FALSE,TRUE,NA,,0,3.6,5,0,0.1,0,0.2
JMC Analytics/Bold Blue Campaigns,503,FALSE,TRUE,NA,,0.1,3,5,0,0.1,0.1,3.7
Keating Research/OnSight Public Affairs/Melanson,455,FALSE,TRUE,NA,,-0.4,3.5,5,0,-0.4,-0.4,4.5
Kiley & Company,162,FALSE,TRUE,NA,,0.5,3.5,6,1,0.2,0.8,1.7
Kimball Political Consulting,163,FALSE,TRUE,NA,,0.1,2.9,7,0,0.2,0,1.9
Knowledge Networks,164,TRUE,TRUE,NA,,-0.4,9.2,6,0,-0.2,-0.6,0.6
KRC Research,160,TRUE,TRUE,NA,,-0.3,6.5,24,0,-0.1,-0.5,1.1
Landmark Communications/Rosetta Stone Communications,751,FALSE,TRUE,NA,,0,3.2,14,0,-0.1,0.1,6.7
Latino Decisions,482,FALSE,TRUE,NA,,0,3.9,2,0.5,-0.3,0.3,2.2
Lauer Johnson Research,167,FALSE,TRUE,NA,,0.3,3.5,1,1,0.1,0.4,0.1
"Lauer, Lalley, Victoria",168,FALSE,TRUE,NA,,0.2,3.5,1,1,0.1,0.4,0
Liberty Opinion Research,169,FALSE,TRUE,NA,,0.1,2.8,1,0,0.2,0.1,0.4
Lincoln Institute,170,FALSE,TRUE,NA,,0,3.9,2,0,0.1,0,0.1
Loras College Public Opinion Survey Center,171,FALSE,TRUE,NA,,0.1,5.6,16,0,0.3,-0.2,7.8
Los Angeles Times,172,TRUE,TRUE,NA,,-0.4,6.5,38,0,-0.2,-0.6,3.1
Louis Harris & Associates,173,TRUE,TRUE,NA,,-0.4,7.2,2,0,-0.2,-0.6,0.1
Louisville Courier-Journal,174,FALSE,TRUE,NA,,0,3.5,10,0,0.1,-0.1,0.7
Lucid,175,FALSE,TRUE,NA,,0.2,4,36,0,0.3,0.1,20.3
Lycoming College Polling Institute,176,FALSE,TRUE,NA,,0,3.3,3,0,0.1,0,0.4
Manhattanville College,181,FALSE,TRUE,NA,,0,3.5,4,0,0.1,0,0.1
MarblePort,182,FALSE,TRUE,NA,,0.1,2.8,1,0,0.2,0.1,0.4
Market Decisions Research,184,FALSE,TRUE,NA,,0,3.4,4,0,0,-0.1,0.3
Market Research Insight,185,FALSE,TRUE,NA,,-0.2,2.2,15,0,-0.2,-0.2,3.8
Market Research Institute Inc.,186,FALSE,TRUE,NA,,0,3.6,10,0,0.1,-0.1,0.6
Market Shares Corp.,187,FALSE,TRUE,NA,,0,3.4,38,0,0.1,-0.1,3.5
Market Solutions Group,188,FALSE,TRUE,NA,,0,3.4,5,0,0,-0.1,0.3
Market Trends Pacific,190,FALSE,TRUE,NA,,0,4.2,1,0,0.1,0,0
MarketAide Services Inc.,191,FALSE,TRUE,NA,,0,3.5,1,0,0.1,0,0
Marketing Research Institute,192,FALSE,TRUE,NA,,0.2,3.5,1,1,0.1,0.4,0
Marketing Workshop,194,FALSE,TRUE,NA,,0.1,3.5,8,0,0.2,0,0.4
Marshall Marketing,196,FALSE,TRUE,NA,,0,3.5,7,0,0,-0.1,0.9
Massie & Associates,199,FALSE,TRUE,NA,,0.3,3.9,2,1,0.1,0.4,0.1
Master Image,200,FALSE,TRUE,NA,,0,0.4,1,0,0,-0.1,0.4
McKeon & Associates,202,FALSE,TRUE,NA,,-0.1,3.4,3,0,-0.1,-0.1,1.2
Mercury Public Affairs,657,FALSE,TRUE,NA,,0.2,3.5,1,1,0.1,0.4,0.1
Mercyhurst University Center for Applied Politics,422,FALSE,TRUE,NA,,-0.1,3.5,1,0,0,-0.1,0.3
Merrill Poll,206,FALSE,TRUE,NA,,0,3.5,2,0,0,0,1.1
MFour Mobile Research,177,FALSE,TRUE,NA,,-0.1,3.5,4,0,-0.1,-0.1,1
Middle Tennessee State University,208,TRUE,TRUE,NA,,-0.3,6.3,5,0,-0.1,-0.6,1.3
Millersville University Center for Politics and Public Affairs,210,FALSE,TRUE,NA,,0.1,3.5,5,0,0.2,0,0.2
Minneapolis Star Tribune,315,FALSE,TRUE,NA,,0.1,3.4,21,0,0.1,0.1,1.5
Minnesota State University Moorhead Public Affairs Institute,211,FALSE,TRUE,NA,,0.1,3.3,6,0,0.2,0,0.6
Missouri State University Center for Social Science and Public Policy Research,212,FALSE,TRUE,NA,,0,2.3,3,0,0,-0.1,0.6
Momentum Analysis,214,FALSE,TRUE,NA,,0.3,3.6,4,1,0.2,0.4,0.5
MWR Strategies,617,FALSE,TRUE,NA,,0,3.5,2,0,-0.1,0,1.6
Myers Research & Strategic Services,319,FALSE,TRUE,NA,,0.2,4.2,2,0.7,0.1,0.4,0.1
Neighbor,226,FALSE,TRUE,NA,,0,3.5,1,0,0.1,0,0
New England College Polling Center,228,FALSE,TRUE,NA,,-0.3,3.1,24,0,-0.5,-0.1,8.8
New Frontier Strategy,229,FALSE,TRUE,NA,,0.2,3.2,2,0,0.3,0.2,0.6
New Mexico State University,230,FALSE,TRUE,NA,,0,3.5,1,0,0.1,0,0.1
Nielson Brothers Polling,231,FALSE,TRUE,NA,,1.4,1.5,11,0,1.4,1.4,5
Northern Arizona University Social Research Laboratory,234,FALSE,TRUE,NA,,0,3.6,7,0,0.1,0,0.6
NRECA Market Research,223,FALSE,TRUE,NA,,0,3.5,1,0,0.1,0,0
Ohio State University,236,TRUE,TRUE,NA,,-0.4,6.5,3,0,-0.2,-0.6,0.1
Ohio University,237,FALSE,TRUE,NA,,0.1,3.2,4,0,0.2,0,0.3
Old Dominion University,238,FALSE,TRUE,NA,,0,3.5,1,0,0.1,-0.1,0.3
OnPoint,240,FALSE,TRUE,NA,,0,2.8,5,0,0.1,0,0.5
Open Model Project,629,FALSE,TRUE,NA,,0.2,7,2,0,0.2,0.1,2.2
Opinion Consultants,241,FALSE,TRUE,NA,,0,3.5,2,0,0.1,0,0.2
Opinion Dynamics,104,TRUE,TRUE,NA,,-0.4,6.4,40,0,-0.3,-0.5,3.9
Opinion Research Associates,242,FALSE,TRUE,NA,,0.9,3.6,16,0.6,0.9,1,2.2
Penta,576,FALSE,TRUE,NA,,0.2,3.2,2,1,0,0.4,0.5
Personal Marketing Research,252,FALSE,TRUE,NA,,0,3.6,3,0,0.1,-0.1,0.1
Polling Company/Global Strategy Group,255,TRUE,TRUE,NA,,-0.4,6.5,5,0,-0.2,-0.6,0.2
Potomac Incorporated,256,FALSE,TRUE,NA,,0.1,3.4,8,0,0.1,0,0.5
Princeton Survey Research Associates International,258,TRUE,TRUE,NA,,-0.4,6.4,44,0,-0.1,-0.7,5.2
PSI,248,FALSE,TRUE,NA,,0,3.5,2,0,0.1,0,0.1
Public Policy Polling/Harper Polling,647,FALSE,TRUE,NA,,0,2.1,1,0,0.1,0,0.3
Public Strategies Inc.,264,FALSE,TRUE,NA,,0,3.5,6,0,0.1,-0.1,0.8
Purple Strategies,265,FALSE,TRUE,NA,,0.2,3.6,4,0,0.3,0.1,1
Quest Research Group,285,FALSE,TRUE,NA,,0.1,3.6,8,0,0.2,0,1.4
Rainmaker Media Group,276,FALSE,TRUE,NA,,0.1,3.5,1,0,0.2,0,0.1
RAND (American Life Panel),270,FALSE,TRUE,NA,,0,4.6,5,0,0,0.1,1.6
Reconnect Research/Probolsky Research,651,FALSE,TRUE,NA,,0,4.9,2,0,0,-0.1,2.2
Reconnect Research/Roanoke College Institute for Policy and Opinion Research,587,TRUE,TRUE,NA,,-0.4,9,2,0,-0.2,-0.6,2.2
Rice University,286,FALSE,TRUE,NA,,0,3.2,2,0,0.1,-0.1,0.1
Richard Day Research,287,FALSE,TRUE,NA,,0,3.5,13,0,0.1,-0.1,0.8
Richmond Times-Dispatch,288,FALSE,TRUE,NA,,0,3.4,4,0,0.1,-0.1,0.2
Riggs Research Services,289,FALSE,TRUE,NA,,0.4,2.8,1,1,0.3,0.6,0.1
Rivercity Polling,291,FALSE,TRUE,NA,,0.2,3.5,1,1,0.1,0.4,0.1
RKM Research and Communications Inc.,272,FALSE,TRUE,NA,,-0.1,4.8,35,0,-0.2,-0.1,6.2
RMS Research,273,FALSE,TRUE,NA,,0.1,3.5,3,0,0.1,0,0.1
Rossman Group,294,FALSE,TRUE,NA,,0.1,3.2,2,0,0.2,0,0.4
RT Strategies,275,FALSE,TRUE,NA,,-0.3,3.5,84,0,0,-0.5,9.3
Schapiro Group,300,FALSE,TRUE,NA,,0,3.2,2,0,0.1,-0.1,0.3
Scott Rasmussen (Rasmussen Reports),776,FALSE,TRUE,NA,,-0.3,3.3,785,0,-0.1,-0.4,131.6
Scripps Howard,303,FALSE,TRUE,NA,,0,3.3,6,0,0.1,0,0.2
Sky Research,665,FALSE,TRUE,NA,,0.1,0.7,1,0,0.2,0.1,0.5
SMS Research & Marketing Services,296,FALSE,TRUE,NA,,0,4.2,1,0,0.1,0,0.1
Southeastern Louisiana University Social Science Research Center,309,FALSE,TRUE,NA,,0.2,3.7,6,0,0.3,0.1,0.5
Southern Media & Opinion Research,310,FALSE,TRUE,NA,,0,2.3,5,0,0,0,1.1
Southern Opinion Research,311,FALSE,TRUE,NA,,0,3.5,2,0,0.1,0,0.1
Southern Research Group,649,FALSE,TRUE,NA,,0,3.5,1,0,0.1,0,0.1
Strategy Research,322,FALSE,TRUE,NA,,0.2,0.7,3,0,0.2,0.2,2.1
Swayable,543,TRUE,TRUE,NA,,0,7,89,0,0.6,-0.6,95.7
TeleResearch Corporation,335,FALSE,TRUE,NA,,0,4.2,1,0,0.1,0,0.1
Temple University Institute for Survey Research,336,TRUE,TRUE,NA,,-0.4,6.4,5,0,-0.2,-0.6,0.5
The Florida Poll,99,FALSE,TRUE,NA,,0,3.5,5,0,0.1,-0.1,0.4
The New York Times,811,TRUE,TRUE,NA,,-0.4,6.5,8,0,-0.3,-0.4,1
The Polling Company Inc.,337,FALSE,TRUE,NA,,0.1,2.4,12,0.7,-0.1,0.4,7.2
The Polling Company Inc./National Research Inc.,644,FALSE,TRUE,NA,,0.2,0.7,2,1,-0.1,0.5,1.6
Thomas Partners Strategies/Øptimus,758,TRUE,TRUE,NA,,0.1,4.8,4,0,0.4,-0.1,2.6
TMR Research,328,FALSE,TRUE,NA,,0,3.5,2,0,0.1,0,0.1
Triton Polling & Research,497,FALSE,TRUE,NA,,0.8,2.2,5,0.2,1.3,0.4,5.2
Triumph Campaigns,339,FALSE,TRUE,NA,,0,2.1,1,0,0,0,0.4
Tulsa Surveys,341,FALSE,TRUE,NA,,0,3.5,1,0,0.1,0,0
University of Alabama at Birmingham,344,FALSE,TRUE,NA,,0.1,3.7,3,0,0.1,0,0.1
University of Cincinnati (Ohio Poll),346,FALSE,TRUE,NA,,0.2,3.4,46,0,0.2,0.2,5.7
University of Colorado American Politics Research Lab,580,FALSE,TRUE,NA,,0.2,9.3,2,0,0.2,0.1,1.1
University of Connecticut,347,TRUE,TRUE,NA,,-0.6,6.6,19,0,-0.4,-0.7,2.1
University of Florida Bob Graham Center for Public Service,349,TRUE,TRUE,NA,,-0.4,6.5,2,0,-0.2,-0.6,0.8
University of Georgia Survey Research Center,674,FALSE,TRUE,NA,,0,3.5,1,0,0.1,0,0
University of Illinois at Chicago,352,FALSE,TRUE,NA,,0,3.5,1,0,0.1,0,0
University of Iowa Hawkeye Poll Cooperative,353,FALSE,TRUE,NA,,0.2,2.2,4,0,0.3,0,0.8
University of Massachusetts Department of Political Science,354,FALSE,TRUE,NA,,0,3.3,10,0,0.1,-0.1,0.4
University of Minnesota Hubert H. Humphrey School of Public Affairs,143,FALSE,TRUE,NA,,0.2,3.3,12,0,0.3,0,1.6
University of Montana Social Science Research Laboratory,499,FALSE,TRUE,NA,,0.1,3.5,2,0,0.1,0,1.6
"University of Nevada, Las Vegas Cannon Survey Center",356,FALSE,TRUE,NA,,0,3.5,1,0,0.1,-0.1,0.2
"University of Nevada, Las Vegas Lee Business School",609,FALSE,TRUE,NA,,-0.2,4.9,5,0,-0.1,-0.3,4.7
University of North Carolina School of Journalism and Mass Communication,359,FALSE,TRUE,NA,,0,3.5,1,0,0.1,0,0.1
University of South Alabama Polling Group,361,FALSE,TRUE,NA,,0,3.6,10,0,0,-0.1,0.7
University of Tennessee,362,FALSE,TRUE,NA,,0,3.4,4,0,0.1,0,0.2
University of Utah Hinckley Institute of Politics,500,FALSE,TRUE,NA,,0,0.7,5,0,0,0,3.4
University of Washington Center for Survey Research,364,FALSE,TRUE,NA,,0,3.6,13,0,0.1,-0.1,2.8
University of Wisconsin Survey Center,365,TRUE,TRUE,NA,,-0.3,6.7,9,0,-0.1,-0.5,0.8
University of Wisconsin-Milwaukee Center for Urban Initiatives and Research,749,FALSE,TRUE,NA,,0,3.5,1,0,0.1,0,0
University of Wisconsin-Milwaukee Institute for Survey and Policy Research,366,FALSE,TRUE,NA,,0,3.6,3,0,0,-0.1,0.2
Univision/Latino Decisions/North Star Opinion Research,516,FALSE,TRUE,NA,,0.1,4.8,7,0,0.2,-0.1,6.9
Valley Research,368,FALSE,TRUE,NA,,0,3.4,8,0,0.1,-0.1,0.5
Voter/Consumer Research,371,FALSE,TRUE,NA,,0.5,3.6,12,0.9,0.3,0.7,1.9
Vox Populi Communications,529,FALSE,TRUE,NA,,0,4.2,1,0,0.1,-0.1,0
Vox Populi Polling,372,FALSE,TRUE,NA,,-0.4,2.6,21,0,-0.2,-0.5,12
War Room Logistics,374,FALSE,TRUE,NA,,0.2,2.1,1,0,0.2,0.1,0.2
WCIA-TV,373,FALSE,TRUE,NA,,0,3.2,2,0,0.1,0,0.1
We Ask America,376,FALSE,TRUE,NA,,-0.2,3.2,64,0,0.2,-0.6,19.6
West Chester University,377,FALSE,TRUE,NA,,0.1,3.6,14,0,0.2,0,1.3
West Virginia Research Center,378,FALSE,TRUE,NA,,0,3.5,2,0,0.1,0,0.1
Western Kentucky University Social Science Research Center,379,FALSE,TRUE,NA,,0.2,3,5,0,0.3,0.1,2.4
Wick Communications,381,FALSE,TRUE,NA,,0.2,3.5,1,1,0.1,0.4,0.1
Wiese Research Associates,382,FALSE,TRUE,NA,,0.1,3.6,7,0,0.2,0.1,1.8
Wirthlin Worldwide,387,TRUE,TRUE,NA,,-0.1,6.6,7,0.2,-0.1,-0.1,0.2
