YEAR,GoogleKnowlege_Occupation,Show,Group,Raw_Guest_List
2002,actor,12/18/02,Acting,Edward Norton
2002,actor,12/19/02,Acting,John Cusack
2002,actor,12/2/02,Acting,Andy Richter
2002,editor,12/3/02,Media,Katrina vanden Heuvel
2002,stand-up comedian,12/4/02,Comedy,Colin Quinn
2002,actor,12/5/02,Acting,Rob Schneider
2002,former vice president,12/9/02,Politician,Al Gore
2002,actor,2/11/02,Acting,Scott Bakula
2002,television personality,2/12/02,Media,John Stossel
2002,activist,2/13/02,Advocacy,Ralph Nader
2002,actress,2/14/02,Acting,Rebecca Romijn
2002,actress,2/19/02,Acting,Jeri Ryan
2002,editor,2/20/02,Media,Bethany McLean
2002,Filmmaker,2/21/02,Media,Michael Moore
2002,Film director,2/4/02,Media,Ron Howard
2002,commentator,2/5/02,Media,Greta Van Susteren
2002,rapper,2/6/02,Musician,LL Cool J
2002,singer-songwriter,2/7/02,Musician,Barry Manilow
2002,actress,3/11/02,Acting,Bea Arthur
2002,actor,3/12/02,Acting,Denis Leary
2002,journalist,3/13/02,Media,Joe Klein
2002,television host,3/14/02,Media,Bill O'Reilly
2002,actor,3/18/02,Acting,Andy Richter
2002,us senator,3/19/02,Politician,John McCain
2002,actor,3/20/02,Acting,John Leguizamo
2002,actor,3/21/02,Acting,Aidan Quinn
2002,journalist,3/4/02,Media,David Remnick
2002,Comedian,3/5/02,Comedy,Richard Lewis
2002,actress,3/6/02,Acting,Milla Jovovich
2002,actor,3/7/02,Acting,Tom Arnold
2002,Journalist,4/1/02,Media,Paula Zahn
2002,actress,4/10/02,Acting,Patricia Arquette
2002,rock band,4/11/02,Musician,The Goo Goo Dolls
2002,actor,4/15/02,Acting,Samuel L. Jackson
2002,editor,4/16/02,Media,Lisa Beyer
2002,Model,4/17/02,Media,Tara Reid
2002,actor,4/18/02,Acting,Richard Dreyfuss
2002,journalist,4/2/02,Media,David Brock
2002,actor,4/22/02,Acting,Michael Clarke Duncan
2002,actor,4/23/02,Acting,Beau Bridges
2002,singer-songwriter,4/24/02,Musician,Elvis Costello
2002,journalist,4/25/02,Media,H.W. Crocker III
2002,editor,4/29/02,Media,Susan Caskie
2002,actor,4/3/02,Acting,Jon Favreau
2002,singer-songwriter,4/30/02,Musician,Alanis Morissette
2002,actress,4/4/02,Acting,Ashley Judd
2002,actor,4/8/02,Acting,Tony Danza
2002,news anchor,4/9/02,media,Judy Woodruff
2002,Broadcaster,5/1/02,Media,Robin Roberts
2002,Singer-songwriter,5/13/02,Musician,Moby
2002,actor,5/14/02,Acting,Liev Schreiber
2002,actor,5/15/02,Acting,Rupert Everett
2002,actress,5/16/02,Acting,Allison Janney
2002,actor,5/2/02,Acting,Willem Dafoe
2002,NA,5/23/02,NA,Matt Walsh Goes To Hawaii
2002,actor,5/6/02,Acting,Simon Baker
2002,Writer,5/7/02,Media,Mark Bowden
2002,actress,5/8/02,Acting,Diane Lane
2002,actor,5/9/02,Acting,David Boreanaz
2002,actor,6/11/02,Acting,Val Kilmer
2002,Former Mayor of New York City,6/12/02,Politician,Michael Bloomberg
2002,author,6/13/02,Media,Joseph Cirincione
2002,actor,6/17/02,Acting,Freddie Prinze Jr.
2002,actor,6/18/02,Acting,Christian Slater
2002,journalist,6/19/02,Media,Cynthia McFadden
2002,stand-up comedian,6/20/02,Comedy,"David Cross Bob Odenkirk"
2002,actor,6/20/02,Acting,"David Cross Bob Odenkirk"
2002,actor,6/24/02,Acting,Colin Farrell
2002,lawyer,6/25/02,Misc,David Scheffer
2002,actor,6/26/02,Acting,Paul Sorvino
2002,soccer player,6/27/02,Athletics,Clint Mathis
2002,actor,6/3/02,Acting,Colin Firth
2002,journalist,6/4/02,Media,Ashleigh Banfield
2002,actor,6/6/02,Acting,Charles Grodin
2002,rapper,7/10/02,Musician,Busta Rhymes
2002,television Personality,7/11/02,Media,Steve Irwin
2002,actor,7/15/02,Acting,John Ritter
2002,actress,7/16/02,Acting,Michelle Williams
2002,commentator,7/17/02,Media,Ann Coulter
2002,actress,7/18/02,Acting,Natasha Henstridge
2002,actor,7/22/02,Acting,Regis Philbin
2002,actor,7/23/02,Acting,Tim Blake Nelson
2002,actor,7/24/02,Acting,Steven Weber
2002,actor,7/25/02,Acting,Seth Green
2002,actress,7/29/02,Acting,Cynthia Nixon
2002,actor,7/30/02,Acting,Robert Wagner
2002,Comedian,7/31/02,Comedy,Martin Lawrence
2002,actor,7/8/02,Acting,Adam Sandler
2002,journalist,7/9/02,Media,John King
2002,actor,8/1/02,Acting,Mike Myers
2002,actor,8/12/02,Acting,Michael C. Hall
2002,Critic,8/13/02,Media,Scott Ritter
2002,actor,8/14/02,Acting,Kevin Nealon
2002,Journalist,8/15/02,Media,Rich Eisen
2002,actor,8/19/02,Acting,Denis Leary
2002,journalist,8/20/02,Media,Jim Lehrer
2002,actor,8/21/02,Acting,Robin Williams
2002,actor,8/22/02,Acting,Matthew Perry
2002,us senator,8/5/02,Politician,Charles Schumer
2002,actor,8/6/02,Acting,Antonio Banderas
2002,actor,8/7/02,Acting,Vin Diesel
2002,actor,8/8/02,Acting,Paul Rudd
2002,actor,9/10/02,Acting,Zach Braff
2002,Author,9/12/02,Media,Sarah Vowell
2002,journalist,9/16/02,Media,John Miller
2002,actor,9/17/02,Acting,Jason Lee
2002,actor,9/18/02,Acting,Damon Wayans
2002,actor,9/19/02,Acting,Djimon Hounsou
2002,actress,9/24/02,Acting,Kate Hudson
2002,white house sommunications director,9/25/02,Political Aide,George Stephanopoulos
2002,actress,9/26/02,Acting,Goldie Hawn
2002,actress,9/30/02,Acting,Bonnie Hunt
2002,actress,9/9/02,Acting,Lorraine Bracco
2003,actress,1/13/03,Acting,Kathy Bates
2003,Filmmaker,1/14/03,Media,Michael Moore
2003,comedian,1/15/03,Comedy,Dave Chappelle
2003,former us senator,1/16/03,Politician,Joseph Lieberman
2003,television host,1/20/03,Media,Merv Griffin
2003,television producer,1/21/03,Media,Simon Cowell
2003,actor,1/22/03,Acting,John C. Reilly
2003,television host,1/23/03,Media,Jimmy Kimmel
2003,actress,1/27/03,Acting,Rosie Perez
2003,actor,1/28/03,Acting,Sam Rockwell
2003,journalist,1/29/03,Media,Jeff Greenfield
2003,actor,1/30/03,Acting,Laurence Fishburne
2003,actress,1/7/03,Acting,Cameron Diaz
2003,actor,1/8/03,Acting,Ray Liotta
2003,actor,1/9/03,Acting,Philip Seymour Hoffman
2003,actress,10/1/03,Acting,Vivica A. Fox
2003,actor,10/2/03,Acting,Rob Lowe
2003,former national security advisio\r,10/20/03,Government,Henry Kissinger
2003,actress,10/21/03,Acting,Angelina Jolie
2003,Writer,10/22/03,Media,Walter Isaacson
2003,actor,10/23/03,Acting,Anthony Hopkins
2003,actor,10/27/03,Acting,Ted Danson
2003,Comedian,10/28/03,Comedy,Wanda Sykes
2003,Stand-up comedian,10/29/03,Comedy,Norm Macdonald
2003,Novelist,10/30/03,Media,Neal Pollack
2003,Filmmaker,10/6/03,Media,Michael Moore
2003,actor,10/7/03,Acting,"Ronny Cox Marc Singer Robert Amstler Arianna Huffington"
2003,us senator,10/8/03,Politician,Sen. Hillary Clinton
2003,actor,10/9/03,Acting,Tim Robbins
2003,actor,11/10/03,Acting,Will Ferrell
2003,actor,11/11/03,Acting,Peter Dinklage
2003,Rapper,11/12/03,Musician,Wyclef Jean
2003,actor,11/13/03,Acting,Brendan Fraser
2003,model,11/17/03,Media,Heidi Klum
2003,writer,11/18/03,Media,Bernard Goldberg
2003,actor,11/19/03,Acting,James Spader
2003,actor,11/20/03,Acting,Billy Bob Thornton
2003,NA,11/24/03,NA,Who are the Daily Show? Special
2003,actor,11/3/03,Acting,Kyle MacLachlan
2003,Historian,11/4/03,Academic,Michael Beschloss
2003,stand-up comedian,11/5/03,Comedy,Bob Newhart
2003,actor,11/6/03,Acting,Colin Firth
2003,actor,12/1/03,Acting,Adam Goldberg
2003,us senator,12/10/03,Politician,Sen. Zell Miller
2003,political figure,12/11/03,Politician,Gen. Wesley Clark
2003,actress,12/15/03,Acting,Maggie Gyllenhaal
2003,actor,12/16/03,Acting,Ben Affleck
2003,actress,12/17/03,Acting,Julia Stiles
2003,actress,12/18/03,Acting,Natalie Portman
2003,us senator,12/2/03,Politician,Sen. Tom Daschle
2003,radio host,12/3/03,Media,"Alan Colmes"
2003,radio host,12/3/03,Media,"Sean Hannity"
2003,actor,12/4/03,Acting,Alec Baldwin
2003,actress,12/8/03,Acting,Eva Mendes
2003,actor,12/9/03,Acting,Steve Buscemi
2003,journalist,2/10/03,Media,Joe Klein
2003,actress,2/11/03,Acting,Bebe Neuwirth
2003,actor,2/12/03,Acting,Michael Clarke Duncan
2003,actor,2/13/03,Acting,Ben Affleck
2003,Journalist,2/18/03,Media,Steve Kroft
2003,actor,2/19/03,Acting,Jeff Daniels
2003,actor,2/20/03,Acting,Luke Wilson
2003,pastor,2/3/03,Clergy,Doug Wilson
2003,actress,2/4/03,Acting,Kate Hudson
2003,author,2/5/03,Media,Arianna Huffington
2003,commentator,2/6/03,Media,David Frum
2003,correspondent,3/10/03,Media,Les Gelb
2003,stand-up comedian,3/11/03,Comedy,Colin Quinn
2003,former majority leader,3/12/03,Politician,Dick Gephardt
2003,actor,3/13/03,Acting,Tom Cavanagh
2003,historian,3/17/03,Academic,Eric Alterman
2003,actor,3/18/03,Acting,Jason Lee
2003,foreign policy expert,3/19/03,Academic,John Hulsman
2003,actor,3/20/03,Acting,Eddie Griffin
2003,editor,3/24/03,Media,Jim Kelly
2003,actress,3/25/03,Acting,Connie Nielsen
2003,Musician,3/26/03,Musician,Ringo Starr
2003,actress,3/27/03,Acting,Hilary Swank
2003,comedian,3/3/03,Comedy,Eric Idle
2003,comedian,3/31/03,Comedy,Chris Rock
2003,Writer,3/4/03,Media,Walter Isaacson
2003,actor,3/5/03,Acting,Adrien Brody
2003,stand-up comedian,3/6/03,Comedy,"David Cross (show hosted by Stephen Colbert)"
2003,writer,4/1/03,Media,Anthony Swofford
2003,stand-up comedian,4/10/03,Comedy,Dennis Miller
2003,actress,4/2/03,Acting,Kelly Preston
2003,Film actor,4/21/03,Acting,Patrick Stewart
2003,Film actress,4/22/03,Acting,Rachel Weisz
2003,Comedian,4/23/03,Comedy,Richard Lewis
2003,journalist,4/24/03,Media,Fareed Zakaria
2003,neurosurgeon,4/28/03,Science,Dr Sanjay Gupta
2003,actress,4/29/03,Acting,Julia Louis-Dreyfus
2003,actor,4/3/03,Acting,Colin Farrell
2003,actor,4/30/03,Acting,John Malkovich
2003,political psychologist,4/7/03,Consultant,Martha Burk
2003,actress,4/8/03,Acting,Susan Sarandon
2003,lawyer,4/9/03,Misc,Ambassador David Scheffer
2003,actress,5/1/03,Acting,Famke Janssen
2003,singer,5/12/03,Musician,Randy Jackson
2003,actor,5/13/03,Acting,Joshua Jackson
2003,historian,5/14/03,Academic,Diane Ravitch
2003,Journalist,5/15/03,Media,Michael Kinsley
2003,NA,5/26/03,NA,Iraq - A Look Baq (or how we learned to stop reporting and love the war)
2003,NA,5/26/03,NA,Iraq - A Look Baq (or how we learned to stop reporting and love the war)
2003,Commentator,5/27/03,Media,William Kristol
2003,journalist,5/28/03,Media,Lisa Ling
2003,journalist,5/29/03,Media,David Halberstam
2003,commentator,5/5/03,Media,Chris Matthews
2003,author,5/6/03,Media,Caroline Kennedy
2003,television presenter,5/7/03,Media,Graham Norton
2003,actor,5/8/03,Acting,Paul Rudd
2003,Former U.S. Representative,6/10/03,Politician,Newt Gingrich
2003,Journalist,6/11/03,Media,Sidney Blumenthal
2003,Rapper,6/12/03,Musician,Ludacris
2003,actor,6/16/03,Acting,Harrison Ford
2003,writer,6/17/03,Media,Lewis Lapham
2003,singer-songwriter,6/18/03,Musician,Kelly Clarkson
2003,actor,6/19/03,Acting,Ron Livingston
2003,journalist,6/2/03,Media,Bill Hemmer
2003,stand-up comedian,6/3/03,Comedy,Eddie Izzard
2003,Former United States Secretary of State,6/4/03,Politician,Madeleine Albright
2003,Singer,6/5/03,Musician,Tyrese Gibson
2003,NA,6/8/03,NA,Looking Beyond The Show
2003,actor,6/9/03,Acting,Guy Pearce
2003,american television personality,7/10/03,Media,Carson Daly
2003,actress,7/14/03,Acting,Angelina Jolie
2003,former us senator,7/15/03,Politician,Gary Hart
2003,actor,7/16/03,Acting,Rowan Atkinson
2003,Comedian,7/17/03,Comedy,Martin Lawrence
2003,actress,7/21/03,Acting,Gabrielle Union
2003,actor,7/22/03,Acting,Scott Glenn
2003,author,7/23/03,Media,Dick Morris
2003,diplomat,7/24/03,Government,Joseph C. Wilson
2003,television producer,7/28/03,Media,Paul Teutul Sr. Paul Teutul Jr.
2003,designer,7/28/03,Media,Paul Teutul Sr. Paul Teutul Jr.
2003,journalist,7/29/03,Media,Brian Williams
2003,actress,7/30/03,Acting,Alyson Hannigan
2003,Broadcaster,7/31/03,Media,Soledad O'Brien
2003,Former White House Press Secretary,7/8/03,Political Aide,Tony Snow
2003,author,7/9/03,Media,Erica Jong
2003,actor,8/11/03,Acting,Samuel L. Jackson
2003,actress,8/12/03,Acting,Kim Cattrall
2003,actor,8/13/03,Acting,Paul Giamatti
2003,-,8/14/03,NA,"Again, A Look Back"
2003,columnist,8/18/03,Media,Jim Hightower
2003,actress,8/19/03,Acting,Cynthia Nixon
2003,Puzzle Creator,8/20/03,Media,Will Shortz
2003,former us representative,8/21/03,Politician,Dennis Kucinich
2003,actor,8/4/03,Acting,Denis Leary
2003,musician,8/5/03,Musician,John Popper
2003,actor,8/6/03,Acting,Robert Duvall
2003,television actress,8/7/03,Acting,Tracey Ullman
2003,NA,9/1/03,NA,"I'm a Correspondent, Please Don't Fire Me!"
2003,actress,9/10/03,Acting,Kate Beckinsale
2003,NA,9/11/03,NA,No Guest
2003,us senator,9/15/03,Politician,"Sen. John Edwards"
2003,actor,9/15/03,Acting,"Cuba Gooding, Jr."
2003,Former United States Secretary of State,9/16/03,Politician,Madeleine Albright
2003,actor,9/17/03,Acting,Charlie Sheen
2003,actress,9/18/03,Acting,Christina Ricci
2003,actor,9/23/03,Acting,Michael Caine
2003,actor,9/24/03,Acting,Ben Stiller
2003,columnist,9/25/03,Media,Jonah Goldberg
2003,actor,9/29/03,Acting,Jack Black
2003,former us representative,9/30/03,Politician,Joe Scarborough
2003,united states senator,9/9/03,Politician,Al Franken
2004,Comedian,1/12/04,Comedy,Richard Lewis
2004,scientist,1/13/04,Science,Catherine Weitz
2004,former us senator,1/14/04,Politician,Carol Moseley-Braun
2004,vice president,1/15/04,Politician,Joe Biden
2004,actor,1/19/04,Acting,Philip Seymour Hoffman
2004,comedian,1/20/04,Comedy,Jeff Garlin
2004,us senator,1/21/04,Politician,Sen. John McCain
2004,actress,1/22/04,Acting,Erika Christensen
2004,writer,1/26/04,Media,Ken Auletta
2004,Political Scientist,1/27/04,Consultant,Richard Perle
2004,former governor of new jersey,1/28/04,Politician,Christine Todd Whitman
2004,actor,1/29/04,Acting,Kelsey Grammer
2004,Journalist,1/6/04,Media,Tom Brokaw
2004,actor,1/7/04,Acting,Elijah Wood
2004,actress,1/8/04,Acting,Charlize Theron
2004,us representative,10/18/04,Politician,Ed Koch
2004,actress,10/19/04,Acting,Marisa Tomei
2004,journalist,10/20/04,Media,Fareed Zakaria
2004,actor,10/21/04,Acting,Billy Crudup
2004,Former United States Secretary of State,10/25/04,Politician,Madeleine Albright
2004,former governor of nebraska,10/26/04,Politician,Bob Kerrey
2004,civil rights activist,10/27/04,Advocacy,Jesse Jackson
2004,author,10/28/04,Media,John Zogby
2004,social activist,10/4/04,Advocacy,Bishop Desmond Tutu
2004,actor,10/5/04,Acting,Billy Bob Thornton
2004,journalist,10/6/04,Media,Bob Schieffer
2004,television host,10/7/04,Media,Bill O'Reilly
2004,television host,11/1/04,Media,Chris Wallace
2004,Author,11/10/04,Media,Tom Wolfe
2004,analyst,11/11/04,Consultant,Kenneth Pollack
2004,former us senator,11/15/04,Politician,Kay Bailey Hutchison
2004,Journalist,11/16/04,Media,Tom Brokaw
2004,Historian,11/17/04,Academic,Thomas Frank
2004,actor,11/18/04,Acting,Woody Harrelson
2004,former govrnor of masssachusetts,11/2/04,Politician,William Weld & Al Sharpton
2004,minister,11/2/04,Clergy,William Weld & Al Sharpton
2004,actor,11/29/04,Acting,Jude Law
2004,us senator,11/3/04,Politician,Sen. Charles Schumer
2004,journalist,11/30/04,Media,Brian Williams
2004,Commentator,11/4/04,Media,William Kristol
2004,Businessman,11/9/04,Business,Richard Branson
2004,author,12/1/04,Media,Christopher Hitchens
2004,actor,12/13/04,Acting,Kevin Spacey
2004,diplomat,12/14/04,Government,Dore Gold
2004,comedian,12/15/04,Comedy,Billy Connolly
2004,journalist,12/16/04,Media,Katie Couric
2004,Author,12/2/04,Media,Stephen King
2004,actress,12/6/04,Acting,Isabella Rossellini
2004,Baseball player,12/7/04,Athletics,Paul O'Neill
2004,Writer,12/8/04,Media,Seth Mnookin
2004,actress,12/9/04,Acting,Kate Bosworth
2004,comedian,2/10/04,Comedy,Dave Chappelle
2004,actor,2/11/04,Acting,Paul Rudd
2004,actress,2/12/04,Acting,Drew Barrymore
2004,singer,2/2/04,Musician,Randy Jackson
2004,television Personality,2/23/04,Media,Tyra Banks
2004,writer,2/24/04,Media,John Podhoretz
2004,Singer-songwriter,2/25/04,Musician,Norah Jones
2004,actor,2/26/04,Acting,Samuel L. Jackson
2004,business magnate,2/3/04,Business,Donald Trump
2004,american politician,2/4/04,Politician,Bob Dole
2004,Film actor,2/5/04,Acting,Noah Wyle
2004,journalist,2/9/04,Media,Charles Lewis
2004,television actress,3/1/04,Acting,Edie Falco
2004,comedian,3/10/04,Comedy,George Carlin
2004,Journalist,3/11/04,Media,Paula Zahn
2004,us senator,3/15/04,Politician,Sen. Charles Schumer
2004,television personality,3/16/04,Media,John Stossel
2004,actor,3/17/04,Acting,Mekhi Phifer
2004,actor,3/18/04,Acting,Ethan Hawke
2004,Journalist,3/2/04,Media,Mark Ebner
2004,Trumpeter,3/22/04,Musician,Wynton Marsalis
2004,actor,3/23/04,Acting,Tom Hanks
2004,actor,3/24/04,Acting,Jamie Foxx
2004,united states senator,3/25/04,Politician,Al Franken
2004,actress,3/29/04,Acting,Jennifer Beals
2004,former mayor of new york,3/3/04,Politician,Rudolph Giuliani
2004,Adviser,3/30/04,Consultant,Richard A. Clarke
2004,public official,3/31/04,Government,Karen Hughes
2004,actor,3/4/04,Acting,Willem Dafoe
2004,actor,3/8/04,Acting,Val Kilmer
2004,political figure,3/9/04,Politician,Ed Gillespie
2004,stunt perfomrer,4/1/04,Acting,Johnny Knoxville
2004,Singer-songwriter,4/19/04,Musician,Melissa Etheridge
2004,actor,4/20/04,Acting,Mark Ruffalo
2004,television host,4/21/04,Media,John Gibson
2004,author,4/22/04,Media,Arianna Huffington
2004,former governor of nebraska,4/26/04,Politician,Bob Kerrey
2004,actress,4/27/04,Acting,Rebecca Romijn
2004,journalist,4/28/04,Media,Fareed Zakaria
2004,journalist,4/29/04,Media,Bob Woodward
2004,comedian,4/5/04,Comedy,Jerry Seinfeld
2004,actor,4/6/04,Acting,Matthew Perry and Bruce Willis
2004,actor,4/6/04,Acting,Matthew Perry and Bruce Willis
2004,actor,4/7/04,Acting,Tim Robbins
2004,actor,4/8/04,Acting,Jason Bateman
2004,us senator,5/10/04,Politician,Sen. John McCain
2004,journalist,5/11/04,Media,Tim Russert
2004,American Political figure,5/12/04,Politician,Ken Mehlman
2004,Commentator,5/13/04,Media,William Kristol
2004,film actress,5/3/04,Acting,Janeane Garofalo
2004,diplomat,5/4/04,Government,Joseph C. Wilson
2004,basketball player,5/5/04,Athletics,Kareem Abdul-Jabbar
2004,actor,5/6/04,Acting,Andy Richter
2004,stand-up comedian,6/1/04,Comedy,David Cross
2004,actress,6/10/04,Acting,Jennifer Love Hewitt
2004,actor,6/14/04,Acting,Stanley Tucci
2004,physician,6/15/04,Science,Hassan Ibrahim
2004,Former United States Secretary of Labor,6/16/04,Politician,Robert Reich
2004,television presenter,6/17/04,Media,Graham Norton
2004,journalist,6/2/04,Media,Thomas Friedman
2004,Columnist,6/21/04,Media,Stephen F. Hayes
2004,actress,6/22/04,Acting,Ashley Judd
2004,actor,6/23/04,Acting,Kevin Kline
2004,Filmmaker,6/24/04,Media,Michael Moore
2004,Governor of Virginia,6/28/04,Politician,Terry McAuliffe
2004,author,6/29/04,Media,Edward Conlon
2004,Former Governor of New York,6/3/04,Politician,Mario Cuomo
2004,journalist,6/30/04,Media,Calvin Trillin
2004,author,6/7/04,Media,Donna Brazile
2004,commentator,6/8/04,Media,David Brooks
2004,Documentary Filmmaker,6/9/04,Media,Morgan Spurlock
2004,Journalist,7/12/04,Media,Wolf Blitzer
2004,Journalist,7/13/04,Media,Michael Isikoff
2004,Author,7/14/04,Media,Sarah Vowell
2004,actor,7/15/04,Acting,Sacha Baron Cohen
2004,former governor of new mexico,7/27/04,Politician,Gov. Bill Richardson
2004,us senator,7/28/04,Politician,Sen. Joe Biden
2004,NA,7/29/04,NA,None
2004,NA,7/30/04,NA,None
2004,activist,7/6/04,Advocacy,"Ralph Nader (show hosted by Stephen Colbert)"
2004,actor,7/7/04,Acting,Will Ferrell
2004,actress,7/8/04,Acting,Christina Applegate
2004,Columnist,8/10/04,Media,Maureen Dowd
2004,actor,8/11/04,Acting,Tom Cruise
2004,author,8/12/04,Media,Bryan Keefer
2004,Former American senator,8/17/04,Politician,Norm Coleman
2004,actor,8/18/04,Acting,Burt Reynolds
2004,actor,8/19/04,Acting,Seth Green
2004,us representative,8/2/04,Politician,Rep. Henry Bonilla
2004,musician,8/23/04,Musician,Robert Smith
2004,secretary of state,8/24/04,Politician,John Kerry
2004,political figure,8/25/04,Politician,Ed Gillespie
2004,Film director,8/3/04,Media,Spike Lee
2004,0,8/30/04,NA,(None)
2004,Broadcaster,8/31/04,Media,Ted Koppel
2004,film actor,8/4/04,Acting,Aaron Eckhart
2004,actress,8/5/04,Acting,Natalie Portman
2004,us president,8/9/04,Politician,Bill Clinton
2004,assistant to the president for communications,9/1/04,Political Aide,Dan Bartlett
2004,actress,9/13/04,Acting,Drew Barrymore
2004,Former Assistant to the President for Communications,9/14/04,Political Aide,Pat Buchanan
2004,actor,9/15/04,Acting,Alec Baldwin
2004,actress,9/16/04,Acting,Gwyneth Paltrow
2004,us senator,9/2/04,Politician,Sen. John McCain
2004,adviser,9/21/04,Consultant,Richard Clarke
2004,former governor of montans,9/22/04,Politician,Gov. Marc Racicot
2004,actor,9/23/04,Acting,Matthew Broderick
2004,actress,9/27/04,Acting,Rosie Perez
2004,activist,9/28/04,Advocacy,Ralph Reed
2004,Journalist,9/29/04,Media,Seymour Hersh
2004,commentator,9/3/04,Media,Chris Matthews
2004,political figure,9/30/04,Politician,"Wesley Clark"
2004,former mayor of new york,9/30/04,Politician,"Rudolph Giuliani"
2005,lawyer,1/10/05,Misc,John Grisham
2005,actor,1/11/05,Acting,Samuel L. Jackson
2005,actor,1/12/05,Acting,Dennis Quaid
2005,actress,1/13/05,Acting,Annette Bening
2005,journalist,1/17/05,Media,Brian Ross
2005,writer,1/18/05,Media,Jim Wallis
2005,Historian,1/19/05,Academic,Michael Beschloss
2005,us senator,1/20/05,Politician,Sen. Joe Lieberman
2005,Political figure,1/24/05,Politician,Richard Viguerie
2005,Journalist,1/25/05,Media,Seymour Hersh
2005,actor,1/26/05,Acting,John Leguizamo
2005,former governor of new jersey,1/27/05,Politician,Christine Todd Whitman
2005,journalist,1/31/05,Media,Fareed Zakaria
2005,actor,1/4/05,Acting,Paul Giamatti
2005,actor,1/5/05,Acting,Don Cheadle
2005,historian,1/6/05,Academic,Howard Zinn
2005,singer-songwriter,10/17/05,Musician,Dolly Parton
2005,television host,10/18/05,Media,Bill O'Reilly
2005,us assistant attorney,10/19/05,Government,Louis Freeh
2005,actor,10/20/05,Acting,"Dwayne The Rock"" Johnson"""
2005,Commentator,10/24/05,Media,William Kristol
2005,united states senator,10/25/05,Politician,Al Franken
2005,biographer,10/26/05,Media,Doris Kearns Goodwin
2005,military officer,10/27/05,Military,Janis Karpinski
2005,writer,10/3/05,Media,David Rakoff
2005,actor,10/31/05,Acting,D.L. Hughley
2005,actress,10/4/05,Acting,Cameron Diaz
2005,us senator,10/5/05,Politician,Sen. John Edwards
2005,actor,10/6/05,Acting,Philip Seymour Hoffman
2005,us senator,11/1/05,Politician,Sen. Barbara Boxer
2005,actor,11/10/05,Acting,Chris Elliott
2005,Businesswoman,11/14/05,Business,Martha Stewart
2005,actress,11/15/05,Acting,Rosario Dawson
2005,author,11/16/05,Media,John Hodgman
2005,adviser,11/17/05,Consultant,Richard Clarke
2005,American football wide receiver,11/2/05,Athletics,Mike Wallace
2005,actor,11/28/05,Acting,Adrien Brody
2005,Author,11/29/05,Media,Peggy Noonan
2005,lawyer,11/3/05,Misc,Robert Ray
2005,former speaker of the the house,11/30/05,Politician,Rep. Nancy Pelosi
2005,us senator,11/7/05,Politician,Sen. Barack Obama
2005,us senator,11/8/05,Politician,Sen. John McCain
2005,actress,11/9/05,Acting,Keira Knightley
2005,Rock duo,12/1/05,Musician,The White Stripes
2005,radio personality,12/13/05,Media,Howard Stern
2005,Journalist,12/14/05,Media,Tom Brokaw
2005,actress,12/15/05,Acting,Sarah Jessica Parker
2005,former president,12/5/05,Politician,Jimmy Carter
2005,actress,12/6/05,Acting,Michelle Yeoh
2005,author,12/7/05,Media,David McCullough
2005,writer,12/8/05,Media,Ken Auletta
2005,Singer-songwriter,2/1/05,Musician,Paula Abdul
2005,Writer,2/14/05,Media,Redmond O'Hanlon
2005,comedian,2/15/05,Comedy,Eric Idle
2005,actor,2/16/05,Acting,Alan Cumming
2005,consultant,2/17/05,Political Aide,Mark P. Mills
2005,journalist,2/2/05,Media,Anderson Cooper
2005,Film actress,2/22/05,Acting,Rachel Weisz
2005,Journalist,2/23/05,Media,Peter Jennings
2005,actress,2/24/05,Acting,Christina Ricci
2005,former governor of nebraska,2/28/05,Politician,Ben Nelson
2005,journalist,2/3/05,Media,Joe Klein
2005,foreign policy strategist,3/1/05,Academic,Nancy Soderberg
2005,Economist,3/10/05,Academic,Paul Krugman
2005,philosopher,3/14/05,Academic,Harry Frankfurt
2005,Correspondent,3/15/05,Media,Tom Fenton
2005,singer,3/16/05,Musician,Al Green
2005,television host,3/17/05,Media,Craig Ferguson
2005,actor,3/2/05,Acting,The Rock
2005,actress,3/21/05,Acting,Sandra Bullock
2005,actress,3/22/05,Acting,Catherine Keener
2005,Singer,3/23/05,Musician,Ozzy Osbourne
2005,Music Producer,3/24/05,Musician,RZA
2005,former white house press secretary,3/3/05,Political Aide,Ari Fleischer
2005,Film actress,3/7/05,Acting,Melissa Boyle Mahle
2005,journalist,3/8/05,Media,Brian Williams
2005,actor,3/9/05,Acting,Bruce Willis
2005,columnist,4/11/05,Media,Byron York
2005,american politician,4/12/05,Politician,Bob Dole
2005,journalist,4/13/05,Media,John Avlon
2005,actor,4/14/05,Acting,David Duchovny
2005,Former United States Secretary of Labor,4/18/05,Politician,Robert Reich
2005,Author,4/19/05,Media,Sarah Vowell
2005,stand-up comedian,4/20/05,Comedy,Dennis Miller
2005,Professor,4/21/05,Academic,Reza Aslan
2005,attorney,4/25/05,Misc,Floyd Abrams
2005,rapper,4/26/05,Musician,Ice Cube
2005,author,4/27/05,Media,Christina Hoff Sommers
2005,economist,4/28/05,Academic,Steven Levitt
2005,Basketball player,4/4/05,Athletics,Reggie Miller
2005,Journalist,4/5/05,Media,Thomas L. Friedman
2005,actor,4/6/05,Acting,Matthew McConaughey
2005,actress,4/7/05,Acting,Drew Barrymore
2005,Comedian,5/10/05,Comedy,Wanda Sykes
