matchup,game_date,type_of_hit,exit_velocity,predicted_zone,camera_zone,used_zone
Milwaukee Brewers vs New York Mets,2019-05-04,Fly,58.5,4,,4
Milwaukee Brewers vs New York Mets,2019-05-04,Fly,74.4,4,,4
Milwaukee Brewers vs New York Mets,2019-05-04,Fly,53.2,4,,4
Milwaukee Brewers vs New York Mets,2019-05-04,Ground,,5,,5
Milwaukee Brewers vs New York Mets,2019-05-04,Fly,73.9,2,,2
Milwaukee Brewers vs New York Mets,2019-05-04,Line,94.8,5,,5
Milwaukee Brewers vs New York Mets,2019-05-04,Fly,76.9,4,,4
Milwaukee Brewers vs New York Mets,2019-05-04,Line,,1,1,1
Milwaukee Brewers vs New York Mets,2019-05-04,Fly,,4,,4
Milwaukee Brewers vs New York Mets,2019-05-04,Pop Up,,1,,1
Milwaukee Brewers vs New York Mets,2019-05-04,Fly,,4,,4
Milwaukee Brewers vs New York Mets,2019-05-04,Fly,80,2,1,1
Milwaukee Brewers vs New York Mets,2019-05-04,Line,,1,1,1
Milwaukee Brewers vs New York Mets,2019-05-04,Fly,78.4,4,,4
Milwaukee Brewers vs New York Mets,2019-05-04,Fly,,5,,5
Milwaukee Brewers vs New York Mets,2019-05-04,Line,,1,1,1
Milwaukee Brewers vs New York Mets,2019-05-04,Fly,78.9,4,,4
Milwaukee Brewers vs New York Mets,2019-05-04,Fly,70.6,4,,4
Milwaukee Brewers vs New York Mets,2019-05-04,Fly,73.3,3,,3
Milwaukee Brewers vs New York Mets,2019-05-04,Pop Up,75,1,,1
Milwaukee Brewers vs New York Mets,2019-05-04,Line,,1,1,1
Milwaukee Brewers vs New York Mets,2019-05-04,Fly,92.1,5,,5
Milwaukee Brewers vs New York Mets,2019-05-04,Ground,65.1,4,,4
Milwaukee Brewers vs New York Mets,2019-05-04,Fly,78.9,1,1,1
Milwaukee Brewers vs New York Mets,2019-05-04,Fly,,1,1,1
Milwaukee Brewers vs New York Mets,2019-05-04,Fly,97.7,5,,5
Milwaukee Brewers vs New York Mets,2019-05-04,Fly,,5,,5
Milwaukee Brewers vs New York Mets,2019-05-04,Fly,,1,1,1
Milwaukee Brewers vs New York Mets,2019-05-04,Ground,,1,1,1
Milwaukee Brewers vs New York Mets,2019-05-04,Ground,84.6,1,1,1
Milwaukee Brewers vs New York Mets,2019-05-04,Pop Up,76.4,1,,1
Milwaukee Brewers vs New York Mets,2019-05-04,Pop Up,74,1,,1
Milwaukee Brewers vs New York Mets,2019-05-04,Pop Up,72.6,1,,1
Milwaukee Brewers vs New York Mets,2019-05-04,Pop Up,73,1,,1
Milwaukee Brewers vs New York Mets,2019-05-04,Ground,66.8,1,1,1
Milwaukee Brewers vs New York Mets,2019-05-04,Fly,87.3,5,,5
Milwaukee Brewers vs New York Mets,2019-05-04,Pop Up,80.8,1,,1
Milwaukee Brewers vs New York Mets,2019-05-04,Fly,68.7,1,1,1
Milwaukee Brewers vs New York Mets,2019-05-04,Fly,,4,,4
Milwaukee Brewers vs New York Mets,2019-05-04,Ground,,2,,2
Milwaukee Brewers vs New York Mets,2019-05-04,Ground,65.2,1,1,1
Milwaukee Brewers vs New York Mets,2019-05-04,Batter hits self,60.4,1,1,1
Milwaukee Brewers vs New York Mets,2019-05-04,Pop Up,68.9,1,,1
Milwaukee Brewers vs New York Mets,2019-05-04,Ground,81.7,3,3,3
Milwaukee Brewers vs New York Mets,2019-05-04,Fly,87.4,5,5,5
Milwaukee Brewers vs New York Mets,2019-05-04,Fly,,5,,5
Milwaukee Brewers vs New York Mets,2019-05-04,Ground,53.7,1,1,1
Milwaukee Brewers vs New York Mets,2019-05-04,Pop Up,,1,1,1
Milwaukee Brewers vs New York Mets,2019-05-04,Fly,72,1,1,1
Milwaukee Brewers vs New York Mets,2019-05-04,Fly,79.7,1,1,1
Milwaukee Brewers vs New York Mets,2019-05-04,Batter hits self,82,1,1,1
Milwaukee Brewers vs New York Mets,2019-05-04,Fly,101.8,5,5,5
Milwaukee Brewers vs New York Mets,2019-05-04,Fly,70.6,4,,4
Milwaukee Brewers vs New York Mets,2019-05-04,Ground,,1,1,1
Milwaukee Brewers vs New York Mets,2019-05-04,Batter hits self,,1,1,1
Milwaukee Brewers vs New York Mets,2019-05-04,Fly,,5,,5
Milwaukee Brewers vs New York Mets,2019-05-04,Fly,71.8,5,,5
Milwaukee Brewers vs New York Mets,2019-05-04,Fly,69.4,4,,4
Milwaukee Brewers vs New York Mets,2019-05-04,Fly,51.1,5,,5
Milwaukee Brewers vs New York Mets,2019-05-04,Fly,,4,,4
Milwaukee Brewers vs New York Mets,2019-05-04,Ground,,5,,5
Milwaukee Brewers vs New York Mets,2019-05-04,Fly,,5,,5
Texas Rangers vs Toronto Blue Jays,2019-05-03,Pop Up,69.2,1,,1
Texas Rangers vs Toronto Blue Jays,2019-05-03,Line,89.5,4,4,4
Texas Rangers vs Toronto Blue Jays,2019-05-03,Ground,69.9,1,1,1
Texas Rangers vs Toronto Blue Jays,2019-05-03,Ground,57.2,2,,2
Texas Rangers vs Toronto Blue Jays,2019-05-03,Line,,1,1,1
Texas Rangers vs Toronto Blue Jays,2019-05-03,Fly,,3,,3
Texas Rangers vs Toronto Blue Jays,2019-05-03,Fly,74.6,1,1,1
Texas Rangers vs Toronto Blue Jays,2019-05-03,Fly,69.8,1,1,1
Texas Rangers vs Toronto Blue Jays,2019-05-03,Batter hits self,,1,1,1
Texas Rangers vs Toronto Blue Jays,2019-05-03,Fly,65.6,1,1,1
Texas Rangers vs Toronto Blue Jays,2019-05-03,Ground,,1,1,1
Texas Rangers vs Toronto Blue Jays,2019-05-03,Fly,74,3,,3
Texas Rangers vs Toronto Blue Jays,2019-05-03,Ground,69.7,4,,4
Texas Rangers vs Toronto Blue Jays,2019-05-03,Fly,78,2,,2
Texas Rangers vs Toronto Blue Jays,2019-05-03,Fly,71.6,4,,4
Texas Rangers vs Toronto Blue Jays,2019-05-03,Ground,57.4,5,5,5
Texas Rangers vs Toronto Blue Jays,2019-05-03,Fly,72.4,5,,5
Texas Rangers vs Toronto Blue Jays,2019-05-03,Fly,72,1,1,1
Texas Rangers vs Toronto Blue Jays,2019-05-03,Fly,94,6,6,6
Texas Rangers vs Toronto Blue Jays,2019-05-03,Ground,76.9,5,5,5
Texas Rangers vs Toronto Blue Jays,2019-05-03,Ground,72.1,5,,5
Texas Rangers vs Toronto Blue Jays,2019-05-03,Fly,85.1,5,5,5
Texas Rangers vs Toronto Blue Jays,2019-05-03,Fly,77.8,3,,3
Texas Rangers vs Toronto Blue Jays,2019-05-03,Fly,80.2,5,,5
Texas Rangers vs Toronto Blue Jays,2019-05-03,Pop Up,74.3,1,,1
Texas Rangers vs Toronto Blue Jays,2019-05-03,Fly,,5,,5
Texas Rangers vs Toronto Blue Jays,2019-05-03,Fly,83.5,4,,4
Texas Rangers vs Toronto Blue Jays,2019-05-03,Ground,88.2,3,3,3
Texas Rangers vs Toronto Blue Jays,2019-05-03,Ground,67.1,1,1,1
Texas Rangers vs Toronto Blue Jays,2019-05-03,Fly,75.7,4,,4
Texas Rangers vs Toronto Blue Jays,2019-05-03,Fly,78.1,1,1,1
Texas Rangers vs Toronto Blue Jays,2019-05-03,Fly,,1,1,1
Texas Rangers vs Toronto Blue Jays,2019-05-03,Line,76.8,1,1,1
Texas Rangers vs Toronto Blue Jays,2019-05-03,Fly,75.1,4,,4
Texas Rangers vs Toronto Blue Jays,2019-05-03,Fly,64.7,5,,5
Texas Rangers vs Toronto Blue Jays,2019-05-03,Fly,83.8,5,5,5
Texas Rangers vs Toronto Blue Jays,2019-05-03,Fly,78.5,1,1,1
Texas Rangers vs Toronto Blue Jays,2019-05-03,Fly,75.8,2,,2
Texas Rangers vs Toronto Blue Jays,2019-05-03,Fly,61.4,4,,4
Texas Rangers vs Toronto Blue Jays,2019-05-03,Fly,70.8,4,,4
Texas Rangers vs Toronto Blue Jays,2019-05-03,Fly,80.7,4,,4
Texas Rangers vs Toronto Blue Jays,2019-05-03,Fly,105.3,4,4,4
Texas Rangers vs Toronto Blue Jays,2019-05-03,Line,76.9,5,5,5
Texas Rangers vs Toronto Blue Jays,2019-05-03,Fly,77,4,,4
Texas Rangers vs Toronto Blue Jays,2019-05-03,Fly,76,1,1,1
Texas Rangers vs Toronto Blue Jays,2019-05-03,Fly,75.4,4,,4
Texas Rangers vs Toronto Blue Jays,2019-05-03,Fly,72,2,,2
Texas Rangers vs Toronto Blue Jays,2019-05-03,Fly,74.9,4,,4
Texas Rangers vs Toronto Blue Jays,2019-05-03,Fly,62.5,4,,4
Texas Rangers vs Toronto Blue Jays,2019-05-03,Ground,86.7,4,,4
Texas Rangers vs Toronto Blue Jays,2019-05-03,Fly,,4,,4
Texas Rangers vs Toronto Blue Jays,2019-05-03,Ground,,1,1,1
Texas Rangers vs Toronto Blue Jays,2019-05-03,Ground,,1,1,1
Texas Rangers vs Toronto Blue Jays,2019-05-03,Ground,,1,1,1
Texas Rangers vs Toronto Blue Jays,2019-05-03,Ground,,2,,2
Texas Rangers vs Toronto Blue Jays,2019-05-03,Ground,,1,1,1
Texas Rangers vs Toronto Blue Jays,2019-05-03,Fly,67.5,5,,5
Texas Rangers vs Toronto Blue Jays,2019-05-03,Ground,,1,1,1
Texas Rangers vs Toronto Blue Jays,2019-05-03,Line,83.9,1,1,1
Texas Rangers vs Toronto Blue Jays,2019-05-03,Fly,75.3,2,,2
Texas Rangers vs Toronto Blue Jays,2019-05-03,Ground,107.6,5,,5
Texas Rangers vs Toronto Blue Jays,2019-05-03,Pop Up,,1,,1
Texas Rangers vs Toronto Blue Jays,2019-05-03,Fly,89.4,4,,4
Texas Rangers vs Toronto Blue Jays,2019-05-03,Pop Up,74.9,1,,1
Texas Rangers vs Toronto Blue Jays,2019-05-03,Fly,81.1,4,,4
Texas Rangers vs Toronto Blue Jays,2019-05-03,Fly,,2,,2
Texas Rangers vs Toronto Blue Jays,2019-05-03,Pop Up,79.9,1,,1
Texas Rangers vs Toronto Blue Jays,2019-05-03,Fly,,2,,2
Texas Rangers vs Toronto Blue Jays,2019-05-03,Fly,91.9,7,7,7
Texas Rangers vs Toronto Blue Jays,2019-05-03,Pop Up,,1,,1
Texas Rangers vs Toronto Blue Jays,2019-05-03,Pop Up,,1,1,1
Texas Rangers vs Toronto Blue Jays,2019-05-03,Ground,,5,5,5
Texas Rangers vs Toronto Blue Jays,2019-05-03,Fly,95.7,5,5,5
Texas Rangers vs Toronto Blue Jays,2019-05-03,Line,,1,1,1
Texas Rangers vs Toronto Blue Jays,2019-05-03,Ground,95.7,5,,5
Texas Rangers vs Toronto Blue Jays,2019-05-03,Fly,68.1,5,,5
Texas Rangers vs Toronto Blue Jays,2019-05-03,Ground,75,2,,2
Texas Rangers vs Toronto Blue Jays,2019-05-03,Fly,36.2,5,,5
Texas Rangers vs Toronto Blue Jays,2019-05-03,Ground,59.1,4,,4
Texas Rangers vs Toronto Blue Jays,2019-05-03,Fly,,2,,2
Texas Rangers vs Toronto Blue Jays,2019-05-03,Fly,68.2,4,,4
Texas Rangers vs Toronto Blue Jays,2019-05-03,Fly,75.3,4,,4
Texas Rangers vs Toronto Blue Jays,2019-05-03,Ground,,1,1,1
Texas Rangers vs Toronto Blue Jays,2019-05-03,Fly,75.3,4,,4
Texas Rangers vs Toronto Blue Jays,2019-05-03,Fly,92.3,5,,5
Texas Rangers vs Toronto Blue Jays,2019-05-03,Fly,79.2,1,1,1
Texas Rangers vs Toronto Blue Jays,2019-05-03,Fly,101.4,5,,5
Philadelphia Phillies vs Miami Marlins,2019-04-27,Ground,,2,2,2
Philadelphia Phillies vs Miami Marlins,2019-04-27,Ground,,2,,2
Philadelphia Phillies vs Miami Marlins,2019-04-27,Fly,77.5,3,,3
Philadelphia Phillies vs Miami Marlins,2019-04-27,Batter hits self,,1,1,1
Philadelphia Phillies vs Miami Marlins,2019-04-27,Pop Up,60.8,1,,1
Philadelphia Phillies vs Miami Marlins,2019-04-27,Fly,94.4,5,7,5
Philadelphia Phillies vs Miami Marlins,2019-04-27,Ground,68.9,2,,2
Philadelphia Phillies vs Miami Marlins,2019-04-27,Ground,,2,,2
Philadelphia Phillies vs Miami Marlins,2019-04-27,Ground,,1,1,1
Philadelphia Phillies vs Miami Marlins,2019-04-27,Fly,83.1,4,4,4
Philadelphia Phillies vs Miami Marlins,2019-04-27,Ground,,2,,2
Philadelphia Phillies vs Miami Marlins,2019-04-27,Batter hits self,,1,1,1
Philadelphia Phillies vs Miami Marlins,2019-04-27,Fly,,3,,3
Philadelphia Phillies vs Miami Marlins,2019-04-27,Ground,,2,,2
Philadelphia Phillies vs Miami Marlins,2019-04-27,Fly,,2,,2
Philadelphia Phillies vs Miami Marlins,2019-04-27,Fly,95.9,4,4,4
Philadelphia Phillies vs Miami Marlins,2019-04-27,Ground,,3,3,3
Philadelphia Phillies vs Miami Marlins,2019-04-27,Ground,,1,1,1
Philadelphia Phillies vs Miami Marlins,2019-04-27,Ground,,5,,5
Philadelphia Phillies vs Miami Marlins,2019-04-27,Ground,87.1,4,4,4
Philadelphia Phillies vs Miami Marlins,2019-04-27,Fly,75.3,5,,5
Philadelphia Phillies vs Miami Marlins,2019-04-27,Fly,74.4,5,,5
Philadelphia Phillies vs Miami Marlins,2019-04-27,Batter hits self,,1,1,1
Philadelphia Phillies vs Miami Marlins,2019-04-27,Fly,69.7,5,,5
Philadelphia Phillies vs Miami Marlins,2019-04-27,Fly,91.7,4,4,4
Philadelphia Phillies vs Miami Marlins,2019-04-27,Ground,,2,,2
Philadelphia Phillies vs Miami Marlins,2019-04-27,Fly,68,5,,5
Philadelphia Phillies vs Miami Marlins,2019-04-27,Ground,,4,,4
Philadelphia Phillies vs Miami Marlins,2019-04-27,Ground,,2,,2
Philadelphia Phillies vs Miami Marlins,2019-04-27,Fly,70.2,1,1,1
Philadelphia Phillies vs Miami Marlins,2019-04-27,Fly,79.1,2,4,4
Philadelphia Phillies vs Miami Marlins,2019-04-27,Fly,85.6,2,4,4
Philadelphia Phillies vs Miami Marlins,2019-04-27,Fly,73.7,4,,4
Philadelphia Phillies vs Miami Marlins,2019-04-27,Fly,64,4,,4
Philadelphia Phillies vs Miami Marlins,2019-04-27,Fly,,5,,5
Philadelphia Phillies vs Miami Marlins,2019-04-27,Fly,73.1,3,,3
Philadelphia Phillies vs Miami Marlins,2019-04-27,Fly,99.4,4,,4
Philadelphia Phillies vs Miami Marlins,2019-04-27,Fly,69.4,5,,5
Philadelphia Phillies vs Miami Marlins,2019-04-27,Fly,74.9,3,,3
Philadelphia Phillies vs Miami Marlins,2019-04-27,Fly,,5,,5
Philadelphia Phillies vs Miami Marlins,2019-04-27,Fly,75,5,,5
Philadelphia Phillies vs Miami Marlins,2019-04-27,Pop Up,73.4,1,,1
Philadelphia Phillies vs Miami Marlins,2019-04-27,Fly,,4,,4
Philadelphia Phillies vs Miami Marlins,2019-04-27,Fly,72.7,4,,4
Philadelphia Phillies vs Miami Marlins,2019-04-27,Ground,,5,,5
Philadelphia Phillies vs Miami Marlins,2019-04-27,Batter hits self,,1,,1
Philadelphia Phillies vs Miami Marlins,2019-04-27,Fly,73.7,3,5,5
Philadelphia Phillies vs Miami Marlins,2019-04-27,Fly,71,2,,2
Philadelphia Phillies vs Miami Marlins,2019-04-27,Fly,66.4,3,,3
Philadelphia Phillies vs Miami Marlins,2019-04-27,Ground,,1,,1
Philadelphia Phillies vs Miami Marlins,2019-04-27,Fly,72.4,4,,4
Philadelphia Phillies vs Miami Marlins,2019-04-27,Ground,100.7,4,4,4
Philadelphia Phillies vs Miami Marlins,2019-04-27,Ground,,4,4,4
Philadelphia Phillies vs Miami Marlins,2019-04-27,Fly,,2,,2
Philadelphia Phillies vs Miami Marlins,2019-04-27,Fly,77.8,4,,4
Philadelphia Phillies vs Miami Marlins,2019-04-27,Pop Up,71.3,1,,1
Philadelphia Phillies vs Miami Marlins,2019-04-27,Fly,64.7,4,,4
Philadelphia Phillies vs Miami Marlins,2019-04-27,Fly,,5,,5
Philadelphia Phillies vs Miami Marlins,2019-04-27,Ground,58.9,4,4,4
Philadelphia Phillies vs Miami Marlins,2019-04-27,Ground,69.3,2,,2
Philadelphia Phillies vs Miami Marlins,2019-04-27,Fly,,2,,2
Philadelphia Phillies vs Miami Marlins,2019-04-27,Line,39.9,1,1,1
Philadelphia Phillies vs Miami Marlins,2019-04-27,Line,,1,1,1
Philadelphia Phillies vs Miami Marlins,2019-04-27,Fly,63.1,5,,5
Philadelphia Phillies vs Miami Marlins,2019-04-27,Fly,78.8,4,,4
Philadelphia Phillies vs Miami Marlins,2019-04-27,Fly,77.4,4,,4
Philadelphia Phillies vs Miami Marlins,2019-04-27,Line,,1,1,1
Philadelphia Phillies vs Miami Marlins,2019-04-27,Pop Up,56.8,1,,1
Philadelphia Phillies vs Miami Marlins,2019-04-27,Line,,1,1,1
Philadelphia Phillies vs Miami Marlins,2019-04-27,Line,,1,1,1
Philadelphia Phillies vs Miami Marlins,2019-04-27,Batter hits self,,1,1,1
Philadelphia Phillies vs Miami Marlins,2019-04-27,Ground,,4,,4
Philadelphia Phillies vs Miami Marlins,2019-04-27,Fly,,5,,5
Philadelphia Phillies vs Miami Marlins,2019-04-27,Fly,78,5,,5
Philadelphia Phillies vs Miami Marlins,2019-04-27,Ground,,4,,4
Oakland A's vs Houston Astros,2019-06-02,Fly,82.6,5,,5
Oakland A's vs Houston Astros,2019-06-02,Fly,,1,1,1
Oakland A's vs Houston Astros,2019-06-02,Ground,77.9,1,1,1
Oakland A's vs Houston Astros,2019-06-02,Line,,1,1,1
Oakland A's vs Houston Astros,2019-06-02,Ground,62.5,2,,2
Oakland A's vs Houston Astros,2019-06-02,Fly,76.1,5,,5
Oakland A's vs Houston Astros,2019-06-02,Fly,76,2,,2
Oakland A's vs Houston Astros,2019-06-02,Fly,75.7,5,,5
Oakland A's vs Houston Astros,2019-06-02,Ground,87.3,4,,4
Oakland A's vs Houston Astros,2019-06-02,Ground,,2,,2
Oakland A's vs Houston Astros,2019-06-02,Fly,,5,,5
Oakland A's vs Houston Astros,2019-06-02,Fly,77.2,3,,3
Oakland A's vs Houston Astros,2019-06-02,Fly,75.6,3,,3
Oakland A's vs Houston Astros,2019-06-02,Line,92.4,4,4,4
Oakland A's vs Houston Astros,2019-06-02,Ground,,1,1,1
Oakland A's vs Houston Astros,2019-06-02,Fly,91.1,5,5,5
Oakland A's vs Houston Astros,2019-06-02,Line,79,1,1,1
Oakland A's vs Houston Astros,2019-06-02,Fly,70.3,4,,4
Oakland A's vs Houston Astros,2019-06-02,Fly,77.4,2,,2
Oakland A's vs Houston Astros,2019-06-02,Line,,1,1,1
Oakland A's vs Houston Astros,2019-06-02,Fly,89.7,4,4,4
Oakland A's vs Houston Astros,2019-06-02,Line,,1,1,1
Oakland A's vs Houston Astros,2019-06-02,Fly,77,3,,3
Oakland A's vs Houston Astros,2019-06-02,Fly,80.3,1,1,1
Oakland A's vs Houston Astros,2019-06-02,Fly,86.1,5,5,5
Oakland A's vs Houston Astros,2019-06-02,Fly,72.1,3,,3
Oakland A's vs Houston Astros,2019-06-02,Ground,58.4,1,1,1
Oakland A's vs Houston Astros,2019-06-02,Fly,74.7,3,,3
Oakland A's vs Houston Astros,2019-06-02,Line,,5,5,5
Oakland A's vs Houston Astros,2019-06-02,Ground,84.6,5,5,5
Oakland A's vs Houston Astros,2019-06-02,Fly,,5,,5
Oakland A's vs Houston Astros,2019-06-02,Line,,1,1,1
Oakland A's vs Houston Astros,2019-06-02,Fly,67.1,2,,2
Oakland A's vs Houston Astros,2019-06-02,Fly,82.4,5,5,5
Oakland A's vs Houston Astros,2019-06-02,Fly,,1,1,1
Oakland A's vs Houston Astros,2019-06-02,Line,82.6,5,5,5
Oakland A's vs Houston Astros,2019-06-02,Fly,,3,5,5
Oakland A's vs Houston Astros,2019-06-02,Fly,,2,,2
Oakland A's vs Houston Astros,2019-06-02,Fly,75.8,4,,4
Oakland A's vs Houston Astros,2019-06-02,Ground,,5,,5
Oakland A's vs Houston Astros,2019-06-02,Fly,,3,,3
Oakland A's vs Houston Astros,2019-06-02,Fly,67.6,2,,2
Oakland A's vs Houston Astros,2019-06-02,Fly,67.9,2,,2
Oakland A's vs Houston Astros,2019-06-02,Line,47.3,5,5,5
Oakland A's vs Houston Astros,2019-06-02,Fly,81.3,5,5,5
Oakland A's vs Houston Astros,2019-06-02,Fly,82.9,5,,5
Oakland A's vs Houston Astros,2019-06-02,Fly,77.1,5,,5
Oakland A's vs Houston Astros,2019-06-02,Ground,53.1,1,1,1
Oakland A's vs Houston Astros,2019-06-02,Fly,,3,,3
Oakland A's vs Houston Astros,2019-06-02,Fly,68.3,2,,2
Oakland A's vs Houston Astros,2019-06-02,Fly,78.5,3,,3
Oakland A's vs Houston Astros,2019-06-02,Fly,,4,,4
Oakland A's vs Houston Astros,2019-06-02,Fly,,5,5,5
Oakland A's vs Houston Astros,2019-06-02,Ground,83.7,4,4,4
Oakland A's vs Houston Astros,2019-06-02,Fly,75.6,5,,5
Oakland A's vs Houston Astros,2019-06-02,Fly,79.9,1,1,1
Oakland A's vs Houston Astros,2019-06-02,Line,58.8,1,1,1
Oakland A's vs Houston Astros,2019-06-02,Fly,78.4,1,1,1
Oakland A's vs Houston Astros,2019-06-02,Fly,83.5,4,4,4
Oakland A's vs Houston Astros,2019-06-02,Fly,,4,,4
Oakland A's vs Houston Astros,2019-06-02,Fly,,5,,5
Oakland A's vs Houston Astros,2019-06-02,Pop Up,78.2,1,,1
Oakland A's vs Houston Astros,2019-06-02,Fly,84.7,4,4,4
Oakland A's vs Houston Astros,2019-06-02,Fly,74.2,4,,4
Oakland A's vs Houston Astros,2019-06-02,Fly,77.1,1,1,1
Oakland A's vs Houston Astros,2019-06-02,Ground,92.7,5,5,5
Oakland A's vs Houston Astros,2019-06-02,Fly,77.6,3,,3
Oakland A's vs Houston Astros,2019-06-02,Ground,71.9,5,5,5
Oakland A's vs Houston Astros,2019-06-02,Fly,70.9,5,,5
Oakland A's vs Houston Astros,2019-06-02,Ground,,4,4,4
Oakland A's vs Houston Astros,2019-06-02,Ground,103,5,5,5
Oakland A's vs Houston Astros,2019-06-02,Fly,,3,,3
Oakland A's vs Houston Astros,2019-06-02,Pop Up,76.8,1,1,1
Oakland A's vs Houston Astros,2019-06-02,Ground,,1,1,1
Oakland A's vs Houston Astros,2019-06-02,Ground,61,2,,2
Oakland A's vs Houston Astros,2019-06-02,Line,,1,1,1
Oakland A's vs Houston Astros,2019-06-02,Fly,74.1,5,,5
Oakland A's vs Houston Astros,2019-06-02,Fly,75.3,3,,3
Oakland A's vs Houston Astros,2019-06-02,Fly,78.1,3,,3
Oakland A's vs Houston Astros,2019-06-02,Line,,1,1,1
Oakland A's vs Houston Astros,2019-06-02,Ground,65.3,1,1,1
Oakland A's vs Houston Astros,2019-06-02,Fly,82,3,,3
Oakland A's vs Houston Astros,2019-06-02,Fly,96,4,4,4
Oakland A's vs Houston Astros,2019-06-02,Fly,79.4,5,,5
Oakland A's vs Houston Astros,2019-06-02,Ground,,5,,5
Oakland A's vs Houston Astros,2019-06-02,Ground,78.7,1,1,1
Oakland A's vs Houston Astros,2019-06-02,Ground,83,3,,3
Oakland A's vs Houston Astros,2019-06-02,Fly,,4,,4
Oakland A's vs Houston Astros,2019-06-02,Ground,62.5,5,,5
Oakland A's vs Houston Astros,2019-06-02,Ground,99.9,5,5,5
Oakland A's vs Houston Astros,2019-06-02,Fly,66.1,3,,3
Oakland A's vs Houston Astros,2019-06-02,Fly,68.2,5,,5
Oakland A's vs Houston Astros,2019-06-02,Fly,,5,,5
Oakland A's vs Houston Astros,2019-06-02,Fly,73.3,2,,2
Oakland A's vs Houston Astros,2019-06-02,Fly,,4,,4
Oakland A's vs Houston Astros,2019-06-02,Fly,76.7,2,,2
Oakland A's vs Houston Astros,2019-06-02,Pop Up,69.7,1,1,1
Oakland A's vs Houston Astros,2019-06-02,Fly,,5,,5
Oakland A's vs Houston Astros,2019-06-02,Fly,76,4,,4
Oakland A's vs Houston Astros,2019-06-02,Fly,76.3,2,,2
Oakland A's vs Houston Astros,2019-06-02,Fly,69.9,2,,2
Oakland A's vs Houston Astros,2019-06-02,Ground,70.2,2,,2
Oakland A's vs Houston Astros,2019-06-02,Ground,57.5,5,5,5
Oakland A's vs Houston Astros,2019-06-02,Ground,,1,1,1
Oakland A's vs Houston Astros,2019-06-02,Fly,88.2,5,,5
Oakland A's vs Houston Astros,2019-06-02,Line,80.7,1,1,1
Oakland A's vs Houston Astros,2019-06-02,Fly,79.8,1,1,1
Oakland A's vs Houston Astros,2019-06-02,Fly,72.8,1,1,1
Oakland A's vs Houston Astros,2019-06-02,Ground,84.1,5,5,5
Atlanta Braves vs New York Mets,2019-04-14,Fly,,4,,4
Atlanta Braves vs New York Mets,2019-04-14,Fly,70.2,4,,4
Atlanta Braves vs New York Mets,2019-04-14,Fly,85,1,1,1
Atlanta Braves vs New York Mets,2019-04-14,Fly,,5,,5
Atlanta Braves vs New York Mets,2019-04-14,Fly,60,4,,4
Atlanta Braves vs New York Mets,2019-04-14,Fly,86.8,5,5,5
Atlanta Braves vs New York Mets,2019-04-14,Fly,,5,,5
Atlanta Braves vs New York Mets,2019-04-14,Ground,,4,,4
Atlanta Braves vs New York Mets,2019-04-14,Fly,78.3,5,,5
Atlanta Braves vs New York Mets,2019-04-14,Pop Up,80.5,1,1,1
Atlanta Braves vs New York Mets,2019-04-14,Fly,80.9,4,,4
Atlanta Braves vs New York Mets,2019-04-14,Fly,76.4,2,,2
Atlanta Braves vs New York Mets,2019-04-14,Fly,78.4,5,,5
Atlanta Braves vs New York Mets,2019-04-14,Line,96.5,5,5,5
Atlanta Braves vs New York Mets,2019-04-14,Fly,73.9,1,1,1
Atlanta Braves vs New York Mets,2019-04-14,Fly,71.4,2,,2
Atlanta Braves vs New York Mets,2019-04-14,Pop Up,78.4,1,1,1
Atlanta Braves vs New York Mets,2019-04-14,Fly,,5,,5
Atlanta Braves vs New York Mets,2019-04-14,Fly,75.9,1,1,1
Atlanta Braves vs New York Mets,2019-04-14,Ground,61.7,5,,5
Atlanta Braves vs New York Mets,2019-04-14,Fly,76.8,5,,5
Atlanta Braves vs New York Mets,2019-04-14,Fly,,5,,5
Atlanta Braves vs New York Mets,2019-04-14,Fly,,5,,5
Atlanta Braves vs New York Mets,2019-04-14,Fly,,4,,4
Atlanta Braves vs New York Mets,2019-04-14,Fly,78,1,1,1
Atlanta Braves vs New York Mets,2019-04-14,Fly,,5,,5
Atlanta Braves vs New York Mets,2019-04-14,Ground,61.8,5,5,5
Atlanta Braves vs New York Mets,2019-04-14,Fly,84.4,1,1,1
Atlanta Braves vs New York Mets,2019-04-14,Fly,76,1,1,1
Atlanta Braves vs New York Mets,2019-04-14,Pop Up,71.5,1,1,1
Atlanta Braves vs New York Mets,2019-04-14,Fly,,2,,2
Atlanta Braves vs New York Mets,2019-04-14,Ground,69.5,5,,5
Atlanta Braves vs New York Mets,2019-04-14,Ground,76.8,5,5,5
Atlanta Braves vs New York Mets,2019-04-14,Line,,1,1,1
Atlanta Braves vs New York Mets,2019-04-14,Fly,74.7,2,,2
Atlanta Braves vs New York Mets,2019-04-14,Fly,69.2,2,,2
Atlanta Braves vs New York Mets,2019-04-14,Line,67.1,3,,3
Atlanta Braves vs New York Mets,2019-04-14,Fly,75.9,1,1,1
Atlanta Braves vs New York Mets,2019-04-14,Fly,70.7,4,,4
Atlanta Braves vs New York Mets,2019-04-14,Fly,,1,1,1
Atlanta Braves vs New York Mets,2019-04-14,Fly,,5,,5
Atlanta Braves vs New York Mets,2019-04-14,Fly,91.5,4,4,4
