"food","characteristic","p_values"
"GROUP_COOK_FAT_BUTTER_OR_GHEE_TOTAL_GRAMS","right_hand",0.232828
"NIACIN_EQUIV_NE","heart_disease",0.232857
"COLDCEREALQUAN","unfavCable",0.232869
"MALS","quit_smoking",0.232912
"SODACAFFEINE","quit_smoking",0.232991
"F18D3CN3","mathReading",0.233092
"MILKONCEREALFREQ","readingMath",0.233097
"DT_COPP","yesCrash",0.233108
"COFFEEDRINKSKIND","Jewish",0.233202
"VITE_IU","currently_smoke",0.233241
"CANNEDFRUITQUAN","unfavCable",0.233302
"POTATOESFREQ","cat",0.233302
"CALCIUMQUAN","readingMath",0.233342
"DT_S120","heart_disease",0.233518
"F24D1C","diabetes",0.233642
"DT_FOLAC","currently_smoke",0.233654
"GROUP_TURKEY_BURGER_THE_MEAT_TOTAL_GRAMS","noCrash",0.233655
"MILKONCEREALFREQ","mathReading",0.233706
"GROUP_RIBS_SPARERIBS_BBQ_TOTAL_GRAMS","heart_disease",0.233718
"CHOLNFR","neutralCable",0.233765
"GROUP_SAUSAGE_BACON_TOTAL_GRAMS","atheist",0.233808
"GROUP_ALCOHOLICBEVERAGES_TOTAL_GRAMS","atheist",0.233813
"D_CHEESE","favCable",0.233821
"CREAMCHEESEQUAN","right_hand",0.233831
"TYR_G","smoke_rarely",0.233871
"D_MILK","uhCrash",0.233928
"TOMATOJUICEFREQ","heart_disease",0.233985
"V_REDOR_TOTAL","noCrash",0.234045
"PSVEGORN","noCrash",0.234045
"DT_M201","favCable",0.234089
"BCOMPLEXTYPEVITSYEARS","atheist",0.234096
"DT_B12AD","diabetes",0.234101
"TOCTRB","noCrash",0.2342
"CHICKENSKINTYPE","currently_smoke",0.23426
"CHICKENSKINTYPE","belly",0.23426
"SALTFREQ","currently_smoke",0.23426
"ICEDTEAFREQ","cancer",0.234351
"GROUP_OTHER_SOUP_TOTAL_GRAMS","heart_disease",0.234411
"OTHERFRESHFRUITFREQ","unfavCable",0.234443
"OYSTERSQUAN","dog",0.23451
"SOMEJUICEFREQ","favCable",0.234566
"MEALREPLACEMENTDRINKSFREQ","never_smoked",0.234603
"MEALREPLACEMENTDRINKSFREQ","ever_smoked",0.234603
"SUP_OLEIC","uhCrash",0.234617
"GROUP_BISCUITS_SCONES_CROISSANTS_TOTAL_GRAMS","Dems",0.234657
"PF_NUTSDS","never_smoked",0.23468
"PSNUTSD","never_smoked",0.23468
"PF_NUTSDS","ever_smoked",0.23468
"PSNUTSD","ever_smoked",0.23468
"TOFUQUAN","unfavCable",0.234866
"PASTRIESQUAN","unfavCable",0.234866
"DECAFHOTTEATYPE","unfavCable",0.234866
"ASP_G","Dems",0.234898
"GROUP_CORN_PUFFS_TWISTS_SOY_POTATO_CHIPS_TOTAL_GRAMS","quit_smoking",0.234924
"GROUP_SODA_SUGAR_CAFFEINE_TOTAL_GRAMS","currently_smoke",0.234983
"GROUP_SODA_SUGAR_CAFFEINE_TOTAL_GRAMS","belly",0.234983
"DT_PROT_VEGETABLE","heart_disease",0.235008
"VITAMINCAMOUNT","rash",0.235099
"SUP_VITA","quit_smoking",0.235147
"SPAGHETTIFREQ","cat",0.235156
"GROUP_COOKIES_LOW_FAT_TOTAL_GRAMS","uhCrash",0.235173
"COCKTAILSQUAN","noCrash",0.235251
"CORNBREADFREQ","Jewish",0.23533
"LUTEOL","yesCrash",0.235404
"GROUP_PROTEIN_ENERGY_BARS_TOTAL_GRAMS","quit_smoking",0.235417
"FRIEDORBREADEDCHICKENQUAN","yesCrash",0.235504
"GROUP_OJ_GRAPEFRUIT_JUICE_NOT_CALCIUM_FORTIFIED_TOTAL_GRAMS","favCable",0.235504
"ADD_SUGARS","currently_smoke",0.23554
"POTATOESQUAN","Dems",0.235588
"PAC_7","rash",0.2356
"SPAGHETTIFREQ","smoke_rarely",0.235815
"COTTAGECHEESEFREQ","smoke_often",0.235863
"COTTAGECHEESEFREQ","Jewish",0.235863
"SALMONQUAN","unfavCable",0.235924
"AVOCADOQUAN","heart_disease",0.235926
"TOCPHB","unfavCable",0.236066
"LYS_G","diabetes",0.236119
"DONUTSFREQ","uhCrash",0.23628
"QUERCE","right_hand",0.236334
"PANCAKEFREQ","smoke_often",0.236404
"GROUP_ICE_TEA_BOTTLE_NO_SUGAR_TOTAL_GRAMS","heart_disease",0.236426
"GROUP_HOT_TEA_DECAF_TOTAL_GRAMS","readingMath",0.23643
"DT_VITK","atheist",0.236453
"SUP_VITD","uhCrash",0.236549
"GROUP_SUGARYBEVG_TOTAL_FREQUENCY","noCrash",0.236598
"COCOAFREQ","favCable",0.236608
"OTHERBREADSQUAN","right_hand",0.236664
"QUERCE","belly",0.236695
"GROUP_APPLES_PEARS_RAW_TOTAL_GRAMS","mathReading",0.236703
"V_OTHER","cancer",0.23673
"GRITSFREQ","neutralCable",0.236755
"GROUP_LATTE_CAPPUCCINO_WHOLE_MILK_TOTAL_GRAMS","ever_smoked",0.236783
"GROUP_LATTE_CAPPUCCINO_WHOLE_MILK_TOTAL_GRAMS","never_smoked",0.236783
"ORANGESQUAN","unfavCable",0.236793
"A_NUT_S","never_smoked",0.236826
"A_NUT_S","ever_smoked",0.236826
"PAC10","quit_smoking",0.236846
"TACOQUAN","neutralCable",0.236863
"GROUP_MARGARINE_AT_TABLE_TOTAL_GRAMS","uhCrash",0.236876
"HYP","neutralCable",0.236886
"THEAFLV33D","rash",0.236886
"LENTILSOUPQUAN","mathReading",0.236909
"BROWNRICEFREQ","left_hand",0.237111
"GROUP_VEAL_LAMB_GOAT_GAME_TOTAL_GRAMS","noCrash",0.237181
"GRITSQUAN","never_smoked",0.237242
"GRITSQUAN","ever_smoked",0.237242
"LEMONADEFREQ","belly",0.237326
"MEALREPLACEMENTDRINKSTYPE","never_smoked",0.237385
"MEALREPLACEMENTDRINKSTYPE","ever_smoked",0.237385
"D_YOGURT","rash",0.237448
"BROCCOLIFREQ","never_smoked",0.237498
"BROCCOLIFREQ","ever_smoked",0.237498
"GROUP_YOGURT_PLAIN_LOW_FAT_TOTAL_GRAMS","mathReading",0.237509
"GROUP_CARROTS_CARROT_MIXES_TOTAL_GRAMS","yesCrash",0.237564
"BISCUITFREQ","currently_smoke",0.237586
"GROUP_REGULAR_KOOLAID_TOTAL_GRAMS","atheist",0.23764
"LATINO","unfavCable",0.237734
"OXALIC_ACID","smoke_rarely",0.237782
"T_FLAVAN3OLS","ever_smoked",0.237793
"T_FLAVAN3OLS","never_smoked",0.237793
"GROUP_CHEERIOS_PLAIN_OR_MULTI_GRAIN_TOTAL_GRAMS","quit_smoking",0.237799
"BROCCOLIFREQ","right_hand",0.237804
"DT_SUG_T","Dems",0.237844
"MAYOTYPE","left_hand",0.237921
"A_NUT_S","Jewish",0.237966
"HAMBURGERTYPE","heart_disease",0.238072
"GROUP_COOK_FAT_BUTTER_OR_GHEE_TOTAL_GRAMS","atheist",0.238107
"GROUP_OTHER_NOODLES_WHOLE_GRAIN_TOTAL_GRAMS","uhCrash",0.238188
"DT_TFAT","neutralCable",0.238191
"GROUP_GREEN_SALAD_RAW_SPINACH_TOTAL_GRAMS","rash",0.238246
"CHOCOLATECANDYFREQ","noCrash",0.238309
"GROUP_COOKIES_REGULAR_TOTAL_GRAMS","belly",0.238314
"G_TOTAL","belly",0.238349
"PSGTOT","belly",0.238349
"OTHERCANDIESFREQ","Jewish",0.238389
"MEATBALLSQUAN","smoke_often",0.238408
"ROASTCHICKENQUAN","smoke_often",0.238408
"GROUP_WATER_BOTTLED_OR_TAP_TOTAL_GRAMS","quit_smoking",0.238439
"CALCIUMYEARS","belly",0.238478
"DT_CRYPT","smoke_often",0.238479
"GROUP_BREAD_WHOLE_GRAIN_TOTAL_GRAMS","smoke_rarely",0.238481
"DRIEDFRUITFREQ","cat",0.238483
"FATOILFREQ","belly",0.238612
"PF_CUREDMEAT","left_hand",0.238616
"GROUP_ALCOHOLICBEVERAGES_TOTAL_GRAMS","belly",0.238617
"GROUP_RAISIN_BRAN_TOTAL_GRAMS","uhCrash",0.238649
"DT_TFOL","never_smoked",0.238736
"DT_TFOL","ever_smoked",0.238736
"GROUP_SHREDDED_WHEAT_TOTAL_GRAMS","mathReading",0.238784
"THEAFLAVIN","rash",0.238905
"F18D2CLA","right_hand",0.238914
"PHE_G","diabetes",0.238957
"VITAMINB6YEARS","cat",0.23896
"YOGURTQUAN","favCable",0.238965
"DT_NITROGEN","yesCrash",0.238996
"F22D4","heart_disease",0.238997
"GROUP_ICE_TEA_BOTTLE_NO_SUGAR_TOTAL_GRAMS","uhCrash",0.239019
"GROUP_SAUSAGE_BACON_TOTAL_GRAMS","currently_smoke",0.239038
"GREENBEANSQUAN","atheist",0.239045
"AA_BEV","atheist",0.23914
"GROUP_YOGURT_SWEET_NON_FAT_TOTAL_GRAMS","dog",0.239191
"GROUP_SANDWICH_BUNS_MIX_TOTAL_GRAMS","readingMath",0.239235
"JOBWALKFREQ","quit_smoking",0.239253
"F17D0","Dems",0.239292
"CHILDCAREFREQ","right_hand",0.239296
"CORNBREADFREQ","diabetes",0.239429
"COTTAGECHEESEQUAN","neutralCable",0.239455
"RAISINBRANTYPE","uhCrash",0.239455
"COOKINGFATCORN","neutralCable",0.239455
"MEATSUBSTITUTESQUAN","neutralCable",0.239455
"VEALLAMBGAMEFREQ","uhCrash",0.239467
"GROUP_SANDWICH_BUNS_WHITE_TOTAL_GRAMS","cancer",0.239557
"DT_P183","right_hand",0.23968
"VITAMINDAMOUNT","right_hand",0.23973
"LOWMINS","right_hand",0.239784
"DT_BCARO","smoke_often",0.239802
"DT_FIBE","belly",0.239899
"ASP_G","smoke_rarely",0.239961
"GROUP_TOMATO_VEGETABLE_JUICE_TOTAL_GRAMS","readingMath",0.240102
"SUP_EPA","unfavCable",0.240142
"SUP_DHA","unfavCable",0.240144
"T_FLAVAN3OLS","cat",0.240177
"PRENATALVITSYEARS","left_hand",0.240179
"GROUP_CHOCOLATE_SAUCE_TOPPINGS_TOTAL_GRAMS","dog",0.240197
"SODATYPE","favCable",0.240204
"JOBWALKFREQ","currently_smoke",0.2403
"G_WHOLE","cat",0.240343
"PSGWHL","cat",0.240343
"MN","Dems",0.240434
"THR_G","heart_disease",0.240436
"GROUP_PUMPKIN_SWEET_POTATO_PIE_TOTAL_GRAMS","Dems",0.240473
"COOKINGFATBUTTER","quit_smoking",0.240576
"LACS","yesCrash",0.240589
"VAL_G","diabetes",0.240777
"DELPH","readingMath",0.240801
"ADSUG_NA","heart_disease",0.240814
"GREENSALADQUAN","heart_disease",0.240821
"GREENSALADQUAN","cat",0.240821
"PF_CUREDMEAT","uhCrash",0.24083
"SUP_B2","uhCrash",0.240841
"VITAMINEAMOUNT","cancer",0.240883
"F13D0","unfavCable",0.240975
"VITAMINAAMOUNT","cat",0.241033
"DT_FIBER_INSOL","Dems",0.241036
"DT_SEL","left_hand",0.241061
"FRIEDORBREADEDFISHFREQ","mathReading",0.241084
"PANCAKEFREQ","heart_disease",0.241104
"GROUP_OTHER_BEANS_LENTIL_CHILI_NOT_RICE_AND_BEANS_TOTAL_GRAMS","noCrash",0.241121
"GROUP_STRAWBERRIES_YEAR_ROUND_TOTAL_GRAMS","favCable",0.241138
"ALA_G","heart_disease",0.241163
"GROUP_GREEN_BEANS_PEAS_TOTAL_GRAMS","yesCrash",0.241193
"GROUP_LIQUOR_COCKTAILS_TOTAL_GRAMS","diabetes",0.241265
"DT_S080","smoke_rarely",0.241272
"YOGURTQUAN","right_hand",0.241314
"ORANGEJUICETYPE","cat",0.24133
"SLOWWALKFREQ","right_hand",0.241466
"DT_S100","uhCrash",0.241493
"GROUP_ICE_TEA_HOME_SUGAR_TOTAL_GRAMS","diabetes",0.241543
"DT_M161","cat",0.241569
"DT_FIBER_SOL","currently_smoke",0.241641
"F20D3","atheist",0.241667
"VITAMINB6AMOUNT","mathReading",0.24168
"THEARBIGN","cat",0.241795
"OTHERVEGGIESQUAN","right_hand",0.241993
"GROUP_PORK_FAT_ON_TOTAL_GRAMS","dog",0.242125
"PANTAC","left_hand",0.242141
"F18D3CN6","right_hand",0.242156
"ROASTCHICKENFREQ","mathReading",0.242188
"SUP_CU","favCable",0.242219
"SUP_FOL","right_hand",0.242332
"G_REFINED","mathReading",0.242345
"F_CITMLB","smoke_often",0.242346
"CHOLNSM","heart_disease",0.242498
"PF_POULT","currently_smoke",0.242499
"BISCUITQUAN","rash",0.242558
"KCAL_EXPENDITURE_RECR","smoke_rarely",0.242565
"DT_SEL","diabetes",0.242587
"CEREALBARSFREQ","Dems",0.242592
"SAUCEICECREAMFREQ","Dems",0.242639
"VITAMINB12YEARS","uhCrash",0.242646
"TEASUGARTEASPOONS","yesCrash",0.242666
"TEASUGARTEASPOONS","left_hand",0.242666
"EGGROLLFREQ","favCable",0.242743
"VIGMINS","readingMath",0.242748
"BEERFREQ","right_hand",0.242767
"DT_P184","atheist",0.242889
"R_MEAT_S","mathReading",0.242904
"GROUP_PORK_FAT_ON_TOTAL_GRAMS","cancer",0.242987
"BROWNRICEFREQ","readingMath",0.243091
"F18D2CN6","mathReading",0.243122
"FRIEDORBREADEDCHICKENFREQ","quit_smoking",0.243122
"CREAMINTEA","quit_smoking",0.243143
"JOBLIFTTIME","favCable",0.243143
"GROUP_SALAD_DRESSING_OIL_AND_VINEGAR_TOTAL_GRAMS","favCable",0.243163
"LEMONADETYPE","noCrash",0.243211
"DT_FOLAC","yesCrash",0.243213
"BUTTERQUAN","left_hand",0.243321
"SLICEDCHEESETYPE","left_hand",0.243329
"SLICEDCHEESETYPE","yesCrash",0.243329
"RECRMINS","smoke_often",0.243378
"SLOWWALKTIME","diabetes",0.243398
"GROUP_SANDWICH_BUNS_MULTIGRAIN_TOTAL_GRAMS","never_smoked",0.243449
"GROUP_SANDWICH_BUNS_MULTIGRAIN_TOTAL_GRAMS","ever_smoked",0.243449
"VITAMINEQUAN","unfavCable",0.24353
"F20D3N3","heart_disease",0.243586
"BIOCHANIN_A","yesCrash",0.243616
"DT_PROT","diabetes",0.243628
"V_REDOR_TOTAL","diabetes",0.243643
"PSVEGORN","diabetes",0.243643
"GROUP_CEREAL_GRANOLA_BARS_TOTAL_GRAMS","Dems",0.243645
"SUP_VK","uhCrash",0.243726
"GROUP_SWEET_POTATO_YAM_TOTAL_GRAMS","uhCrash",0.24377
"FOLICACIDAMOUNT","rash",0.24383
"GROUP_FRENCH_FRIES_FRIED_POTATOES_TOTAL_GRAMS","favCable",0.243831
"TRP_G","Dems",0.243832
"ROASTCHICKENQUAN","dog",0.243847
"SUP_OM_3","rash",0.243867
"OTHERNUTSQUAN","unfavCable",0.243963
"PEANUTBUTTERFREQ","unfavCable",0.243963
"GROUP_WINE_RED_TOTAL_GRAMS","uhCrash",0.244243
"GROUP_SPAGHETTI_WITH_MEAT_TOTAL_GRAMS","Dems",0.244257
"GROUP_OTHER_SOUP_TOTAL_GRAMS","left_hand",0.244327
"GROUP_FRIED_OR_COATED_CHIX_NO_SKIN_TOTAL_GRAMS","Dems",0.244328
"REGULARCOFFEETYPE","atheist",0.24433
"VEGETABLESOUPQUAN","right_hand",0.24433
"VEGETABLESOUPQUAN","atheist",0.24433
"VEGETABLESOUPQUAN","noCrash",0.24433
"COOKINGFATBUTTER","noCrash",0.24433
"LEMONADEQUAN","readingMath",0.244372
"GROUP_FROSTED_FLAKES_TOTAL_GRAMS","cat",0.244376
"DT_P226","diabetes",0.24444
"GROUP_TORTILLA_MIX_TOTAL_GRAMS","Dems",0.244459
"GROUP_JAM_JELLY_MARMALADE_TOTAL_GRAMS","favCable",0.244477
"THR_G","yesCrash",0.24448
"ADJ_PUFA","quit_smoking",0.244485
"GROUP_OTHER_CRACKERS_PRETZELS_LOW_FAT_TOTAL_GRAMS","mathReading",0.244504
"ENERGYDRINKSTYPE","uhCrash",0.244553
"OMEGASUPPFREQ","uhCrash",0.244574
"DT_MAGN","quit_smoking",0.244609
"GROUP_BROCCOLI_BRUSSEL_SPROUTS_CHINESE_BROCCOLI_TOTAL_GRAMS","Dems",0.244663
"F_WHOLE","never_smoked",0.244668
"F_WHOLE","ever_smoked",0.244668
"RIBSFREQ","unfavCable",0.244702
"GROUP_PUMPKIN_SWEET_POTATO_PIE_TOTAL_GRAMS","never_smoked",0.244805
"GROUP_PUMPKIN_SWEET_POTATO_PIE_TOTAL_GRAMS","ever_smoked",0.244805
"COOKIESQUAN","cat",0.244824
"GROUP_SUGARYBEVG_TOTAL_KCAL","ever_smoked",0.244933
"GROUP_SUGARYBEVG_TOTAL_KCAL","never_smoked",0.244933
"THEAFLV3PG","cat",0.244976
"F22D4","cat",0.244983
"COOKINGFATCANOLA","left_hand",0.244995
"COOKINGFATCANOLA","yesCrash",0.244995
"COOKINGFATPAMORNONE","yesCrash",0.244995
"GROUP_TORTILLAS_CORN_TOTAL_GRAMS","noCrash",0.245022
"DT_B12AD","heart_disease",0.245033
"PF_MPS_TOTAL","atheist",0.245097
"PSMFP","atheist",0.245097
"GROUP_SALAD_DRESSING_LOW_FAT_TOTAL_GRAMS","ever_smoked",0.245158
"GROUP_SALAD_DRESSING_LOW_FAT_TOTAL_GRAMS","never_smoked",0.245158
"LEMONADETYPE","cancer",0.245188
"VITAMINEYEARS","mathReading",0.24527
"ZINCYEARS","mathReading",0.24527
"CHILDCAREFREQ","currently_smoke",0.245273
"CHILDCAREFREQ","belly",0.245273
"YOGURTFREQ","Dems",0.245299
"OTHERBREADSTYPE","mathReading",0.245317
"SUP_VITA","right_hand",0.245331
"DT_COPP","uhCrash",0.245346
"GROUP_TORTILLA_MIX_TOTAL_GRAMS","never_smoked",0.245426
"GROUP_TORTILLA_MIX_TOTAL_GRAMS","ever_smoked",0.245426
"BEEFPORKDISHQUAN","favCable",0.245478
"THEAFLAVIN","cat",0.245648
"THEAFLV33D","cat",0.245743
"CEREALBARSQUAN","heart_disease",0.245771
"MILKQUAN","heart_disease",0.245771
"MACANDCHEESEQUAN","quit_smoking",0.245784
"YOGURTQUAN","never_smoked",0.245797
"YOGURTQUAN","ever_smoked",0.245797
"GROUP_CHEESE_LOW_FAT_TOTAL_GRAMS","noCrash",0.245805
"BARBECUESAUCEFREQ","ever_smoked",0.245847
"BARBECUESAUCEFREQ","never_smoked",0.245847
"SAUCEICECREAMFREQ","right_hand",0.245926
"TOFUFREQ","dog",0.245931
"WHOLEGRAINCEREALFREQ","dog",0.245936
"OYSTERSFREQ","heart_disease",0.245973
"CREAMCHEESEFREQ","quit_smoking",0.246074
"GROUP_BEER_NON_ALCOHOLIC_TOTAL_GRAMS","never_smoked",0.246168
"GROUP_BEER_NON_ALCOHOLIC_TOTAL_GRAMS","readingMath",0.246168
"GROUP_BEER_NON_ALCOHOLIC_TOTAL_GRAMS","ever_smoked",0.246168
"GROUP_TORTILLAS_CORN_TOTAL_GRAMS","mathReading",0.246173
"PIZZAFREQ","rash",0.246186
"REGULARCOFFEETYPE","cancer",0.246309
"VITAMINAAMOUNT","cancer",0.246343
"GROUP_SPAGHETTI_MEATLESS_TOTAL_GRAMS","uhCrash",0.24643
"GROUP_OTHER_EGGS_OR_OMELETS_TOTAL_GRAMS","cancer",0.246435
"OTHERFRESHFRUITQUAN","diabetes",0.246471
"BISCUITFREQ","diabetes",0.246548
"GROUP_BUTTER_AT_TABLE_TOTAL_GRAMS","rash",0.246563
"F17D1","Dems",0.246585
"GROUP_OATMEAL_WHOLEGRAIN_COOKED_CEREAL_TOTAL_GRAMS","neutralCable",0.246595
"MALS","cat",0.246608
"DT_B12AD","Jewish",0.246609
"QUERCE","smoke_rarely",0.246634
"DT_THIA","smoke_rarely",0.246715
"ICEDTEAQUAN","heart_disease",0.246736
"THEAFLV3G","cat",0.246755
"DT_ACARO","never_smoked",0.246773
"DT_ACARO","ever_smoked",0.246773
"PASTRIESFREQ","heart_disease",0.24698
"DT_PFAT","neutralCable",0.247007
"AF_TOT_S","never_smoked",0.247234
"AF_TOT_S","ever_smoked",0.247234
"DT_S120","currently_smoke",0.247248
"CALCIUMAMOUNT","belly",0.24753
"CORNQUAN","noCrash",0.247543
"VITAMINB12AMOUNT","noCrash",0.247543
"SALSAFREQ","quit_smoking",0.247587
"POPCORNFREQ","smoke_rarely",0.247645
"GROUP_MUSTARD_BBQ_SAUCE_SOY_SAUCE_ETC_TOTAL_GRAMS","uhCrash",0.247697
"F14D1","diabetes",0.247711
"ONEADAYAMOUNT","Dems",0.247728
"GROUP_STEAK_ROAST_FAT_ON_TOTAL_GRAMS","atheist",0.247728
"ROASTCHICKENFREQ","favCable",0.24773
"COOKEDGREENSQUAN","right_hand",0.247801
"PETUNIDIN","quit_smoking",0.24783
"PEONIDIN","smoke_often",0.24805
"GROUP_HIGH_OMEGA3_FISH_TOTAL_GRAMS","noCrash",0.248054
"EATMEAT","dog",0.248139
"EATFISH","dog",0.248139
"TUNAQUAN","heart_disease",0.248139
"ADSUG_NA","Jewish",0.248164
"WATERQUAN","smoke_often",0.248174
"GROUP_VEAL_LAMB_GOAT_GAME_TOTAL_GRAMS","unfavCable",0.248181
"GROUP_LOW_CAL_KOOLAID_TOTAL_GRAMS","neutralCable",0.248298
"GROUP_SUGARYBEVG_TOTAL_FREQUENCY","mathReading",0.248385
"GROUP_FRIED_OR_COATED_CHIX_NO_SKIN_TOTAL_GRAMS","mathReading",0.248422
"GROUP_APPLES_PEARS_RAW_TOTAL_GRAMS","right_hand",0.248444
"F15D0","rash",0.24851
"GROUP_SANDWICH_BUNS_WHITE_TOTAL_GRAMS","noCrash",0.248519
"SER_G","currently_smoke",0.248614
"HEAVYWORKFREQ","belly",0.248643
"OTHERNUTSQUAN","smoke_rarely",0.248668
"SITSTR","unfavCable",0.248696
"DT_PROT_ANIMAL","cat",0.248714
"KCAL_EXPENDITURE_ALL","favCable",0.248755
"SUP_B6","neutralCable",0.248767
"BANANASFREQ","mathReading",0.248776
"ADJ_PUFA","neutralCable",0.248814
"DT_THIA","heart_disease",0.248854
"GI","yesCrash",0.24896
"DT_ATOC","smoke_rarely",0.248986
"GROUP_MIXED_DISH_WITH_BEEF_PORK_TOTAL_GRAMS","left_hand",0.249007
"GROUP_SODA_DIET_CAFFEINE_TOTAL_GRAMS","never_smoked",0.249016
"GROUP_SODA_DIET_CAFFEINE_TOTAL_GRAMS","ever_smoked",0.249016
"DT_S080","Dems",0.249196
"GROUP_FRIED_FISH_FISH_STICKS_SANDWICH_BREADED_FILLETS_TOTAL_GRAMS","mathReading",0.249233
"LOWMINS","left_hand",0.2493
"GROUP_PORK_CHOPS_ROAST_HAM_TOTAL_GRAMS","currently_smoke",0.249364
"ROASTCHICKENQUAN","currently_smoke",0.249381
"MEATBALLSQUAN","currently_smoke",0.249381
"GROUP_FRAPPUCCINO_1_PCT_OR_2_PCT_MILK_TOTAL_GRAMS","mathReading",0.249391
"GROUP_LIFE_TOTAL_GRAMS","mathReading",0.249391
"CHEXOTHERTYPE","mathReading",0.249391
"LIFETYPE","mathReading",0.249391
"FLAXHEMPSEEDOILTYPE","mathReading",0.249391
"FIBERONETYPE","mathReading",0.249391
"COOKINGFATSTICKMARG","mathReading",0.249391
"COOKINGFATLOWFATMARG","mathReading",0.249391
"VITAMINAYEARS","mathReading",0.249391
"OMEGA3DONTKNOWTYPE","mathReading",0.249391
"APPLEJACKSTYPE","mathReading",0.249391
"CAPNCRUNCHTYPE","mathReading",0.249391
"COCOAKRISPIESTYPE","mathReading",0.249391
"COOKINGFATSOFTTUBMARG","mathReading",0.249391
"GROUP_CHEX_OTHER_TOTAL_GRAMS","mathReading",0.249391
"GROUP_COCOA_KRISPIES_PEBBLES_PUFFS_TOTAL_GRAMS","mathReading",0.249391
"GROUP_CAP_N_CRUNCH_TOTAL_GRAMS","mathReading",0.249391
"GROUP_ICE_CREAM_LOW_SUGAR_TOTAL_GRAMS","mathReading",0.249391
"GROUP_APPLE_JACKS_COOKIE_CRISP_TOTAL_GRAMS","mathReading",0.249391
"GROUP_GRAPE_NUTS_TOTAL_GRAMS","mathReading",0.249391
"GROUP_COOK_FAT_MARGARINE_LOW_FAT_TOTAL_GRAMS","mathReading",0.249391
"GROUP_COOK_FAT_MARGARINE_TUB_TOTAL_GRAMS","mathReading",0.249391
"GROUP_COOK_FAT_MARGARINE_STICK_TOTAL_GRAMS","mathReading",0.249391
"SUP_ALA","mathReading",0.249391
"GROUP_MARGARINE_AT_TABLE_TOTAL_GRAMS","ever_smoked",0.249399
"GROUP_MARGARINE_AT_TABLE_TOTAL_GRAMS","never_smoked",0.249399
"PROTEINBARSTYPE","atheist",0.249457
"GROUP_KETCHUP_SALSA_TOTAL_GRAMS","uhCrash",0.249478
"GROUP_MAYO_REGULAR_TOTAL_GRAMS","currently_smoke",0.249575
"GALS","dog",0.249602
"F17D1","quit_smoking",0.249631
"DT_S040","favCable",0.24973
"SALMONQUAN","currently_smoke",0.249742
"DT_PFAT","quit_smoking",0.249755
"MEALREPLACEMENTDRINKSFREQ","neutralCable",0.249785
"CREAMINCOFFEE","currently_smoke",0.249896
"GROUP_HAMBURGER_PATTY_TOTAL_GRAMS","dog",0.249922
"MEALREPLACEMENTDRINKSTYPE","left_hand",0.249934
"MEALREPLACEMENTDRINKSTYPE","yesCrash",0.249934
"MILKTYPE","yesCrash",0.249969
"F_TOTAL","never_smoked",0.250001
"PSFRUIT","never_smoked",0.250001
"F_TOTAL","ever_smoked",0.250001
"PSFRUIT","ever_smoked",0.250001
"MEATSUBSTITUTESQUAN","Dems",0.250003
"HONBUNCHOATSTYPE","Dems",0.250003
"BCOMPLEXTYPEVITSAMOUNT","cat",0.25004
"V_STARCHY_TOTAL","cat",0.250047
"GROUP_PUMPKIN_SWEET_POTATO_PIE_TOTAL_GRAMS","rash",0.25008
"TOCTRG","cancer",0.250131
"ICECREAMQUAN","uhCrash",0.250202
"OTHERFISHQUAN","uhCrash",0.250202
"OTHERNUTSFREQ","quit_smoking",0.250224
"SPAGHETTIFREQ","neutralCable",0.250451
"GROUP_RIBS_SPARERIBS_BBQ_TOTAL_GRAMS","quit_smoking",0.250552
"GROUP_COOKIES_REGULAR_TOTAL_GRAMS","never_smoked",0.250555
"GROUP_COOKIES_REGULAR_TOTAL_GRAMS","ever_smoked",0.250555
"GROUP_SPECIAL_K_PLAIN_TOTAL_GRAMS","neutralCable",0.250572
"GROUP_SPECIAL_K_PLAIN_TOTAL_GRAMS","uhCrash",0.250572
"GROUP_PEANUT_BUTTER_NUT_BUTTER_TOTAL_GRAMS","diabetes",0.250604
"CHOCOLATECANDYFREQ","yesCrash",0.250605
"GROUP_HIGH_OMEGA3_FISH_TOTAL_GRAMS","Jewish",0.250609
"OTHERVEGGIESFREQ","right_hand",0.250654
"TOCPHD","heart_disease",0.250656
"TACOFREQ","smoke_often",0.250724
"DT_POTA","Dems",0.250755
"MET_G","diabetes",0.250829
"GROUP_TABLE_SALT_TOTAL_GRAMS","uhCrash",0.250835
"PUMPKINPIEQUAN","rash",0.250985
"DECAFCOFFEETYPE","rash",0.250985
"COOKINGFATOLIVE","smoke_often",0.250985
"OYSTERSQUAN","mathReading",0.251145
"POTATOESFREQ","neutralCable",0.251177
"MAYOFREQ","belly",0.251325
"CYAD","right_hand",0.251333
"DT_CHOL","left_hand",0.251389
"ORANGEJUICEQUAN","mathReading",0.251445
"EGGSQUAN","smoke_rarely",0.251482
"CAKESFREQ","smoke_rarely",0.251482
"GROUP_LATTE_CAPPUCCINO_SOY_MILK_TOTAL_GRAMS","cat",0.251518
"PAC10","smoke_rarely",0.251553
"F15D0","Dems",0.251588
"SALTQUAN","neutralCable",0.25171
"HEAVYWORKTIME","uhCrash",0.25171
"GROUP_MUSTARD_BBQ_SAUCE_SOY_SAUCE_ETC_TOTAL_GRAMS","dog",0.251745
