name,team,games,category,desc.,year,source
L. Cheek,DAL,3,PEDs,,1990,http://www.nytimes.com/1990/08/17/sports/drug-suspension-for-bax-of-bucs.html
B. Hartmann,WAS,3,PEDs,,2012,http://profootballtalk.nbcsports.com/2012/05/22/hartmann-explains-his-three-game-suspension/
M. Mraz,LA,3,PEDs,,1989,http://articles.latimes.com/1989-08-30/sports/sp-1284_1_nfl-suspends
B. Riley,NYJ,3,PEDs,,1989,http://www.nytimes.com/1989/08/30/sports/two-suspended-jets-are-out-of-a-job.html
C. Benson,DEN,3,Personal conduct,Misdemeanour assault,2014,http://www.foxsports.com/nfl/story/Cincinnati-Bengals-RB-Cedric-Benson-suspended-three-games-092211
A. Berry,CLE,3,Personal conduct,DUI arrest,2012,http://www.nfl.com/news/story/0ap1000000052406/article/aaron-berry-gets-3game-nfl-suspension-for-arrests
J. Felton,CAR,3,Personal conduct,Reckless driving,2013,http://www.nfl.com/news/story/0ap1000000234517/article/minnesota-vikings-jerome-felton-suspended-3-games
C. Haggans,WAS,3,Personal conduct,DUI arrest,2013,http://www.mercurynews.com/49ers/ci_21575932/san-francisco-49ers-linebacker-clark-haggans-suspended?source=rss_viewed
V. Jackson,SD,3,Personal conduct,DUI arrest,2010,http://sports.espn.go.com/nfl/news/story?id=5345629
D. Jarrett,CAR,3,Personal conduct,DUI arrest,2012,http://www.nfl.com/news/story/09000d5d829ad13c/article/dwayne-jarrett-announces-retirement-from-football
M. Jones,JAX,3,Personal conduct,"Arrest, cocaine possession",2009,http://sports.espn.go.com/nfl/news/story?id=4207106
M. Lynch,BUF,3,Personal conduct,Misdemeanour gun charge,2009,http://sports.espn.go.com/nfl/news/story?id=4054396
M. Pittman,TB,3,Personal conduct,Domestic violence,2004,http://sports.espn.go.com/nfl/news/story?id=1826233
D. Washington,KC,3,Personal conduct,"DUI, marijuana-related",2012,http://www.nfl.com/news/story/09000d5d82ab54ab/article/kansas-city-chiefs-donald-washington-charged-with-dui
D.J. Williams,DEN,3,Personal conduct,DUI arrest,2012,http://espn.go.com/nfl/story/_/id/8466699/denver-broncos-linebacker-dj-williams-suspended-3-more-games
L. Irvin,LA,3,Substance abuse,Marijuana-related,1989,http://articles.latimes.com/1989-08-30/sports/sp-1280_1_leroy-irvin
J. Simpson,IND,3,Substance abuse,Marijuana-related,2012,http://espn.go.com/nfl/story/_/id/7849039/free-agent-receiver-jerome-simpson-suspended-three-games-league-source-says
C. Martin,GB,2,In-game violence,Illegal hit,1986,http://espn.go.com/blog/nflnation/tag/_/name/frank-filchock
N. Suh,DET,2,In-game violence,Stomping on player,2011,http://espn.go.com/nfl/story/_/id/7293935/ndamukong-suh-detroit-lions-suspended-two-games-pay
W. Smith,NO,2,PEDs,,2012,http://www.nfl.com/news/story/09000d5d821ea898/article/nfl-suspends-vikes-williams-saints-smith-in-starcaps-case
K. Williams,MIN,2,PEDs,,2011,http://espn.go.com/nfl/story/_/id/6922853/nfl-suspends-minnesota-vikings-kevin-williams-three-others-two-games
P. Williams,MIN,2,PEDs,,2011,http://espn.go.com/nfl/story/_/id/6922853/nfl-suspends-minnesota-vikings-kevin-williams-three-others-two-games
S. Brandon,DEN,2,Personal conduct,Domestic violence,2007,http://www.denverpost.com/broncos/ci_6362668
J. Bridges,ARI,2,Personal conduct,"Arrest, misdemeanour assault for pointing gun at stripper",2012,http://www.newsobserver.com/2012/11/14/2482573/guard-jeremy-bridges-to-get-2nd.html
F. Evans,MIN,2,Personal conduct,Marijuana-related,2012,http://www.nfl.com/news/story/09000d5d80496e88/article/vikings-evans-gets-twogame-suspension-per-nfl-conduct-policy
L. Hill,SEA,2,Personal conduct,Domestic violence,2013,http://www.nfl.com/news/story/0ap1000000132752/article/seattle-seahawks-leroy-hill-arrested-on-assault-charges
M. Leshoure,DET,2,Personal conduct,"Arrest, Marijuana-related",2012,http://www.nfl.com/news/story/09000d5d829cc3b8/article/mikel-leshoure-suspended-two-games-by-nfl
B. McDonald,FREE,2,Personal conduct,,2013,http://www.usatoday.com/story/sports/nfl/2013/09/10/nfl-suspends-tom-zbikowski-brandon-mcdonald/2795979/
B. Underwood,GB,2,Personal conduct,Domestic violence,2011,http://www.nationalfootballpost.com/Report-NFL-suspends-Brandon-Underwood-for-2-games.html
M. Vick,ATL,2,Personal conduct,Dogfighting,2007,http://espn.go.com/blog/nflnation/tag/_/name/frank-filchock
C. Williams,BAL,2,Personal conduct,Domestic violence,2010,http://sports.espn.go.com/nfl/news/story?id=5401102
J. Babineaux,SEA,2,Substance abuse,,2008,http://seattletimes.com/html/seahawks/2008148770_webhawk31.html
J. Gordon,CLE,2,Substance abuse,,2013,http://www.nfl.com/news/story/0ap1000000210218/article/josh-gordon-suspended-two-cleveland-browns-games
D. Goldson,DEN,1,In-game violence,Head-butt,2013,http://www.nfl.com/news/story/0ap2000000284209/article/bucs-dashon-goldson-has-onegame-suspension-upheld
M. Griffin,TEN,1,In-game violence,Illegal hit,2013,http://www.nfl.com/news/story/0ap2000000287948/article/titans-michael-griffin-suspended-1-game-for-illegal-hit
J. Harrison,PIT,1,In-game violence,Helmet-to-helmet hit,2011,http://espn.go.com/nfl/story/_/id/7348112/pittsburgh-steelers-james-harrison-banned-1-game-hit-cleveland-browns-colt-mccoy
J. Mays,DEN,1,In-game violence,Helmet-to-helmet hit,2012,http://www.nfl.com/news/story/0ap1000000066219/article/joe-mays-suspended-one-game-for-hit-on-matt-schaub
B. Meriweather,WAS,1,In-game violence,Helmet-to-helmet hit,2013,http://www.nfl.com/news/story/0ap2000000268595/article/brandon-meriweathers-suspension-reduced-to-1-game
E. Walden,IND,1,In-game violence,Head-butt,2013,http://www.nfl.com/news/story/0ap2000000284117/article/erik-walden-has-onegame-ban-for-headbutt-upheld
J. Babineaux,ATL,1,Personal conduct,Accused of battery and resisting arrest,2010,http://usatoday30.usatoday.com/sports/football/nfl/falcons/2010-08-03-jonathan-babineaux_N.htm
C. Benson,PIT,1,Personal conduct,Misdemeanour assault,2014,http://espn.go.com/nfl/story/_/id/7119178/suspension-cincinnati-bengals-cedric-benson-reduced-1-game-3
R. Bernard,SEA,1,Personal conduct,Assault,2008,http://seattletimes.com/html/seahawks/2008148770_webhawk31.html
M. Boley,NYG,1,Personal conduct,Domestic violence,2009,http://sports.espn.go.com/nfl/news/story?id=4311313
K. Britt,TEN,1,Personal conduct,DUI arrest,2012,http://www.nfl.com/news/story/0ap1000000056660/article/kenny-britt-of-titans-suspended-one-game-by-nfl
D. Carswell,DEN,1,Personal conduct,Domestic violence,2003,http://a.espncdn.com/nfl/news/2003/0703/1576427.html
D. Dobbs,SF,1,Personal conduct,"DUI arrest, possession of marijuana",2013,http://espn.go.com/nfl/trainingcamp13/story/_/id/9568430/demarcus-dobbs-san-francisco-49ers-suspended-week-1
B. Hopkins,TEN,1,Personal conduct,Domestic violence,2005,http://sports.espn.go.com/nfl/columns/story?columnist=pasquarelli_len&id=2138940
L. Johnson,KC,1,Personal conduct,Simple assault for spitting drink in a woman's face,2008,http://sports.espn.go.com/nfl/news/story?id=3675871
R. Manning,CHI,1,Personal conduct,Felony arrest charges,2006,http://sports.espn.go.com/nfl/news/story?id=2672378
B. Marshall,DEN,1,Personal conduct,Domestic violence,2012,http://www.nfl.com/news/story/09000d5d827969b7/article/report-brandon-marshall-accused-of-hitting-woman-outside-club
T. McDaniel,TB,1,Personal conduct,Domestic violence,2010,http://sports.espn.go.com/nfl/news/story?id=5622330
Q. Ojinnaka,ATL,1,Personal conduct,Domestic violence,2010,http://sports.espn.go.com/nfl/news/story?id=5249193
M. Purify,CIN,1,Personal conduct,Disorderly conduct,2010,http://espn.go.com/blog/afcnorth/post/_/id/16670/bengals-wr-purify-suspended-one-game
D. Rhodes,CAR,1,Personal conduct,Reckless driving,2007,http://sports.espn.go.com/nfl/news/story?id=2925395
V. Riley,KC,1,Personal conduct,Domestic violence,2002,http://a.espncdn.com/nfl/news/2003/0703/1576427.html
D. Rodgers,MIA,1,Personal conduct,Domestic violence,2003,http://articles.sun-sentinel.com/2002-07-19/sports/0207190115_1_derrick-rodgers-kareff-rodgers-william-peguero
A. Talib,TB,1,Personal conduct,"Simple battery, resisting arrest",2009,http://www.denverpost.com/broncos/ci_25352579/broncos-cornerback-aqib-talib-comes-denver-plenty-baggage
F. Washington,OAK,1,Personal conduct,Domestic violence,2008,http://espn.go.com/blog/baltimore-ravens/post/_/id/10593/what-punishment-should-ray-rice-expect
P. Zukauskas,CLE,1,Personal conduct,DUI (acquitted),2004,http://www.usatoday.com/sports/nfl/arrests/
N. Bradham,BUF,1,Substance abuse,Marijuana-related,2014,http://www.nfl.com/news/story/0ap2000000371523/article/bills-lb-nigel-bradham-suspended-for-opening-game
N. Collins,CHI,1,Substance abuse,Marijuana-related,2012,http://www.nfl.com/news/story/09000d5d82aaddb5/article/chicago-bears-dt-nate-collins-suspended-one-game-by-nfl
T. Hali,KC,1,Substance abuse,,2012,http://espn.go.com/nfl/trainingcamp12/story/_/id/8284849/kansas-city-chiefs-tamba-hali-suspended-one-game-nfl
I. Pead,STL,1,Substance abuse,Marijuana-related,2013,http://www.nfl.com/news/story/0ap1000000208343/article/isaiah-pead-suspended-for-substance-abuse-violation
D. Reed,BAL,1,Substance abuse,Marijuana-related,2011,http://www.nfl.com/news/story/09000d5d821eb87b/article/ravens-david-reed-suspended-for-substanceabuse-violation
L. Wilson,NO,1,Substance abuse,Marijuana-related,2012,http://profootballtalk.nbcsports.com/2012/07/06/saints-linebacker-lawrence-wilson-suspended-fined-by-league/
D. Scott,MIN,3,Personal conduct,Child endangerment,2008,http://sports.espn.go.com/nfl/news/story?id=3487505
