RespondentID,"In your opinion, which sentence is more gramatically correct?","Prior to reading about it above, had you heard of the serial (or Oxford) comma?","How much, if at all, do you care about the use (or lack thereof) of the serial (or Oxford) comma in grammar?",How would you write the following sentence?,"When faced with using the word ""data"", have you ever spent time considering if the word was a singular or plural noun?","How much, if at all, do you care about the debate over the use of the word ""data"" as a singluar or plural noun?","In your opinion, how important or unimportant is proper use of grammar?",Gender,Age,Household Income,Education,Location (Census Region)
3290966105,"It's important for a person to be honest, kind, and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,A lot,Very important,Male,45-60,"$50,000 - $99,999",Graduate degree,East South Central
3290964895,"It's important for a person to be honest, kind, and loyal.",Yes,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,Not much,Somewhat important,Female,18-29,"$25,000 - $49,999",Bachelor degree,East North Central
3290958163,"It's important for a person to be honest, kind and loyal.",Yes,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,Not much,Very important,Female,> 60,"$25,000 - $49,999",Bachelor degree,Mountain
3290956639,"It's important for a person to be honest, kind, and loyal.",Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,Not much,Somewhat important,Female,30-44,"$150,000+",Graduate degree,South Atlantic
3290956582,"It's important for a person to be honest, kind, and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not at all,Very important,Male,30-44,"$100,000 - $149,999",Bachelor degree,Pacific
3290956209,"It's important for a person to be honest, kind, and loyal.",Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not at all,Somewhat important,Female,30-44,"$50,000 - $99,999",High school degree,South Atlantic
3290954334,"It's important for a person to be honest, kind, and loyal.",Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",No,A lot,Very important,Female,18-29,"$0 - $24,999",Some college or Associate degree,Pacific
3290950589,"It's important for a person to be honest, kind, and loyal.",Yes,A lot,"Some experts say it's important to drink milk, but the data are inconclusive.",No,Not at all,Very important,Female,18-29,,High school degree,Mountain
3290948312,"It's important for a person to be honest, kind, and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data are inconclusive.",Yes,Some,Very important,Male,30-44,"$50,000 - $99,999",Bachelor degree,
3290946002,"It's important for a person to be honest, kind and loyal.",No,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not at all,Very important,Female,> 60,,Some college or Associate degree,Middle Atlantic
3290939787,"It's important for a person to be honest, kind, and loyal.",Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,A lot,Very important,Male,18-29,"$100,000 - $149,999",High school degree,Middle Atlantic
3290939698,"It's important for a person to be honest, kind, and loyal.",No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important,Female,18-29,"$0 - $24,999",Some college or Associate degree,West North Central
3290938071,"It's important for a person to be honest, kind, and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,Not at all,Somewhat important,Female,18-29,"$50,000 - $99,999",Bachelor degree,East North Central
3290936906,"It's important for a person to be honest, kind and loyal.",No,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,Some,Very important,Female,45-60,"$50,000 - $99,999",Bachelor degree,South Atlantic
3290935592,"It's important for a person to be honest, kind and loyal.",Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Some,Very important,Female,45-60,"$50,000 - $99,999",Some college or Associate degree,East North Central
3290914417,"It's important for a person to be honest, kind, and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,Some,Very important,Female,45-60,"$50,000 - $99,999",Graduate degree,Mountain
3290914012,"It's important for a person to be honest, kind, and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,Some,Very important,Male,> 60,"$100,000 - $149,999",Graduate degree,West North Central
3290901860,"It's important for a person to be honest, kind and loyal.",No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Some,Somewhat important,Female,> 60,"$25,000 - $49,999",Some college or Associate degree,Pacific
3290899316,"It's important for a person to be honest, kind, and loyal.",Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",No,A lot,Very important,Female,18-29,,Bachelor degree,South Atlantic
3290895896,"It's important for a person to be honest, kind and loyal.",No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Somewhat important,Female,45-60,"$50,000 - $99,999",Some college or Associate degree,West South Central
3290894640,"It's important for a person to be honest, kind and loyal.",Yes,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,Some,Very important,Male,> 60,"$50,000 - $99,999",Bachelor degree,East South Central
3290893445,"It's important for a person to be honest, kind and loyal.",No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important,Female,30-44,"$25,000 - $49,999",Bachelor degree,Mountain
3290892772,"It's important for a person to be honest, kind, and loyal.",Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,Some,Very important,Female,30-44,"$0 - $24,999",Bachelor degree,West South Central
3290891200,"It's important for a person to be honest, kind, and loyal.",Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,A lot,Very important,Male,30-44,"$50,000 - $99,999",Bachelor degree,East North Central
3290889338,"It's important for a person to be honest, kind and loyal.",Yes,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Somewhat important,Male,45-60,"$50,000 - $99,999",Some college or Associate degree,Pacific
3290884570,"It's important for a person to be honest, kind, and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Somewhat important,Male,18-29,"$25,000 - $49,999",Graduate degree,East North Central
3290882028,"It's important for a person to be honest, kind, and loyal.",Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,Not at all,Very important,Female,30-44,"$100,000 - $149,999",Graduate degree,South Atlantic
3290880520,"It's important for a person to be honest, kind, and loyal.",No,Not at all,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important,Male,30-44,,Bachelor degree,East North Central
3290878007,"It's important for a person to be honest, kind and loyal.",No,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Some,Very important,Female,> 60,,Graduate degree,Middle Atlantic
3290874638,"It's important for a person to be honest, kind, and loyal.",No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Some,Very important,Female,> 60,"$100,000 - $149,999",Graduate degree,South Atlantic
3290872774,"It's important for a person to be honest, kind, and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Neither important nor unimportant (neutral),Female,18-29,,Some college or Associate degree,Pacific
3290870942,"It's important for a person to be honest, kind, and loyal.",No,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Some,Somewhat important,Male,30-44,"$50,000 - $99,999",Bachelor degree,South Atlantic
3290864497,"It's important for a person to be honest, kind, and loyal.",Yes,A lot,"Some experts say it's important to drink milk, but the data are inconclusive.",Yes,Some,Very important,Male,45-60,"$100,000 - $149,999",Bachelor degree,East South Central
3290863545,"It's important for a person to be honest, kind and loyal.",Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,A lot,Very important,Male,45-60,"$150,000+",Bachelor degree,Middle Atlantic
3290862245,"It's important for a person to be honest, kind and loyal.",No,Not at all,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not at all,Somewhat important,Male,45-60,"$0 - $24,999",High school degree,South Atlantic
3290860245,"It's important for a person to be honest, kind, and loyal.",No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Some,Very important,Female,30-44,,Bachelor degree,Middle Atlantic
3290859790,"It's important for a person to be honest, kind, and loyal.",Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,Some,Very important,Male,45-60,"$150,000+",Some college or Associate degree,East North Central
3290859605,"It's important for a person to be honest, kind, and loyal.",No,Not at all,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not at all,Very important,Male,45-60,"$50,000 - $99,999",Graduate degree,South Atlantic
3290859441,"It's important for a person to be honest, kind, and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data are inconclusive.",No,Some,Very important,Male,45-60,,Some college or Associate degree,Mountain
3290858901,"It's important for a person to be honest, kind, and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Some,Very important,Male,45-60,"$50,000 - $99,999",Graduate degree,West South Central
3290857908,"It's important for a person to be honest, kind, and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data are inconclusive.",Yes,Some,Very important,Male,> 60,"$150,000+",Graduate degree,East South Central
3290855725,"It's important for a person to be honest, kind and loyal.",No,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Some,Very important,Female,18-29,"$25,000 - $49,999",High school degree,New England
3290854093,"It's important for a person to be honest, kind and loyal.",Yes,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not at all,Somewhat important,Female,18-29,"$50,000 - $99,999",High school degree,New England
3290850853,"It's important for a person to be honest, kind, and loyal.",No,Not at all,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not at all,Somewhat important,Male,45-60,"$50,000 - $99,999",High school degree,East South Central
3290846809,"It's important for a person to be honest, kind, and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,Not much,Somewhat important,Male,18-29,,Graduate degree,New England
3290846548,"It's important for a person to be honest, kind, and loyal.",No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Somewhat important,Male,18-29,,Some college or Associate degree,East North Central
3290842641,"It's important for a person to be honest, kind and loyal.",No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,Some,Very important,Male,45-60,"$50,000 - $99,999",Some college or Associate degree,South Atlantic
3290842576,"It's important for a person to be honest, kind and loyal.",Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,Not much,Very important,Female,30-44,"$0 - $24,999",High school degree,Pacific
3290842189,"It's important for a person to be honest, kind, and loyal.",Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,Not much,Very important,Male,30-44,"$50,000 - $99,999",Graduate degree,East North Central
3290840885,"It's important for a person to be honest, kind, and loyal.",No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important,Female,45-60,"$50,000 - $99,999",Some college or Associate degree,Mountain
3290838860,"It's important for a person to be honest, kind and loyal.",No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,Not much,Very important,Female,30-44,,Bachelor degree,South Atlantic
3290836189,"It's important for a person to be honest, kind, and loyal.",Yes,A lot,"Some experts say it's important to drink milk, but the data are inconclusive.",Yes,A lot,Very important,Female,30-44,,Graduate degree,New England
3290835532,"It's important for a person to be honest, kind, and loyal.",No,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not at all,Very important,Female,> 60,"$100,000 - $149,999",Some college or Associate degree,West South Central
3290833980,"It's important for a person to be honest, kind, and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,A lot,Very important,Male,45-60,"$150,000+",Graduate degree,West South Central
3290833257,"It's important for a person to be honest, kind, and loyal.",Yes,A lot,"Some experts say it's important to drink milk, but the data are inconclusive.",Yes,Some,Very important,Female,30-44,"$50,000 - $99,999",Graduate degree,Mountain
3290831626,"It's important for a person to be honest, kind, and loyal.",No,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Some,Very important,Female,> 60,"$100,000 - $149,999",High school degree,South Atlantic
3290830298,"It's important for a person to be honest, kind, and loyal.",Yes,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,Not much,Somewhat important,Female,30-44,"$25,000 - $49,999",Bachelor degree,Mountain
3290827102,"It's important for a person to be honest, kind, and loyal.",Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important,Female,18-29,"$25,000 - $49,999",Some college or Associate degree,
3290825706,"It's important for a person to be honest, kind and loyal.",No,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Somewhat important,Female,30-44,"$25,000 - $49,999",Some college or Associate degree,East North Central
3290822258,"It's important for a person to be honest, kind, and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data are inconclusive.",Yes,Not much,Very important,Male,45-60,"$25,000 - $49,999",Graduate degree,South Atlantic
3290820864,"It's important for a person to be honest, kind, and loyal.",Yes,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not at all,Somewhat important,Male,18-29,"$0 - $24,999",Some college or Associate degree,Mountain
3290818859,"It's important for a person to be honest, kind, and loyal.",Yes,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not at all,Very important,Male,45-60,"$50,000 - $99,999",Bachelor degree,Pacific
3290812714,"It's important for a person to be honest, kind and loyal.",No,Not at all,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Some,Very important,Female,30-44,"$50,000 - $99,999",Graduate degree,East North Central
3290809950,"It's important for a person to be honest, kind and loyal.",Yes,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,A lot,Very important,Male,30-44,,Graduate degree,Pacific
3290809611,"It's important for a person to be honest, kind, and loyal.",No,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,A lot,Very important,,,,,
3290809577,"It's important for a person to be honest, kind and loyal.",Yes,Not at all,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,Not much,Very important,Male,> 60,"$50,000 - $99,999",Graduate degree,Middle Atlantic
3290807416,"It's important for a person to be honest, kind and loyal.",No,Not at all,"Some experts say it's important to drink milk, but the data are inconclusive.",Yes,Some,Very important,Male,45-60,,Bachelor degree,Mountain
3290802950,"It's important for a person to be honest, kind, and loyal.",No,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,A lot,Very important,Male,45-60,"$100,000 - $149,999",Graduate degree,West North Central
3290798216,"It's important for a person to be honest, kind, and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not at all,Very important,Female,30-44,"$100,000 - $149,999",Graduate degree,Mountain
3290797742,"It's important for a person to be honest, kind, and loyal.",No,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important,Female,> 60,"$50,000 - $99,999",Some college or Associate degree,Pacific
3290795641,"It's important for a person to be honest, kind, and loyal.",No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Some,Somewhat important,Female,> 60,"$100,000 - $149,999",Graduate degree,New England
3290794773,"It's important for a person to be honest, kind, and loyal.",Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",No,A lot,Very important,Female,> 60,"$0 - $24,999",Bachelor degree,Middle Atlantic
3290794739,"It's important for a person to be honest, kind and loyal.",Yes,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important,Female,30-44,,Some college or Associate degree,West North Central
3290794709,"It's important for a person to be honest, kind and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,Some,Somewhat important,Female,45-60,"$25,000 - $49,999",Some college or Associate degree,South Atlantic
3290788124,"It's important for a person to be honest, kind, and loyal.",Yes,A lot,"Some experts say it's important to drink milk, but the data are inconclusive.",Yes,Some,Very important,Female,30-44,"$50,000 - $99,999",Bachelor degree,East North Central
3290785011,"It's important for a person to be honest, kind and loyal.",Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important,Male,45-60,"$100,000 - $149,999",Bachelor degree,Middle Atlantic
3290782343,"It's important for a person to be honest, kind, and loyal.",No,Some,"Some experts say it's important to drink milk, but the data are inconclusive.",Yes,Some,Very important,Female,> 60,"$150,000+",Bachelor degree,East North Central
3290781269,"It's important for a person to be honest, kind, and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Some,Somewhat important,Female,18-29,"$50,000 - $99,999",Bachelor degree,East North Central
3290779404,"It's important for a person to be honest, kind, and loyal.",Yes,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Somewhat important,Female,30-44,"$50,000 - $99,999",Some college or Associate degree,East North Central
3290777661,"It's important for a person to be honest, kind, and loyal.",No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Some,Very important,Female,30-44,"$50,000 - $99,999",Graduate degree,South Atlantic
3290776606,"It's important for a person to be honest, kind, and loyal.",No,A lot,"Some experts say it's important to drink milk, but the data are inconclusive.",Yes,A lot,Very important,Male,18-29,"$0 - $24,999",Some college or Associate degree,Mountain
3290775930,"It's important for a person to be honest, kind and loyal.",No,Not at all,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not at all,Somewhat important,Female,> 60,"$25,000 - $49,999",High school degree,East North Central
3290775672,"It's important for a person to be honest, kind, and loyal.",Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,Some,Very important,Female,18-29,,Some college or Associate degree,New England
3290774979,"It's important for a person to be honest, kind, and loyal.",No,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not at all,Somewhat important,Male,45-60,"$100,000 - $149,999",Some college or Associate degree,West South Central
3290771889,"It's important for a person to be honest, kind, and loyal.",No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Some,Somewhat important,Male,18-29,,Bachelor degree,East North Central
3290771442,"It's important for a person to be honest, kind, and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Some,Somewhat important,Female,18-29,"$0 - $24,999",Some college or Associate degree,Pacific
3290770348,"It's important for a person to be honest, kind and loyal.",Yes,Not much,,No,Some,Very important,Female,18-29,"$0 - $24,999",Bachelor degree,West North Central
3290770248,"It's important for a person to be honest, kind, and loyal.",No,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important,Male,45-60,"$0 - $24,999",Some college or Associate degree,New England
3290768416,"It's important for a person to be honest, kind, and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data are inconclusive.",Yes,Not much,Very important,Female,> 60,"$25,000 - $49,999",Bachelor degree,South Atlantic
3290763641,"It's important for a person to be honest, kind, and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,A lot,Very important,Female,30-44,"$100,000 - $149,999",Graduate degree,East North Central
3290762766,"It's important for a person to be honest, kind, and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important,Female,30-44,"$25,000 - $49,999",Graduate degree,East South Central
3290762745,"It's important for a person to be honest, kind, and loyal.",No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important,Female,18-29,"$25,000 - $49,999",Some college or Associate degree,South Atlantic
3290762497,"It's important for a person to be honest, kind, and loyal.",,,,,,,,,,,
3290762340,"It's important for a person to be honest, kind and loyal.",Yes,Not at all,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,Not much,Somewhat important,Female,30-44,"$150,000+",Graduate degree,Pacific
3290755331,"It's important for a person to be honest, kind and loyal.",No,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,A lot,Very important,Female,30-44,"$150,000+",Graduate degree,Middle Atlantic
3290755303,"It's important for a person to be honest, kind, and loyal.",Yes,Not much,"Some experts say it's important to drink milk, but the data are inconclusive.",No,Some,Somewhat important,Female,30-44,"$0 - $24,999",Graduate degree,East South Central
3290755081,"It's important for a person to be honest, kind, and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data are inconclusive.",Yes,Some,Very important,Female,> 60,"$25,000 - $49,999",Bachelor degree,West South Central
3290750719,"It's important for a person to be honest, kind, and loyal.",No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important,Female,30-44,"$100,000 - $149,999",Some college or Associate degree,West South Central
3290750339,"It's important for a person to be honest, kind and loyal.",No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Some,Very important,Female,> 60,"$100,000 - $149,999",Some college or Associate degree,South Atlantic
3290749395,"It's important for a person to be honest, kind, and loyal.",No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not at all,Somewhat important,Male,45-60,"$50,000 - $99,999",Bachelor degree,East North Central
3290749376,"It's important for a person to be honest, kind, and loyal.",Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important,Female,30-44,,Bachelor degree,South Atlantic
3290748808,"It's important for a person to be honest, kind, and loyal.",No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Some,Somewhat important,Male,45-60,"$100,000 - $149,999",Graduate degree,South Atlantic
3290746551,"It's important for a person to be honest, kind, and loyal.",No,Some,"Some experts say it's important to drink milk, but the data are inconclusive.",Yes,Not much,Very important,Female,> 60,"$50,000 - $99,999",Some college or Associate degree,West North Central
3290737403,"It's important for a person to be honest, kind, and loyal.",Yes,Not much,"Some experts say it's important to drink milk, but the data are inconclusive.",No,Not much,Somewhat important,Male,> 60,,Bachelor degree,Pacific
3290736656,"It's important for a person to be honest, kind, and loyal.",Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important,Female,30-44,"$50,000 - $99,999",Bachelor degree,New England
3290735417,"It's important for a person to be honest, kind, and loyal.",No,Some,"Some experts say it's important to drink milk, but the data are inconclusive.",Yes,A lot,Very important,Male,45-60,"$150,000+",Graduate degree,South Atlantic
3290733889,"It's important for a person to be honest, kind, and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data are inconclusive.",No,A lot,Very important,Female,> 60,,,West South Central
3290733053,"It's important for a person to be honest, kind, and loyal.",Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not at all,Very important,Female,18-29,"$0 - $24,999",Some college or Associate degree,West South Central
3290729184,"It's important for a person to be honest, kind, and loyal.",Yes,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,Not at all,Very important,Female,30-44,"$100,000 - $149,999",Bachelor degree,East North Central
3290721594,"It's important for a person to be honest, kind and loyal.",No,Not at all,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,Not much,Very important,Male,45-60,"$25,000 - $49,999",High school degree,Pacific
3290718851,"It's important for a person to be honest, kind and loyal.",Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,Not much,Very important,Male,> 60,"$150,000+",Graduate degree,Pacific
3290717923,"It's important for a person to be honest, kind, and loyal.",No,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,A lot,Very important,Male,30-44,"$100,000 - $149,999",Some college or Associate degree,East North Central
3290717370,"It's important for a person to be honest, kind and loyal.",No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Some,Very important,Male,45-60,,Some college or Associate degree,South Atlantic
3290715355,"It's important for a person to be honest, kind and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data are inconclusive.",Yes,Not much,Somewhat important,Female,30-44,"$50,000 - $99,999",Graduate degree,Mountain
3290714487,"It's important for a person to be honest, kind and loyal.",No,Not at all,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,A lot,Very important,Male,45-60,"$25,000 - $49,999",Some college or Associate degree,Middle Atlantic
3290712918,"It's important for a person to be honest, kind, and loyal.",Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,Some,Very important,Male,45-60,"$150,000+",Graduate degree,East North Central
3290707504,"It's important for a person to be honest, kind and loyal.",Yes,Not at all,"Some experts say it's important to drink milk, but the data are inconclusive.",Yes,Not much,Somewhat important,Male,45-60,,Graduate degree,East North Central
3290706338,"It's important for a person to be honest, kind, and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,Some,Very important,,,,,
3290702293,"It's important for a person to be honest, kind, and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,Some,Somewhat important,Male,45-60,,Graduate degree,Pacific
3290701966,"It's important for a person to be honest, kind, and loyal.",No,Not much,"Some experts say it's important to drink milk, but the data are inconclusive.",No,Not much,Very important,Female,45-60,"$0 - $24,999",Less than high school degree,East North Central
3290700546,"It's important for a person to be honest, kind, and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not at all,Very important,Male,30-44,"$50,000 - $99,999",Graduate degree,Mountain
3290698591,"It's important for a person to be honest, kind, and loyal.",No,Not at all,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,Not much,Somewhat important,Female,18-29,"$100,000 - $149,999",Bachelor degree,Middle Atlantic
3290698546,"It's important for a person to be honest, kind and loyal.",Yes,Not at all,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not at all,Somewhat important,Male,> 60,"$0 - $24,999",Some college or Associate degree,Pacific
3290694996,"It's important for a person to be honest, kind, and loyal.",Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,Some,Somewhat important,Female,18-29,,Some college or Associate degree,West South Central
3290694785,"It's important for a person to be honest, kind and loyal.",No,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Some,Somewhat important,Female,> 60,,,Pacific
3290694100,"It's important for a person to be honest, kind, and loyal.",Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,Some,Very important,Male,18-29,,Graduate degree,East North Central
3290693228,"It's important for a person to be honest, kind, and loyal.",Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important,Female,30-44,"$100,000 - $149,999",Bachelor degree,West North Central
3290692060,"It's important for a person to be honest, kind and loyal.",No,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,Not at all,Very important,Male,45-60,"$25,000 - $49,999",Bachelor degree,Middle Atlantic
3290690162,"It's important for a person to be honest, kind and loyal.",Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Somewhat important,Female,30-44,"$25,000 - $49,999",Less than high school degree,West North Central
3290689013,"It's important for a person to be honest, kind and loyal.",No,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important,Male,30-44,"$50,000 - $99,999",Some college or Associate degree,Middle Atlantic
3290684700,"It's important for a person to be honest, kind, and loyal.",No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,Some,Somewhat important,Male,45-60,"$50,000 - $99,999",Some college or Associate degree,South Atlantic
3290683862,"It's important for a person to be honest, kind, and loyal.",No,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Somewhat important,Female,30-44,"$0 - $24,999",Some college or Associate degree,South Atlantic
3290681765,"It's important for a person to be honest, kind, and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,Not much,Very important,Female,> 60,"$50,000 - $99,999",Some college or Associate degree,South Atlantic
3290680989,"It's important for a person to be honest, kind and loyal.",No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,A lot,Very important,Female,> 60,,Some college or Associate degree,East North Central
3290678275,"It's important for a person to be honest, kind and loyal.",No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not at all,Somewhat important,Female,> 60,"$50,000 - $99,999",Some college or Associate degree,Middle Atlantic
3290678232,"It's important for a person to be honest, kind, and loyal.",Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Somewhat important,Male,18-29,"$0 - $24,999",Bachelor degree,Middle Atlantic
3290677276,"It's important for a person to be honest, kind and loyal.",No,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Somewhat important,Female,45-60,"$150,000+",Bachelor degree,Middle Atlantic
3290676837,"It's important for a person to be honest, kind and loyal.",Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,A lot,Very important,Male,45-60,"$100,000 - $149,999",Bachelor degree,Pacific
