Title,Date,Federal Reporter Citation,Westlaw Citation,Issue,Weight,Judge1,Judge2,Judge3,Vote1,Vote2,Vote3,Category
Luster v. Vilsack,12/01/11,667 F.3d 1089,2011 WL 6000545,1,1,Murphy,Anderson,Hartz,0,0,0,Title VII
Gross v. General Motors LLC,10/06/11,441 Fed.Appx. 562,2011 WL 4599683,1,1,Murphy,Porfilio,Hartz,0,0,0,Title VII
Helm v. Kansas,09/07/11,656 F.3d 1277,2011 WL 3907126,1,1,Kelly,Ebel,Gorsuch,0,0,0,Title VII
Norouzian v. University of Kansas Hosp. Authority,08/31/11,438 Fed.Appx. 677,2011 WL 3856984,1,1,Kelly,Gorsuch,Matheson,0,0,0,Title VII
Bagwell v. Safeway Denver Milk Plant,08/25/11,437 Fed.Appx. 689,2011 WL 3733863,1,1,Briscoe,Murphy,Matheson,0,0,0,Title VII
Honeyfield v. City of Gallup,08/02/11,436 Fed.Appx. 836,2011 WL 3288374,1,1,Briscoe,Holloway,O'Brien,0,0,0,Title VII
White v. Schafer,07/28/11,435 Fed.Appx. 764,2011 WL 3201632,1,1,O'Brien,Anderson,Holmes,0,0,0,Title VII
"Leo v. Garmin Intern., Inc.",07/21/11,431 Fed.Appx. 702,2011 WL 2908949,1,1,Tymkovich,Baldock,Brorby,0,0,0,Title VII
Parker v. Salazar,07/18/11,431 Fed.Appx. 697,2011 WL 2783995,1,1,Briscoe,Ebel,O'Brien,0,0,0,Title VII
"Christian v. AHS Tulsa Regional Medical Center, LLC",07/15/11,430 Fed.Appx. 694,2011 WL 2745798,1,1,Tymkovich,Porfilio,Gorsuch,0,0,0,Title VII
Powell v. Laborers Union No. 1271,06/07/11,426 Fed.Appx. 615,2011 WL 2197647,1,1,Matheson,McKay,Ebel,0,0,0,Title VII
"Aduddell v. Gardner Tanenbaum Group, L.L.C.",06/06/11,425 Fed.Appx. 698,2011 WL 2176181,1,1,Lucero,McKay,Gorsuch,0,0,0,Title VII
"McDonald-Cuba v. Santa Fe Protective Services, Inc.",05/09/11,644 F.3d 1096,2011 WL 1746204,1,1,O'Brien,Anderson,Tacha,0,0,0,Title VII
"Crowe v. ADT Sec. Services, Inc.",04/25/11,649 F.3d 1189,2011 WL 1532536,1,1,Kelly,Seymour,Holmes,0,0,0,Title VII
"McInerney v. United Air Lines, Inc.",04/11/11,463 Fed.Appx. 709,2011 WL 1350453,1,0.5,Briscoe,McKay,Hartz,1,1,0,Title VII
"McInerney v. United Air Lines, Inc.",04/11/11,463 Fed.Appx. 709,2011 WL 1350453,2,0.5,Briscoe,McKay,Hartz,0,0,0,Title VII
Laughter v. Gallup Indian Medical Center,04/07/11,425 Fed.Appx. 683,2011 WL 1313711,1,0.5,Kelly,Tacha,Holloway,0,0,0,Title VII
Laughter v. Gallup Indian Medical Center,04/07/11,425 Fed.Appx. 683,2011 WL 1313711,2,0.5,Kelly,Tacha,Holloway,0,0,1,Title VII
Kline v. Utah Anti-Discrimination and Labor Div.,04/07/11,418 Fed.Appx. 774,2011 WL 1313781,1,1,Briscoe,McKay,Kelly,0,0,0,Title VII
Calloway v. Aerojet General Corp.,04/05/11,419 Fed.Appx. 840,2011 WL 1241914,1,1,Lucero,Anderson,Baldock,0,0,0,Title VII
Wheeler v. BNSF Ry. Co.,04/04/11,418 Fed.Appx. 738,2011 WL 1226935,1,1,Briscoe,Ebel,Tymkovich,0,0,0,Title VII
Higgins v. Potter,03/22/11,416 Fed.Appx. 731,2011 WL 984313,1,1,Holmes,McKay,Porfilio,0,0,0,Title VII
Pretlow v. Garrison,03/22/11,420 Fed.Appx. 798,2011 WL 989849,1,1,Lucero,Anderson,Baldock,0,0,0,Title VII
"Durant v. MillerCoors, LLC",03/16/11,415 Fed.Appx. 927,2011 WL 892783,1,1,O'Brien,Anderson,Tacha,0,0,0,Title VII
Gorny v. Salazar,02/22/11,413 Fed.Appx. 103,2011 WL 596129,1,1,Tymkovich,McKay,Gorsuch,0,0,0,Title VII
Fields v. Walgreens Co.,02/03/11,410 Fed.Appx. 168,2011 WL 322835,1,1,Matheson,Anderson,Tacha,0,0,0,Title VII
Muller v. Culbertson,02/01/11,408 Fed.Appx. 194,2011 WL 304484,1,1,Kelly,Baldock,Brorby,0,0,0,Title VII
Nanomantube v. Kickapoo Tribe in Kansas,01/31/11,631 F.3d 1150,2011 WL 285520,1,1,Tymkovich,McKay,Gorsuch,0,0,0,Title VII
Shaw v. Tulsa Dynaspan Arrow Concrete,01/28/11,408 Fed.Appx. 177,2011 WL 263205,1,0.5,Murphy,McKay,Holmes,1,1,1,Title VII
Shaw v. Tulsa Dynaspan Arrow Concrete,01/28/11,408 Fed.Appx. 177,2011 WL 263205,2,0.5,Murphy,McKay,Holmes,0,0,0,Title VII
Faragalla v. Douglas County School Dist. RE 1,01/12/11,411 Fed.Appx. 140,2011 WL 94540,1,1,Briscoe,Tymkovich,Gorsuch,0,0,0,Title VII
Bronakowski v. Boulder Valley School Dist.,01/04/11,406 Fed.Appx. 304,2011 WL 9801,1,1,Briscoe,Tacha,O'Brien,0,0,0,Title VII
Brantley v. Unified School Dist. No. 500,12/16/10,405 Fed.Appx. 327,2010 WL 5173817,1,1,Murphy,McKay,Tymkovich,0,0,0,Title VII
Perez v. St. John Medical Center,11/05/10,409 Fed.Appx. 213,2010 WL 4367194,1,1,Tymkovich,Baldock,Holmes,0,0,0,Title VII
Musungayi v. Whirlpool Corp.,11/04/10,401 Fed.Appx. 346,2010 WL 4358806,1,1,Tacha,Anderson,Kelly,0,0,0,Title VII
"Logsdon v. Turbines, Inc.",10/20/10,399 Fed.Appx. 376,2010 WL 4118811,1,1,Tacha,Lucero,Murphy,0,0,0,Title VII
Howell v. New Mexico Dept. of Aging & Long Term Services,10/12/10,398 Fed.Appx. 355,2010 WL 3965927,1,1,Tacha,Lucero,Murphy,0,0,0,Title VII
Wideman v. Colorado,09/28/10,409 Fed.Appx. 184,2010 WL 3766575,1,1,Hartz,Porfilio,Brorby,0,0,0,Title VII
Hall v. Interstate Brands Corp.,09/15/10,395 Fed.Appx. 519,2010 WL 3565741,1,1,Hartz,Ebel,O'Brien,0,0,0,Title VII
Issa v. Fox Rent A Car,09/14/10,395 Fed.Appx. 514,2010 WL 3556028,1,1,Tymkovich,Baldock,Holmes,0,0,0,Title VII
"Franke v. ARUP Laboratories, Inc.",08/16/10,390 Fed.Appx. 822,2010 WL 3245179,1,1,Tacha,Holloway,Anderson,0,0,0,Title VII
"Flitton v. Primary Residential Mortg., Inc.",08/05/10,614 F.3d 1173,2010 WL 3035754,1,0.5,Tacha,McKay,Gorsuch,1,0,1,Title VII
"Flitton v. Primary Residential Mortg., Inc.",08/05/10,614 F.3d 1173,2010 WL 3035754,2,0.5,Tacha,McKay,Gorsuch,0,0,1,Title VII
Skrzypczak v. Roman Catholic Diocese Of Tulsa,07/13/10,611 F.3d 1238,2010 WL 2739536,1,1,Lucero,McKay,O'Brien,0,0,0,Title VII
Dean v. Computer Sciences Corp.,06/30/10,384 Fed.Appx. 831,2010 WL 2600771,1,1,Briscoe,Tymkovich,Gorsuch,0,0,0,Title VII
"Clark v. Yellow Transp., Inc.",06/07/10,381 Fed.Appx. 848,2010 WL 2255046,1,1,Briscoe,Baldock,Tacha,0,0,0,Title VII
McNeil v. Kennecott Holdings,06/02/10,381 Fed.Appx. 791,2010 WL 2232259,1,1,Briscoe,Baldock,Tacha,0,0,0,Title VII
Odom v. Potter,05/24/10,379 Fed.Appx. 740,2010 WL 2026471,1,1,McKay,Brorby,Ebel,0,0,0,Title VII
Shabestari v. Utah Non-Profit Housing,05/10/10,377 Fed.Appx. 770,2010 WL 1839282,1,1,Lucero,Porfilio,Murphy,0,0,0,Title VII
"Douglas v. International Ass'n of Machinists and Aerospace Workers, Dist. Lodge 141",04/28/10,376 Fed.Appx. 875,2010 WL 1709790,1,1,Tacha,Baldock,Briscoe,0,0,0,Title VII
"Rodriguez v. Wet Ink, LLC",04/26/10,603 F.3d 810,2010 WL 1644580,1,1,Briscoe,Tymkovich,Holmes,1,1,1,Title VII
"Lumpkin v. United Recovery Systems, L.P.",04/26/10,376 Fed.Appx. 856,2010 WL 1645986,1,1,Tacha,Baldock,Briscoe,0,0,0,Title VII
Hernandez v. Potter,03/31/10,371 Fed.Appx. 896,2010 WL 1225833,1,1,Tacha,Briscoe,O'Brien,0,0,0,Title VII
Wilkins v. Chevron,03/30/10,370 Fed.Appx. 919,2010 WL 1220729,1,1,Murphy,Gorsuch,Holmes,0,0,0,Title VII
"Lewis v. D.R. Horton, Inc.",03/24/10,375 Fed.Appx. 818,2010 WL 1063887,1,1,Henry,Holloway,Briscoe,0,0,0,Title VII
Mayberry v. E.P.A.,02/23/10,366 Fed.Appx. 907,2010 WL 618031,1,1,Tacha,Ebel,Kelly,0,0,0,Title VII
"Robinson v. Cavalry Portfolio Services, LLC",02/10/10,365 Fed.Appx. 104,2010 WL 447000,1,1,O'Brien,Gorsuch,Holmes,0,0,0,Title VII
"Johnson v. Weld County, Colo.",02/08/10,594 F.3d 1202,2010 WL 430914,1,1,Gorsuch,McKay,Holmes,0,0,0,Title VII
Ramsey v. Shinseki,02/03/10,364 Fed.Appx. 432,2010 WL 369361,1,1,Henry,Hartz,O'Brien,0,0,0,Title VII
Swimmer v. Sebelius,02/03/10,364 Fed.Appx. 441,2010 WL 373674,1,1,Gorsuch,Anderson,Brorby,0,0,0,Title VII
"Anderson v. AOL, LLC",01/27/10,363 Fed.Appx. 581,2010 WL 299256,1,1,Henry,Briscoe,Hartz,0,0,0,Title VII
Fisher v. Southwestern Bell Telephone Co.,01/25/10,361 Fed.Appx. 974,2010 WL 257305,1,1,Murphy,McKay,Baldock,0,0,0,Title VII
Stanley v. Abacus Technology Corp.,01/05/10,359 Fed.Appx. 926,2010 WL 11064,1,1,O'Brien,Porfilio,Tymkovich,0,0,0,Title VII
"Dalvit v. United Airlines, Inc.",12/21/09,359 Fed.Appx. 904,2009 WL 4894025,1,1,Tacha,Murphy,Hartz,0,0,0,Title VII
"Barone v. United Airlines, Inc.",12/07/09,355 Fed.Appx. 169,2009 WL 4547800,1,1,Briscoe,Tymkovich,Holmes,1,1,1,Title VII
McKinzy v. Norfolk Southern R.R.,12/02/09,354 Fed.Appx. 371,2009 WL 4298573,1,1,Tacha,Anderson,Ebel,0,0,0,Title VII
"Schmidt v. Medicalodges, Inc.",10/20/09,350 Fed.Appx. 235,2009 WL 3358486,1,0.5,Tacha,Seymour,Holmes,0,0,0,Title VII
"Schmidt v. Medicalodges, Inc.",10/20/09,350 Fed.Appx. 235,2009 WL 3358486,2,0.5,Tacha,Seymour,Holmes,1,1,1,Title VII
Trujillo v. Huerfano County Bd. of County Com'rs,10/19/09,349 Fed.Appx. 355,2009 WL 3336123,1,1,Briscoe,Tymkovich,Holmes,0,0,0,Title VII
McKinzy v. Union Pacific R.R.,10/15/09,349 Fed.Appx. 303,2009 WL 3303699,1,1,Henry,Brorby,Hartz,0,0,0,Title VII
Jones v. Wal-Mart Corp.,10/01/09,350 Fed.Appx. 195,2009 WL 3138862,1,1,Hartz,Ebel,O'Brien,0,0,0,Title VII
Campbell v. Meredith Corp.,08/24/09,345 Fed.Appx. 323,2009 WL 2607008,1,1,Kelly,Briscoe,Holmes,0,0,0,Title VII
Anderson v. Oklahoma State University Bd. of Regents,08/17/09,342 Fed.Appx. 365,2009 WL 2488158,1,1,Hartz,Brorby,Tymkovich,0,0,0,Title VII
DeFreitas v. Horizon Inv. Management Corp.,08/14/09,577 F.3d 1151,2009 WL 2482030,1,0.5,Hartz,Holloway,McKay,1,1,1,Title VII
DeFreitas v. Horizon Inv. Management Corp.,08/14/09,577 F.3d 1151,2009 WL 2482030,2,0.5,Hartz,Holloway,McKay,0,0,0,Title VII
"Woods-Gaston v. Sequoyah Enterprises, Inc.",08/04/09,340 Fed.Appx. 450,2009 WL 2371857,1,1,Hartz,Brorby,Tymkovich,0,0,0,Title VII
"Nettle v. Central Okla. American Indian Health Council, Inc.",07/01/09,334 Fed.Appx. 914,2009 WL 1877433,1,0.5,Kelly,Briscoe,McConnell,0,0,0,Title VII
"Nettle v. Central Okla. American Indian Health Council, Inc.",07/01/09,334 Fed.Appx. 914,2009 WL 1877433,2,0.5,Kelly,Briscoe,McConnell,0,1,0,Title VII
Palmer v. Salazar,04/29/09,324 Fed.Appx. 729,2009 WL 1144032,1,1,Henry,Briscoe,Holmes,1,1,1,Title VII
Turner v. Public Service Co. of Colorado,04/28/09,563 F.3d 1136,2009 WL 1132126,1,1,Hartz,Seymour,Tymkovich,0,0,0,Title VII
Pinkerton v. Colorado Dept. of Transp.,04/16/09,563 F.3d 1052,2009 WL 1014589,1,1,Kelly,Ebel,Gorsuch,0,1,0,Title VII
"Avila v. Jostens, Inc.",03/19/09,316 Fed.Appx. 826,2009 WL 721705,1,1,McConnell,McKay,Gorsuch,1,1,1,Title VII
Zokari v. Gates,03/17/09,561 F.3d 1076,2009 WL 678997,1,1,Lucero,Ebel,Hartz,0,0,0,Title VII
"Perkins v. Silver Mountain Sports Club and Spa, LLC",02/25/09,557 F.3d 1141,2009 WL 458559,1,1,Kelly,McConnell,Tymkovich,1,1,1,Title VII
"Logan v. Sabre, Inc.",02/23/09,314 Fed.Appx. 123,2009 WL 427112,1,1,Murphy,McKay,Anderson,0,0,0,Title VII
Lee v. University of Colo.,02/23/09,313 Fed.Appx. 171,2009 WL 429889,1,1,Kelly,Lucero,Murphy,0,0,0,Title VII
Semsroth v. City of Wichita,02/17/09,555 F.3d 1182,2009 WL 373195,1,1,Murphy,McKay,Anderson,0,0,0,Title VII
Pope v. Quivira Council,02/12/09,312 Fed.Appx. 101,2009 WL 347434,1,1,Kelly,Hartz,O'Brien,0,0,0,Title VII
"Sunderman v. Westar Energy, Inc.",01/14/09,307 Fed.Appx. 224,2009 WL 81009,1,1,O'Brien,McConnell,Tymkovich,0,0,0,Title VII
Chapman v. Carmike Cinemas,01/12/09,307 Fed.Appx. 164,2009 WL 57504,1,0.5,Henry,Ebel,Gorsuch,1,1,1,Title VII
Chapman v. Carmike Cinemas,01/12/09,307 Fed.Appx. 164,2009 WL 57504,2,0.5,Henry,Ebel,Gorsuch,0,0,0,Title VII
Semsroth v. City of Wichita,12/22/08,304 Fed.Appx. 707,2008 WL 5328466,1,0.5,Lucero,Holloway,Ebel,1,1,1,Title VII
Semsroth v. City of Wichita,12/22/08,304 Fed.Appx. 707,2008 WL 5328466,2,0.5,Lucero,Holloway,Ebel,0,0,0,Title VII
Mendia v. Hawker Beechcraft Corp.,12/17/08,303 Fed.Appx. 622,2008 WL 5257120,1,1,O'Brien,McConnell,Tymkovich,0,0,0,Title VII
Lowber v. City of New Cordell,10/30/08,298 Fed.Appx. 760,2008 WL 4746768,1,1,Hartz,Baldock,Gorsuch,1,1,1,Title VII
"Cooper v. Wal-Mart Stores, Inc.",10/16/08,296 Fed.Appx. 686,2008 WL 4597226,1,1,Gorsuch,Anderson,Baldock,0,0,0,Title VII
"Sanders v. Southwestern Bell Telephone, L.P.",10/15/08,544 F.3d 1101,2008 WL 4570652,1,0.5,Tacha,McKay,Tymkovich,0,0,0,Title VII
"Sanders v. Southwestern Bell Telephone, L.P.",10/15/08,544 F.3d 1101,2008 WL 4570652,2,0.5,Tacha,McKay,Tymkovich,1,0,1,Title VII
"Maston v. St. John Health System, Inc.",10/08/08,296 Fed.Appx. 630,2008 WL 4492623,1,1,Hartz,Baldock,Gorsuch,0,0,0,Title VII
Kelley v. City of Albuquerque,09/17/08,542 F.3d 802,2008 WL 4238967,1,1,Kelly,McConnell,Holmes,1,1,1,Title VII
Trujillo v. Board of Educ. of Albuquerque Public Schools,08/29/08,295 Fed.Appx. 885,2008 WL 3992284,1,1,Murphy,Brorby,Tymkovich,0,0,0,Title VII
Kosan v. Utah Dept. of Corrections,08/21/08,290 Fed.Appx. 145,2008 WL 3870732,1,1,Murphy,Brorby,Tymkovich,0,0,0,Title VII
Vaughn v. Epworth Villa,08/19/08,537 F.3d 1147,2008 WL 3843340,1,1,Kelly,Ebel,McConnell,0,0,0,Title VII
Rogers v. Federal Exp. Corp.,07/18/08,287 Fed.Appx. 654,2008 WL 2787522,1,1,Hartz,Ebel,O'Brien,0,0,0,Title VII
Madewell v. Department of Veterans Affairs,07/18/08,287 Fed.Appx. 39,2008 WL 2787440,1,1,Holmes,Porfilio,Anderson,0,0,0,Title VII
"Allen v. Sulzer Chemtech USA, Inc.",07/16/08,289 Fed.Appx. 278,2008 WL 2746998,1,1,Hartz,Ebel,O'Brien,0,0,0,Title VII
Valles v. Donley,07/15/08,292 Fed.Appx. 711,2008 WL 2736686,1,1,Hartz,Ebel,O'Brien,0,0,0,Title VII
Orr v. City of Albuquerque,07/08/08,531 F.3d 1210,2008 WL 2652711,1,1,Lucero,Hartz,Gorsuch,1,1,1,Title VII
"Denetclaw v. Thoutt Brothers Concrete Contractors, Inc.",06/24/08,287 Fed.Appx. 17,2008 WL 2503649,1,1,Kelly,McKay,Briscoe,0,0,0,Title VII
Hamilton v. Boise Cascade Exp.,06/02/08,280 Fed.Appx. 729,2008 WL 2230686,1,1,Kelly,Ebel,McConnell,0,1,0,Title VII
Dossa v. Wynne,05/13/08,529 F.3d 911,2008 WL 2037674,1,1,Murphy,McKay,Gorsuch,1,1,1,Title VII
"Fischer v. Forestwood Co., Inc.",05/12/08,525 F.3d 972,2008 WL 2009866,1,0.5,Hartz,McConnell,Tymkovich,1,1,1,Title VII
"Fischer v. Forestwood Co., Inc.",05/12/08,525 F.3d 972,2008 WL 2009866,2,0.5,Hartz,McConnell,Tymkovich,0,0,0,Title VII
Castaldo v. Denver Public Schools,05/05/08,276 Fed.Appx. 839,2008 WL 1944931,1,1,Briscoe,Porfilio,Baldock,0,0,0,Title VII
Sydney v. ConMed Elec. Surgery,04/18/08,275 Fed.Appx. 748,2008 WL 1766871,1,1,Lucero,Tymkovich,Holmes,0,0,0,Title VII
Tademy v. Union Pacific Corp.,04/01/08,614 F.3d 1132,2008 WL 8085719,1,1,Henry,Baldock,Marten,1,1,1,Title VII
Al-Ali v. Salt Lake Community College,03/18/08,269 Fed.Appx. 842,2008 WL 724376,1,1,Tacha,Ebel,Murphy,0,0,0,Title VII
Pennington v. Northrop Grumman Space & Mission Systems Corp.,03/14/08,269 Fed.Appx. 812,2008 WL 695889,1,1,O'Brien,Ebel,Gorsuch,0,0,0,Title VII
Alcivar v. Wynne,03/10/08,268 Fed.Appx. 749,2008 WL 647504,1,1,Henry,Ebel,Tymkovich,0,0,0,Title VII
Baker v. Via Christi Regional Medical Center,02/27/08,267 Fed.Appx. 755,2008 WL 515032,1,1,Tacha,Ebel,Murphy,0,0,0,Title VII
Fye v. Oklahoma Corp. Com'n,02/27/08,516 F.3d 1217,2008 WL 509371,1,1,Tacha,McKay,Tymkovich,0,0,0,Title VII
Anderson v. Clovis Mun. Schools,02/15/08,265 Fed.Appx. 699,2008 WL 410435,1,1,Briscoe,Baldock,Lucero,0,0,0,Title VII
"Steele v. Kroenke Sports Enterprises, L.L.C.",02/11/08,264 Fed.Appx. 735,2008 WL 360614,1,1,Holmes,Holloway,Seymour,0,0,0,Title VII
Juarez v. Utah,02/05/08,263 Fed.Appx. 726,2008 WL 313671,1,1,Tymkovich,Baldock,Ebel,0,0,0,Title VII
DeHart v. Stevens-Henager College,02/04/08,264 Fed.Appx. 676,2008 WL 313181,1,1,Kelly,Anderson,Murphy,1,1,1,Title VII
Palmer v. Denver Health and Hospital Authority,02/04/08,263 Fed.Appx. 670,2008 WL 313193,1,1,Tacha,Ebel,Murphy,0,0,0,Title VII
"Adamson v. Multi Community Diversified Services, Inc.",02/01/08,514 F.3d 1136,2008 WL 274736,1,1,Tacha,Ebel,Kane,0,0,0,Title VII
Somoza v. University of Denver,01/18/08,513 F.3d 1206,2008 WL 162764,1,1,Lucero,Holloway,Tymkovich,0,0,0,Title VII
Haynes v. Kansas,01/15/08,261 Fed.Appx. 87,2008 WL 142783,1,1,Holmes,Holloway,Seymour,0,0,0,Title VII
Dehning v. Child Development Services of Fremont County,01/11/08,261 Fed.Appx. 75,2008 WL 123533,1,1,Tacha,McConnell,Gorsuch,0,0,0,Title VII
"Naifeh v. Ideal Homes of Norman, L.P.",01/09/08,260 Fed.Appx. 122,2008 WL 102418,1,1,Kelly,McKay,Anderson,0,0,0,Title VII
Dean v. Boeing Co.,01/09/08,260 Fed.Appx. 124,2008 WL 102420,1,1,Kelly,Porfilio,Anderson,0,0,0,Title VII
"Rolland v. Primesource Staffing, LLC",11/29/07,257 Fed.Appx. 68,2007 WL 4205871,1,1,Briscoe,Ebel,McConnell,0,0,0,Title VII
Namoko v. Milgard Mfg. Inc.,10/31/07,253 Fed.Appx. 729,2007 WL 3226528,1,1,Lucero,Hartz,Gorsuch,1,1,1,Title VII
Smith v. Potter,10/24/07,252 Fed.Appx. 224,2007 WL 3104601,1,1,Hartz,Brorby,Tymkovich,0,0,0,Title VII
Keeler v. Cereal Food Processors,10/10/07,250 Fed.Appx. 857,2007 WL 2962384,1,0.5,Porfilio,Anderson,Baldock,1,1,1,Title VII
Keeler v. Cereal Food Processors,10/10/07,250 Fed.Appx. 857,2007 WL 2962384,2,0.5,Porfilio,Anderson,Baldock,0,0,0,Title VII
Etsitty v. Utah Transit Authority,09/20/07,502 F.3d 1215,2007 WL 2774160,1,1,Henry,Murphy,Figa,0,0,0,Title VII
Greenlee v. U.S. Postal Service,09/07/07,247 Fed.Appx. 953,2007 WL 2575515,1,1,Lucero,Hartz,Gorsuch,0,0,0,Title VII
Namoko v. Miller,08/23/07,248 Fed.Appx. 1,2007 WL 2391805,1,1,Henry,Tymkovich,Holmes,0,0,0,Title VII
Smith v. Oklahoma ex rel. Tulsa County Dist. Attorney,08/23/07,245 Fed.Appx. 807,2007 WL 2391796,1,1,Henry,Briscoe,Robinson,0,0,0,Title VII
"Perkins v. Wynne ex rel Secretary, Dept. of Air Force",08/15/07,245 Fed.Appx. 771,2007 WL 2319115,1,1,Hartz,Ebel,Tymkovich,0,0,0,Title VII
"Montes v. Vail Clinic, Inc.",08/14/07,497 F.3d 1160,2007 WL 2309766,1,1,Lucero,Murphy,Gorsuch,0,0,0,Title VII
"Merswin v. Williams Companies, Inc.",08/09/07,244 Fed.Appx. 897,2007 WL 2269448,1,1,Tacha,Murphy,Holmes,0,0,0,Title VII
"Williams v. W.D. Sports, N.M., Inc.",08/07/07,497 F.3d 1079,2007 WL 2254940,1,0.5,Kelly,Ebel,Gorsuch,0,0,0,Title VII
"Williams v. W.D. Sports, N.M., Inc.",08/07/07,497 F.3d 1079,2007 WL 2254940,2,0.5,Kelly,Ebel,Gorsuch,1,1,1,Title VII
"Flitton v. Primary Residential Mortg., Inc.",08/03/07,238 Fed.Appx. 410,2007 WL 2218886,1,1,Lucero,Murphy,Gorsuch,1,1,1,Title VII
"Sulich v. Sysco Intermountain Food Services, Inc.",07/24/07,242 Fed.Appx. 532,2007 WL 2110843,1,1,Tacha,Murphy,Holmes,0,0,0,Title VII
Swackhammer v. Sprint/United Management Co.,07/09/07,493 F.3d 1160,2007 WL 1969672,1,1,Lucero,Mcwilliams,Ebel,0,0,0,Title VII
Xie v. University of Utah,07/05/07,243 Fed.Appx. 367,2007 WL 1936017,1,1,Kelly,Henry,Lucero,0,0,0,Title VII
"Domai v. Discover Financial Services, Inc.",06/15/07,244 Fed.Appx. 169,2007 WL 1723610,1,1,Tymkovich,Baldock,Figa,0,0,0,Title VII
Santana v. City and County of Denver,05/24/07,488 F.3d 860,2007 WL 1502264,1,0.5,Briscoe,McConnell,Siler,1,1,1,Title VII
Santana v. City and County of Denver,05/24/07,488 F.3d 860,2007 WL 1502264,2,0.5,Briscoe,McConnell,Siler,0,0,0,Title VII
"Daneshvar v. Graphic Technology, Inc.",05/15/07,237 Fed.Appx. 309,2007 WL 1417285,1,1,Henry,Baldock,Murphy,0,0,0,Title VII
Hinojos v. Honeywell FM&T,05/02/07,233 Fed.Appx. 812,2007 WL 1271521,1,1,Briscoe,Seymour,Anderson,0,0,0,Title VII
Showalter v. Weinstein,04/30/07,233 Fed.Appx. 803,2007 WL 1241630,1,1,Tacha,O'Brien,McConnell,0,0,0,Title VII
"Timmerman v. U.S. Bank, N.A.",04/27/07,483 F.3d 1106,2007 WL 1229283,1,1,Kelly,Alarcìòn,Lucero,0,0,0,Title VII
"Holmes v. Utah, Dept. of Workforce Services",04/18/07,483 F.3d 1057,2007 WL 1140359,1,1,Tymkovich,Baldock,Figa,0,0,0,Title VII
Nez v. BHP Navajo Coal Co.,04/05/07,227 Fed.Appx. 731,2007 WL 1020536,1,1,Lucero,McKay,Gorsuch,0,0,0,Title VII
"Kenney v. Millennium Rail, Inc.",03/28/07,224 Fed.Appx. 792,2007 WL 915086,1,1,Henry,Briscoe,O'Brien,0,0,0,Title VII
Piercy v. Maketa,03/27/07,480 F.3d 1192,2007 WL 901911,1,0.5,Briscoe,Baldock,Tymkovich,1,1,1,Title VII
Piercy v. Maketa,03/27/07,480 F.3d 1192,2007 WL 901911,2,0.5,Briscoe,Baldock,Tymkovich,0,0,0,Title VII
McNulty v. Sandoval County,03/27/07,222 Fed.Appx. 770,2007 WL 901925,1,1,Holmes,McKay,Brorby,0,0,0,Title VII
Jencks v. Modern Woodmen of America,03/19/07,479 F.3d 1261,2007 WL 807011,1,1,Lucero,Ebel,O'Brien,0,0,0,Title VII
Bufford v. Boeing Co.,03/15/07,228 Fed.Appx. 804,2007 WL 766313,1,1,Tacha,Kelly,O'Brien,0,0,0,Title VII
"Officer v. Sedgwick County, Kansas",02/27/07,226 Fed.Appx. 783,2007 WL 587263,1,1,Kelly,Ebel,Gorsuch,0,0,0,Title VII
Hamby v. Associated Centers for Therapy,02/13/07,230 Fed.Appx. 772,2007 WL 458011,1,1,Henry,Briscoe,Robinson,0,0,0,Title VII
Harsco Corp. v. Renner,01/31/07,475 F.3d 1179,2007 WL 259684,1,1,Briscoe,Holloway,McConnell,1,1,1,Title VII
"Hardman v. AutoZone, Inc.",01/25/07,214 Fed.Appx. 758,2007 WL 182535,1,1,Tymkovich,Anderson,Baldock,0,0,0,Title VII
"Cooper v. American Airlines, Inc.",01/23/07,213 Fed.Appx. 714,2007 WL 155841,1,1,Holmes,McKay,Brorby,0,0,0,Title VII
"Crumpacker v. Kansas, Dept. of Human Resources",01/10/07,474 F.3d 747,2007 WL 60878,1,1,Lucero,Anderson,Tymkovich,1,1,1,Title VII
Jenkins v. Educational Credit Management Corp.,01/04/07,212 Fed.Appx. 729,2007 WL 18919,1,0.5,Kelly,Lucero,Hartz,1,1,1,Title VII
Jenkins v. Educational Credit Management Corp.,01/04/07,212 Fed.Appx. 729,2007 WL 18919,2,0.5,Kelly,Lucero,Hartz,0,0,0,Title VII
"Herrera v. Lufkin Industries, Inc.",01/04/07,474 F.3d 675,2007 WL 63663,1,1,Tacha,Ebel,Cassell,1,1,0,Title VII
Paloni v. City of Albuquerque Police Dept.,12/27/06,212 Fed.Appx. 716,2006 WL 3791286,1,1,Murphy,Brorby,Tymkovich,0,0,0,Title VII
McGowan v. City of Eufala,12/19/06,472 F.3d 736,2006 WL 3720238,1,1,McConnell,Anderson,Tymkovich,0,0,0,Title VII
Kenney v. NKC of America,12/12/06,225 Fed.Appx. 727,2006 WL 3598432,1,1,Tacha,Hartz,Tymkovich,0,0,0,Title VII
Howard v. County of Las Animas in Colorado,12/07/06,212 Fed.Appx. 711,2006 WL 3518000,1,1,Tymkovich,Anderson,Baldock,0,0,0,Title VII
Madrid v. Phelps Dodge Corp.,11/29/06,211 Fed.Appx. 676,2006 WL 3423474,1,1,O'Brien,Brorby,Brown,0,0,0,Title VII
