RespondentID,How often do you travel by plane?,Do you ever recline your seat when you fly?,How tall are you?,Do you have any children under 18?,"In a row of three seats, who should get to use the two arm rests?","In a row of two seats, who should get to use the middle arm rest?",Who should have control over the window shade?,Is itrude to move to an unsold seat on a plane?,"Generally speaking, is it rude to say more than a few words tothe stranger sitting next to you on a plane?","On a 6 hour flight from NYC to LA, how many times is it acceptable to get up if you're not in an aisle seat?","Under normal circumstances, does a person who reclines their seat during a flight have any obligation to the person sitting behind them?",Is itrude to recline your seat on a plane?,"Given the opportunity, would you eliminate the possibility of reclining seats on planes entirely?",Is it rude to ask someone to switch seats with you in order to be closer to friends?,Is itrude to ask someone to switch seats with you in order to be closer to family?,Is it rude to wake a passenger up if you are trying to go to the bathroom?,Is itrude to wake a passenger up if you are trying to walk around?,"In general, is itrude to bring a baby on a plane?","In general, is it rude to knowingly bring unruly children on a plane?",Have you ever used personal electronics during take off or landing in violation of a flight attendant's direction?,Have you ever smoked a cigarette in an airplane bathroom when it was against the rules?,Gender,Age,Household Income,Education,Location (Census Region)
3433174882,Once a year or less,Once in a while,"5'10""",No,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,"No, not rude at all","No, not at all rude",Three times,"Yes, they should not recline their chair if the person behind them asks them not to","No, not rude at all",No,"No, not at all rude","No, not at all rude","No, not at all rude","Yes, very rude","No, not at all rude","Yes, somewhat rude",No,No,Male,> 60,"$50,000 - $99,999",Bachelor degree,East North Central
3433173989,Never,,,,,,,,,,,,,,,,,,,,,,,,,
3433173622,Never,,,,,,,,,,,,,,,,,,,,,Female,> 60,"$25,000 - $49,999",Some college or Associate degree,Middle Atlantic
3433169661,Once a month or less,About half the time,"5'8""",No,The person in the middle seat gets both arm rests,The arm rests should be shared,The person in the window seat should have exclusive control,"No, not rude at all","No, not at all rude",Three times,"No, the person on the flight has no obligation to the person behind them","No, not rude at all",No,"No, not at all rude","No, not at all rude","Yes, somewhat rude","Yes, somewhat rude","No, not at all rude","Yes, very rude",Yes,No,Male,18-29,,Some college or Associate degree,South Atlantic
3433169369,Once a year or less,Usually,"5'7""",No,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,"No, not rude at all","No, not at all rude",Twice,"Yes, they should not recline their chair if the person behind them asks them not to","No, not rude at all",No,"Yes, somewhat rude","Yes, somewhat rude","Yes, somewhat rude","Yes, very rude","No, not at all rude","Yes, very rude",No,No,Male,> 60,"$50,000 - $99,999",Graduate degree,Pacific
3433167815,Once a year or less,Usually,"6'0""",No,The arm rests should be shared,The arm rests should be shared,The person in the window seat should have exclusive control,"No, not rude at all","No, not at all rude",Three times,"Yes, they should not recline their chair if the person behind them asks them not to","No, not rude at all",No,"No, not at all rude","No, not at all rude","No, not at all rude","No, not at all rude","No, not at all rude","Yes, somewhat rude",No,No,Male,> 60,"$50,000 - $99,999",Bachelor degree,West South Central
3433166875,Once a year or less,Once in a while,"5'11""",Yes,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,"No, not rude at all","No, not at all rude",Three times,"No, the person on the flight has no obligation to the person behind them","No, not rude at all",No,"No, not at all rude","No, not at all rude","Yes, somewhat rude","Yes, somewhat rude","No, not at all rude","No, not at all rude",Yes,No,Male,30-44,"$50,000 - $99,999",Graduate degree,Pacific
3433166173,Never,,,,,,,,,,,,,,,,,,,,,Female,> 60,,High school degree,South Atlantic
3433154896,Once a year or less,About half the time,Under 5 ft.,No,The arm rests should be shared,The arm rests should be shared,The person in the window seat should have exclusive control,"No, not rude at all","No, not at all rude",Twice,"No, the person on the flight has no obligation to the person behind them","No, not rude at all",No,"No, not at all rude","No, not at all rude","Yes, somewhat rude","Yes, very rude","Yes, somewhat rude","Yes, somewhat rude",Yes,No,Female,30-44,"$0 - $24,999",Some college or Associate degree,East North Central
3433154561,Once a year or less,Usually,"5'8""",No,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,"Yes, somewhat rude","Yes, somewhat rude",Three times,"No, the person on the flight has no obligation to the person behind them","No, not rude at all",No,"No, not at all rude","No, not at all rude","Yes, somewhat rude","Yes, somewhat rude","Yes, very rude","Yes, very rude",No,No,Male,> 60,"$50,000 - $99,999",Bachelor degree,South Atlantic
3433152440,Once a year or less,Always,"5'5""",No,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,"No, not rude at all","No, not at all rude",Twice,"Yes, they should not recline their chair if the person behind them asks them not to","No, not rude at all",No,"No, not at all rude","No, not at all rude","No, not at all rude","Yes, very rude","No, not at all rude","No, not at all rude",No,No,Female,> 60,"$25,000 - $49,999",Graduate degree,Middle Atlantic
3433152270,Once a year or less,Always,"5'7""",Yes,The person in the middle seat gets both arm rests,The arm rests should be shared,The person in the window seat should have exclusive control,"No, not rude at all","No, not at all rude",Twice,"No, the person on the flight has no obligation to the person behind them","No, not rude at all",No,"No, not at all rude","No, not at all rude","No, not at all rude","No, not at all rude","No, not at all rude","Yes, somewhat rude",No,No,Male,45-60,150000,Bachelor degree,Pacific
3433151150,Once a year or less,Once in a while,"5'10""",No,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,"No, not rude at all","No, not at all rude",Three times,"Yes, they should not recline their chair if the person behind them asks them not to","No, not rude at all",No,"No, not at all rude","No, not at all rude","Yes, somewhat rude","Yes, somewhat rude","No, not at all rude","Yes, somewhat rude",No,No,Female,> 60,"$50,000 - $99,999",Bachelor degree,West North Central
3433147945,Once a year or less,Never,"5'6""",No,The arm rests should be shared,Whoever puts their arm on the arm rest first,Everyone in the row should have some say,"No, not rude at all","No, not at all rude",Once,"Yes, they should not recline their chair if the person behind them asks them not to","No, not rude at all",Yes,"No, not at all rude","No, not at all rude","No, not at all rude","No, not at all rude","No, not at all rude","No, not at all rude",No,No,Female,> 60,"$100,000 - $149,999",Some college or Associate degree,South Atlantic
3433142536,Once a year or less,About half the time,"5'6""",No,The person in the middle seat gets both arm rests,The arm rests should be shared,The person in the window seat should have exclusive control,"No, not rude at all","No, not at all rude",Twice,"Yes, they should not recline their chair if the person behind them asks them not to","Yes, somewhat rude",No,"Yes, somewhat rude","Yes, somewhat rude","Yes, somewhat rude","Yes, somewhat rude","Yes, very rude","Yes, very rude",No,No,Female,30-44,,Graduate degree,Middle Atlantic
3433138607,Once a year or less,Always,"5'10""",No,The person in the middle seat gets both arm rests,The arm rests should be shared,Everyone in the row should have some say,"No, not rude at all","Yes, somewhat rude",More than five times times,"Yes, they should not recline their chair if the person behind them asks them not to","No, not rude at all",No,"No, not at all rude","No, not at all rude","No, not at all rude","No, not at all rude","No, not at all rude","Yes, somewhat rude",No,No,Female,30-44,,Bachelor degree,East North Central
3433136902,Once a year or less,Once in a while,"5'4""",Yes,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,"No, not rude at all","Yes, somewhat rude",Once,"Yes, they should not recline their chair if the person behind them asks them not to","Yes, somewhat rude",No,"No, not at all rude","No, not at all rude","No, not at all rude","Yes, somewhat rude","Yes, somewhat rude","Yes, somewhat rude",No,No,Female,30-44,"$50,000 - $99,999",High school degree,East South Central
3433134491,Once a year or less,Once in a while,"5'6""",Yes,The person in the middle seat gets both arm rests,The person in aisle,The person in the window seat should have exclusive control,"No, not rude at all","No, not at all rude",Twice,"Yes, they should not recline their chair if the person behind them asks them not to","No, not rude at all",No,"Yes, somewhat rude","Yes, somewhat rude","No, not at all rude","Yes, somewhat rude","No, not at all rude","Yes, very rude",Yes,No,Female,30-44,"$50,000 - $99,999",High school degree,Mountain
3433134128,Once a year or less,Never,"5'0""",No,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,"No, not rude at all","No, not at all rude",Three times,"Yes, they should not recline their chair if the person behind them asks them not to","Yes, very rude",Yes,"No, not at all rude","No, not at all rude","No, not at all rude","Yes, somewhat rude","Yes, somewhat rude","Yes, very rude",No,No,Female,> 60,"$100,000 - $149,999",Graduate degree,South Atlantic
3433133066,Once a year or less,Once in a while,"5'9""",No,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,"No, not rude at all","Yes, somewhat rude",Three times,"Yes, they should not recline their chair if the person behind them asks them not to","No, not rude at all",No,"No, not at all rude","No, not at all rude","No, not at all rude","Yes, somewhat rude","Yes, somewhat rude","Yes, very rude",No,No,Male,> 60,150000,Some college or Associate degree,South Atlantic
3433132169,Once a year or less,Usually,"5'7""",No,Whoever puts their arm on the arm rest first,The arm rests should be shared,The person in the window seat should have exclusive control,"No, not rude at all","No, not at all rude",Three times,"Yes, they should not recline their chair if the person behind them asks them not to","Yes, somewhat rude",No,"No, not at all rude","No, not at all rude","Yes, somewhat rude","Yes, somewhat rude","No, not at all rude","Yes, very rude",No,No,Male,> 60,"$50,000 - $99,999",Graduate degree,Middle Atlantic
3433131247,Once a month or less,Never,"6'0""",No,The person in the middle seat gets both arm rests,Whoever puts their arm on the arm rest first,The person in the window seat should have exclusive control,"No, not rude at all","Yes, somewhat rude",Twice,"Yes, they should not recline their chair if the person behind them asks them not to","Yes, very rude",Yes,"No, not at all rude","No, not at all rude","No, not at all rude","Yes, somewhat rude","No, not at all rude","Yes, very rude",Yes,No,Male,> 60,"$100,000 - $149,999",Graduate degree,Pacific
3433130085,Once a year or less,Never,"5'8""",No,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,"No, not rude at all","Yes, somewhat rude",More than five times times,"No, the person on the flight has no obligation to the person behind them","No, not rude at all",Yes,"Yes, somewhat rude","No, not at all rude","No, not at all rude","Yes, somewhat rude","No, not at all rude","No, not at all rude",No,No,Male,45-60,"$50,000 - $99,999",Some college or Associate degree,West North Central
3433128680,Once a month or less,Never,"5'11""",No,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,"No, not rude at all","No, not at all rude",Twice,"No, the person on the flight has no obligation to the person behind them","No, not rude at all",Yes,"Yes, very rude","Yes, very rude","No, not at all rude","Yes, somewhat rude","Yes, somewhat rude","Yes, very rude",No,No,Male,> 60,,Bachelor degree,Mountain
3433127456,Once a year or less,Once in a while,"5'5""",No,The arm rests should be shared,The arm rests should be shared,The person in the window seat should have exclusive control,"No, not rude at all","No, not at all rude",Three times,"No, the person on the flight has no obligation to the person behind them","No, not rude at all",Yes,"No, not at all rude","No, not at all rude","No, not at all rude","Yes, somewhat rude","No, not at all rude","Yes, very rude",No,No,Female,45-60,"$0 - $24,999",Some college or Associate degree,Mountain
3433127355,Once a year or less,Always,"5'4""",No,The person in the middle seat gets both arm rests,The arm rests should be shared,The person in the window seat should have exclusive control,"Yes, very rude","Yes, somewhat rude",Once,"No, the person on the flight has no obligation to the person behind them","No, not rude at all",No,"Yes, somewhat rude","Yes, somewhat rude","No, not at all rude","Yes, somewhat rude","No, not at all rude","Yes, very rude",No,No,Female,30-44,"$25,000 - $49,999",Some college or Associate degree,Pacific
3433127341,Once a year or less,Once in a while,"6'3""",No,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,"Yes, very rude","Yes, somewhat rude",Three times,"Yes, they should not recline their chair if the person behind them asks them not to","Yes, somewhat rude",Yes,"Yes, somewhat rude","Yes, somewhat rude","No, not at all rude","Yes, somewhat rude","No, not at all rude","No, not at all rude",No,No,Male,45-60,"$50,000 - $99,999",Some college or Associate degree,Middle Atlantic
3433126810,Never,,,,,,,,,,,,,,,,,,,,,Male,> 60,"$25,000 - $49,999",Bachelor degree,East North Central
3433125333,Once a year or less,Once in a while,Under 5 ft.,No,The arm rests should be shared,The arm rests should be shared,The person in the window seat should have exclusive control,"No, not rude at all","No, not at all rude",Twice,"Yes, they should not recline their chair if the person behind them asks them not to","No, not rude at all",No,"No, not at all rude","No, not at all rude","No, not at all rude","Yes, somewhat rude","No, not at all rude","Yes, very rude",No,No,Female,45-60,"$50,000 - $99,999",Some college or Associate degree,East North Central
3433125109,A few times per month,Always,"5'3""",No,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,"No, not rude at all","Yes, somewhat rude",Three times,"No, the person on the flight has no obligation to the person behind them","No, not rude at all",No,"No, not at all rude","No, not at all rude","No, not at all rude","Yes, very rude","Yes, very rude","Yes, very rude",No,No,Female,30-44,150000,Graduate degree,Middle Atlantic
3433124803,Once a month or less,Never,"6'4""",No,The arm rests should be shared,The arm rests should be shared,The person in the window seat should have exclusive control,"Yes, somewhat rude","No, not at all rude",Three times,"Yes, they should not recline their chair if the person behind them asks them not to","Yes, very rude",Yes,"No, not at all rude","No, not at all rude","No, not at all rude","No, not at all rude","Yes, somewhat rude","Yes, very rude",No,No,Male,18-29,"$25,000 - $49,999",Bachelor degree,Pacific
3433123624,Never,,,,,,,,,,,,,,,,,,,,,Female,> 60,"$50,000 - $99,999",Some college or Associate degree,Pacific
3433122984,Never,,,,,,,,,,,,,,,,,,,,,Female,30-44,,Some college or Associate degree,Middle Atlantic
3433122572,Once a year or less,Never,"5'5""",No,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,"No, not rude at all","No, not at all rude",Once,"Yes, they should not recline their chair if the person behind them asks them not to","Yes, very rude",Yes,"No, not at all rude","No, not at all rude","No, not at all rude","No, not at all rude","Yes, somewhat rude","Yes, very rude",No,No,Female,30-44,"$25,000 - $49,999",High school degree,West South Central
3433120295,Once a year or less,Never,"5'7""",No,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,"No, not rude at all","No, not at all rude",Three times,"Yes, they should not recline their chair if the person behind them asks them not to","Yes, somewhat rude",Yes,"No, not at all rude","No, not at all rude","No, not at all rude","No, not at all rude","No, not at all rude","Yes, somewhat rude",No,No,Female,> 60,"$100,000 - $149,999",Graduate degree,New England
3433119106,A few times per month,Usually,"5'6""",No,The arm rests should be shared,Whoever puts their arm on the arm rest first,The person in the window seat should have exclusive control,"No, not rude at all","Yes, somewhat rude",Three times,"No, the person on the flight has no obligation to the person behind them","No, not rude at all",No,"No, not at all rude","No, not at all rude","Yes, somewhat rude","Yes, somewhat rude","No, not at all rude","Yes, very rude",No,No,Female,45-60,"$100,000 - $149,999",Bachelor degree,East South Central
3433118974,Once a year or less,Usually,"5'8""",No,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,"Yes, somewhat rude","No, not at all rude",Twice,"Yes, they should not recline their chair if the person behind them asks them not to","Yes, somewhat rude",No,"No, not at all rude","No, not at all rude","Yes, somewhat rude","Yes, somewhat rude","Yes, somewhat rude","Yes, somewhat rude",Yes,No,Female,30-44,"$25,000 - $49,999",Graduate degree,East South Central
3433118369,Never,,,,,,,,,,,,,,,,,,,,,Female,45-60,"$50,000 - $99,999",Bachelor degree,New England
3433117854,Once a year or less,Never,"5'3""",No,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,"Yes, very rude","No, not at all rude",Twice,"No, the person on the flight has no obligation to the person behind them","No, not rude at all",No,"No, not at all rude","No, not at all rude","No, not at all rude","Yes, somewhat rude","No, not at all rude","Yes, somewhat rude",No,No,Female,45-60,"$50,000 - $99,999",High school degree,Middle Atlantic
3433116022,Once a year or less,Always,"5'3""",No,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,"No, not rude at all","No, not at all rude",Four times,"Yes, they should not recline their chair if the person behind them asks them not to","No, not rude at all",No,"No, not at all rude","No, not at all rude","Yes, somewhat rude","Yes, somewhat rude","Yes, very rude","Yes, very rude",No,No,Female,> 60,150000,Graduate degree,Middle Atlantic
3433113130,Once a month or less,Once in a while,"5'4""",No,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,"No, not rude at all","No, not at all rude",More than five times times,"Yes, they should not recline their chair if the person behind them asks them not to","No, not rude at all",Yes,"Yes, somewhat rude","No, not at all rude","No, not at all rude","Yes, somewhat rude","Yes, somewhat rude","Yes, very rude",Yes,No,Female,30-44,150000,Some college or Associate degree,East North Central
3433112973,Once a year or less,Once in a while,"5'8""",No,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,"No, not rude at all","No, not at all rude",More than five times times,"Yes, they should not recline their chair if the person behind them asks them not to","Yes, somewhat rude",Yes,"Yes, somewhat rude","Yes, somewhat rude","No, not at all rude","Yes, somewhat rude","No, not at all rude","No, not at all rude",No,No,Female,> 60,"$50,000 - $99,999",Graduate degree,New England
3433111977,Once a year or less,Always,"5'5""",No,The person in the middle seat gets both arm rests,The arm rests should be shared,Everyone in the row should have some say,"No, not rude at all","No, not at all rude",Twice,"Yes, they should not recline their chair if the person behind them asks them not to","No, not rude at all",No,"No, not at all rude","No, not at all rude","Yes, somewhat rude","Yes, very rude","Yes, somewhat rude","Yes, very rude",No,No,Female,30-44,"$50,000 - $99,999",Some college or Associate degree,East North Central
3433111959,Once a year or less,Never,"6'3""",No,The arm rests should be shared,The person in aisle,The person in the window seat should have exclusive control,"No, not rude at all","Yes, somewhat rude",Four times,"Yes, they should not recline their chair if the person behind them asks them not to","Yes, somewhat rude",No,"No, not at all rude","No, not at all rude","No, not at all rude","Yes, somewhat rude","No, not at all rude","Yes, somewhat rude",No,No,Male,30-44,150000,Graduate degree,Pacific
3433107832,Once a month or less,Always,"5'10""",No,The arm rests should be shared,The arm rests should be shared,The person in the window seat should have exclusive control,"No, not rude at all","No, not at all rude",Twice,"Yes, they should not recline their chair if the person behind them asks them not to","No, not rude at all",No,"No, not at all rude","No, not at all rude","No, not at all rude","Yes, very rude","No, not at all rude","Yes, very rude",No,No,Male,> 60,150000,Graduate degree,South Atlantic
3433107608,Once a year or less,Never,"5'2""",No,The arm rests should be shared,The arm rests should be shared,The person in the window seat should have exclusive control,"Yes, somewhat rude","No, not at all rude",More than five times times,"Yes, they should not recline their chair if the person behind them asks them not to","Yes, somewhat rude",Yes,"No, not at all rude","No, not at all rude","No, not at all rude","Yes, somewhat rude","No, not at all rude","Yes, somewhat rude",No,No,Female,30-44,"$25,000 - $49,999",Bachelor degree,Mountain
3433106334,Never,,,,,,,,,,,,,,,,,,,,,Male,18-29,"$0 - $24,999",Some college or Associate degree,Pacific
3433106170,Once a year or less,Once in a while,Under 5 ft.,No,The people in the aisle and window seats get both arm rests,The arm rests should be shared,The person in the window seat should have exclusive control,"No, not rude at all","No, not at all rude",Three times,"No, the person on the flight has no obligation to the person behind them","No, not rude at all",No,"No, not at all rude","No, not at all rude","Yes, somewhat rude","Yes, somewhat rude","No, not at all rude","Yes, somewhat rude",No,No,Female,45-60,"$50,000 - $99,999",Bachelor degree,Middle Atlantic
3433104895,Once a year or less,Never,"5'5""",No,The person in the middle seat gets both arm rests,Whoever puts their arm on the arm rest first,Everyone in the row should have some say,"No, not rude at all","No, not at all rude",Four times,"Yes, they should not recline their chair if the person behind them asks them not to","Yes, somewhat rude",No,"No, not at all rude","No, not at all rude","No, not at all rude","Yes, somewhat rude","Yes, very rude","Yes, very rude",No,No,Female,45-60,"$100,000 - $149,999",Graduate degree,
3433101109,Never,,,,,,,,,,,,,,,,,,,,,Female,45-60,,High school degree,Middle Atlantic
3433100773,Once a year or less,Once in a while,"5'7""",No,The person in the middle seat gets both arm rests,Whoever puts their arm on the arm rest first,Everyone in the row should have some say,"No, not rude at all","Yes, very rude",Once,"Yes, they should not recline their chair if the person behind them asks them not to","Yes, somewhat rude",Yes,"No, not at all rude","No, not at all rude","Yes, somewhat rude","Yes, very rude","Yes, somewhat rude","Yes, very rude",No,No,Female,45-60,150000,Graduate degree,New England
3433100648,Once a year or less,Usually,"5'10""",Yes,The arm rests should be shared,Whoever puts their arm on the arm rest first,The person in the window seat should have exclusive control,"Yes, somewhat rude","Yes, very rude",Twice,"Yes, they should not recline their chair if the person behind them asks them not to","No, not rude at all",Yes,"No, not at all rude","No, not at all rude","No, not at all rude","Yes, very rude","Yes, somewhat rude","Yes, very rude",No,No,Male,> 60,"$25,000 - $49,999",Some college or Associate degree,Pacific
3433100189,Never,,,,,,,,,,,,,,,,,,,,,Female,> 60,"$25,000 - $49,999",High school degree,Pacific
3433099083,Once a month or less,Once in a while,"5'7""",No,The people in the aisle and window seats get both arm rests,The person by the window,Everyone in the row should have some say,"No, not rude at all","No, not at all rude",Twice,"No, the person on the flight has no obligation to the person behind them","Yes, somewhat rude",Yes,"No, not at all rude","No, not at all rude","Yes, somewhat rude","Yes, very rude","No, not at all rude","Yes, very rude",No,No,Female,45-60,150000,Graduate degree,South Atlantic
3433092925,Once a month or less,About half the time,"6'3""",No,The people in the aisle and window seats get both arm rests,The arm rests should be shared,Everyone in the row should have some say,"No, not rude at all","No, not at all rude",Twice,"Yes, they should not recline their chair if the person behind them asks them not to","Yes, somewhat rude",Yes,"Yes, somewhat rude","No, not at all rude","Yes, somewhat rude","Yes, somewhat rude","Yes, somewhat rude","Yes, somewhat rude",Yes,No,Male,45-60,"$50,000 - $99,999",Bachelor degree,Pacific
3433092542,Once a year or less,Usually,"5'4""",No,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,"No, not rude at all","No, not at all rude",Twice,"No, the person on the flight has no obligation to the person behind them","No, not rude at all",No,"No, not at all rude","No, not at all rude","No, not at all rude","No, not at all rude","No, not at all rude","No, not at all rude",No,No,Female,45-60,"$100,000 - $149,999",Some college or Associate degree,Middle Atlantic
3433092034,Once a year or less,Once in a while,"5'8""",No,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,"No, not rude at all","No, not at all rude",Three times,"Yes, they should not recline their chair if the person behind them asks them not to","No, not rude at all",No,"No, not at all rude","No, not at all rude","No, not at all rude","No, not at all rude","Yes, somewhat rude","Yes, very rude",No,No,Male,> 60,"$25,000 - $49,999",Graduate degree,South Atlantic
3433091714,Once a year or less,Never,"5'1""",No,The person in the middle seat gets both arm rests,The person in aisle,Everyone in the row should have some say,"Yes, somewhat rude","No, not at all rude",Twice,"Yes, they should not recline their chair if the person behind them asks them not to","Yes, very rude",Yes,"No, not at all rude","No, not at all rude","No, not at all rude","No, not at all rude","No, not at all rude","Yes, very rude",Yes,No,Female,> 60,,Graduate degree,South Atlantic
3433091359,Once a year or less,Once in a while,"5'7""",Yes,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,"No, not rude at all","No, not at all rude",Three times,"Yes, they should not recline their chair if the person behind them asks them not to","No, not rude at all",No,"No, not at all rude","No, not at all rude","No, not at all rude","Yes, somewhat rude","No, not at all rude","Yes, somewhat rude",No,No,Female,30-44,"$25,000 - $49,999",Graduate degree,Mountain
3433089571,Never,,,,,,,,,,,,,,,,,,,,,Female,30-44,"$0 - $24,999",Bachelor degree,West South Central
3433089108,Never,,,,,,,,,,,,,,,,,,,,,Female,> 60,"$25,000 - $49,999",High school degree,Pacific
3433085566,Once a year or less,Usually,"5'6""",No,The arm rests should be shared,The arm rests should be shared,The person in the window seat should have exclusive control,"No, not rude at all","Yes, somewhat rude",Three times,"No, the person on the flight has no obligation to the person behind them","No, not rude at all",No,"Yes, somewhat rude","Yes, somewhat rude","No, not at all rude","No, not at all rude","No, not at all rude","Yes, somewhat rude",No,No,Female,30-44,150000,Graduate degree,Middle Atlantic
3433081885,Once a year or less,Usually,"5'7""",Yes,The arm rests should be shared,The arm rests should be shared,The person in the window seat should have exclusive control,"No, not rude at all","No, not at all rude",Four times,"Yes, they should not recline their chair if the person behind them asks them not to","No, not rude at all",No,"No, not at all rude","No, not at all rude","No, not at all rude","Yes, somewhat rude","No, not at all rude","No, not at all rude",Yes,No,Male,> 60,150000,Some college or Associate degree,Pacific
3433081158,Once a year or less,Never,"5'8""",Yes,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,"No, not rude at all","No, not at all rude",Four times,"Yes, they should not recline their chair if the person behind them asks them not to","No, not rude at all",No,"No, not at all rude","No, not at all rude","No, not at all rude","Yes, somewhat rude","No, not at all rude","Yes, somewhat rude",No,No,Female,30-44,"$50,000 - $99,999",Bachelor degree,South Atlantic
3433075339,Never,,,,,,,,,,,,,,,,,,,,,Female,45-60,150000,Bachelor degree,South Atlantic
3433070885,Once a year or less,Usually,"5'8""",No,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,"No, not rude at all","No, not at all rude",Four times,"Yes, they should not recline their chair if the person behind them asks them not to","No, not rude at all",No,"No, not at all rude","No, not at all rude","No, not at all rude","Yes, somewhat rude","No, not at all rude","No, not at all rude",No,No,Female,30-44,"$100,000 - $149,999",Bachelor degree,New England
3433070481,Once a year or less,Never,"5'3""",No,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,"Yes, very rude","Yes, somewhat rude",Twice,"Yes, they should not recline their chair if the person behind them asks them not to","Yes, somewhat rude",No,"Yes, somewhat rude","No, not at all rude","No, not at all rude","Yes, very rude","No, not at all rude","Yes, somewhat rude",No,No,Female,45-60,150000,Bachelor degree,West South Central
3433068348,Once a year or less,Never,"5'11""",No,The arm rests should be shared,The arm rests should be shared,The person in the window seat should have exclusive control,"Yes, somewhat rude","Yes, somewhat rude",Three times,"Yes, they should not recline their chair if the person behind them asks them not to","Yes, very rude",Yes,"Yes, somewhat rude","Yes, somewhat rude","Yes, somewhat rude","Yes, very rude","Yes, somewhat rude","Yes, very rude",No,No,Male,30-44,"$50,000 - $99,999",Bachelor degree,East North Central
3433066014,Once a month or less,Usually,"5'3""",Yes,The arm rests should be shared,The arm rests should be shared,The person in the window seat should have exclusive control,"No, not rude at all","No, not at all rude",Three times,"Yes, they should not recline their chair if the person behind them asks them not to","No, not rude at all",No,"No, not at all rude","No, not at all rude","No, not at all rude","No, not at all rude","No, not at all rude","No, not at all rude",Yes,No,Female,30-44,"$50,000 - $99,999",Bachelor degree,Middle Atlantic
3433065951,Once a year or less,About half the time,"5'4""",Yes,The arm rests should be shared,The person in aisle,The person in the window seat should have exclusive control,"No, not rude at all","No, not at all rude",Twice,"No, the person on the flight has no obligation to the person behind them","No, not rude at all",Yes,"Yes, somewhat rude","No, not at all rude","Yes, somewhat rude","Yes, very rude","No, not at all rude","Yes, somewhat rude",Yes,No,Female,30-44,"$100,000 - $149,999",Bachelor degree,Mountain
3433065628,Never,,,,,,,,,,,,,,,,,,,,,Male,18-29,"$0 - $24,999",Some college or Associate degree,West South Central
3433061705,Once a year or less,About half the time,"5'9""",No,The arm rests should be shared,The arm rests should be shared,The person in the window seat should have exclusive control,"No, not rude at all","No, not at all rude",Twice,"Yes, they should not recline their chair if the person behind them asks them not to","No, not rude at all",No,"Yes, somewhat rude","No, not at all rude","No, not at all rude","Yes, somewhat rude","No, not at all rude","Yes, very rude",No,No,Male,> 60,"$50,000 - $99,999",Graduate degree,South Atlantic
3433060473,Once a month or less,About half the time,"6'3""",No,The person in the middle seat gets both arm rests,The arm rests should be shared,Everyone in the row should have some say,"No, not rude at all","No, not at all rude",Twice,"Yes, they should not recline their chair if the person behind them asks them not to","Yes, somewhat rude",Yes,"Yes, somewhat rude","No, not at all rude","Yes, somewhat rude","Yes, somewhat rude",,,,,,,,,
3433060186,Once a year or less,Usually,"5'8""",No,Other (please specify),Other (please specify),The person in the window seat should have exclusive control,"No, not rude at all","No, not at all rude",Twice,"Yes, they should not recline their chair if the person behind them asks them not to","No, not rude at all",No,"Yes, somewhat rude","Yes, somewhat rude","Yes, somewhat rude","Yes, somewhat rude","No, not at all rude","Yes, very rude",No,No,Female,> 60,"$0 - $24,999",Bachelor degree,Mountain
3433059796,Once a year or less,About half the time,"5'5""",No,The arm rests should be shared,Whoever puts their arm on the arm rest first,The person in the window seat should have exclusive control,"No, not rude at all","No, not at all rude",Four times,"No, the person on the flight has no obligation to the person behind them","No, not rude at all",No,"No, not at all rude","No, not at all rude","Yes, somewhat rude","Yes, somewhat rude","No, not at all rude","Yes, very rude",No,No,Female,45-60,"$50,000 - $99,999",Graduate degree,South Atlantic
3433058854,Never,,,,,,,,,,,,,,,,,,,,,,,,,
3433058367,Never,,,,,,,,,,,,,,,,,,,,,Male,18-29,"$50,000 - $99,999",Some college or Associate degree,West North Central
